عنبر	ward	عُنبُر	ward		PROPN;ANIM;NOM;MASC;SG
حلت	vyriešený	حَلّ	vyriešený	V;PFV;FEM;SG;3;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
السادة	pánov	سَيِّد	pán	N;NOM;DEF;PL	N;ANIM;ACC;MASC;PL
نظمت	zinscenovaný	نَظَّم	zinscenovaný	V;PFV;FEM;SG;3;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
فورت	pevnosť	فورت	pevnosť		N;NOM;FEM;SG
فورت	fort	فورت	fort		PROPN;ANIM;NOM;MASC;SG
رايت	videli	رَاي	vidieť		V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
رايت	videla	رَاي	vidieť		V;IPFV;FEM;SG;POS;PST;V.PTCP
رايت	videl	رَاي	vidieť		V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
رايت	pílu	رَاي	píl		N;ACC;FEM;SG
رايت	videli	رَاي	vidieť		V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
رايت	videla	رَاي	vidieť		V;IPFV;FEM;SG;POS;PST;V.PTCP
رايت	videl	رَاي	vidieť		V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
السوريين	sýrčania	سُورِيّ	sýrčanie	ADJ;NOM;DEF;MASC;PL	N;ANIM;NOM;MASC;PL
يلتقي	splní	اِلتَقَى	splniť	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
يلتقي	stretne	اِلتَقَى	stretnúť	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
بروكسل	bruselu	برُوكسِل	brusel		N;DAT;NEUT;SG
بروكسل	brusel	برُوكسِل	brusel		N;INAN;NOM;MASC;SG
بروكسل	bruseli	برُوكسِل	brusieť		N;NOM;NEUT;PL
سمات	atribútov	سِمَّة	atribút	N;NOM;INDF;PL	N;INAN;GEN;MASC;PL
مشروعات	projektmi	مَشرُوع	projekt	N;NOM;INDF;PL	N;INAN;INS;MASC;PL
مشروعات	projektov	مَشرُوع	projekt	N;NOM;INDF;PL	N;INAN;GEN;MASC;PL
مشروعات	projektom	مَشرُوع	projekt	N;NOM;INDF;PL	N;INAN;INS;MASC;SG
صوفي	sophie	صُوفِي	sophe		PROPN;NOM;FEM;SG
صوفي	sophia	صُوفِي	sophia		N;NOM;FEM;SG
منغوليا	mongolské	مُنغُولِيَا	mongolský		ADJ;NOM;NEUT;SG
منغوليا	mongolsko	مُنغُولِيَا	mongolsko		N;NOM;NEUT;SG
الصليبيين	križiaci	صَلِيبِيّ	križiaci	ADJ;NOM;DEF;MASC;PL	N;ANIM;NOM;MASC;PL
فتحت	otvorená	فَتَح	otvorený	V;PFV;FEM;SG;3;ACT	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
فتحت	otvorené	فَتَح	otvorený	V;PFV;FEM;SG;3;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
فتحت	otvorený	فَتَح	otvorený	V;PFV;FEM;SG;3;ACT	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
صحي	zdravo	صِحِّيّ	zdravo	ADJ;NOM;INDF;MASC;SG	ADV
صحي	zdraví	صِحِّيّ	zdravie	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;SG
المشاعر	emócií	مَشعَر	emócia	N;NOM;DEF;PL	N;GEN;FEM;PL
المشاعر	citov	مَشعَر	cit	N;NOM;DEF;PL	N;INAN;GEN;MASC;PL
اختراق	piercing	اِختِرَاق	piercing	N;NOM;INDF;SG	N;NOM;FEM;PL
فيفا	fifa	فِيفَا	fif		
ركن	rohu	ركن	roh		N;INAN;GEN;MASC;SG
ركن	roh	ركن	roh		N;INAN;NOM;MASC;SG
ركن	kúta	ركن	kút		N;INAN;GEN;MASC;SG
ركن	kút	ركن	kút		N;INAN;NOM;MASC;SG
الاستاذ	prof	الاستاذ	prof		
الاستاذ	profesor	الاستاذ	profesor		N;ANIM;NOM;MASC;SG
الاستاذ	profesorka	الاستاذ	profesorka		N;NOM;FEM;SG
الاستاذ	profesora	الاستاذ	profesor		N;ANIM;ACC;MASC;SG
حدد	uveďte	حَدَّد	uviesť	V;PFV;MASC;SG;3;ACT	V;PFV;IMP;PL;2;POS;FIN
حدد	špecifikovať	حَدَّد	špecifikovať	V;PFV;MASC;SG;3;ACT	V;IPFV;POS;NFIN
حدد	vyberte	حَدَّد	vybrať	V;PFV;MASC;SG;3;ACT	V;PFV;IMP;PL;2;POS;FIN
حدد	zvoľte	حَدَّد	zvoľiť	V;PFV;MASC;SG;3;ACT	V;PFV;IMP;PL;2;POS;FIN
حدد	výber	حَدَّد	výber	V;PFV;MASC;SG;3;ACT	N;INAN;NOM;MASC;SG
الكوميديا	komédie	كُومِيدِيَا	komédia		N;NOM;FEM;PL
الكوميديا	komédia	كُومِيدِيَا	komédium		N;NOM;FEM;SG
الكرامة	dôstojný	كَرَامَة	dôstojný	N;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
الكتف	ramena	كِتف	ramena	N;NOM;DEF;SG	N;NOM;NEUT;PL
القط	kocúr	قَطّ	kocúr		N;ANIM;NOM;MASC;SG
القط	mačka	قَطّ	mačka		N;NOM;FEM;SG
القط	cat	قَطّ	cat		PROPN;ANIM;VOC;MASC;SG
بركان	sopka	بركان	sopka		N;NOM;FEM;SG
هامبورغ	hamburgu	هامبورغ	hamburg		N;INAN;GEN;MASC;SG
هامبورغ	hamburg	هامبورغ	hamburg		N;INAN;NOM;MASC;SG
الفقرات	odsekov	فَقرَة	odsek	N;NOM;DEF;PL	N;INAN;GEN;MASC;PL
الفقرات	odsekoch	فَقرَة	odsek	N;NOM;DEF;PL	N;INAN;GEN;MASC;PL
حفيد	vnuka	حفيد	vnuka		N;ANIM;ACC;MASC;SG
حفيد	vnuk	حفيد	vnuk		N;ANIM;NOM;MASC;SG
الليثيوم	lítia	الليثيوم	lítiť		N;NOM;NEUT;PL
بنين	beninu	بِنِين	benina		N;ACC;FEM;SG
هدم	demoláciu	هَدم	demolácia	N;NOM;INDF;SG	N;ACC;FEM;SG
اغنية	song	أَغنِيّ	song	N;NOM;INDF;SG	
مصرف	banku	مَصرِف	banka	N;NOM;INDF;SG	N;ACC;FEM;SG
مصرف	banky	مَصرِف	banka	N;NOM;INDF;SG	N;NOM;FEM;PL
مصرف	bank	مَصرِف	bank	N;NOM;INDF;SG	
مصرف	banková	مَصرِف	bankový	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
قياسي	štandard	قِيَاسِيّ	štandard	ADJ;NOM;INDF;MASC;SG	N;INAN;NOM;MASC;SG
قياسي	norma	قِيَاسِيّ	norma	ADJ;NOM;INDF;MASC;SG	N;NOM;FEM;SG
الكلاسيكي	klasický	كلَاسِيكِيّ	klasický		ADJ;ANIM;NOM;MASC;SG
الكلاسيكي	klasická	كلَاسِيكِيّ	klasický		ADJ;NOM;FEM;SG
الكلاسيكي	klasické	كلَاسِيكِيّ	klasický		ADJ;NOM;NEUT;SG
تلقائي	automatický	تلقائي	automatický		ADJ;INAN;NOM;MASC;SG
تلقائي	automatická	تلقائي	automatický		ADJ;NOM;FEM;SG
تلقائي	automatické	تلقائي	automatický		ADJ;NOM;NEUT;SG
تلقائي	automaticky	تلقائي	automaticky		ADV
خزان	zásobníku	خَزَّان	zásobník	N;NOM;INDF;SG	N;INAN;DAT;MASC;SG
صممت	projektované	صَمَّم	projektovaný	V;PFV;FEM;SG;3;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
صممت	navrhnuté	صَمَّم	navrhnutý	V;PFV;FEM;SG;3;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
صممت	konštruované	صَمَّم	konštruovaný	V;PFV;FEM;SG;3;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
صممت	navrhnutá	صَمَّم	navrhnutý	V;PFV;FEM;SG;3;ACT	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
صممت	navrhnutý	صَمَّم	navrhnutý	V;PFV;FEM;SG;3;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
وليم	william	وليم	willia		N;ANIM;NOM;MASC;SG
وليم	viliam	وليم	vila		N;ANIM;NOM;MASC;SG
قبله	pusa	قبله	pusa	PRO;NOM;MASC;SG;3	N;NOM;FEM;SG
قبله	bozk	قبله	bozk	PRO;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
قبله	kiss	قبله	kiss	PRO;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
قبله	pobozkať	قبله	pobozkať	PRO;NOM;MASC;SG;3	V;PFV;POS;NFIN
السكن	bývania	سَكَن	bývanie	N;NOM;DEF;SG	N;NOM;NEUT;PL
السكن	ubytovania	سَكَن	ubytovanie	N;NOM;DEF;SG	N;NOM;NEUT;PL
حائز	držiteľa	حَائِز	držiteľ	N;NOM;INDF;SG	N;ANIM;ACC;MASC;SG
التنقيب	vykopávok	تَنقِيب	vykopávka	N;NOM;DEF;SG	N;GEN;FEM;PL
كيان	subjektu	كِيَان	subjekt	N;NOM;INDF;SG	N;INAN;GEN;MASC;SG
البعيد	vzdialené	بَعِيد	vzdialený		ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
البعيد	vzdialený	بَعِيد	vzdialený		ADJ;ANIM;NOM;MASC;SG
البعيد	vzdialená	بَعِيد	vzdialený		ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
البعيد	diaľkové	بَعِيد	diaľkový		ADJ;NOM;NEUT;SG
البعيد	vzdialený	بَعِيد	vzdialený		ADJ;ANIM;NOM;MASC;SG
البعيد	vzdialené	بَعِيد	vzdialený		ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
صعوبات	ťažkostí	صُعُوبَة	ťažkosť	N;NOM;INDF;PL	N;GEN;FEM;PL
شون	shawn	شَون	shawn		PROPN;ANIM;NOM;MASC;SG
اسطنبول	istanbule	اسطنبول	istanbule		ADV
باتمان	batman	باتمان	batman		N;ANIM;NOM;MASC;SG
الفلم	filmom	فَلَّم	film	N;NOM;DEF;SG	N;INAN;INS;MASC;SG
الفلم	filmová	فَلَّم	filmový	N;NOM;DEF;SG	ADJ;NOM;FEM;SG
يولد	narodená	وَلَّد	narodený	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
يولد	narodené	وَلَّد	narodený	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
يولد	narodený	وَلَّد	narodený	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
حرق	horieť	حَرق	horieť		V;IPFV;POS;NFIN
حرق	spáliť	حَرق	spáliť		V;IPFV;POS;NFIN
حرق	pálenie	حَرق	pálenie		N;NOM;NEUT;SG
حرق	horí	حَرق	horieť		V;IPFV;IND;SG;3;POS;PRS;FIN
حرق	spaľovanie	حَرق	spaľovanie		N;NOM;NEUT;SG
النيجر	niger	النيجر	niger		PROPN;ANIM;NOM;MASC;SG
نقش	nápisom	نَقش	nápis	N;NOM;INDF;SG	N;INAN;INS;MASC;SG
فلورنسا	florence	فِلُورَنسَا	florenec		N;ANIM;NOM;MASC;SG
بورت	burt	بُورت	burt		PROPN;ANIM;NOM;MASC;SG
بورت	prístavu	بُورت	prístava		N;INAN;GEN;MASC;SG
بورت	prístav	بُورت	prístava		N;INAN;NOM;MASC;SG
بورت	port	بُورت	port		N;INAN;NOM;MASC;SG
تام	tam	تَامّ	tam	ADJ;NOM;INDF;MASC;SG	ADV
عال	high	عَالِي	higho	N;NOM;INDF;SG	N;ACC;FEM;SG
عال	vysoko	عَالِي	vysoko	N;NOM;INDF;SG	ADV
عال	vysoká	عَالِي	vysoký	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
عال	vysoký	عَالِي	vysoký	N;NOM;INDF;SG	ADJ;ANIM;NOM;MASC;SG
عال	vysoké	عَالِي	vysoký	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
عال	nahlas	عَالِي	nahlas	N;NOM;INDF;SG	ADV
عال	hlasné	عَالِي	hlasný	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
عال	hlasno	عَالِي	hlasno	N;NOM;INDF;SG	ADV
مريض	pacienta	مَرِيض	paciento	N;NOM;INDF;SG	N;ANIM;ACC;MASC;SG
مريض	pacientovi	مَرِيض	pacient	N;NOM;INDF;SG	N;ANIM;DAT;MASC;SG
مريض	trpezlivý	مَرِيض	trpezlivý	N;NOM;INDF;SG	ADJ;ANIM;NOM;MASC;SG
مريض	pacientky	مَرِيض	pacientka	N;NOM;INDF;SG	N;NOM;FEM;PL
مريض	chorý	مَرِيض	chorý	N;NOM;INDF;SG	ADJ;ANIM;NOM;MASC;SG
مريض	chorí	مَرِيض	choriť	N;NOM;INDF;SG	ADJ;ANIM;NOM;MASC;PL
مريض	chorá	مَرِيض	chorý	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
مريض	choré	مَرِيض	chorý	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
جرعة	dávku	جُرعَة	dávka	N;NOM;INDF;SG	N;ACC;FEM;SG
جرعة	dávky	جُرعَة	dávka	N;NOM;INDF;SG	N;NOM;FEM;PL
جرعة	dávke	جُرعَة	dávka	N;NOM;INDF;SG	N;DAT;FEM;SG
مثيرة	sexi	مُثِير	sexi	ADJ;NOM;INDF;FEM;SG	N;NOM;FEM;SG
مثيرة	sexy	مُثِير	sexa	ADJ;NOM;INDF;FEM;SG	N;NOM;FEM;SG
المقيمين	obyvatelia	مُقِيم	obyvateľ	ADJ;ACC;DEF;MASC;PL	N;ANIM;NOM;MASC;PL
المقيمين	obyvateľov	مُقِيم	obyvateľ	ADJ;ACC;DEF;MASC;PL	N;ANIM;ACC;MASC;PL
المقيمين	obyvateľom	مُقِيم	obyvateľ	ADJ;ACC;DEF;MASC;PL	N;ANIM;DAT;MASC;PL
الشفاء	hojenia	شِفَاء	hojenie	N;NOM;DEF;SG	N;NOM;NEUT;PL
شتاء	zime	شِتَاء	zimať	N;NOM;INDF;SG	ADV
شتاء	zimný	شِتَاء	zimný	N;NOM;INDF;SG	ADJ;INAN;NOM;MASC;SG
شتاء	zimná	شِتَاء	zimný	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
شتاء	zimné	شِتَاء	zimný	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
شرب	pije	شُرب	piť	N;NOM;INDF;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
شرب	piť	شُرب	piť	N;NOM;INDF;SG	V;IPFV;POS;NFIN
شرب	pijú	شُرب	piť	N;NOM;INDF;SG	V;IPFV;IND;PL;3;POS;PRS;FIN
شرب	piť	شُرب	piť	N;NOM;INDF;SG	V;IPFV;POS;NFIN
شرب	vypiť	شُرب	vypiť	N;NOM;INDF;SG	V;PFV;POS;NFIN
اكتساب	naberá	اِكتِسَاب	naberať	N;NOM;INDF;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
اكتساب	získavajú	اِكتِسَاب	získavať	N;NOM;INDF;SG	V;IPFV;IND;PL;3;POS;PRS;FIN
اكتساب	získať	اِكتِسَاب	získať	N;NOM;INDF;SG	V;PFV;POS;NFIN
اكتساب	nadobudnúť	اِكتِسَاب	nadobudnúť	N;NOM;INDF;SG	V;PFV;POS;NFIN
اكتساب	nadobúdať	اِكتِسَاب	nadobúdať	N;NOM;INDF;SG	V;IPFV;POS;NFIN
اكتساب	akvizície	اِكتِسَاب	akvizícia	N;NOM;INDF;SG	N;NOM;FEM;PL
ليوناردو	leonardo	ليوناردو	leonardo		N;ANIM;NOM;MASC;SG
بورما	barme	بُورمَا	barm		N;DAT;FEM;PL
بورما	mjanmarsko	بُورمَا	mjanmarsko		N;NOM;NEUT;SG
سين	sen	سَين	sen		N;INAN;NOM;MASC;SG
النزاعات	konfliktov	نِزَاع	konflikt	N;NOM;DEF;PL	N;INAN;GEN;MASC;PL
النزاعات	sporoch	نِزَاع	spor	N;NOM;DEF;PL	N;INAN;GEN;MASC;PL
منتظم	pravidelne	مُنتَظِم	pravidelne	ADJ;NOM;INDF;MASC;SG	ADV
رمزي	ramzi	رَمزِيّ	ramzi		PROPN;ANIM;NOM;MASC;SG
رمزي	symbolický	رَمزِيّ	symbolický		ADJ;INAN;NOM;MASC;SG
رمزي	symbolické	رَمزِيّ	symbolický		ADJ;NOM;NEUT;SG
استكشاف	preskúmať	اِستِكشَاف	preskúmať	N;NOM;INDF;SG	V;PFV;POS;NFIN
استكشاف	skúmať	اِستِكشَاف	skúmať	N;NOM;INDF;SG	V;IPFV;POS;NFIN
استكشاف	objavovať	اِستِكشَاف	objavovať	N;NOM;INDF;SG	V;IPFV;POS;NFIN
درعا	pancier	دَرَّع	pancier		N;INAN;NOM;MASC;SG
درعا	výzbroj	دَرَّع	výzbroj		N;NOM;FEM;SG
درعا	brnenie	دَرَّع	brnenie		N;NOM;NEUT;SG
درعا	štít	دَرَّع	štít		N;INAN;NOM;MASC;SG
درعا	štíty	دَرَّع	štít		N;INAN;NOM;MASC;PL
الصانع	výrobcu	صَانِع	výrobec	N;NOM;DEF;SG	N;INAN;GEN;MASC;SG
فرس	mare	فَرَس	mare		N;INAN;NOM;MASC;SG
الذئاب	vlci	ذَائِب	vlk		N;ANIM;NOM;MASC;PL
الذئاب	vlkov	ذَائِب	vlk		N;INAN;GEN;MASC;PL
المواصفات	špecifikácia	مُوَاصَفَة	špecifikácia	N;NOM;DEF;PL	N;NOM;FEM;SG
المواصفات	špecifikácií	مُوَاصَفَة	špecifikácia	N;NOM;DEF;PL	N;GEN;FEM;PL
المواصفات	špecifikácia	مُوَاصَفَة	špecifikácia	N;NOM;DEF;PL	N;NOM;FEM;SG
المواصفات	špecifikáciu	مُوَاصَفَة	špecifikácia	N;NOM;DEF;PL	N;ACC;FEM;SG
كيب	kip	كيب	kip		PROPN;ANIM;NOM;MASC;SG
زر	tlačidlo	زر	tlačidlo		N;NOM;NEUT;SG
القبلية	kmeňových	قَبَلِيّ	kmeňový	ADJ;NOM;DEF;FEM;SG	ADJ;GEN;MASC;PL
جوقة	zboru	جُوقَة	zbor	N;NOM;INDF;SG	N;INAN;GEN;MASC;SG
جوقة	zbore	جُوقَة	zbor	N;NOM;INDF;SG	N;INAN;DAT;MASC;SG
موانئ	prístavov	مِينَاء	prístav	N;NOM;INDF;PL	N;INAN;GEN;MASC;PL
العملاق	obrovský	عِملَاق	obrovský	N;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
العملاق	obrie	عِملَاق	obrí	N;NOM;DEF;SG	N;NOM;NEUT;PL
ريفية	vidieckeho	رِيفِيّ	vidiecky	ADJ;NOM;INDF;FEM;SG	ADJ;GEN;NEUT;SG
ريفية	vidieka	رِيفِيّ	vidiek	ADJ;NOM;INDF;FEM;SG	N;INAN;GEN;MASC;SG
الصهيوني	sionisti	صَهيُونِيّ	?ionista	ADJ;NOM;DEF;MASC;SG	N;ANIM;NOM;MASC;PL
ليلا	nočná	ليلا	nočný	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
ليلا	nočné	ليلا	nočný	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
العجز	invalidný	عَجز	invalidný	N;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG
العجز	deficitu	عَجز	deficita	N;NOM;DEF;SG	N;INAN;GEN;MASC;SG
بولونيا	bolonského	بُولُونِيَا	bolonský		ADJ;GEN;NEUT;SG
نيكولا	nicola	نِيكُولَا	nicnúť		PROPN;NOM;FEM;SG
الفاكهة	ovocia	فَاكِهَة	ovoc	N;NOM;DEF;SG	N;GEN;NEUT;SG
الفاكهة	plody	فَاكِهَة	plod	N;NOM;DEF;SG	N;INAN;NOM;MASC;PL
الفاكهة	ovocie	فَاكِهَة	ovocie	N;NOM;DEF;SG	N;NOM;FEM;PL
حريق	horí	حَرِيق	horieť	N;NOM;INDF;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
الخلط	zmiešaním	خَلط	zmiešaný	N;NOM;DEF;SG	N;INS;NEUT;SG
الخلط	nejasnosti	خَلط	nejasnosť	N;NOM;DEF;SG	N;NOM;FEM;PL
الخلط	zmätené	خَلط	zmätený	N;NOM;DEF;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
الخلط	zmätení	خَلط	zmätený	N;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
الخلط	zmätený	خَلط	zmätený	N;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
المقابر	cintorín	مَقبَر	cintorina	N;NOM;DEF;PL	N;INAN;NOM;MASC;SG
منفصل	rozdelili	مُنفَصِل	rozdeliť	ADJ;NOM;INDF;MASC;SG	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
هود	hood	هود	hood		PROPN;ANIM;NOM;MASC;SG
بديلة	alternatívne	بَدِيلَة	alternatívne	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
بديلة	alternatívna	بَدِيلَة	alternatívny	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
بديلة	alternatívny	بَدِيلَة	alternatívny	N;NOM;INDF;SG	ADJ;INAN;NOM;MASC;SG
بديلة	náhradné	بَدِيلَة	náhradný	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
بديلة	alternatívne	بَدِيلَة	alternatívne	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
بديلة	alternatívna	بَدِيلَة	alternatívny	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
بديلة	alternatívny	بَدِيلَة	alternatívny	N;NOM;INDF;SG	ADJ;INAN;NOM;MASC;SG
الشهادات	osvedčenie	شَهَادَة	osvedčenie	N;NOM;DEF;PL	N;NOM;NEUT;SG
الشهادات	potvrdenie	شَهَادَة	potvrdenie	N;NOM;DEF;PL	N;NOM;NEUT;SG
الشهادات	certifikát	شَهَادَة	certifikát	N;NOM;DEF;PL	N;INAN;NOM;MASC;SG
التنبؤ	predpovede	تَنَبُّؤ	predpoveď	N;NOM;DEF;SG	N;INAN;NOM;MASC;PL
المشرف	nadriadený	مُشرِف	nadriadený	N;NOM;DEF;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
هيلين	helena	هيلين	helena		N;NOM;FEM;SG
هيلين	helen	هيلين	helen		PROPN;NOM;FEM;SG
يفتح	otvorí	فَتَح	otvoriť	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
مثبطات	inhibítorov	مُثَبِّط	inhibítor	N;NOM;INDF;PL	N;INAN;GEN;MASC;PL
الحمد	pochváliť	حَمد	pochváliť	N;NOM;DEF;SG	V;PFV;POS;NFIN
الحمد	pochvalu	حَمد	pochval	N;NOM;DEF;SG	N;ACC;FEM;SG
الحمد	chváliť	حَمد	chváliť	N;NOM;DEF;SG	V;IPFV;POS;NFIN
الصيانة	údržby	صِيَانَة	údržey	N;NOM;DEF;SG	N;NOM;FEM;PL
الصيانة	údržbu	صِيَانَة	údržba	N;NOM;DEF;SG	N;ACC;FEM;SG
التبغ	tabaku	التبغ	tabak	N;NOM;DEF;SG	N;INAN;GEN;MASC;SG
اصدار	verziu	إِصدَار	verzia	N;NOM;INDF;SG	N;ACC;FEM;SG
اصدار	vydať	إِصدَار	vydať	N;NOM;INDF;SG	V;PFV;POS;NFIN
ليلي	lily	لَيلِيّ	lila		N;NOM;FEM;SG
فيشر	fisherová	فيشر	fisherový		ADJ;NOM;FEM;SG
فيشر	fisher	فيشر	fisher		PROPN;ANIM;NOM;MASC;SG
فيشر	rybár	فيشر	rybár		N;ANIM;NOM;MASC;SG
كول	cole	كُول	cola		N;ANIM;NOM;MASC;SG
