الكرامة	αξιοπρέπεια	كَرَامَة	αξιοπρέπεια	N;NOM;DEF;SG	N;ACC;FEM;SG
مصرف	bank	مَصرِف	bank	N;NOM;INDF;SG	
قياسي	στάνταρ	قِيَاسِيّ	στάνταρ	ADJ;NOM;INDF;MASC;SG	N;GEN;NEUT;PL
قياسي	πρότυπο	قِيَاسِيّ	πρότυπο	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;SG
قياسي	standard	قِيَاسِيّ	standard	ADJ;NOM;INDF;MASC;SG	
الكلاسيكي	κλασσική	كلَاسِيكِيّ	κλασσικός		ADJ;NOM;FEM;SG
الكلاسيكي	κλασικά	كلَاسِيكِيّ	κλασικός		ADV
الكلاسيكي	κλασική	كلَاسِيكِيّ	κλασικός		ADJ;NOM;FEM;SG
تلقائي	αυτόματο	تلقائي	αύτομα		N;NOM;NEUT;SG
تلقائي	αυτόματη	تلقائي	αυτόματος		ADJ;NOM;FEM;SG
تلقائي	αυτόματος	تلقائي	αύτομα		ADJ;NOM;MASC;SG
تلقائي	αυτόματες	تلقائي	αυτόματος		ADJ;NOM;FEM;PL
تلقائي	αυτόματα	تلقائي	αυτόματα		ADV
المنتدى	forum	مُنتَدَى	forum	N;NOM;DEF;SG	
خزان	τανκ	خَزَّان	τανκ	N;NOM;INDF;SG	
صممت	σχεδιασμένη	صَمَّم	σχεδιάζω	V;PFV;FEM;SG;3;ACT	V;PFV;NOM;FEM;SG;V.PTCP;PASS
صممت	σχεδιασμένα	صَمَّم	σχεδιασμένα	V;PFV;FEM;SG;3;ACT	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
صممت	σχεδιασμένος	صَمَّم	σχεδιασμένος	V;PFV;FEM;SG;3;ACT	V;PFV;NOM;MASC;SG;V.PTCP;PASS
صممت	σχεδιασμένο	صَمَّم	σχεδιάζω	V;PFV;FEM;SG;3;ACT	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
صممت	σχεδιάστηκε	صَمَّم	σχεδιάζω	V;PFV;FEM;SG;3;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
مجلد	φάκελο	مُجَلَّد	φάκελος	N;NOM;INDF;SG	N;ACC;MASC;SG
وليم	ουίλιαμ	وليم	ουίλιαμ		
وليم	γουίλιαμ	وليم	γουίλιαμ		
قبله	φιλί	قبله	φιλί	PRO;NOM;MASC;SG;3	N;NOM;NEUT;SG
قبله	kiss	قبله	kiss	PRO;NOM;MASC;SG;3	
السكن	στέγαση	سَكَن	στέγαση	N;NOM;DEF;SG	N;ACC;FEM;SG
السكن	στέγασης	سَكَن	στέγαση	N;NOM;DEF;SG	N;GEN;FEM;SG
السكن	ακίνητα	سَكَن	ακίνητος	N;NOM;DEF;SG	N;NOM;NEUT;PL
السكن	καταλύματα	سَكَن	κατάλυμα	N;NOM;DEF;SG	N;NOM;NEUT;PL
السكن	στέγαση	سَكَن	στέγαση	N;NOM;DEF;SG	N;ACC;FEM;SG
حائز	χόλντερ	حَائِز	χόλντερ	N;NOM;INDF;SG	ADV;CMPR
التنقيب	ανασκαφές	تَنقِيب	ανασκαφή	N;NOM;DEF;SG	N;NOM;FEM;PL
البعيد	μακρινές	بَعِيد	μακρινός		ADJ;NOM;FEM;PL
البعيد	απόμακρη	بَعِيد	απόμακρος		ADJ;NOM;FEM;SG
البعيد	απόμακρος	بَعِيد	απόμακρος		ADJ;NOM;MASC;SG
البعيد	μακρινή	بَعِيد	μακρινός		ADJ;NOM;FEM;SG
البعيد	μακρινό	بَعِيد	μακρινός		ADJ;NOM;NEUT;SG
البعيد	απομακρυσμένο	بَعِيد	απομακρύσμενος		V;PFV;NOM;NEUT;SG;V.PTCP;PASS
البعيد	απομακρυσμένα	بَعِيد	απομακρύσμενος		V;PFV;NOM;NEUT;PL;V.PTCP;PASS
البعيد	απομακρυσμένη	بَعِيد	απομακρύω		V;PFV;NOM;FEM;SG;V.PTCP;PASS
جدل	αντιπαράθεση	جَدَل	αντιπαράθεση	N;NOM;INDF;SG	N;ACC;FEM;SG
جدل	διαμάχη	جَدَل	διαμάχη	N;NOM;INDF;SG	N;ACC;FEM;SG
شون	σον	شَون	σον		
شون	σων	شَون	σε		N;NOM;MASC;SG
اسطنبول	κων	اسطنبول	κων		N
اسطنبول	κωνσταντινούπολη	اسطنبول	κωνσταντινούπολη		PROPN;ACC;FEM;SG
اسطنبول	ιστανμπούλ	اسطنبول	ιστανμπούλ		PROPN;NOM;NEUT;SG
باتمان	μπάτμαν	باتمان	μπάτμαν		
يولد	γεννήθηκα	وَلَّد	γεννώ	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;PASS
يولد	γεννημένος	وَلَّد	γεννημένος	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;PFV;NOM;MASC;SG;V.PTCP;PASS
يولد	γεννήθηκε	وَلَّد	γεννώ	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
يولد	γεννηθείς	وَلَّد	γεννηθής	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;MASC;SG
حرق	κάψει	حَرق	κάφει		V;PFV;NFIN;ACT
حرق	καύση	حَرق	καύση		N;NOM;FEM;SG
حرق	κάψιμο	حَرق	κάψιμο		N;NOM;NEUT;SG
حرق	κάψε	حَرق	κάψε		
حرق	έγκαυμα	حَرق	έγκαυμα		N;NOM;NEUT;SG
حرق	καύση	حَرق	καύση		N;NOM;FEM;SG
حرق	κάψιμο	حَرق	κάψιμο		N;NOM;NEUT;SG
النيجر	νίγηρα	النيجر	νίγηρα		
نقش	χάραξη	نَقش	χάραξη	N;NOM;INDF;SG	N;ACC;FEM;SG
نقش	χάραξης	نَقش	χάραξη	N;NOM;INDF;SG	N;GEN;FEM;SG
فلورنسا	φλωρεντία	فِلُورَنسَا	φλωρεντία		PROPN;NOM;FEM;SG
فلورنسا	φλόρενς	فِلُورَنسَا	φλόρες		
بورت	μπερτ	بُورت	μπερτ		
بورت	λιμάνι	بُورت	λιμάνι		N;NOM;NEUT;SG
بورت	πορτ	بُورت	πορτ		
بورت	λιμένας	بُورت	λιμένα		N;NOM;MASC;SG
بورت	θύρα	بُورت	θύρα		N;NOM;FEM;SG
مترجم	μεταφραστή	مُتَرجِم	μεταφραστής	N;NOM;INDF;SG	N;ACC;MASC;SG
مترجم	διερμηνέα	مُتَرجِم	διερμηνέα	N;NOM;INDF;SG	N;ACC;MASC;SG
مترجم	υπότιτλους	مُتَرجِم	υπότιτλο	N;NOM;INDF;SG	N;NOM;MASC;PL
تام	ταμ	تَامّ	ο	ADJ;NOM;INDF;MASC;SG	
عال	high	عَالِي	high	N;NOM;INDF;SG	
عال	ψηλά	عَالِي	ψηλώ	N;NOM;INDF;SG	ADV
عال	υψηλή	عَالِي	ψηλός	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
عال	υψηλός	عَالِي	υψηλός	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
عال	υψηλό	عَالِي	ψηλός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
عال	δυνατά	عَالِي	δυνατός	N;NOM;INDF;SG	ADV
مريض	ασθενής	مَرِيض	ασθενής	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
مريض	ασθενή	مَرِيض	ασθενής	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
مريض	άρρωστος	مَرِيض	άρρωστος	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
مريض	άρρωστοι	مَرِيض	άρρωστος	N;NOM;INDF;SG	ADJ;NOM;MASC;PL
مريض	άρρωστη	مَرِيض	άρρωστος	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
مريض	άρρωστο	مَرِيض	άρρωστος	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
جرعة	δόσης	جُرعَة	δόση	N;NOM;INDF;SG	N;GEN;FEM;SG
مناورات	ελιγμούς	مُنَاوَرَة	ελιγμός	N;NOM;INDF;PL	N;ACC;MASC;PL
مناورات	ελιγμούς	مُنَاوَرَة	ελιγμός	N;NOM;INDF;PL	N;ACC;MASC;PL
مثيرة	sexy	مُثِير	sexy	ADJ;NOM;INDF;FEM;SG	
مثيرة	σέξι	مُثِير	σέξι	ADJ;NOM;INDF;FEM;SG	N;NOM;FEM;SG
مثيرة	σέξυ	مُثِير	σέξυ	ADJ;NOM;INDF;FEM;SG	N;NOM;FEM;SG
مثيرة	συναρπαστικά	مُثِير	συναρπαστικά	ADJ;NOM;INDF;FEM;SG	ADV
المقيمين	κάτοικοι	مُقِيم	κάτοικος	ADJ;ACC;DEF;MASC;PL	N;NOM;MASC;PL
المقيمين	κατοίκους	مُقِيم	κάτοικος	ADJ;ACC;DEF;MASC;PL	N;ACC;MASC;PL
المثالية	ιδεαλισμό	المثالية	ιδεαλισμός	N;NOM;DEF;SG	N;ACC;MASC;SG
الشفاء	επούλωση	شِفَاء	επούλωση	N;NOM;DEF;SG	N;ACC;FEM;SG
شتاء	χειμώνα	شِتَاء	χειμώνω	N;NOM;INDF;SG	N;NOM;NEUT;PL
شتاء	γουίντερ	شِتَاء	γουίντερ	N;NOM;INDF;SG	
شرب	πίνω	شُرب	πίνω	N;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
شرب	πίνουμε	شُرب	πίνω	N;NOM;INDF;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
شرب	πίνοντας	شُرب	πίνω	N;NOM;INDF;SG	V;IPFV;V.CVB;ACT
اكتساب	αποκτήσει	اِكتِسَاب	αποκτώ	N;NOM;INDF;SG	V;PFV;NFIN;ACT
اكتساب	απόκτηση	اِكتِسَاب	απόκτηση	N;NOM;INDF;SG	N;ACC;FEM;SG
ليوناردو	leonardo	ليوناردو	leonardo		
ليوناردو	λεονάρντο	ليوناردو	λεονάρντος		
بورما	βιρμανία	بُورمَا	βιρμανία		N;NOM;FEM;SG
بورما	βιρμανίας	بُورمَا	βιρμανία		N;GEN;FEM;SG
سين	σεν	سَين	σεν		
النزاعات	διαφορών	نِزَاع	διαφορά	N;NOM;DEF;PL	N;GEN;FEM;PL
منتظم	τακτικά	مُنتَظِم	τακτικός	ADJ;NOM;INDF;MASC;SG	ADV
رمزي	συμβολική	رَمزِيّ	συμβολικός		ADJ;NOM;FEM;SG
رمزي	συμβολικά	رَمزِيّ	συμβολικά		ADV
رمزي	συμβολικό	رَمزِيّ	συμβολικός		ADJ;NOM;NEUT;SG
استكشاف	εξερεύνηση	اِستِكشَاف	εξερεύνηση	N;NOM;INDF;SG	N;ACC;FEM;SG
استكشاف	εξερεύνηση	اِستِكشَاف	εξερεύνηση	N;NOM;INDF;SG	N;ACC;FEM;SG
درعا	πανοπλία	دَرَّع	πανοπλία		N;NOM;FEM;SG
درعا	ασπιδα	دَرَّع	ασπιδα		N
درعا	ασπίδα	دَرَّع	ασπίδα		N;NOM;FEM;SG
الصانع	κατασκευαστή	صَانِع	κατασκευαστής	N;NOM;DEF;SG	N;ACC;MASC;SG
فرس	φοράδα	فَرَس	φοράδα		N;NOM;FEM;SG
الذئاب	λύκους	ذَائِب	λύκος		N;ACC;MASC;PL
الذئاب	λύκοι	ذَائِب	λύκος		N;NOM;MASC;PL
المواصفات	προδιαγραφή	مُوَاصَفَة	προδιαγραφή	N;NOM;DEF;PL	N;NOM;FEM;SG
كيب	κιπ	كيب	κιπ		
زر	κουμπί	زر	κουμπί		
شعور	αίσθηση	شُعُور	αίσθηση	N;NOM;INDF;SG	N;ACC;FEM;SG
العملاق	γιγάντια	عِملَاق	γιγάντια	N;NOM;DEF;SG	ADV
العملاق	γίγαντα	عِملَاق	γίγαντα	N;NOM;DEF;SG	N;ACC;MASC;SG
العملاق	γιγαντιαίο	عِملَاق	γιγαντιαίος	N;NOM;DEF;SG	ADJ;NOM;NEUT;SG
ريفية	αγροτικές	رِيفِيّ	αγροτικός	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;PL
الصهيوني	σιωνιστές	صَهيُونِيّ	σιωνιστής	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;PL
ليلا	νύχτα	ليلا	νύχτα	N;NOM;INDF;SG	N;ACC;FEM;SG
ليلا	βραδιά	ليلا	βραδιά	N;NOM;INDF;SG	N;ACC;FEM;SG
العجز	αναπηρίας	عَجز	αναπηρία	N;NOM;DEF;SG	N;GEN;FEM;SG
العجز	αναπηρία	عَجز	αναπηρία	N;NOM;DEF;SG	N;NOM;NEUT;PL
العجز	ανικανότητα	عَجز	ανικανότητα	N;NOM;DEF;SG	N;ACC;FEM;SG
الانتقام	εκδίκηση	اِنتِقَام	εκδίκηση	N;NOM;DEF;SG	N;ACC;FEM;SG
بولونيا	μπολόνια	بُولُونِيَا	μπολόνια		ADV
نيكولا	νικόλα	نِيكُولَا	νικόλα		PROPN;NOM;MASC;SG
نيكولا	νίκολα	نِيكُولَا	νίκολα		
الضابط	αξιωματικός	ضَابِط	αξιωματικός	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
الفاكهة	καρποί	فَاكِهَة	καρπός	N;NOM;DEF;SG	N;NOM;MASC;PL
الفاكهة	φρούτα	فَاكِهَة	φρούτα	N;NOM;DEF;SG	N;NOM;NEUT;PL
الكود	κωδικός	الكود	κωδικός	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
حريق	φωτιά	حَرِيق	φωτιό	N;NOM;INDF;SG	N;ACC;FEM;SG
الخلط	ανάμειξη	خَلط	ανάμειξη	N;NOM;DEF;SG	N;ACC;FEM;SG
الخلط	ανάμιξη	خَلط	ανάμιξη	N;NOM;DEF;SG	N;ACC;FEM;SG
الخلط	σύγχυση	خَلط	σύγχυση	N;NOM;DEF;SG	N;ACC;FEM;SG
الخلط	μπερδεμένοι	خَلط	μπερδεμένος	N;NOM;DEF;SG	V;PFV;NOM;MASC;PL;V.PTCP;PASS
الخلط	μπερδεμένος	خَلط	μπερδεμένος	N;NOM;DEF;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
الخلط	μπερδεμένη	خَلط	μπερδεμένος	N;NOM;DEF;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
الخلط	σύγχυση	خَلط	σύγχυση	N;NOM;DEF;SG	N;ACC;FEM;SG
الزهراء	ζάρα	زَهرَاء	ζάρα	N;NOM;DEF;SG	
زمان	zaman	زَمَان	zaman	N;NOM;INDF;SG	
المقابر	νεκροταφείο	مَقبَر	νεκροταφείο	N;NOM;DEF;PL	N;NOM;NEUT;SG
المقابر	κοιμητήριο	مَقبَر	κοιμητήριο	N;NOM;DEF;PL	N;NOM;NEUT;SG
تصريح	εξουσιοδότηση	تَصرِيح	εξουσιοδότηση	N;NOM;INDF;SG	N;ACC;FEM;SG
منفصل	χωρισμένοι	مُنفَصِل	χωρισμένος	ADJ;NOM;INDF;MASC;SG	V;PFV;NOM;MASC;PL;V.PTCP;PASS
منفصل	χωρισμένος	مُنفَصِل	χωρισμένος	ADJ;NOM;INDF;MASC;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
منفصل	ξεχωριστά	مُنفَصِل	ξεχωριστώ	ADJ;NOM;INDF;MASC;SG	ADV
منفصل	χωριστά	مُنفَصِل	χωριστώ	ADJ;NOM;INDF;MASC;SG	ADV
هود	κουκούλα	هود	κουκούλα		N;NOM;FEM;SG
هود	χουντ	هود	χουντ		
هود	καπό	هود	καπό		N;NOM;NEUT;SG
بديلة	εναλλακτικό	بَدِيلَة	εναλλακτικός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
بديلة	εναλλακτικά	بَدِيلَة	εναλλακτικά	N;NOM;INDF;SG	ADV
بديلة	εναλλακτική	بَدِيلَة	εναλλακτικός	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
بديلة	εναλλακτικό	بَدِيلَة	εναλλακτικός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
بديلة	εναλλακτική	بَدِيلَة	εναλλακτικός	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
ذروة	κορύφωση	ذُروَة	κορύφωση	N;NOM;INDF;SG	N;ACC;FEM;SG
ذروة	κορύφωση	ذُروَة	κορύφωση	N;NOM;INDF;SG	N;ACC;FEM;SG
ذروة	κορυφή	ذُروَة	κορυφή	N;NOM;INDF;SG	N;ACC;FEM;SG
الشيعية	σιίτης	شِيعِيّ	σιίτης	ADJ;NOM;DEF;FEM;SG	N;NOM;FEM;SG
الشهادات	πιστοποιητικό	شَهَادَة	πιστοποιητικό	N;NOM;DEF;PL	N;NOM;NEUT;SG
الشهادات	πιστοποιητικά	شَهَادَة	πιστοποιητικά	N;NOM;DEF;PL	ADV
التنبؤ	πρόβλεψη	تَنَبُّؤ	πρόβλεψη	N;NOM;DEF;SG	N;ACC;FEM;SG
المشرف	συντονιστή	مُشرِف	συντονιστής	N;NOM;DEF;SG	N;VOC;MASC;SG
هيلين	ελένη	هيلين	ελένη		PROPN;NOM;FEM;SG
هيلين	ελενη	هيلين	ελενώ		N;NOM;FEM;SG
هيلين	έλεν	هيلين	έλεν		
هيلين	helen	هيلين	helen		
الحمد	έπαινος	حَمد	έπαινος	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
الحمد	επαίνους	حَمد	επαίνος	N;NOM;DEF;SG	N;ACC;MASC;PL
الصيانة	συντήρησης	صِيَانَة	συντήρηση	N;NOM;DEF;SG	N;GEN;FEM;SG
الصيانة	διατήρηση	صِيَانَة	διατήρηση	N;NOM;DEF;SG	N;ACC;FEM;SG
الانتقالية	μεταβατικά	اِنتِقَالِيّ	μεταβατικά	ADJ;NOM;DEF;FEM;SG	ADV
الانتقالية	μεταβατικές	اِنتِقَالِيّ	μεταβατικός	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;PL
التبغ	καπνού	التبغ	καπνού	N;NOM;DEF;SG	N;GEN;NEUT;SG
التبغ	καπνό	التبغ	καπνό	N;NOM;DEF;SG	N;ACC;MASC;SG
التبغ	καπνά	التبغ	καπνά	N;NOM;DEF;SG	N;NOM;NEUT;PL
اصدار	έκδοση	إِصدَار	έκδοση	N;NOM;INDF;SG	N;ACC;FEM;SG
اصدار	έκδοση	إِصدَار	έκδοση	N;NOM;INDF;SG	N;ACC;FEM;SG
اصدار	εκδοχή	إِصدَار	εκδοχή	N;NOM;INDF;SG	N;ACC;FEM;SG
ليلي	λίλυ	لَيلِيّ	λίλς		
ليلي	lily	لَيلِيّ	lily		
ليلي	λίλι	لَيلِيّ	λίλι		
فيشر	φίσερ	فيشر	φίσερ		
كول	cole	كُول	cole		
كول	κόουλ	كُول	κόουλ		PROPN;NOM;MASC;SG
صغار	νεαρός	صَغِير	νεαρός	N;NOM;INDF;PL	N;NOM;MASC;SG
صغار	νέος	صَغِير	νέος	N;NOM;INDF;PL	ADJ;NOM;MASC;SG
راسل	ράσελ	رَاسِل	ράσελ		
راسل	russell	رَاسِل	russell		
الكبريت	θείου	كِبرِيت	θείος	N;NOM;DEF;SG	N;GEN;NEUT;SG
الظل	σκιές	ظِلّ	σκιός	N;NOM;DEF;SG	N;NOM;FEM;PL
كارتر	κάρτερ	كارتر	κάρτερ		PROPN;NOM;MASC;SG
كارتر	carter	كارتر	carter		
نيفادا	νεβάδα	نيفادا	νεβάδα		PROPN;NOM;FEM;SG
القلم	πεν	قَلَم	πεν	N;NOM;DEF;SG	
القلم	pen	قَلَم	pen	N;NOM;DEF;SG	
التقديرات	εκτίμηση	تَقدِير	εκτίμηση	N;NOM;DEF;PL	N;ACC;FEM;SG
تدرج	κλίση	دَرَج	κλίση	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;FEM;SG
تدرج	διαβάθμιση	دَرَج	διαβάθμιση	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;ACC;FEM;SG
تدرج	ένθετο	دَرَج	ένθετος	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;NEUT;SG
تدرج	εισαγωγή	دَرَج	εισαγωγή	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;FEM;SG
مواصلة	συνέχιση	مُوَاصَلَة	συνέχιση	N;NOM;INDF;SG	N;ACC;FEM;SG
مواصلة	συνέχιση	مُوَاصَلَة	συνέχιση	N;NOM;INDF;SG	N;ACC;FEM;SG
مواصلة	συνεχίστε	مُوَاصَلَة	συνεχίζω	N;NOM;INDF;SG	V;PFV;IMP;PL;2;FIN;ACT
مواصلة	συνέχεια	مُوَاصَلَة	συνέχεια	N;NOM;INDF;SG	N;ACC;FEM;SG
مواصلة	συνέχισε	مُوَاصَلَة	συνεχίζω	N;NOM;INDF;SG	V;PFV;IND;SG;3;PST;FIN;ACT
كاي	kai	كَاي	kai		
كاي	κάι	كَاي	κάι		
كاي	κέι	كَاي	κέι		PROPN;NOM;MASC;SG
تغيرت	άλλαξα	تَغَيَّر	άλλαξα	V;PFV;FEM;SG;3;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
هول	χωλ	هُول	χωλ		N;NOM;NEUT;SG
هول	hall	هُول	hall		
هول	χολ	هُول	χολ		
هول	ουρλιαχτό	هُول	ουρλιαχτός		N;NOM;NEUT;SG
مشارك	συμμετέχοντα	مَشرَكَة	συμμετέχων	N;NOM;INDF;SG	ADV
مشارك	συμμετέχων	مَشرَكَة	συμμετέχω	N;NOM;INDF;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
الطقوس	τελετουργικό	طَقوَس	τελετουργικός	N;NOM;DEF;PL	ADJ;NOM;NEUT;SG
الطقوس	τελετουργία	طَقوَس	τελετουργία	N;NOM;DEF;PL	N;NOM;FEM;SG
الطقوس	ιεροτελεστία	طَقوَس	ιεροτελεστία	N;NOM;DEF;PL	N;NOM;FEM;SG
الطقوس	τελετουργικά	طَقوَس	τελετουργικά	N;NOM;DEF;PL	ADV
الفطر	μανιτάρια	فِطر	μανιτάριο	N;NOM;DEF;SG	N;NOM;NEUT;PL
دل	ντελ	دَلّ	ντελ	V;PFV;MASC;SG;3;ACT	
دل	del	دَلّ	del	V;PFV;MASC;SG;3;ACT	
جرذ	ποντικός	جُرذ	ποντικός	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
جرذ	αρουραίος	جُرذ	αρουραίος	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
سكاي	ουρανού	سَاكِي	ουρανός		N;GEN;NEUT;SG
سكاي	ουρανός	سَاكِي	ουρανός		ADJ;NOM;MASC;SG
سكاي	ουρανό	سَاكِي	ουρανός		N;ACC;MASC;SG
سكاي	s	سَاكِي	s		
سكاي	σκάι	سَاكِي	σκάι		
ثمان	eight	ثَمَانِيَة	eight	NUM;NOM;INDF;FEM	
الناجحة	επιτυχημένη	نَاجِح	επιτυχημένος	ADJ;NOM;DEF;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
الناجحة	επιτυχές	نَاجِح	επιτυχής	ADJ;NOM;DEF;FEM;SG	N;NOM;NEUT;SG
السجل	ρεκόρ	سِجِلّ	ρεκόρ	N;NOM;DEF;SG	
موحدة	ενοποιημένο	مُوَحَّد	ενοποιώ	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
موحدة	ενοποιημένη	مُوَحَّد	ενοποιώ	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
موحدة	τυποποιημένο	مُوَحَّد	τυποποιώ	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
موحدة	τυποποιημένα	مُوَحَّد	τυποποιώ	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
موحدة	τυποποιημένη	مُوَحَّد	τυποποιώ	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
موحدة	τυποποιημένες	مُوَحَّد	τυποποιώ	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;FEM;PL;V.PTCP;PASS
موحدة	στολή	مُوَحَّد	στολή	ADJ;NOM;INDF;FEM;SG	N;NOM;FEM;SG
التحدي	πρόκληση	تَحَدِّي	πρόκληση	N;NOM;DEF;SG	N;ACC;FEM;SG
سونغ	σανγκ	سونغ	σανγκ		N
سونغ	σουνγκ	سونغ	σουνγκ		N
سونغ	τραγουδι	سونغ	τραγουδι		N;NOM;NEUT;SG
سونغ	τραγούδι	سونغ	τραγούδι		N;NOM;NEUT;SG
سونغ	σονγκ	سونغ	σονγκ		
محاضرة	διάλεξη	مُحَاضَرَة	διάλεξη	N;NOM;INDF;SG	N;ACC;FEM;SG
الالكترونية	ηλεκτρονικά	إِلِكترُونِيّ	ηλεκτρονικά	ADJ;NOM;DEF;FEM;SG	ADV
هوليوود	χόλιγουντ	هوليوود	χόλιγουντ		PROPN;NOM;MASC;PL
هوليوود	χόλλυγουντ	هوليوود	χόλλυγουντ		N;NOM;MASC;SG
هوليوود	hollywood	هوليوود	hollywood		
هوليوود	χόλυγουντ	هوليوود	χόλυγουντ		N;NOM;MASC;PL
بوير	boyer	بوير	boyer		
الديناصورات	δεινόσαυροι	دِينَاصُور	δεινόσαυρος		ADJ;NOM;MASC;PL
الديناصورات	δεινόσαυρους	دِينَاصُور	δεινόσαυρος		PROPN;NOM;MASC;PL
الديناصورات	δεινόσαυρο	دِينَاصُور	δεινόσαυρος		N
الديناصورات	δεινόσαυρος	دِينَاصُور	δεινόσαυρος		ADJ;NOM;MASC;SG
