から	fra	から	fra	CONJ	ADV
研究	forskning	研究	forskning	V	N;INDF;MASC+FEM;SG
会話	samtalen	会話	samtale	V	N;DEF;MASC+FEM;SG
会話	samtale	会話	samtale	V	N;INDF;MASC+FEM;SG
会話	konversation	会話	konversation	V	N;INDF;MASC+FEM;SG
会話	samtaler	会話	samtale	V	N;INDF;MASC+FEM;PL
大阪	osaka	大阪	osaka	PROPN	
チーム	hold	チーム	holde	N	V;IMP
チーム	hold	チーム	holde	N	V;IMP
存在	eksistensen	存在	eksistens	V	N;DEF;MASC+FEM;SG
存在	eksistens	存在	eksistens	V	N;INDF;MASC+FEM;SG
所属	tilslutning	所属	tilslutning	V	N;INDF;MASC+FEM;SG
所属	tilknytning	所属	tilknytning	V	N;INDF;MASC+FEM;SG
所属	tilhørsforhold	所属	tilhørsforhold	V	N;INDF;NEUT;SG
国際	international	国際	international	N	ADJ;INDF;MASC+FEM;SG
国際	internationalt	国際	international	N	ADJ;INDF;NEUT;SG
国際	internationale	国際	international	N	ADJ;PL
一部	nogle	一部	nogen	N	PRO;PL
一部	delvist	一部	delvist	N	ADV
一部	delvis	一部	delvis	N	ADV
バス	bus	バス	bus	PROPN	N;INDF;MASC+FEM;SG
バス	bussen	バス	bus	PROPN	N;DEF;MASC+FEM;SG
バス	bassen	バス	basse	PROPN	N;DEF;MASC+FEM;SG
バス	bass	バス	bass	PROPN	
バス	bas	バス	bas	PROPN	N;INDF;MASC+FEM;SG
バス	busser	バス	bus	PROPN	N;INDF;MASC+FEM;PL
バス	busserne	バス	bus	PROPN	N;DEF;MASC+FEM;PL
ゲーム	vildt	ゲーム	vildt	N	ADJ;INDF;NEUT;SG
ゲーム	spillet	ゲーム	spille	N	V;INDF;SG;PST;V.PTCP
利用	indfrielse	利用	indfrielse	V	N;INDF;MASC+FEM;SG
利用	indløsning	利用	indløsning	V	N;INDF;MASC+FEM;SG
開発	udviklingen	開発	udvikling	V	N;DEF;MASC+FEM;SG
開発	udvikling	開発	udvikling	V	N;INDF;MASC+FEM;SG
決定	afgørelse	決定	afgørelse	V	N;INDF;MASC+FEM;SG
決定	beslutning	決定	beslutning	V	N;INDF;MASC+FEM;SG
決定	afgørelsen	決定	afgørelse	V	N;DEF;MASC+FEM;SG
決定	afgørelser	決定	afgørelse	V	N;INDF;MASC+FEM;PL
決定	beslutninger	決定	beslutning	V	N;INDF;MASC+FEM;PL
音楽	music	音楽	music	N	
転送	fremadrettet	転送	fremadret	V	N;DEF;NEUT;SG
転送	frem	転送	frem	V	ADV
転送	fremad	転送	fremad	V	ADV
転送	transfer	転送	transf	V	N;INDF;MASC+FEM;SG
転送	overdragelse	転送	overdragelse	V	N;INDF;MASC+FEM;SG
転送	overførsel	転送	overførsel	V	N;INDF;MASC+FEM;SG
転送	forflyttelse	転送	forflyttelse	V	N;INDF;MASC+FEM;SG
転送	overførsler	転送	overførsel	V	N;INDF;MASC+FEM;PL
公式	formel	公式	formel	ADJ	N;INDF;MASC+FEM;SG
公式	officielt	公式	officielt	ADJ	ADV
公式	embedsmand	公式	embedsmand	ADJ	N;INDF;MASC+FEM;SG
公式	tjenestemand	公式	tjenestemand	ADJ	N;INDF;MASC+FEM;SG
参加	deltagelse	参加	deltagelse	V	N;INDF;MASC+FEM;SG
参加	medindflydelse	参加	medindflydelse	V	N;INDF;MASC+FEM;SG
参加	medbestemmelse	参加	medbestemmelse	V	N;INDF;MASC+FEM;SG
変更	forandringer	変更	forandring	V	N;INDF;MASC+FEM;PL
変更	ændringer	変更	ændringe	V	N;INDF;MASC+FEM;PL
変更	skift	変更	skift	V	N;INDF;NEUT;SG
変更	ændring	変更	ændring	V	N;INDF;MASC+FEM;SG
変更	forandring	変更	forandring	V	N;INDF;MASC+FEM;SG
編曲	arrangerede	編曲	arrangere	N	V;IND;PST;FIN;ACT
編曲	arrangeret	編曲	arrangere	N	V;INDF;SG;PST;V.PTCP
記録	optagelse	記録	optagelse	V	N;INDF;MASC+FEM;SG
記録	registrering	記録	registrering	V	N;INDF;MASC+FEM;SG
記録	indspilning	記録	indspilning	V	N;INDF;MASC+FEM;SG
記録	plade	記録	plade	V	N;INDF;MASC+FEM;SG
記録	record	記録	record	V	
記録	rekord	記録	rekord	V	N;INDF;MASC+FEM;SG
中央	chūō	中央	chūō	N	
中央	centralt	中央	centralt	N	ADJ;INDF;NEUT;SG
中央	centreret	中央	centerere	N	V;INDF;SG;PST;V.PTCP
中央	centreret	中央	centerere	N	V;INDF;SG;PST;V.PTCP
設立	iblanding	設立	iblanding	V	N;INDF;MASC+FEM;SG
設立	oprettelse	設立	oprettelse	V	N;INDF;MASC+FEM;SG
設立	opstilling	設立	opstilling	V	N;INDF;MASC+FEM;SG
設立	etablering	設立	etablering	V	N;INDF;MASC+FEM;SG
考え	tænkning	考える	tænkning	V	N;INDF;MASC+FEM;SG
考え	tanker	考える	tanke	V	N;INDF;MASC+FEM;PL
プロ	pro	プロ	pro	N	
設置	montering	設置	montering	V	N;INDF;MASC+FEM;SG
設置	installering	設置	installering	V	N;INDF;MASC+FEM;SG
設置	installation	設置	installation	V	N;INDF;MASC+FEM;SG
設置	anlæg	設置	anlæg	V	N;INDF;NEUT;SG
発表	meddelelse	発表	meddelelse	V	N;INDF;MASC+FEM;SG
発表	bekendtgørelse	発表	bekendtgørelse	V	N;INDF;MASC+FEM;SG
発表	udmelding	発表	udmelding	V	N;INDF;MASC+FEM;SG
発表	annoncering	発表	annoncering	V	N;INDF;MASC+FEM;SG
発表	bekendtgørelser	発表	bekendtgørelse	V	N;INDF;MASC+FEM;PL
小学校	elementær	小学校	elementær	N	ADJ;INDF;MASC+FEM;SG
小学校	elementært	小学校	elementært	N	ADJ;INDF;NEUT;SG
小学校	elementære	小学校	elementær	N	ADJ;PL
編集	redigering	編集	redigering	V	N;INDF;MASC+FEM;SG
フランス	frankrig	フランス	frankrig	PROPN	
フランス	france	フランス	france	PROPN	
都市	city	都市	city	N	
出版	forlægger	出版	forlægge	V	N;INDF;MASC+FEM;SG
出版	forlag	出版	forlag	V	N;INDF;NEUT;SG
出版	offentliggørelse	出版	offentliggørelse	V	N;INDF;MASC+FEM;SG
出版	udgivelse	出版	udgivelse	V	N;INDF;MASC+FEM;SG
出版	forlagsvirksomhed	出版	forlagsvirksomhed	V	N;INDF;MASC+FEM;SG
出版	offentliggørelse	出版	offentliggørelse	V	N;INDF;MASC+FEM;SG
出版	udgivelse	出版	udgivelse	V	N;INDF;MASC+FEM;SG
出版	publikation	出版	publikation	V	N;INDF;MASC+FEM;SG
ノート	bemærk	ノート	bemærke	N	V;IMP
京都	kyoto	京都	kyoto	PROPN	
社会	society	社会	society	N	
ドイツ	tyskland	ドイツ	tyskland	PROPN	PROPN
シングル	enkelt	シングル	enkelt	N	ADJ;INDF;SG
シングル	enlige	シングル	enlig	N	ADJ;PL
シングル	enlig	シングル	enlig	N	ADJ;INDF;MASC+FEM;SG
センター	centreret	センター	centerere	N	V;INDF;SG;PST;V.PTCP
センター	centreret	センター	centerere	N	V;INDF;SG;PST;V.PTCP
終了	slutning	終了	slutning	V	N;INDF;MASC+FEM;SG
終了	afslutning	終了	afslutning	V	N;INDF;MASC+FEM;SG
終了	slut	終了	slut	V	N
終了	ende	終了	ende	V	N;INDF;MASC+FEM;SG
終了	ophør	終了	ophør	V	N;INDF;NEUT;SG
終了	færdig	終了	færdig	V	ADJ;INDF;MASC+FEM;SG
終了	færdigt	終了	færdig	V	ADJ;INDF;NEUT;SG
終了	færdige	終了	færdig	V	ADJ;PL
終了	exit	終了	exit	V	N;INDF;NEUT;SG
終了	udgang	終了	udgang	V	N;INDF;MASC+FEM;SG
中心	centreret	中心	centerere	N	V;INDF;SG;PST;V.PTCP
中心	centreret	中心	centerere	N	V;INDF;SG;PST;V.PTCP
イギリス	englands	イギリス	englands	PROPN	N;GEN;INDF;MASC+FEM;SG
イギリス	england	イギリス	england	PROPN	PROPN
中国	porcelæn	中国	porcelæn	PROPN	N;INDF;MASC+FEM;SG
中国	china	中国	china	PROPN	
中国	kina	中国	kina	PROPN	PROPN
撮影	fotografering	撮影	fotografering	V	N;INDF;MASC+FEM;SG
撮影	fotografi	撮影	fotografi	V	N;INDF;NEUT;SG
指定	betegnelse	指定	betegnelse	V	N;INDF;MASC+FEM;SG
指定	udpegelse	指定	udpegelse	V	N;INDF;MASC+FEM;SG
指定	udpegning	指定	udpegning	V	N;INDF;MASC+FEM;SG
位置	position	位置	position	V	N;INDF;MASC+FEM;SG
位置	stilling	位置	stilling	V	N;INDF;MASC+FEM;SG
位置	holdning	位置	holdning	V	N;INDF;MASC+FEM;SG
以下	nedenfor	以下	nedenfor	N	ADV
以下	under	以下	under	N	ADV
以下	nedenunder	以下	nedenunder	N	ADV
卒業	eksamen	卒業	eksamen	V	N;INDF;MASC+FEM;SG
卒業	graduering	卒業	graduering	V	N;INDF;MASC+FEM;SG
文庫	bunko	文庫	bunko	N	
公開	offentlighed	公開	offentlighed	V	N;INDF;MASC+FEM;SG
公開	offentligt	公開	offentligt	V	ADV
公開	offentlige	公開	offentlig	V	ADJ;PL
公開	offentligheden	公開	offentlighed	V	N;DEF;MASC+FEM;SG
公開	offentlig	公開	offentlig	V	ADJ;INDF;MASC+FEM;SG
北海道	hokkaido	北海道	hokkaido	PROPN	
北海道	hokkaidō	北海道	hokkaidō	PROPN	
最終	sidste	最終	sidste	N	ADJ
最終	sidst	最終	sidst	N	ADV
最終	afsluttende	最終	afslutte	N	V;PRS;V.PTCP
最終	endeligt	最終	endelig	N	ADV
最終	endelige	最終	endelig	N	ADJ;PL
最終	endelig	最終	endelig	N	ADV
アニメ	anime	アニメ	anim	N	
確認	bekræftelse	確認	bekræftelse	V	N;INDF;MASC+FEM;SG
一般	generelt	一般	generel	N	ADV
一般	generel	一般	generel	N	ADJ;INDF;MASC+FEM;SG
一般	generelle	一般	generel	N	ADJ;PL
一般	almindelig	一般	almindelig	N	ADJ;INDF;MASC+FEM;SG
計画	planlagte	計画	planlægge	N	V;PL;PST;V.PTCP
計画	planlagt	計画	planlægge	N	V;INDF;SG;PST;V.PTCP
計画	påtænkt	計画	påtænke	N	V;INDF;SG;PST;V.PTCP
ページ	siden	ページ	siden	N	ADV
ページ	page	ページ	page	N	
英語	engelske	英語	engelsk	N	ADJ;PL
英語	engelsk	英語	engelsk	N	ADJ;INDF;SG
英語	english	英語	english	N	
女性	woman	女性	woman	N	
女性	kvindelig	女性	kvindelig	N	ADJ;INDF;MASC+FEM;SG
女性	kvindelige	女性	kvindelig	N	ADJ;PL
得点	score	得点	score	N	V;NFIN;ACT
コメント	kommentere	コメント	kommentere	N	V;NFIN;ACT
コメント	kommentere	コメント	kommentere	N	V;NFIN;ACT
コメント	kommenteret	コメント	kommentere	N	V;INDF;SG;PST;V.PTCP
コメント	kommenterede	コメント	kommentere	N	V;PL;PST;V.PTCP
コメント	kommenterer	コメント	kommentere	N	V;IND;PRS;FIN;ACT
漫画	manga	漫画	manga	N	
他の	andre	他の	anden	ADJ	PRO;PL
就任	antagelse	就任	antagelse	V	N;INDF;MASC+FEM;SG
就任	formodning	就任	formodning	V	N;INDF;MASC+FEM;SG
廃止	afskaffelse	廃止	afskaffelse	V	N;INDF;MASC+FEM;SG
廃止	ophævelse	廃止	ophævelse	V	N;INDF;MASC+FEM;SG
販売	salget	販売	salg	V	N;DEF;NEUT;SG
販売	salg	販売	salg	V	N;INDF;NEUT;SG
攻撃	attentater	攻撃	attentat	V	N;INDF;NEUT;PL
攻撃	angriber	攻撃	angriber	V	N;INDF;MASC+FEM;SG
攻撃	angreb	攻撃	angreb	V	N;INDF;NEUT;SG
攻撃	angrebet	攻撃	angreb	V	N;DEF;NEUT;SG
攻撃	angriber	攻撃	angriber	V	N;INDF;MASC+FEM;SG
攻撃	angreb	攻撃	angreb	V	N;INDF;NEUT;SG
リー	lee	リー	lee	N	
全国	landsdækkende	全国	landsdækkende	N	ADJ
デビュー	debut	デビュー	debut	V	N;INDF;MASC+FEM;SG
フジ	fuji	フジ	fuji	PROPN	
戦争	war	戦争	war	N	
製作	produktion	製作	produktion	V	N;INDF;MASC+FEM;SG
製作	fremstilling	製作	fremstilling	V	N;INDF;MASC+FEM;SG
当初	oprindeligt	当初	oprindeligt	N	ADV
当初	oprindelig	当初	oprindelig	N	ADV
最初	første	最初	første	N	ADJ
最初	først	最初	først	N	ADV
受賞	tildelinger	受賞	tildeling	V	N;INDF;MASC+FEM;PL
受賞	awards	受賞	award	V	
受賞	tilslag	受賞	tilslag	V	
受賞	award	受賞	award	V	N;INDF;MASC+FEM;SG
受賞	tildeling	受賞	tildeling	V	N;INDF;MASC+FEM;SG
広島	hiroshima	広島	hiroshima	PROPN	
場所	place	場所	place	N	
海軍	navy	海軍	navy	N	
リンク	link	リンク	link	V	N;INDF;NEUT;SG
リンク	linket	リンク	linke	V	N;DEF;NEUT;SG
リンク	link	リンク	link	V	N;INDF;NEUT;SG
リンク	links	リンク	links	V	N;INDF;NEUT;SG
合併	fusion	合併	fusion	V	N;INDF;MASC+FEM;SG
合併	sammenslutning	合併	sammenslutning	V	N;INDF;MASC+FEM;SG
合併	sammenlægning	合併	sammenlægning	V	N;INDF;MASC+FEM;SG
合併	fusioner	合併	fusion	V	N;INDF;MASC+FEM;PL
合併	fusion	合併	fusion	V	N;INDF;MASC+FEM;SG
特定	specifik	特定	specifik		ADJ;INDF;MASC+FEM;SG
特定	specifikt	特定	specifikt		ADV
特定	specifikke	特定	specifikke		ADJ;PL
特定	specificerede	特定	specificere		V;PL;PST;V.PTCP
特定	præciseret	特定	præcisere		V;INDF;SG;PST;V.PTCP
特定	angivet	特定	angive		V;INDF;SG;PST;V.PTCP
特定	specificeret	特定	specificere		V;INDF;SG;PST;V.PTCP
朝日	asahi	朝日	asahi	PROPN	
意味	betydning	意味	betydning	V	N;INDF;MASC+FEM;SG
意味	betydninger	意味	betydning	V	N;INDF;MASC+FEM;PL
列車	træne	列車	træne	N	V;NFIN;ACT
列車	tog	列車	tage	N	V;IND;PST;FIN;ACT
列車	træn	列車	træn	N	V;IMP
列車	tog	列車	tage	N	V;IND;PST;FIN;ACT
とき	da	とき	da	N	ADV
とき	når	とき	når	N	CONJ
とき	hvornår	とき	hvornår	N	ADV
最後	sidste	最後	sidste	N	ADJ
最後	sidst	最後	sidst	N	ADV
一	et	一	en	NUM	PRO;NEUT;SG
一	en	一	en	NUM	PRO;MASC+FEM;SG
一	én	一	en	NUM	PRO;MASC+FEM;SG
大正	taisho	大正	taisho	N	
最高	beste	最高	beste	N	ADJ;PL
最高	bedste	最高	god	N	ADJ;DEF;RL
最高	bedst	最高	god	N	ADJ;RL
最高	best	最高	best	N	
ブロック	blokere	ブロック	blok	N	V;NFIN;ACT
ブロック	block	ブロック	block	N	
自動車	car	自動車	car	N	
発生	forekomst	発生	forekomst	V	N;INDF;MASC+FEM;SG
連続	kontinuiteten	連続	kontinuitet	ADJ	N;DEF;MASC+FEM;SG
連続	kontinuitet	連続	kontinuitet	ADJ	N;INDF;MASC+FEM;SG
連続	kontinuerligt	連続	kontinuerligt	ADJ	ADV
連続	kontinuert	連続	kontinuert	ADJ	N;INDF;MASC+FEM;SG
構成	indstilling	構成	indstilling	V	N;INDF;MASC+FEM;SG
構成	konfiguration	構成	konfiguration	V	N;INDF;MASC+FEM;SG
構成	komposition	構成	komposition	V	N;INDF;MASC+FEM;SG
構成	sammensætning	構成	sammensætning	V	N;INDF;MASC+FEM;SG
構成	strukturen	構成	struktur	V	N;DEF;MASC+FEM;SG
構成	struktur	構成	struktur	V	N;INDF;MASC+FEM;SG
構成	opbygning	構成	opbygning	V	N;INDF;MASC+FEM;SG
構成	konfigurationer	構成	konfiguration	V	N;INDF;MASC+FEM;PL
構成	sammensætninger	構成	sammensætning	V	N;INDF;MASC+FEM;PL
最大	maksimalt	最大	maksimalt	N	ADV
最大	største	最大	stor	N	ADJ;DEF;RL
それぞれ	hver	それぞれ	hver	ADV	PRO;MASC+FEM;SG
参照	henvisning	参照	henvisning	V	N;INDF;MASC+FEM;SG
参照	reference	参照	reference	V	N;INDF;MASC+FEM;SG
参照	henvisninger	参照	henvisning	V	N;INDF;MASC+FEM;PL
参照	referencer	参照	reference	V	N;INDF;MASC+FEM;PL
発行	udstedte	発行	udstedt	N	V;IND;PST;FIN;ACT
発行	udstedt	発行	udstedt	N	V;INDF;SG;PST;V.PTCP
発行	udstedende	発行	udstede	N	ADJ
状態	state	状態	state	N	
名称	pålydende	名称	pålydende	N	ADJ
ダム	dam	ダム	dam	N	
ホーム	hjem	ホーム	hjem	N	ADV
ホーム	hjemme	ホーム	hjemme	N	ADV
ホーム	hjemad	ホーム	hjemad	N	ADV
ホーム	home	ホーム	home	N	
運行	betjening	運行	betjening	V	N;INDF;MASC+FEM;SG
運行	operation	運行	operation	V	N;INDF;MASC+FEM;SG
運行	drift	運行	drift	V	N;INDF;MASC+FEM;SG
運行	operationen	運行	operation	V	N;DEF;MASC+FEM;SG
投稿	indlæg	投稿	indlæg	V	N;INDF;NEUT;SG
投稿	opslag	投稿	opslag	V	N;INDF;NEUT;SG
投稿	post	投稿	post	V	N;INDF;MASC+FEM;SG
投稿	stillinger	投稿	stilling	V	N;INDF;MASC+FEM;PL
投稿	opslag	投稿	opslag	V	N;INDF;NEUT;SG
投稿	udstationering	投稿	udstationering	V	N;INDF;MASC+FEM;SG
福岡	fukuoka	福岡	fukuoka	PROPN	
調査	rundspørger	調査	rundspørger	V	N;INDF;MASC+FEM;SG
調査	undersøgelser	調査	undersøgelse	V	N;INDF;MASC+FEM;PL
調査	undersøgelse	調査	undersøgelse	V	N;INDF;MASC+FEM;SG
調査	efterforskning	調査	efterforskning	V	N;INDF;MASC+FEM;SG
調査	undersøgelse	調査	undersøgelse	V	N;INDF;MASC+FEM;SG
イタリア	italien	イタリア	italie	PROPN	PROPN
ロシア	russeren	ロシア	russer	PROPN	N;DEF;MASC+FEM;SG
ロシア	russer	ロシア	russe	PROPN	N;INDF;MASC+FEM;SG
ロシア	russiske	ロシア	russisk	PROPN	ADJ;PL
ロシア	russisk	ロシア	russisk	PROPN	ADJ;INDF;SG
ロシア	rusland	ロシア	rusland	PROPN	PROPN
ロシア	ruslands	ロシア	rusland	PROPN	PROPN;GEN
独立	uafhængigt	独立	uafhængig	ADJ	ADV
独立	uafhængighed	独立	uafhængighed	ADJ	N;INDF;MASC+FEM;SG
独立	selvstændighed	独立	selvstændighed	ADJ	N;INDF;MASC+FEM;SG
独立	uafhængigheden	独立	uafhængighed	ADJ	N;DEF;MASC+FEM;SG
物語	monogatari	物語	monogatari	N	
物語	story	物語	story	N	
サン	san	サン	san	N	
名古屋	nagoya	名古屋	nagoya	PROPN	
通常	normalt	通常	normalt	N	ADV
通常	normalt	通常	normalt	N	ADV
通常	sædvanligvis	通常	sædvanligvis	N	ADV
航空	aviation	航空	aviation	N	
航空	air	航空	air	N	
帝国	empire	帝国	empire	N	
影響	indflydelsen	影響	indflydelse	V	N;DEF;MASC+FEM;SG
影響	indflydelse	影響	indflydelse	V	N;INDF;MASC+FEM;SG
影響	påvirkning	影響	påvirkning	V	N;INDF;MASC+FEM;SG
影響	påvirkninger	影響	påvirkning	V	N;INDF;MASC+FEM;PL
勝利	sejre	勝利	sejr	V	N;INDF;MASC+FEM;PL
勝利	win	勝利	win	V	
勝利	vind	勝利	vind	V	N;INDF;MASC+FEM;SG
勝利	sejre	勝利	sejr	V	N;INDF;MASC+FEM;PL
勝利	sejr	勝利	sejr	V	N;INDF;MASC+FEM;SG
勝利	sejren	勝利	sejr	V	N;DEF;MASC+FEM;SG
デザイン	designe	デザイン	designe	N	V;NFIN;ACT
全て	alting	全て	alting	ADV	PRO;NEUT;SG
全て	alt	全て	al	ADV	ADJ;NEUT;SG
人間	menneskeligt	人間	menneskelig	N	ADJ;INDF;NEUT;SG
人間	menneskelige	人間	menneskelig	N	ADJ;PL
人間	menneskelig	人間	menneskelig	N	ADJ;INDF;MASC+FEM;SG
千葉	chiba	千葉	chiba	PROPN	
アン	anne	アン	anne	PROPN	
アン	ang	アン	ang	PROPN	N;INDF;MASC+FEM;SG
アン	ann	アン	ann	PROPN	
戦い	battle	戦う	battel	V	
戦い	slag	戦う	slag	V	N;INDF;NEUT;SG
戦い	kamp	戦う	kamp	V	N;INDF;MASC+FEM;SG
戦い	slaget	戦う	slag	V	N;DEF;NEUT;SG
実施	gennemførelse	実施	gennemførelse	V	N;INDF;MASC+FEM;SG
実施	implementering	実施	implementering	V	N;INDF;MASC+FEM;SG
実施	iværksættelse	実施	iværksættelse	V	N;INDF;MASC+FEM;SG
実施	gennemførelsen	実施	gennemførelse	V	N;DEF;MASC+FEM;SG
ここ	her	ここ	her	PRO	ADV
以前	inden	以前	inden	N	ADV
以前	før	以前	før	N	ADV
統合	sammenfletning	統合	sammenfletning	V	N;INDF;MASC+FEM;SG
統合	fletning	統合	fletning	V	N;INDF;MASC+FEM;SG
統合	flet	統合	flet	V	N;INDF;NEUT;SG
統合	integrering	統合	integrering	V	N;INDF;MASC+FEM;SG
統合	integration	統合	integration	V	N;INDF;MASC+FEM;SG
統合	integrationen	統合	integration	V	N;DEF;MASC+FEM;SG
ビル	bill	ビル	bill	N	
日本語	japansk	日本語	japansk	N	ADJ;INDF;SG
日本語	japanske	日本語	japansk	N	ADJ;PL
契約	kontrakter	契約	kontrakt	V	N;INDF;MASC+FEM;PL
契約	aftaler	契約	aftale	V	N;INDF;MASC+FEM;PL
契約	kontrakten	契約	kontrakt	V	N;DEF;MASC+FEM;SG
契約	kontrakt	契約	kontrakt	V	N;INDF;MASC+FEM;SG
設定	præferencer	設定	præference	V	N;INDF;MASC+FEM;PL
設定	opsætning	設定	opsætning	V	N;INDF;MASC+FEM;SG
設定	indstillinger	設定	indstilling	V	N;INDF;MASC+FEM;PL
設定	opsætning	設定	opsætning	V	N;INDF;MASC+FEM;SG
設定	setup	設定	setup	V	N;INDF;NEUT;SG
設定	indstilling	設定	indstilling	V	N;INDF;MASC+FEM;SG
設定	konfiguration	設定	konfiguration	V	N;INDF;MASC+FEM;SG
ライブ	bor	ライブ	bo	N	V;IND;PRS;FIN;ACT
ライブ	live	ライブ	live	N	
ライブ	leve	ライブ	leve	N	V;NFIN;ACT
ライブ	levende	ライブ	levende	N	ADJ
専門	specialiseret	専門	specialisere	N	V;INDF;SG;PST;V.PTCP
専門	specialiserede	専門	specialisere	N	V;PL;PST;V.PTCP
完成	udfyldelse	完成	udfyldelse	V	N;INDF;MASC+FEM;SG
完成	afslutning	完成	afslutning	V	N;INDF;MASC+FEM;SG
完成	færdiggørelse	完成	færdiggørelse	V	N;INDF;MASC+FEM;SG
完成	fuldførelse	完成	fuldførelse	V	N;INDF;MASC+FEM;SG
表記	notation	表記	notation	V	N;INDF;MASC+FEM;SG
運転	bilkørsel	運転	bilkørsel	V	N;INDF;MASC+FEM;SG
運転	kørsel	運転	kørsel	V	N;INDF;MASC+FEM;SG
写真	photo	写真	photo	N	
関連	relevant	関連	relevant	V	ADJ;INDF;SG
関連	relevante	関連	relevante	V	ADJ;PL
生産	produktion	生産	produktion	V	N;INDF;MASC+FEM;SG
生産	fremstilling	生産	fremstilling	V	N;INDF;MASC+FEM;SG
横浜	yokohama	横浜	yokohama	PROPN	
上	ovenfor	上	ovenfor	N	ADV
上	over	上	over	N	ADV
上	ovenstående	上	ovenstående	N	ADV
管理	management	管理	management	V	N;INDF;NEUT;SG
管理	forvaltning	管理	forvaltning	V	N;INDF;MASC+FEM;SG
管理	ledelsen	管理	ledelse	V	N;DEF;MASC+FEM;SG
管理	ledelse	管理	ledelse	V	N;INDF;MASC+FEM;SG
ジョン	johannes	ジョン	johan	PROPN	N;GEN;INDF;MASC+FEM;SG
ジョン	john	ジョン	john	PROPN	PROPN
部隊	trop	部隊	trop	N	
公園	parkere	公園	park	N	V;NFIN;ACT
スポーツ	sports	スポーツ	sports	N	
目的	formal	目的	formal	N	
生活	liv	生活	liv	V	N;INDF;NEUT;SG
生活	livet	生活	liv	V	N;DEF;NEUT;SG
生活	livstid	生活	livstid	V	N;INDF;MASC+FEM;SG
生活	life	生活	life	V	
カード	kort	カード	kort	N	ADJ;INDF;SG
カード	kort	カード	kort	N	ADJ;INDF;SG
基本	grundlæggende	基本	grundlæggende	N	ADJ
基本	grundlæggende	基本	grundlæggende	N	ADJ
基本	basic	基本	basic	N	
基本	grundlæggende	基本	grundlæggende	N	ADJ
新潟	niigata	新潟	niigata	PROPN	
電気	el	電気	el	N	
電気	elektriske	電気	elektrisk	N	ADJ;PL
電気	elektrisk	電気	elektrisk	N	ADJ;INDF;SG
作成	skabelse	作成	skabelse	V	N;INDF;MASC+FEM;SG
作成	oprettelse	作成	oprettelse	V	N;INDF;MASC+FEM;SG
ガン	gun	ガン	gun	N	
予定	planlagte	予定	planlægge	N	V;PL;PST;V.PTCP
予定	planlagt	予定	planlægge	N	V;INDF;SG;PST;V.PTCP
