日	dia	日	dia	PROPN	N;MASC;SG
小	minúsculo	小	minúsculo	PART	N;MASC;SG
相似	semelhante	相似	semelhante	V	ADJ;MASC;SG
相似	similar	相似	similar	V	ADJ;MASC;SG
相似	semelhantes	相似	semelhante	V	ADJ;MASC;PL
相似	similares	相似	similar	V	N;MASC;PL
相似	semelhança	相似	semelhança	V	N;FEM;SG
相似	semelhança	相似	semelhança	V	N;FEM;SG
四	four	四	four	NUM	N;MASC;SG
道	dao	道	dao	PROPN	V;IND;PL;3;PRS;FIN
將	will	將	will	V;CAUS	N;MASC;SG
將	vontade	將	vontade	V;CAUS	N;FEM;SG
高	alto	高	alto	PROPN	ADV
高	high	高	high	PROPN	N;MASC;SG
高	altos	高	alto	PROPN	N;MASC;PL
高	altas	高	alto	PROPN	ADJ;FEM;PL
高	alta	高	alta	PROPN	N;FEM;SG
高	alto	高	alto	PROPN	ADV
高	tall	高	tall	PROPN	N;MASC;SG
高	altos	高	alto	PROPN	N;MASC;PL
高	altas	高	alto	PROPN	ADJ;FEM;PL
高	alta	高	alta	PROPN	N;FEM;SG
高	gao	高	gao	PROPN	N;MASC;SG
美國	america	美國	americar	PROPN	N;MASC;SG
美國	américa	美國	américo	PROPN	N;FEM;SG
集	definir	集	definir	N	V;NFIN
集	definido	集	definir	N	V;MASC;SG;V.PTCP
台灣	taiwan	台灣	taiwan	PROPN	N;MASC;SG
台灣	formosa	台灣	formoso	PROPN	N;FEM;SG
布	tecido	布	tecido		N;MASC;SG
布	tecidos	布	tecido		N;MASC;PL
布	pano	布	pano		N;MASC;SG
五	five	五	fiver	NUM	N;MASC;SG
本	ben	本	ben		N;MASC;SG
金	jin	金	jin	PROPN	N;MASC;SG
金	ouro	金	ouro	PROPN	N;MASC;SG
金	gold	金	gold	PROPN	N;MASC;SG
金	dourado	金	dourar	PROPN	V;MASC;SG;V.PTCP
金	kim	金	kim	PROPN	N;MASC;SG
曾	zeng	曾	zeng	ADV	N;MASC;SG
文	wen	文	wen	N	PROPN;MASC;SG
林	lincoln	林	lincoln	PROPN	N;MASC;SG
包括	inclusive	包括	inclusive	V	ADV
峰	pico	峰	pico	PROPN	N;MASC;SG
峰	peak	峰	peak	PROPN	N;MASC;SG
峰	picos	峰	pico	PROPN	N;MASC;PL
峰	cumes	峰	cume	PROPN	N;MASC;PL
其他	outro	其他	outro	DET	PRO;MASC;SG
其他	outros	其他	outro	DET	PRO;MASC;PL
其他	outras	其他	outro	DET	PRO;FEM;PL
其他	outra	其他	outro	DET	PRO;FEM;SG
其他	outros	其他	outro	DET	PRO;MASC;PL
其他	outras	其他	outro	DET	PRO;FEM;PL
第一	primeira	第一	primeiro	NUM	ADJ;FEM;SG
第一	primeiros	第一	primeiro	NUM	ADJ;MASC;PL
第一	primeiramente	第一	primeiramente	NUM	ADV
第一	primeiro	第一	primeiro	NUM	ADV
比	rácio	比	rácio	ADP	N;MASC;SG
比	proporção	比	proporção	ADP	N;FEM;SG
元	meta	元	meta	PROPN	N;FEM;SG
元	yuan	元	yuan	PROPN	N;MASC;SG
元	dólar	元	dólar	PROPN	N;MASC;SG
元	venceu	元	vencer	PROPN	V;IND;SG;3;PST;FIN
元	won	元	won	PROPN	N;MASC;SG
元	ganhou	元	ganhar	PROPN	V;IND;SG;3;PST;FIN
元	ganhado	元	ganhar	PROPN	V;MASC;SG;V.PTCP
中國	porcelana	中國	porcelano	PROPN	N;FEM;SG
中國	china	中國	china	PROPN	N;FEM;SG
六	six	六	six	NUM	N;MASC;SG
主要	major	主要	major	ADV	N;MASC;SG
主要	principais	主要	principal	ADV	ADJ;MASC;PL
主要	main	主要	main	ADV	N;MASC;SG
主要	principal	主要	principal	ADV	ADJ;MASC;SG
法	método	法	método	PROPN	N;MASC;SG
中心	centralizar	中心	centralizar	N	V;NFIN
中心	centrar	中心	centrar	N	V;NFIN
中心	centrar	中心	centrar	N	V;NFIN
中心	centralizar	中心	centralizar	N	V;NFIN
第二	segunda	第二	segundo	NUM	ADJ;FEM;SG
第二	second	第二	second	NUM	N;MASC;SG
第二	segundo	第二	segundo	NUM	ADV
山	montar	山	montar	N	V;NFIN
加	adicione	加	adicionar	ADP	V;SBJV;SG;3;PRS;FIN
加	adiciona	加	adicionar	ADP	V;IND;SG;3;PRS;FIN
加	add	加	add	ADP	N;MASC;SG
加	adicionar	加	adicionar	ADP	V;NFIN
加	plus	加	plus	ADP	N;MASC;SG
張	chang	張	chang	PROPN	N;MASC;SG
張	zhang	張	zhang	PROPN	N;MASC;SG
主	senhor	主	senhor	PART	N;MASC;SG
雷	raia	雷	raia	PROPN	N;FEM;SG
雷	ray	雷	ray	PROPN	N;MASC;SG
管理	gerência	管理	gerência	V	N;FEM;SG
管理	gestão	管理	gestão	V	N;FEM;SG
管理	gerenciamento	管理	gerenciamento	V	N;MASC;SG
管理	gerenciamento	管理	gerenciamento	V	N;MASC;SG
建	build	建	build	V	N;MASC;SG
成	cantadas	成	cantar	V	N;FEM;PL
成	sung	成	sung	V	N;MASC;SG
代表	representativo	代表	representativo	N	ADJ;MASC;SG
代表	representativa	代表	representativa	N	ADJ;FEM;SG
代表	delegar	代表	delegar	N	V;NFIN
那	então	那	então	PRO	ADV
那	depois	那	depois	PRO	ADV
這	este	這	este	PRO	DET;MASC;SG
這	esse	這	esse	PRO	DET;MASC;SG
從	do	從	do	ADP	N;MASC;SG
從	da	從	da	ADP	INTJ
羅	luo	羅	luo	PROPN	N;MASC;SG
原	originais	原	original	PART	N;MASC;PL
原	original	原	original	PART	ADJ;MASC;SG
原	hara	原	hara	PART	N;MASC;SG
工作	trabalhar	工作	trabalhar	N	V;NFIN
工作	trabalhe	工作	trabalher	N	V;SBJV;SG;3;PRS;FIN
工作	trabalhando	工作	trabalhar	N	V;V.MSDR
工作	trabalhar	工作	trabalhar	N	V;NFIN
工作	funcionando	工作	funcionar	N	V;V.MSDR
她	she	她	she	PRO;3	N;MASC;SG
陳	chen	陳	chen	PROPN	N;MASC;SG
陳	chan	陳	chan	PROPN	N;MASC;SG
陳	trần	陳	trần	PROPN	N;MASC;SG
他	seu	他	seu	PRO;3	DET;MASC;SG
他	his	他	his	PRO;3	N;MASC;SG
他	sua	他	seu	PRO;3	DET;FEM;SG
作品	funciona	作品	funcionar	N	V;IND;SG;3;PRS;FIN
作品	trabalha	作品	trabalhar	N	V;IND;SG;3;PRS;FIN
更	more	更	more	ADV	N;MASC;SG
曼	mann	曼	mann	PROPN	PROPN;MASC;SG
女	feminino	女	feminino	N	ADJ;MASC;SG
正式	formais	正式	formal	ADV	ADJ;MASC;PL
正式	formal	正式	formal	ADV	ADJ;MASC;SG
外	fora	外	fora	N	ADV
明	ming	明	ming	PROPN	N;MASC;SG
美	linda	美	linda	PROPN	ADJ;FEM;SG
美	beleza	美	beleza	PROPN	N;FEM;SG
因為	porque	因為	porque	ADP	CONJ
因為	pq	因為	pq	ADP	
北京	beijing	北京	beijing	PROPN	N;MASC;SG
北京	pequim	北京	pequim	PROPN	N;MASC;SG
北京	pequim	北京	pequim	PROPN	N;MASC;SG
目前	atual	目前	atual	N	ADJ;MASC;SG
目前	atuais	目前	atual	N	ADJ;MASC;PL
目前	actual	目前	actual	N	ADJ;MASC;SG
目前	actualmente	目前	actualmente	N	ADV
目前	atualmente	目前	atualmente	N	ADV
所有	tudo	所有	tudo	DET	PRO;MASC;SG
所有	todos	所有	todo	DET	PRO;MASC;PL
部分	parcial	部分	parcial	N	ADJ;MASC;SG
部分	parciais	部分	parcial	N	ADJ;MASC;PL
部分	parcialmente	部分	parcialmente	N	ADV
森	sen	森	sen	PROPN	N;MASC;SG
森	mori	森	mori	PROPN	N;MASC;SG
國家	estadual	國家	estadual	N	ADJ;MASC;SG
國家	nacional	國家	nacional	N	ADJ;MASC;SG
但是	mas	但是	mas	ADV	CONJ
一些	alguns	一些	algum	ADJ	PRO;MASC;PL
一些	algum	一些	algum	ADJ	DET;MASC;SG
一些	algumas	一些	algum	ADJ	PRO;FEM;PL
長	longa	長	longo	PART	ADJ;FEM;SG
長	longos	長	longo	PART	ADJ;MASC;PL
長	longo	長	longo	PART	ADV
長	comprido	長	comprido	PART	N;MASC;SG
長	long	長	long	PART	N;MASC;SG
加入	adesão	加入	adesão	V	N;FEM;SG
英	ying	英	ying	PROPN	N;MASC;SG
上海	shanghai	上海	shanghai	PROPN	N;MASC;SG
上海	xangai	上海	xangai	PROPN	N;MASC;SG
第三	terceira	第三	terceiro	NUM	ADJ;FEM;SG
第三	terço	第三	terço	NUM	ADJ;MASC;SG
第三	terceiro	第三	terceiro	NUM	ADJ;MASC;SG
波	acenar	波	acenar	N	V;NFIN
回	costas	回	costa	PROPN	N;FEM;PL
回	volta	回	volta	PROPN	N;FEM;SG
回	voltar	回	voltar	PROPN	V;NFIN
無	nenhum	無	nenhum	V	DET;MASC;SG
無	nenhuma	無	nenhum	V	DET;FEM;SG
吉	kat	吉	kat	PROPN	N;MASC;SG
你	tu	你	tu	PRO;2	INTJ
你	você	你	você	PRO;2	PRO;NOM;SG;3
你	vc	你	vc	PRO;2	PRO;NOM;MASC;SG;3
英國	inglaterra	英國	inglaterra	PROPN	N;FEM;SG
英國	england	英國	england	PROPN	N;MASC;SG
周	semana	周	semana	PROPN	N;FEM;SG
周	semanas	周	semana	PROPN	N;FEM;PL
周	zhou	周	zhou	PROPN	N;MASC;SG
周	chow	周	chow	PROPN	N;MASC;SG
建立	criação	建立	criação	V	N;FEM;SG
建立	estabelecimento	建立	estabelecimento	V	N;MASC;SG
建立	build	建立	build	V	N;MASC;SG
生活	vivos	生活	vivo	V	N;MASC;PL
生活	living	生活	living	V	N;MASC;SG
生活	vida	生活	vida	V	N;FEM;SG
生活	life	生活	life	V	N;MASC;SG
派	empada	派	empada	V;CAUS	N;FEM;SG
派	tarte	派	tarte	V;CAUS	N;FEM;SG
派	torta	派	tortar	V;CAUS	N;FEM;SG
派	pie	派	pie	V;CAUS	N;MASC;SG
教育	educacional	教育	educacional	N	ADJ;MASC;SG
教育	educativo	教育	educativo	N	ADJ;MASC;SG
之後	após	之後	após	N	ADP
之後	depois	之後	depois	N	ADV
萬	wan	萬	wan	PROPN	N;MASC;SG
國際	internacional	國際	internacional	N	ADJ;MASC;SG
國際	internacionais	國際	internacional	N	ADJ;MASC;PL
完成	acabamento	完成	acabamento	V	N;MASC;SG
完成	completa	完成	completo	V	ADJ;FEM;SG
完成	completos	完成	completo	V	ADJ;MASC;PL
完成	completo	完成	completo	V	N;MASC;SG
音樂	musical	音樂	musical	N	ADJ;MASC;SG
沙	sha	沙	seu	PROPN	N;MASC;SG
沙	areia	沙	areiar	PROPN	N;FEM;SG
沙	shah	沙	shah	PROPN	N;MASC;SG
沙	xá	沙	xá	PROPN	N;MASC;SG
可能	possivel	可能	possivel	N	ADJ;MASC;SG
可能	possíveis	可能	possível	N	ADJ;MASC;PL
可能	possível	可能	possível	N	ADJ;MASC;SG
分布	distribuições	分布	distribuição	V	N;FEM;PL
分布	repartição	分布	repartição	V	N;FEM;SG
分布	distribuição	分布	distribuição	V	N;FEM;SG
官	oficial	官	oficial	N	ADJ;MASC;SG
梅	may	梅	may	PROPN	N;MASC;SG
梅	maio	梅	maio	PROPN	N;MASC;SG
梅	pode	梅	poder	PROPN	V;IND;SG;3;PRS;FIN
梅	mei	梅	mei	PROPN	N;MASC;SG
自由	livre	自由	livre	N	ADJ;MASC;SG
自由	gratuito	自由	gratuito	N	ADJ;MASC;SG
黃	wong	黃	wong	PROPN	N;MASC;SG
黃	hwang	黃	hwang	PROPN	N;MASC;SG
黃	huang	黃	huang	PROPN	N;MASC;SG
黃	amarelo	黃	amarelo	PROPN	ADJ;MASC;SG
黃	amarelos	黃	amarelo	PROPN	N;MASC;PL
黃	amarela	黃	amarela	PROPN	N;FEM;SG
光	leve	光	levar	N	V;SBJV;SG;3;PRS;FIN
重要	importancia	重要	importancia	ADJ	N;FEM;SG
重要	importância	重要	importância	ADJ	N;FEM;SG
工程	funciona	工程	funcionar	N	V;IND;SG;3;PRS;FIN
工程	trabalha	工程	trabalhar	N	V;IND;SG;3;PRS;FIN
港	porto	港	porto	PROPN	N;MASC;SG
港	harbour	港	harbour	PROPN	N;MASC;SG
列	colunas	列	coluna	V	N;FEM;PL
列	coluna	列	coluna	V	N;FEM;SG
最後	último	最後	último	N	ADJ;MASC;SG
最後	últimas	最後	último	N	ADJ;FEM;PL
最後	últimos	最後	último	N	ADJ;MASC;PL
最後	última	最後	último	N	ADJ;FEM;SG
提交	apresentação	提交	apresentação	V	N;FEM;SG
提交	envio	提交	envio	V	N;MASC;SG
提交	finalização	提交	finalização	V	N;FEM;SG
提交	submissão	提交	submissão	V	N;FEM;SG
經	sutra	經	sutra	ADP	N;MASC;SG
需要	need	需要	need	V	N;MASC;SG
需要	preciso	需要	preciso	V	ADJ;MASC;SG
需要	necessidade	需要	necessidade	V	N;FEM;SG
需要	necessário	需要	necessário	V	ADJ;MASC;SG
需要	necessária	需要	necessário	V	ADJ;FEM;SG
需要	necessidades	需要	necessidade	V	N;FEM;PL
江	rio	江	rio	PROPN	N;MASC;SG
江	jiang	江	jiang	PROPN	N;MASC;SG
臺灣	taiwan	臺灣	taiwan	PROPN	N;MASC;SG
臺灣	formosa	臺灣	formoso	PROPN	N;FEM;SG
臺灣	taiwan	臺灣	taiwan	PROPN	N;MASC;SG
這	esta	這	este	DET	PRO;FEM;SG
這	isso	這	isso	DET	PRO;MASC;SG
這	isto	這	isto	DET	PRO;MASC;SG
這	essa	這	esse	DET	PRO;FEM;SG
泰	tae	泰	tae	PROPN	N;MASC;SG
泰	tai	泰	tair	PROPN	N;MASC;SG
登	deng	登	deng	N	PROPN;MASC;SG
黑	escura	黑	escuro	N	ADJ;FEM;SG
黑	sombrio	黑	sombrio	N	ADJ;MASC;SG
黑	escuro	黑	escuro	N	ADJ;MASC;SG
黑	negro	黑	negro	N	ADJ;MASC;SG
宗	zong	宗	zong	PROPN	N;MASC;SG
清	qing	清	qing	PROPN	PROPN;MASC;SG
最高	topo	最高	topo	ADJ	N;MASC;SG
最高	top	最高	top	ADJ	N;MASC;SG
最高	supremo	最高	supremo	ADJ	N;MASC;SG
最高	suprema	最高	supremo	ADJ	N;FEM;SG
要求	exigência	要求	exigência	V	N;FEM;SG
要求	requisito	要求	requisito	V	N;MASC;SG
要求	exigências	要求	exigência	V	N;FEM;PL
要求	requisitos	要求	requisito	V	N;MASC;PL
要求	prescrições	要求	prescrição	V	N;FEM;PL
要求	demandas	要求	demanda	V	N;FEM;PL
要求	exigências	要求	exigência	V	N;FEM;PL
要求	solicitação	要求	solicitação	V	N;FEM;SG
要求	pedido	要求	pedido	V	N;MASC;SG
要求	procura	要求	procura	V	N;FEM;SG
要求	demanda	要求	demanda	V	N;FEM;SG
要求	solicitações	要求	solicitação	V	N;FEM;PL
要求	requisições	要求	requisição	V	N;FEM;PL
要求	pedidos	要求	pedido	V	N;MASC;PL
讓	jean	讓	jean	V;CAUS	N;MASC;SG
發現	achado	發現	achado	V	N;MASC;SG
發現	descoberta	發現	descoberta	V	N;FEM;SG
發現	discovery	發現	discovery	V	N;MASC;SG
只有	só	只有	só	ADP	ADV
只有	apenas	只有	apenas	ADP	ADV
只有	somente	只有	somente	ADP	ADV
只有	unicamente	只有	unicamente	ADP	ADV
最大	max	最大	max	ADJ	N;MASC;SG
最大	máx	最大	máx	ADJ	N;MASC;SG
華	hua	華	haver	PROPN	N;MASC;SG
華	wah	華	wah	PROPN	N;MASC;SG
製作	produção	製作	produção	V	N;FEM;SG
製作	produções	製作	produção	V	N;FEM;PL
出生	born	出生	born	V	N;MASC;SG
出生	parto	出生	parto	V	N;MASC;SG
出生	nascimento	出生	nascimento	V	N;MASC;SG
朱	zhu	朱	zhu	PROPN	N;MASC;SG
朱	joo	朱	joo	PROPN	N;MASC;SG
數	conte	數	conte	N	V;SBJV;SG;3;PRS;FIN
數	contando	數	contar	N	V;V.MSDR
數	contar	數	contar	N	V;NFIN
出版	edição	出版	edição	V	N;FEM;SG
出版	publicação	出版	publicação	V	N;FEM;SG
出版	publicação	出版	publicação	V	N;FEM;SG
發展	desenvolvimento	發展	desenvolvimento	V	N;MASC;SG
發展	evolução	發展	evolução	V	N;FEM;SG
堡	forte	堡	forte	N	ADJ;MASC;SG
蘭	lan	蘭	lan	PROPN	N;FEM;SG
蘭	ian	蘭	ian	PROPN	N;MASC;SG
劉	yoo	劉	yoo	PROPN	N;MASC;SG
劉	liu	劉	ler	PROPN	N;MASC;SG
劉	lau	劉	lau	PROPN	N;MASC;SG
班	squad	班	squad	PROPN	N;MASC;SG
班	pelotão	班	pelotão	PROPN	N;MASC;SG
班	esquadrão	班	esquadrão	PROPN	N;MASC;SG
康	kang	康	kang	PROPN	PROPN;MASC;SG
島	ilha	島	ilha	PROPN	N;FEM;SG
島	ilhas	島	ilha	PROPN	N;FEM;PL
島	ilha	島	ilha	PROPN	N;FEM;SG
島	isle	島	islar	PROPN	N;MASC;SG
率	classifique	率	classificar	N	V;SBJV;SG;3;PRS;FIN
官方	oficialmente	官方	oficialmente	N	ADV
愛	amor	愛	amor	V	N;MASC;SG
愛	love	愛	love	V	N;MASC;SG
平	ping	平	ping		N;MASC;SG
印度	índia	印度	índia	PROPN	N;FEM;SG
印度	india	印度	india	PROPN	N;MASC;SG
存在	existência	存在	existência	V	N;FEM;SG
存在	presença	存在	presença	V	N;FEM;SG
刪除	eliminação	刪除	eliminação	V	N;FEM;SG
刪除	exclusão	刪除	exclusão	V	N;FEM;SG
刪除	apagamento	刪除	apagamento	V	N;MASC;SG
刪除	supressão	刪除	supressão	V	N;FEM;SG
設計	desenhos	設計	desenho	V	N;MASC;PL
設計	designs	設計	design	V	N;MASC;PL
設計	projetos	設計	projeto	V	N;MASC;PL
設計	concepção	設計	concepção	V	N;FEM;SG
設計	desenho	設計	desenho	V	N;MASC;SG
設計	design	設計	design	V	N;MASC;SG
設計	desenho	設計	desenho	V	N;MASC;SG
設計	projecção	設計	projecção	V	N;FEM;SG
發行	emissão	發行	emissão	V	N;FEM;SG
卡特	carter	卡特	carter	PROPN	N;MASC;SG
卡特	cárter	卡特	cárter	PROPN	N;MASC;SG
群	agrupar	群	agrupar	N	V;NFIN
負責	responsável	負責	responsável	V	ADJ;MASC;SG
負責	responsáveis	負責	responsável	V	ADJ;MASC;PL
服務	serviços	服務	serviço	V	N;MASC;PL
服務	serviço	服務	serviço	V	N;MASC;SG
列表	lista	列表	lista		N;FEM;SG
列表	listar	列表	listar		V;NFIN
唐	tang	唐	tang	PROPN	N;MASC;SG
唐	don	唐	don	PROPN	PROPN;MASC;SG
西班牙	espanha	西班牙	espanha	PROPN	N;FEM;SG
兩	two	兩	two	NUM	N;MASC;SG
當	quando	當	quando	ADP	ADV
當	when	當	when	ADP	N;MASC;SG
超	ultra	超	ultra	PART	N;MASC;SG
超	super	超	super	PART	N;MASC;SG
丁	ding	丁	ding	PROPN	N;MASC;SG
夏	xia	夏	xia	PROPN	N;MASC;SG
以上	acima	以上	acima	DET	ADV
著名	famosos	著名	famoso	ADJ	N;MASC;PL
聖	santo	聖	santo	PROPN	N;MASC;SG
聖	saint	聖	saint	PROPN	N;MASC;SG
聖	santa	聖	santo	PROPN	N;FEM;SG
已經	ja	已經	ja	ADV	INTJ
梁	feixe	梁	feixe	PROPN	N;MASC;SG
梁	trave	梁	trave	PROPN	N;FEM;SG
梁	viga	梁	viga	PROPN	N;FEM;SG
梁	leung	梁	leung	PROPN	N;MASC;SG
梁	liang	梁	liang	PROPN	N;MASC;SG
梁	feixes	梁	feixe	PROPN	N;MASC;PL
梁	vigas	梁	viga	PROPN	N;FEM;PL
赫	hyuk	赫	hyuk	PROPN	N;MASC;SG
半	metade	半	metade	PART	N;FEM;SG
半	meia	半	meia	PART	N;FEM;SG
半	meio	半	meio	PART	ADV
半	half	半	half	PART	N;MASC;SG
東京	tokyo	東京	tokyo	PROPN	N;MASC;SG
東京	tóquio	東京	tóquio	PROPN	N;MASC;SG
現在	agora	現在	agora	N	ADV
後來	depois	後來	depois	N	ADV
女性	feminino	女性	feminino	N	ADJ;MASC;SG
說	say	說	say	V	N;MASC;SG
之前	antes	之前	antes	N	ADV
合作	colaboração	合作	colaboração	V	N;FEM;SG
合作	cooperação	合作	cooperação	V	N;FEM;SG
卷	rolar	卷	rolar	N	V;NFIN
一	outrora	一	outrora	NUM	ADV
一	once	一	once	NUM	N;MASC;SG
植物	plantar	植物	plantar	N	V;NFIN
封	feng	封	feng	V	N;MASC;SG
封	lacre	封	lacrer	V	N;MASC;SG
封	selo	封	selo	V	N;MASC;SG
形成	formação	形成	formação	V	N;FEM;SG
九	nove	九	nove		NUM
九	nine	九	nine		N;MASC;SG
接受	aceitação	接受	aceitação	V	N;FEM;SG
接受	aceite	接受	aceitar	V	INTJ
接受	aceite	接受	aceitar	V	INTJ
書	reservar	書	reservar	N	V;NFIN
討論	discussões	討論	discussão	V	N;FEM;PL
直接	directa	直接	directo	ADV	N;FEM;SG
直接	direta	直接	direto	ADV	ADJ;FEM;SG
直接	diretos	直接	direto	ADV	N;MASC;PL
直接	direct	直接	direct	ADV	N;MASC;SG
直接	direto	直接	direto	ADV	N;MASC;SG
參與	noivado	參與	noivado	V	N;MASC;SG
參與	interação	參與	interação	V	N;FEM;SG
參與	envolvimento	參與	envolvimento	V	N;MASC;SG
參與	participação	參與	participação	V	N;FEM;SG
參與	envolvimento	參與	envolvimento	V	N;MASC;SG
參與	participação	參與	participação	V	N;FEM;SG
朗	lang	朗	lang		N;MASC;SG
朗	lon	朗	lon		N;MASC;SG
根	raízes	根	raíz	PROPN	N;FEM;PL
根	raiz	根	raiz	PROPN	N;FEM;SG
根	root	根	root	PROPN	N;MASC;SG
根	raíz	根	raíz	PROPN	N;FEM;SG
根	raízes	根	raíz	PROPN	N;FEM;PL
保留	reservas	保留	reserva	V	N;FEM;PL
保留	reserva	保留	reserva	V	N;FEM;SG
保留	reservas	保留	reserva	V	N;FEM;PL
希望	esperança	希望	esperança	V	N;FEM;SG
希望	hope	希望	hope	V	N;MASC;SG
希望	esperanças	希望	esperança	V	N;FEM;PL
播放	difusão	播放	difusão	V	N;FEM;SG
播放	emissão	播放	emissão	V	N;FEM;SG
播放	radiodifusão	播放	radiodifusão	V	N;FEM;SG
播放	transmissão	播放	transmissão	V	N;FEM;SG
播放	play	播放	play	V	N;MASC;SG
播放	reprodução	播放	reprodução	V	N;FEM;SG
播放	jogadas	播放	jogada	V	N;FEM;PL
音	consoante	音	consoante	N	ADV
增加	aumento	增加	aumento	V	N;MASC;SG
增加	crescente	增加	crescente	V	ADJ;MASC;SG
增加	aumentos	增加	aumento	V	N;MASC;PL
角	angular	角	angular	N	ADJ;MASC;SG
耶	oba	耶	obar		N;MASC;SG
這些	essas	這些	esse	DET	PRO;FEM;PL
這些	estas	這些	este	DET	PRO;FEM;PL
丹	dan	丹	dan	PROPN	N;MASC;SG
徐	seo	徐	seo	PROPN	N;MASC;SG
徐	tsui	徐	tsbir	PROPN	N;MASC;SG
永	asa	永	asa	PROPN	N;FEM;SG
永	wing	永	wing	PROPN	N;MASC;SG
永	yong	永	yong	PROPN	N;MASC;SG
美	dolares	美	dolar	PROPN	N;MASC;PL
美	dólares	美	dólar	PROPN	N;MASC;PL
美	dólar	美	dólar	PROPN	N;MASC;SG
霍	huo	霍	huo	PROPN	N;MASC;SG
投票	votação	投票	votação	V	N;FEM;SG
投票	voto	投票	voto	V	N;MASC;SG
投票	votação	投票	votação	V	N;FEM;SG
投票	votações	投票	votação	V	N;FEM;PL
投票	voto	投票	voto	V	N;MASC;SG
投票	enquete	投票	enquete	V	N;FEM;SG
投票	sondagem	投票	sondagem	V	N;FEM;SG
雖然	embora	雖然	embora	ADP	CONJ
雖然	embora	雖然	embora	ADP	CONJ
參加	atendente	參加	atendente	V	N;MASC;SG
特別	especial	特別	especial	ADV	ADJ;MASC;SG
特別	special	特別	special	ADV	N;MASC;SG
特別	especiais	特別	especial	ADV	ADJ;MASC;PL
控制	controle	控制	controle	V	N;MASC;SG
控制	control	控制	control	V	N;MASC;SG
控制	controlo	控制	controlo	V	N;MASC;SG
