το	the	ο	the	DET;NOM;DEF;NEUT;SG	PROPN
περίπου	ttg	περίπου	ttg	ADV	
περίπου	perihal	περίπου	perihal	ADV	N
περίπου	sekitar	περίπου	sekitar	ADV	ADP
πριν	sebelum	πριν	sebelum	ADV	ADP
πριν	before	πριν	before	ADV	PROPN
εθνική	gimn	εθνικός	gimn	ADJ;NOM;FEM;SG	PROPN
εθνική	national	εθνικός	national	ADJ;NOM;FEM;SG	PROPN
αρχείο	mengarsipkan	αρχείο	menarsipkan	N;NOM;NEUT;SG	V;SG;ACT
πρέπει	harus	πρέπει	harus	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV;SG;ACT
πρέπει	mesti	πρέπει	mesti	V;IPFV;IND;SG;3;PRS;FIN;ACT	
πρέπει	keharusan	πρέπει	keharusan	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;SG
πρέπει	must	πρέπει	must	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
φορά	time	φορά	time	N;ACC;FEM;SG	PROPN
έλληνες	yunani	έλληνας	yunani	ADJ;NOM;MASC;PL	PROPN;SG
ομάδες	grup	ομάδα	grup	N;NOM;FEM;PL	N;SG
ομάδες	kelompok	ομάδα	kelompok	N;NOM;FEM;PL	N;SG
ομάδες	tim	ομάδα	tim	N;NOM;FEM;PL	N;SG
πρώτο	pertama	πρώτος	pertama	NUM;NOM;NEUT;SG	NUM
πρώτο	duluan	πρώτος	duluan	NUM;NOM;NEUT;SG	
πρώτο	dulu	πρώτος	dulu	NUM;NOM;NEUT;SG	N
πρώτο	first	πρώτος	first	NUM;NOM;NEUT;SG	PROPN
έργο	project	έργο	project	N;NOM;NEUT;SG	PROPN
έργο	bekerja	έργο	bekerja	N;NOM;NEUT;SG	V;SG;ACT
κυρίως	kebanyakan	κυρίως	kebanyakan	ADV	DET;SG
όχι	not	όχι	not	PART	PROPN
ελληνική	greek	ελληνικός	greek	ADJ;NOM;FEM;SG	PROPN
ελληνική	yunani	ελληνικός	yunani	ADJ;NOM;FEM;SG	PROPN;SG
μεγάλη	big	μεγάλος	big	ADJ;NOM;FEM;SG	PROPN
υπό	under	υπό	under	ADP	PROPN
ταινία	movie	ταινία	movie	N;NOM;FEM;SG	PROPN
ταινία	tape	ταινία	tape	N;NOM;FEM;SG	PROPN
άλλα	lain	άλλος	lain	PRO;NOM;NEUT;PL;3	ADJ;SG
άλλα	lainnya	άλλος	lainnya	PRO;NOM;NEUT;PL;3	N
άλλα	lain	άλλος	lain	PRO;NOM;NEUT;PL;3	ADJ;SG
άλλα	lainnya	άλλος	lainnya	PRO;NOM;NEUT;PL;3	N
σαν	suka	σαν	suka	ADV	V;SG
σαν	sukai	σαν	sukai	ADV	ADJ;SG
σαν	seperti	σαν	seperti	ADV	ADP
σαν	like	σαν	like	ADV	PROPN
εκεί	ada	εκεί	ada	ADV	V;SG
ωστόσο	namun	ωστόσο	namun	CONJ	CONJ
άλλες	lain	άλλος	lain	PRO;NOM;FEM;PL;3	ADJ;SG
άλλες	lainnya	άλλος	lainnya	PRO;NOM;FEM;PL;3	N
τέλος	akhiri	τέλος	akhiri	ADV	V;SG;ACT
τέλος	end	τέλος	end	ADV	PROPN
τέλος	akhir	τέλος	akhir	ADV	N;SG
σειρά	series	σειρά	series	N;ACC;FEM;SG	PROPN
σειρά	order	σειρά	order	N;ACC;FEM;SG	PROPN
σειρά	row	σειρά	row	N;ACC;FEM;SG	PROPN
στοιχεία	unsur	στοιχείο	unsur	N;NOM;NEUT;PL	N;SG
στοιχεία	elemen	στοιχείο	elemen	N;NOM;NEUT;PL	N;SG
στοιχεία	data	στοιχείο	data	N;NOM;NEUT;PL	N;SG
εκτός	kecuali	εκτός	kecuali	ADV	CONJ
εκτός	kecuali	εκτός	kecuali	ADV	CONJ
συνέχεια	lanjutkan	συνέχεια	lanjutkan	N;ACC;FEM;SG	V;SG;ACT
συνέχεια	dilanjutkan	συνέχεια	dilanjutkan	N;ACC;FEM;SG	V;SG;PASS
συνέχεια	berkelanjutan	συνέχεια	berkelanjutan	N;ACC;FEM;SG	V;SG;ACT
κάτω	turun	κάτω	turun	ADV	V;SG;ACT
κάτω	down	κάτω	down	ADV	PROPN
κάτω	turunkan	κάτω	turunkan	ADV	V;SG;ACT
κάτω	turunkan	κάτω	turunkan	ADV	V;SG;ACT
κάτω	lower	κάτω	lower	ADV	PROPN
κάτω	rendahkan	κάτω	rendahkan	ADV	V;SG;ACT
κάτω	dibawah	κάτω	dibawah	ADV	ADP;SG;PASS
πολλές	banyak	πολύς	banyak	ADJ;NOM;FEM;PL	ADV
όλα	everything	όλος	everything	ADJ;NOM;NEUT;PL	PROPN
όλα	semuanya	όλος	semua	ADJ;NOM;NEUT;PL	PRO
όλα	segalanya	όλος	segala	ADJ;NOM;NEUT;PL	PRO
όλα	all	όλος	all	ADJ;NOM;NEUT;PL	PROPN
όλα	aii	όλος	aii	ADJ;NOM;NEUT;PL	PROPN
όλα	semua	όλος	semua	ADJ;NOM;NEUT;PL	DET
φορές	kali	φορά	kali	N;NOM;FEM;PL	N;SG
φορές	times	φορά	times	N;NOM;FEM;PL	PROPN
ίδια	same	ίδιος	same	ADJ;NOM;FEM;SG	PROPN
αποτέλεσμα	result	αποτέλεσμα	result	N;ACC;NEUT;SG	PROPN
οκτωβρίου	oktober	οκτώβριος	oktober	N;GEN;MASC;SG	PROPN;SG
ιανουαρίου	januari	ιανουάριος	januari	PROPN;GEN;MASC;SG	N;SG
νοεμβρίου	november	νόεμβριος	november	N;GEN;MASC;SG	PROPN;SG
αγώνες	cocok	αγώνας	cocok	N;NOM;MASC;PL	ADJ;SG
αγώνες	kecocokan	αγώνας	kecocokan	N;NOM;MASC;PL	N;SG
αγώνες	pertandingan	αγώνας	pertandingan	N;NOM;MASC;PL	N;SG
αγώνες	permainan	αγώνας	permainan	N;NOM;MASC;PL	N;SG
αγώνες	games	αγώνας	games	N;NOM;MASC;PL	PROPN
αγώνες	game	αγώνας	game	N;NOM;MASC;PL	N;SG
ταινίες	films	ταινία	films	N;NOM;FEM;PL	PROPN
ταινίες	film	ταινία	film	N;NOM;FEM;PL	N;SG
ταινίες	movies	ταινία	movies	N;NOM;FEM;PL	PROPN
ταινίες	film	ταινία	film	N;NOM;FEM;PL	N;SG
μέσω	via	μέσω	via	ADP	
μέσω	through	μέσω	through	ADP	PROPN
μαρτίου	march	μάρτιος	march	N;GEN;MASC;SG	PROPN
γεννήθηκε	born	γεννώ	born	V;PFV;IND;SG;3;PST;FIN;PASS	PROPN
γεννήθηκε	lahir	γεννώ	lahir	V;PFV;IND;SG;3;PST;FIN;PASS	V;SG;ACT
πολλά	banyak	πολύς	banyak	ADJ;NOM;NEUT;PL	ADV
απριλίου	april	απρίλιος	april	N;GEN;MASC;SG	PROPN;SG
τρεις	three	τρεις	three	NUM;NOM;MASC;PL	PROPN
αυγούστου	august	αυγούστος	august	N;GEN;MASC;SG	
έργα	karya	έργο	karya	N;NOM;NEUT;PL	N;SG
έργα	bekerja	έργο	bekerja	N;NOM;NEUT;PL	V;SG;ACT
έργα	works	έργο	works	N;NOM;NEUT;PL	PROPN
έργα	proyek	έργο	proyek	N;NOM;NEUT;PL	N;SG
δεκεμβρίου	december	δεκέμβριο	december	N;GEN;MASC;SG	PROPN
χρήση	menggunakan	χρήση	mengunakan	N;ACC;FEM;SG	V;SG;ACT
χρήση	gunakan	χρήση	gunakan	N;ACC;FEM;SG	V;SG;ACT
χρήση	pakai	χρήση	pakai	N;ACC;FEM;SG	V;SG;ACT
ίδιο	same	ίδιος	same	ADJ;NOM;NEUT;SG	PROPN
μας	our	μου	our	PRO;GEN;MASC;PL;1	PROPN
εκλογές	pemilu	εκλογή	pemilu	N;NOM;FEM;PL	N;SG
εκλογές	pemilu	εκλογή	pemilu	N;NOM;FEM;PL	N;SG
μέλη	anggota	μέλος	anggota	N;NOM;NEUT;PL	N;SG
μέλος	member	μέλος	menber	N;NOM;NEUT;SG	
εποχή	epoch	εποχή	epoch	N;ACC;FEM;SG	PROPN
εποχή	season	εποχή	season	N;ACC;FEM;SG	PROPN
χωριό	village	χωριό	village	N;NOM;NEUT;SG	PROPN
αρχικά	aslinya	αρχικά	asli	ADV	N;SG
αρχικά	inisial	αρχικά	inisial	ADV	N
κύπελλο	cawan	κύπελλος	cawan	N;NOM;NEUT;SG	PROPN;SG
κύπελλο	cup	κύπελλος	cup	N;NOM;NEUT;SG	PROPN
ζωή	life	ζωή	life	N;ACC;FEM;SG	PROPN
ζωή	zoe	ζωή	zoe	N;ACC;FEM;SG	PROPN
έδρα	seat	έδρα	seat	N;NOM;FEM;SG	PROPN
μεγάλο	big	μεγάλος	big	ADJ;NOM;NEUT;SG	PROPN
βάση	dasar	βάση	dasar	N;ACC;FEM;SG	ADJ;SG
βάση	basis	βάση	basis	N;ACC;FEM;SG	PROPN;SG
βάση	basis	βάση	basis	N;ACC;FEM;SG	PROPN;SG
κέντρο	tengah	κέντρο	tengah	N;NOM;NEUT;SG	PROPN;SG
κέντρο	center	κέντρο	center	N;NOM;NEUT;SG	PROPN
κέντρο	tengah	κέντρο	tengah	N;NOM;NEUT;SG	PROPN;SG
κέντρο	centre	κέντρο	centre	N;NOM;NEUT;SG	PROPN
γεννήσεις	kelahiran	γεννήση	kelahiran	N;NOM;FEM;PL	N;SG
κάτι	something	κάτι	something	PRO;NOM;NEUT;SG;3	PROPN
κάτι	sesuatu	κάτι	sesuatu	PRO;NOM;NEUT;SG;3	N;SG
κοντά	dekat	κοντά	dekat	ADV	ADJ;SG
κοντά	close	κοντά	close	ADV	PROPN
κοντά	dekat	κοντά	dekat	ADV	ADJ;SG
κοντά	tutup	κοντά	tutup	ADV	PROPN;SG;ACT
κοντά	terdekat	κοντά	terdekat	ADV	ADJ;RL;SG
κοντά	sekitar	κοντά	sekitar	ADV	ADP
μορφή	membentuk	μορφή	menbentuk	N;NOM;FEM;SG	V;SG;ACT
μορφή	form	μορφή	form	N;NOM;FEM;SG	PROPN
μορφή	format	μορφή	format	N;NOM;FEM;SG	PROPN;SG
χρόνο	time	χρόνος	time	N;ACC;MASC;SG	PROPN
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	PROPN
κόμμα	berpesta	κόμμα	berpesta	N;NOM;NEUT;SG	V;SG;ACT
κόμμα	koma	κόμμα	koma	N;NOM;NEUT;SG	PROPN
γιατί	kenapa	γιατί	kenapa	CONJ	ADV
γιατί	mengapa	γιατί	mengapa	CONJ	ADV
γιατί	why	γιατί	why	CONJ	PROPN
ρόλο	rollo	ρόλος	rollo	N;ACC;MASC;SG	PROPN
γκολ	gol	γκολ	gol		N;SG
γκολ	tujuan	γκολ	tujuan		N;SG
γκολ	tujuan	γκολ	tujuan		N;SG
γκολ	gawang	γκολ	gawang		N;SG
γκολ	sasaran	γκολ	sasaran		N;SG
γκολ	goal	γκολ	goal		PROPN
γκολ	gol	γκολ	gol		N;SG
αρχές	otoritas	αρχή	otoritas	N;NOM;FEM;PL	N;SG
αρχές	berwenang	αρχή	berwenang	N;NOM;FEM;PL	V;SG;ACT
αρχές	prinsip	αρχή	prinsip	N;NOM;FEM;PL	N;SG
γύρω	seputar	γύρω	seputar	ADV	
γύρω	sekitar	γύρω	sekitar	ADV	ADP
κοινότητα	community	κοινότητα	community	N;ACC;FEM;SG	PROPN
τελευταία	last	τελευταία	last	ADV	PROPN
τελευταία	terakhir	τελευταία	terakhir	ADV	ADJ;RL;SG
τελευταία	belakangan	τελευταία	belakangan	ADV	N;SG
έκανε	made	κάνω	made	V;PFV;IND;SG;3;PST;FIN;ACT	PROPN
έκανε	dibuat	κάνω	dibuat	V;PFV;IND;SG;3;PST;FIN;ACT	V;SG;PASS
ξεκίνησε	dimulai	ξεκινώ	dimulai	V;PFV;IND;SG;3;PST;FIN;ACT	V;SG;PASS
πρώτος	pertama	πρώτος	pertama	NUM;NOM;MASC;SG	NUM
πρώτος	duluan	πρώτος	duluan	NUM;NOM;MASC;SG	
πρώτος	dulu	πρώτος	dulu	NUM;NOM;MASC;SG	N
πρώτος	first	πρώτος	first	NUM;NOM;MASC;SG	PROPN
πήρε	took	παίρνω	took	V;PFV;IND;SG;3;PST;FIN;ACT	PROPN
κάνει	selesai	κάνω	selesai	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV;SG
κάνει	beres	κάνω	beres	V;IPFV;IND;SG;3;PRS;FIN;ACT	
κάνει	dilakukan	κάνω	dilakukan	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;PASS
κάνει	done	κάνω	done	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
ηπα	as	λπο	as	N	PROPN;SG
ηπα	usa	λπο	usa	N	PROPN
ανάμεσα	antara	ανάμεσα	antara	ADV	ADP
ανάμεσα	diantara	ανάμεσα	diantara	ADV	ADP
δεύτερη	detik	δεύτερος	detik	NUM;NOM;FEM;SG	N;SG
δεύτερη	kedua	δεύτερος	kedua	NUM;NOM;FEM;SG	NUM
δεύτερη	second	δεύτερος	second	NUM;NOM;FEM;SG	PROPN
γιος	nak	γιος	nak	N;NOM;MASC;SG	PART
γιος	son	γιος	son	N;NOM;MASC;SG	PROPN
μάχη	battle	μάχη	battle	N;ACC;FEM;SG	PROPN
μάχη	combat	μάχη	combat	N;ACC;FEM;SG	PROPN
μάχη	bertarung	μάχη	bertarung	N;ACC;FEM;SG	V;SG;ACT
μάχη	berkelahi	μάχη	berkelahi	N;ACC;FEM;SG	V;SG;ACT
μάχη	fight	μάχη	fight	N;ACC;FEM;SG	PROPN
μάχη	melawan	μάχη	menlawan	N;ACC;FEM;SG	ADP;SG;ACT
μάχη	berjuang	μάχη	berjuang	N;ACC;FEM;SG	V;SG;ACT
πανεπιστήμιο	universitas	πανεπιστήμιο	universitas	N;NOM;NEUT;SG	PROPN;SG
πανεπιστήμιο	university	πανεπιστήμιο	university	N;NOM;NEUT;SG	PROPN
όλες	all	όλος	all	ADJ;NOM;FEM;PL	PROPN
όλες	aii	όλος	aii	ADJ;NOM;FEM;PL	PROPN
όλες	semua	όλος	semua	ADJ;NOM;FEM;PL	DET
κάποια	some	κάποιος	some	PRO;NOM;NEUT;PL;3	PROPN
κάποια	beberapa	κάποιος	beberapa	PRO;NOM;NEUT;PL;3	DET
δείτε	lihat	βλέπω	lihat	V;PFV;IMP;PL;2;FIN;ACT	V;SG;ACT
δείτε	menonton	βλέπω	mentonton	V;PFV;IMP;PL;2;FIN;ACT	V;SG;ACT
δείτε	watch	βλέπω	watch	V;PFV;IMP;PL;2;FIN;ACT	PROPN
δείτε	tonton	βλέπω	tonton	V;PFV;IMP;PL;2;FIN;ACT	V;SG;ACT
πόλεμο	war	πόλεμος	war	N;ACC;MASC;SG	PROPN
περιοχές	daerah	περιοχή	daerah	N;NOM;FEM;PL	N;SG
περιοχές	wilayah	περιοχή	wilayah	N;NOM;FEM;PL	N;SG
περιοχές	kawasan	περιοχή	kawasan	N;NOM;FEM;PL	N;SG
περιοχές	area	περιοχή	area	N;NOM;FEM;PL	N;SG
πρώην	mantan	πρώην	mantan	ADV	N;SG
εικόνα	picture	εικόνα	picture	N;NOM;FEM;SG	PROPN
έλαβε	diterima	λαμβάνω	diterima	V;PFV;IND;SG;3;PST;FIN;ACT	V;SG;PASS
επίσημη	official	επίσημος	official	ADJ;NOM;FEM;SG	PROPN
κατοίκους	penghuninya	κάτοικος	penhuni	N;ACC;MASC;PL	N;SG
κατοίκους	penduduk	κάτοικος	penduduk	N;ACC;MASC;PL	N;SG
κατοίκους	warga	κάτοικος	warga	N;ACC;MASC;PL	N;SG
κατοίκους	penghuni	κάτοικος	penhuni	N;ACC;MASC;PL	N;SG
πηγές	sumber	πηγή	sumber	N;NOM;FEM;PL	N;SG
βόρεια	utara	βόρεια	utara	ADV	PROPN;SG
βόρεια	north	βόρεια	north	ADV	PROPN
βόρεια	utara	βόρεια	utara	ADV	PROPN;SG
βόρεια	northern	βόρεια	northern	ADV	PROPN
πόλεις	kota	πόλη	kota	N;NOM;FEM;PL	N;SG
αγώνα	race	αγώνας	race	N;ACC;MASC;SG	PROPN
αγώνα	cocok	αγώνας	cocok	N;ACC;MASC;SG	ADJ;SG
αγώνα	bertarung	αγώνας	bertarung	N;ACC;MASC;SG	V;SG;ACT
αγώνα	berkelahi	αγώνας	berkelahi	N;ACC;MASC;SG	V;SG;ACT
αγώνα	fight	αγώνας	fight	N;ACC;MASC;SG	PROPN
αγώνα	melawan	αγώνας	menlawan	N;ACC;MASC;SG	ADP;SG;ACT
αγώνα	berjuang	αγώνας	berjuang	N;ACC;MASC;SG	V;SG;ACT
γεγονός	fact	γεγονός	fact	N;NOM;NEUT;SG	PROPN
σελίδα	page	σελίδα	page	N;NOM;FEM;SG	PROPN
χρησιμοποιείται	used	χρησιμοποιώ	used	V;IPFV;IND;SG;3;PRS;FIN;PASS	PROPN
πρώτα	pertama	πρώτα	pertama	ADV	NUM
πρώτα	duluan	πρώτα	duluan	ADV	
πρώτα	dulu	πρώτα	dulu	ADV	N
πρώτα	first	πρώτα	first	ADV	PROPN
μέγεθος	size	μέγεθος	size	N;NOM;NEUT;SG	PROPN
εδώ	disini	εδώ	disini	ADV	PROPN;SG;PASS
εδώ	here	εδώ	here	ADV	PROPN
εδώ	sini	εδώ	sini	ADV	ADP;SG
νότια	southern	νότιος	southern	ADV	PROPN
νότια	selatan	νότιος	selatan	ADV	N;SG
νότια	selatan	νότιος	selatan	ADV	N;SG
νότια	south	νότιος	south	ADV	PROPN
περίπτωση	case	περίπτωση	case	N;ACC;FEM;SG	PROPN
νέο	new	νέος	new	ADJ;ACC;NEUT;SG	PROPN
έτος	year	έτος	year	N;ACC;NEUT;SG	PROPN
σχεδόν	almost	σχεδόν	almost	ADV	PROPN
σχεδόν	nyaris	σχεδόν	nyaris	ADV	
ένωση	union	ένωση	union	N;NOM;FEM;SG	PROPN
ένωση	uni	ένωση	uni	N;NOM;FEM;SG	PROPN;SG
ένωση	serikat	ένωση	serikat	N;NOM;FEM;SG	PROPN;SG
ένωση	association	ένωση	association	N;NOM;FEM;SG	PROPN
περισσότερο	selengkapnya	πολύ	selengkap	ADV;CMPR	N;SG
περισσότερο	lainnya	πολύ	lainnya	ADV;CMPR	N
βασιλιά	raja	βασιλιάς	raja	N;ACC;MASC;SG	PROPN;SG
βασιλιά	king	βασιλιάς	king	N;ACC;MASC;SG	PROPN
εκκλησία	church	εκκλησία	church	N;NOM;FEM;SG	PROPN
μουσείο	museum	μουσείο	museum	N;NOM;NEUT;SG	PROPN
πολιτικός	politisi	πολιτικός	politisi	ADJ;NOM;MASC;SG	N;SG
πολιτικός	politikus	πολιτικός	politikus	ADJ;NOM;MASC;SG	N;SG
δυο	two	δύο	two	NUM;NOM;PL	PROPN
μεγαλύτερη	greater	μεγάλος	greater	ADJ;NOM;CMPR;FEM;SG	PROPN
πέθανε	die	πεθαίνω	die	V;PFV;IND;SG;3;PST;FIN;ACT	PROPN
πέθανε	mati	πεθαίνω	mati	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;SG
μουσική	music	μουσικός	music	ADJ;NOM;FEM;SG	PROPN
μουσική	musik	μουσικός	musik	ADJ;NOM;FEM;SG	N;SG
κόσμο	cosmo	κόσμος	cosmo	N;ACC;MASC;SG	PROPN
κόσμο	world	κόσμος	world	N;ACC;MASC;SG	PROPN
άτομα	individu	άτομο	individu	N;NOM;NEUT;PL	N;SG
άτομα	rakyat	άτομο	rakyat	N;NOM;NEUT;PL	N;SG
άτομα	orang	άτομο	orang	N;NOM;NEUT;PL	N;SG
άτομα	people	άτομο	people	N;NOM;NEUT;PL	PROPN
δεύτερο	detik	δεύτερος	detik	NUM;NOM;NEUT;SG	N;SG
δεύτερο	kedua	δεύτερος	kedua	NUM;NOM;NEUT;SG	NUM
δεύτερο	second	δεύτερος	second	NUM;NOM;NEUT;SG	PROPN
είδος	ketik	είδος	ketik	N;NOM;NEUT;SG	PROPN
εκείνη	she	εκείνος	she	PRO;ACC;FEM;SG;3	PROPN
χώρες	negara	χώρα	negara	N;NOM;FEM;PL	N;SG
χώρο	space	χώρος	space	N;ACC;MASC;SG	PROPN
εναντίον	menentang	εναντίον	mententang	ADP	V;SG;ACT
εναντίον	against	εναντίον	against	ADP	PROPN
τρία	three	τρεις	three	NUM;NOM;NEUT;PL	PROPN
χαρακτηριστικά	karakteristik	χαρακτηριστικός	karakteristik	N;NOM;NEUT;PL	N;SG
χαρακτηριστικά	fitur	χαρακτηριστικός	fitur	N;NOM;NEUT;PL	N;SG
όρος	term	όρος	term	N;NOM;MASC;SG	PROPN
όρος	mount	όρος	mount	N;NOM;MASC;SG	PROPN
βασιλιάς	raja	βασιλιάς	raja	N;NOM;MASC;SG	PROPN;SG
βασιλιάς	king	βασιλιάς	king	N;NOM;MASC;SG	PROPN
παιδιά	boys	παιδί	boys	N;NOM;NEUT;PL	PROPN
παιδιά	guys	παιδί	guys	N;NOM;NEUT;PL	PROPN
παιδιά	anak	παιδί	anak	N;NOM;NEUT;PL	N;SG
άρχισε	dimulai	αρχίζω	dimulai	V;PFV;IND;SG;3;PST;FIN;ACT	V;SG;PASS
φαίνεται	tampaknya	φαίνομαι	tampaknya	V;IPFV;IND;SG;3;PRS;FIN;PASS	
φαίνεται	sepertinya	φαίνομαι	sepertinya	V;IPFV;IND;SG;3;PRS;FIN;PASS	
μήκος	panjang	μήκος	panjang	N;ACC;NEUT;SG	ADJ;SG
