que	that	que	that	PRO;MASC;SG	PROPN
meio	средняя	meio	средний	ADV	ADJ;NOM;FEM;SG
meio	средних	meio	средний	ADV	ADJ;GEN;PL
meio	средний	meio	средний	ADV	ADJ;NOM;MASC;SG
meio	среднее	meio	средний	ADV	ADJ;NOM;NEUT;SG
meio	средние	meio	средний	ADV	ADJ;NOM;PL
meio	половины	meio	половина	ADV	N;INAN;NOM;FEM;PL
meio	половина	meio	половина	ADV	N;INAN;NOM;FEM;SG
meio	половину	meio	половина	ADV	N;INAN;ACC;FEM;SG
aqui	вот	aqui	вот	ADV	PART
style	style	style	style	N;MASC;SG	PROPN
versão	версии	versão	версия	N;FEM;SG	N;INAN;NOM;FEM;PL
fim	end	fim	end	N;MASC;SG	PROPN
carlos	карл	carlo	карл	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
menos	минус	menos	минус	ADV	N;INAN;NOM;MASC;SG
menos	меньше	menos	мало	ADV	NUM
menos	меньше	menos	мало	ADV	NUM
deve	должен	dever	должен	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG
deve	должны	dever	должен	V;IND;SG;3;PRS;FIN	ADJ;PL
deve	должен	dever	должен	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG
deve	должно	dever	должен	V;IND;SG;3;PRS;FIN	ADJ;NEUT;SG
deve	должны	dever	должен	V;IND;SG;3;PRS;FIN	ADJ;PL
equipe	team	equipe	team	N;FEM;SG	PROPN
escola	school	escola	school	N;FEM;SG	PROPN
escola	школы	escola	школа	N;FEM;SG	N;INAN;NOM;FEM;PL
várias	различных	várias	различный	PRO;FEM;PL	ADJ;GEN;PL
várias	различные	várias	различный	PRO;FEM;PL	ADJ;NOM;PL
várias	несколько	várias	несколько	PRO;FEM;PL	ADV
outra	другой	outro	другой	PRO;FEM;SG	ADJ;NOM;MASC;SG
outra	другая	outro	другой	PRO;FEM;SG	ADJ;NOM;FEM;SG
outra	другое	outro	другой	PRO;FEM;SG	ADJ;NOM;NEUT;SG
outra	другие	outro	другой	PRO;FEM;SG	ADJ;NOM;PL
outra	прочие	outro	прочий	PRO;FEM;SG	ADJ;NOM;PL
outra	другой	outro	другой	PRO;FEM;SG	ADJ;NOM;MASC;SG
outra	другая	outro	другой	PRO;FEM;SG	ADJ;NOM;FEM;SG
dados	data	dado	data	N;MASC;PL	PROPN
copa	cup	copa	cup	N;FEM;SG	PROPN
internacional	internacional	internacional	internacional	ADJ;MASC;SG	PROPN
internacional	международные	internacional	международный	ADJ;MASC;SG	ADJ;NOM;PL
hoje	today	hoje	today	ADV	PROPN
team	team	team	team	N;MASC;SG	PROPN
inglês	английский	inglês	английский	N;MASC;SG	ADJ;NOM;MASC;SG
inglês	английская	inglês	английский	N;MASC;SG	ADJ;NOM;FEM;SG
pouco	little	pouco	little	ADV	PROPN
pouco	маленький	pouco	маленький	ADV	ADJ;NOM;MASC;SG
pouco	маленькая	pouco	маленький	ADV	ADJ;NOM;FEM;SG
pouco	маленькие	pouco	маленький	ADV	ADJ;NOM;PL
porque	зачем	porque	зачем	CONJ	ADV
porque	почему	porque	почему	CONJ	ADV
projeto	project	projeto	project	N;MASC;SG	PROPN
você	тебя	você	ты	PRO;NOM;SG;3	PRO;ACC;SG;2
você	you	você	you	PRO;NOM;SG;3	PROPN
você	вы	você	вы	PRO;NOM;SG;3	PRO;NOM;PL;2
você	ты	você	ты	PRO;NOM;SG;3	PRO;NOM;SG;2
atual	текущие	atual	текущий	ADJ;MASC;SG	ADJ;NOM;PL
john	джон	john	джон	PROPN;MASC;SG	N;ANIM;NOM;MASC;SG
john	иоанн	john	иоанный	PROPN;MASC;SG	N;ANIM;NOM;MASC;SG
ordem	заказать	ordem	заказать	N;FEM;SG	V;PFV;NFIN;ACT
pai	пап	pai	пап	N;MASC;SG	N;ANIM;GEN;MASC;PL
pai	отче	pai	отче	N;MASC;SG	INTJ
localizada	расположенных	localizar	расположенный	V;FEM;SG;V.PTCP	ADJ;GEN;PL
localizada	расположенный	localizar	расположенный	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;SG
localizada	локальных	localizar	локальный	V;FEM;SG;V.PTCP	ADJ;GEN;PL
estádio	estádio	estádio	estádio	N;MASC;SG	PROPN
partido	party	partido	party	N;MASC;SG	PROPN
começou	начали	começar	начать	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;PST;FIN;ACT
passou	прошли	passar	пройти	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;PST;FIN;ACT
ilha	острова	ilha	остров	N;FEM;SG	N;INAN;NOM;MASC;PL
ilha	island	ilha	island	N;FEM;SG	PROPN
ilha	островных	ilha	островной	N;FEM;SG	ADJ;GEN;PL
carreira	карьеры	carreira	карьера	N;FEM;SG	N;INAN;NOM;FEM;PL
carreira	карьеры	carreira	карьера	N;FEM;SG	N;INAN;NOM;FEM;PL
campo	поля	campo	поле	N;MASC;SG	N;INAN;NOM;NEUT;PL
uso	используйте	uso	использовать	N;MASC;SG	V;IPFV;IMP;PL;2;FIN;ACT
uso	использовать	uso	использовать	N;MASC;SG	V;IPFV;NFIN;ACT
linha	линии	linha	линия	N;FEM;SG	N;INAN;NOM;FEM;PL
linha	line	linha	line	N;FEM;SG	PROPN
