van	uzvārds	van	uzvārds		N;NOM;MASC;SG
pous	pāvests	pous	pāvests		N;NOM;MASC;SG
sal	būs	sal	būt	V;PRS	V;FH;IND;3;POS;FUT;FIN;ACT
kon	varēja	kan	varēt	V;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
kon	varētu	kan	varēt	V;PST;FIN	V;COND;POS;FIN;ACT
ons	mūsu	ons	mēs	PRO;PL;1	PRO;GEN;PL;1
mense	tauta	mens	tauta	N;PL	N;NOM;FEM;SG
svg	svg	svg	svg	N;SG	
maak	make	maak	make	V;PRS	
maak	marka	maak	marka	V;PRS	N;NOM;FEM;SG
noord	ziemeļi	noord	ziemelis		N;NOM;MASC;PL
noord	ziemeļos	noord	ziemelis		N;ESS;MASC;PL
noord	ziemeļu	noord	ziemelis		N;GEN;MASC;PL
jpg	jpg	jpg	jpg		
gebied	teritorija	bied	teritorija	V;PST;V.PTCP	N;NOM;FEM;SG
gebied	teritorija	bied	teritorija	V;PST;V.PTCP	N;NOM;FEM;SG
gebied	platība	bied	platība	V;PST;V.PTCP	N;NOM;FEM;SG
gebied	apgabals	bied	apgabals	V;PST;V.PTCP	N;NOM;MASC;SG
gebied	laukums	bied	laukums	V;PST;V.PTCP	N;NOM;MASC;SG
vanaf	no	vanaf	no	ADP	
laat	vēlu	laat	vēlu	V;PRS	ADV
laat	novēloti	laat	novēlot	V;PRS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
style	stili	styal	stils		N;NOM;MASC;PL
terwyl	kamēr	terwyl	kamēr	CONJ	ADV
weer	atkal	weer	atkal		ADV
weer	vēlreiz	weer	vēlreiz		ADV
weer	laikapstākļi	weer	laikapstāklis		N;NOM;MASC;PL
weer	laika	weer	laiks		N;GEN;MASC;SG
werk	darbs	werk	darbs	V;PRS	N;NOM;MASC;SG
werk	darbs	werk	darbs	V;PRS	N;NOM;MASC;SG
werk	darbiņš	werk	darbiņš	V;PRS	N;NOM;MASC;SG
klein	mazas	klein	maza		ADJ;NOM;FEM;PL
klein	mazās	klein	maza		ADJ;NOM;FEM;PL
klein	mazie	klein	mazs		ADJ;NOM;MASC;PL
klein	maza	klein	maza		ADJ;NOM;FEM;SG
klein	mazs	klein	mazs		ADJ;NOM;MASC;SG
klein	maznozīmīgi	klein	maznozīmīgi		ADV
klein	nelielas	klein	neliela		ADJ;NOM;FEM;PL
klein	sīkā	klein	sīka		ADJ;NOM;FEM;SG
klein	sīkās	klein	sīka		ADJ;NOM;FEM;PL
klein	sīka	klein	sīka		ADJ;NOM;FEM;SG
oos	austrumos	oos	austrumi		N;ESS;MASC
oos	austrumu	oos	austrumi		N;GEN;MASC
oos	austrumi	oos	austrumi		N;NOM;MASC
verenigde	united	verenig	unitede	ADJ;NOM	
verenigde	apvienotā	verenig	apvienot	ADJ;NOM	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
verenigde	apvienoto	verenig	apvienot	ADJ;NOM	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
verenigde	vienoti	verenig	vienots	ADJ;NOM	ADV
mei	var	mei	varēt		V;FH;IND;3;POS;PRS;FIN;ACT
mei	drīkst	mei	drīkstēt		V;FH;IND;3;POS;PRS;FIN;ACT
mei	maijs	mei	maijs		N;NOM;MASC;SG
wes	rietumu	wes	rietumi		N;ACC;MASC;SG
wes	rietumos	wes	rietumi		N;ESS;MASC;PL
wes	rietumi	wes	rietumi		N;NOM;MASC;PL
wes	west	wes	west		
vorm	forma	vorm	forma	V;PRS	N;NOM;FEM;SG
isbn	isbn	isbn	isbn		N
bevolking	iedzīvotāji	bevolking	iedzīvotājs	N;SG	N;NOM;MASC;PL
gemaak	made	maak	made	V;PST;V.PTCP	
gebou	ēkas	bou	ēka	V;PST;V.PTCP	N;NOM;FEM;PL
gebou	ēka	bou	ēka	V;PST;V.PTCP	N;NOM;FEM;SG
januarie	janvāris	januarie	janvāris		N;NOM;MASC;SG
januarie	janvāra	januarie	janvāris		N;GEN;MASC;SG
januarie	janvārī	januarie	janvāris		N;ESS;MASC;SG
januarie	manuāla	januarie	manuāls		ADJ;NOM;FEM;SG
januarie	rokasgrāmatā	januarie	rokasgrāmata		N;ESS;FEM;SG
januarie	rokasgrāmata	januarie	rokasgrāmata		N;NOM;FEM;SG
junie	jun	junie	jun		N
junie	jūnijs	junie	jūnijs		N;NOM;MASC;SG
junie	jūnija	junie	jūnijs		N;GEN;MASC;SG
junie	jūnijā	junie	jūnijs		N;ESS;MASC;SG
amerikaanse	american	amerikaans	american	ADJ;NOM	PROPN;NOM;FEM;SG
amerikaanse	amerikāņu	amerikaans	amerikānis	ADJ;NOM	N;GEN;MASC;PL
amerikaanse	amerikas	amerikaans	amerika	ADJ;NOM	PROPN;NOM;FEM;PL
slegs	tikai	slegs	tikai	ADV	PART
slegs	tikai	slegs	tikai	ADV	PART
nadat	pēc	nadat	pēc	CONJ	ADP
april	aprīlis	april	aprīlis		N;NOM;MASC;SG
april	aprīlī	april	aprīlis		N;ESS;MASC;SG
april	aprīļa	april	aprīlis		N;GEN;MASC;SG
lank	garš	lank	garš	ADV	ADJ;NOM;MASC;SG
lank	garais	lank	garais	ADV	ADJ;NOM;MASC;SG
lank	gara	lank	garš	ADV	ADJ;NOM;FEM;SG
lank	garas	lank	gara	ADV	ADJ;NOM;FEM;PL
lank	garš	lank	garš	ADV	ADJ;NOM;MASC;SG
oktober	oktobris	oktober	oktobris		N;NOM;MASC;SG
oktober	oktobrī	oktober	oktobris		N;ESS;MASC;SG
julie	jūlija	julie	jūlijs		N;GEN;MASC;SG
julie	jūlijs	julie	jūlijs		N;NOM;MASC;SG
julie	jūlijā	julie	jūlijs		N;ESS;MASC;SG
sedert	uzsāka	sedert	uzsākt	ADP	V;FH;IND;3;POS;PST;FIN;ACT
kaapstad	barselonas	kaapstad	barselona		PROPN;NOM;FEM;PL
kaapstad	barselona	kaapstad	barselons		N;NOM;FEM;SG
september	septembris	september	septembris		N;NOM;MASC;SG
september	septembrī	september	septembris		N;ESS;MASC;SG
september	septembri	september	septembris		N;ACC;MASC;SG
engels	angļu	engels	anglis		N;GEN;MASC;PL
party	ballīte	party	ballīte	V;PRS	N;NOM;FEM;SG
party	party	party	party	V;PRS	
party	partija	party	partija	V;PRS	N;NOM;FEM;SG
party	puse	party	puse	V;PRS	N;NOM;FEM;SG
desember	decembrī	desember	decembris		N;ESS;MASC;SG
desember	decembris	desember	decembris		N;NOM;MASC;SG
desember	decembra	desember	decembris		N;GEN;MASC;SG
desember	decembrim	desember	decembris		N;DAT;MASC;SG
maart	marta	maart	marts		N;GEN;MASC;SG
maart	martā	maart	marts		N;ESS;MASC;SG
maart	marts	maart	marts		N;NOM;MASC;SG
alle	visiem	al	viss	DET	PRO;DAT;MASC;PL
alle	visu	al	viss	DET	PRO;ACC;MASC;SG
alle	visas	al	visa	DET	PRO;NOM;FEM;PL
alle	visi	al	viss	DET	PRO;NOM;MASC;PL
alle	visa	al	viss	DET	PRO;NOM;FEM;SG
augustus	augusts	augustus	augusts		N;NOM;MASC;SG
augustus	augustā	augustus	augusts		N;ESS;MASC;SG
gevolg	sekoja	gevolg	sekot	N;SG	V;FH;IND;3;POS;PST;FIN;ACT
februarie	februārī	februarie	februāris		N;ESS;MASC;SG
februarie	februāra	februarie	februāris		N;GEN;MASC;SG
februarie	februāris	februarie	februāris		N;NOM;MASC;SG
gaan	braucam	gaan	braukt		V;FH;IND;PL;1;POS;PRS;FIN;ACT
meeste	vairums	baie	vairums		N;NOM;MASC;SG
meeste	visvairāk	baie	visvairāk		ADV;RL
gebore	dzimuši	gebore	dzimt	V;PRS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
gebore	dzimis	gebore	dzimt	V;PRS	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gebore	dzimusi	gebore	dzimt	V;PRS	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
universiteit	universitātes	universiteit	universitāte	N;SG	N;NOM;FEM;PL
lewe	life	lewe	life	N;SG	
vier	četri	vier	četri	V;PRS	NUM;NOM;MASC;PL
vier	četras	vier	četras	V;PRS	NUM;NOM;FEM;PL
vier	četriem	vier	četri	V;PRS	NUM;DAT;MASC;PL
vier	četrus	vier	četri	V;PRS	NUM;ACC;MASC;PL
november	novembra	november	novembris		N;GEN;MASC;SG
november	novembrī	november	novembris		N;ESS;MASC;SG
november	novembris	november	novembris		N;NOM;MASC;SG
franse	francijas	frans	francija	ADJ;NOM	PROPN;NOM;FEM;SG
franse	franču	frans	francis	ADJ;NOM	N;GEN;MASC;PL
dood	mirusi	dood	mirt	N;SG	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
dood	miris	dood	mirt	N;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
dood	beigts	dood	beigt	N;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
dood	miruši	dood	mirt	N;SG	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
amptelike	amatpersona	amptelik	amatpersons	ADJ;NOM	N;NOM;FEM;SG
amptelike	ierēdnis	amptelik	ierēdnis	ADJ;NOM	N;NOM;MASC;SG
koning	king	koning	king		
koning	karalis	koning	karalis		N;NOM;MASC;SG
koning	ķēniņš	koning	ķēniņš		N;NOM;MASC;SG
moes	bija	moet	būt	V;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
dieselfde	pašas	dieselfde	pati	ADJ;NOM	PRO;NOM;FEM;PL
dieselfde	pašu	dieselfde	pats	ADJ;NOM	PRO;ACC;MASC;SG
volgende	next	volg	next	N;SG	
volgende	nākamais	volg	nākt	N;SG	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
volgende	nākamā	volg	nākt	N;SG	V;NOM;DEF;FEM;SG;PRS;V.PTCP;PASS
volgende	nākamo	volg	nākt	N;SG	V;ACC;DEF;MASC;SG;PRS;V.PTCP;PASS
volgende	nākošais	volg	nākt	N;SG	V;IPFV;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
geleë	atrodas	geleë	atrasties		V;FH;IND;3;POS;REFL;PRS;FIN;ACT
miljoen	miljons	miljoen	miljons	NUM	N;NOM;MASC;SG
miljoen	miljoni	miljoen	miljons	NUM	N;NOM;MASC;PL
regs	tiesības	regs	tiesības	ADP	N;NOM;FEM
regs	labās	regs	laba	ADP	ADJ;NOM;FEM;PL
regs	pareizi	regs	pareizi	ADP	ADV
internasionale	international	internasionaal	international	ADJ;NOM	
internasionale	starptautiski	internasionaal	starptautiski	ADJ;NOM	ADV
eie	pielāgot	eie	pielāgot	ADJ;NOM	V;POS;NFIN
eie	paša	eie	pats	ADJ;NOM	PRO;NOM;MASC;SG
eie	pašu	eie	pats	ADJ;NOM	PRO;ACC;MASC;SG
eers	pirmais	eers	pirmais		ADJ;NOM;DEF;MASC;SG
eers	pirmā	eers	pirmā		ADJ;NOM;DEF;FEM;SG
eers	pirmās	eers	pirmā		ADJ;NOM;DEF;FEM;PL
eers	pirmie	eers	pirmais		ADJ;NOM;DEF;MASC;PL
eers	pirma	eers	pirma		ADJ;NOM;FEM;SG
eers	vispirms	eers	vispirms		ADV
steeds	vēljoprojām	steeds	vēljoprojām	ADV	V;FH;IND;PL;1;POS;PST;FIN;ACT
groep	grupas	groep	grupa	N;SG	N;NOM;FEM;PL
stel	komplekts	stel	komplekts	V;PRS	N;NOM;MASC;SG
stel	kopa	stel	kopt	V;PRS	N;NOM;FEM;SG
sluit	iziet	sluit	iziet	V;PRS	
sluit	tuvu	sluit	tuvu	V;PRS	ADV
frankryk	franciju	frankryk	francija		PROPN;ACC;FEM;SG
frankryk	francijā	frankryk	francija		PROPN;ESS;FEM;SG
frankryk	francija	frankryk	francija		PROPN;NOM;FEM;SG
frankryk	france	frankryk	france		
naby	tuvu	naby	tuvu	ADP	ADV
naby	netālu	naby	netālu	ADP	ADV
naby	netālu	naby	netālu	ADP	ADV
naby	tuvumā	naby	tuvums	ADP	N;ESS;MASC;SG
verwys	minēts	verwys	minēt	V;PRS	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
einde	pabeigt	einde	pabeigt	N;SG	V;POS;NFIN
einde	pabeidz	einde	pabeigt	N;SG	V;IMP;SG;2;POS;FIN;ACT
einde	beigas	einde	beigas	N;SG	N;NOM;FEM
duitsland	vācijas	duitsland	vācija	N;SG	PROPN;NOM;FEM;SG
duitsland	vācija	duitsland	vācija	N;SG	PROPN;NOM;FEM;SG
duitsland	vācijā	duitsland	vācija	N;SG	PROPN;ESS;FEM;SG
regering	valdības	regering	valdība	N;SG	N;NOM;FEM;PL
kaap	renāra	kaap	renāra		N;NOM;MASC;SG
wanneer	kad	wanneer	kad	PRO	ADV
laaste	pēdējo	laaste	pēdējais	DET	ADJ;ACC;MASC;SG
laaste	pēdējais	laaste	pēdējs	DET	ADJ;NOM;MASC;SG
laaste	pēdējā	laaste	pēdējā	DET	ADJ;NOM;FEM;SG
laaste	pēdējās	laaste	pēdējā	DET	ADJ;NOM;FEM;PL
laaste	pēdējoreiz	laaste	pēdējoreiz	DET	N;NOM;MASC;SG
besluit	lēmums	besluit	lēmums	V;PRS	N;NOM;MASC;SG
besluit	izlēma	besluit	izlemt	V;PRS	V;FH;IND;3;POS;PST;FIN;ACT
besluit	nolēma	besluit	nolemt	V;PRS	V;FH;IND;3;POS;PST;FIN;ACT
besluit	nolēmusi	besluit	nolemt	V;PRS	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
besluit	izlemts	besluit	izlemt	V;PRS	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
besluit	nolemts	besluit	nolemt	V;PRS	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
ryk	impērija	ryk	impērija		N;NOM;FEM;SG
ryk	bagāta	ryk	bagāta		ADJ;NOM;FEM;SG
ryk	bagātas	ryk	bagāta		ADJ;NOM;FEM;PL
ryk	bagāti	ryk	bagāts		ADJ;NOM;MASC;PL
ryk	bagātīgs	ryk	bagātīgs		ADJ;NOM;MASC;SG
ryk	bagāts	ryk	bagāts		ADJ;NOM;MASC;SG
asook	filantropijas	asook	filantropija	CONJ	N;NOM;FEM;PL
sommige	dažas	sommige	daža	DET	PRO;NOM;FEM;PL
sommige	dažiem	sommige	dažs	DET	PRO;DAT;MASC;PL
sommige	daži	sommige	dažs	DET	PRO;NOM;MASC;PL
gewoonlik	parasti	gewoonlik	parasti		ADV
gewoonlik	parasti	gewoonlik	parasti		ADV
afrikaans	afrikandu	afrikaans	afrikands		N;NOM;MASC;PL
geskiedenis	vēstures	geskiedenis	vēsture	N;SG	N;NOM;FEM;PL
vis	zivīm	vis	zivs	N;SG	N;DAT;FEM;PL
vis	zivis	vis	zivs	N;SG	N;NOM;FEM;PL
plaas	saimniecība	plaas	saimniecība	V;PRS	N;NOM;FEM;SG
plaas	audzētava	plaas	audzētava	V;PRS	N;NOM;FEM;SG
plaas	ferma	plaas	ferma	V;PRS	N;NOM;FEM;SG
plaas	saimniecības	plaas	saimniecība	V;PRS	N;NOM;FEM;PL
plaas	amats	plaas	amats	V;PRS	N;NOM;MASC;SG
plaas	pasts	plaas	pasts	V;PRS	
plaas	post	plaas	post	V;PRS	
wikipedia	wikipedia	wikipedia	wikipedia		N;NOM;MASC;SG
wetenskaplike	zinātnieks	wetenskaplik	zinātnieks	ADJ;NOM	N;NOM;MASC;SG
ontwikkel	attīstīta	ontwikkel	attīstīt	V;PRS	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
ontwikkel	attīstītas	ontwikkel	attīstīt	V;PRS	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
ontwikkel	izstrādāti	ontwikkel	izstrādāt	V;PRS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
ontwikkel	izstrādāts	ontwikkel	izstrādāt	V;PRS	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
ontwikkel	attīstītajām	ontwikkel	attīstīt	V;PRS	V;PFV;DAT;DEF;FEM;PL;PST;V.PTCP
algemene	vispārējā	algemeen	vispārējs	ADV	ADJ;NOM;FEM;SG
algemene	vispārējais	algemeen	vispārējs	ADV	ADJ;NOM;MASC;SG
verskillende	atšķirīgi	verskil	atšķirīgs	ADJ;NOM	ADV
ontstaan	radās	ontstaan	rasties	V;PRS	V;FH;IND;3;POS;REFL;PST;FIN;ACT
ontstaan	notika	ontstaan	notikt	V;PRS	V;FH;IND;3;POS;PST;FIN;ACT
europa	eiropa	europa	eiropa		N;NOM;FEM;SG
europa	europe	europa	europe		
stadion	stadionā	stadion	stadions		N;ESS;MASC;SG
stadion	stadions	stadion	stadions		N;NOM;MASC;SG
belangrike	svarīgi	belangrik	svarīgi	ADJ;NOM	ADV
gedurende	laikā	gedurende	laiks	ADP	N;ESS;MASC;SG
tans	pašreiz	tans	pašreiz	ADV	
tans	pašreizējais	tans	pašreizējs	ADV	ADJ;NOM;MASC;SG
tans	tagadni	tans	tagadne	ADV	N;ACC;FEM;SG
republiek	republikas	republiek	republika	N;SG	N;NOM;FEM;PL
kort	īsa	kort	īsa		ADJ;NOM;FEM;SG
kort	īsais	kort	īss		ADJ;NOM;MASC;SG
kort	īsā	kort	īss		ADJ;NOM;FEM;SG
kort	īsi	kort	īsi		ADV
kort	īss	kort	īss		ADJ;NOM;MASC;SG
self	sevis	self	sevis	PRO;SG;3;REFL	PRO;GEN;REFL
self	sevi	self	sevis	PRO;SG;3;REFL	PRO;ACC;REFL
mens	cilvēks	mens	cilvēks		N;NOM;MASC;SG
mens	cilvēka	mens	cilvēks		N;GEN;MASC;SG
mens	cilvēku	mens	cilvēks		N;ACC;MASC;SG
binne	iekšpusē	binne	iekšpuse	ADP	N;ESS;FEM;SG
binne	iekšā	binne	iekšā	ADP	ADV
swart	plaisu	swart	plaiss		N;ACC;FEM;SG
swart	plaisa	swart	plaiss		N;NOM;FEM;SG
swart	melnā	swart	melns		ADJ;NOM;FEM;SG
swart	melni	swart	melns		ADJ;NOM;MASC;PL
swart	melna	swart	melna		ADJ;NOM;FEM;SG
swart	melnas	swart	melna		ADJ;NOM;FEM;PL
swart	melns	swart	melns		ADJ;NOM;MASC;SG
europese	eiropas	europees	eiropa	ADJ;NOM	PROPN;NOM;FEM;SG
europese	eiropietis	europees	eiropietis	ADJ;NOM	N;NOM;MASC;SG
moontlik	iespējamie	moontlik	iespējams	ADV	ADJ;NOM;MASC;PL
moontlik	iespējams	moontlik	iespējams	ADV	ADJ;NOM;MASC;SG
moontlik	iespējamā	moontlik	iespējama	ADV	ADJ;NOM;FEM;SG
moontlik	iespējama	moontlik	iespējama	ADV	ADJ;NOM;FEM;SG
selfs	pat	selfs	pat	ADV	PART
enige	jebkura	enig	jebkura	PRO	PRO;NOM;FEM;SG
gehou	iepatikās	hou	iepatikās	V;PST;V.PTCP	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
skool	skolas	skool	skola	N;SG	N;NOM;FEM;PL
per	per	per	per	ADP	
vroeë	agri	vroeg	agri	ADJ;NOM	ADV
familie	ģimenes	familie	ģimene	N;SG	N;NOM;FEM;PL
mag	var	mag	varēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
mag	drīkst	mag	drīkstēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
mag	maijs	mag	maijs	V;PRS	N;NOM;MASC;SG
hoe	kā	hoe	kā	PRO	ADV
