les	на	le	на	DET;DEF;PL	ADP;ACC
depuis	відтоді	depuis	відтоді	ADP	ADV
depuis	відколи	depuis	відколи	ADP	
première	перше	premier	перше	ADJ;FEM;SG	ADV
ans	ан	an	ан	N;MASC;PL	
externes	зовнішнє	externe	зовнішній	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
externes	зовнішній	externe	зовнішній	ADJ;MASC;PL	ADJ;NOM;MASC;SG
externes	зовнішня	externe	зовнішній	ADJ;MASC;PL	ADJ;NOM;FEM;SG
premier	premier	premier	premier	ADJ;MASC;SG	
premier	перше	premier	перше	ADJ;MASC;SG	ADV
ces	ці	ce	цей	PRO;PL;3	DET;NOM;PL
fut	був	être	бути	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
fut	була	être	бути	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
fut	було	être	бути	V;IND;SG;3;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN
http	http	http	http	N;MASC;SG	
voir	див	voir	див.	V;NFIN	
voir	перегляд	voir	перегляд	V;NFIN	N;INAN;NOM;MASC;SG
voir	вигляд	voir	вигляд	V;NFIN	N;INAN;NOM;MASC;SG
voir	view	voir	view	V;NFIN	
voir	вид	voir	вид	V;NFIN	N;INAN;NOM;MASC;SG
pays	країни	pays	країна	N;MASC;SG	N;INAN;NOM;FEM;PL
pays	кантрі	pays	кантрі	N;MASC;SG	N;INAN;NOM;FEM;PL
pays	країн	pays	країна	N;MASC;SG	N;INAN;GEN;FEM;PL
pays	країни	pays	країна	N;MASC;SG	N;INAN;NOM;FEM;PL
source	джерела	source	джерело	N;FEM;SG	N;INAN;NOM;NEUT;PL
grand	великі	grand	великий	ADJ;MASC;SG	ADJ;NOM;PL
grand	великих	grand	великий	ADJ;MASC;SG	ADJ;ANIM;ACC;PL
grand	великі	grand	великий	ADJ;MASC;SG	ADJ;NOM;PL
grand	біг	grand	бігти	ADJ;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN
grand	чудово	grand	чудово	ADJ;MASC;SG	ADV
grand	гран	grand	гран	ADJ;MASC;SG	
grand	гранд	grand	гранд	ADJ;MASC;SG	
grand	grand	grand	grand	ADJ;MASC;SG	
tout	everything	tout	everything	PRO;MASC;SG	
tout	усі	tout	увесь	PRO;MASC;SG	DET;NOM;PL
tout	всі	tout	весь	PRO;MASC;SG	DET;NOM;PL
tout	всіх	tout	всі	PRO;MASC;SG	PRO;ANIM;ACC
lors	підчас	lors	підчи	ADV	
groupe	band	groupe	band	N;MASC;SG	
groupe	групова	groupe	груповий	N;MASC;SG	ADJ;NOM;FEM;SG
groupe	груповий	groupe	груповий	N;MASC;SG	ADJ;NOM;MASC;SG
monde	світовий	monde	світовий	N;MASC;SG	ADJ;NOM;MASC;SG
monde	world	monde	world	N;MASC;SG	
nord	північна	nord	північний	N;MASC;SG	ADJ;NOM;FEM;SG
nord	норт	nord	норт	N;MASC;SG	PROPN;INAN;NOM;MASC;SG
nord	північний	nord	північний	N;MASC;SG	ADJ;NOM;MASC;SG
nord	північна	nord	північний	N;MASC;SG	ADJ;NOM;FEM;SG
nord	північний	nord	північний	N;MASC;SG	ADJ;NOM;MASC;SG
nord	північне	nord	північний	N;MASC;SG	ADJ;NOM;NEUT;SG
nord	nord	nord	nord	N;MASC;SG	
bien	хороші	bien	хороший	ADV	ADJ;NOM;PL
bien	гарні	bien	гарний	ADV	ADJ;NOM;PL
bien	добрий	bien	добрий	ADV	ADJ;NOM;MASC;SG
bien	well	bien	well	ADV	
bien	ну	bien	ну	ADV	PART
contre	проти	contre	проти	ADP	ADV
liste	list	liste	list	N;FEM;SG	
puis	потім	puis	потім	CONJ	ADV
puis	тоді	puis	тоді	CONJ	ADV
club	club	club	club	N;MASC;SG	
sud	sud	sud	sud	N;MASC;SG	
sud	південна	sud	південний	N;MASC;SG	ADJ;NOM;FEM;SG
sud	південний	sud	південний	N;MASC;SG	ADJ;NOM;MASC;SG
partie	вечірки	partie	вечірка	N;FEM;SG	N;INAN;NOM;FEM;PL
partie	party	partie	party	N;FEM;SG	
avant	front	avant	front	ADP	
avant	спереду	avant	спереду	ADP	ADV
avant	передні	avant	передній	ADP	ADJ;NOM;PL
avant	фронт	avant	фронт	ADP	N;INAN;NOM;MASC;SG
avant	передній	avant	передній	ADP	ADJ;NOM;MASC;SG
avant	before	avant	before	ADP	
non	не	non	не	ADV	PART;NEG
non	not	non	not	ADV	
trois	втрьох	trois	втріх	NUM	N;ANIM;NOM;MASC;PL
trois	трійка	trois	трійка	NUM	N;INAN;NOM;FEM;SG
sans	sans	sans	sans	ADP	
saison	season	saison	season	N;FEM;SG	
fin	завершити	fin	завершити	N;FEM;SG	V;PFV;NFIN
fin	закінчити	fin	закінчити	N;FEM;SG	V;PFV;NFIN
fin	закінчиться	fin	закінчитися	N;FEM;SG	V;PFV;IND;SG;3;FUT;FIN
vers	вер	vers	вер.	ADP	PROPN;ANIM;NOM;FEM;SG
plusieurs	багато	plusieurs	багато	PRO;PL	ADV
plusieurs	багатьох	plusieurs	багато	PRO;PL	DET;ACC
plusieurs	декілька	plusieurs	декілька	PRO;PL	DET;NOM
plusieurs	декілька	plusieurs	декілька	PRO;PL	DET;NOM
faire	make	faire	make	V;NFIN	
faire	faire	faire	faire	V;NFIN	
mars	березні	mars	березень	N;MASC;SG	ADV
mars	марс	mars	марс	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
mars	mars	mars	mars	N;MASC;SG	
histoire	історії	histoire	історія	N;FEM;SG	N;INAN;NOM;FEM;PL
série	серії	série	серія	N;FEM;SG	N;INAN;NOM;FEM;PL
série	ряди	série	ряд	N;FEM;SG	N;INAN;NOM;MASC;PL
série	послідовний	série	послідовний	N;FEM;SG	ADJ;NOM;MASC;SG
série	серійний	série	серійний	N;FEM;SG	ADJ;NOM;MASC;SG
mai	травнева	mai	травневий	N;MASC;SG	ADJ;NOM;FEM;SG
mai	травневі	mai	травневий	N;MASC;SG	ADJ;NOM;PL
mai	травні	mai	травень	N;MASC;SG	ADV
mai	май	mai	май	N;MASC;SG	
tour	гастролі	tour	гастроль	N;MASC;SG	N;INAN;NOM;MASC;PL
tour	tour	tour	tour	N;MASC;SG	
tour	tower	tour	tower	N;MASC;SG	
mort	death	mourir	death	V;MASC;SG;PST;V.PTCP	
mort	смерть	mourir	смерть	V;MASC;SG;PST;V.PTCP	N;INAN;NOM;FEM;SG
mort	смерті	mourir	смерть	V;MASC;SG;PST;V.PTCP	N;INAN;NOM;FEM;PL
mort	mort	mourir	mort	V;MASC;SG;PST;V.PTCP	
mort	мертвий	mourir	мертвий	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
mort	dead	mourir	dead	V;MASC;SG;PST;V.PTCP	
juin	червні	juin	червень	N;MASC;SG	ADV
jpg	jpg	jpg	jpg	N;MASC;SG	
française	френч	français	френч	ADJ;FEM;SG	
pierre	stone	pierre	stone	N;FEM;SG	
pierre	стоун	pierre	стоуна	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
pierre	петро	pierre	петро	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
pierre	пітер	pierre	пітер	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
janvier	січні	janvier	січень	N;MASC;SG	ADV
avoir	have	avoir	have	V;NFIN	
fois	часи	fois	час	N;FEM;SG	N;INAN;NOM;MASC;PL
fois	times	fois	times	N;FEM;SG	
autre	autre	autre	autre	PRO;SG	
autre	інший	autre	інший	PRO;SG	DET;NOM;MASC;SG
autre	інша	autre	інший	PRO;SG	DET;NOM;FEM;SG
autre	інші	autre	інший	PRO;SG	DET;NOM;PL
autre	інше	autre	інший	PRO;SG	DET;NOM;NEUT;SG
autre	інших	autre	інший	PRO;SG	DET;GEN;PL
septembre	вересні	septembre	вересень	N;MASC;SG	ADV
juillet	липні	juillet	липень	N;MASC;SG	ADV
octobre	жовтні	octobre	жовтень	N;MASC;SG	ADV
octobre	octobre	octobre	octobre	N;MASC;SG	
famille	сімейний	famille	сімейний	N;FEM;SG	ADJ;NOM;MASC;SG
famille	сімейні	famille	сімейний	N;FEM;SG	ADJ;NOM;PL
états	штати	état	штати	N;MASC;PL	PROPN;INAN;NOM
général	загальні	général	загальний	N;MASC;SG	ADJ;NOM;PL
général	загальний	général	загальний	N;MASC;SG	ADJ;NOM;MASC;SG
général	загальне	général	загальний	N;MASC;SG	ADJ;NOM;NEUT;SG
avril	apr	avril	apr	N;MASC;SG	
avril	квітні	avril	квітний	N;MASC;SG	ADV
avril	авріль	avril	авріль	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
insee	insee	insee	insee	N;MASC;SG	
tous	усі	tout	увесь	PRO;MASC;PL	DET;NOM;PL
tous	всі	tout	весь	PRO;MASC;PL	DET;NOM;PL
tous	все	tout	все	PRO;MASC;PL	PRO;INAN;NOM;NEUT;SG
tous	всіх	tout	всі	PRO;MASC;PL	PRO;ANIM;ACC
politique	правила	politique	правило	ADJ;MASC;SG	N;INAN;NOM;NEUT;PL
politique	політики	politique	політика	ADJ;MASC;SG	N;INAN;NOM;FEM;PL
politique	policy	politique	policy	ADJ;MASC;SG	
politique	політика	politique	політика	ADJ;MASC;SG	N;INAN;NOM;FEM;SG
politique	політикою	politique	політика	ADJ;MASC;SG	N;INAN;INS;FEM;SG
politique	політика	politique	політика	ADJ;MASC;SG	N;INAN;NOM;FEM;SG
décembre	грудні	décembre	грудний	N;MASC;SG	ADV
août	серпні	août	серпень	N;MASC;SG	ADV
août	aug	août	aug	N;MASC;SG	
avait	мали	avoir	мати	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;PST;FIN
avait	мав	avoir	мати	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN
prix	ціни	prix	ціна	N;MASC;SG	N;INAN;NOM;FEM;PL
nouvelle	нові	nouveau	новий	ADJ;FEM;SG	ADJ;NOM;PL
nouvelle	створити	nouveau	створити	ADJ;FEM;SG	V;PFV;NFIN
février	лютий	février	лютий	N;MASC;SG	ADJ;NOM;MASC;SG
grande	великі	grand	великий	ADJ;FEM;SG	ADJ;NOM;PL
grande	великих	grand	великий	ADJ;FEM;SG	ADJ;ANIM;ACC;PL
grande	великі	grand	великий	ADJ;FEM;SG	ADJ;NOM;PL
grande	біг	grand	бігти	ADJ;FEM;SG	V;IPFV;MASC;IND;SG;PST;FIN
grande	чудово	grand	чудово	ADJ;FEM;SG	ADV
grande	гранде	grand	гранде	ADJ;FEM;SG	PROPN;INAN;NOM;FEM;SG
grande	гранд	grand	гранд	ADJ;FEM;SG	
peu	кілька	peu	кілька	ADV	DET;NOM
peu	маленька	peu	маленький	ADV	ADJ;NOM;FEM;SG
peu	маленький	peu	маленький	ADV	ADJ;NOM;MASC;SG
peu	маленькі	peu	маленький	ADV	ADJ;NOM;PL
américain	американець	américain	американець	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
américain	американські	américain	американський	ADJ;MASC;SG	ADJ;NOM;PL
soit	або	soit	або	CONJ	CONJ
début	запустити	début	запустити	N;MASC;SG	V;PFV;NFIN
début	розпочати	début	розпочати	N;MASC;SG	V;PFV;NFIN
début	запускати	début	запускати	N;MASC;SG	V;IPFV;NFIN
début	почати	début	почати	N;MASC;SG	V;PFV;NFIN
ligne	пряма	ligne	пряма	N;FEM;SG	ADJ;NOM;FEM;SG
nationale	націонал	national	націонал	ADJ;FEM;SG	
nationale	національні	national	національний	ADJ;FEM;SG	ADJ;NOM;PL
nationale	nationale	national	nationale	ADJ;FEM;SG	
championnat	чемпіонський	championnat	чемпіонський	N;MASC;SG	ADJ;NOM;MASC;SG
encore	still	encore	still	ADV	
encore	encore	encore	encore	ADV	
image	picture	image	picture	N;FEM;SG	
image	фото	image	фото	N;FEM;SG	
vie	лайф	vie	Лайф	N;FEM;SG	
vie	ві	vie	ві	N;FEM;SG	
unis	united	unir	united	V;MASC;PL;PST;V.PTCP	
unis	юнайтед	unir	юнайтед	V;MASC;PL;PST;V.PTCP	PROPN;INAN;NOM;MASC;SG
lien	посилання	lien	посилання	N;MASC;SG	N;INAN;NOM;NEUT;PL
lien	link	lien	link	N;MASC;SG	
pendant	підчас	pendant	підчи	ADP	
jeux	ігор	jeu	гра	N;MASC;PL	PROPN;ANIM;NOM;FEM;SG
jeux	games	jeu	games	N;MASC;PL	
moins	мінус	moins	мінусь	ADV	
ouest	вест	ouest	вест	N;MASC;SG	
ouest	західний	ouest	західний	N;MASC;SG	ADJ;NOM;MASC;SG
ouest	західні	ouest	західний	N;MASC;SG	ADJ;NOM;PL
ouest	західна	ouest	західний	N;MASC;SG	ADJ;NOM;FEM;SG
page	сторінки	page	сторінка	N;FEM;SG	N;INAN;NOM;FEM;PL
page	пейдж	page	пейдж	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
nouveau	нові	nouveau	новий	ADJ;MASC;SG	ADJ;NOM;PL
nouveau	створити	nouveau	створити	ADJ;MASC;SG	V;PFV;NFIN
vous	тобою	vous	ти	PRO;PL;2	PRO;ANIM;INS;SG;2
vous	ти	vous	ти	PRO;PL;2	PRO;ANIM;NOM;SG;2
vous	тебе	vous	ти	PRO;PL;2	PRO;ANIM;ACC;SG;2
cours	курси	cours	курс	N;MASC;SG	N;INAN;NOM;MASC;PL
partir	leave	partir	leave	V;NFIN	
université	внз	université	внз	N;FEM;SG	
louis	луї	loui	луя	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
louis	луїс	loui	луїс	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
quelques	деякі	quelque	деякий	PRO;PL	DET;NOM;PL
quelques	якесь	quelque	якийсь	PRO;PL	DET;NOM;NEUT;SG
quelques	якийсь	quelque	якийсь	PRO;PL	DET;NOM;MASC;SG
quelques	трохи	quelque	трохи	PRO;PL	ADV
leurs	їхньому	son	їхній	DET;MASC;PL	PRO;DAT;SG;3
leurs	їхнє	son	їхній	DET;MASC;PL	DET;NOM;NEUT;SG;3
siècle	century	siècle	century	N;MASC;SG	
coupe	різати	coupe	різати	N;FEM;SG	V;IPFV;NFIN
coupe	вирізати	coupe	вирізати	N;FEM;SG	V;IPFV;NFIN
coupe	coupe	coupe	coupe	N;FEM;SG	
homme	чоловічий	homme	чоловічий	N;MASC;SG	ADJ;NOM;MASC;SG
homme	чоловічі	homme	чоловічий	N;MASC;SG	ADJ;NOM;PL
homme	чоловіча	homme	чоловічий	N;MASC;SG	ADJ;NOM;FEM;SG
homme	homme	homme	homme	N;MASC;SG	
homme	чоловіки	homme	чоловік	N;MASC;SG	N;ANIM;NOM;MASC;PL
homme	man	homme	man	N;MASC;SG	
communes	підпорядкування	commune	підпорядкування	N;FEM;PL	N;INAN;NOM;NEUT;SG
président	президенти	président	президент	N;MASC;SG	N;ANIM;NOM;MASC;PL
national	націонал	national	націонал	ADJ;MASC;SG	
national	національні	national	національний	ADJ;MASC;SG	ADJ;NOM;PL
quatre	четвірка	quatre	четвірка	NUM	N;INAN;NOM;FEM;SG
cas	випадку	cas	випадок	N;MASC;SG	ADV
cas	випадках	cas	випадок	N;MASC;SG	N;INAN;ESS;MASC;PL
cas	випадки	cas	випадок	N;MASC;SG	N;INAN;NOM;MASC;PL
cas	випадків	cas	випадок	N;MASC;SG	N;INAN;GEN;MASC;PL
jeu	ігри	jeu	ігра	N;MASC;SG	N;INAN;NOM;MASC;PL
jeu	гри	jeu	гра	N;MASC;SG	N;INAN;NOM;FEM;PL
genre	статі	genre	стать	N;MASC;SG	N;INAN;NOM;FEM;PL
genre	гендерна	genre	гендерний	N;MASC;SG	ADJ;NOM;FEM;SG
genre	подобається	genre	подобатися	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN
genre	like	genre	like	N;MASC;SG	
musique	музики	musique	музика	N;FEM;SG	N;INAN;NOM;FEM;PL
musique	музик	musique	музик	N;FEM;SG	N;INAN;NOM;MASC;PL
musique	музиці	musique	музика	N;FEM;SG	N;INAN;DAT;FEM;PL
fils	сини	fils	син	N;MASC;SG	N;ANIM;NOM;MASC;PL
roi	кінг	roi	кінг	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
roi	руа	roi	руа	N;MASC;SG	
parti	вечірка	partir	вечірка	V;MASC;SG;PST;V.PTCP	N;INAN;NOM;FEM;SG
parti	партії	partir	партія	V;MASC;SG;PST;V.PTCP	N;INAN;GEN;FEM;SG
parti	вечірки	partir	вечірка	V;MASC;SG;PST;V.PTCP	N;INAN;NOM;FEM;PL
parti	партія	partir	партія	V;MASC;SG;PST;V.PTCP	N;INAN;NOM;FEM;SG
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	
parti	зникли	partir	зникнути	V;MASC;SG;PST;V.PTCP	V;PFV;IND;PL;PST;FIN
europe	європу	europe	європа	N;FEM;SG	PROPN;INAN;ACC;FEM;SG
europe	європа	europe	європа	N;FEM;SG	PROPN;INAN;NOM;FEM;SG
europe	європі	europe	європа	N;FEM;SG	PROPN;INAN;DAT;FEM;SG
mise	mise	mettre	mise	V;FEM;SG;PST;V.PTCP	
mise	ставки	mettre	ставка	V;FEM;SG;PST;V.PTCP	N;INAN;NOM;FEM;PL
époque	епохи	époque	епох	N;FEM;SG	N;INAN;NOM;FEM;PL
devient	стане	devenir	стати	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;FUT;FIN
ancien	давніх	ancien	давній	ADJ;MASC;SG	ADJ;GEN;PL
ancien	стародавні	ancien	стародавний	ADJ;MASC;SG	ADJ;NOM;PL
ancien	давні	ancien	давний	ADJ;MASC;SG	ADJ;NOM;PL
ancien	старі	ancien	старий	ADJ;MASC;SG	ADJ;NOM;PL
ancien	колишні	ancien	колишній	ADJ;MASC;SG	ADJ;NOM;PL
origine	джерел	origine	джерело	N;FEM;SG	N;INAN;GEN;NEUT;PL
ordre	замовити	ordre	замовити	N;MASC;SG	V;PFV;NFIN
école	школах	école	школа	N;FEM;SG	N;INAN;ESS;FEM;PL
école	шкіл	école	школа	N;FEM;SG	N;INAN;GEN;FEM;PL
part	поширити	part	поширити	N;FEM;SG	V;PFV;NFIN
part	поділитися	part	поділитися	N;FEM;SG	V;PFV;NFIN
part	поділитись	part	поділитися	N;FEM;SG	V;PFV;NFIN
deuxième	друга	deuxième	друг	ADJ;MASC;SG	N;INAN;NOM;FEM;SG
deuxième	секунда	deuxième	секунда	ADJ;MASC;SG	N;INAN;NOM;FEM;SG
bar	bar	bar	bar	N;MASC;SG	
située	розташовані	situer	розташований	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;PL;V.PTCP;PASS
située	знаходиться	situer	знаходитися	V;FEM;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
située	розташований	situer	розташований	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
charles	шарль	charle	шарль	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
charles	чарльз	charle	чарльз	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
paul	пол	paul	поле	N;MASC;SG	
paul	пауль	paul	пауль	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
paul	павло	paul	павий	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rue	стріт	rue	стріт	N;FEM;SG	
rue	рю	rue	рю	N;FEM;SG	
chef	головний	chef	головний	N;MASC;SG	ADJ;NOM;MASC;SG
exemple	прикладу	exemple	приклад	N;MASC;SG	ADV
trouve	виявить	trouver	виявити	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;FUT;FIN
trouve	знайде	trouver	знайти	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;FUT;FIN
durant	підчас	durant	підчи	ADP	
durant	дюран	durant	дюран	ADP	PROPN;ANIM;NOM;FEM;SG
rapport	повідомити	rapport	повідомити	N;MASC;SG	V;PFV;NFIN
art	арт	art	арт	N;MASC;SG	
art	художня	art	художній	N;MASC;SG	ADJ;NOM;FEM;SG
canton	гуанчжоу	canton	гуанчжо	N;MASC;SG	PROPN;INAN;NOM;MASC;SG
dernier	останні	dernier	останній	ADJ;MASC;SG	ADJ;NOM;PL
point	point	point	point	N;MASC;SG	
compte	рахувати	compte	рахувати	N;MASC;SG	V;IPFV;NFIN
armée	військові	armée	військовий	N;FEM;SG	ADJ;NOM;PL
armée	військовий	armée	військовий	N;FEM;SG	ADJ;NOM;MASC;SG
