van	vom	van	vom	ADP	
marine	navy	marine	navy	N;MASC+FEM;SG	PROPN;NOM;SG
marine	kriegsmarine	marine	kriegsmarin	N;MASC+FEM;SG	ADJ;NOM;FEM;SG
kerk	kirchen	kerk	Kirche	N;MASC+FEM;SG	N;PL
kerk	church	kerk	church	N;MASC+FEM;SG	PROPN
kerk	kirche	kerk	kirche	N;MASC+FEM;SG	
regio	region	regio	Region	N;MASC+FEM;SG	
regio	gebiet	regio	gebieten	N;MASC+FEM;SG	ADJ
oppervlakte	gebiet	oppervlakte	gebieten	N;MASC+FEM;SG	ADJ
oppervlakte	bereich	oppervlakte	bereich	N;MASC+FEM;SG	ADV
genoemd	namens	noemen	namens	V;V.PTCP	ADV
komen	kommend	komen	kommend	V;NFIN	ADJ
september	september	september	september	PROPN;MASC+FEM;SG	PROPN;SG
ongeveer	über	ongeveer	über	ADV	ADP
ongeveer	annähernd	ongeveer	annähernd	ADV	ADJ
php	php	php	php	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
juli	juli	juli	juli	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
juli	july	juli	july	PROPN;MASC+FEM;SG	
juli	juli	juli	juli	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
dorp	feriendorf	dorp	feriendorf	N;NEUT;SG	
dorp	ortschaft	dorp	ortschaft	N;NEUT;SG	ADJ
plaatsen	ortschaften	plaats	ortschaften	N;PL	ADJ
leven	leben	leven	leben	N;NEUT;SG	V;NFIN
leven	life	leven	life	N;NEUT;SG	PROPN
leven	lebens	leven	lebens	N;NEUT;SG	N;NOM;PL
leven	leben	leven	leben	N;NEUT;SG	V;NFIN
leven	live	leven	live	N;NEUT;SG	ADJ
leven	wohnen	leven	wohnen	N;NEUT;SG	V;NFIN
leven	lebe	leven	leben	N;NEUT;SG	V;IND;SG;3;PRS;FIN
leven	lebend	leven	lebend	N;NEUT;SG	ADJ
oktober	oktober	oktober	oktober	PROPN;MASC+FEM;SG	PROPN;NOM;SG
oktober	october	oktober	october	PROPN;MASC+FEM;SG	PROPN
binnen	innenraum	binnen	innenraum	ADP	ADJ
binnen	indoor	binnen	indoor	ADP	
binnen	hallenbad	binnen	hallenbad	ADP	
binnen	innenräume	binnen	innenraum	ADP	ADJ;NOM;FEM;PL
binnen	innen	binnen	innen	ADP	ADV
binnen	innenseite	binnen	innenseite	ADP	ADJ
binnen	drinnen	binnen	drinnen	ADP	
binnen	innerhalb	binnen	innerhalb	ADP	ADV
binnen	binnen	binnen	binnen	ADP	
binnen	innerhalb	binnen	innerhalb	ADP	ADV
binnen	drinnen	binnen	drinnen	ADP	
augustus	august	augustus	augusten	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
augustus	august	augustus	augusten	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
augustus	augustus	augustus	augustus	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
maart	marsch	maart	marsch	PROPN;MASC+FEM;SG	ADJ
maart	march	maart	march	PROPN;MASC+FEM;SG	PROPN
maart	märz	maart	märz	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
register	registrieren	register	registrieren	N;NEUT;SG	V;NFIN
register	register	register	register	N;NEUT;SG	
register	eintragen	register	eintragen	N;NEUT;SG	V;NFIN
register	anmeldung	register	anmeldung	N;NEUT;SG	ADJ
register	anmelden	register	anmelden	N;NEUT;SG	V;NFIN
register	registrierung	register	Registrierung	N;NEUT;SG	ADJ
register	register	register	register	N;NEUT;SG	
register	registry	register	registry	N;NEUT;SG	PROPN
register	kanzlei	register	kanzlei	N;NEUT;SG	
register	registrierung	register	Registrierung	N;NEUT;SG	ADJ
zal	wille	zullen	willen	V;SG;PRS;FIN	
meter	metern	meter	metern	N;MASC+FEM;SG	ADJ
meter	meter	meter	meter	N;MASC+FEM;SG	ADV
meter	metern	meter	metern	N;MASC+FEM;SG	ADJ
meter	zähler	meter	zähl	N;MASC+FEM;SG	
meter	messgeräte	meter	meßgerät	N;MASC+FEM;SG	N;NOM;FEM;PL
meter	meter	meter	meter	N;MASC+FEM;SG	ADV
meter	metern	meter	metern	N;MASC+FEM;SG	ADJ
meter	meter	meter	meter	N;MASC+FEM;SG	ADV
meter	zähler	meter	zähl	N;MASC+FEM;SG	
meter	meter	meter	meter	N;MASC+FEM;SG	ADV
meter	messgerät	meter	messgerät	N;MASC+FEM;SG	PROPN
vier	four	vier	four	NUM	
december	december	december	december	PROPN;MASC+FEM;SG	PROPN
december	dezember	december	dezember	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
amsterdam	amsterdam	amsterdam	amsterdam	PROPN;NEUT;SG	PROPN;NOM;NEUT;SG
zeer	very	zeer	very	ADV	
top	top	top	top	N;MASC+FEM;SG	ADV
top	spitze	top	spitz	N;MASC+FEM;SG	ADJ
top	oberteil	top	oberteil	N;MASC+FEM;SG	ADJ
top	oben	top	oben	N;MASC+FEM;SG	ADV
top	oberseite	top	oberseite	N;MASC+FEM;SG	ADJ
top	gipfel	top	gipfel	N;MASC+FEM;SG	ADV
top	gipfeltreffen	top	gipfeltreffen	N;MASC+FEM;SG	V;NFIN
november	november	november	november	PROPN;MASC+FEM;SG	PROPN
zonder	without	zonder	withouen	ADP	
ronde	runden	ronde	rund	N;MASC+FEM;SG	ADJ
ronde	runde	ronde	runde	N;MASC+FEM;SG	ADV
ronde	rund	ronde	rund	N;MASC+FEM;SG	ADV
ronde	round	ronde	round	N;MASC+FEM;SG	
kon	könnten	kunnen	können	V;SG;PST;FIN	V;SBJV;PL;3;PST;FIN
kon	kon	kunnen	kon	V;SG;PST;FIN	
sint	sint	sint	sein	N;MASC+FEM;SG	
gemaakt	made	maken	made	V;V.PTCP	PROPN;SG
groep	konzern	groep	konzern	N;MASC+FEM;SG	
groep	gruppen	groep	grappen	N;MASC+FEM;SG	N;NOM;FEM;PL
won	won	winnen	won	V;SG;PST;FIN	
won	gewonnene	winnen	gewonnen	V;SG;PST;FIN	ADJ;NOM;FEM;SG
goals	ziel	goal	ziel	N;PL	N;NOM;NEUT;SG
goals	zielsetzung	goal	zielsetzung	N;PL	ADJ
goals	zielsetzungen	goal	zielsetzehen	N;PL	V;NFIN
gebruik	gebrauch	gebruik	gebrauch	N;NEUT;SG	ADJ
gebruik	benutzen	gebruik	benutzen	N;NEUT;SG	V;NFIN
gebruik	verwenden	gebruik	verwenden	N;NEUT;SG	V;NFIN
gebruik	gebrauch	gebruik	gebrauch	N;NEUT;SG	ADJ
werken	werk	werken	werk	V;NFIN	N;NOM;NEUT;SG
werken	arbeit	werken	arbeit	V;NFIN	N;NOM;FEM;SG
werken	arbeitsplatz	werken	arbeitsplatz	V;NFIN	
werken	arbeitszeit	werken	arbeitszeit	V;NFIN	
werken	bauleistungen	werken	bauleistung	V;NFIN	N;NOM;FEM;PL
werken	werke	werken	werk	V;NFIN	N;NOM;NEUT;PL
derde	drittens	drie	drittens	ADJ	ADV
net	net	net	Net	ADV	
net	netz	net	netz	ADV	
net	netto	net	netto	ADV	
ter	ter	te	ter	ADP	PROPN;NOM;SG
iets	sowas	iets	sowas	PRO;3	
iets	irgendwas	iets	irgendwas	PRO;3	ADV
iets	irgendetwas	iets	irgendetwas	PRO;3	ADV
iets	etwas	iets	etwas	PRO;3	ADV
februari	february	februari	february	PROPN;MASC+FEM;SG	
februari	februar	februari	februaer	PROPN;MASC+FEM;SG	PROPN;NOM;SG
zuid	zuid	zuid	zuid	ADJ	
zuid	süd	zuid	süd	ADJ	N;NOM;NEUT;SG
zuid	süden	zuid	süden	ADJ	V;NFIN
kleine	wenig	klein	wenig	ADJ	ADV
kleine	little	klein	little	ADJ	PROPN
zien	schau	zien	schau	V;NFIN	;SG
zien	see	zien	see	V;NFIN	
album	album	album	album	N;NEUT;SG	
