com	com	com	com	ADP	
paulo	פאולו	paulo	פאול	N;MASC;SG	PROPN
paulo	פאול	paulo	פאול	N;MASC;SG	PROPN
paulo	פול	paulo	פול	N;MASC;SG	PROPN
ver	ראי	ver	ראי	V;NFIN	
ver	צפי	ver	None	V;NFIN	
ver	צפייה	ver	צפייה	V;NFIN	N;FEM;SG
ver	צפה	ver	צפה	V;NFIN	PROPN
ver	תצוגה	ver	תצוגה	V;NFIN	N;FEM;SG
ver	הצג	ver	הצג	V;NFIN	
outubro	באוקטובר	outubro	באוקטובר	N;MASC;SG	PROPN
outubro	אוקטובר	outubro	אוקטובר	N;MASC;SG	PROPN
todos	כולם	todo	None	PRO;MASC;PL	N;MASC;PL
todos	כולם	todo	None	PRO;MASC;PL	N;MASC;PL
todos	הכל	todo	הכיל	PRO;MASC;PL	N
todos	כל	todo	כול	PRO;MASC;PL	DET;PSSD
todos	כולם	todo	None	PRO;MASC;PL	N;MASC;PL
nova	חדשים	novo	חדש	ADJ;FEM;SG	ADJ;MASC;PL
nova	נובה	novo	נובה	ADJ;FEM;SG	PROPN
álbum	האלבום	álbum	האלבום	N;MASC;SG	PROPN
junho	יוני	junho	יוני	N;MASC;SG	PROPN
contra	קונטרה	contra	קונטרה	ADP	PROPN
tempo	הזמן	tempo	הזמן	N;MASC;SG	
tempo	טיים	tempo	טיים	N;MASC;SG	PROPN
dezembro	בדצמבר	dezembro	בדצמבר	N;MASC;SG	PROPN
dezembro	דצמבר	dezembro	דצמבר	N;MASC;SG	PROPN
dezembro	דק	dezembro	None	N;MASC;SG	
fevereiro	בפברואר	fevereiro	בפברואר	N;MASC;SG	ADV
fevereiro	פברואר	fevereiro	פברואר	N;MASC;SG	PROPN
fevereiro	פברואר	fevereiro	פברואר	N;MASC;SG	PROPN
forma	הטופס	forma	הטופס	N;FEM;SG	PROPN
novembro	נובמבר	novembro	נובמבר	N;MASC;SG	PROPN
novembro	בנובמבר	novembro	בנובמבר	N;MASC;SG	ADV
então	ואז	então	ואז	ADV	
principal	המנהל	principal	המנהל	ADJ;MASC;SG	
três	three	três	three	NUM	
série	סדרתי	série	סדרתי	N;FEM;SG	ADJ;MASC;SG
série	סידורי	série	סידורי	N;FEM;SG	N;MASC;PL
além	שמעבר	além	שמעבר	ADV	PROPN
além	מעבר	além	מעבר	ADV	
final	סוף	final	None	N;MASC;SG	ADV
final	סופו	final	סופה	N;MASC;SG	
final	קץ	final	קץ	N;MASC;SG	
final	סופית	final	סופית	N;MASC;SG	ADV
final	סופי	final	סופי	N;MASC;SG	
final	סופיות	final	סופיות	N;MASC;SG	N;FEM;PL
desde	מאז	desde	מאז	ADP	ADV
antes	לפני	antes	לפני	ADV	ADP
melhor	עדיף	melhor	עדיף	ADV	ADJ;MASC;SG
melhor	best	melhor	best	ADV	
guerra	המלחמה	guerra	המלחם	N;FEM;SG	PROPN
mundo	העולם	mundo	העולם	N;MASC;SG	
banda	הלהקה	banda	הלהקה	N;FEM;SG	PROPN
banda	באנדה	banda	באנדה	N;FEM;SG	PROPN
outras	אחרים	outro	אחר	PRO;FEM;PL	ADJ;MASC;PL
outras	אחר	outro	אחר	PRO;FEM;PL	ADP
outras	אחרות	outro	אחר	PRO;FEM;PL	ADJ;FEM;PL
outras	אחרים	outro	אחר	PRO;FEM;PL	ADJ;MASC;PL
outras	ואחרים	outro	ואחר	PRO;FEM;PL	PROPN
nacional	לאומי	nacional	לאומי	ADJ;MASC;SG	PROPN
nacional	לאומית	nacional	לאומי	ADJ;MASC;SG	ADV
qual	אשר	qual	אשר	PRO;MASC;SG	CONJ
qual	איזה	qual	איזה	PRO;MASC;SG	
brasileiro	ברזילאית	brasileiro	ברזילאית	N;MASC;SG	PROPN
brasileiro	ברזילאי	brasileiro	ברזילאי	N;MASC;SG	PROPN
alguns	כמה	algum	כמה	PRO;MASC;PL	DET;PSSD
alguns	חלקם	algum	חלקם	PRO;MASC;PL	
center	המרכז	center	המרכז	N;MASC;SG	PROPN
center	סנטר	center	סנטר	N;MASC;SG	PROPN
vida	life	vida	life	N;FEM;SG	
vida	החיים	vida	החיים	N;FEM;SG	ADV
vida	חיים	vida	חיים	N;FEM;SG	PROPN
país	ארצי	país	ארצי	N;MASC;SG	PROPN
eles	אותם	eles	None	PRO;NOM;MASC;PL;3	PRO;ACC;MASC;PL;3
página	דף	página	דף	N;FEM;SG	
página	עמוד	página	עמוד	N;FEM;SG	
página	הדף	página	הדף	N;FEM;SG	
dias	דיאס	dia	דיאס	N;MASC;PL	PROPN
dias	ימי	dia	יום	N;MASC;PL	PROPN
josé	חוסה	josé	חוסה	N;MASC;SG	PROPN
josé	יוסף	josé	יוסף	N;MASC;SG	PROPN
josé	חוסה	josé	חוסה	N;MASC;SG	PROPN
futebol	פוטבול	futebol	None	N;MASC;SG	PROPN
espécie	מין	espécie	מין	N;FEM;SG	
espécie	מינים	espécie	מין	N;FEM;SG	N;MASC;PL
espécie	זן	espécie	זן	N;FEM;SG	
portugal	פורטוגל	portugal	פורטוגל	N;MASC;SG	PROPN
clube	קלאב	clube	קלאב	N;MASC;SG	PROPN
clube	המועדון	clube	המועדון	N;MASC;SG	PROPN
clube	clube	clube	clube	N;MASC;SG	PROPN
unidos	יונייטד	unido	יונייטד	N;MASC;PL	PROPN
unidos	מאוחדים	unido	אוחד	N;MASC;PL	V;MASC;PL;V.PTCP;PASS
novo	נובו	novo	נובה	ADJ;MASC;SG	
novo	חדשים	novo	חדש	ADJ;MASC;SG	ADJ;MASC;PL
tendo	קיום	ter	קיום	V;V.MSDR	N;MASC;SG
segunda	שניה	segundo	שניה	ADJ;FEM;SG	NUM;FEM;SG
segunda	שנייה	segundo	שנייה	ADJ;FEM;SG	NUM;FEM;SG
segunda	שני	segundo	שני	ADJ;FEM;SG	NUM;MASC;PL
segunda	שנית	segundo	שנית	ADJ;FEM;SG	
segunda	שני	segundo	שני	ADJ;FEM;SG	NUM;MASC;PL
presidente	נשיאה	presidente	נשיאה	N;MASC;SG	PROPN
presidente	הנשיא	presidente	הנשיא	N;MASC;SG	PROPN
caso	קייס	caso	קייס	N;MASC;SG	PROPN
jogo	המשחק	jogo	המשחק	N;MASC;SG	PROPN
sistema	המערכת	sistema	המערך	N;MASC;SG	
americano	אמריקנו	americano	אמריקנו	N;MASC;SG	PROPN
americano	אמריקאים	americano	אמריקני	N;MASC;SG	N;MASC;PL
americano	אמריקני	americano	אמריקני	N;MASC;SG	PROPN
americano	אמריקאית	americano	אמריקני	N;MASC;SG	ADV
americano	אמריקאי	americano	אמריקני	N;MASC;SG	ADJ;MASC;SG
século	המאה	século	המאה	N;MASC;SG	
casa	הבית	casa	הבית	N;FEM;SG	ADV
casa	האוס	casa	האוס	N;FEM;SG	PROPN
casa	הביתה	casa	הביתה	N;FEM;SG	ADV
casa	הום	casa	הום	N;FEM;SG	
casa	בבית	casa	בבית	N;FEM;SG	
casa	הבית	casa	הבית	N;FEM;SG	ADV
casa	home	casa	home	N;FEM;SG	
enquanto	בזמן	enquanto	בזמן	ADV	PROPN
lugar	המקום	lugar	המקום	N;MASC;SG	
oficial	רישמי	oficial	רישמי	ADJ;MASC;SG	PROPN
oficial	קצינה	oficial	קצין	ADJ;MASC;SG	N;FEM;SG
oficial	שוטר	oficial	שוטר	ADJ;MASC;SG	N;MASC;SG
oficial	קצין	oficial	קצין	ADJ;MASC;SG	N;MASC;SG
oficial	שוטרת	oficial	שוטרה	ADJ;MASC;SG	N;FEM;SG
vezes	הטיימס	vez	הטיימס	N;MASC;PL	PROPN
vezes	טיימס	vez	טיימס	N;MASC;PL	PROPN
filho	בני	filho	בני	N;MASC;SG	PROPN
filho	בן	filho	בן	N;MASC;SG	PROPN
governo	הממשלה	governo	הממשלה	N;MASC;SG	PROPN
local	מקומיים	local	מקומי	N;MASC;SG	ADJ;MASC;PL
local	מקומי	local	מקומי	N;MASC;SG	PROPN
local	מקומית	local	מקומית	N;MASC;SG	ADV
local	המקום	local	המקום	N;MASC;SG	
trabalho	איוב	trabalho	איוב	N;MASC;SG	
outro	אחרים	outro	אחר	PRO;MASC;SG	ADJ;MASC;PL
outro	אחר	outro	אחר	PRO;MASC;SG	ADP
fez	פז	fazer	פז	V;IND;SG;3;PST;FIN	PROPN
número	המספר	número	המספר	N;MASC;SG	PROPN
através	דרך	através	דרך	ADV	
estava	היה	estar	היה	V;IND;SG;3;IPFV;FIN	V;MASC;SG;3;POS;PST
estava	הייתה	estar	היה	V;IND;SG;3;IPFV;FIN	V;FEM;SG;3;POS;PST
estava	היתה	estar	היה	V;IND;SG;3;IPFV;FIN	V;FEM;SG;3;POS;PST
maria	מרי	maria	מרי	N;FEM;SG	PROPN
maria	מארי	maria	מארי	N;FEM;SG	PROPN
maria	מרי	maria	מרי	N;FEM;SG	PROPN
maria	מארי	maria	מארי	N;FEM;SG	PROPN
maria	מריה	maria	מריה	N;FEM;SG	PROPN
vários	שונים	vários	שונה	PRO;MASC;PL	ADJ;MASC;PL
vários	שונות	vários	שונה	PRO;MASC;PL	ADJ;FEM;PL
terra	הארץ	terra	הארץ	N;FEM;SG	
terra	טרה	terra	טרה	N;FEM;SG	PROPN
gênero	סוגה	gênero	סוג	N;MASC;SG	ADV
gênero	מין	gênero	מין	N;MASC;SG	
igreja	כנסיה	igreja	כנסיה	N;FEM;SG	PROPN
universidade	המכללה	universidade	המכללה	N;FEM;SG	
podem	יכולה	poder	יכול	V;IND;PL;3;PRS;FIN	V;FEM;SG;V.PTCP
podem	יכול	poder	None	V;IND;PL;3;PRS;FIN	V;MASC;SG;V.PTCP
centro	סנטרו	centro	סנטרו	N;MASC;SG	PROPN
centro	המרכז	centro	המרכז	N;MASC;SG	PROPN
centro	סנטר	centro	סנטר	N;MASC;SG	PROPN
centro	המרכז	centro	המרכז	N;MASC;SG	PROPN
início	התחל	início	התחל	N;MASC;SG	PROPN
início	ההתחלה	início	ההתחלה	N;MASC;SG	V;FEM;SG;3;PST
tipo	אדיב	tipo	אדיב	N;MASC;SG	PROPN
santa	קדוש	santo	קדוש	N;FEM;SG	
santa	הקדוש	santo	הקדוש	N;FEM;SG	PROPN
santa	קדושה	santo	קדוש	N;FEM;SG	PROPN
santa	סנטה	santo	סנט	N;FEM;SG	PROPN
conhecido	ידוע	conhecido	ידוע	ADJ;MASC;SG	N;MASC;SG
conhecido	הידוע	conhecido	הידוע	ADJ;MASC;SG	
conhecido	ידועה	conhecido	ידע	ADJ;MASC;SG	V;FEM;SG;V.PTCP;ACT
conhecido	ידועים	conhecido	ידוע	ADJ;MASC;SG	N;MASC;PL
conhecido	מכר	conhecido	מכר	ADJ;MASC;SG	N;MASC;SG
conhecido	היכרות	conhecido	היכרות	ADJ;MASC;SG	N;FEM;SG
esse	זה	esse	זה	DET;MASC;SG	PRO;MASC;SG;3
canção	השיר	canção	השיר	N;FEM;SG	ADV
edição	המהדורה	edição	המהדורה	N;FEM;SG	PROPN
cerca	גדר	cerca	גדר	ADV	N;FEM;SG
cerca	הגדר	cerca	הגדר	ADV	
todas	כולם	todo	None	DET;FEM;PL	N;MASC;PL
todas	הכל	todo	הכיל	DET;FEM;PL	N
português	פורטוגזית	português	פורטוגזי	N;MASC;SG	PROPN
português	בפורטוגזית	português	בפורטוגזית	N;MASC;SG	PROPN
lançado	שוחררו	lançar	שוחרר	V;MASC;SG;V.PTCP	V;PL;3;PST;PASS
rei	המלך	rei	המלך	N;MASC;SG	
rei	קינג	rei	קינג	N;MASC;SG	PROPN
algumas	כמה	algum	כמה	PRO;FEM;PL	DET;PSSD
algumas	חלקם	algum	חלקם	PRO;FEM;PL	
quem	מי	quem	מי	PRO;SG	ADV
água	מיים	água	מיים	N;FEM;SG	PROPN
água	מים	água	מים	N;FEM;SG	N;MASC;PL
quatro	four	quatro	four	NUM	
época	העונה	época	העונה	N;FEM;SG	ADV
exemplo	דוגמא	exemplo	דוגמה	N;MASC;SG	
exemplo	לדוגמה	exemplo	לדוגמה	N;MASC;SG	PROPN
morte	המוות	morte	המווה	N;FEM;SG	
morte	מות	morte	מוות	N;FEM;SG	
devido	עקב	devido	None	ADV	CONJ
devido	בשל	devido	בשל	ADV	ADP
eram	היו	ser	היה	V;IND;PL;3;IPFV;FIN	V;PL;3;POS;PST
brasileira	ברזילאית	brasileira	ברזילאית	N;FEM;SG	PROPN
brasileira	ברזילאי	brasileira	ברזילאי	N;FEM;SG	PROPN
temporada	העונה	temporada	העונה	N;FEM;SG	ADV
seguinte	הבא	seguinte	הבא	ADJ;MASC;SG	PROPN
muitos	הרבה	muito	הרבה	PRO;MASC;PL	ADV
muitos	רבות	muito	רב	PRO;MASC;PL	N;FEM;PL
muitos	רבים	muito	רב	PRO;MASC;PL	V;MASC;PL;V.PTCP;ACT
wikipédia	ויקיפדיה	wikipédia	ויקיפדיה	N;FEM;SG	PROPN
time	הזמן	time	הזמן	N;MASC;SG	
time	טיים	time	טיים	N;MASC;SG	PROPN
faz	גורם	fazer	גורם	V;IND;SG;3;PRS;FIN	N;MASC;SG
faz	הופך	fazer	הפך	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
geral	כללי	geral	כלל	N;MASC;SG	N;MASC;PL
meio	אמצע	meio	אמצע	ADV	N;MASC;SG
meio	ביניים	meio	ביניים	ADV	
meio	התיכון	meio	התיכון	ADV	PROPN
meio	האמצע	meio	האמצע	ADV	
meio	בינוני	meio	בינוני	ADV	ADJ;MASC;SG
meio	מדיום	meio	מדיום	ADV	N;MASC;SG
meio	מדיה	meio	מדיה	ADV	N;MASC;SG
meio	בינונית	meio	בינוני	ADV	ADJ;FEM;SG
meio	מחצית	meio	None	ADV	DET;PSSD
meio	חצי	meio	חץ	ADV	N;PSSD;MASC;PL
style	הסגנון	style	הסגנון	N;MASC;SG	PROPN
style	סטייל	style	סטייל	N;MASC;SG	PROPN
versão	גרסא	versão	גרסא	N;FEM;SG	PROPN
fim	סוף	fim	None	N;MASC;SG	ADV
fim	סופו	fim	סופה	N;MASC;SG	
fim	קץ	fim	קץ	N;MASC;SG	
carlos	קרל	carlo	קרל	N;MASC;SG	PROPN
carlos	קארל	carlo	קארל	N;MASC;SG	PROPN
carlos	קרלוס	carlo	קרלוס	N;MASC;SG	
menos	מינוס	menos	מינוס	ADV	
porto	פורטו	porto	פורט	N;MASC;SG	PROPN
porto	נמל	porto	נמל	N;MASC;SG	PROPN
porto	פורט	porto	פורט	N;MASC;SG	PROPN
fontes	מזרקה	fonte	מזרקה	N;FEM;PL	N;FEM;SG
deve	אמור	dever	אמור	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG
deve	צריך	dever	צריך	V;IND;SG;3;PRS;FIN	V;MASC;SG
deve	אמורה	dever	אמור	V;IND;SG;3;PRS;FIN	ADJ;FEM;SG
deve	חייב	dever	חייב	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG
site	האתר	site	האתר	N;MASC;SG	
lado	סייד	lado	סייד	N;MASC;SG	PROPN
lado	לצד	lado	לצד	N;MASC;SG	ADP
lado	הצד	lado	הצד	N;MASC;SG	
escola	לימודים	escola	לימודים	N;FEM;SG	N;MASC;PL
várias	שונים	várias	שונה	PRO;FEM;PL	ADJ;MASC;PL
outra	אחרים	outro	אחר	PRO;FEM;SG	ADJ;MASC;PL
outra	אחר	outro	אחר	PRO;FEM;SG	ADP
dados	מידע	dado	מידע	N;MASC;PL	N;MASC;SG
dados	דאטה	dado	דאטה	N;MASC;PL	PROPN
apesar	למרות	apesar	למרות	ADV	ADP
apesar	חרף	apesar	None	ADV	
copa	ספל	copa	ספל	N;FEM;SG	PROPN
copa	כוס	copa	כוס	N;FEM;SG	
internacional	international	internacional	קגקגק	ADJ;MASC;SG	PROPN
internacional	בינלאומית	internacional	בינלאומית	ADJ;MASC;SG	PROPN
internacional	בינלאומי	internacional	בינלאומי	ADJ;MASC;SG	PROPN
internacional	הבינלאומי	internacional	הבינלאומי	ADJ;MASC;SG	PROPN
província	נפה	província	נפה	N;FEM;SG	PROPN
embora	למרות	embora	למרות	CONJ	ADP
embora	למרות	embora	למרות	CONJ	ADP
inglês	אנגלית	inglês	אנגלית	N;MASC;SG	PROPN
pouco	קטן	pouco	קטן	ADV	ADJ;MASC;SG
pouco	קטנה	pouco	קטן	ADV	ADJ;FEM;SG
pouco	ליטל	pouco	ניטל	ADV	PROPN
asteroide	אסטרואיד	asteroider	אסטרואיד	N;MASC;SG	PROPN
porque	בגלל	porque	בגלל	CONJ	ADP
porque	למה	porque	למה	CONJ	ADV
porque	מדוע	porque	מדוע	CONJ	ADV
projeto	פרוייקט	projeto	פרוייקט	N;MASC;SG	PROPN
você	את	você	את	PRO;NOM;SG;3	PART;ACC
você	אתה	você	הוא	PRO;NOM;SG;3	PRO;MASC;SG;2
você	אותך	você	אתך	PRO;NOM;SG;3	
atual	זרם	atual	זרם	ADJ;MASC;SG	N;MASC;SG
atual	הנוכחית	atual	הנוכחית	ADJ;MASC;SG	N
atual	נוכחית	atual	נוכחי	ADJ;MASC;SG	ADV
atual	נוכחי	atual	נוכחי	ADJ;MASC;SG	
pai	אבא	pai	אבא	N;MASC;SG	
pai	אבא	pai	אבא	N;MASC;SG	
pai	אבא	pai	אבא	N;MASC;SG	
pai	אבי	pai	אבי	N;MASC;SG	PROPN
localizada	אותרה	localizar	אותר	V;FEM;SG;V.PTCP	PROPN
estádio	האצטדיון	estádio	האצטדיון	N;MASC;SG	PROPN
partido	מסיבה	partido	מסיבה	N;MASC;SG	
partido	המפלגה	partido	המפלג	N;MASC;SG	PROPN
começou	התחלת	começar	התחלה	V;IND;SG;3;PST;FIN	N;FEM;SG
começou	התחלנו	começar	התחלן	V;IND;SG;3;PST;FIN	V;PL;1;PST
começou	התחלתי	começar	התחיל	V;IND;SG;3;PST;FIN	V;SG;1;PST;ACT
começou	החל	começar	None	V;IND;SG;3;PST;FIN	ADP
passou	בילו	passar	בילו	V;IND;SG;3;PST;FIN	V;PL;3;PST;ACT
passou	חלף	passar	חלף	V;IND;SG;3;PST;FIN	PROPN
passou	עבר	passar	עבר	V;IND;SG;3;PST;FIN	N;MASC;SG
ilha	אי	ilha	אי	N;FEM;SG	ADV
ilha	האי	ilha	האי	N;FEM;SG	
carreira	קריירות	carreira	קריירות	N;FEM;SG	N;FEM;PL
campo	קאמפ	campo	קאמפ	N;MASC;SG	PROPN
campo	קאמפו	campo	קאמפו	N;MASC;SG	PROPN
placar	ציון	placar	ציון	N;MASC;SG	PROPN
uso	להשתמש	uso	השתמש	N;MASC;SG	V;NFIN
uso	השתמש	uso	השתמש	N;MASC;SG	V;MASC;SG;3;PST
poder	כח	poder	כוח	N;MASC;SG	
poder	power	poder	power	N;MASC;SG	
reino	הממלכה	reino	הממלך	N;MASC;SG	PROPN
muitas	הרבה	muito	הרבה	PRO;FEM;PL	ADV
muitas	רבות	muito	רב	PRO;FEM;PL	N;FEM;PL
muitas	רבים	muito	רב	PRO;FEM;PL	V;MASC;PL;V.PTCP;ACT
grandes	גדולים	grande	גדול	N;MASC;PL	ADJ;MASC;PL
grandes	גדול	grande	גדול	N;MASC;PL	ADJ;MASC;SG
grandes	גדולה	grande	גדול	N;MASC;PL	ADJ;FEM;SG
grandes	ביג	grande	ביג	N;MASC;PL	
grandes	גדולים	grande	גדול	N;MASC;PL	ADJ;MASC;PL
grandes	גדול	grande	גדול	N;MASC;PL	ADJ;MASC;SG
grandes	גדולה	grande	גדול	N;MASC;PL	ADJ;FEM;SG
conta	החשבון	conta	החשבון	N;FEM;SG	PROPN
tarde	מאחרת	tarde	מאחרת	ADV	
tarde	איחור	tarde	איחור	ADV	N;MASC;SG
tarde	באיחור	tarde	באיחור	ADV	PROPN
tarde	צהריים	tarde	צהריים	ADV	N;MASC;PL
volta	וולטה	volta	וולטה	N;FEM;SG	PROPN
volta	אחורה	volta	אחורה	N;FEM;SG	ADV
volta	בחזרה	volta	בחזרה	N;FEM;SG	
volta	חזרה	volta	None	N;FEM;SG	ADV
volta	לאחור	volta	לאחור	N;FEM;SG	ADV
vila	טאון	vila	טאון	N;FEM;SG	PROPN
vila	העיר	vila	העיר	N;FEM;SG	V;MASC;SG;3;PST;ACT
vila	הכפר	vila	הכפר	N;FEM;SG	
frança	צרפת	frança	צרפת	N;FEM;SG	PROPN
direito	ימני	direito	ימני	N;MASC;SG	ADJ;MASC;SG
direito	צודק	direito	צדק	N;MASC;SG	V;MASC;SG;V.PTCP;ACT
