tennessee	tennessee	tennessee	tennesse	PROPN	PROPN;NOM;MASC;SG
declaratie	izjavo	declaratie	izjava	N;INDF;FEM;SG	N;ACC;FEM;SG
declaratie	navedba	declaratie	navedba	N;INDF;FEM;SG	N;NOM;FEM;SG
declaratie	izjava	declaratie	izjava	N;INDF;FEM;SG	N;NOM;FEM;SG
declaratie	deklaracija	declaratie	deklaracija	N;INDF;FEM;SG	N;NOM;FEM;SG
declaratie	izjava	declaratie	izjava	N;INDF;FEM;SG	N;NOM;FEM;SG
discursul	govor	discurs	govor	N;DEF;MASC;SG	N;NOM;MASC;SG
alabama	alabama	alabama	alaba	N;INDF;MASC;SG	N;NOM;FEM;SG
folosire	uporaba	folosire	uporaba	N;INDF;FEM;SG	N;NOM;FEM;SG
indiei	indija	indie	indija	PROPN;DEF;FEM;SG	N;NOM;FEM;SG
indiei	indijo	indie	indeti	PROPN;DEF;FEM;SG	N;ACC;FEM;SG
keith	keith	keith	keith	PROPN	PROPN;NOM;MASC;SG
asigurata	zavarovano	asigurat	zavarovan	ADJ;DEF;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
asigurata	zavarovani	asigurat	zavarovan	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;PL;V.PTCP
asigurata	zavarovan	asigurat	zavarovan	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
asigurata	zavarovana	asigurat	zavarovan	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
corrèze	corrèze	corra	corraz	N;INDF;FEM;SG	PROPN;NOM;MASC;SG
emise	izdana	emite	izdan	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;V.PTCP
emise	izdani	emite	izdan	V;IND;SG;3;PST;FIN	ADJ;NOM;MASC;PL;V.PTCP
emise	izdano	emite	izdano	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;V.PTCP
emise	izdane	emite	izdan	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;PL;V.PTCP
louisiana	louisiani	louisiană	louisian	N;DEF;FEM;SG	N;NOM;MASC;SG
organ	orgle	organ	orgeti	N;INDF;MASC;SG	N;ACC;MASC;PL
hotelul	hotel	hotel	hoteti	N;DEF;MASC;SG	V;IPFV;MASC;SG;V.PTCP
finistère	finistère	finistère	finistrer	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
tranzitie	prehodno	tranzitie	prehodno	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
tranzitie	prehod	tranzitie	prehod	N;INDF;FEM;SG	N;NOM;MASC;SG
distante	razdalje	distant	razdalja	N;INDF;FEM;PL	N;NOM;FEM;SG
distante	razdalje	distant	razdalja	N;INDF;FEM;PL	N;NOM;FEM;SG
cald	topli	cald	topel	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;PL
cald	toplo	cald	toplo	ADJ;INDF;MASC;SG	ADV
adanc	globoka	adanc	globok		ADJ;NOM;FEM;SG
adanc	globoko	adanc	globoko		ADV
adanc	globok	adanc	globok		ADJ;NOM;INDF;MASC;SG
adanc	globoka	adanc	globok		ADJ;NOM;FEM;SG
adanc	globoko	adanc	globoko		ADV
adanc	globok	adanc	globok		ADJ;NOM;INDF;MASC;SG
salvare	rešitev	salvare	rešitev	N;INDF;FEM;SG	N;NOM;FEM;SG
salvare	odrešitev	salvare	odrešitev	N;INDF;FEM;SG	N;NOM;FEM;SG
salvare	reševalna	salvare	reševalen	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
salvare	reševanje	salvare	reševanje	N;INDF;FEM;SG	N;NOM;NEUT;SG
vacanta	dopust	vacanta	dopust	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	praznik	vacanta	praznik	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	počitnice	vacanta	počitnice	N;DEF;FEM;SG	N;NOM;FEM;PL
vacanta	dopust	vacanta	dopust	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	počitnice	vacanta	počitnice	N;DEF;FEM;SG	N;NOM;FEM;PL
vacanta	oddih	vacanta	oddih	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	dopust	vacanta	dopust	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	počitnice	vacanta	počitnice	N;DEF;FEM;SG	N;NOM;FEM;PL
vacanta	oddih	vacanta	oddih	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	dopust	vacanta	dopust	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	praznik	vacanta	praznik	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	počitnice	vacanta	počitnice	N;DEF;FEM;SG	N;NOM;FEM;PL
vacanta	dopust	vacanta	dopust	N;DEF;FEM;SG	N;NOM;MASC;SG
vacanta	počitnice	vacanta	počitnice	N;DEF;FEM;SG	N;NOM;FEM;PL
vacanta	oddih	vacanta	oddih	N;DEF;FEM;SG	N;NOM;MASC;SG
malta	malto	malta	malto	PROPN	N;ACC;FEM;SG
malta	malta	malta	malta	PROPN	PROPN;NOM;FEM;SG
fotbalul	football	fotbal	football	N;DEF;MASC;SG	N;NOM;MASC;SG
fotbalul	nogomet	fotbal	nogomet	N;DEF;MASC;SG	N;NOM;MASC;SG
fotbalul	fuzbal	fotbal	fuzbal	N;DEF;MASC;SG	N;NOM;MASC;SG
radical	radikalne	radical	radikalen	ADV	ADJ;NOM;FEM;PL
renault	renault	renault	renaulta	PROPN	N;NOM;MASC;SG
sierra	sierra	sierră	sierra	PROPN	N;NOM;FEM;SG
specializate	specializiran	specializat	specializiran	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
specializate	specializirana	specializat	specializiran	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;V.PTCP
specializate	specializirano	specializat	specializirano	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;V.PTCP
specializate	specializiran	specializat	specializiran	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
buenos	buenos	buenos	buenos	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
dificultati	težavah	dificultati	težava		N;ESS;FEM;PL
dificultati	oteženo	dificultati	otežen		ADJ;NOM;NEUT;SG;V.PTCP
dificultati	težave	dificultati	težava		N;NOM;FEM;PL
dificultati	težave	dificultati	težava		N;NOM;FEM;PL
raurile	rek	raură	reka	N;DEF;FEM;PL	N;NOM;MASC;SG
raurile	reke	raură	reka	N;DEF;FEM;PL	N;NOM;FEM;PL
tribuna	tribune	tribună	tribuna	N;DEF;FEM;SG	N;NOM;FEM;PL
lapte	mlečni	lapte	mlečen	N;INDF;MASC;SG	ADJ;NOM;MASC;PL
grove	grove	grov	grov	PROPN	
viteze	hitrosti	viteză	hitrost	N;INDF;FEM;PL	N;GEN;FEM;SG
studios	studios	studios	studios	N;INDF;MASC;SG	
vieti	živi	vieti	živeti		V;IPFV;IND;SG;3;PRS;FIN
vieti	življenja	vieti	življenje		N;GEN;NEUT;SG
vieti	živi	vieti	živeti		V;IPFV;IND;SG;3;PRS;FIN
vieti	življenja	vieti	življenje		N;GEN;NEUT;SG
boemia	bohemia	boemie	bohemia	N;DEF;FEM;SG	N;NOM;MASC;SG
oferind	daritev	oferi	daritev	V;V.MSDR	N;NOM;FEM;SG
letonia	latvije	letonie	latvija	PROPN	N;NOM;FEM;PL
letonia	latvijo	letonie	latev	PROPN	N;ACC;FEM;SG
letonia	latvija	letonie	latvija	PROPN	N;NOM;FEM;SG
islanda	islandija	islanda	islandija	PROPN	N;NOM;FEM;SG
islanda	islandijo	islanda	islandija	PROPN	N;ACC;FEM;SG
islanda	islandije	islanda	islandija	PROPN	N;GEN;FEM;SG
hanovra	hanover	hanovră	hanover	PROPN	N;NOM;MASC;SG
hanovra	hannover	hanovră	hannover	PROPN	PROPN;NOM;MASC;SG
edinburgh	edinburghu	edinburgh	edinburgh	N;INDF;MASC;SG	PROPN;DAT;MASC;SG
silva	silva	silvă	silva	PROPN	N;NOM;MASC;SG
democratic	demokratično	democratic	demokratično	ADJ;INDF;MASC;SG	ADV
democratic	demokratične	democratic	demokratičen	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
democratic	demokratično	democratic	demokratično	ADJ;INDF;MASC;SG	ADV
strategice	strateško	strategic	strateški	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
strategice	strateški	strategic	strateški	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
strategice	strateška	strategic	strateški	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
numeric	številčna	numeric	številčen	ADV	ADJ;NOM;FEM;SG
lloyd	lloyd	lloyd	lloyd	PROPN	N;NOM;MASC;SG
oldenburg	oldenburg	oldenburg	oldenburg	PROPN	PROPN;NOM;MASC;SG
lunile	meseci	lună	mesec	N;DEF;FEM;PL	N;NOM;MASC;PL
lunile	meseca	lună	mesec	N;DEF;FEM;PL	N;ACC;MASC;SG
lunile	mesece	lună	mesec	N;DEF;FEM;PL	N;ACC;MASC;PL
lunile	mesecev	lună	mesec	N;DEF;FEM;PL	N;GEN;MASC;PL
bordeaux	bordeaux	bordeaux	bordeaux	PROPN	PROPN;NOM;MASC;SG
jay	jay	jay	jay	PROPN	PROPN;NOM;MASC;SG
teste	preizkusi	test	preizkus	N;INDF;FEM;PL	V;PFV;IND;SG;3;PRS;FIN
aventuri	pustolovščina	avent	pustolovščina	N;INDF;FEM;PL	N;NOM;FEM;SG
aventuri	pustolovščino	avent	pustolovščina	N;INDF;FEM;PL	N;ACC;FEM;SG
aventuri	avantura	avent	avantura	N;INDF;FEM;PL	N;NOM;FEM;SG
autoritati	oblasti	autoritati	oblast		N;NOM;FEM;PL
estimare	ocena	estimare	ocena	N;INDF;FEM;SG	N;NOM;FEM;SG
estimare	ocena	estimare	ocena	N;INDF;FEM;SG	N;NOM;FEM;SG
comparativ	primerjalno	comparativ	primerjalno	ADV	ADJ;NOM;NEUT;SG
comparativ	primerjalne	comparativ	primerjalen	ADV	ADJ;NOM;FEM;PL
comparativ	primerjalna	comparativ	primerjalen	ADV	ADJ;NOM;FEM;SG
islamice	islamski	islamic	islamski	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
salt	skoči	salt	skočiti	N;INDF;MASC;SG	
tensiune	napetost	tensiune	napetost	N;INDF;FEM;SG	N;NOM;FEM;SG
tensiune	napetosti	tensiune	napetost	N;INDF;FEM;SG	N;GEN;FEM;SG
tensiune	napetost	tensiune	napetost	N;INDF;FEM;SG	N;NOM;FEM;SG
tensiune	napetosti	tensiune	napetost	N;INDF;FEM;SG	N;GEN;FEM;SG
traiasca	živi	traiască	živeti	N;DEF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
traiasca	živeti	traiască	živeti	N;DEF;FEM;SG	V;IPFV;NFIN
traiasca	živel	traiască	živeti	N;DEF;FEM;SG	V;IPFV;MASC;SG;V.PTCP
traiasca	live	traiască	liva	N;DEF;FEM;SG	N;NOM;FEM;SG
traiasca	živeli	traiască	živeti	N;DEF;FEM;SG	V;IPFV;MASC;PL;V.PTCP
traiasca	živela	traiască	živeti	N;DEF;FEM;SG	V;IPFV;FEM;SG;V.PTCP
exprimate	mavec	exprima	mavec	ADJ;INDF;FEM;PL	N;NOM;MASC;SG
exprimate	zasedbo	exprima	zasedba	ADJ;INDF;FEM;PL	N;ACC;FEM;SG
exprimate	cast	exprima	cast	ADJ;INDF;FEM;PL	N;NOM;MASC;SG
exprimate	zasedba	exprima	zasedba	ADJ;INDF;FEM;PL	N;NOM;FEM;SG
exprimate	izražena	exprima	izražen	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;V.PTCP
exprimate	izraženo	exprima	izražen	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;V.PTCP
exprimate	izražen	exprima	izražen	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
romeo	romeo	romeo	romeo	PROPN	N;NOM;MASC;SG
arunca	met	arunca	met	V;IND;SG;3;IPFV;FIN	
arunca	vrzi	arunca	vrz	V;IND;SG;3;IPFV;FIN	V;PFV;IND;SG;3;PRS;FIN
arunca	met	arunca	met	V;IND;SG;3;IPFV;FIN	
arunca	vrzi	arunca	vrz	V;IND;SG;3;IPFV;FIN	V;PFV;IND;SG;3;PRS;FIN
conservare	ohranjanje	conservare	ohranjanje	N;INDF;FEM;SG	N;NOM;NEUT;SG
conservare	ohranitev	conservare	ohranitev	N;INDF;FEM;SG	N;NOM;FEM;SG
conservare	konzerviranje	conservare	konzerviranje	N;INDF;FEM;SG	N;NOM;NEUT;SG
conservare	ohranjanje	conservare	ohranjanje	N;INDF;FEM;SG	N;NOM;NEUT;SG
conservare	ohranitev	conservare	ohranitev	N;INDF;FEM;SG	N;NOM;FEM;SG
matilda	matilda	matilda	matilda	N;DEF;FEM;SG	N;NOM;FEM;SG
recenta	nedavne	recent	nedaven	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
recenta	nedavno	recent	nedavno	ADJ;DEF;FEM;SG	ADV
recenta	nedavna	recent	nedaven	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
recenta	nedavne	recent	nedaven	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
recenta	nedavno	recent	nedavno	ADJ;DEF;FEM;SG	ADV
recenta	nedavna	recent	nedaven	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
accentul	naglas	accent	naglas	N;DEF;MASC;SG	N;NOM;MASC;SG
trenul	vlak	tren	vlak	N;DEF;MASC;SG	N;NOM;MASC;SG
bate	ritem	bate	ritem	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
bate	netopirji	bate	netopir	V;IND;SG;3;PRS;FIN	N;NOM;MASC;PL
propuse	predlagano	propus	predlagan	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;V.PTCP
propuse	predlagan	propus	predlagan	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
propuse	predlagana	propus	predlagan	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;V.PTCP
tanc	tanka	tanc	tanek	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
veliko	veliko	veliko	veliko	PROPN	DET
zguduit	stresel	zguduit	stresti	ADJ;INDF;MASC;SG	V;PFV;MASC;SG;V.PTCP
nguyen	nguyen	nguyen	nguyen	PROPN	N;NOM;MASC;SG
afecteaza	vpliva	afecta	vplivati	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PRS;FIN
afecteaza	vpliva	afecta	vplivati	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PRS;FIN
fiice	hčera	fi	hčera	N;INDF;FEM;PL	N;NOM;FEM;SG
fiice	hčerki	fi	hčerka	N;INDF;FEM;PL	N;NOM;FEM;DU
nigeria	nigeriji	nigerie	nigerija	PROPN	N;DAT;FEM;SG
gust	okusi	gust	okusiti	N;INDF;MASC;SG	N;NOM;MASC;PL
minnesota	minnesoti	minnesotă	minnesoti	N;DEF;FEM;SG	N;NOM;FEM;SG
allah	alah	allah	alah		N;NOM;MASC;SG
joan	joan	joan	joan	PROPN	PROPN;NOM;MASC;SG
vila	vila	vilă	vilo	N;DEF;FEM;SG	N;NOM;FEM;SG
vila	vili	vilă	vila	N;DEF;FEM;SG	N;NOM;FEM;SG
vila	vilo	vilă	vila	N;DEF;FEM;SG	N;ACC;FEM;SG
vila	villa	vilă	vileti	N;DEF;FEM;SG	N;NOM;FEM;SG
vila	vila	vilă	vilo	N;DEF;FEM;SG	N;NOM;FEM;SG
vila	vili	vilă	vila	N;DEF;FEM;SG	N;NOM;FEM;SG
vila	vilo	vilă	vila	N;DEF;FEM;SG	N;ACC;FEM;SG
vila	villa	vilă	vileti	N;DEF;FEM;SG	N;NOM;FEM;SG
vila	vila	vilă	vilo	N;DEF;FEM;SG	N;NOM;FEM;SG
bor	bor	bor	bor		
györgy	györgy	györgy	györgy	PROPN	N;NOM;MASC;SG
privit	gledali	privi	gledati	ADJ;INDF;MASC;SG	V;IPFV;MASC;PL;V.PTCP
privit	gledal	privi	gledati	ADJ;INDF;MASC;SG	V;IPFV;MASC;SG;V.PTCP
privit	opazoval	privi	opazovati	ADJ;INDF;MASC;SG	V;IPFV;MASC;SG;V.PTCP
privit	gledala	privi	gledati	ADJ;INDF;MASC;SG	V;IPFV;FEM;SG;V.PTCP
dennis	dennis	dennis	dennis	PROPN	PROPN;NOM;MASC;SG
dennis	denis	dennis	denis	PROPN	PROPN;NOM;MASC;SG
geografia	zemljepis	geografie	zemljepis	N;DEF;FEM;SG	N;NOM;MASC;SG
miami	miami	miam	miama	PROPN	N;NOM;MASC;SG
lang	lang	lang	lang	PROPN	
bugetul	proračun	buget	proračun	N;DEF;MASC;SG	N;NOM;MASC;SG
matthew	matthew	matthew	matthew	PROPN	PROPN;NOM;MASC;SG
matthew	matej	matthew	matej	PROPN	N;NOM;MASC;SG
intervalul	razpon	interval	razpon	N;DEF;MASC;SG	N;NOM;MASC;SG
intervalul	oddaljenost	interval	oddaljenost	N;DEF;MASC;SG	N;NOM;FEM;SG
intervalul	interval	interval	interval	N;DEF;MASC;SG	N;NOM;MASC;SG
wisconsin	wisconsinu	wisconsin	wisconsin	PROPN	N;DAT;MASC;SG
strazile	ulice	stradilă	ulica	N;DEF;FEM;PL	N;NOM;FEM;PL
strazile	ceste	stradilă	cesta	N;DEF;FEM;PL	N;NOM;FEM;PL
sunete	zveni	sunet	zveneti	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN
cablu	kabli	cablu	kabel	N;INDF;MASC;SG	N;NOM;MASC;PL
cablu	kabelski	cablu	kabelski	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
barajul	jez	baraj	jez	N;DEF;MASC;SG	N;NOM;MASC;SG
autonom	avtonomne	autonom	avtonomen	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
autonom	samostojno	autonom	samostojen	ADJ;INDF;MASC;SG	ADV
lucas	lucas	lucas	lucas	PROPN	N;NOM;MASC;SG
justin	justin	justin	justin		N;NOM;MASC;SG
laurent	laurent	laurent	laurent	PROPN	ADJ;NOM;INDF;MASC;SG
lingvistice	jezikovno	lingvistic	jezikoven	N;INDF;FEM;PL	ADJ;NOM;NEUT;SG
northern	severna	northern	severen	PROPN	ADJ;NOM;FEM;SG
northern	severno	northern	severen	PROPN	ADV
northern	severni	northern	severen	PROPN	ADJ;NOM;DEF;MASC;SG
northern	severne	northern	severen	PROPN	ADJ;NOM;FEM;PL
zaharia	zaharija	zaharia	zaharija	N;DEF;FEM;SG	N;NOM;MASC;SG
astea	teh	acesta	ta	PRO;FEM;PL;3	DET;GEN;MASC;PL
astea	te	acesta	ta	PRO;FEM;PL;3	DET;NOM;FEM;PL
astea	tele	acesta	tel	PRO;FEM;PL;3	
procedura	postopek	procedură	postopek	N;DEF;FEM;SG	N;NOM;MASC;SG
procedura	postopek	procedură	postopek	N;DEF;FEM;SG	N;NOM;MASC;SG
caussols	caussols	caussols	caussols		N;NOM;MASC;SG
marx	marx	marx	marx	PROPN	N;NOM;MASC;SG
gandirea	razmišljanje	gandire	razmišljanje	N;DEF;FEM;SG	N;NOM;NEUT;SG
gandirea	razmišljanja	gandire	razmišljanje	N;DEF;FEM;SG	N;GEN;NEUT;SG
esential	bistveno	esential	bistveno	ADJ;INDF;MASC;SG	ADV
esential	bistvene	esential	bistven	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
esential	bistveno	esential	bistveno	ADJ;INDF;MASC;SG	ADV
esential	bistvene	esential	bistven	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
consecutive	zaporedna	consecutiv	zaporeden	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
consecutive	zaporedoma	consecutiv	zaporedoma	ADJ;INDF;FEM;PL	ADV
consecutive	zaporedno	consecutiv	zaporeden	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
consecutive	zaporedni	consecutiv	zaporeden	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
navarra	navarre	navarra	navarra	PROPN	N;NOM;MASC;SG
asimov	asimov	asimov	asimov	PROPN	N;NOM;MASC;SG
carnivore	mesojede	carnivor	mesojed	N;INDF;FEM;PL	ADJ;NOM;FEM;PL
repere	poudarja	repere	poudarjati	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN
singapore	singapur	singapore	singapur	N;INDF;FEM;PL	N;NOM;MASC;SG
acoperire	prevleka	acoperire	prevleka	N;INDF;FEM;SG	N;NOM;FEM;SG
acoperire	prevleke	acoperire	prevleka	N;INDF;FEM;SG	N;NOM;FEM;PL
acoperire	premaz	acoperire	premaz	N;INDF;FEM;SG	N;NOM;MASC;SG
acoperire	kritje	acoperire	kritje	N;INDF;FEM;SG	N;NOM;NEUT;SG
acoperire	zajetje	acoperire	zajetje	N;INDF;FEM;SG	N;NOM;NEUT;SG
acoperire	kritje	acoperire	kritje	N;INDF;FEM;SG	N;NOM;NEUT;SG
acoperire	pokritost	acoperire	pokritost	N;INDF;FEM;SG	N;NOM;FEM;SG
acoperire	pokrivanje	acoperire	pokrivanje	N;INDF;FEM;SG	N;NOM;NEUT;SG
acoperire	pokritje	acoperire	pokritje	N;INDF;FEM;SG	N;NOM;NEUT;SG
fontsize	fontsize	fontsiză	fontsiza		N;NOM;MASC;SG
wells	wells	wells	wells	PROPN	PROPN;NOM;MASC;SG
pasare	ptica	pasar	ptica	N;INDF;FEM;SG	N;NOM;FEM;SG
pasare	ptiček	pasar	ptiček	N;INDF;FEM;SG	N;NOM;MASC;SG
pasare	bird	pasar	bird	N;INDF;FEM;SG	
pasare	ptič	pasar	ptič	N;INDF;FEM;SG	N;NOM;MASC;SG
pasare	ptica	pasar	ptica	N;INDF;FEM;SG	N;NOM;FEM;SG
pasare	ptiček	pasar	ptiček	N;INDF;FEM;SG	N;NOM;MASC;SG
pasare	bird	pasar	bird	N;INDF;FEM;SG	
pasare	ptič	pasar	ptič	N;INDF;FEM;SG	N;NOM;MASC;SG
dedesubt	spodaj	dedesubt	spodaj		ADV
atei	ateisti	atel	ateisti	N;DEF;MASC;PL	N;NOM;MASC;PL
fundul	zadnjica	fund	zadnjica	N;DEF;MASC;SG	N;NOM;FEM;SG
fundul	rit	fund	rita	N;DEF;MASC;SG	N;ACC;FEM;SG
stadiul	faza	stadiu	faza	N;DEF;MASC;SG	N;NOM;FEM;SG
stadiul	oder	stadiu	oder	N;DEF;MASC;SG	N;NOM;MASC;SG
springs	vzmeti	springs	vzmeti	N;INDF;MASC;SG	N;NOM;FEM;PL
detaliate	podrobno	detalia	podrobno	ADJ;INDF;FEM;PL	ADV
estimat	ocenjeni	estima	ocenjen	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
derivate	derivati	derivat	derivati	ADJ;INDF;FEM;PL	N;NOM;MASC;PL
liban	libanon	liban	libanon	PROPN	PROPN;NOM;MASC;SG
béla	béla	bcla	bel	PROPN	N;NOM;MASC;SG
aparand	branil	aparand	braniti		V;IPFV;MASC;SG;V.PTCP
emma	ema	emma	ema	PROPN	PROPN;NOM;FEM;SG
emma	emma	emma	emma	PROPN	PROPN;NOM;FEM;SG
persana	perzijski	persană	perzijski	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
doyle	doyle	doylu	doyel	PROPN	PROPN;NOM;MASC;SG
efectuarea	izdelovanje	efectuare	izdelovanje	N;DEF;FEM;SG	N;NOM;NEUT;SG
efectuarea	nastopati	efectuare	nastopati	N;DEF;FEM;SG	V;IPFV;NFIN
efectuarea	opravljanje	efectuare	opravljanje	N;DEF;FEM;SG	N;NOM;NEUT;SG
organe	organ	organ	organ	N;INDF;FEM;PL	N;NOM;MASC;SG
surori	sestri	soră	sestra	N;INDF;FEM;PL	N;NOM;FEM;DU
goethe	goethe	goethe	goeth	PROPN	N;NOM;MASC;SG
