月	قمر	月	قَمَر	N	
研究	دراسة	研究	دِرَاسَة	V	N;NOM;INDF;SG
研究	ادرس	研究	أَدرَس	V	
研究	الدراسة	研究	دِرَاسَة	V	N;NOM;DEF;SG
研究	الدراسات	研究	دِرَاسَة	V	N;NOM;DEF;PL
研究	دراسات	研究	دِرَاسَة	V	N;NOM;INDF;PL
研究	بحوث	研究	بَحث	V	N;NOM;INDF;PL
研究	الابحاث	研究	بَحث	V	N;NOM;DEF;PL
研究	ابحاث	研究	بَحث	V	N;NOM;INDF;PL
研究	البحوث	研究	بَحث	V	N;NOM;DEF;PL
研究	البحث	研究	بَحث	V	N;NOM;DEF;SG
日本	اليابان	日本	اَليَابَان	PROPN	N;NOM;DEF;SG
日本	واليابان	日本	واليابان	PROPN	
三	th	三	th	NUM	
三	ثلاثه	三	ثلاثه	NUM	
前	قبل	前	قَبلَ	N	ADP;ACC
近	بالقرب	近	بِ		N;NOM;DEF;SG
近	قرب	近	قُربَ		ADP;ACC
米	رز	米	رز	N	
米	ارز	米	ارز	N	
米	رايس	米	رَايس	N	
多	المزيد	多	مَزِيد		N;NOM;DEF;SG
多	اكتر	多	أَكتَر		
多	اكثر	多	أَكثَر		ADJ;NOM;INDF;MASC;SG
多	مزيد	多	مَزِيد		N;NOM;INDF;SG
使用	الاستعمال	使用	اِستِعمَال	V	N;NOM;DEF;SG
使用	الاستخدام	使用	اِستِخدَام	V	N;NOM;DEF;SG
使用	استعمال	使用	اِستِعمَال	V	N;NOM;INDF;SG
使用	باستعمال	使用	باستعمال	V	N;GEN;DEF;SG
使用	استعمال	使用	اِستِعمَال	V	N;NOM;INDF;SG
使用	استخدام	使用	اِستِخدَام	V	N;NOM;INDF;SG
使用	باستخدام	使用	باستخدام	V	N;NOM;DEF;SG
使用	الاستعمال	使用	اِستِعمَال	V	N;NOM;DEF;SG
使用	استخدام	使用	اِستِخدَام	V	N;NOM;INDF;SG
使用	الاستخدام	使用	اِستِخدَام	V	N;NOM;DEF;SG
使用	مستخدم	使用	مُستَخدَم	V	N;NOM;INDF;SG
王	ملك	王	مَلِك	PROPN	
王	كينغ	王	كينغ	PROPN	
王	الملك	王	مَلِك	PROPN	N;NOM;DEF;SG
王	كينج	王	كينج	PROPN	
王	وانج	王	وانج	PROPN	
王	وانغ	王	وانغ	PROPN	
林	لام	林	لَام	PROPN	
公司	شركه	公司	شركه	N	
李	ليي	李	لَيِّيّ	PROPN	
李	لي	李	لِي	PROPN	
李	لى	李	لِي	PROPN	
一	احد	一	أَحَد	NUM	N;NOM;INDF;SG
一	واحدة	一	وَاحِد	NUM	ADJ;NOM;INDF;FEM;SG
一	واحد	一	وَاحِد	NUM	ADJ;NOM;INDF;MASC;SG
一	واحده	一	واحده	NUM	PRO;NOM;MASC;SG;3
西	ويست	西	ويست	N	
西	غربي	西	غَربِيّ	N	ADJ;NOM;INDF;MASC;SG
省	الاقليم	省	إِقلِيم	N	
省	اقليم	省	اقليم	N	
卡	البطاقات	卡	بِطَاقَة	PROPN	N;NOM;DEF;PL
卡	بطاقات	卡	بِطَاقَة	PROPN	N;NOM;INDF;PL
卡	كروت	卡	كروت	PROPN	N;NOM;INDF;PL
卡	بطاقة	卡	بِطَاقَة	PROPN	N;NOM;INDF;SG
卡	البطاقة	卡	بِطَاقَة	PROPN	N;NOM;DEF;SG
卡	كارد	卡	كارد	PROPN	
卡	كارت	卡	كَار	PROPN	
二	اثنان	二	اِثنَان	NUM	N;NOM;INDF;SG
小	صغيره	小	صغيره	PART	PRO;NOM;FEM;SG;3
小	صغير	小	صَغِير	PART	ADJ;NOM;INDF;MASC;SG
小	صغر	小	صَغَر	PART	N;NOM;INDF;SG
小	صغيرة	小	صَغِير	PART	ADJ;NOM;INDF;FEM;SG
小	الصغير	小	صَغِير	PART	
小	قليل	小	قَلِيل	PART	ADJ;NOM;INDF;MASC;SG
小	القليل	小	قَلِيل	PART	
小	تايني	小	تايني	PART	
小	تيني	小	تِينِيّ	PART	
相似	مشابهة	相似	مُشَابِه	V	ADJ;NOM;INDF;FEM;SG
相似	مماثل	相似	مُمَاثِل	V	ADJ;NOM;INDF;MASC;SG
相似	مماثلة	相似	مُمَاثِل	V	ADJ;NOM;INDF;FEM;SG
相似	مشابه	相似	مشابه	V	
相似	التشابه	相似	تَشَابُه	V	
相似	الشبه	相似	شِبه	V	N;NOM;DEF;SG
相似	التشابه	相似	تَشَابُه	V	
相似	تشابه	相似	تَشَابُه	V	N;NOM;INDF;SG
人口	الديمغرافية	人口	دِيمُغرَافِيّ	N	ADJ;NOM;DEF;FEM;SG
人口	الديمغرافية	人口	دِيمُغرَافِيّ	N	ADJ;NOM;DEF;FEM;SG
四	اربعه	四	اربعه	NUM	PRO;NOM;MASC;SG;3
道	داو	道	داو	PROPN	
將	ويل	將	وِيل	V;CAUS	
將	راح	將	رَاح	V;CAUS	
將	سوف	將	سَوفَ	V;CAUS	PART
高	عال	高	عَالِي	PROPN	N;NOM;INDF;SG
高	عالي	高	عَالِي	PROPN	ADJ;NOM;INDF;MASC;SG
高	مرتفع	高	مُرتَفِع	PROPN	ADJ;NOM;INDF;MASC;SG
高	عالية	高	عَالِي	PROPN	ADJ;NOM;INDF;FEM;SG
高	عاليا	高	عَالِي	PROPN	ADJ;ACC;INDF;MASC;SG
高	الطويل	高	طَوِيل	PROPN	
高	طويلة	高	طَوِيل	PROPN	ADJ;NOM;INDF;FEM;SG
高	طويل	高	طَوِيل	PROPN	ADJ;NOM;INDF;MASC;SG
高	قاو	高	قاو	PROPN	
高	جاو	高	جاو	PROPN	
美國	امريكا	美國	أَمرِيكَا	PROPN	
美國	اميركا	美國	أَمِيرِكَا	PROPN	
台灣	تايوان	台灣	تَايوَان	PROPN	
布	قماش	布	قِمَاش		N;NOM;INDF;SG
布	القماش	布	قِمَاش		N;NOM;DEF;SG
世界	العالمي	世界	عَالَمِيّ	N	ADJ;NOM;DEF;MASC;SG
世界	world	世界	world	N	
南	نان	南	نان	N	
南	جنوبي	南	جَنُوبِيّ	N	ADJ;NOM;INDF;MASC;SG
南	ساوث	南	سَاوث	N	
南	نام	南	نَام	N	V;PFV;MASC;SG;3;ACT
五	خمسه	五	خمسه	NUM	
本	بين	本	بَينَ		ADP;ACC
本	بن	本	بِن		PROPN
金	ذهبي	金	ذهبي	PROPN	ADJ;NOM;INDF;MASC;SG
金	جولد	金	جولد	PROPN	
金	غولد	金	غُولِد	PROPN	
金	ذهب	金	ذَهَب	PROPN	V;PFV;MASC;SG;3;ACT
金	الذهب	金	ذَهَب	PROPN	N;NOM;DEF;SG
金	كيم	金	كِيم	PROPN	
文	وين	文	وين	N	
林	لينكولن	林	لينكولن	PROPN	
人民	ناس	人民	نَاسِي	N	
包括	المدرجة	包括	مَدرَجَة	V	N;NOM;DEF;SG
包括	مدرج	包括	مُدَرِّج	V	N;NOM;INDF;SG
包括	تضمين	包括	تَضمِين	V	N;NOM;INDF;SG
峰	قمة	峰	قِمَّة	PROPN	N;NOM;INDF;SG
峰	ذروة	峰	ذُروَة	PROPN	N;NOM;INDF;SG
峰	القمة	峰	قِمَّة	PROPN	N;NOM;DEF;SG
峰	الذروة	峰	ذَروَة	PROPN	N;NOM;DEF;SG
峰	القمم	峰	قِمَّة	PROPN	N;NOM;DEF;PL
峰	قمم	峰	قِمَّة	PROPN	N;NOM;INDF;PL
其他	اخرى	其他	آخَر	DET	ADJ;NOM;INDF;FEM;SG
其他	اخرون	其他	آخَر	DET	ADJ;NOM;INDF;MASC;PL
其他	اخرين	其他	آخَر	DET	ADJ;ACC;INDF;MASC;PL
其他	الاخرون	其他	آخَر	DET	ADJ;NOM;DEF;MASC;PL
縣	كانتون	縣	كَانتُون	N	
第一	اول	第一	أَوَّل	NUM	ADJ;NOM;INDF;MASC;SG
第一	اولا	第一	أَوَّل	NUM	ADJ;ACC;INDF;MASC;SG
第一	الاول	第一	أَوَّل	NUM	ADJ;NOM;DEF;MASC;SG
第一	الاولى	第一	أَوَّل	NUM	ADJ;NOM;DEF;FEM;SG
比	النسبة	比	نِسبَة	ADP	N;NOM;DEF;SG
比	نسبة	比	نِسبَة	ADP	N;NOM;INDF;SG
元	يوان	元	يوان	PROPN	
元	الدولار	元	دُولَار	PROPN	N;NOM;DEF;SG
元	دولار	元	دُولَار	PROPN	N;NOM;INDF;SG
元	فاز	元	فَاز	PROPN	V;PFV;MASC;SG;3;ACT
元	وون	元	وون	PROPN	
中國	الصين	中國	صِين	PROPN	N;NOM;DEF;SG
中國	الصينية	中國	صِينِيّ	PROPN	ADJ;NOM;DEF;FEM;SG
六	six	六	قِثَّة	NUM	
六	سكس	六	سَكس	NUM	
主要	رائد	主要	رائد	ADV	
主要	ماجور	主要	ماجور	ADV	
主要	الرائد	主要	رَائِد	ADV	N;NOM;DEF;SG
主要	رئيسية	主要	رَئِيسِيّ	ADV	ADJ;NOM;INDF;FEM;SG
主要	الرئيسية	主要	رَئِيسِيّ	ADV	ADJ;NOM;DEF;FEM;SG
城	المدينه	城	المدينه	N	
城	سيتي	城	سِيتِي	N	
城	كاسل	城	كَاسِل	N	
法	المنهج	法	مُنهَج	PROPN	
法	طريقة	法	طَرِيقَة	PROPN	N;NOM;INDF;SG
法	الطريقة	法	طَرِيقَة	PROPN	N;NOM;DEF;SG
法	اسلوب	法	أُسلُوب	PROPN	N;NOM;INDF;SG
法	الاسلوب	法	أُسلُوب	PROPN	N;NOM;DEF;SG
法	منهج	法	منهج	PROPN	
中心	سنتر	中心	سنتر	N	
第二	ثانيا	第二	ثَانِي	NUM	ADJ;ACC;INDF;MASC;SG
第二	الثانيه	第二	الثانيه	NUM	
第二	تاني	第二	تَانِي	NUM	
第二	الثاني	第二	ثَانِي	NUM	ADJ;NOM;DEF;MASC;SG
第二	الثانية	第二	ثَانِي	NUM	ADJ;NOM;DEF;FEM;SG
第二	ثاني	第二	ثاني	NUM	
山	ماونتن	山	مُاُونَة	N	
山	جبل	山	جَبَل	N	
山	جبل	山	جَبَل	N	
山	ماونت	山	ماونت	N	
山	تل	山	تَلّ	N	
山	هيل	山	هيل	N	
山	تلة	山	تِلَّة	N	
加	يضاف	加	أَضَاف	ADP	V;IPFV;MASC;IND;SG;3;FIN;ACT
加	add	加	صَذَث	ADP	
加	اضف	加	اضف	ADP	N;NOM;INDF;SG
加	اضافة	加	إِضَافَة	ADP	N;NOM;INDF;SG
加	نضيف	加	أَضَاف	ADP	V;IPFV;MASC;IND;PL;1;FIN;ACT
加	زايد	加	زايد	ADP	
加	زائد	加	زَائِد	ADP	ADJ;NOM;INDF;MASC;SG
加	بالاضافة	加	بالاضافة	ADP	N;NOM;DEF;SG
自己	نفسي	自己	نفسي	PRO	
自己	نفسى	自己	نفسى	PRO	
張	تشانغ	張	تشَانغ	PROPN	
張	تشانغ	張	تشَانغ	PROPN	
張	جانغ	張	جانغ	PROPN	
內	الداخلية	內	دَاخِلِيّ	N	ADJ;NOM;DEF;FEM;SG
內	داخلي	內	دَاخِلِيّ	N	ADJ;NOM;INDF;MASC;SG
內	داخلية	內	دَاخِلِيّ	N	ADJ;NOM;INDF;FEM;SG
內	الداخلي	內	دَاخِلِيّ	N	ADJ;NOM;DEF;MASC;SG
主	ربي	主	ربي	PART	
主	رب	主	رَبّ	PART	
主	لورد	主	لورد	PART	
雷	راي	雷	راي	PROPN	
雷	راى	雷	رَأي	PROPN	
管理	ادارة	管理	إِدَارَة	V	N;NOM;INDF;SG
管理	الادارة	管理	إِدَارَة	V	N;NOM;DEF;SG
管理	ادارة	管理	إِدَارَة	V	N;NOM;INDF;SG
建	بناء	建	بِنَاء	V	N;ACC;INDF;SG
建	تبني	建	تَبَنِّي	V	N;NOM;INDF;SG
建	نبني	建	نبني	V	
建	مبني	建	مَبنِيّ	V	ADJ;NOM;INDF;MASC;SG
性	جنسي	性	جِنسِيّ	N	ADJ;NOM;INDF;MASC;SG
性	جنسية	性	جِنسِيّ	N	ADJ;NOM;INDF;FEM;SG
成	سونغ	成	سونغ	V	
成	سونج	成	سونج	V	
代表	تمثيلية	代表	تَمثِيلِيّ	N	ADJ;NOM;INDF;FEM;SG
那	اذن	那	إِذَن	PRO	ADV
那	ثم	那	ثُمَّ	PRO	CONJ
那	اذا	那	إِذَا	PRO	CONJ
公里	كيلومتر	公里	كيلومتر	N	
海	المحيطات	海	مُحِيط	N	ADJ;NOM;DEF;FEM;PL
海	محيط	海	مُحِيط	N	
這	هذا	這	هٰذَا	PRO	DET;NOM;MASC;SG
這	هذه	這	هٰذَا	PRO	DET;NOM;FEM;SG
從	f	從	!	ADP	
原	الاصلي	原	أَصلِيّ	PART	ADJ;NOM;DEF;MASC;SG
原	اصلي	原	أَصلِيّ	PART	
原	الاصلية	原	أَصلِيّ	PART	ADJ;NOM;DEF;FEM;SG
原	الاصل	原	أَصل	PART	
原	اصلية	原	أَصلِيّ	PART	ADJ;NOM;INDF;FEM;SG
工作	شغل	工作	شَغَل	N	V;PFV;MASC;SG;3;ACT
工作	اعمل	工作	عَمَل	N	
工作	يعمل	工作	عَمِل	N	V;IPFV;MASC;IND;SG;3;FIN;ACT
工作	اعمل	工作	عَمَل	N	
北	كيتا	北	كيتا	N	
北	نورث	北	نورث	N	
北	شمالي	北	شمالي	N	
政治	السياسي	政治	سِيَاسِيّ	N	ADJ;NOM;DEF;MASC;SG
政治	السياسية	政治	سِيَاسِيّ	N	ADJ;NOM;DEF;FEM;SG
政治	سياسي	政治	سِيَاسِيّ	N	ADJ;NOM;INDF;MASC;SG
政治	سياسية	政治	سِيَاسِيّ	N	ADJ;NOM;INDF;FEM;SG
星	نجم	星	نجم	N	
星	ستار	星	سِتَار	N	
她	انها	她	انها	PRO;3	
陳	تشن	陳	شَنّ	PROPN	V;IPFV;FEM;IND;SG;3;FIN;ACT
陳	تشين	陳	تشِين	PROPN	
陳	تشان	陳	تشَان	PROPN	
陳	شان	陳	شَان	PROPN	
他	ده	他	دٰهٰ	PRO;3	
面	معكرونة	面	مَعكَرُون	N	
作品	يعمل	作品	عَمِل	N	V;IPFV;MASC;IND;SG;3;FIN;ACT
作品	يشتغل	作品	اِشتَغَل	N	V;IPFV;MASC;IND;SG;3;FIN;ACT
作品	ينفع	作品	نَفَع	N	V;IPFV;MASC;IND;SG;3;FIN;ACT
河	ريفر	河	رِيفِر	N	
文化	ثقافته	文化	ثقافته	N	PRO;NOM;FEM;SG;3
馬	خيل	馬	خَيل	N	
馬	خيل	馬	خَيل	N	
更	المزيد	更	مَزِيد	ADV	N;NOM;DEF;SG
更	اكتر	更	أَكتَر	ADV	
更	اكثر	更	أَكثَر	ADV	ADJ;NOM;INDF;MASC;SG
更	مزيد	更	مَزِيد	ADV	N;NOM;INDF;SG
曼	مان	曼	مَان	PROPN	
電影	سينما	電影	سِينَمَا	N	
龍	التنانين	龍	تَننَان	N	
龍	تنين	龍	تَنَيَّن	N	
正式	رسميا	正式	رَسمِيّ	ADV	ADJ;ACC;INDF;MASC;SG
正式	رسمي	正式	رَسمِيّ	ADV	ADJ;NOM;INDF;MASC;SG
正式	الرسمي	正式	رَسمِيّ	ADV	ADJ;NOM;DEF;MASC;SG
正式	رسمية	正式	رَسمِيّ	ADV	ADJ;NOM;INDF;FEM;SG
外	خارج	外	خَارِجَ	N	ADP;ACC
明	مينج	明	مينج	PROPN	
明	مينغ	明	مينغ	PROPN	
美	جميلة	美	جَمِيل	PROPN	ADJ;NOM;INDF;FEM;SG
美	جميل	美	جَمِيل	PROPN	N;NOM;INDF;SG
美	جميله	美	جميله	PROPN	PRO;NOM;FEM;SG;3
美	جمال	美	جمال	PROPN	
美	الجمال	美	جَمَل	PROPN	N;NOM;DEF;SG
因為	لان	因為	لِأَنَّ	ADP	CONJ
因為	لانه	因為	لانه	ADP	
因為	عشان	因為	عشان	ADP	
因為	لانني	因為	لانني	ADP	N;NOM;DEF;SG
因為	بسبب	因為	بسبب	ADP	N;NOM;INDF;SG
因為	لاني	因為	لاني	ADP	
北京	بكين	北京	بِكِين	PROPN	
北京	بيجين	北京	بِيجِين	PROPN	
北京	بكين	北京	بِكِين	PROPN	
目前	الحالي	目前	حَالِيّ	N	ADJ;NOM;DEF;MASC;SG
目前	حاليا	目前	حَالِيّ	N	ADJ;ACC;INDF;MASC;SG
所有	كلهم	所有	كلهم	DET	
所有	كله	所有	كٰلِهَ	DET	
所有	جميع	所有	جَمِيع	DET	N;NOM;INDF;SG
所有	كل	所有	كُلّ	DET	N;NOM;INDF;SG
所有	الكل	所有	كُلّ	DET	
部分	جزئي	部分	جُزئِيّ	N	ADJ;NOM;INDF;MASC;SG
部分	جزئية	部分	جُزئِيّ	N	ADJ;NOM;INDF;FEM;SG
中央	مركزية	中央	مَركَزِيّ	N	ADJ;NOM;INDF;FEM;SG
中央	سنترال	中央	سنترال	N	
中央	مركزي	中央	مركزي	N	ADJ;NOM;INDF;MASC;SG
森	صن	森	صَن	PROPN	
森	سين	森	سَين	PROPN	
森	موري	森	مُورِي	PROPN	
國家	ناشيونال	國家	ناشيونال	N	
國家	وطنية	國家	وَطَنِيّ	N	ADJ;NOM;INDF;FEM;SG
國家	وطني	國家	وَطَنِيّ	N	ADJ;NOM;INDF;MASC;SG
生	الخام	生	خَام	N	ADJ;NOM;DEF;MASC;SG
生	خام	生	خَام	N	ADJ;NOM;INDF;MASC;SG
但是	لكن	但是	لكن	ADV	
但是	بس	但是	بِسّ	ADV	
但是	ولكن	但是	ولكن	ADV	
街	ستريت	街	سترِيت	N	
提供	شريطة	提供	شَرِيطَة	V	N;NOM;INDF;SG
城市	المدينه	城市	المدينه	N	
城市	سيتي	城市	سِيتِي	N	
一些	البعض	一些	بَعض	ADJ	N;NOM;DEF;SG
一些	بعض	一些	بَعض	ADJ	N;NOM;INDF;SG
長	لونغ	長	لُونغ	PART	
長	الطويل	長	طَوِيل	PART	
長	طويلا	長	طَوِيل	PART	ADJ;ACC;INDF;MASC;SG
長	طويلة	長	طَوِيل	PART	ADJ;NOM;INDF;FEM;SG
長	طويل	長	طَوِيل	PART	ADJ;NOM;INDF;MASC;SG
人物	الشخصية	人物	شَخصِيّ	N	ADJ;NOM;DEF;FEM;SG
加入	الانضمام	加入	اِنضِمَام	V	N;NOM;DEF;SG
加入	انضمام	加入	اِنضِمَام	V	N;NOM;INDF;SG
加入	الانضمام	加入	اِنضِمَام	V	N;NOM;DEF;SG
加入	انضمام	加入	اِنضِمَام	V	N;NOM;INDF;SG
英	ينج	英	نَجّ	PROPN	V;IPFV;MASC;IND;SG;3;FIN;ACT
英	ينغ	英	ينغ	PROPN	
史	شي	史	شي	N	
第三	ثالثا	第三	ثَالِث	NUM	ADJ;ACC;INDF;MASC;SG
第三	الثالثة	第三	ثَالِث	NUM	ADJ;NOM;DEF;FEM;SG
第三	ثالث	第三	ثَالِث	NUM	ADJ;NOM;INDF;MASC;SG
第三	الثالث	第三	ثَالِث	NUM	ADJ;NOM;DEF;MASC;SG
第三	ثالثة	第三	ثَالِث	NUM	ADJ;NOM;INDF;FEM;SG
魚	فيش	魚	فَيشَ	N	
魚	سمك	魚	سَمَك	N	
波	لوح	波	لَوح	N	
回	الظهر	回	ظُهر	PROPN	N;NOM;DEF;SG
回	عاد	回	عَاد	PROPN	V;PFV;MASC;SG;3;ACT
回	العودة	回	عَودَة	PROPN	N;NOM;DEF;SG
回	عودة	回	عَودَة	PROPN	N;NOM;INDF;SG
回	ارجع	回	أَرجَع	PROPN	V;PFV;MASC;SG;3;ACT
回	ظهر	回	ظَهَر	PROPN	V;PFV;MASC;SG;3;ACT
你	انت	你	أَنتَى	PRO;2	
你	انتي	你	أَنتِي	PRO;2	
方	فانغ	方	فانغ	N	
東	شرقي	東	شَرقِيّ	N	ADJ;NOM;INDF;MASC;SG
東	ايست	東	أَيسَت	N	
東	الشرقية	東	شَرقِيّ	N	ADJ;NOM;DEF;FEM;SG
東	دونج	東	دونج	N	
東	دونغ	東	دونغ	N	
英國	انجلترا	英國	إِنجِلتِرَا	PROPN	
英國	انكلترا	英國	انكلترا	PROPN	
周	اسبوعا	周	أُسبُوع	PROPN	N;ACC;INDF;SG
周	الاسبوع	周	أُسبُوع	PROPN	N;NOM;DEF;SG
周	اسبوع	周	أُسبُوع	PROPN	N;NOM;INDF;SG
周	الاسابيع	周	أُسبُوع	PROPN	N;NOM;DEF;PL
周	اسابيع	周	أُسبُوع	PROPN	N;NOM;INDF;PL
周	تشاو	周	تشاو	PROPN	
石	شي	石	شي	N	
石	ستون	石	ستون	N	
事件	مناسبات	事件	مُنَاسَبَة	N	ADJ;NOM;INDF;FEM;PL
事件	حدث	事件	حَدَث	N	V;PFV;MASC;SG;3;ACT
建立	انشاء	建立	إِنشَاء	V	N;NOM;INDF;SG
建立	الانشاء	建立	إِنشَاء	V	N;NOM;DEF;SG
建立	الخلق	建立	خَلق	V	N;NOM;DEF;SG
建立	الانشاء	建立	إِنشَاء	V	N;NOM;DEF;SG
建立	بناء	建立	بِنَاء	V	N;ACC;INDF;SG
建立	تبني	建立	تَبَنِّي	V	N;NOM;INDF;SG
建立	نبني	建立	نبني	V	
生活	المعيشة	生活	مَعِيشَة	V	N;NOM;DEF;SG
生活	العيش	生活	عَيش	V	N;NOM;DEF;SG
生活	الحياة	生活	حَيَاة	V	N;NOM;DEF;SG
生活	الحياه	生活	حِيَاه	V	N;NOM;DEF;SG
生活	حياة	生活	حَيَاة	V	N;NOM;INDF;SG
生活	lif	生活	قَثحَة	V	
派	الفطيرة	派	فَطِير	V;CAUS	N;NOM;DEF;SG
派	فطيرة	派	فَطِير	V;CAUS	N;NOM;INDF;SG
教育	التعليمية	教育	تَعلِيمِيّ	N	ADJ;NOM;DEF;FEM;SG
教育	تعليمية	教育	تَعلِيمِيّ	N	ADJ;NOM;INDF;FEM;SG
教育	تربوية	教育	تَربَوِيّ	N	ADJ;NOM;INDF;FEM;SG
之後	بعدما	之後	بَعدَمَا	N	CONJ
之後	بعد	之後	بَعدَ	N	ADP;NOM
萬	وان	萬	وان	PROPN	
國際	الدولية	國際	دُوَلِيّ	N	ADJ;NOM;DEF;FEM;SG
國際	الدولي	國際	دُوَلِيّ	N	ADJ;NOM;DEF;MASC;SG
國際	دولية	國際	دُوَلِيّ	N	ADJ;NOM;INDF;FEM;SG
國際	دولي	國際	دُوَلِيّ	N	ADJ;NOM;INDF;MASC;SG
完成	منتهي	完成	منتهي	V	ADJ;NOM;INDF;MASC;SG
完成	انهاء	完成	إِنهَاء	V	N;NOM;INDF;SG
完成	انهي	完成	أَنهَى	V	
完成	معمول	完成	مَعمُول	V	ADJ;NOM;INDF;MASC;SG
完成	كامل	完成	كَامِل	V	ADJ;NOM;INDF;MASC;SG
完成	كاملة	完成	كَامِل	V	ADJ;NOM;INDF;FEM;SG
白	بيضاء	白	بَيضَاء	N	ADJ;NOM;INDF;FEM;SG
白	الابيض	白	أَبيَض	N	ADJ;NOM;DEF;MASC;SG
白	وايت	白	وايت	N	
白	ابيض	白	أَبيَض	N	
音樂	mus	音樂	سَذَق	N	
音樂	موسيقية	音樂	مُوسِيقِيّ	N	ADJ;NOM;INDF;FEM;SG
沙	شا	沙	شَا	PROPN	
沙	الرمال	沙	رَمل	PROPN	N;NOM;DEF;SG
沙	الرمل	沙	رَمل	PROPN	N;NOM;DEF;SG
沙	ساند	沙	ساند	PROPN	
沙	رمل	沙	رَمل	PROPN	
沙	رمال	沙	رَمل	PROPN	
沙	شاه	沙	شاه	PROPN	
他們	انهم	他	اِنهَمّ	PRO;PL;3	
可能	ممكن	可能	مُمكِن	N	ADJ;NOM;INDF;MASC;SG
分布	توزيعات	分布	تَوزِيع	V	N;NOM;INDF;PL
分布	توزيع	分布	تَوزِيع	V	N;NOM;INDF;SG
分布	التوزيع	分布	تَوزِيع	V	N;NOM;DEF;SG
官	ضابطة	官	ضَابِط	N	ADJ;NOM;INDF;FEM;SG
梅	قد	梅	قَد	PROPN	PART
梅	ماي	梅	مَاي	PROPN	
梅	مايو	梅	مَايُو	PROPN	N;GEN;INDF;SG
梅	ايار	梅	أَيَّار	PROPN	N;NOM;INDF;SG
梅	مي	梅	مَيّ	PROPN	
中文	الصينيون	中文	صِينِيّ	N	ADJ;NOM;DEF;MASC;PL
中文	صيني	中文	صِينِيّ	N	ADJ;NOM;INDF;MASC;SG
中文	الصينية	中文	صِينِيّ	N	ADJ;NOM;DEF;FEM;SG
中文	صينية	中文	صِينِيّ	N	ADJ;NOM;INDF;FEM;SG
自由	مجانا	自由	مَجَّان	N	ADJ;ACC;INDF;MASC;SG
自由	حرة	自由	حُرّ	N	ADJ;NOM;INDF;FEM;SG
自由	مجاني	自由	مَجَّانِيّ	N	ADJ;NOM;INDF;MASC;SG
自由	f	自由	!	N	
黃	ونغ	黃	ونغ	PROPN	
黃	وونغ	黃	وُونغ	PROPN	
黃	هوانغ	黃	هوانغ	PROPN	
黃	الاصفر	黃	أَصفَر	PROPN	N;NOM;DEF;SG
黃	صفراء	黃	صَفِير	PROPN	ADJ;NOM;INDF;FEM;SG
黃	اصفر	黃	أَصفَر	PROPN	
獲得	الحصول	獲得	حُصُول	V	N;NOM;DEF;SG
光	خفيف	光	خفيف	N	ADJ;NOM;INDF;MASC;SG
光	فاتح	光	فاتح	N	
光	نور	光	نور	N	
重要	الاهمية	重要	أَهَمِّيَّة	ADJ	N;NOM;DEF;SG
重要	اهمية	重要	أَهَمِّيَّة	ADJ	N;NOM;INDF;SG
重要	مهمة	重要	مَهَمَّة	ADJ	N;NOM;INDF;SG
