procurar	für	procurar	für	V	ADP
comparación	vergleichen	comparación	vergleichen	N	V;NFIN
vantaxe	vorteil	vantaxe	vorteil	N	ADV
reclamar	forderung	reclamar	forderung	V	ADV
reclamar	beanspruchung	reclamar	beanspruchung	V	N;NOM;FEM;SG
reclamar	anspruch	reclamar	anspruch	V	N
reclamar	behauptung	reclamar	behauptung	V	ADV
reclamar	für	reclamar	für	V	ADP
polonia	polen	polonia	polen	PROPN	
humilde	bescheiden	humilde	bescheiden	N	ADJ
humilde	demütig	humilde	demütig	N	ADJ
humilde	demütigen	humilde	demütig	N	V;NFIN
humilde	bescheidenen	humilde	bescheiden	N	ADJ
humilde	demut	humilde	demut	N	
humilde	bescheidenheit	humilde	bescheidenheit	N	ADV
cortinas	vorhang	cortina	vorhang	N	
vasos	gefäße	vaso	gefäßen	N	
vasos	wasserfahrzeuge	vaso	wasserfahrzeuge	N	ADJ;NOM;PL
vasos	sonnenbrillen	vaso	sonnenbrillen	N	V;NFIN
vasos	gläser	vaso	glas	N	ADJ
vasos	brille	vaso	brill	N	
vasos	gläsern	vaso	gläsern	N	V;NFIN
detén	haltestellen	detén	haltestellen	V	N;NOM;FEM;PL
detén	stopp	detén	stopp	V	
detén	stop	detén	stopen	V	PROPN
faltaba	war	faltar	sein	V	V;IND;SG;3;PST;FIN
faltaba	wurde	faltar	werden	V	V;IND;SG;3;PST;FIN;PASS
faltaba	fehlende	faltar	fehlend	V	ADJ;NOM;FEM;PL
faltaba	fehlenden	faltar	fehlend	V	ADJ
chegaría	würden	chegar	werden	V	V;SBJV;PL;3;PST;FIN
chegaría	wäre	chegar	sein	V	V;SBJV;SG;3;PST;FIN
chegaría	hätte	chegar	haben	V	V;SBJV;SG;3;PST;FIN
chegaría	würde	chegar	werden	V	V;SBJV;SG;3;PST;FIN
ventre	bauch	ventrar	bauch	N	
ventre	magen	ventrar	magen	N	V;NFIN
ventre	bauch	ventrar	bauch	N	
ventre	gebärmutter	ventrar	gebärmutt	N	
ventre	mutterleib	ventrar	mutterleib	N	
hmm	hmm	hmm	hmm	PROPN	
hmm	hm	hmm	hm	PROPN	
esixe	bedarf	esixir	bedarf	V	
esixe	erforderlich	esixir	erforderlich	V	ADJ
esixe	notwendig	esixir	notwendig	V	ADJ
esixe	erforderliche	esixir	erforderlich	V	ADJ;NOM;FEM;PL
conduta	benehmen	conduta	benehmen	N	V;NFIN
conduta	verhaltens	conduta	verhaltens	N	ADV
conduta	verhalten	conduta	verhalten	N	V;NFIN
conduta	verhaltensweisen	conduta	verhaltensweisen	N	V;NFIN
corren	run	currir	run	V	PROPN
corren	lauf	currir	lauf	V	ADV
gañaches	ihr	gañaches	ihr	N	PRO;NOM;MASC;SG
gañaches	dich	gañaches	du	N	
gañaches	du	gañaches	du	N	PRO;NOM;SG;2
gañaches	dir	gañaches	dur	N	
gañaches	sie	gañaches	sie	N	PRO;NOM;FEM;SG;3
gañaches	gewonnen	gañaches	gewinnen	N	V;V.PTCP
gañaches	won	gañaches	won	N	
gañaches	gewann	gañaches	gewinnen	N	V;IND;SG;3;PST;FIN
gañaches	gewonnene	gañaches	gewonnen	N	ADJ;NOM;FEM;SG
gañaches	gewinnen	gañaches	gewinnen	N	V;NFIN
gañaches	gewinne	gañaches	gewinne	N	
bóla	ball	bóla	ball	N	PROPN
bóla	kugel	bóla	kugeln	N	
bóla	bälle	bóla	bäll	N	ADJ
alerta	alarm	alertar	alarmen	N	ADJ
alerta	ausschreibung	alertar	ausschreibung	N	ADJ
alerta	wachsam	alertar	wachsam	N	ADJ
puxeches	hast	puxeche	haben	V	V;IND;SG;3;PRS;FIN
puxeches	ihr	puxeche	ihr	V	PRO;NOM;MASC;SG
puxeches	dich	puxeche	du	V	
puxeches	du	puxeche	du	V	PRO;NOM;SG;2
puxeches	dir	puxeche	dur	V	
puxeches	sie	puxeche	sie	V	PRO;NOM;FEM;SG;3
puxeches	leg	puxeche	leg	V	PROPN;SG
debate	aussprache	debate	aussprechen	N	
debate	debatte	debate	debatt	N	ADJ;NOM;SG
debate	debatte	debate	debatt	N	ADJ;NOM;SG
debate	debattieren	debate	debattieren	N	V;NFIN
debate	diskutieren	debate	diskutieren	N	V;NFIN
amos	masters	aro	masters	N	PROPN
amos	meistern	aro	meistern	N	V;NFIN
amos	master	aro	master	N	ADJ
amos	besitzer	aro	besitzer	N	ADJ
amos	inhaber	aro	inhaber	N	ADV
amos	eigner	aro	eigner	N	
amos	eigentümer	aro	eigentüm	N	ADJ
larry	larry	larry	larry	PROPN	PROPN;NOM;SG
lexión	legion	lexión	legion	N	PROPN;NOM
arrestaron	festnahme	arrestar	festnahm	V	N;NOM;FEM;SG
arrestaron	sie	arrestar	sie	V	PRO;NOM;FEM;SG;3
parados	stehen	parado	stehen	N	V;NFIN
parados	stehend	parado	stehend	N	ADJ
parados	stehendes	parado	stehend	N	ADJ;NOM;NEUT;SG
parados	ständigen	parado	ständig	N	ADJ
parados	arbeitslos	parado	arbeitslos	N	ADJ
parados	arbeitsloser	parado	arbeitslos	N	ADJ
parados	arbeitslose	parado	arbeitslos	N	ADJ;NOM;FEM;PL
parados	arbeitslosen	parado	arbeitslos	N	ADJ
tiros	schoss	tiro	schießen	N	V;V.PTCP
tiros	geschossen	tiro	schießen	N	V;V.PTCP
tiros	erschossen	tiro	erschießen	N	V;V.PTCP
tiros	schuss	tiro	schassen	N	ADJ
tiros	aufnahmen	tiro	aufnehmen	N	V;IND;PL;3;PST;FIN
axudala	helfen	axudala	helfen	N	V;NFIN
axudala	hilfen	axudala	halfen	N	V;NFIN
axudala	help	axudala	help	N	PROPN
axudala	ihr	axudala	ihr	N	PRO;NOM;MASC;SG
axudala	dich	axudala	du	N	
axudala	du	axudala	du	N	PRO;NOM;SG;2
axudala	dir	axudala	dur	N	
axudala	sie	axudala	sie	N	PRO;NOM;FEM;SG;3
axudala	ihr	axudala	ihr	N	PRO;NOM;MASC;SG
axudala	ihre	axudala	ihr	N	DET;NOM;FEM;SG
mariñeiro	seefahrer	mariñeiro	seefahrer	N	ADJ
mariñeiro	segler	mariñeiro	segler	N	
mariñeiro	seemann	mariñeiro	seemann	N	
enfronte	front	enfronte	fronen	ADV	PROPN
enfronte	vorderseite	enfronte	vorderseite	ADV	
enfronte	vor	enfronte	vor	ADV	ADP
durmo	schlaf	durmo	schlafen	V	
durmo	nachtruhe	durmo	nachtruhe	V	ADJ
honorable	ehrenwerten	honorable	ehrenwert	ADJ	V;IND;PL;3;PST;FIN
vagóns	autos	vagón	autos	N	
vagóns	kraftfahrzeuge	vagón	kraftfahrzeuge	N	ADJ;NOM
vagóns	pkw	vagón	pkw	N	
vagóns	pkws	vagón	pkws	N	
vagóns	trainieren	vagón	trainieren	N	V;NFIN
vagóns	eisenbahn	vagón	eisenbehnen	N	
vagóns	bahn	vagón	bahnen	N	
coroación	krönung	coroación	krönung	N	ADJ
quedes	aufenthalt	quedes	aufenthalt	V	ADJ
quedes	messestand	quedes	messestehen	V	ADV
quedes	ständer	quedes	stand	V	
kent	kent	kent	kent	PROPN	PROPN
douche	give	douche	giv	V	
douche	ihr	douche	ihr	V	PRO;NOM;MASC;SG
douche	dich	douche	du	V	
douche	du	douche	du	V	PRO;NOM;SG;2
douche	dir	douche	dur	V	
douche	sie	douche	sie	V	PRO;NOM;FEM;SG;3
pódolle	kann	pódoller	können	N	V;IND;SG;3;PRS;FIN
pódolle	können	pódoller	können	N	V;IND;PL;3;PRS;FIN
pódolle	can	pódoller	can	N	
pódolle	kannst	pódoller	können	N	V;IND;SG;2;PRS;FIN
maletas	rucksack	maleta	rucksack	N	PROPN
maletas	packen	maleta	packen	N	V;NFIN
maletas	pack	maleta	packen	N	
maletas	fällen	maleta	fällen	N	V;NFIN
marchen	marsch	marchar	marsch	V	ADJ
marchen	march	marchar	march	V	PROPN
marchen	märz	marchar	märz	V	PROPN;NOM;MASC;SG
atreves	ihr	atrever	ihr	V	PRO;NOM;MASC;SG
atreves	dich	atrever	du	V	
atreves	du	atrever	du	V	PRO;NOM;SG;2
atreves	dir	atrever	dur	V	
atreves	sie	atrever	sie	V	PRO;NOM;FEM;SG;3
atreves	wage	atrever	wage	V	
choro	heulen	choro	heulen	N	V;NFIN
choro	weint	choro	weinen	N	V;IND;SG;3;PRS;FIN
choro	weinen	choro	wein	N	V;NFIN
choro	weine	choro	wein	N	
impórtache	ihr	impórtache	ihr	N	PRO;NOM;MASC;SG
impórtache	dich	impórtache	du	N	
impórtache	du	impórtache	du	N	PRO;NOM;SG;2
impórtache	dir	impórtache	dur	N	
impórtache	sie	impórtache	sie	N	PRO;NOM;FEM;SG;3
impórtache	verstand	impórtache	verstehen	N	
impórtache	mind	impórtache	mind	N	
impórtache	geist	impórtache	geisen	N	
acouguen	leichter	acougar	leicht	PROPN	ADJ
acouguen	einfache	acougar	einfach	PROPN	ADJ;NOM;FEM;PL
acouguen	einfach	acougar	einfach	PROPN	ADV
acouguen	easy	acougar	easy	PROPN	
acouguen	leicht	acougar	leicht	PROPN	ADJ
acouguen	please	acougar	please	PROPN	PROPN
acouguen	bitte	acougar	bitte	PROPN	
acouguen	ruhige	acougar	ruhig	PROPN	ADJ;NOM;FEM;PL
acouguen	ruhe	acougar	ruhe	PROPN	
acouguen	ruhigen	acougar	ruhig	PROPN	ADJ
acouguen	ruhig	acougar	ruhig	PROPN	ADJ
acouguen	leise	acougar	leise	PROPN	ADJ
toleaches	ihr	toleache	ihr	N	PRO;NOM;MASC;SG
toleaches	dich	toleache	du	N	
toleaches	du	toleache	du	N	PRO;NOM;SG;2
toleaches	dir	toleache	dur	N	
toleaches	sie	toleache	sie	N	PRO;NOM;FEM;SG;3
toleaches	verrückte	toleache	verrückt	N	ADJ;NOM;PL
toleaches	irre	toleache	irre	N	ADJ
toleaches	verrückt	toleache	verrücken	N	ADJ
cortes	stall	corte	stall	N	
sacerdote	pfarrer	sacerdote	pfarr	N	ADJ
sacerdote	priester	sacerdote	priest	N	ADJ
sacerdote	geistlicher	sacerdote	geistlich	N	ADJ
sacerdote	geistliche	sacerdote	geistlich	N	ADJ;NOM;FEM;PL
sacerdote	prediger	sacerdote	prediger	N	ADJ
ficas	aufenthalt	fica	aufenthalt	V	ADJ
ficas	ihr	fica	ihr	V	PRO;NOM;MASC;SG
ficas	dich	fica	du	V	
ficas	du	fica	du	V	PRO;NOM;SG;2
ficas	dir	fica	dur	V	
ficas	sie	fica	sie	V	PRO;NOM;FEM;SG;3
indios	inder	indio	inder	N	
indios	indianer	indio	indianer	N	
deixarnos	verlassen	deixarno	verlassen	N	V;NFIN
deixarnos	hinterlassen	deixarno	hinterlassen	N	V;V.PTCP
deixarnos	weggehen	deixarno	weggehen	N	V;NFIN
delegados	delegierte	delegado	delegieren	N	V;IND;SG;3;PST;FIN
delegados	delegierten	delegado	delegiert	N	V;IND;PL;3;PST;FIN
brancas	weiß	branco	wissen	ADJ	V;IND;SG;3;PRS;FIN
brancas	weisse	branco	wissen	ADJ	N;NOM;FEM;PL
brancas	weiss	branco	wissen	ADJ	
brancas	white	branco	white	ADJ	PROPN;NOM;SG
erguédevos	tage	erguédevo	tagen	ADJ	N;NOM;MASC;PL
erguédevos	will	erguédevo	wollen	ADJ	V;IND;SG;3;PRS;FIN
erguédevos	werden	erguédevo	werden	ADJ	V;NFIN;PASS
erguédevos	wird	erguédevo	werden	ADJ	V;IND;SG;3;PRS;FIN;PASS
erguédevos	wille	erguédevo	willen	ADJ	
erguédevos	werde	erguédevo	werden	ADJ	V;SBJV;SG;3;PRS;FIN
erguédevos	better	erguédevo	better	ADJ	PROPN
erguédevos	holen	erguédevo	holen	ADJ	V;NFIN
erguédevos	erhalte	erguédevo	erhalten	ADJ	V;SG;FIN
erguédevos	bekommen	erguédevo	bekommen	ADJ	V;NFIN
erguédevos	bekomme	erguédevo	bekommen	ADJ	V;IND;SG;3;PRS;FIN
irmandade	bruderschaft	irmandade	bruderschaft	N	ADJ
irmandade	brüderlichkeit	irmandade	brüderlichkeit	N	ADJ
irmandade	studentenverbindung	irmandade	studentenverbindung	N	ADJ
mack	mack	mack	mack	PROPN	PROPN;NOM;MASC;SG
carter	carter	carter	carter	PROPN	PROPN;NOM;SG
compaña	gesellschaft	compaña	gesellschaft	N	ADJ
cabana	hütte	cabanar	hüten	N	
creas	glaube	crea	glauben	N	
creas	glaubt	crea	glauben	N	V;IND;SG;3;PRS;FIN
creas	glauben	crea	glauben	N	V;NFIN
creas	glaub	crea	glaub	N	
creas	ihr	crea	ihr	N	PRO;NOM;MASC;SG
creas	dich	crea	du	N	
creas	du	crea	du	N	PRO;NOM;SG;2
creas	dir	crea	dur	N	
creas	sie	crea	sie	N	PRO;NOM;FEM;SG;3
berres	shout	berre	shouen	N	PROPN
berres	schreien	berre	schrei	N	V;NFIN
berres	rufen	berre	rufen	N	V;NFIN
berres	brüllen	berre	brüllen	N	V;NFIN
berres	don	berre	don	N	PROPN;NOM;MASC;SG
dezasete	seventeen	dezasete	seventen	NUM	PROPN;NOM
faite	ihr	faite	ihr	PROPN	PRO;NOM;MASC;SG
faite	dich	faite	du	PROPN	
faite	du	faite	du	PROPN	PRO;NOM;SG;2
faite	dir	faite	dur	PROPN	
faite	sie	faite	sie	PROPN	PRO;NOM;FEM;SG;3
victoria	siegen	victoria	siegen	N	
crees	ihr	cree	ihr	V	PRO;NOM;MASC;SG
crees	dich	cree	du	V	
crees	du	cree	du	V	PRO;NOM;SG;2
crees	dir	cree	dur	V	
crees	sie	cree	sie	V	PRO;NOM;FEM;SG;3
crees	denk	cree	denk	V	
crees	denke	cree	denken	V	
luvas	handschuh	luva	handschuh	N	
decreto	dekret	decreto	dekret	N	
acusacións	vorwürfe	acusación	vorwürfen	N	ADJ
acusacións	anklagen	acusación	anklagen	N	V;NFIN
acusacións	gebühren	acusación	gebühren	N	V;V.PTCP
acusacións	anklage	acusación	anklage	N	ADJ;NOM;FEM;SG
acusacións	abgaben	acusación	abgeben	N	V;FIN
césar	cäsar	césar	cäsar	V	PROPN;NOM;MASC;SG
césar	caesar	césar	caesar	V	PROPN;NOM;SG
vulgar	vulgär	vulgar	vulgär	N	ADJ
pasalo	spass	pasalo	spass	N	
pasalo	lustig	pasalo	lustig	N	ADJ
pasalo	haben	pasalo	haben	N	V;IND;PL;3;FIN
pasalo	habe	pasalo	haben	N	V;SBJV;SG;3;PRS;FIN
roger	roger	roger	roger	PROPN	PROPN;NOM;MASC;SG
roger	rogers	roger	rogers	PROPN	PROPN;NOM;MASC;SG
roger	verstanden	roger	verstehen	PROPN	V;V.PTCP
vindo	kommend	vir	kommend	V	ADJ
vindo	come	vir	come	V	PROPN
bagdad	bagdad	bagdar	bagdad	N	PROPN;NOM;MASC;SG
cago	teufel	cago	teufel	V	
cago	hölle	cago	höllen	V	
cago	hell	cago	hell	V	ADJ
cervo	wild	cervo	wild	N	
cervo	reh	cervo	reh	N	
cervo	hirsch	cervo	hirsch	N	
cervo	hirsch	cervo	hirsch	N	
matarme	kill	matarme	kollen	V	PROPN
matarme	töte	matarme	töte	V	PROPN;SG
atacaron	sie	atacar	sie	V	PRO;NOM;FEM;SG;3
quixeches	ihr	quixeche	ihr	V	PRO;NOM;MASC;SG
quixeches	dich	quixeche	du	V	
quixeches	du	quixeche	du	V	PRO;NOM;SG;2
quixeches	dir	quixeche	dur	V	
quixeches	sie	quixeche	sie	V	PRO;NOM;FEM;SG;3
quixeches	erwünscht	quixeche	erwünscht	V	ADJ
quixeches	wollte	quixeche	wollen	V	V;IND;SG;3;PST;FIN
culto	kult	culto	kult	N	ADJ
culto	sekte	culto	sekten	N	
irlandesa	irischen	irlandesa	irisch	ADJ	
sicilia	sizilien	sicilia	sizilien	PROPN	PROPN;NOM;SG
reich	reich	reich	reich	PROPN	ADJ
reich	reichs	reich	reichs	PROPN	PROPN
reich	reiches	reich	reich	PROPN	ADJ;NOM;NEUT;SG
déronme	sie	déronme	sie	V	PRO;NOM;FEM;SG;3
lagoa	lagune	lagoa	lagune	N	
meniña	kleiner	meniña	klein	N	ADJ
meniña	kleine	meniña	klein	N	ADJ;NOM;FEM;PL
meniña	wenig	meniña	wenig	N	ADV
meniña	little	meniña	little	N	PROPN
meniña	klein	meniña	klein	N	ADJ
meniña	girl	meniña	gerlen	N	
pasear	fußweg	pasear	faßweg	V	
pasear	spaziergang	pasear	spaziergang	V	N
pasear	für	pasear	für	V	ADP
clans	clan	clan	clan	N	
clans	sippe	clan	sippe	N	
clans	klan	clan	klan	N	PROPN
clans	clan	clan	clan	N	
clans	clans	clan	clan	N	
clans	klans	clan	klans	N	
hmong	hmong	hmong	hmongen	PROPN	PROPN;NOM;MASC;SG
leland	leland	leland	leland	PROPN	PROPN;NOM;MASC;SG
klaus	klaus	klaus	klaus	PROPN	PROPN;NOM;MASC;SG
pablo	pablo	pablo	pablo	N	PROPN;NOM;MASC;SG
marquesa	marquise	marquesa	marquise	N	PROPN;NOM;SG
nomura	nomura	nomura	nomura	N	PROPN;NOM;SG
nis	nis	nis	nis	PROPN	
nis	nus	nis	nus	PROPN	
cuarteto	quartett	cuarteto	quartett	N	V;IND;SG;3;PRS;FIN
cuarteto	quartetts	cuarteto	quartetts	N	
cuarteto	quartet	cuarteto	quartet	N	PROPN
estivesen	sie	estar	sie	V	PRO;NOM;FEM;SG;3
estivesen	wurden	estar	werden	V	V;IND;PL;3;PST;FIN;PASS
estivesen	waren	estar	sein	V	V;IND;PL;3;PST;FIN
corría	running	corría	runneing	V	
corría	war	corría	sein	V	V;IND;SG;3;PST;FIN
corría	wurde	corría	werden	V	V;IND;SG;3;PST;FIN;PASS
ensino	lehren	ensino	lehren	N	V;NFIN
ensino	unterrichten	ensino	unterrichten	N	V;NFIN
ensino	unterricht	ensino	unterrichten	N	
ensino	lehren	ensino	lehren	N	V;NFIN
ensino	unterrichten	ensino	unterrichten	N	V;NFIN
informática	informatik	informática	informatik	N	PROPN
informática	computer	informática	computer	N	ADJ
informática	rechner	informática	rechner	N	
técnicas	techniken	técnica	technik	N	V;NFIN
veterinarios	tierärzte	veterinario	tierarzt	N	V;IND;SG;3;PST;FIN
confesión	bekenntnis	confesión	bekenntnis	N	V
confesión	beichten	confesión	beichen	N	V;NFIN
confesión	beichte	confesión	beichen	N	
estanse	sind	estanse	sein	PROPN	V;IND;PL;3;PRS;FIN
loitan	kampfhandlungen	loitar	kampfhandlungen	V	N;NOM;FEM;PL
loitan	kämpfe	loitar	kämpfen	V	
loitan	sind	loitar	sein	V	V;IND;PL;3;PRS;FIN
loitan	streit	loitar	streit	V	ADJ
loitan	kampf	loitar	kampfen	V	N;SG
loitan	kämpfe	loitar	kämpfen	V	
medicinas	medikament	medicina	medikament	N	ADJ
medicinas	arzneimittel	medicina	arzneimittel	N	
medicinas	medikamente	medicina	medikament	N	ADJ;NOM;FEM;SG
interpretación	interpretation	interpretación	interpretation	N	ADJ
interpretación	dolmetschen	interpretación	dolmetsch	N	V;NFIN
interpretación	auslegung	interpretación	auslegung	N	ADV
dinámica	dynamischen	dinámica	dynamisch	N	ADJ
dinámica	dynamischer	dinámica	dynamisch	N	ADJ
dinámica	dynamik	dinámica	dynamik	N	
dinámica	dynamische	dinámica	dynamisch	N	ADJ;NOM;FEM;PL
dinámica	dynamisch	dinámica	dynamisch	N	ADJ
dinámica	dynamik	dinámica	dynamik	N	
aumenta	will	aumentar	wollen	V	V;IND;SG;3;PRS;FIN
aumenta	werden	aumentar	werden	V	V;NFIN;PASS
aumenta	wird	aumentar	werden	V	V;IND;SG;3;PRS;FIN;PASS
aumenta	wille	aumentar	willen	V	
aumenta	werde	aumentar	werden	V	V;SBJV;SG;3;PRS;FIN
aumenta	zunahme	aumentar	zunahme	V	N;SG
aumenta	erhöhung	aumentar	erhöhung	V	N;NOM;FEM;SG
aumenta	steigerung	aumentar	steigerung	V	ADJ;NOM;FEM;SG
sida	hilfsmittel	sida	hilfsmittel	N	ADJ
sida	aids	sida	aids	N	PROPN;NOM;MASC;SG
sida	beihilfen	sida	beihilfen	N	V;NFIN
sida	hilfen	sida	halfen	N	V;NFIN
espectadores	zuschauer	espectador	zuschauer	N	ADV
espectadores	aufrufe	espectador	aufrufen	N	
espectadores	zuschauern	espectador	zuschauern	N	
espectadores	betrachter	espectador	betrachter	N	ADJ
saibas	weiss	saber	wissen	V	
saibas	ihr	saber	ihr	V	PRO;NOM;MASC;SG
saibas	dich	saber	du	V	
saibas	du	saber	du	V	PRO;NOM;SG;2
saibas	dir	saber	dur	V	
saibas	sie	saber	sie	V	PRO;NOM;FEM;SG;3
garantía	bürgschaft	garantía	bürgschaft	N	
garantía	garantie	garantía	garantie	N	
ken	ken	ker	Ken	PROPN	PROPN;NOM;MASC;SG
bambú	bambus	bambú	bambus	N	
falsos	false	falso	falsen	ADJ	PROPN
sexades	ihr	sexade	ihr	V	PRO;NOM;MASC;SG
sexades	dich	sexade	du	V	
sexades	du	sexade	du	V	PRO;NOM;SG;2
sexades	dir	sexade	dur	V	
sexades	sie	sexade	sie	V	PRO;NOM;FEM;SG;3
pensaban	gedanke	pensabar	gedank	V	ADJ
pensaban	sie	pensabar	sie	V	PRO;NOM;FEM;SG;3
pódense	kann	pódense	können	N	V;IND;SG;3;PRS;FIN
pódense	können	pódense	können	N	V;IND;PL;3;PRS;FIN
pódense	can	pódense	can	N	
pódense	kannst	pódense	können	N	V;IND;SG;2;PRS;FIN
coñecida	bekannter	coñecer	bekannter	V	ADJ
coñecida	bekannt	coñecer	bekennen	V	ADJ
coñecida	bekannte	coñecer	bekannt	V	ADJ;NOM;PL
coñecida	bekannten	coñecer	bekannt	V	ADJ;PL
emocionante	aufregend	emocionante	aufregend	N	ADJ
emocionante	spannende	emocionante	spannend	N	ADJ;NOM;FEM;PL
emocionante	aufregende	emocionante	aufregend	N	ADJ;NOM;FEM;PL
emocionante	spannend	emocionante	spannend	N	ADJ
emocionante	spannender	emocionante	spannend	N	ADJ
emocionante	aufregend	emocionante	aufregend	N	ADJ
emocionante	spannende	emocionante	spannend	N	ADJ;NOM;FEM;PL
emocionante	aufregende	emocionante	aufregend	N	ADJ;NOM;FEM;PL
emocionante	spannend	emocionante	spannend	N	ADJ
xulgado	hofe	xulgado	hofen	N	
xulgado	gerichtshofes	xulgado	gerichtshofes	N	ADJ;NOM;NEUT;SG
xulgado	gerichtshof	xulgado	gerichtshof	N	PROPN
xulgado	hof	xulgado	hof	N	
extensión	verlängerung	extensión	verlängerung	N	ADJ;NOM;FEM;SG
expansión	expansion	expansión	expansion	N	
azar	gelegenheit	azar	gelegenheit	N	ADJ
azar	zufall	azar	zufall	N	
necesitan	bedarf	necesitar	bedarf	V	
necesitan	sie	necesitar	sie	V	PRO;NOM;FEM;SG;3
senon	doch	senon	doch	PART	ADV
senon	aber	senon	aber	PART	CONJ
senon	allerdings	senon	allerdings	PART	ADV
senon	but	senon	bun	PART	
senon	jedoch	senon	jedoch	PART	ADV
individual	einzel	individual	einzel	ADJ	
individual	individuum	individual	individuum	ADJ	N;SG
web	internetseite	web	internetseite	N	ADJ
web	webseiten	web	webseiten	N	V;NFIN
web	webseite	web	webseite	N	
web	web	web	web	N	
web	netz	web	netz	N	
web	webseite	web	webseite	N	
web	webseiten	web	webseiten	N	V;NFIN
novamente	nochmal	novamente	nochmal	ADV	
novamente	erneut	novamente	erneut	ADV	ADJ
intres	augenblicke	intres	augenblick	N	ADJ;NOM;FEM;PL
intres	momente	intres	moment	N	ADJ;NOM;PL
ordenadores	informatik	ordenador	informatik	N	PROPN
ordenadores	computer	ordenador	computer	N	ADJ
ordenadores	computern	ordenador	computer	N	V;NFIN
ordenadores	rechner	ordenador	rechner	N	
ordenadores	informatik	ordenador	informatik	N	PROPN
ordenadores	computer	ordenador	computer	N	ADJ
ordenadores	rechner	ordenador	rechner	N	
estatísticas	statistiken	estatística	statistik	N	V;NFIN
estatísticas	statistik	estatística	statistik	N	PROPN
fiel	treue	fiel	treu	N	ADJ;NOM
fiel	gläubige	fiel	gläubig	N	ADJ;NOM;FEM;PL
fiel	treu	fiel	treu	N	ADJ
fiel	gläubigen	fiel	gläubig	N	ADJ
fiel	treuen	fiel	treuen	N	ADJ
trece	dreizehn	trecer	dreizehn	N	NUM
trece	thirteen	trecer	thirteen	N	PROPN;NOM
características	merkmale	característica	merkmal	N	ADJ;NOM;FEM;PL
características	eigenschaften	característica	eigenschaft	N	V;NFIN
características	funktionen	característica	funktionen	N	V;NFIN
características	leistungsmerkmale	característica	leistungsmerkmale	N	ADJ;NOM;FEM;PL
características	merkmale	característica	merkmal	N	ADJ;NOM;FEM;PL
características	eigenschaften	característica	eigenschaft	N	V;NFIN
características	besonderheiten	característica	besonderheiten	N	V;NFIN
características	charakteristik	característica	charakteristik	N	ADJ;SG
residencia	wohnsitz	residencia	wohnsitz	N	ADJ
residencia	residenz	residencia	residenz	N	
residencia	residence	residencia	residence	N	
residencia	wohnort	residencia	wohnoren	N	ADJ
residencia	aufenthalt	residencia	aufenthalt	N	ADJ
paran	stopp	parar	stopp	V	
paran	stop	parar	stopen	V	PROPN
paran	sie	parar	sie	V	PRO;NOM;FEM;SG;3
