que	той	que	той	PRO;MASC;SG	DET;NOM;MASC;SG
ele	його	ele	він	PRO;NOM;MASC;SG;3	PRO;ACC;MASC;SG;3
discussão	дискусії	discussão	дискусія	N;FEM;SG	N;INAN;NOM;FEM;PL
entre	поміж	entre	поміж	ADP	
era	був	ser	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN
era	була	ser	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN
era	було	ser	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;IND;SG;PST;FIN
sobre	приблизно	sobre	приблизно	ADP	ADV
sobre	інфо	sobre	інфо	ADP	
até	до	até	до	ADV	ADP;GEN
foram	були	ser	бути	V;IND;PL;3;PST;FIN	V;IPFV;IND;PL;PST;FIN
janeiro	січні	janeiro	січень	N;MASC;SG	ADV
mesmo	збігається	mesmo	збігатися	ADV	V;IPFV;IND;SG;3;PRS;FIN
mesmo	однаковий	mesmo	однаковий	ADV	ADJ;NOM;MASC;SG
mesmo	однакові	mesmo	однаковий	ADV	ADJ;NOM;PL
mesmo	same	mesmo	same	ADV	
mesmo	самий	mesmo	самий	ADV	DET;NOM;MASC;SG;REFL
onde	where	onde	where	ADV	
grande	великі	grande	великий	ADJ;MASC;SG	ADJ;NOM;PL
grande	великих	grande	великий	ADJ;MASC;SG	ADJ;ANIM;ACC;PL
grande	великі	grande	великий	ADJ;MASC;SG	ADJ;NOM;PL
grande	біг	grande	бігти	ADJ;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN
grande	чудово	grande	чудово	ADJ;MASC;SG	ADV
grande	гранде	grande	гранде	ADJ;MASC;SG	PROPN;INAN;NOM;FEM;SG
grande	гранд	grande	гранд	ADJ;MASC;SG	
brasil	бразилії	brasil	бразилія	N;MASC;SG	PROPN;INAN;GEN;FEM;SG
brasil	бразильська	brasil	бразильський	N;MASC;SG	ADJ;NOM;FEM;SG
rio	ріо	rio	ріо	N;MASC;SG	
depois	потому	depois	потому	ADV	
depois	після	depois	після	ADV	ADP;GEN
primeiro	перша	primeiro	перший	ADV	ADJ;NOM;FEM;SG
primeiro	перший	primeiro	перший	ADV	ADJ;NOM;MASC;SG
pode	травнева	poder	травневий	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG
pode	травня	poder	травень	V;IND;SG;3;PRS;FIN	N;INAN;GEN;MASC;SG
pode	травневі	poder	травневий	V;IND;SG;3;PRS;FIN	ADJ;NOM;PL
pode	травні	poder	травень	V;IND;SG;3;PRS;FIN	ADV
pode	травень	poder	травень	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
pode	можна	poder	можна	V;IND;SG;3;PRS;FIN	ADV
durante	підчас	durante	підчи	ADP	
primeira	перше	primeiro	перше	ADJ;FEM;SG	ADV
externas	зовнішнє	externo	зовнішній	N;FEM;PL	ADJ;NOM;NEUT;SG
externas	зовнішні	externo	зовнішній	N;FEM;PL	ADJ;NOM;PL
externas	зовнішній	externo	зовнішній	N;FEM;PL	ADJ;NOM;MASC;SG
externas	зовнішня	externo	зовнішній	N;FEM;PL	ADJ;NOM;FEM;SG
sendo	проводиться	ser	проводитися	V;V.MSDR	V;IPFV;IND;SG;3;PRS;FIN
sendo	будучи	ser	бути	V;V.MSDR	V;IPFV;PRS;V.CVB
sendo	буття	ser	буття	V;V.MSDR	N;INAN;NOM;NEUT;SG
ainda	still	ainda	still	ADV	
outros	інший	outro	інший	PRO;MASC;PL	DET;NOM;MASC;SG
outros	інша	outro	інший	PRO;MASC;PL	DET;NOM;FEM;SG
outros	інші	outro	інший	PRO;MASC;PL	DET;NOM;PL
outros	інше	outro	інший	PRO;MASC;PL	DET;NOM;NEUT;SG
outros	інших	outro	інший	PRO;MASC;PL	DET;GEN;PL
outros	інших	outro	інший	PRO;MASC;PL	DET;GEN;PL
outros	інші	outro	інший	PRO;MASC;PL	DET;NOM;PL
outros	іншими	outro	інший	PRO;MASC;PL	DET;INS;PL
esta	цей	este	цей	PRO;FEM;SG	DET;NOM;MASC;SG
esta	ця	este	цей	PRO;FEM;SG	DET;NOM;FEM;SG
ela	she	ela	she	PRO;NOM;FEM;SG;3	
ela	her	ela	her	PRO;NOM;FEM;SG;3	
ela	нею	ela	вона	PRO;NOM;FEM;SG;3	PRO;INS;FEM;SG;3
ela	її	ela	вона	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
ela	їй	ela	вона	PRO;NOM;FEM;SG;3	PRO;DAT;FEM;SG;3
dois	двійка	dois	двійка	NUM	N;INAN;NOM;FEM;SG
suas	їхньому	seu	їхній	DET;FEM;PL	PRO;DAT;SG;3
suas	їхнє	seu	їхній	DET;FEM;PL	DET;NOM;NEUT;SG;3
segundo	другий	segundo	другий	ADV	ADJ;NOM;MASC;SG
segundo	друге	segundo	другий	ADV	ADJ;NOM;NEUT;SG
segundo	друга	segundo	друг	ADV	N;INAN;NOM;FEM;SG
segundo	секунда	segundo	секунда	ADV	N;INAN;NOM;FEM;SG
apenas	лише	apenas	лише	ADV	PART
apenas	тільки	apenas	тільки	ADV	PART
apenas	просто	apenas	просто	ADV	PART
ter	тер	ter	тер	V;NFIN	
ter	have	ter	have	V;NFIN	
msg	msg	msg	msg	N;FEM;SG	
julho	липні	julho	липень	N;MASC;SG	ADV
agosto	серпні	agosto	серпень	N;MASC;SG	ADV
agosto	aug	agosto	aug	N;MASC;SG	
lista	list	lista	list	N;FEM;SG	
lista	списки	lista	список	N;FEM;SG	N;INAN;NOM;MASC;PL
maio	травнева	maio	травневий	N;MASC;SG	ADJ;NOM;FEM;SG
maio	травневі	maio	травневий	N;MASC;SG	ADJ;NOM;PL
maio	травні	maio	травень	N;MASC;SG	ADV
março	березні	março	березень	N;MASC;SG	ADV
norte	північна	norte	північний	N;MASC;SG	ADJ;NOM;FEM;SG
norte	норт	norte	норт	N;MASC;SG	PROPN;INAN;NOM;MASC;SG
norte	північний	norte	північний	N;MASC;SG	ADJ;NOM;MASC;SG
norte	північна	norte	північний	N;MASC;SG	ADJ;NOM;FEM;SG
norte	північний	norte	північний	N;MASC;SG	ADJ;NOM;MASC;SG
norte	північне	norte	північний	N;MASC;SG	ADJ;NOM;NEUT;SG
família	сімейний	família	сімейний	N;FEM;SG	ADJ;NOM;MASC;SG
família	сімейні	família	сімейний	N;FEM;SG	ADJ;NOM;PL
abril	квітні	abril	квітний	N;MASC;SG	ADV
sul	sul	sul	sul	N;MASC;SG	
sul	південна	sul	південний	N;MASC;SG	ADJ;NOM;FEM;SG
sul	південний	sul	південний	N;MASC;SG	ADJ;NOM;MASC;SG
sul	південна	sul	південний	N;MASC;SG	ADJ;NOM;FEM;SG
sul	південний	sul	південний	N;MASC;SG	ADJ;NOM;MASC;SG
grupo	групова	grupo	груповий	N;MASC;SG	ADJ;NOM;FEM;SG
grupo	груповий	grupo	груповий	N;MASC;SG	ADJ;NOM;MASC;SG
setembro	вересні	setembro	вересень	N;MASC;SG	ADV
paulo	пол	paulo	поле	N;MASC;SG	
paulo	пауль	paulo	пауль	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
paulo	павло	paulo	павий	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
ver	див	ver	див.	V;NFIN	
ver	перегляд	ver	перегляд	V;NFIN	N;INAN;NOM;MASC;SG
ver	вигляд	ver	вигляд	V;NFIN	N;INAN;NOM;MASC;SG
ver	view	ver	view	V;NFIN	
ver	вид	ver	вид	V;NFIN	N;INAN;NOM;MASC;SG
outubro	жовтні	outubro	жовтень	N;MASC;SG	ADV
isso	цей	isso	цей	PRO;MASC;SG	DET;NOM;MASC;SG
isso	ця	isso	цей	PRO;MASC;SG	DET;NOM;FEM;SG
isso	той	isso	той	PRO;MASC;SG	DET;NOM;MASC;SG
maior	більше	grande	більше	ADJ;MASC;SG	ADV;CMPR
maior	точніше	grande	точніше	ADJ;MASC;SG	ADV;CMPR
maior	найбільших	grande	найбільший	ADJ;MASC;SG	ADJ;GEN;RL;PL
maior	найбільші	grande	найбільший	ADJ;MASC;SG	ADJ;NOM;RL;PL
maior	найбільші	grande	найбільший	ADJ;MASC;SG	ADJ;NOM;RL;PL
maior	більші	grande	більший	ADJ;MASC;SG	ADJ;NOM;RL;PL
maior	більше	grande	більше	ADJ;MASC;SG	ADV;CMPR
todos	everybody	todo	everybody	PRO;MASC;PL	
todos	усі	todo	увесь	PRO;MASC;PL	DET;NOM;PL
todos	усі	todo	увесь	PRO;MASC;PL	DET;NOM;PL
todos	всі	todo	весь	PRO;MASC;PL	DET;NOM;PL
todos	все	todo	все	PRO;MASC;PL	PRO;INAN;NOM;NEUT;SG
todos	всіх	todo	всі	PRO;MASC;PL	PRO;ANIM;ACC
todos	всім	todo	всі	PRO;MASC;PL	PRO;ANIM;DAT
todos	усіх	todo	увесь	PRO;MASC;PL	DET;GEN;PL
todos	усі	todo	увесь	PRO;MASC;PL	DET;NOM;PL
todos	усім	todo	усе	PRO;MASC;PL	PRO;INAN;INS;NEUT;SG
todos	всіх	todo	всі	PRO;MASC;PL	PRO;ANIM;ACC
nova	нові	novo	новий	ADJ;FEM;SG	ADJ;NOM;PL
nova	створити	novo	створити	ADJ;FEM;SG	V;PFV;NFIN
junho	червні	junho	червень	N;MASC;SG	ADV
contra	проти	contra	проти	ADP	ADV
contra	contra	contra	contra	ADP	
contra	проти	contra	проти	ADP	ADV
dezembro	грудні	dezembro	грудний	N;MASC;SG	ADV
dezembro	dec	dezembro	dec	N;MASC;SG	
fevereiro	лютий	fevereiro	лютий	N;MASC;SG	ADJ;NOM;MASC;SG
principal	головні	principal	головний	ADJ;MASC;SG	ADJ;NOM;PL
principal	головне	principal	головне	ADJ;MASC;SG	N;INAN;NOM;NEUT;SG
principal	капітал	principal	капітал	ADJ;MASC;SG	N;INAN;NOM;MASC;SG
três	втрьох	três	втріх	NUM	N;ANIM;NOM;MASC;PL
três	трійка	três	трійка	NUM	N;INAN;NOM;FEM;SG
série	серії	série	серія	N;FEM;SG	N;INAN;NOM;FEM;PL
série	ряди	série	ряд	N;FEM;SG	N;INAN;NOM;MASC;PL
série	послідовний	série	послідовний	N;FEM;SG	ADJ;NOM;MASC;SG
série	серійний	série	серійний	N;FEM;SG	ADJ;NOM;MASC;SG
além	beyond	além	beyond	ADV	
além	поза	além	поза	ADV	
final	завершити	final	завершити	N;MASC;SG	V;PFV;NFIN
final	закінчити	final	закінчити	N;MASC;SG	V;PFV;NFIN
final	закінчиться	final	закінчитися	N;MASC;SG	V;PFV;IND;SG;3;FUT;FIN
final	остаточний	final	остаточний	N;MASC;SG	ADJ;NOM;MASC;SG
final	final	final	final	N;MASC;SG	
desde	відтоді	desde	відтоді	ADP	ADV
desde	відколи	desde	відколи	ADP	
história	публікації	história	публікація	N;FEM;SG	N;INAN;NOM;FEM;PL
história	історії	história	історія	N;FEM;SG	N;INAN;NOM;FEM;PL
antes	перед	antes	перед	ADV	ADP;INS
antes	before	antes	before	ADV	
melhor	краща	melhor	кращий	ADV	ADJ;NOM;RL;FEM;SG
melhor	better	melhor	better	ADV	
melhor	кращі	melhor	кращий	ADV	ADJ;NOM;RL;PL
melhor	кращий	melhor	кращий	ADV	ADJ;NOM;CMPR;MASC;SG
melhor	найкраща	melhor	найкращий	ADV	ADJ;NOM;RL;FEM;SG
melhor	найкращий	melhor	найкращий	ADV	ADJ;NOM;CMPR;MASC;SG
melhor	найкращі	melhor	найкращий	ADV	ADJ;NOM;RL;PL
duas	двійка	dois	двійка	NUM	N;INAN;NOM;FEM;SG
estados	штати	estado	штати	N;MASC;PL	PROPN;INAN;NOM
bem	well	bem	well	ADV	
bem	ну	bem	ну	ADV	PART
mundo	світовий	mundo	світовий	N;MASC;SG	ADJ;NOM;MASC;SG
mundo	world	mundo	world	N;MASC;SG	
banda	band	banda	band	N;FEM;SG	
outras	інший	outro	інший	PRO;FEM;PL	DET;NOM;MASC;SG
outras	інша	outro	інший	PRO;FEM;PL	DET;NOM;FEM;SG
outras	інші	outro	інший	PRO;FEM;PL	DET;NOM;PL
outras	інше	outro	інший	PRO;FEM;PL	DET;NOM;NEUT;SG
outras	інших	outro	інший	PRO;FEM;PL	DET;GEN;PL
outras	інших	outro	інший	PRO;FEM;PL	DET;GEN;PL
outras	інші	outro	інший	PRO;FEM;PL	DET;NOM;PL
outras	іншими	outro	інший	PRO;FEM;PL	DET;INS;PL
km²	km²	km²	km²	N;MASC;SG	
gols	цілі	gol	цілий	N;MASC;PL	ADJ;NOM;PL
nacional	націонал	nacional	націонал	ADJ;MASC;SG	
nacional	національні	nacional	національний	ADJ;MASC;SG	ADJ;NOM;PL
nacional	насьйональ	nacional	насьйональ	ADJ;MASC;SG	N;INAN;NOM;MASC;SG
sido	був	ser	бути	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
sido	було	ser	бути	V;MASC;SG;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN
sido	були	ser	бути	V;MASC;SG;V.PTCP	V;IPFV;IND;PL;PST;FIN
jogos	ігор	jogo	гра	N;MASC;PL	PROPN;ANIM;NOM;FEM;SG
jogos	games	jogo	games	N;MASC;PL	
qual	какой	qual	какой	PRO;MASC;SG	
qual	який	qual	який	PRO;MASC;SG	DET;NOM;MASC;SG
qual	які	qual	який	PRO;MASC;SG	DET;NOM;PL
qual	яке	qual	який	PRO;MASC;SG	DET;NOM;NEUT;SG
qual	яка	qual	який	PRO;MASC;SG	DET;NOM;FEM;SG
brasileiro	бразильська	brasileiro	бразильський	N;MASC;SG	ADJ;NOM;FEM;SG
alguns	деякі	algum	деякий	PRO;MASC;PL	DET;NOM;PL
alguns	якесь	algum	якийсь	PRO;MASC;PL	DET;NOM;NEUT;SG
alguns	якийсь	algum	якийсь	PRO;MASC;PL	DET;NOM;MASC;SG
alguns	трохи	algum	трохи	PRO;MASC;PL	ADV
vida	лайф	vida	Лайф	N;FEM;SG	
vida	віда	vida	віда	N;FEM;SG	
vida	vida	vida	vida	N;FEM;SG	
país	країни	país	країна	N;MASC;SG	N;INAN;NOM;FEM;PL
país	кантрі	país	кантрі	N;MASC;SG	N;INAN;NOM;FEM;PL
cada	кожні	cada	кожний	DET;FEM;SG	NUM;NOM
cada	кожному	cada	кожний	DET;FEM;SG	PRO;INAN;DAT;NEUT;SG
eles	їх	eles	вони	PRO;NOM;MASC;PL;3	PRO;ACC;PL;3
eles	їм	eles	вони	PRO;NOM;MASC;PL;3	PRO;DAT;PL;3
eles	комплектів	eles	комплект	PRO;NOM;MASC;PL;3	N;INAN;GEN;MASC;PL
música	музики	música	музика	N;FEM;SG	N;INAN;NOM;FEM;PL
música	музик	música	музик	N;FEM;SG	N;INAN;NOM;MASC;PL
música	музиці	música	музика	N;FEM;SG	N;INAN;DAT;FEM;PL
página	сторінки	página	сторінка	N;FEM;SG	N;INAN;NOM;FEM;PL
página	пейдж	página	пейдж	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
campeonato	чемпіонський	campeonato	чемпіонський	N;MASC;SG	ADJ;NOM;MASC;SG
josé	хосе	josé	хось	N;MASC;SG	PROPN;ANIM;NOM;FEM;SG
josé	джозеф	josé	джозеф	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
josé	йосип	josé	йосип	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
josé	жозеф	josé	жозеф	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
josé	йозеф	josé	йозеф	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
josé	жозе	josé	жоза	N;MASC;SG	PROPN;ANIM;NOM;FEM;SG
josé	хосе	josé	хось	N;MASC;SG	PROPN;ANIM;NOM;FEM;SG
espécie	види	espécie	вид	N;FEM;SG	N;INAN;NOM;MASC;PL
portugal	португалії	portugal	португалія	N;MASC;SG	PROPN;INAN;GEN;FEM;SG
joão	джон	joão	джон	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
joão	іоанн	joão	іоанно	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
joão	іван	joão	іван	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
joão	жуан	joão	жуан	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
tinha	мали	ter	мати	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;PST;FIN
tinha	мав	ter	мати	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN
clube	club	clube	club	N;MASC;SG	
clube	clube	clube	clube	N;MASC;SG	
unidos	united	unido	united	N;MASC;PL	
unidos	юнайтед	unido	юнайтед	N;MASC;PL	PROPN;INAN;NOM;MASC;SG
novo	ново	novo	ново	ADJ;MASC;SG	ADV
novo	нові	novo	новий	ADJ;MASC;SG	ADJ;NOM;PL
novo	створити	novo	створити	ADJ;MASC;SG	V;PFV;NFIN
partir	їзду	partir	їзда	V;NFIN	N;INAN;GEN;MASC;SG
teve	мали	ter	мати	V;IND;SG;3;PST;FIN	V;IPFV;IND;PL;PST;FIN
segunda	друга	segundo	друг	ADJ;FEM;SG	N;INAN;NOM;FEM;SG
segunda	секунда	segundo	секунда	ADJ;FEM;SG	N;INAN;NOM;FEM;SG
segunda	понеділок	segundo	понеділок	ADJ;FEM;SG	N;INAN;NOM;MASC;SG
pessoas	народ	pessoa	народ	N;FEM;PL	N;INAN;NOM;MASC;SG
presidente	президенти	presidente	президент	N;MASC;SG	N;ANIM;NOM;MASC;PL
presidente	presidente	presidente	presidente	N;MASC;SG	
caso	випадку	caso	випадок	N;MASC;SG	ADV
jogo	гри	jogo	гра	N;MASC;SG	N;INAN;NOM;FEM;PL
sistema	системи	sistema	система	N;MASC;SG	N;INAN;NOM;FEM;PL
sistema	системний	sistema	системний	N;MASC;SG	ADJ;NOM;MASC;SG
sistema	системне	sistema	системний	N;MASC;SG	ADJ;NOM;NEUT;SG
sistema	системна	sistema	системний	N;MASC;SG	ADJ;NOM;FEM;SG
americano	американо	americano	американо	N;MASC;SG	ADV
americano	американський	americano	американський	N;MASC;SG	ADJ;NOM;MASC;SG
americano	американські	americano	американський	N;MASC;SG	ADJ;NOM;PL
americano	американська	americano	американський	N;MASC;SG	ADJ;NOM;FEM;SG
americano	американської	americano	американський	N;MASC;SG	ADJ;GEN;FEM;SG
século	century	século	century	N;MASC;SG	
casa	хати	casa	хата	N;FEM;SG	N;INAN;NOM;FEM;PL
casa	домашній	casa	домашній	N;FEM;SG	ADJ;NOM;MASC;SG
casa	додому	casa	додому	N;FEM;SG	ADV
oficial	офіційні	oficial	офіційний	ADJ;MASC;SG	ADJ;NOM;PL
oficial	наглядач	oficial	наглядач	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
oficial	офіцер	oficial	офіцер	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
vezes	таймс	vez	таймс	N;MASC;PL	N;INAN;NOM;MASC;SG
vezes	час	vez	час	N;MASC;PL	N;INAN;NOM;MASC;SG
vezes	times	vez	times	N;MASC;PL	
distrito	нохія	distrito	нохій	N;MASC;SG	PROPN;INAN;NOM;FEM;SG
local	локальні	local	локальний	N;MASC;SG	ADJ;NOM;PL
local	місцеві	local	місцевий	N;MASC;SG	ADJ;NOM;PL
local	локальна	local	локальний	N;MASC;SG	ADJ;NOM;FEM;SG
local	локальний	local	локальний	N;MASC;SG	ADJ;NOM;MASC;SG
local	місцевий	local	місцевий	N;MASC;SG	ADJ;NOM;MASC;SG
trabalho	роботи	trabalho	робота	N;MASC;SG	N;INAN;NOM;FEM;PL
trabalho	працюю	trabalho	працювати	N;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN
trabalho	працюють	trabalho	працювати	N;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN
trabalho	робочий	trabalho	робочий	N;MASC;SG	ADJ;NOM;MASC;SG
outro	інший	outro	інший	PRO;MASC;SG	DET;NOM;MASC;SG
outro	інша	outro	інший	PRO;MASC;SG	DET;NOM;FEM;SG
outro	інші	outro	інший	PRO;MASC;SG	DET;NOM;PL
outro	інше	outro	інший	PRO;MASC;SG	DET;NOM;NEUT;SG
outro	інших	outro	інший	PRO;MASC;SG	DET;GEN;PL
outro	інший	outro	інший	PRO;MASC;SG	DET;NOM;MASC;SG
outro	інша	outro	інший	PRO;MASC;SG	DET;NOM;FEM;SG
fez	зробили	fazer	зробити	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;PST;FIN
fez	вчинили	fazer	вчинити	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;PST;FIN
fez	робили	fazer	робити	V;IND;SG;3;PST;FIN	V;IPFV;IND;PL;PST;FIN
através	крізь	através	крізь	ADV	
através	через	através	через	ADV	ADP;ACC
através	передивився	através	передивитися	ADV	V;PFV;MASC;IND;SG;PST;FIN
estava	був	estar	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN
estava	була	estar	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN
estava	було	estar	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;IND;SG;PST;FIN
maria	марі	maria	марий	N;FEM;SG	PROPN;ANIM;NOM;FEM;SG
maria	мері	maria	мера	N;FEM;SG	PROPN;ANIM;NOM;FEM;SG
maria	марія	maria	марія	N;FEM;SG	PROPN;ANIM;NOM;FEM;SG
estão	надаються	estar	надаватися	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
vários	різноманітні	vários	різноманітний	PRO;MASC;PL	ADJ;NOM;PL
vários	різні	vários	різний	PRO;MASC;PL	ADJ;NOM;PL
vários	декілька	vários	декілька	PRO;MASC;PL	DET;NOM
vários	різні	vários	різний	PRO;MASC;PL	ADJ;NOM;PL
vários	різне	vários	різний	PRO;MASC;PL	ADJ;NOM;NEUT;SG
terra	earth	terra	earth	N;FEM;SG	
terra	землі	terra	земля	N;FEM;SG	N;INAN;NOM;FEM;PL
terra	terra	terra	terra	N;FEM;SG	
gênero	статі	gênero	стать	N;MASC;SG	N;INAN;NOM;FEM;PL
gênero	гендерна	gênero	гендерний	N;MASC;SG	ADJ;NOM;FEM;SG
universidade	внз	universidade	внз	N;FEM;SG	
qualquer	якісь	qualquer	якийсь	DET;FEM;SG	DET;NOM;PL
podem	можна	poder	можна	V;IND;PL;3;PRS;FIN	ADV
centro	centro	centro	centro	N;MASC;SG	
início	запустити	início	запустити	N;MASC;SG	V;PFV;NFIN
início	розпочати	início	розпочати	N;MASC;SG	V;PFV;NFIN
início	запускати	início	запускати	N;MASC;SG	V;IPFV;NFIN
início	почати	início	почати	N;MASC;SG	V;PFV;NFIN
essa	цей	esse	цей	PRO;FEM;SG	DET;NOM;MASC;SG
essa	ця	esse	цей	PRO;FEM;SG	DET;NOM;FEM;SG
essa	той	esse	той	PRO;FEM;SG	DET;NOM;MASC;SG
tipo	добрі	tipo	добрий	N;MASC;SG	ADJ;NOM;PL
santa	святий	santo	святий	N;FEM;SG	ADJ;NOM;MASC;SG
santa	saint	santo	saint	N;FEM;SG	
santa	сен	santo	сен	N;FEM;SG	
santa	санта	santo	санта	N;FEM;SG	PROPN;ANIM;NOM;FEM;SG
conhecido	відомі	conhecido	відомий	ADJ;MASC;SG	ADJ;NOM;PL
conhecido	знайомі	conhecido	знайомий	ADJ;MASC;SG	ADJ;NOM;PL
mundial	worldwide	mundial	worldwide	ADJ;MASC;SG	
cerca	огорожу	cerca	огорожа	ADV	N;INAN;ACC;FEM;SG
cerca	огорожа	cerca	огорожа	ADV	N;INAN;NOM;FEM;SG
cerca	паркан	cerca	паркан	ADV	N;INAN;NOM;MASC;SG
todas	все	todo	все	DET;FEM;PL	PRO;INAN;NOM;NEUT;SG
todas	всіх	todo	всі	DET;FEM;PL	PRO;ANIM;ACC
português	португальська	português	португальський	N;MASC;SG	ADJ;NOM;FEM;SG
lançado	випустили	lançar	випустити	V;MASC;SG;V.PTCP	V;PFV;IND;PL;PST;FIN
lançado	запустили	lançar	запустити	V;MASC;SG;V.PTCP	V;PFV;IND;PL;PST;FIN
lançado	розпочали	lançar	розпочати	V;MASC;SG;V.PTCP	V;PFV;IND;PL;PST;FIN
rei	кінг	rei	кінг	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rei	rei	rei	rei	N;MASC;SG	
rei	рей	rei	рей	N;MASC;SG	
algumas	деякі	algum	деякий	PRO;FEM;PL	DET;NOM;PL
algumas	якесь	algum	якийсь	PRO;FEM;PL	DET;NOM;NEUT;SG
algumas	якийсь	algum	якийсь	PRO;FEM;PL	DET;NOM;MASC;SG
algumas	трохи	algum	трохи	PRO;FEM;PL	ADV
quem	хто	quem	хто	PRO;SG	PRO;ANIM;NOM;MASC;SG
quem	who	quem	who	PRO;SG	
água	водні	água	водній	N;FEM;SG	N;INAN;NOM;MASC;PL
água	водяний	água	водяний	N;FEM;SG	ADJ;NOM;MASC;SG
água	водяне	água	водяний	N;FEM;SG	ADJ;NOM;NEUT;SG
quatro	четвірка	quatro	четвірка	NUM	N;INAN;NOM;FEM;SG
época	season	época	season	N;FEM;SG	
