periferia	покрайнините	periferia	покрайнина	N;FEM;SG	N;DEF;FEM;PL
massimi	максима	massimo	максим	ADJ;MASC;PL	N;INDF;FEM;SG
after	след	after	след		ADP
kiev	киев	kiev	киев	N;FEM;SG	PROPN;INDF;MASC;SG
kiev	киев	kiev	киев	N;FEM;SG	PROPN;INDF;MASC;SG
alluminio	алуминиеви	alluminio	алуминиев	N;MASC;SG	ADJ;INDF;PL
alluminio	алуминиев	alluminio	алуминиев	N;MASC;SG	PROPN;INDF;MASC;SG
alluminio	алуминиева	alluminio	алуминиев	N;MASC;SG	PROPN;INDF;FEM;SG
vendere	продаване	vendere	продаване	V;NFIN	N;INDF;NEUT;SG
vendere	продажба	vendere	продажба	V;NFIN	N;INDF;FEM;SG
corno	хорн	corno	хорн	N;MASC;SG	PROPN;INDF;MASC;SG
corno	рога	corno	рога	N;MASC;SG	N;INDF;NEUT;PL
futuri	бъдеще	futuro	бъдеще	ADJ;MASC;PL	N;INDF;NEUT;SG
futuri	бъдещ	futuro	бъдещ	ADJ;MASC;PL	ADJ;INDF;MASC;SG
futuri	бъдещето	futuro	бъдеще	ADJ;MASC;PL	N;DEF;NEUT;SG
futuri	бъдеща	futuro	бъдещ	ADJ;MASC;PL	ADJ;INDF;FEM;SG
rachel	рейчъл	rachel	рейчъл	N;FEM;SG	PROPN;INDF;FEM;SG
immacolata	безупречно	immacolare	безупречно	ADJ;FEM;SG	ADV
canti	пей	canto	пей	N;MASC;PL	INTJ
canti	пея	canto	пея	N;MASC;PL	V;IPFV;IND;SG;1;PRS;FIN;ACT
intellettuali	интелектуалец	intellettuale	интелектуалец	N;PL	N;INDF;MASC;SG
intellettuali	интелектуална	intellettuale	интелектуален	N;PL	ADJ;INDF;FEM;SG
intellettuali	интелектуално	intellettuale	интелектуално	N;PL	ADV
elia	илия	elia	илия	N;MASC;SG	PROPN;INDF;MASC;SG
elia	илия	elia	илия	N;MASC;SG	PROPN;INDF;MASC;SG
elia	елиас	elia	елиас	N;MASC;SG	PROPN;INDF;MASC;SG
bersaglio	целева	bersaglio	целев	N;MASC;SG	ADJ;INDF;FEM;SG
bersaglio	мишена	bersaglio	мишен	N;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
manifesto	явна	manifesto	явен	N;MASC;SG	ADJ;INDF;FEM;SG
raw	сурово	raw	суров	N;MASC	ADV
raw	сурови	raw	суров	N;MASC	ADJ;INDF;PL
raw	суров	raw	суров	N;MASC	ADJ;INDF;MASC;SG
raw	сурова	raw	суров	N;MASC	ADJ;INDF;FEM;SG
raw	необработен	raw	необработен	N;MASC	ADJ;INDF;MASC;SG
illustri	знаменит	illustrare	знаменит	N;MASC;PL	ADJ;INDF;MASC;SG
illustri	изтъкнат	illustrare	изтъкна	N;MASC;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
illustri	изтъкнати	illustrare	изтъкна	N;MASC;PL	V;PFV;INDF;PL;V.PTCP;PASS
integrato	интегриран	integrato	интегрирам	ADJ;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
integrato	интегрирано	integrato	интегрирам	ADJ;MASC;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
integrato	интегрирана	integrato	интегрирам	ADJ;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
integrato	интегрирани	integrato	интегрирам	ADJ;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
integrato	вградени	integrato	вграда	ADJ;MASC;SG	ADJ;INDF;PL
perfino	дори	perfino	дори	ADV	PART
perfino	даже	perfino	даже	ADV	PART
watson	уотсън	watson	уотсън	N;MASC;SG	PROPN;INDF;MASC;SG
finanziaria	финансов	finanziaria	финансов	N;FEM;SG	ADJ;INDF;MASC;SG
finanziaria	финансова	finanziaria	финансов	N;FEM;SG	ADJ;INDF;FEM;SG
finanziaria	финансово	finanziaria	финансово	N;FEM;SG	ADV
finanziaria	финансови	finanziaria	финансов	N;FEM;SG	ADJ;INDF;PL
reynolds	рейнолдс	reynolds	рейнолдс	N;MASC;SG	PROPN;INDF;MASC;SG
für	für	für	für		PROPN;INDF;MASC;SG
separati	разделен	separare	разделя-(се)	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
separati	отделни	separare	отделен	V;MASC;PL;PST;V.PTCP	ADJ;INDF;PL
separati	отделно	separare	отделно	V;MASC;PL;PST;V.PTCP	ADV
separati	отделна	separare	отделен	V;MASC;PL;PST;V.PTCP	ADJ;INDF;FEM;SG
separati	отделен	separare	отделен	V;MASC;PL;PST;V.PTCP	ADJ;INDF;MASC;SG
continuato	продължение	continuare	продължение	V;MASC;SG;PST;V.PTCP	N;INDF;NEUT;SG
continuato	продължаване	continuare	продължаване	V;MASC;SG;PST;V.PTCP	N;INDF;NEUT;SG
sandra	сандра	sandra	сандра	N;FEM;SG	PROPN;INDF;FEM;SG
soggiorno	остани	soggiorno	остана	N;MASC;SG	V;PFV;IMP;SG;2;FIN
magico	магии	magico	магия	ADJ;MASC;SG	N;INDF;FEM;PL
magico	вълшебство	magico	вълшебство	ADJ;MASC;SG	N;INDF;NEUT;SG
magico	магия	magico	магия	ADJ;MASC;SG	N;INDF;FEM;SG
magico	вълшебно	magico	вълшебен	ADJ;MASC;SG	ADV
magico	магическо	magico	магически	ADJ;MASC;SG	ADV
bach	бах	bach	съм	N;MASC;PL	PROPN;INDF;MASC;SG
phillips	филипс	phillips	филипс	N;MASC;SG	PROPN;INDF;MASC;SG
giocate	играе	giocare	играя	V;FEM;PL;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
giocate	играй	giocare	играй	V;FEM;PL;PST;V.PTCP	V;IPFV;IMP;SG;2;FIN
giocate	свири	giocare	свиря	V;FEM;PL;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
giocate	игра	giocare	игра	V;FEM;PL;PST;V.PTCP	N;INDF;FEM;SG
indiani	индианец	indiano	индианец	N;MASC;PL	N;INDF;MASC;SG
indiani	индиец	indiano	индиец	N;MASC;PL	N;INDF;MASC;SG
indiani	индийско	indiano	индийски	N;MASC;PL	ADV
indiani	индийски	indiano	индийски	N;MASC;PL	ADJ;INDF;MASC;SG
indiani	индийска	indiano	индийски	N;MASC;PL	ADJ;INDF;FEM;SG
biagio	блез	biagio	блез	N;MASC;SG	PROPN;INDF;MASC;SG
giganti	гигантски	gigante	гигантски	N;MASC;PL	ADJ;INDF;MASC;SG
giganti	великан	gigante	велик	N;MASC;PL	ADJ;INDF;MASC;SG
giganti	гигант	gigante	гигант	N;MASC;PL	N;INDF;MASC;SG
giganti	гигантска	gigante	гигантски	N;MASC;PL	ADJ;INDF;FEM;SG
rimosso	премахнат	rimuovere	премахна	V;MASC;SG;PST;V.PTCP	V;PFV;IND;PL;3;PRS;FIN;ACT
rimosso	премахнати	rimuovere	премахна	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
rimosso	отстранени	rimuovere	отстраня-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
traduzioni	превод	traduzione	превод	N;FEM;PL	N;INDF;MASC;SG
happy	щастлив	happy	щастлив	N	ADJ;INDF;MASC;SG
happy	щастливи	happy	щастлив	N	ADJ;INDF;PL
happy	щастлива	happy	щастлив	N	ADJ;INDF;FEM;SG
happy	щастливо	happy	щастлив	N	ADV
happy	хепи	happy	хеп	N	INTJ
voll	voll	volle	voll	N	PROPN;INDF;MASC;SG
accompagnamento	съпътстващи	accompagnamento	съпътствам	N;MASC;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
accompagnamento	придружаващи	accompagnamento	придружавам	N;MASC;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
minerali	руда	minerale	руда	N;MASC;PL	N;INDF;FEM;SG
minerali	минерална	minerale	минерален	N;MASC;PL	ADJ;INDF;FEM;SG
minerali	минерални	minerale	минерален	N;MASC;PL	ADJ;INDF;PL
fissa	фиксирани	fissare	фиксирам	V;IND;SG;3;PRS;FIN	V;PFV;INDF;PL;V.PTCP;PASS
distinguere	отличителен	distinguere	отличителен	V;NFIN	ADJ;INDF;MASC;SG
bmw	бмв	bmw	бмв	N	PROPN;INDF;NEUT;SG
bmw	bmw	bmw	bmw	N	PROPN;INDF;NEUT;SG
adolfo	адолфо	adolfo	адолфо	N;MASC;SG	PROPN;INDF;MASC;SG
installazione	инсталации	installazione	инсталация	N;FEM;SG	N;INDF;FEM;PL
spin	завърти	spino	завъртя-(се)	N;MASC	V;PFV;IMP;SG;2;FIN
applicata	приложени	applicare	приложа	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
monferrato	монферат	monferrato	монфера	ADJ;MASC;SG	N;INDF;FEM;SG
monferrato	monferrato	monferrato	monferrato	ADJ;MASC;SG	PROPN;INDF;MASC;SG
esposti	изложен	esporre	изложа-(се)	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
esposti	разкрита	esporre	разкрия-(се)	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
leon	лион	leon	лион	N;SG	PROPN;INDF;MASC;SG
leon	леон	leon	леон	N;SG	PROPN;INDF;MASC;SG
colli	colli	collo	colli	N;MASC;PL	PROPN;INDF;MASC;SG
colli	хилс	collo	хилс	N;MASC;PL	PROPN;INDF;MASC;SG
assi	аса	assi	аса	N;MASC;PL	PROPN;INDF;FEM;SG
rodríguez	родригес	rodríguez	родригес	N;MASC;SG	PROPN;INDF;MASC;SG
rodríguez	родригез	rodríguez	родригез	N;MASC;SG	PROPN;INDF;MASC;SG
rodríguez	родригес	rodríguez	родригес	N;MASC;SG	PROPN;INDF;MASC;SG
compleanno	рожден	compleanno	рожден	N;MASC;SG	ADJ;INDF;MASC;SG
ernest	ърнест	ernest	ърнест	N;MASC;SG	PROPN;INDF;MASC;SG
severo	сивиръс	severo	сивиръс	ADJ;MASC;SG	N;INDF;MASC;SG
severo	тежки	severo	тежък	ADJ;MASC;SG	ADJ;INDF;PL
severo	стърн	severo	стърн	ADJ;MASC;SG	PROPN;INDF;MASC;SG
severo	кърма	severo	кърм	ADJ;MASC;SG	N;INDF;FEM;SG
return	връщане	return	връщане		N;INDF;NEUT;SG
return	завръщане	return	завръщане		N;INDF;NEUT;SG
attraversato	палци	attraversare	палец	V;MASC;SG;PST;V.PTCP	N;INDF;MASC;PL
attraversato	кръстосани	attraversare	кръстосам	V;MASC;SG;PST;V.PTCP	N;INDF;MASC;PL
adatta	подходящи	adattare	подходящ	ADJ;FEM;SG	ADJ;INDF;PL
adatta	подходящо	adattare	подходящ	ADJ;FEM;SG	ADV
adatta	годни	adattare	годен	ADJ;FEM;SG	ADJ;INDF;PL
wagner	уагнър	wagner	уагнър	N;MASC;SG	PROPN;INDF;MASC;SG
promosse	повишен	promuovere	повиша-(се)	V;FEM;PL;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
cristallo	кристална	cristallo	кристален	N;MASC;SG	ADJ;INDF;FEM;SG
cristallo	кристално	cristallo	кристално	N;MASC;SG	ADV
secco	суха	secco	сух	N;MASC;SG	ADJ;INDF;FEM;SG
secco	сухи	secco	сух	N;MASC;SG	ADJ;INDF;PL
secco	сухо	secco	сухо	N;MASC;SG	ADV
secco	сух	secco	сух	N;MASC;SG	ADJ;INDF;MASC;SG
body	телесно	body	телесно	N	ADV
cancellazioni	отмяна	cancellazione	отмяна	N;FEM;PL	N;INDF;FEM;SG
cancellazioni	анулиране	cancellazione	анулиране	N;FEM;PL	N;INDF;NEUT;SG
dit	дит	dit	дит		N;INDF;MASC;SG
ronald	роналд	ronald	роналд	N;MASC;SG	PROPN;INDF;MASC;SG
retro	ретро	retro	ретро	N;MASC;SG	ADJ
harvey	харви	harvey	харвя	N;MASC;SG	PROPN;INDF;MASC;SG
isaac	айзък	isaac	айзък	N;SG	PROPN;INDF;MASC;SG
hunt	хънт	hunt	хънт	N	PROPN;INDF;MASC;SG
testimone	свидетели	testimone	свидетел	N;MASC;SG	N;INDF;MASC;PL
lontana	далечно	lontano	далечен	ADJ;FEM;SG	ADV
lontana	далечни	lontano	далечен	ADJ;FEM;SG	ADJ;INDF;PL
tele	теле	tela	аз	N;FEM;PL	N;INDF;NEUT;SG
palmer	палмър	palmer	палмър	N	PROPN;INDF;MASC;SG
