die	do	die	do	DET;DEF	PROPN
oos	este	oos	este		DET
oos	do	oos	do		PROPN
oos	próximo	oos	próximo		ADJ
tyd	son	tyd	ser	N;SG	V
tyd	estou	tyd	estar	N;SG	V
geword	nunha	word	nunha	V;PST;FIN	N
geword	ser	word	ser	V;PST;FIN	V
geword	en	word	en	V;PST;FIN	ADP
geword	se	word	se	V;PST;FIN	CONJ
geword	foi	word	ser	V;PST;FIN	V
geword	a	word	o	V;PST;FIN	DET
geword	converteuse	word	converteuse	V;PST;FIN	V
geword	nunha	word	nunha	V;PST;FIN	N
geword	nun	word	nun	V;PST;FIN	PROPN
geword	en	word	en	V;PST;FIN	ADP
geword	se	word	se	V;PST;FIN	CONJ
geword	converteu	word	converter	V;PST;FIN	V
verskeie	varias	verskeie	varios	ADJ;NOM	DET
verskeie	varios	verskeie	varios	ADJ;NOM	DET
verskeie	con	verskeie	con	ADJ;NOM	ADP
verenigde	dos	verenig	dos	ADJ;NOM	PROPN
verenigde	nos	verenig	nos	ADJ;NOM	PRO
verenigde	unidos	verenig	unir	ADJ;NOM	V
verenigde	unidas	verenig	unir	ADJ;NOM	V
verenigde	ficade	verenig	ficade	ADJ;NOM	PROPN
verenigde	ee	verenig	ee	ADJ;NOM	PROPN
verenigde	eua	verenig	eua	ADJ;NOM	PROPN
mei	poden	mei	poder		V
mei	pode	mei	poder		V
mei	maio	mei	maio		N
mei	que	mei	que		PRO
mei	podo	mei	podar		V
wes	oeste	wes	oeste		N
wes	occidente	wes	occidente		N
wes	occidental	wes	occidental		ADJ
wes	do	wes	do		PROPN
wes	da	wes	da		V
wes	west	wes	west		PROPN
vorm	forma	vorm	forma	V;PRS	N
vorm	dunha	vorm	dunha	V;PRS	N
staan	de	staan	de	V;PRS	ADP
staan	pé	staan	pé	V;PRS	N
staan	estaba	staan	estar	V;PRS	V
staan	parados	staan	parado	V;PRS	N
staan	pé	staan	pé	V;PRS	N
dan	e	dan	e	ADV	CONJ
bevolking	mundial	bevolking	mundial	N;SG	ADJ
gemaak	feito	maak	feito	V;PST;V.PTCP	N
gebou	edificio	bou	edificio	V;PST;V.PTCP	N
gebou	construción	bou	construción	V;PST;V.PTCP	N
januarie	xaneiro	januarie	xaneiro		N
januarie	de	januarie	de		ADP
januarie	manual	januarie	manual		ADJ
geen	non	geen	non	NUM	PART
geen	hai	geen	haber	NUM	V
junie	xuño	junie	xuño		N
amerikaanse	americanos	amerikaans	americano	ADJ;NOM	N
slegs	único	slegs	único	ADV	ADJ
slegs	única	slegs	único	ADV	ADJ
slegs	de	slegs	de	ADV	ADP
nadat	tras	nadat	tras	CONJ	ADP
nadat	de	nadat	de	CONJ	ADP
nadat	despois	nadat	despois	CONJ	ADV
nadat	logo	nadat	logo	CONJ	ADV
april	abril	april	abril		N
april	de	april	de		ADP
lank	alto	lank	alto	ADV	ADJ
lank	alta	lank	alto	ADV	ADJ
lank	longo	lank	longo	ADV	ADJ
lank	longa	lank	longo	ADV	ADJ
lank	tempo	lank	tempo	ADV	N
oktober	outubro	oktober	outubro		N
oktober	de	oktober	de		ADP
julie	xullo	julie	xullo		N
julie	de	julie	de		ADP
sedert	xa	sedert	xa	ADP	ADV
sedert	que	sedert	que	ADP	PRO
september	setembro	september	setembro		N
september	de	september	de		ADP
engels	inglés	engels	inglés		N
engels	ingleses	engels	inglese		N
engels	inglesa	engels	inglesa		ADJ
party	festa	party	festa	V;PRS	N
party	partido	party	partido	V;PRS	N
desember	decembro	desember	decembro		N
desember	de	desember	de		ADP
maart	marzo	maart	marzo		N
maart	de	maart	de		ADP
maart	marcha	maart	marcha		N
augustus	de	augustus	de		ADP
augustus	agosto	augustus	agosto		N
gevolg	seguido	gevolg	seguir	N;SG	V
gevolg	o	gevolg	o	N;SG	DET
gevolg	seguiron	gevolg	seguir	N;SG	V
gevolg	seguín	gevolg	seguir	N;SG	V
februarie	febreiro	februarie	febreiro		N
februarie	de	februarie	de		ADP
gaan	ir	gaan	ir		V
gaan	vou	gaan	var		V
gaan	vai	gaan	ir		V
gaan	imos	gaan	ir		V
gaan	vas	gaan	ir		V
dus	que	dus	que	ADV	PRO
meeste	a	baie	o		DET
meeste	maioría	baie	maioría		N
meeste	parte	baie	parte		N
meeste	máis	baie	máis		ADV
provinsie	do	provinsie	do	N;SG	PROPN
provinsie	do	provinsie	do	N;SG	PROPN
provinsie	o	provinsie	o	N;SG	DET
provinsie	nado	provinsie	nacer	N;SG	V
universiteit	de	universiteit	de	N;SG	ADP
universiteit	da	universiteit	da	N;SG	V
universiteit	universitaria	universiteit	universitario	N;SG	ADJ
beskou	conta	beskou	conta	V;PRS	N
beskou	considerade	beskou	considerade	V;PRS	N
beskou	os	beskou	o	V;PRS	DET
beskou	en	beskou	en	V;PRS	ADP
lewe	a	lewe	o	N;SG	DET
vier	catro	vier	catro	V;PRS	N
vier	4	vier	4	V;PRS	NUM
november	novembro	november	novembro		N
november	de	november	de		ADP
franse	franceses	frans	francese	ADJ;NOM	N
franse	francés	frans	francés	ADJ;NOM	N
dood	a	dood	o	N;SG	DET
dood	morreu	dood	morrer	N;SG	V
koning	king	koning	king		PROPN
koning	rei	koning	rei		PROPN
koning	o	koning	o		DET
koning	xurxo	koning	xurxo		N
moes	tiña	moet	ter	V;PST;FIN	V
moes	que	moet	que	V;PST;FIN	PRO
moes	tiven	moet	ter	V;PST;FIN	V
dieselfde	mesmo	dieselfde	mesmo	ADJ;NOM	DET
dieselfde	mesmas	dieselfde	mesmo	ADJ;NOM	DET
dieselfde	mesma	dieselfde	mesmo	ADJ;NOM	DET
volgende	próxima	volg	próximo	N;SG	ADJ
volgende	ao	volg	ao	N;SG	PROPN
volgende	seguinte	volg	seguinte	N;SG	ADJ
volgende	próximo	volg	próximo	N;SG	ADJ
volgende	o	volg	o	N;SG	DET
geleë	atópanse	geleë	atópanse		PROPN
miljoen	millóns	miljoen	millón	NUM	N
miljoen	de	miljoen	de	NUM	ADP
miljoen	millón	miljoen	millón	NUM	N
plaaslike	local	plaaslik	local	ADJ;NOM	N
plaaslike	locais	plaaslik	local	ADJ;NOM	N
plaaslike	o	plaaslik	o	ADJ;NOM	DET
plaaslike	de	plaaslik	de	ADJ;NOM	ADP
regs	ben	regs	ben	ADP	ADV
dikwels	a	dikwels	o	ADV	DET
dikwels	miúdo	dikwels	miúdo	ADV	N
dikwels	veces	dikwels	vez	ADV	N
internasionale	international	internasionaal	international	ADJ;NOM	PROPN
eie	propio	eie	propio	ADJ;NOM	DET
eie	propia	eie	propio	ADJ;NOM	DET
eie	seu	eie	seu	ADJ;NOM	DET
voëls	as	voël	o	N;PL	DET
eers	primeiro	eers	primeiro		ADJ
eers	primeira	eers	primeiro		ADJ
steeds	segue	steeds	seguir	ADV	V
groep	de	groep	de	N;SG	ADP
stel	conxunto	stel	conxunto	V;PRS	N
sluit	de	sluit	de	V;PRS	ADP
sluit	non	sluit	non	V;PRS	PART
sluit	preto	sluit	preto	V;PRS	ADV
frankryk	francia	frankryk	francia		N
frankryk	franza	frankryk	franza		N
naby	preto	naby	preto	ADP	ADV
naby	do	naby	do	ADP	PROPN
naby	da	naby	da	ADP	V
naby	preto	naby	preto	ADP	ADV
hoofstad	capitol	hoofstad	capitol	N;SG	PROPN
hoofstad	o	hoofstad	o	N;SG	DET
verwys	a	verwys	o	V;PRS	DET
verwys	refírense	verwys	refírense	V;PRS	PROPN
state	unidos	staat	unir	N;PL	V
state	ee	staat	ee	N;PL	PROPN
state	uu	staat	uu	N;PL	PROPN
state	eua	staat	eua	N;PL	PROPN
einde	a	einde	o	N;SG	DET
einde	terminar	einde	terminar	N;SG	V
einde	rematar	einde	rematar	N;SG	V
einde	acabar	einde	acabar	N;SG	V
duitsland	alemaña	duitsland	alemaña	N;SG	PROPN
regering	do	regering	do	N;SG	PROPN
elke	os	elk	o	PRO	DET
elke	as	elk	o	PRO	DET
elke	todos	elk	todo	PRO	DET
elke	cada	elk	cada	PRO	DET
elke	todas	elk	todo	PRO	DET
kaap	o	kaap	o		DET
kaap	cabo	kaap	cabo		N
wanneer	se	wanneer	se	PRO	CONJ
oorlog	a	oorlog	o	N;SG	DET
laaste	último	laaste	último	DET	ADJ
laaste	últimos	laaste	último	DET	ADJ
laaste	pasado	laaste	pasado	DET	ADJ
laaste	última	laaste	último	DET	ADJ
laaste	onte	laaste	onte	DET	ADV
politieke	políticas	politiek	política	ADJ;NOM	N
politieke	políticos	politiek	político	ADJ;NOM	N
politieke	política	politiek	política	ADJ;NOM	N
besluit	decisión	besluit	decisión	V;PRS	N
ryk	ricos	ryk	rico		ADJ
ryk	rica	ryk	rico		ADJ
ryk	rico	ryk	rico		ADJ
sommige	algo	sommige	algo	DET	PRO
sommige	de	sommige	de	DET	ADP
gewoonlik	habitualmente	gewoonlik	habitual		ADV
gewoonlik	normalmente	gewoonlik	normal		ADV
gewoonlik	adoita	gewoonlik	adoitar		V
gewoonlik	xeral	gewoonlik	xeral		ADJ
gewoonlik	adoitan	gewoonlik	adoitar		V
gewoonlik	normalmente	gewoonlik	normal		ADV
geskiedenis	da	geskiedenis	da	N;SG	V
vis	pescar	vis	pescar	N;SG	V
plaas	granxa	plaas	granxa	V;PRS	N
plaas	a	plaas	o	V;PRS	DET
plaas	campo	plaas	campo	V;PRS	N
plaas	leira	plaas	leira	V;PRS	N
plaas	casa	plaas	casa	V;PRS	N
plaas	reserva	plaas	reserva	V;PRS	N
plaas	posto	plaas	posto	V;PRS	N
plaas	poste	plaas	postar	V;PRS	N
plaas	correos	plaas	correo	V;PRS	N
plaas	correo	plaas	correo	V;PRS	N
plaas	de	plaas	de	V;PRS	ADP
ontwikkel	o	ontwikkel	o	V;PRS	DET
lande	dos	land	dos	N;PL	PROPN
algemene	xeral	algemeen	xeral	ADV	ADJ
algemene	xeneral	algemeen	xeneral	ADV	N
algemene	o	algemeen	o	ADV	DET
europa	europa	europa	europa		PROPN
europa	en	europa	en		ADP
kinders	os	kind	o	N;PL	DET
kinders	cativos	kind	cativo	N;PL	ADJ
kinders	os	kind	o	N;PL	DET
kinders	cativos	kind	cativo	N;PL	ADJ
gedurende	na	gedurende	na	ADP	N
neem	a	neem	o	V;PRS	DET
tans	estamos	tans	estar	ADV	V
tans	neste	tans	neste	ADV	PROPN
tans	momento	tans	momento	ADV	N
tans	presentar	tans	presentar	ADV	V
tans	actual	tans	actual	ADV	ADJ
tans	presente	tans	presente	ADV	ADJ
tans	presentes	tans	presente	ADV	ADJ
tans	agasallo	tans	agasallo	ADV	N
kort	pouco	kort	pouco		ADV
kort	curto	kort	curto		ADJ
kort	curta	kort	curto		ADJ
kort	curtas	kort	curto		N
self	presente	self	presente	PRO;SG;3;REFL	ADJ
mens	humanos	mens	humano		ADJ
mens	humana	mens	humano		ADJ
mens	humano	mens	humano		ADJ
binne	dentro	binne	dentro	ADP	ADV
binne	interior	binne	interior	ADP	ADJ
binne	no	binne	no	ADP	V
binne	dentro	binne	dentro	ADP	ADV
binne	nos	binne	nos	ADP	PRO
binne	dun	binne	dun	ADP	PROPN
swart	negra	swart	negro		N
swart	negro	swart	negro		N
swart	negros	swart	negro		N
moontlik	posible	moontlik	posible	ADV	ADJ
moontlik	sexa	moontlik	ser	ADV	V
moontlik	posíbel	moontlik	posíbel	ADV	ADJ
selfs	nin	selfs	nin	ADV	CONJ
selfs	mesmo	selfs	mesmo	ADV	DET
enige	calquera	enig	calquera	PRO	DET
enige	máis	enig	máis	PRO	ADV
enige	ningún	enig	ningún	PRO	DET
gehou	lle	hou	lle	V;PST;V.PTCP	PRO
gehou	me	hou	me	V;PST;V.PTCP	PRO
gehou	gustáballe	hou	gustáballe	V;PST;V.PTCP	N
per	ao	per	ao	ADP	PROPN
per	miligramos	per	miligrar	ADP	V
per	cada	per	cada	ADP	DET
vroeë	cedo	vroeg	cedo	ADJ;NOM	ADV
familie	familiar	familie	familiar	N;SG	ADJ
voorkom	que	voorkom	que	V;PRS	PRO
mag	poden	mag	poder	V;PRS	V
mag	pode	mag	poder	V;PRS	V
mag	maio	mag	maio	V;PRS	N
mag	que	mag	que	V;PRS	PRO
mag	podo	mag	podar	V;PRS	V
eiland	island	eiland	island	N;SG	PROPN
volg	pista	volg	pistar	V;PRS	N
volg	track	volg	track	V;PRS	PROPN
volg	camiño	volg	camiño	V;PRS	N
volg	rastro	volg	rastro	V;PRS	N
volg	cambios	volg	cambio	V;PRS	N
volg	hipódromo	volg	hipódromo	V;PRS	N
volg	seguintes	volg	seguinte	V;PRS	ADJ
volg	seguinte	volg	seguinte	V;PRS	ADJ
soms	veces	soms	vez	PART	N
soms	ás	soms	á	PART	N
engeland	inglaterra	engeland	inglaterra		N
johannes	john	johannes	jo		PROPN
vyf	cinco	vyf	cinco	NUM	N
ontwerp	deseño	ontwerp	deseño	V;PRS	N
aarde	da	aarde	da	N;SG	V
aarde	earth	aarde	earth	N;SG	PROPN
paar	poucos	paar	pouco		DET
paar	poucas	paar	pouco		DET
paar	uns	paar	un		DET
paar	algunhas	paar	algún		DET
paar	algúns	paar	algún		DET
paar	unhas	paar	un		DET
rol	rol	rol	rol	N;SG	PROPN
rol	dados	rol	dar	N;SG	V
rol	o	rol	o	N;SG	DET
rol	roll	rol	roll	N;SG	PROPN
vrou	unha	vrou	un	N;SG	DET
derde	terzo	derde	terzo	ADJ;NOM	N
john	john	john	jo		PROPN
moderne	modernos	modern	moderno	N;SG	ADJ
moderne	moderna	modern	moderno	N;SG	ADJ
moderne	as	modern	o	N;SG	DET
moderne	modernas	modern	moderno	N;SG	ADJ
moderne	moderno	modern	moderno	N;SG	ADJ
groter	máis	groot	máis	V;PRS	ADV
groter	grandes	groot	grande	V;PRS	ADJ
groter	grande	groot	grande	V;PRS	ADJ
groter	maior	groot	maior	V;PRS	ADJ
groter	máis	groot	máis	V;PRS	ADV
groter	ampla	groot	amplo	V;PRS	ADJ
president	o	president	o	N;SG	DET
tale	as	taal	o	N;PL	DET
tale	faladas	taal	falar	N;PL	V
bly	encantado	bly	encantar	V;PRS	V
bly	de	bly	de	V;PRS	ADP
bly	que	bly	que	V;PRS	PRO
bly	alégrame	bly	alégrame	V;PRS	ADV
bly	alégrome	bly	alégrome	V;PRS	V
bly	quedar	bly	quedar	V;PRS	V
bly	ficar	bly	ficar	V;PRS	V
bly	queda	bly	quedar	V;PRS	V
amerika	américa	amerika	américar	N;SG	PROPN
amerika	ee	amerika	ee	N;SG	PROPN
amerika	america	amerika	americar	N;SG	PROPN
amerika	unidos	amerika	unir	N;SG	V
amerika	uu	amerika	uu	N;SG	PROPN
amerika	nos	amerika	nos	N;SG	PRO
hoewel	aínda	hoewel	aínda	CONJ	ADV
hoewel	que	hoewel	que	CONJ	PRO
hoewel	non	hoewel	non	CONJ	PART
hoewel	pero	hoewel	pero	CONJ	CONJ
weens	debido	weens	deber	ADP	V
weens	ao	weens	ao	ADP	PROPN
weens	cando	weens	cando	ADP	PRO
weens	a	weens	o	ADP	DET
weens	mor	weens	mor	ADP	N
weens	débeda	weens	débeda	ADP	N
vandag	día	vandag	día	ADV	N
ekonomiese	o	ekonomies	o	ADJ;NOM	DET
aanvaar	aceptalo	aanvaar	aceptalo	V;PRS	N
aanvaar	acepto	aanvaar	acepto	V;PRS	
hou	o	hou	o	V;PRS	DET
hou	a	hou	o	V;PRS	DET
geskryf	escrito	skryf	escrito	V;PST;V.PTCP	N
geskryf	o	skryf	o	V;PST;V.PTCP	DET
hele	todo	heel	todo	ADJ;NOM	DET
hele	toda	heel	todo	ADJ;NOM	DET
hele	a	heel	o	ADJ;NOM	DET
hele	enteiro	heel	enteiro	ADJ;NOM	N
hele	toda	heel	todo	ADJ;NOM	DET
hele	todo	heel	todo	ADJ;NOM	DET
hele	enteiro	heel	enteiro	ADJ;NOM	N
hele	a	heel	o	ADJ;NOM	DET
see	mar	see	mar		N
verander	cambios	verander	cambio	V;PRS	N
verander	os	verander	o	V;PRS	DET
verander	cambio	verander	cambio	V;PRS	N
bereik	ao	bereik	ao	V;PRS	PROPN
bereik	a	bereik	o	V;PRS	DET
russiese	ruso	russies	ruso	ADJ;NOM	N
weg	lonxe	weg	lonxe		ADV
beteken	que	beteken	que	V;PRS	PRO
beteken	medios	beteken	medio	V;PRS	N
man	o	man	o	N;SG	DET
man	meu	man	meu	N;SG	DET
besoek	impresión	besoek	impresión	V;PRS	N
besoek	visita	besoek	visita	V;PRS	N
doen	que	doen	que	V;PRS	PRO
gespeel	o	speel	o	V;PST;V.PTCP	DET
gespeel	papel	speel	papel	V;PST;V.PTCP	N
beste	mellores	goed	mellor		ADJ
beste	mellor	goed	mellor		ADJ
rusland	rusia	rusland	rusia		PROPN
rooi	comunistas	rooi	comunista		N
rooi	vermello	rooi	vermello		N
rooi	vermella	rooi	vermello		N
rooi	vermellos	rooi	vermello		N
rooi	roxa	rooi	roxa		N
rooi	comunista	rooi	comunista		N
skryf	queimade	skryf	queimade	V;PRS	N
suidelike	do	suidelik	do	ADJ;NOM	PROPN
suidelike	sur	suidelik	sur	ADJ;NOM	N
alhoewel	aínda	alhoewel	aínda	CONJ	ADV
alhoewel	que	alhoewel	que	CONJ	PRO
alhoewel	non	alhoewel	non	CONJ	PART
alhoewel	pero	alhoewel	pero	CONJ	CONJ
gekry	que	kry	que	V;PST;V.PTCP	PRO
sodat	así	sodat	así	CONJ	ADV
sodat	que	sodat	que	CONJ	PRO
sodat	entón	sodat	entón	CONJ	ADV
sodat	tan	sodat	tan	CONJ	ADV
hoë	instituto	hoog	instituto		N
hoë	altos	hoog	alto		N
hoë	alto	hoog	alto		ADJ
hoë	alta	hoog	alto		ADJ
sterk	forte	sterk	forte		ADJ
sterk	fortes	sterk	forte		ADJ
africa	áfrica	africa	áfrica		PROPN
africa	sudáfrica	africa	sudáfricar		ADJ
londen	londres	londen	londres		N
londen	london	londen	london		PROPN
reeks	de	reeks	de	N;SG	ADP
speel	xogo	speel	xogo	V;PRS	N
wil	quero	wil	quero	V;PRS	V
wil	queremos	wil	querer	V;PRS	V
wil	quere	wil	querer	V;PRS	V
wil	queren	wil	querer	V;PRS	V
wil	queres	wil	quere	V;PRS	V
minder	menos	min	menos		ADV
gelei	á	lei	á	V;PST;V.PTCP	N
gegee	lle	gee	lle	V;PST;V.PTCP	PRO
gegee	a	gee	o	V;PST;V.PTCP	DET
gegee	se	gee	se	V;PST;V.PTCP	CONJ
streek	do	streek	do	N;SG	PROPN
streek	sudeste	streek	sudeste	N;SG	PROPN
gesien	ver	gesien	ver		V
gesien	viron	gesien	ver		V
gesien	visto	gesien	ver		V
gesien	vin	gesien	ver		V
gesien	vira	gesien	vir		V
gesien	viches	gesien	viche		V
mees	a	baie	o	ADV;RL	DET
mees	maioría	baie	maioría	ADV;RL	N
mees	parte	baie	parte	ADV;RL	N
ses	seis	ses	seis	NUM	N
gedoen	feito	doen	feito	V;PST;V.PTCP	N
lede	do	lid	do	N;PL	PROPN
george	george	georg	george		PROPN
george	xurxo	georg	xurxo		N
iii	iii	iii	iii		PROPN
meter	metros	meter	metro		N
persent	cento	persent	cento	ADP	N
minister	cabinet	minister	cabinet	N;SG	PROPN
minister	o	minister	o	N;SG	DET
span	de	span	de	N;SG	ADP
ontwikkeling	da	ontwikkeling	da	N;SG	V
ontwikkeling	de	ontwikkeling	de	N;SG	ADP
ontwikkeling	xapón	ontwikkeling	xapón	N;SG	PROPN
frans	franceses	frans	francese		N
