que	那	que	那	PRO	DET
vale	all	valar	all	V	
van	她們	ir	她	V	PRO;PL;3
van	他們	ir	他	V	PRO;PL;3
van	它們	ir	它	V	PRO;PL;3
van	威爾	ir	威爾	V	PROPN
primeira	首先	primeiro	首先	ADJ	
primeira	第一	primeiro	第一	ADJ	NUM
mentres	久	mentres	久	ADV	N
mentres	長	mentres	長	ADV	PART
dar	你	dar	你	V	PRO;2
razón	為何	razón	為何	N	
razón	為	razón	為	N	ADP
razón	為	razón	為	N	ADP
ollos	雙	ollo	雙	N	NUM
ollos	你	ollo	你	N	PRO;2
ningún	無	ningún	無	DET	V
desde	來	desde	來	ADP	V
realmente	實際	real	實際	ADV	N
realmente	其	real	其	ADV	PRO;3
pensar	關於	pensar	關於	V	ADP
pensar	思維	pensar	思維	V	N
pensar	思考	pensar	思考	V	N
cal	一	cal	一	PRO	NUM
cal	one	cal	one	PRO	
cal	一	cal	一	PRO	NUM
irmán	哥	irmán	哥	N	PROPN
acordo	同意	acordo	同意	N	V
catro	四	catro	四	N	NUM
catro	四	catro	四	N	NUM
catro	四	catro	四	N	NUM
dentro	內	dentro	內	ADV	N
dentro	裡面	dentro	裡面	ADV	N
dentro	內心	dentro	內心	ADV	N
dentro	內部	dentro	內部	ADV	N
pasar	透過	pasar	透過	V	ADP
pasar	通過	pasar	通過	V	ADP
fin	終於	fin	終於	N	ADV
fin	結束	fin	結束	N	V
traballar	工作	traballar	工作	V	N
traballar	工作	traballar	工作	V	N
persoa	誰	persoa	誰	N	PRO
debería	應	deber	應	V	V
debería	你	deber	你	V	PRO;2
foron	她們	ser	她	V	PRO;PL;3
foron	他們	ser	他	V	PRO;PL;3
foron	它們	ser	它	V	PRO;PL;3
mesma	自己	mesmo	自己	DET	PRO
mesma	相同	mesmo	相同	DET	ADJ
neste	這	neste	這	PROPN	PRO
neste	這	neste	這	PROPN	DET
papá	父親	papá	父親	PROPN	N
papá	神父	papá	神父	PROPN	N
papá	父	papá	父	PROPN	N
millóns	百萬	millón	百萬	N	NUM
millóns	百萬	millón	百萬	N	NUM
millóns	億萬	millón	億萬	N	NUM
millóns	億	millón	億	N	PROPN
eran	她們	ser	她	V	PRO;PL;3
eran	他們	ser	他	V	PRO;PL;3
eran	它們	ser	它	V	PRO;PL;3
terra	地球	terra	地球	N	PROPN
algúns	一些	algún	一些	DET	ADJ
algúns	有些	algún	有些	DET	V
algunha	你	algún	你	DET	PRO;2
algunha	一些	algún	一些	DET	ADJ
algunha	有些	algún	有些	DET	V
algún	一些	algún	一些	DET	ADJ
algún	有些	algún	有些	DET	V
algún	一	algún	一	DET	NUM
algún	one	algún	one	DET	
algún	一	algún	一	DET	NUM
cinco	五	cinco	五	N	NUM
cinco	五	cinco	五	N	NUM
rapaz	boy	rapaz	boy	N	
rapaz	man	rapaz	man	N	
vén	從	vir	從	V	ADP
lado	一	lado	一	N	NUM
lado	下	lado	下	N	DET
volver	背	volver	背	V	
volver	回	volver	回	V	PROPN
volver	再次	volver	再次	V	ADV
cunha	一	cunha	一	PROPN	NUM
cunha	one	cunha	one	PROPN	
cunha	一	cunha	一	PROPN	NUM
contigo	你	contigo	你	ADV	PRO;2
contigo	聊	contigo	聊	ADV	V
mans	雙	man	雙	N	NUM
mans	你	man	你	N	PRO;2
volta	轉	volta	轉	N	
volta	圍繞	volta	圍繞	N	V
volta	圍繞	volta	圍繞	N	V
volta	背	volta	背	N	
volta	回	volta	回	N	PROPN
volta	再次	volta	再次	N	ADV
teus	你	teus	你	DET	PRO;2
teus	你	teus	你	DET	PRO;2
segundo	第二	segundo	第二	ADP	NUM
segundo	秒	segundo	秒	ADP	N
importa	護理	importar	護理	V	N
importa	關心	importar	關心	V	N
importa	頭腦	importar	頭腦	V	N
importa	心靈	importar	心靈	V	N
fan	她們	facer	她	V	PRO;PL;3
fan	他們	facer	他	V	PRO;PL;3
fan	它們	facer	它	V	PRO;PL;3
vivir	活	vivir	活	V	N
vivir	live	vivir	live	V	
medio	一半	medio	一半	N	NUM
medio	半	medio	半	N	PART
fas	你	fase	你	V	PRO;2
neno	boy	neno	boy	N	
morrer	死神	morrer	死神	V	N
realidade	其	realidade	其	N	PRO;3
vir	你	vir	你	V	PRO;2
pequeno	小型	pequeno	小型	ADJ	N
pequeno	小	pequeno	小	ADJ	PART
pequeno	小	pequeno	小	ADJ	PART
axiña	不久	axiña	不久	ADV	N
axiña	快速	axiña	快速	ADV	N
vello	老	vello	老	N	PART
vello	舊	vello	舊	N	ADJ
vello	舊	vello	舊	N	PART
vello	man	vello	man	N	
senón	但	senón	但	CONJ	ADV
senón	不過	senón	不過	CONJ	ADV
senón	但是	senón	但是	CONJ	ADV
difícil	難	difícil	難	ADJ	N
difícil	硬	difícil	硬	ADJ	PART
difícil	辛苦	difícil	辛苦	ADJ	N
difícil	困難	difícil	困難	ADJ	N
difícil	難	difícil	難	ADJ	N
difícil	艱難	difícil	艱難	ADJ	N
pensei	思想	pensar	思想	V	N
único	只	único	只	ADJ	ADV
único	只有	único	只有	ADJ	ADP
único	一	único	一	ADJ	NUM
único	one	único	one	ADJ	
único	一	único	一	ADJ	NUM
único	全部	único	全部	ADJ	DET
único	所有	único	所有	ADJ	DET
único	all	único	all	ADJ	
gusta	讚	gusto	讚	V	
gusta	就	gusto	就	V	ADV
gusta	像	gusto	像	V	ADP
gusta	唐	gusto	唐	V	PROPN
gusta	don	gusto	don	V	
cuarto	房間	cuarto	房間	ADJ	N
cuarto	房	cuarto	房	ADJ	N
cuarto	第四	cuarto	第四	ADJ	NUM
semana	周	semanar	周	N	PROPN
xuntos	在	xunto	在	ADJ	V
xuntos	一起	xunto	一起	ADJ	N
matar	殺戮	matar	殺戮	V	N
comer	動態	comer	動態	V	N
comer	飼料	comer	飼料	V	N
comer	食	comer	食	V	N
diso	那	diso	那	PRO	DET
diso	關於	diso	關於	PRO	ADP
adeus	拜拜	adeus	拜拜	PROPN	V
adeus	拜	adeus	拜	PROPN	PROPN
deste	這	deste	這	PROPN	PRO
deste	這	deste	這	PROPN	DET
igual	只要	igual	只要	ADV	ADP
igual	讚	igual	讚	ADV	
igual	像	igual	像	ADV	ADP
igual	喜歡	igual	喜歡	ADV	V
igual	相同	igual	相同	ADV	ADJ
igual	護理	igual	護理	ADV	N
igual	關心	igual	關心	ADV	N
parís	巴黎	parí	巴黎	PROPN	PROPN
levar	戴	levar	戴	V	N
levar	穿	levar	穿	V	
maior	大	maior	大	ADJ	PART
maior	大多	maior	大多	ADJ	ADV
maior	大	maior	大	ADJ	ADV
maior	少校	maior	少校	ADJ	N
maior	主要	maior	主要	ADJ	ADV
maior	主修	maior	主修	ADJ	V
maior	年長	maior	年長	ADJ	N
maior	老年	maior	老年	ADJ	N
quizais	may	quizais	may	ADV	
quizais	梅	quizais	梅	ADV	PROPN
quizais	五	quizais	五	ADV	NUM
quizais	五	quizais	五	ADV	NUM
estaban	她們	estar	她	V	PRO;PL;3
estaban	他們	estar	他	V	PRO;PL;3
estaban	它們	estar	它	V	PRO;PL;3
desta	這	desta	這	PROPN	PRO
desta	這	desta	這	PROPN	DET
soa	一	só	一	DET	NUM
soa	one	só	one	DET	
soa	一	só	一	DET	NUM
soa	單	só	單	DET	NUM
soa	單人	só	單人	DET	N
soa	單身	só	單身	DET	N
soa	單	só	單	DET	NUM
queren	她們	querer	她	V	PRO;PL;3
queren	他們	querer	他	V	PRO;PL;3
queren	它們	querer	它	V	PRO;PL;3
queren	想要	querer	想要	V	
queren	你	querer	你	V	PRO;2
grandes	big	grande	big	ADJ	
grandes	大	grande	大	ADJ	PART
grandes	棒	grande	棒	ADJ	N
grandes	大型	grande	大型	ADJ	N
feliz	高興	feliz	高興	N	ADV
feliz	happy	feliz	happy	N	
significa	那	significar	那	V	DET
polas	透過	pola	透過	N	ADP
polas	通過	pola	通過	N	ADP
forte	強大	forte	強大	ADJ	N
forte	強	forte	強	ADJ	N
serio	嚴重	serio	嚴重	N	ADJ
serio	嚴肅	serio	嚴肅	N	ADJ
serio	你	serio	你	N	PRO;2
moita	許多	moito	許多	DET	NUM
moita	非常	moito	非常	DET	ADV
queda	左側	quedar	左側	V	N
queda	左	quedar	左	V	N
queda	左翼	quedar	左翼	V	N
queda	左邊	quedar	左邊	V	N
campo	露營	campo	露營	N	V
demais	休息	demais	休息	DET	V
demais	太	demais	太	DET	ADV
paz	平安	paz	平安	N	PROPN
rapaza	girl	rapaza	girl	N	
palabra	word	palabra	word	N	
nesta	這	nesta	這	PROPN	PRO
nesta	這	nesta	這	PROPN	DET
ves	你	ver	你	V	PRO;2
mozo	年輕	mozo	年輕	N	ADJ
mozo	young	mozo	young	N	
mozo	man	mozo	man	N	
mozo	boy	mozo	boy	N	
xefe	boss	xefar	boss	N	
xefe	sir	xefar	sir	N	
dez	十	dez	十	N	NUM
dez	十	dez	十	N	NUM
dez	ten	dez	ten	N	
preciso	需求	preciso	需求	ADJ	N
preciso	需要	preciso	需要	ADJ	V
preciso	必要	preciso	必要	ADJ	N
preciso	必	preciso	必	ADJ	V
rápido	快速	rápido	快速	ADJ	N
rápido	快速	rápido	快速	ADJ	N
ei	嘿	ei	嘿	PROPN	
bastante	漂亮	bastante	漂亮	ADV	N
20	twenty	20	twenty	NUM	
axuda	幫助	axuda	幫助	N	V
axuda	幫忙	axuda	幫忙	N	V
unhas	一些	un	一些	DET	ADJ
unhas	有些	un	有些	DET	V
final	結束	final	結束	N	V
final	終於	final	終於	N	ADV
escola	上學	escola	上學	N	V
din	她們	din	她	V	PRO;PL;3
din	他們	din	他	V	PRO;PL;3
din	它們	din	它	V	PRO;PL;3
pequena	小	pequeno	小	ADJ	PART
pequena	小型	pequeno	小型	ADJ	N
pequena	小	pequeno	小	ADJ	PART
fala	會談	falar	會談	V	N
fala	關於	falar	關於	V	ADP
xusto	右	xusto	右	ADV	N
xusto	只要	xusto	只要	ADV	ADP
xusto	公平	xusto	公平	ADV	N
vosa	你	voso	你	DET	PRO;2
tío	阿叔	tío	阿叔	N	PROPN
tío	guy	tío	guy	N	
tío	man	tío	man	N	
moza	girl	mozo	girl	N	
moza	年輕	mozo	年輕	N	ADJ
moza	young	mozo	young	N	
lonxe	遠	lonxe	遠	ADV	
lonxe	來	lonxe	來	ADV	V
lonxe	從	lonxe	從	ADV	ADP
10	ten	10	ten	NUM	
querida	dear	querer	dear	V	
luz	輕	luz	輕	N	
adiante	向前	adiante	向前	ADV	N
pregunta	提問	pregunta	提問	N	V
pregunta	問	pregunta	問	N	
tolo	瘋	tolo	瘋	N	
tolo	瘋	tolo	瘋	N	V
sinto	感覺	sinto	感覺	V	N
pensas	你	pensar	你	V	PRO;2
pensas	你	pensar	你	V	PRO;2
diante	前面	diante	前面	ADV	N
diante	陣線	diante	陣線	ADV	N
diante	以前	diante	以前	ADV	N
diante	前	diante	前	ADV	N
diante	之前	diante	之前	ADV	N
diante	現在	diante	現在	ADV	N
queremos	想要	querer	想要	V	
dis	你	dis	你	V	PRO;2
dis	關於	dis	關於	V	ADP
dis	那	dis	那	V	DET
del	來	del	來	PROPN	V
del	從	del	從	PROPN	ADP
del	他	del	他	PROPN	PRO;3
preto	近	preto	近	ADV	
preto	靠近	preto	靠近	ADV	V
preto	附近	preto	附近	ADV	N
preto	關閉	preto	關閉	ADV	V
preto	圍繞	preto	圍繞	ADV	V
preto	圍繞	preto	圍繞	ADV	V
preto	周圍	preto	周圍	ADV	N
punto	關於	punto	關於	N	ADP
onte	昨天	onte	昨天	ADV	N
onte	昨日	onte	昨日	ADV	N
onte	上次	onte	上次	ADV	N
onte	最後	onte	最後	ADV	N
onte	夜晚	onte	夜晚	ADV	N
onte	晚上	onte	晚上	ADV	N
onte	夜	onte	夜	ADV	N
garda	守衛	garda	守衛	N	V
cadra	may	cadra	may	ADV	
cadra	梅	cadra	梅	ADV	PROPN
cadra	五	cadra	五	ADV	NUM
cadra	五	cadra	五	ADV	NUM
qué	為何	que	為何	DET	
qué	為	que	為	DET	ADP
qué	為	que	為	DET	ADP
morreu	死	morrer	死	V	N
nena	girl	nena	girl	N	
nena	baby	nena	baby	N	PROPN
gustaríame	讚	gustaríame	讚	V	
gustaríame	就	gustaríame	就	V	ADV
gustaríame	像	gustaríame	像	V	ADP
gustaríame	願望	gustaríame	願望	V	N
agarda	等	agarda	等	V	N
agarda	分鐘	agarda	分鐘	V	N
algunhas	一些	algún	一些	DET	ADJ
algunhas	有些	algún	有些	DET	V
seis	六	seis	六	N	NUM
seis	六	seis	六	N	NUM
chegou	這裡	chegar	這裡	V	PRO
tivo	她	ter	她	V	PRO;3
coidado	觀看	coidado	觀看	N	V
coidado	出局	coidado	出局	N	V
supoño	猜猜	supor	猜猜	V	N
supoño	猜	supor	猜	V	
pasado	過往	pasado	過往	ADJ	N
pasado	過去	pasado	過去	ADJ	N
pasado	上次	pasado	上次	ADJ	N
pasado	最後	pasado	最後	ADJ	N
carta	來	carta	來	N	ADV
palabras	言	palabra	言	N	V
mil	千	mil	千	N	NUM
mil	億	mil	億	N	PROPN
alto	高	alto	高	ADJ	PROPN
alto	高	alto	高	ADJ	PROPN
alto	停止	alto	停止	ADJ	V
pensa	你	pensar	你	V	PRO;2
maneira	那	maneira	那	N	DET
espero	hope	espero	hope	V	
pé	站立	pé	站立	N	V
pé	常	pé	常	N	ADV
pé	站立	pé	站立	N	V
pé	站	pé	站	N	V
pé	你	pé	你	N	PRO;2
escoita	聽	escoita	聽	V	ADP
novas	新	novo	新	ADJ	PART
novas	來	novo	來	ADJ	V
novas	從	novo	從	ADJ	ADP
novas	新聞	novo	新聞	ADJ	N
debo	必須	deber	必須	V	V
debo	應	deber	應	V	V
debo	欠	deber	欠	V	
seguir	跟	seguir	跟	V	ADP
vivo	活	vivo	活	ADJ	N
vivo	直播	vivo	直播	ADJ	V
vivo	live	vivo	live	ADJ	
vivo	活著	vivo	活著	ADJ	V
vivo	生活	vivo	生活	ADJ	V
debemos	應	deber	應	V	V
debemos	必須	deber	必須	V	V
pobre	窮	pobre	窮	ADJ	
abaixo	樓下	abaixo	樓下	ADV	N
abaixo	往下	abaixo	往下	ADV	N
abaixo	向	abaixo	向	ADV	ADP
durmir	睡眠	durmir	睡眠	V	N
orde	訂單	orde	訂單	N	V
orde	命令	orde	命令	N	V
orde	訂購	orde	訂購	N	V
poida	may	poder	may	V	
poida	梅	poder	梅	V	PROPN
poida	五	poder	五	V	NUM
poida	五	poder	五	V	NUM
seguinte	下	seguinte	下	ADJ	DET
última	上次	último	上次	ADJ	N
última	最後	último	最後	ADJ	N
última	一	último	一	ADJ	NUM
última	one	último	one	ADJ	
última	一	último	一	ADJ	NUM
fixeches	你	fixeche	你	V	PRO;2
alá	真主	alá	真主	ADV	PROPN
alá	阿拉	alá	阿拉	ADV	PROPN
alá	超越	alá	超越	ADV	V
chama	電話	chamar	電話	V	N
