heller	heller	hell	heller	ADJ	N;NOM;SG
theologische	teoloogia	theologisch	teoloogia	ADJ;NOM;FEM;PL	N;NOM;SG
thompson	thompson	thompson	thompson	PROPN;NOM;SG	N;NOM;SG
konstantinopel	konstantinoopol	konstantinopel	konstantinoopol	PROPN;NOM;MASC;SG	N;NOM;SG
konstantinopel	istanbuli	konstantinopel	istanbul	PROPN;NOM;MASC;SG	N;NOM;SG
henriette	henrietta	henrieten	henrietama	PROPN;NOM;FEM;SG	N;NOM;SG
four	neli	four	neli		NUM;NOM;SG
dichtung	luule	dichtung	luule		N;NOM;SG
dichtung	pitser	dichtung	pitser		N;NOM;SG
dichtung	pitsat	dichtung	pitsa		N;PRT;SG
hinreichend	adekvaatselt	hinreichend	adekvaatselt	ADJ	ADV
theoretisch	teoreetiliselt	theoretisch	teoreetiliselt	ADJ	ADV
theoretisch	teooria	theoretisch	teooria	ADJ	N;NOM;SG
robinson	robinson	robinson	robinson	PROPN;NOM;SG	N;NOM;SG
decken	laed	decken	lage	V;NFIN	N;NOM;PL
decken	tekke	decken	teke	V;NFIN	N;NOM;SG
decken	tekid	decken	tekk	V;NFIN	N;NOM;PL
hop	hop	hopen	hop	PROPN;NOM;SG	N;NOM;SG
legend	legend	legend	legend	ADJ	N;NOM;SG
legend	legendi	legend	legend	ADJ	N;GEN;SG
wünsche	sooviks	wünschen	soovima	;SG	V;COND;PRS;FIN;ACT
wünsche	soov	wünschen	soov	;SG	N;NOM;SG
wünsche	soovi	wünschen	soov	;SG	N;PRT;SG
wünsche	soovib	wünschen	soovima	;SG	V;IND;SG;3;PRS;FIN;ACT
wünsche	soove	wünschen	soov	;SG	N;PRT;PL
wünsche	soovides	wünschen	soov	;SG	V;V.CVB
dennis	dennis	dennis	dennis	PROPN;NOM;MASC;SG	N;NOM;SG
nachbarn	naabrid	nachbarn	naaber	ADJ	N;NOM;PL
nachbarn	naaber	nachbarn	naaber	ADJ	N;NOM;SG
nachbarn	naabrid	nachbarn	naaber	ADJ	N;NOM;PL
nachbarn	naaber	nachbarn	naaber	ADJ	N;NOM;SG
ernährung	toitumise	Ernährung	toitumine	N;NOM;FEM;SG	N;GEN;SG
bologna	bologna	bologna	bologna	PROPN	N;NOM;SG
vergleichen	võrdlusi	vergleichen	võrdlus	V;NFIN	N;PRT;PL
vergleichen	võrdlemine	vergleichen	võrdlemine	V;NFIN	N;NOM;SG
vergleichen	diff	vergleichen	diff	V;NFIN	N;NOM;SG
vergleichen	võrdlemine	vergleichen	võrdlemine	V;NFIN	N;NOM;SG
vergleichen	võrdlemine	vergleichen	võrdlemine	V;NFIN	N;NOM;SG
vergleichen	võrdlus	vergleichen	võrdlus	V;NFIN	N;NOM;SG
björn	björn	björn	björn	PROPN;NOM;MASC;SG	N;NOM;SG
björn	björn	björn	björn	PROPN;NOM;MASC;SG	N;NOM;SG
gestrichen	kustutatud	gestrechen	kustutatud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
gestrichen	katkestatud	gestrechen	katkestama	V;V.PTCP	ADJ;PST;V.PTCP;PASS
gestrichen	värvitud	gestrechen	värvi=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
gestrichen	maalitud	gestrechen	maali=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
gestrichen	katkestatud	gestrechen	katkestama	V;V.PTCP	ADJ;PST;V.PTCP;PASS
kolumbien	columbia	kolumbien	columbia	PROPN;NOM;NEUT;SG	N;NOM;SG
kolumbien	kolumbia	kolumbien	kolumbia	PROPN;NOM;NEUT;SG	N;NOM;SG
kolumbien	colombia	kolumbien	colombia	PROPN;NOM;NEUT;SG	ADJ
verabschiedet	lapsendatud	verabschieden	lapsenda=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
verabschiedet	vastuvõetud	verabschieden	vastu_võetud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
verabschiedet	adopteeritud	verabschieden	adopteeri=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
geistliche	preester	geistlich	preester	ADJ;NOM;FEM;PL	N;NOM;SG
geistliche	vaimne	geistlich	vaimne	ADJ;NOM;FEM;PL	ADJ;NOM;SG
geistliche	hingeline	geistlich	hingeline	ADJ;NOM;FEM;PL	ADJ;NOM;SG
geistliche	preestrid	geistlich	preester	ADJ;NOM;FEM;PL	N;NOM;PL
download	allalaadimine	download	alla_laadimine		N;NOM;SG
dublin	dublini	dublin	dublini	PROPN;NOM;SG	N;SG
dublin	dublinis	dublin	dublin	PROPN;NOM;SG	N;IN+ESS;SG
gabriele	gabriele	gabrielen	gabri	PROPN;NOM;FEM;SG	N;NOM;SG
fantasy	fantaasia	fantasy	fantaasia	PROPN	N;NOM;SG
anerkannte	tunnistas	anerkannt	tunnistama	ADJ;SG	V;IND;SG;3;PST;FIN;ACT
springen	hüpe	springen	hüpe	V;NFIN	N;NOM;SG
springen	hüpe	springen	hüpe	V;NFIN	N;NOM;SG
springen	hüppamine	springen	hüppamine	V;NFIN	N;NOM;SG
interessierte	huvilistel	interessieren	huviline	V;IND;SG;3;PST;FIN	N;AT+ESS
;PL
interessierte	huvitatud	interessieren	huvita=tud	V;IND;SG;3;PST;FIN	ADJ;PST;V.PTCP;PASS
aktivität	tegevus	aktivität	tegevus	ADJ	N;NOM;SG
aktivität	aktiivsus	aktivität	aktiivsus	ADJ	N;NOM;SG
luigi	luigi	luigi	luik	PROPN;NOM;MASC;SG	N;NOM;SG
annehmen	nõus	annehmen	nõus	V;NFIN	ADV
störungen	rikked	störung	rika	V;NFIN	N;NOM;PL
störungen	sekkumine	störung	sekkumine	V;NFIN	N;NOM;SG
störungen	häired	störung	häire	V;NFIN	N;NOM;PL
ken	ken	Ken	ken	PROPN;NOM;MASC;SG	PROPN;NOM;SG
sportarten	sportlik	sportarten	sportlik	V;NFIN	ADJ;NOM;SG
sportarten	sport	sportarten	sport	V;NFIN	N;NOM;SG
sportarten	spordiala	sportarten	spordi_ala	V;NFIN	N;NOM;SG
sportarten	sport	sportarten	sport	V;NFIN	N;NOM;SG
sportarten	spordi	sportarten	sport	V;NFIN	N;PRT;SG
halbe	pool	halb	pool	ADJ;NOM;FEM;PL	NUM;NOM;SG
louisiana	louisiana	louisiana	louisia	PROPN;NOM;NEUT;SG	N;NOM;SG
taiwan	taiwan	taiwan	taiwan	PROPN;NOM;MASC;SG	N;NOM;SG
taiwan	taiwanis	taiwan	taiwan	PROPN;NOM;MASC;SG	N;IN+ESS;SG
taiwan	taiwani	taiwan	taiwan	PROPN;NOM;MASC;SG	ADJ
obergeschoss	ülakorrusel	oberschossen	üla_korrus	ADJ	N;AT+ESS
;SG
obergeschoss	üleval	oberschossen	üleval	ADJ	ADV
vorzeitig	enneaegselt	vorzeitig	enne_aegselt	ADJ	ADV
sturz	kukutada	sturz	kukutama		V;NFIN
sturz	kukub	sturz	kukkuma		V;IND;SG;3;PRS;FIN;ACT
sturz	falls	sturz	falls		N;NOM;SG
sturz	langeb	sturz	langema		V;IND;SG;3;PRS;FIN;ACT
sturz	kukkumine	sturz	kukkumine		N;NOM;SG
sturz	kuku	sturz	kuku		N;NOM;SG
aufzeichnungen	records	aufzeichnangen	records	V;NFIN	N;NOM;SG
aufzeichnungen	salvestisi	aufzeichnangen	salvestis	V;NFIN	N;PRT;PL
aufzeichnungen	salvestused	aufzeichnangen	salvestus	V;NFIN	N;NOM;PL
amazon	amazon	amazon	amazon		N;NOM;SG
administrative	haldus	administrativ	haldus	ADJ;NOM;FEM;PL	N;NOM;SG
forst	metsanduse	forsen	metsandus	PROPN;NOM;SG	N;GEN;SG
forst	metsandus	forsen	metsandus	PROPN;NOM;SG	N;NOM;SG
forst	mets	forsen	mets	PROPN;NOM;SG	N;NOM;SG
forst	metsa	forsen	mets	PROPN;NOM;SG	N;IN+ALL;LGSPEC1;SG
hang	riputada	hang	riputama	N	V;NFIN
stadtmauer	seinad	stadtmau	sein		N;NOM;PL
labor	laborid	labor	labor		N;NOM;PL
labor	laboratoorsed	labor	laboratoorne		ADJ;NOM;PL
labor	laboratooriumi	labor	laboratoorium		N;PRT;SG
labor	labor	labor	labor		N;NOM;SG
labor	laboratoorium	labor	laboratoorium		N;NOM;SG
labor	lab	labor	lab		N;NOM;SG
labor	labor	labor	labor		N;NOM;SG
samstag	laupäev	samstag	lau_päev	ADV	N;NOM;SG
samstag	laupäeval	samstag	lau_päev	ADV	N;AT+ESS
;SG
lehmann	lehmann	lehmann	lehmann	PROPN;NOM;SG	N;NOM;SG
classic	klassika	classic	klassika	PROPN	N;NOM;SG
classic	klassikalised	classic	klassikaline	PROPN	ADJ;NOM;PL
classic	classic	classic	classic	PROPN	N;NOM;SG
classic	klassikaline	classic	klassikaline	PROPN	ADJ;NOM;SG
wirtschafts	majanduslik	wirtschafts	majanduslik	PROPN	ADJ;NOM;SG
hiermit	käesolevaga	hiermit	käes_olev	ADV	ADJ;COM;SG;PRS;V.PTCP;ACT
herausragende	väljapaistev	herausragend	välja_paistev	ADJ;NOM;FEM;PL	ADJ;NOM;SG;PRS;V.PTCP;ACT
herausragende	silmapaistev	herausragend	silma_paistev	ADJ;NOM;FEM;PL	ADJ;NOM;SG;PRS;V.PTCP;ACT
herausragende	tasumata	herausragend	tasumata	ADJ;NOM;FEM;PL	V;PRIV;V.CVB;ACT
med	med	med	mid		N;NOM;SG
schwäbisch	schwäbisch	schwäbisch	schwäbisch	ADJ	N;NOM;SG
berühmt	kuulus	berühmt	kuuluma	ADJ	N;NOM;SG
berühmt	kuulsus	berühmt	kuulsus	ADJ	N;NOM;SG
berühmt	kuulsus	berühmt	kuulsus	ADJ	N;NOM;SG
jonas	jonas	jonas	jonama	PROPN;NOM;MASC;SG	N;NOM;SG
jonas	joonas	jonas	joonas	PROPN;NOM;MASC;SG	N;NOM;SG
jonas	jonah	jonas	jonah	PROPN;NOM;MASC;SG	N;NOM;SG
umzug	liigub	umzugen	liikuma	N;SG	V;IND;SG;3;PRS;FIN;ACT
ski	suusa	ski	suusk		N;NOM;SG
weichen	lülitid	weichen	lülitid	V;NFIN	N;NOM;PL
ansprechen	vastus	ansprechen	vastus	V;NFIN	N;NOM;SG
ansprechen	reageering	ansprechen	reageering	V;NFIN	N;NOM;SG
ansprechen	reageerimine	ansprechen	reageerimine	V;NFIN	N;NOM;SG
gezielt	suunatud	gezielt	suunama	ADJ	V;PST;V.PTCP;PASS
gezielt	sihikindlalt	gezielt	sihi_kindlalt	ADJ	ADV
held	hero	held	hero	PROPN;SG	N;NOM;SG
held	kangelane	held	kangelane	PROPN;SG	N;NOM;SG
erhöhung	suurenda	erhöhung	suurendama	N;NOM;FEM;SG	V;IMP;SG;2;PRS;FIN;ACT
erhöhung	reljeefi	erhöhung	reljeef	N;NOM;FEM;SG	N;PRT;SG
wüste	kõrb	wüst	kõrb		N;NOM;SG
wüste	kõrbed	wüst	kõrb		N;NOM;PL
adolph	adolph	adolph	adolph	PROPN;NOM;MASC;SG	N;NOM;SG
polizisten	politsei	polizist	politsei	N;PL	N;NOM;SG
polizisten	politseinik	polizist	politseinik	N;PL	N;NOM;SG
mhz	mhz	mhz	mhz		N
uci	uci	uci	uci	PROPN;NOM;SG	N;NOM;SG
carter	carter	carter	carter	PROPN;NOM;SG	N;NOM;SG
princeton	princetoni	princeton	princeton	PROPN;NOM;SG	N;NOM;SG
latein	ladina	latein	ladina	ADJ	N;NOM;SG
fortgesetzt	jätkamine	fortsetzen	jätkamine	V;V.PTCP	N;NOM;SG
fortgesetzt	jätkuv	fortsetzen	jätkuv	V;V.PTCP	ADJ;NOM;SG;PRS;V.PTCP;ACT
politisches	poliitilised	politisch	poliitiline	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
atlanta	atlanta	atlanta	atlantama	PROPN	N;NOM;SG
atlanta	atlantas	atlanta	atlantama	PROPN	N;IN+ESS;SG
hip	hip	hip	hip	ADJ	N;NOM;SG
hip	puus	hip	puus	ADJ	N;NOM;SG
hip	puusa	hip	puus	ADJ	N;GEN;SG
antwerpen	antwerpeni	antwerpen	antwerpen		N;SG
kaiserslautern	kaiserslautern	kaiserslaut	kaiser_slautern	PROPN;NOM;SG	N;NOM;SG
invasion	sissetungi	invasion	sisse_tung		N;PRT;SG
invasion	sissetung	invasion	sissetung		N;NOM;SG
antonius	anthony	antonius	anthony	PROPN;NOM;MASC;SG	N;NOM;SG
antonius	antonius	antonius	antonius	PROPN;NOM;MASC;SG	N;NOM;SG
muhammad	muhammad	muhammad	muhamm	PROPN;NOM;SG	N;NOM;SG
gegenwärtig	hetkel	gegenwärtig	hetk	ADJ	N;AT+ESS
;SG
gegenwärtig	praegu	gegenwärtig	praegu	ADJ	ADV
northern	põhja	northern	põhi	PROPN	N;IN+ALL;LGSPEC1;SG
julian	julian	julian	juliama	PROPN;NOM;MASC;SG	N;NOM;SG
nil	niiluse	nil	niiluse	PROPN;NOM;MASC;SG	N;IN+ALL;LGSPEC1;SG
selbständige	iseseisev	selbständig	ise_seisev	ADJ;NOM;FEM;PL	ADJ;NOM;SG;PRS;V.PTCP;ACT
selbständige	sõltumatu	selbständig	sõltumatu	ADJ;NOM;FEM;PL	ADJ;NOM;SG
güterverkehr	kaubavedu	güterverkehr	kauba_vedu	ADJ	N;NOM;SG
alternativen	alternatiiv	alternativ	alternatiiv	ADJ	N;NOM;SG
alternativen	alternatiive	alternativ	alternatiiv	ADJ	N;PRT;PL
alternativen	alternatiivid	alternativ	alternatiiv	ADJ	N;NOM;PL
sant	sant	senen	sant	PROPN	N;NOM;SG
altenburg	altenburgi	altenburg	altenburg	PROPN;NOM;NEUT;SG	N;PRT;SG
abc	abc	abc	abc		N;NOM;SG
