категорія	kategória	категорія	kategória	N;INAN;NOM;FEM;SG	
ради	tanács	рада	tanács	N;INAN;NOM;FEM;PL	N;NOM;SG
сша	usa	сШа	usa	PROPN;INAN;GEN	
того	togo	те	togo	PRO;INAN;GEN;NEUT;SG	
яка	ami	який	ami	DET;NOM;FEM;SG	PRO;NOM;SG;3
яка	melyik	який	melyik	DET;NOM;FEM;SG	
яка	mely	який	mely	DET;NOM;FEM;SG	
яка	amely	який	amely	DET;NOM;FEM;SG	PRO;NOM;SG;3
сайті	weboldal	сайт	weboldal	N;INAN;DAT;MASC;SG	N;NOM;SG
сайті	honlap	сайт	honlap	N;INAN;DAT;MASC;SG	N;NOM;SG
сайті	webhely	сайт	webhely	N;INAN;DAT;MASC;SG	N;NOM;SG
близько	szoros	близько	szoros	ADV	
близько	közel	близько	közel	ADV	
близько	bezárása	близько	bezárás	ADV	N;NOM;SG
близько	közeli	близько	közeli	ADV	
близько	közel	близько	közel	ADV	
війни	háborúk	війна	háború	N;INAN;NOM;FEM;SG	N;NOM;PL
роки	év	рік	év	N;INAN;NOM;MASC;PL	N;NOM;SG
обговорення	beszélgetések	обговорення	beszélgetés	N;INAN;NOM;NEUT;SG	N;NOM;PL
обговорення	megbeszélések	обговорення	megbeszélés	N;INAN;NOM;NEUT;SG	N;NOM;PL
обговорення	viták	обговорення	vita	N;INAN;NOM;NEUT;SG	N;NOM;PL
коли	mikor	коли	mikor	ADV	ADV
лише	csak	лише	csak	PART	ADV
лише	kizárólag	лише	kizárólag	PART	
вересня	szeptemberben	вересень	szeptember	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
вересня	szeptember	вересень	szeptember	N;INAN;GEN;MASC;SG	N;NOM;SG
вересня	szeptemberi	вересень	szeptemberi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
цей	ezt	цей	ez	DET;NOM;MASC;SG	PRO;ACC;SG;3
цей	ez	цей	ez	DET;NOM;MASC;SG	PRO;NOM;SG;3
березня	március	березень	március	N;INAN;GEN;MASC;SG	N;NOM;SG
березня	márciusi	березень	márciusi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
місце	ülést	місце	ülés	N;INAN;NOM;NEUT;SG	N;ACC;SG
україні	ukrajna	україна	ukrajna	PROPN;INAN;DAT;FEM;SG	PROPN;NOM;SG
серпня	augusztusban	серпень	augusztus	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
серпня	august	серпень	augus	N;INAN;GEN;MASC;SG	
серпня	augusztus	серпень	augusztus	N;INAN;GEN;MASC;SG	N;NOM;SG
січня	januári	січень	januári	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
січня	január	січень	január	N;INAN;GEN;MASC;SG	N;NOM;SG
січня	januárban	січень	január	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
травня	may	травень	may	N;INAN;GEN;MASC;SG	
травня	május	травень	május	N;INAN;GEN;MASC;SG	N;NOM;SG
травня	májusi	травень	májusi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
травня	májusban	травень	május	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
грудня	december	грудень	december	N;INAN;GEN;MASC;SG	N;NOM;SG
грудня	decemberi	грудень	decemberi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
грудня	decemberben	грудень	december	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
інших	egyéb	інший	egyéb	DET;GEN;PL	
інших	más	інший	más	DET;GEN;PL	PRO;NOM;SG;3
інших	másoknak	інший	más	DET;GEN;PL	PRO;DAT;PL;3
інших	egyéb	інший	egyéb	DET;GEN;PL	
інших	mások	інший	más	DET;GEN;PL	
інших	egyebek	інший	egyéb	DET;GEN;PL	
жовтня	októberi	жовтень	októberi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
жовтня	októberben	жовтень	október	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
жовтня	október	жовтень	október	N;INAN;GEN;MASC;SG	N;NOM;SG
один	egy	один	egy	NUM;NOM;MASC	DET;INDF
липня	júliusban	липень	július	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
липня	júliusi	липень	júliusi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
липня	július	липень	július	N;INAN;GEN;MASC;SG	N;NOM;SG
участь	részvétel	участь	részvétel	N;INAN;ACC;FEM;SG	N;NOM;SG
участь	bevonása	участь	bevonás	N;INAN;ACC;FEM;SG	N;NOM;SG
участь	részvétel	участь	részvétel	N;INAN;ACC;FEM;SG	N;NOM;SG
участь	részvétel	участь	részvétel	N;INAN;ACC;FEM;SG	N;NOM;SG
вид	fajok	вид	fajok	N;INAN;NOM;MASC;SG	N;NOM;PL
можна	tud	можна	tud	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
можна	can	можна	can	ADV	
можна	lehet	можна	lesz	ADV	V;INDF;POT;SG;3;PRS;FIN;ACT
червня	júniusi	червень	júniusi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
червня	june	червень	june	N;INAN;GEN;MASC;SG	
червня	június	червень	június	N;INAN;GEN;MASC;SG	N;NOM;SG
червня	júniusban	червень	június	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
місто	városban	місто	város	N;INAN;NOM;NEUT;SG	N;IN+ESS;SG
місто	town	місто	town	N;INAN;NOM;NEUT;SG	
місто	city	місто	city	N;INAN;NOM;NEUT;SG	
місто	városi	місто	városi	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
вже	máris	вже	máris	ADV	
життя	life	життя	life	N;INAN;NOM;NEUT;SG	
срср	szovjetunió	срср	szovjetunió	PROPN;INAN;NOM;FEM;SG	
квітня	april	квітень	ap	N;INAN;GEN;MASC;SG	
квітня	április	квітень	április	N;INAN;GEN;MASC;SG	N;NOM;SG
квітня	áprilisi	квітень	áprilisi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
квітня	áprilisban	квітень	április	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
листопада	november	листопад	november	N;INAN;GEN;MASC;SG	N;NOM;SG
листопада	novemberi	листопад	novemberi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
листопада	novemberben	листопад	november	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
лютого	februárban	лютий	február	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
лютого	februári	лютий	februári	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
лютого	február	лютий	február	N;INAN;GEN;MASC;SG	N;NOM;SG
опис	leírás	опис	leírás	N;INAN;NOM;MASC;SG	
центр	ops	центр	ops	N;INAN;NOM;MASC;SG	
центр	középre	центр	közép	N;INAN;NOM;MASC;SG	N;ON+ALL;SG
центр	center	центр	center	N;INAN;NOM;MASC;SG	
центр	középre	центр	közép	N;INAN;NOM;MASC;SG	N;ON+ALL;SG
захід	nyugat	захід	nyugat	N;INAN;NOM;MASC;SG	
захід	nyugati	захід	nyugati	N;INAN;NOM;MASC;SG	
тільки	csak	тільки	csak	PART	ADV
тільки	kizárólag	тільки	kizárólag	PART	
франції	franciaország	франція	franciaország	PROPN;INAN;GEN;FEM;SG	N;NOM;SG
франції	france	франція	france	PROPN;INAN;GEN;FEM;SG	
століття	évszázadok	століття	évszázad	N;INAN;NOM;NEUT;SG	N;NOM;PL
століття	évszázadokkal	століття	évszázad	N;INAN;NOM;NEUT;SG	N;INS;PL
рада	rada	рада	rada	N;INAN;NOM;FEM;SG	
схід	keletre	схід	keletr	N;INAN;NOM;MASC;SG	N;ON+ALL;SG
схід	keleti	схід	keleti	N;INAN;NOM;MASC;SG	
схід	kelet	схід	kelet	N;INAN;NOM;MASC;SG	
склад	raktárban	склад	raktár	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
міні	mini	міні	mini		
особи	személy	особа	személy	N;ANIM;NOM;FEM;PL	
особи	személyre	особа	személy	N;ANIM;NOM;FEM;PL	
над	vége	над	vég	ADP;ACC	N;NOM;SG
над	át	над	át	ADP;ACC	ADV
історія	story	історія	story	N;INAN;NOM;FEM;SG	
історія	előzmények	історія	előzmény	N;INAN;NOM;FEM;SG	N;NOM;PL
зображення	képeket	зображення	kép	N;INAN;NOM;NEUT;SG	N;ACC;PL
зображення	képek	зображення	kép	N;INAN;NOM;NEUT;SG	N;NOM;PL
зображення	képet	зображення	kép	N;INAN;NOM;NEUT;SG	N;ACC;SG
зображення	képet	зображення	kép	N;INAN;NOM;NEUT;SG	N;ACC;SG
зображення	képeket	зображення	kép	N;INAN;NOM;NEUT;SG	N;ACC;PL
зображення	képek	зображення	kép	N;INAN;NOM;NEUT;SG	N;NOM;PL
зображення	fényképek	зображення	fénykép	N;INAN;NOM;NEUT;SG	N;NOM;PL
пункти	pont	пункт	pont	N;INAN;NOM;MASC;PL	
сайт	helyén	сайт	hely	N;INAN;NOM;MASC;SG	N;ON+ESS;SG
разом	együtt	разом	együtt	ADV	
інші	egyéb	інший	egyéb	DET;NOM;PL	
інші	más	інший	más	DET;NOM;PL	PRO;NOM;SG;3
інші	másoknak	інший	más	DET;NOM;PL	PRO;DAT;PL;3
інші	egyéb	інший	egyéb	DET;NOM;PL	
інші	mások	інший	más	DET;NOM;PL	
інші	egyebek	інший	egyéb	DET;NOM;PL	
проти	ellene	проти	ellen	ADV	PRO;NOM;SG;3
проти	ellen	проти	ellen	ADV	ADP
український	ukrán	український	ukrán	ADJ;NOM;MASC;SG	
початку	eredet	початок	eredet	N;INAN;GEN;MASC;SG	N;NOM;SG
історії	történeteket	історія	történet	N;INAN;NOM;FEM;PL	N;ACC;PL
історії	történelme	історія	történelem	N;INAN;NOM;FEM;PL	N;NOM;SG
історії	történelem	історія	történel	N;INAN;NOM;FEM;PL	N;NOM;SG
всі	mindegyik	весь	mindegyik	DET;NOM;PL	
всі	mind	весь	mind	DET;NOM;PL	CONJ
всі	minden	весь	minden	DET;NOM;PL	PRO;NOM;SG;3
багато	sok	багато	sok	ADV	
багато	sok	багато	sok	ADV	
багато	sok	багато	sok	ADV	
багато	sokat	багато	sok	ADV	
більше	nagyobb	більше	nagy	ADV;CMPR	ADJ;NOM;CMPR;SG
більше	nagyobb	більше	nagy	ADV;CMPR	ADJ;NOM;CMPR;SG
більше	több	більше	több	ADV;CMPR	DET;INDF
більше	more	більше	more	ADV;CMPR	
більше	további	більше	további	ADV;CMPR	N;NOM;SG
більше	tobb	більше	tobb	ADV;CMPR	
кількість	gróf	кількість	gróf	N;INAN;NOM;FEM;SG	
шаблони	mintákat	шаблон	minta	N;INAN;NOM;MASC;PL	N;ACC;PL
два	kettő	два	kettő	NUM;NOM;MASC	
перший	először	перший	először	ADJ;NOM;MASC;SG	ADV
площа	square	площа	sóuar	N;INAN;NOM;FEM;SG	
площа	szögletes	площа	szögletes	N;INAN;NOM;FEM;SG	
площа	négyzetes	площа	négyzetes	N;INAN;NOM;FEM;SG	ADJ;NOM;SG
площа	négyzet	площа	négyzet	N;INAN;NOM;FEM;SG	
країни	ország	країна	ország	N;INAN;NOM;FEM;PL	N;NOM;SG
країни	országban	країна	ország	N;INAN;NOM;FEM;PL	N;IN+ESS;SG
країни	országokban	країна	ország	N;INAN;NOM;FEM;PL	N;IN+ESS;PL
наук	tudományok	наука	tudomány	N;INAN;GEN;FEM;PL	N;NOM;PL
без	anélkül	без	anélkül	ADP;GEN	
голова	fejet	голова	féj	N;ANIM;NOM;FEM;SG	N;ACC;SG
голова	fejét	голова	feje	N;ANIM;NOM;FEM;SG	N;ACC;SG
щодо	kb	щодо	kb	ADP;GEN	N;NOM;SG
щодо	nagyjából	щодо	nagy	ADP;GEN	N;IN+ABL;SG
щодо	körülbelül	щодо	körülbelül	ADP;GEN	ADV
сторінка	oldalt	сторінка	oldal	N;INAN;NOM;FEM;SG	N;ACC;SG
той	ez	той	ez	DET;NOM;MASC;SG	PRO;NOM;SG;3
росії	oroszország	росія	oroszország	PROPN;INAN;GEN;FEM;SG	N;NOM;SG
все	mindent	все	minden	PRO;INAN;NOM;NEUT;SG	
все	mindegyik	все	mindegyik	PRO;INAN;NOM;NEUT;SG	
все	mind	все	mind	PRO;INAN;NOM;NEUT;SG	CONJ
київ	kijevi	Київ	kijevi	PROPN;INAN;NOM;MASC;SG	
роботи	munkahelyi	робота	munkahelyi	N;INAN;NOM;FEM;PL	N;NOM;SG
роботи	munka	робота	munka	N;INAN;NOM;FEM;PL	N;NOM;SG
біля	közel	біля	közel	ADP;GEN	
веб	web	вебти	web		
веб	háló	вебти	háló		N;NOM;SG
веб	webes	вебти	webes		N;NOM;SG
статтю	árucikk	стаття	árucikk	N;INAN;ACC;FEM;SG	N;NOM;SG
статтю	cikk	стаття	cikk	N;INAN;ACC;FEM;SG	N;NOM;SG
потім	aztán	потім	aztán	ADV	
землі	föld	земля	föld	N;INAN;NOM;FEM;PL	N;NOM;SG
армії	sereg	армія	sereg	N;INAN;GEN;FEM;SG	N;NOM;SG
армії	hadsereg	армія	hadsereg	N;INAN;GEN;FEM;SG	N;NOM;SG
однак	mindamellett	однак	mindamellett	CONJ	
саме	pontosan	саме	pontos	PART	ADJ;FRML;SG
саме	pontosan	саме	pontos	PART	ADJ;FRML;SG
північний	észak	північний	észak	ADJ;NOM;MASC;SG	
північний	északi	північний	északi	ADJ;NOM;MASC;SG	
північний	északra	північний	észak	ADJ;NOM;MASC;SG	N;ON+ALL;SG
північний	észak	північний	észak	ADJ;NOM;MASC;SG	
північний	északi	північний	északi	ADJ;NOM;MASC;SG	
день	napon	день	nap	N;INAN;NOM;MASC;SG	N;ON+ESS;SG
день	nappal	день	nap	N;INAN;NOM;MASC;SG	N;INS;SG
день	napot	день	nap	N;INAN;NOM;MASC;SG	N;ACC;SG
частина	részben	частина	részben	N;INAN;NOM;FEM;SG	ADV
південний	dél	південний	dél	ADJ;NOM;MASC;SG	
південний	déli	південний	déli	ADJ;NOM;MASC;SG	
південний	dél	південний	dél	ADJ;NOM;MASC;SG	
південний	délre	південний	délre	ADJ;NOM;MASC;SG	ADV
південний	déli	південний	déli	ADJ;NOM;MASC;SG	
смерті	halál	смерть	halál	N;INAN;NOM;FEM;PL	N;NOM;SG
перша	először	перший	először	ADJ;NOM;FEM;SG	ADV
такі	követni	такий	követ	DET;NOM;PL	V;NFIN;ACT
такі	követem	такий	követ	DET;NOM;PL	V;DEF;IND;SG;1;PRS;FIN;ACT
такі	követi	такий	követ	DET;NOM;PL	V;DEF;IND;SG;3;PRS;FIN;ACT
такі	ilyen	такий	ilyen	DET;NOM;PL	
двох	kettő	два	kettő	NUM;ACC	
навіть	még	навіть	még	PART	ADV
розташування	helyszínek	розташування	helyszín	N;INAN;NOM;NEUT;SG	N;NOM;PL
розташування	helyek	розташування	hely	N;INAN;NOM;NEUT;SG	N;NOM;PL
розташування	megegyezés	розташування	megegyezés	N;INAN;NOM;NEUT;SG	
розташування	egyezség	розташування	egyezség	N;INAN;NOM;NEUT;SG	
висота	magasság	висота	magasság	N;INAN;NOM;FEM;SG	
висота	magasság	висота	magasság	N;INAN;NOM;FEM;SG	
себе	magam	себе	maga	PRO;ACC;REFL	
себе	magad	себе	magad	PRO;ACC;REFL	V;INDF;IND;SG;3;PRS;FIN;ACT
різних	más	різний	más	ADJ;ACC;PL	PRO;NOM;SG;3
різних	különböző	різний	különböző	ADJ;ACC;PL	
різних	eltérő	різний	eltérő	ADJ;ACC;PL	ADJ;NOM;SG
фільми	filmeket	фільм	film	N;INAN;NOM;MASC;PL	N;ACC;PL
фільми	mozi	фільм	mozi	N;INAN;NOM;MASC;PL	N;NOM;SG
фільми	filmeket	фільм	film	N;INAN;NOM;MASC;PL	N;ACC;PL
сільська	vidék	сільський	vidék	ADJ;NOM;FEM;SG	N;NOM;SG
значення	értékek	значення	érték	N;INAN;NOM;NEUT;SG	N;NOM;PL
вул	str	вул.	str		V;INDF;IND;SG;3;PRS;FIN;ACT
системи	rendszer	система	rendszer	N;INAN;NOM;FEM;PL	N;NOM;SG
системи	system	система	system	N;INAN;NOM;FEM;PL	
йому	őt	він	ő	PRO;DAT;MASC;SG;3	PRO;ACC;SG;3
йому	neki	він	ő	PRO;DAT;MASC;SG;3	
крім	kivéve	крім	kivév	ADP;GEN	
тоді	aztán	тоді	aztán	ADV	
ніж	kés	ніж	kés	CONJ	N;NOM;SG
ніж	kést	ніж	kést	CONJ	N;ACC;SG
ніж	késsel	ніж	kés	CONJ	N;NOM;SG
франція	franciaország	франція	franciaország	PROPN;INAN;NOM;FEM;SG	N;NOM;SG
франція	france	франція	france	PROPN;INAN;NOM;FEM;SG	
адміністративний	adminisztratív	адміністративний	adminisztratív	ADJ;NOM;MASC;SG	N;NOM;SG
групи	csoportoknak	група	csoport	N;INAN;NOM;FEM;PL	N;DAT;PL
буде	will	бути	will	V;IPFV;IND;SG;3;FUT;FIN	
буде	fog	бути	fog	V;IPFV;IND;SG;3;FUT;FIN	V;INDF;IND;SG;3;PRS;ACT
буде	akarat	бути	akarat	V;IPFV;IND;SG;3;FUT;FIN	N;NOM;SG
буде	bodø	бути	bodø	V;IPFV;IND;SG;3;FUT;FIN	
динаміка	dynamics	динаміка	dynamics	N;INAN;NOM;FEM;SG	
національний	national	національний	national	ADJ;NOM;MASC;SG	
управління	irányítási	управління	irányítási	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
всіх	mindegyik	всі	mindegyik	PRO;ANIM;ACC	
всіх	mind	всі	mind	PRO;ANIM;ACC	CONJ
всіх	minden	всі	minden	PRO;ANIM;ACC	PRO;NOM;SG;3
всіх	mindenki	всі	mindenki	PRO;ANIM;ACC	
всіх	mindenkinek	всі	mindenki	PRO;ANIM;ACC	
нього	neki	він	ő	PRO;ACC;MASC;SG;3	
річки	rivers	річка	rivers	N;INAN;NOM;FEM;PL	
людей	emberek	людина	ember	N;ANIM;ACC;FEM;PL	N;NOM;PL
хоча	habár	хоча	habár	CONJ	CONJ
хоча	habár	хоча	habár	CONJ	CONJ
мови	nyelveket	мова	nyelv	N;INAN;NOM;FEM;PL	N;ACC;PL
мови	nyelveken	мова	nyelv	N;INAN;NOM;FEM;PL	N;ON+ESS;PL
мови	nyelv	мова	nyelv	N;INAN;NOM;FEM;PL	N;NOM;SG
українська	ukrán	український	ukrán	ADJ;NOM;FEM;SG	
поселення	megegyezés	поселення	megegyezés	N;INAN;NOM;NEUT;SG	
поселення	elszámolási	поселення	elszámolási	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
поселення	egyezség	поселення	egyezség	N;INAN;NOM;NEUT;SG	
розподіл	forgalmazási	розподіл	forgalmazási	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
знаходиться	található	знаходитися	található	V;IPFV;IND;SG;3;PRS;FIN	ADJ;NOM;SG
розвитку	fejlesztés	розвиток	fejlesztés	N;INAN;GEN;MASC;SG	N;NOM;SG
розвитку	fejlődés	розвиток	fejlődés	N;INAN;GEN;MASC;SG	N;NOM;SG
розвитку	fejlesztési	розвиток	fejlesztési	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
кілька	kevesen	кілька	kevés	DET;NOM	ADV
кілька	pár	кілька	pár	DET;NOM	
кілька	kevés	кілька	kevés	DET;NOM	
кілька	kevesek	кілька	kevés	DET;NOM	
хімічно	kémiailag	хімічно	kémiailag	ADV	N;NOM;SG
часто	gyakran	часто	gyakran	ADV	
часто	gyakran	часто	gyakran	ADV	
олександр	sándor	олександр	sándor	PROPN;ANIM;NOM;MASC;SG	
олександр	alexander	олександр	alexander	PROPN;ANIM;NOM;MASC;SG	
офіційний	tisztviselő	офіційний	tisztviselő	ADJ;NOM;MASC;SG	N;NOM;SG
департамент	megye	департамент	megye	N;INAN;NOM;MASC;SG	
віком	érlelt	вік	érlelt	N;INAN;INS;MASC;SG	
тощо	stb	тощо	stb	PART	
майже	majdnem	майже	majdnem	ADV	
права	jobbra	право	jobbra	N;INAN;NOM;NEUT;PL	ADV
права	jogokkal	право	jog	N;INAN;NOM;NEUT;PL	N;INS;PL
муніципалітетів	települések	муніципалітет	település	N;ANIM;ACC;MASC;PL	N;NOM;PL
стала	állandó	стати	állandó	V;PFV;FEM;IND;SG;PST;FIN	
стала	folyamatos	стати	folyamatos	V;PFV;FEM;IND;SG;PST;FIN	
голови	fej	голова	fej	N;INAN;NOM;FEM;PL	N;NOM;SG
голови	fejeket	голова	fejek	N;INAN;NOM;FEM;PL	N;ACC;PL
голови	átültetés	голова	átültetés	N;INAN;NOM;FEM;PL	N;NOM;SG
голови	transzplantációs	голова	transzplantációs	N;INAN;NOM;FEM;PL	ADJ;NOM;SG
південь	dél	південь	dél	N;INAN;NOM;MASC;SG	
південь	délre	південь	délre	N;INAN;NOM;MASC;SG	ADV
південь	déli	південь	déli	N;INAN;NOM;MASC;SG	
вулиці	utcákon	вулиця	utca	N;INAN;NOM;FEM;PL	N;ON+ESS;PL
перед	hírnök	перед	hírnök	ADP;INS	N;NOM;SG
перед	előzetes	перед	előzetes	ADP;INS	
перед	előtte	перед	előtte	ADP;INS	
перед	mielőtt	перед	mielőtt	ADP;INS	ADV
сім	hetes	сей	hetes		N;NOM;SG
сім	hét	сей	hét		N;NOM;SG
яке	ami	який	ami	DET;NOM;NEUT;SG	PRO;NOM;SG;3
яке	melyik	який	melyik	DET;NOM;NEUT;SG	
яке	mely	який	mely	DET;NOM;NEUT;SG	
яке	amely	який	amely	DET;NOM;NEUT;SG	PRO;NOM;SG;3
автор	alkotó	автор	alkotó	N;ANIM;NOM;MASC;SG	
автор	teremtő	автор	teremtő	N;ANIM;NOM;MASC;SG	
автор	szerző	автор	szerző	N;ANIM;NOM;MASC;SG	
володимир	vlagyimir	володимир	vlagyimir	ADJ;NOM;MASC;SG	
володимир	vlagyimir	володимир	vlagyimir	ADJ;NOM;MASC;SG	
володимир	vladimir	володимир	vladimir	ADJ;NOM;MASC;SG	
академії	akadémia	академія	akadémia	N;INAN;NOM;FEM;PL	N;NOM;SG
фільм	filmet	фільм	film	N;INAN;NOM;MASC;SG	N;ACC;SG
карта	térkép	карта	térkép	N;INAN;NOM;FEM;SG	
карта	térképet	карта	térkép	N;INAN;NOM;FEM;SG	N;ACC;SG
команди	parancsol	команда	parancsol	N;INAN;NOM;FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
іван	ivan	іван	ivan	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;SG
іван	iván	іван	iván	PROPN;ANIM;NOM;MASC;SG	
іван	john	іван	john	PROPN;ANIM;NOM;MASC;SG	
іван	jános	іван	jános	PROPN;ANIM;NOM;MASC;SG	N;NOM;SG
використання	használatával	використання	használat	N;INAN;NOM;NEUT;SG	N;INS;SG
використання	felhasználva	використання	felhasználva	N;INAN;NOM;NEUT;SG	ADV;V.CVB
використання	használni	використання	használ	N;INAN;NOM;NEUT;SG	V;NFIN;ACT
головний	főnök	головний	főnök	ADJ;NOM;MASC;SG	N;NOM;SG
головний	fő	головний	fő	ADJ;NOM;MASC;SG	
головний	main	головний	main	ADJ;NOM;MASC;SG	
головний	főbb	головний	fő	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;SG
музей	museum	музей	museum	N;INAN;NOM;MASC;SG	
діяльність	tevékenységei	діяльність	tevékenység	N;INAN;NOM;FEM;SG	N;NOM;PL
діяльність	tevékenységek	діяльність	tevékenység	N;INAN;NOM;FEM;SG	N;NOM;PL
діяльність	tevékenységek	діяльність	tevékenység	N;INAN;NOM;FEM;SG	N;NOM;PL
частини	alkatrész	частина	alkatrész	N;INAN;NOM;FEM;PL	N;NOM;SG
закінчив	kész	закінчити	kész	V;PFV;MASC;IND;SG;PST;FIN	
джерела	forrás	джерело	forrás	N;INAN;NOM;NEUT;PL	N;NOM;SG
джерела	forrás	джерело	forrás	N;INAN;NOM;NEUT;PL	N;NOM;SG
кам	táborok	кам	táborok		N;NOM;PL
честь	becsület	честь	becsület	N;INAN;ACC;FEM;SG	N;NOM;SG
честь	megtiszteltetés	честь	megtiszteltetés	N;INAN;ACC;FEM;SG	
честь	becsület	честь	becsület	N;INAN;ACC;FEM;SG	N;NOM;SG
честь	megtiszteltetés	честь	megtiszteltetés	N;INAN;ACC;FEM;SG	
організації	szervezetek	організація	szervezet	N;INAN;GEN;FEM;SG	N;NOM;PL
організації	szervez	організація	szervez	N;INAN;GEN;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
сил	erők	сила	erő	N;INAN;GEN;FEM;PL	N;NOM;PL
померли	halálesetek	померти	haláleset	V;PFV;IND;PL;PST;FIN	N;NOM;PL
померли	haláleset	померти	haláleset	V;PFV;IND;PL;PST;FIN	N;NOM;SG
дві	kettő	два	kettő	NUM;NOM;FEM	
діяльності	tevékenységei	діяльність	tevékenység	N;INAN;GEN;FEM;SG	N;NOM;PL
діяльності	tevékenységek	діяльність	tevékenység	N;INAN;GEN;FEM;SG	N;NOM;PL
діяльності	tevékenység	діяльність	tevékenység	N;INAN;GEN;FEM;SG	N;NOM;SG
діяльності	tevékenységek	діяльність	tevékenység	N;INAN;GEN;FEM;SG	N;NOM;PL
діяльності	tevékenység	діяльність	tevékenység	N;INAN;GEN;FEM;SG	N;NOM;SG
діяльності	aktivitás	діяльність	aktivitás	N;INAN;GEN;FEM;SG	N;NOM;SG
