stregone	ساحر.	stregone	ساحر.	N;MASC;SG	PROPN;NOM;MASC;SG;3
salti	in	salto	in	N;MASC;PL	
salti	چڑھنا	salto	چڑھ	N;MASC;PL	V;MASC;SG;NFIN;ACT
salti	چڑھانا.	salto	چڑھاناؤ	N;MASC;PL	PROPN;NOM;MASC;SG;3
salti	of	salto	of	N;MASC;PL	
jolly	نفر.	jolly	نفر.	N;MASC	PROPN;NOM;MASC;SG;3
jolly	مرغوب	jolly	مرغوب	N;MASC	ADJ
jolly	رسم.	jolly	رسم.	N;MASC	PROPN;NOM;MASC;SG;3
jolly	رنگیلا	jolly	رنگیلا	N;MASC	PROPN;NOM;MASC;SG;3
jolly	بجائے	jolly	بجائے	N;MASC	PART;NEG
jolly	مگن	jolly	مگن	N;MASC	
jolly	خوشگوار	jolly	خوشگوار	N;MASC	ADJ
jolly	پچکارنا.	jolly	پچکارنا.	N;MASC	V;MASC;SG;V.PTCP;ACT
jolly	بہت	jolly	بہت	N;MASC	DET
infiorescenza	ٹہنی	infiorescenza	ٹہنی	N;FEM;SG	ADJ
tanner	کھٹیک.	tanner	کھٹیک.	N;FEM;SG	PROPN;NOM;MASC;SG;3
tanner	دبّاغ	tanner	دبّاغ	N;FEM;SG	PROPN;NOM;MASC;SG;3
tanner	کھٹیک.	tanner	کھٹیک.	N;FEM;SG	PROPN;NOM;MASC;SG;3
feroce	متشدّد	feroca	متشدّد	ADJ;SG	PROPN;NOM;MASC;SG;3
feroce	اڑیل	feroca	اڑیل	ADJ;SG	PROPN;NOM;MASC;SG;3
feroce	مشین	feroca	مشین	ADJ;SG	N;NOM;MASC;SG;3
feroce	خونخوار	feroca	خونخوار	ADJ;SG	
feroce	خونخوار	feroca	خونخوار	ADJ;SG	
feroce	وحشی	feroca	وحشی	ADJ;SG	
letale	مہلک.	letale	مہلک.	ADJ;SG	
letale	مردنی	letale	مردنی	ADJ;SG	PROPN;NOM;MASC;SG;3
letale	انتہائی	letale	انتہائی	ADJ;SG	ADV
letale	ظالم	letale	ظالم	ADJ;SG	N;NOM;MASC;SG;3
letale	بالکل	letale	بالکل	ADJ;SG	CONJ
letale	ازحد	letale	ازحد	ADJ;SG	
letale	نہایت	letale	نہایت	ADJ;SG	ADV
letale	سفّاک.	letale	سفّاک.	ADJ;SG	PROPN;NOM;MASC;SG;3
letale	افسردہ.	letale	افسردہ.	ADJ;SG	PROPN;NOM;MASC;SG;3
letale	قاتل	letale	قاتل	ADJ;SG	N;NOM;MASC;SG;3
passioni	لگاؤ	passione	لگاوا	N;FEM;PL	PROPN;NOM;MASC;SG;3
jungle	ابتر	jungle	ابتر	N	ADJ
jungle	پیچیدہ	jungle	پیچیدہ	N	ADJ
sabine	سبینی.	sabina	سبینی.	N;FEM;PL	PROPN;NOM;MASC;SG;3
scimmia	دھمس.	scimmia	دھمس.	N;FEM;SG	
scimmia	بندر	scimmia	بندر	N;FEM;SG	PROPN;NOM;MASC;SG;3
scimmia	دھمس.	scimmia	دھمس.	N;FEM;SG	
scimmia	بُوزنہ	scimmia	بُوزنہ	N;FEM;SG	PROPN;NOM;MASC;SG;3
scimmia	چمپانزی	scimmia	چمپانزی	N;FEM;SG	PROPN;NOM;MASC;SG;3
swing	جھولنے	swing	جھول	N;MASC	V;ACC;NFIN
swing	سُبک	swing	سُبک	N;MASC	PROPN;NOM;MASC;SG;3
swing	لٹکنے	swing	لٹک	N;MASC	V;ACC;NFIN
swing	رواں	swing	رواں	N;MASC	ADJ
swing	جھلانا	swing	جھلا	N;MASC	PROPN;NOM;MASC;SG;3
swing	جھونک	swing	جھونک	N;MASC	V;ACT
swing	لپک.	swing	لپک.	N;MASC	
swing	جھولنا	swing	جھول	N;MASC	V;SG;NFIN;ACT
matto	لٹّو	matto	لٹّو	N;MASC;SG	PROPN;NOM;MASC;SG;3
matto	احمقانہ	matto	احمقانہ	N;MASC;SG	ADJ
matto	جنونی	matto	جنونی	N;MASC;SG	PROPN;NOM;MASC;SG;3
visivo	بصری	visivo	بصری	ADJ;MASC;SG	
visivo	نظری	visivo	نظری	ADJ;MASC;SG	N;NOM;MASC;SG;3
gap	درّہ.	gap	درّہ.	N;MASC	PROPN;NOM;MASC;SG;3
gap	شگاف.	gap	شگاف.	N;MASC	PROPN;NOM;MASC;SG;3
gap	اختلاف.	gap	اختلاف.	N;MASC	ADJ
gap	ریخ	gap	ریخ	N;MASC	
gap	درّہ.	gap	درّہ.	N;MASC	PROPN;NOM;MASC;SG;3
gap	شگاف.	gap	شگاف.	N;MASC	PROPN;NOM;MASC;SG;3
gap	اختلاف.	gap	اختلاف.	N;MASC	ADJ
gap	ریخ	gap	ریخ	N;MASC	
disperazione	چھوڑنا	disperazione	چھوڑ	N;FEM;SG	V;NFIN
ventesimo	بیستم	ventesimo	بیستم	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
ventesimo	بیسویں	ventesimo	بیسو	ADJ;MASC;SG	N;ACC;MASC;PL;3
ventesimo	بیسواں	ventesimo	بیسواں	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
kick	گرمانے	kick	گرما	N;MASC	V;NFIN
kick	ترنگ	kick	ترنگ	N;MASC	PROPN;NOM;MASC;SG;3
cardinal	خاص	cardinal	خاص	N;MASC;SG	ADJ
lavoratore	مزدور.	lavoratore	مزدور.	N;MASC;SG	PROPN;NOM;MASC;SG;3
lavoratore	کامی	lavoratore	کامی	N;MASC;SG	PROPN;NOM;MASC;SG;3
lavoratore	مزدور.	lavoratore	مزدور.	N;MASC;SG	PROPN;NOM;MASC;SG;3
crew	جتھا	crew	جتھا	N	
inversione	پلٹا	inversione	پلٹا	N;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
inversione	تقلیب	inversione	تقلیب	N;FEM;SG	PROPN;NOM;MASC;SG;3
sorriso	روشن	sorriso	روشن	N;MASC;SG	ADJ
sorriso	مسکرانا	sorriso	مسکرانا	N;MASC;SG	PROPN;NOM;MASC;SG;3
sorriso	بہلانا.	sorriso	بہلانا.	N;MASC;SG	
sorriso	out	sorriso	out	N;MASC;SG	
sorriso	تبسّم	sorriso	تبسّم	N;MASC;SG	PROPN;NOM;MASC;SG;3
sorriso	ہنسی.	sorriso	ہنسی.	N;MASC;SG	PROPN;NOM;MASC;SG;3
cult	مذہب.	cult	مذہب.	N;MASC	PROPN;NOM;MASC;SG;3
scarsi	شاذ.	scarso	شاذ.	N;MASC;PL	PROPN;NOM;MASC;SG;3
scarsi	بمشکل	scarso	بمشکل	N;MASC;PL	V
scarsi	ناکافی.	scarso	ناکافی.	N;MASC;PL	PROPN;NOM;MASC;SG;3
scarsi	شاذ.	scarso	شاذ.	N;MASC;PL	PROPN;NOM;MASC;SG;3
scarsi	بمشکل	scarso	بمشکل	N;MASC;PL	V
scarsi	ناکافی.	scarso	ناکافی.	N;MASC;PL	PROPN;NOM;MASC;SG;3
scarsi	کمیاب	scarso	کمیاب	N;MASC;PL	ADJ
beast	حیوان	beast	حیوان	N	PROPN;NOM;MASC;SG;3
promise	اقرار.	promettere	اقرارؤ	V;IND;SG;3;PST;FIN	PROPN;NOM;MASC;SG;3
promise	قول	promettere	قول	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
promise	عہد	promettere	عہد	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
promise	اقرار.	promettere	اقرارؤ	V;IND;SG;3;PST;FIN	PROPN;NOM;MASC;SG;3
promise	قول	promettere	قول	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
promise	وعدہ	promettere	وعدہ	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
solidi	کٹّر.	solido	کٹّر.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
solidi	مسطّح	solido	مسطّح	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
solidi	مسلسل	solido	مسلسل	ADJ;MASC;PL	ADV
solidi	مجسّم.	solido	مجسّم.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
solidi	یکجا	solido	یکجا	ADJ;MASC;PL	N;NOM;MASC;SG;3
solidi	متّحد	solido	متّحد	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
solidi	کٹّر.	solido	کٹّر.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
solidi	مسطّح	solido	مسطّح	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
solidi	مسلسل	solido	مسلسل	ADJ;MASC;PL	ADV
solidi	مجسّم.	solido	مجسّم.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
solidi	یکجا	solido	یکجا	ADJ;MASC;PL	N;NOM;MASC;SG;3
solidi	متّحد	solido	متّحد	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
affine	مشابہت	affine	مشابہت	ADJ;SG	N;NOM;MASC;SG;3
affine	عزیز	affine	عزیز	ADJ;SG	PROPN;NOM;MASC;SG;3
affine	مطابقت.	affine	مطابقت.	ADJ;SG	N
candidata	امیدوار	candidato	امیدوار	V;FEM;SG;PST;V.PTCP	N;NOM;MASC;SG;3
ripartire	تجدید	ripartire	تجدید	V;NFIN	N;NOM;MASC;SG;3
numismatico	مسکوکاتی.	numismatico	مسکوکاتی	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
numismatico	سکّوں	numismatico	سکل	ADJ;MASC;SG	N;ACC;MASC;PL;3
skin	رگڑنا.	skin	رگڑنا.	N	PROPN;NOM;MASC;SG;3
skin	چمڑی.	skin	چمڑی.	N	PROPN;NOM;MASC;SG;3
skin	جلد	skin	جلد	N	ADV
skin	اسٹینسل.	skin	اسٹینسل.	N	PROPN;NOM;MASC;SG;3
skin	رگڑنا.	skin	رگڑنا.	N	PROPN;NOM;MASC;SG;3
skin	چمڑی.	skin	چمڑی.	N	PROPN;NOM;MASC;SG;3
skin	جلد	skin	جلد	N	ADV
skin	اسٹینسل.	skin	اسٹینسل.	N	PROPN;NOM;MASC;SG;3
skin	پوست	skin	پوست	N	
ammettere	گنجائش	ammettere	گنجائش	V;NFIN	N;NOM;MASC;SG;3
imitazione	مثنّیٰ.	imitazione	مثنّیٰ.	N;FEM;SG	PROPN;NOM;MASC;SG;3
imitazione	نقالی.	imitazione	نقالی	N;FEM;SG	PROPN;NOM;MASC;SG;3
imitazione	جعلی	imitazione	جعلی	N;FEM;SG	ADJ
imitazione	مثنّیٰ.	imitazione	مثنّیٰ.	N;FEM;SG	PROPN;NOM;MASC;SG;3
imitazione	نقالی.	imitazione	نقالی	N;FEM;SG	PROPN;NOM;MASC;SG;3
imitazione	جعلی	imitazione	جعلی	N;FEM;SG	ADJ
erigere	نافذ	erigere	نافذ	V;NFIN	ADJ
erigere	عمودی.	erigere	عمودیؤ	V;NFIN	PROPN;NOM;MASC;SG;3
erigere	(	erigere	(	V;NFIN	
erigere	نصب	erigere	نصب	V;NFIN	ADJ
twin	جوڑا	twin	جوڑ	N	PROPN;NOM;MASC;SG;3
twin	مثنیٰ	twin	مثنیٰ	N	PROPN;NOM;MASC;SG;3
kaiser	قیصر	kaiser	قیصر	N;MASC	PROPN;NOM;MASC;SG;3
riservati	to	riservato	to	V;MASC;PL;PST;V.PTCP	
riservati	خاموش	riservato	خاموش	V;MASC;PL;PST;V.PTCP	ADJ
instabilità	نااستواری	instabilità	نااستواری	N;FEM	PROPN;NOM;MASC;SG;3
instabilità	نامحکمی.	instabilità	نامحکمی.	N;FEM	PROPN;NOM;MASC;SG;3
profitto	سود.	profitto	سود.	N;MASC;SG	PROPN;NOM;MASC;SG;3
profitto	یافت	profitto	یافت	N;MASC;SG	PROPN;NOM;MASC;SG;3
profitto	سود.	profitto	سود.	N;MASC;SG	PROPN;NOM;MASC;SG;3
distanti	مرتبے	distante	مرتبہ	ADJ;PL	N;NOM;MASC;SG;3
distanti	بھٹکا	distante	بھٹک	ADJ;PL	V;PFV;MASC;SG;V.PTCP;ACT
distanti	حیثیت	distante	حیثیت	ADJ;PL	N;NOM;MASC;SG;3
distanti	خفیف	distante	خفیف	ADJ;PL	
distanti	مرتبے	distante	مرتبہ	ADJ;PL	N;NOM;MASC;SG;3
distanti	بھٹکا	distante	بھٹک	ADJ;PL	V;PFV;MASC;SG;V.PTCP;ACT
distanti	حیثیت	distante	حیثیت	ADJ;PL	N;NOM;MASC;SG;3
distanti	خفیف	distante	خفیف	ADJ;PL	
distanti	دُور	distante	دُور	ADJ;PL	
distanti	بعید	distante	بعید	ADJ;PL	PROPN;NOM;MASC;SG;3
curiosa	نادر.	curioso	نادر.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
curiosa	فحش	curioso	فحش	ADJ;FEM;SG	N;NOM;MASC;SG;3
curiosa	نادر.	curioso	نادر.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
curiosa	فحش	curioso	فحش	ADJ;FEM;SG	N;NOM;MASC;SG;3
dissoluzione	انشقاق	dissoluzione	انشقاق	N;FEM;SG	PROPN;NOM;MASC;SG;3
dissoluzione	نیستی.	dissoluzione	نیستی.	N;FEM;SG	PROPN;NOM;MASC;SG;3
dissoluzione	عّیاشی.	dissoluzione	علیاشیؤ	N;FEM;SG	PROPN;NOM;MASC;SG;3
dissoluzione	موت.	dissoluzione	موت.	N;FEM;SG	PROPN;NOM;MASC;SG;3
dissoluzione	انشقاق	dissoluzione	انشقاق	N;FEM;SG	PROPN;NOM;MASC;SG;3
dissoluzione	نیستی.	dissoluzione	نیستی.	N;FEM;SG	PROPN;NOM;MASC;SG;3
dissoluzione	عّیاشی.	dissoluzione	علیاشیؤ	N;FEM;SG	PROPN;NOM;MASC;SG;3
dissoluzione	موت.	dissoluzione	موت.	N;FEM;SG	PROPN;NOM;MASC;SG;3
dissoluzione	تحلیل	dissoluzione	تحلیل	N;FEM;SG	ADJ
connesso	مسلسل	connesso	مسلسل	ADJ;MASC;SG	ADV
connesso	متعلق	connesso	متعلق	ADJ;MASC;SG	ADP
connesso	منسوب.	connesso	منسوب.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
controverso	جھگڑا	controverso	جھگڑا	ADJ;MASC;SG	N;NOM;MASC;SG;3
controverso	نزاع	controverso	نزاع	ADJ;MASC;SG	N;NOM;MASC;SG;3
ottimale	تعدیل.	ottimale	تعدیل.	ADJ;SG	PROPN;NOM;MASC;SG;3
terminali	حد	terminale	حد	N;MASC;PL	
terminali	زبردست-	terminale	زبردست-	N;MASC;PL	PROPN;NOM;MASC;SG;3
terminali	نہائی.	terminale	نہائی.	N;MASC;PL	PROPN;NOM;MASC;SG;3
terminali	نہایت.	terminale	نہایت.	N;MASC;PL	PROPN;NOM;MASC;SG;3
terminali	انتہا	terminale	انتہا	N;MASC;PL	PROPN;NOM;MASC;SG;3
dente	سن	dente	سن	N;MASC;SG	
dente	دنداں	dente	دنداں	N;MASC;SG	PROPN;NOM;MASC;SG;3
dente	سن	dente	سن	N;MASC;SG	
dente	دنداں	dente	دنداں	N;MASC;SG	PROPN;NOM;MASC;SG;3
met	موسمیاتی.	met	موسمیاتی.	N;MASC;SG	PROPN;NOM;MASC;SG;3
faida	طویل	faida	طویل	N;FEM;SG	ADJ
attenta	چوکس.	attento	چوکس.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
placca	رکابی	placca	رکابی	N;FEM;SG	ADJ
placca	لوحین.	placca	لوحین.	N;FEM;SG	PROPN;NOM;MASC;SG;3
gravitazionale	تجاذبی.	gravitazionale	تجاذبیؤ	ADJ;SG	PROPN;NOM;MASC;SG;3
cera	جھونجل	cera	جھونجل	N;FEM;SG	PROPN;NOM;MASC;SG;3
cera	(	cera	(	N;FEM;SG	
cera	مومیانا	cera	مومیانا	N;FEM;SG	PROPN;NOM;MASC;SG;3
nightmare	دہشت.	nightmare	دہشت.	N;MASC	PROPN;NOM;MASC;SG;3
manto	ملوک	manto	ملوک	N;MASC;SG	PROPN;NOM;MASC;SG;3
manto	۱۳	manto	۱۳	N;MASC;SG	PROPN;NOM;MASC;SG;3
libanese	لبنانی.	libanese	لبنانی.	ADJ;SG	PROPN;NOM;MASC;SG;3
visualizzazione	محاکات	visualizzazione	محاک	N;FEM;SG	N;NOM;MASC;PL;3
visualizzazione	نظارگی	visualizzazione	نظارگی	N;FEM;SG	PROPN;NOM;MASC;SG;3
visualizzazione	نظرفریبی.	visualizzazione	نظرفریبی.	N;FEM;SG	ADJ
visualizzazione	تماشا.	visualizzazione	تماشا.	N;FEM;SG	
visualizzazione	دکھاوا	visualizzazione	دکھا	N;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
chief	فائق	chief	فائق	N	ADJ
chief	ممتاز	chief	ممتاز	N	ADJ
warrior	جنگی	warrior	جنگی	N;MASC	ADJ
creativo	مخترع	creativo	مخترع	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
creativo	موجد	creativo	موجد	ADJ;MASC;SG	N;NOM;MASC;SG;3
creativo	خلاّق.	creativo	خلاّق.	ADJ;MASC;SG	
riflesso	مظہر	riflesso	مظہر	N;MASC;SG	PROPN;NOM;MASC;SG;3
riflesso	عکس.	riflesso	عکس.	N;MASC;SG	
riflesso	upon	riflesso	upon	N;MASC;SG	PROPN;NOM;MASC;SG;3
riflesso	انعکاس	riflesso	انعکاس	N;MASC;SG	
musa	موسیقی	musa	موسیقی	N;FEM;SG	ADJ
cassetta	فیتہ	cassetta	فیتہ	N;FEM;SG	
vision	بینائی	vision	بینائی	N	V;PFV;FEM;SG;V.PTCP;ACT
vision	بینائی	vision	بینائی	N	V;PFV;FEM;SG;V.PTCP;ACT
impact	ٹکراؤ.	impact	ٹکراؤ.	N;MASC	PROPN;NOM;MASC;SG;3
impact	دابنا.	impact	دابنا.	N;MASC	PROPN;NOM;MASC;SG;3
impact	جکڑنا	impact	جکڑنا	N;MASC	V;MASC;SG;NFIN;ACT
hammer	ہرانا	hammer	ہرانا	N	PROPN;NOM;MASC;SG;3
hammer	بجانا	hammer	بجا	N	V;MASC;SG;ACT
hammer	پچکانا	hammer	پچکا	N	PROPN;NOM;MASC;SG;3
fertile	مخترع	fertile	مخترع	ADJ;SG	PROPN;NOM;MASC;SG;3
intermediazione	دلالی	intermediazione	دلالی	N;FEM;SG	V;PFV;FEM;SG;V.PTCP;ACT
intermediazione	ثالثی	intermediazione	ثالثی	N;FEM;SG	ADJ
intermediazione	ثالث	intermediazione	ثالث	N;FEM;SG	PROPN;NOM;MASC;SG;3
intermediazione	پنچ	intermediazione	پنچ	N;FEM;SG	
intermediazione	حکَم.	intermediazione	حکَم.	N;FEM;SG	PROPN;NOM;MASC;SG;3
freddi	جوش	freddo	جوش	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	بالکل	freddo	بالکل	ADJ;MASC;PL	CONJ
freddi	جذبہ	freddo	جذبہ	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	مہر	freddo	مہر	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	زکام	freddo	زکام	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	مدّھم	freddo	مدّھم	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
freddi	یکلخت	freddo	یکلخت	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	شیتل	freddo	شیتل	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
freddi	جوش	freddo	جوش	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	سرد	freddo	سرد	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	بالکل	freddo	بالکل	ADJ;MASC;PL	CONJ
freddi	جذبہ	freddo	جذبہ	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	بارِد	freddo	بارِد	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
freddi	نزلہ	freddo	نزلہ	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	مہر	freddo	مہر	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	زکام	freddo	زکام	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	مدّھم	freddo	مدّھم	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
freddi	یکلخت	freddo	یکلخت	ADJ;MASC;PL	N;NOM;MASC;SG;3
freddi	شیتل	freddo	شیتل	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
ricetta	گُر	ricetta	گُر	N;FEM;SG	
input	انداختہ.	input	انداختہ.	N;MASC	ADJ
artigli	دبوچنا	artiglio	دبوچ	N;MASC;PL	V;MASC;SG;NFIN;ACT
artigli	کھسوٹنا	artiglio	کھسوٹنا	N;MASC;PL	V;NFIN;ACT
artigli	کُھجانا	artiglio	کُھجانا	N;MASC;PL	V;MASC;SG;NFIN;ACT
bloom	شادابی	bloom	شادابی	N	ADJ
bloom	رعنائی	bloom	رعنائی	N	ADJ
smart	ممتاز.	smart	ممتاز.	N	ADJ
smart	درست	smart	درست	N	ADJ
smart	ہوشیار	smart	ہوشیار	N	PROPN;NOM;MASC;SG;3
smart	پھرتیلا.	smart	پھرتیلا.	N	PROPN;NOM;MASC;SG;3
smart	پھرتی	smart	پھرتی	N	ADJ;FEM
smart	طرار	smart	طرار	N	
smart	تیز	smart	تیز	N	ADJ
smart	خلش.	smart	خلش.	N	PROPN;NOM;MASC;SG;3
smart	عیار	smart	عیار	N	
smart	طرحدار	smart	طرحدار	N	PROPN;NOM;MASC;SG;3
smart	زوردار.	smart	زوردار.	N	PROPN;NOM;MASC;SG;3
strong	شدید-	strong	شدید-	N	PROPN;NOM;MASC;SG;3
strong	حاوی	strong	حاوی	N	ADJ
strong	واضح	strong	واضح	N	ADJ
strong	پکّا	strong	پکڑ	N	PROPN;NOM;MASC;SG;3
strong	تند	strong	تند	N	V;MASC;SG;ACT
strong	متحد	strong	متحد	N	ADJ
strong	شدید-	strong	شدید-	N	PROPN;NOM;MASC;SG;3
strong	حاوی	strong	حاوی	N	ADJ
strong	واضح	strong	واضح	N	ADJ
strong	پکّا	strong	پکڑ	N	PROPN;NOM;MASC;SG;3
strong	مضبوط	strong	مضبوط	N	ADJ
strong	تند	strong	تند	N	V;MASC;SG;ACT
strong	متحد	strong	متحد	N	ADJ
burning	کھلا	burning	کھل	N	V;PFV;MASC;SG;V.PTCP;ACT
burning	شدید	burning	شدید	N	ADJ
burning	نہایت	burning	نہایت	N	ADV
burning	ظاہر	burning	ظاہر	N	ADJ
esplicita	خیال	esplicito	خیال	ADJ;FEM;SG	N;NOM;MASC;SG;3
esplicita	بیّن	esplicito	بیّن	ADJ;FEM;SG	
esplicita	کھرا	esplicito	کھرا	ADJ;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
esplicita	(	esplicito	(	ADJ;FEM;SG	
cascate	جھرنا.	cascata	جھرنا.	N;FEM;PL	PROPN;NOM;MASC;SG;3
cascate	جھرنا.	cascata	جھرنا.	N;FEM;PL	PROPN;NOM;MASC;SG;3
cascate	آبشار	cascata	آبشار	N;FEM;PL	N;NOM;MASC;SG;3
arrendersi	جذبے	arrenderso	جذبہ	V;IND;SG;3;PST;FIN	N;NOM;MASC;SG;3
arrendersi	تسلیم.	arrenderso	تسلیم.	V;IND;SG;3;PST;FIN	PROPN;NOM;MASC;SG;3
generatore	ڈائنمو.	generatore	ڈائنمو.	N;MASC;SG	PROPN;NOM;MASC;SG;3
generatore	مخترع.	generatore	مخترع.	N;MASC;SG	PROPN;NOM;MASC;SG;3
chandler	پنساری	chandler	پنساری	N;MASC;SG	PROPN;NOM;MASC;SG;3
nozione	ایما	nozione	ایما	N;FEM;SG	PROPN;NOM;MASC;SG;3
riparazioni	پہنچ.	riparazione	پہنچ	N;FEM;PL	
riparazioni	شہرت	riparazione	شہرت	N;FEM;PL	N;NOM;FEM;SG;3
riparazioni	چرچا.	riparazione	چرچا.	N;FEM;PL	
riparazioni	سدھارنا	riparazione	سدھار	N;FEM;PL	V;MASC;SG;NFIN;ACT
riparazioni	رجوع	riparazione	رجوع	N;FEM;PL	N;NOM;MASC;SG;3
riparazioni	رسائی	riparazione	رسائی	N;FEM;PL	N;NOM;MASC;SG;3
riparazioni	مرجع	riparazione	مرجع	N;FEM;PL	N;NOM;MASC;SG;3
riparazioni	مقبولیت	riparazione	مقبولیت	N;FEM;PL	N;NOM;MASC;SG;3
progettare	عّیار	progettare	عّیار	V;NFIN	PROPN;NOM;MASC;SG;3
credenze	اعتماد.	credenza	اعتماد.	N;FEM;PL	PROPN;NOM;MASC;SG;3
lampada	چمکنا.	lampada	چمکنا.	N;FEM;SG	V;MASC;PL;FIN;ACT
lampada	دیکھنا.	lampada	دیکھ	N;FEM;SG	V;NFIN;ACT
sopportare	قائم	sopportare	قائم	V;NFIN	ADJ
must	پھپھوند.	must	پھپھوند.	N	PROPN;NOM;MASC;SG;3
adotta	گودلینا.	adottare	گودلینا.	V;IND;SG;2;PRS;FIN	PROPN;NOM;MASC;SG;3
adotta	(	adottare	(	V;IND;SG;2;PRS;FIN	
industrial	صنعتی.	industrial	صنعتی.	N;FEM;SG	PROPN;NOM;MASC;SG;3
esplorare	جستجو	esplorare	جستجو	V;NFIN	N;NOM;MASC;SG;3
esplorare	تفتیش	esplorare	تفتیش	V;NFIN	N;NOM;FEM;SG;3
