категория	kategórie	категория	kategória	N;INDF;FEM;SG	N;NOM;FEM;PL
започва	začne	започвам-(се)	začať	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
македония	macedónsko	македония	macedónsko	PROPN;INDF;FEM;SG	ADV
сащ	usa	сащ	usa	PROPN;INDF;MASC;PL	
над	over	над	over	ADP	
над	konec	над	konec	ADP	N;INAN;NOM;MASC;SG
над	vyššie	над	vysoko	ADP	ADV;CMPR
него	mu	аз	on	PRO;ACC;MASC;SG;3	PRO;ANIM;DAT;MASC;SG;3
него	on	аз	on	PRO;ACC;MASC;SG;3	PRO;ANIM;NOM;MASC;SG;3
него	neho	аз	on	PRO;ACC;MASC;SG;3	PRO;ANIM;GEN;MASC;SG;3
срещу	versus	срещу	versus	ADP	N;INAN;NOM;MASC;SG
срещу	verzus	срещу	verzus	ADP	N;INAN;NOM;MASC;SG
тези	tý	този	tý	DET;PL	N;ANIM;NOM;MASC;PL
души	duše	души	duša	N;INDF	N;NOM;FEM;PL
мини	mini	мина	minú	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
мини	minnie	мина	minnie	N;INDF;FEM;PL	N;NOM;FEM;SG
намира	nájde	намирам-(се)	nájsť	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
република	republiky	република	republika	N;INDF;FEM;SG	N;NOM;FEM;PL
късно	neskorý	късно	neskorý	ADV	ADJ;INAN;NOM;MASC;SG
късно	oneskorené	късно	oneskorený	ADV	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
късно	neskoré	късно	neskorý	ADV	ADJ;NOM;NEUT;SG
май	májové	май	májový	PROPN;INDF;MASC;SG	ADJ;NOM;NEUT;SG
май	mája	май	máj	PROPN;INDF;MASC;SG	N;INAN;GEN;MASC;SG
май	môže	май	môcť	PROPN;INDF;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
май	máj	май	mať	PROPN;INDF;MASC;SG	INTJ
път	cestná	път	cestný	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
път	cestný	път	cestný	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
път	road	път	road	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
отбор	tým	отбор	to	N;INDF;MASC;SG	DET;INS;NEUT;SG
отбор	team	отбор	team	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
няколко	málo	няколко	málo	PRO;INDF	ADV
няколко	pár	няколко	pár	PRO;INDF	NUM;NOM;NEUT;SG
няколко	mála	няколко	málo	PRO;INDF	N;NOM;FEM;SG
няколко	viacero	няколко	viacero	PRO;INDF	NUM;NOM;NEUT;SG
няколко	niekoľko	няколко	niekoľko	PRO;INDF	DET;NOM;NEUT;SG
няколко	niekoľkých	няколко	niekoľko	PRO;INDF	DET;GEN;NEUT;PL
август	aug	август	aug	N;INDF;MASC;SG	INTJ
роден	narodená	родя-(се)	narodený	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
роден	narodené	родя-(се)	narodený	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
роден	narodený	родя-(се)	narodený	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
беседа	konverzácie	бесед	konverzácia	N;INDF;FEM;SG	N;NOM;FEM;PL
преди	predtym	преди	predtym	ADP	INTJ
преди	predtým	преди	predtým	ADP	ADV
група	band	група	band	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
група	kapely	група	kapela	N;INDF;FEM;SG	N;NOM;FEM;PL
група	group	група	group	N;INDF;FEM;SG	
група	skupiny	група	skupina	N;INDF;FEM;SG	N;NOM;FEM;PL
някои	niektorých	някой	niektorý	PRO;NOM;PL	DET;GEN;MASC;PL
някои	niektore	някой	niektore	PRO;NOM;PL	DET;NOM;MASC;SG
някои	niektoré	някой	niektorý	PRO;NOM;PL	DET;NOM;NEUT;SG
някои	niektorý	някой	niektorý	PRO;NOM;PL	DET;ANIM;NOM;MASC;SG
някои	niektorí	някой	niektorý	PRO;NOM;PL	DET;ANIM;NOM;MASC;PL
тях	ich	аз	on	PRO;ACC;PL;3	PRO;NOM;MASC;PL;3
тях	ne	аз	ono	PRO;ACC;PL;3	PRO;NOM;MASC;PL;3
река	river	река	river	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
река	riečna	река	riečno	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
река	rieky	река	rieka	N;INDF;FEM;SG	N;NOM;FEM;PL
юни	jún	юни	jún	N;INDF;MASC;SG	INTJ
две	two	два	two	NUM;INDF;FEM;PL	
две	dvojka	два	dvojka	NUM;INDF;FEM;PL	N;NOM;FEM;SG
фон	pozadia	фон	pozadie	N;INDF;MASC;SG	N;NOM;NEUT;PL
американски	američan	американски	američan	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
американски	american	американски	american	ADJ;INDF;MASC;SG	N;NOM;FEM;SG
ноември	nov	ноември	on	N;INDF;MASC;SG	INTJ
април	apr	април	apr	N;INDF;MASC;SG	INTJ
декември	dec	декември	dec	N;INDF;MASC;SG	INTJ
чрез	via	чрез	via	ADP	PROPN;NOM;FEM;SG
чрез	skrze	чрез	skrze	ADP	N;ANIM;NOM;MASC;SG
чрез	skrz	чрез	skrz	ADP	
история	histórie	история	história	N;INDF;FEM;SG	N;NOM;FEM;PL
история	dejiny	история	dejiny	N;INDF;FEM;SG	N;NOM;FEM;PL
различни	iný	различен	iný	ADJ;INDF;PL	DET;ANIM;NOM;MASC;SG
различни	rozdielne	различен	rozdielny	ADJ;INDF;PL	ADV
различни	rôzne	различен	rôzny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	iná	различен	iný	ADJ;INDF;PL	DET;NOM;FEM;SG
различни	rôzni	различен	rôzny	ADJ;INDF;PL	N;ANIM;NOM;MASC;PL
различни	rozličné	различен	rozličný	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	rôzne	различен	rôzny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	rozličné	различен	rozličný	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	rôzne	различен	rôzny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
често	casto	често	casto	ADV	INTJ
получава	dostane	получавам	dostať	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
февруари	feb	февруари	feb	N;INDF;MASC;SG	INTJ
работи	práce	работя	práca	V;IPFV;IMP;SG;2;FIN	N;NOM;FEM;PL
работи	dielo	работя	dielo	V;IPFV;IMP;SG;2;FIN	N;NOM;NEUT;SG
работи	praca	работя	praca	V;IPFV;IMP;SG;2;FIN	N;NOM;FEM;SG
работи	práca	работя	práca	V;IPFV;IMP;SG;2;FIN	N;NOM;FEM;SG
работи	pracovné	работя	pracovný	V;IPFV;IMP;SG;2;FIN	ADJ;NOM;NEUT;SG
работи	funguje	работя	fungovať	V;IPFV;IMP;SG;2;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
работи	diela	работя	dielo	V;IPFV;IMP;SG;2;FIN	N;NOM;NEUT;PL
работи	diel	работя	dielo	V;IPFV;IMP;SG;2;FIN	N;NOM;MASC;SG
работи	pracuje	работя	pracovať	V;IPFV;IMP;SG;2;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
провинция	provincie	провинция	provincia	N;INDF;FEM;SG	N;NOM;FEM;PL
империя	ríše	империя	ríša	N;INDF;FEM;SG	N;NOM;FEM;PL
империя	empire	империя	empir	N;INDF;FEM;SG	
иван	ivan	иван	ivan	PROPN;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
иван	ivana	иван	ivana	PROPN;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
повече	viacej	повече	viaci	ADV;INDF;PL	NUM;NOM;NEUT;SG
повече	ďalšie	повече	ďalší	ADV;INDF;PL	ADJ;NOM;NEUT;SG
повече	viac	повече	viac	ADV;INDF;PL	NUM;NOM;NEUT;SG
вече	už	вече	už	ADV	PART
вече	uz	вече	uz	ADV	INTJ
три	three	три	three	NUM;INDF;PL	
страна	krajiny	страна	krajina	N;INDF;FEM;SG	N;NOM;FEM;PL
страна	bočný	страна	bočný	N;INDF;FEM;SG	ADJ;ANIM;NOM;MASC;SG
страна	side	страна	sideť	N;INDF;FEM;SG	INTJ
въпреки	navzdory	въпреки	navzdor	ADP	N;NOM;FEM;PL
население	obyvateľstva	население	obyvateľstvo	N;INDF;NEUT;SG	N;NOM;NEUT;PL
население	populácie	население	populácia	N;INDF;NEUT;SG	N;NOM;FEM;PL
завършва	skončí	завършвам	skončiť	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
завършва	konce	завършвам	koniec	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
бил	billa	съм	billo	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	PROPN;NOM;FEM;SG
бил	bill	съм	bill	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
малко	malá	малко	malý	ADV;INDF;PL	ADJ;NOM;FEM;SG
малко	malé	малко	malý	ADV;INDF;PL	ADJ;NOM;NEUT;SG
малко	malý	малко	malý	ADV;INDF;PL	ADJ;ANIM;NOM;MASC;SG
малко	maly	малко	maly	ADV;INDF;PL	N;INAN;NOM;MASC;SG
хора	ludia	хора	ludia	N;INDF	N;ANIM;NOM;MASC;PL
хора	ludi	хора	ludia	N;INDF	INTJ
хора	ľudia	хора	človek	N;INDF	N;ANIM;NOM;MASC;PL
хора	ľudí	хора	človek	N;INDF	N;ANIM;ACC;MASC;PL
хора	people	хора	peopeľ	N;INDF	PROPN;ANIM;VOC;MASC;SG
университет	university	университет	universita	N;INDF;MASC;SG	N;NOM;FEM;PL
университет	univerzitné	университет	univerzitný	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
университет	univerzity	университет	univerzita	N;INDF;MASC;SG	N;NOM;FEM;PL
германия	nemecko	германия	nemecko	PROPN;INDF;FEM;SG	PROPN;NOM;NEUT;SG
могат	mozu	мога	moz	V;IPFV;IND;PL;3;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
могат	môže	мога	môcť	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
могат	can	мога	can	V;IPFV;IND;PL;3;PRS;FIN;ACT	
могат	moze	мога	moz	V;IPFV;IND;PL;3;PRS;FIN;ACT	
син	blue	син	blue	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
син	modrý	син	modrý	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
син	modré	син	modrý	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
син	modrá	син	modrý	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
георги	georg	георга	georg	PROPN;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
голяма	veľkých	голям	veľký	ADJ;INDF;FEM;SG	ADJ;ANIM;GEN;MASC;PL
голяма	veľkí	голям	veľký	ADJ;INDF;FEM;SG	ADJ;ANIM;NOM;MASC;PL
голяма	velke	голям	velka	ADJ;INDF;FEM;SG	N;NOM;FEM;SG
голяма	velka	голям	velka	ADJ;INDF;FEM;SG	N;NOM;FEM;SG
голяма	big	голям	big	ADJ;INDF;FEM;SG	
италия	taliansko	италия	taliansko	PROPN;INDF;FEM;SG	ADV
италия	talianska	италия	taliansky	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
сайт	site	сайт	site	N;INDF;MASC;SG	INTJ
световна	celosvetovo	световен	celosvetov	ADJ;INDF;FEM;SG	ADV
край	ukončiť	край	ukončiť	ADP	V;PFV;POS;NFIN
край	koniec	край	koniec	ADP	N;INAN;NOM;MASC;SG
край	end	край	end	ADP	PROPN;ANIM;NOM;MASC;SG
край	skončiť	край	skončiť	ADP	V;PFV;POS;NFIN
уикипедия	wikipédia	уикипедия	wikipédium	N;INDF;FEM;SG	N;NOM;NEUT;PL
използва	použitia	използвам	použitie	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;NEUT;PL
сезон	sezóny	сезон	sezón	N;INDF;MASC;SG	N;NOM;FEM;PL
окръг	powiat	окръг	powiat	N;INDF;MASC;SG	
окръг	okres	окръг	okres	N;INDF;MASC;SG	INTJ
днес	dneska	днес	dnesk	ADV	INTJ
днес	dnešok	днес	dnešok	ADV	N;INAN;NOM;MASC;SG
днес	today	днес	todať	ADV	INTJ
днес	dnešné	днес	dnešný	ADV	ADJ;NOM;NEUT;SG
смъртта	death	смърт	death	N;DEF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
смъртта	úmrtia	смърт	úmrtie	N;DEF;FEM;SG	N;NOM;NEUT;PL
франция	francúzsko	франция	francúzsko	PROPN;INDF;FEM;SG	ADV
франция	francúzska	франция	francúzsky	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
национален	vnútroštátnych	национален	vnútroštátny	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL
национален	vnútroštátne	национален	vnútroštátne	ADJ;INDF;MASC;SG	ADV
гърция	grécko	гърция	grécko	PROPN;INDF;FEM;SG	N;NOM;NEUT;SG
гърция	grécka	гърция	grécka	PROPN;INDF;FEM;SG	N;NOM;NEUT;SG
вижте	pozri	видя-(се)	pozrieť	V;PFV;IMP;PL;2;FIN	V;PFV;IMP;SG;2;POS;FIN
вижте	vidíš	видя-(се)	vidieť	V;PFV;IMP;PL;2;FIN	V;IPFV;IND;SG;2;POS;PRS;FIN
вижте	vidieť	видя-(се)	vidieť	V;PFV;IMP;PL;2;FIN	V;IPFV;POS;NFIN
русия	ruska	русия	ruska	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
русия	rusko	русия	rusko	PROPN;INDF;FEM;SG	N;NOM;NEUT;SG
английски	slovensky	английски	slovensky	ADJ;INDF;MASC;SG	ADV
английски	angličtina	английски	angličtina	ADJ;INDF;MASC;SG	N;NOM;FEM;SG
английски	angličtine	английски	angličtina	ADJ;INDF;MASC;SG	N;DAT;FEM;SG
английски	slovenčina	английски	slovenčina	ADJ;INDF;MASC;SG	N;NOM;FEM;SG
английски	slovak	английски	slovak	ADJ;INDF;MASC;SG	N;NOM;NEUT;SG
едно	one	един	ona	NUM;INDF;NEUT;SG	
първи	najprv	първи	najprv	ADJ;INDF;MASC;SG	ADV
първи	prva	първи	prvý	ADJ;INDF;MASC;SG	N;NOM;FEM;SG
отново	zase	отново	zase	ADV	PART
отново	zas	отново	zas	ADV	PART
отново	zasa	отново	zasa	ADV	PART
височина	výšky	височина	výška	N;INDF;FEM;SG	N;NOM;FEM;PL
дъщеря	dcera	дъщеря	dcera	N;INDF;FEM;SG	PROPN;NOM;FEM;SG
система	systémy	система	systém	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
нея	jej	аз	ona	PRO;ACC;FEM;SG;3	PRO;DAT;FEM;SG;3
нея	nej	аз	ona	PRO;ACC;FEM;SG;3	PRO;DAT;FEM;SG;3
училище	školy	училище	škola	N;INDF;NEUT;SG	N;NOM;FEM;PL
училище	školské	училище	školský	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
били	billy	съм	billy	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN;ANIM;NOM;MASC;SG
били	billyho	съм	billy	V;IPFV;INDF;IND;PL;V.PTCP;ACT	ADJ;ANIM;GEN;NEUT;SG
били	billie	съм	billí	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN;NOM;FEM;SG
света	svetová	свят	svetový	N;DEF;MASC;SG	ADJ;NOM;FEM;SG
света	world	свят	world	N;DEF;MASC;SG	
александър	aleksandar	александър	aleksandar	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
александър	alexander	александър	alexander	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
умира	zomrie	умирам	zomrieť	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
умира	umrie	умирам	umrieť	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
южна	juhu	южен	juh	ADJ;INDF;FEM;SG	N;INAN;NOM;MASC;SG
южна	juhu	южен	juh	ADJ;INDF;FEM;SG	N;INAN;NOM;MASC;SG
южна	juh	южен	juh	ADJ;INDF;FEM;SG	N;INAN;NOM;MASC;SG
европа	európa	европа	európa	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
европа	európy	европа	európa	PROPN;INDF;FEM;SG	N;NOM;FEM;PL
европа	európu	европа	európ	PROPN;INDF;FEM;SG	N;ACC;FEM;SG
европа	európe	европа	európa	PROPN;INDF;FEM;SG	N;DAT;FEM;SG
европа	europe	европа	europa	PROPN;INDF;FEM;SG	
европа	europa	европа	europa	PROPN;INDF;FEM;SG	INTJ
димитър	dimitar	димитър	dimitar	PROPN;INDF;MASC;SG	N;NOM;FEM;SG
всеки	kohokoľvek	всеки	kohokoľvek	PRO;NOM;MASC;SG	PRO;ANIM;ACC;MASC;SG
всеки	ktokoľvek	всеки	ktokoľvek	PRO;NOM;MASC;SG	PRO;ANIM;NOM;MASC;SG
всеки	niekto	всеки	niekto	PRO;NOM;MASC;SG	PRO;ANIM;NOM;MASC;SG
всеки	hocikto	всеки	hocikto	PRO;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
всеки	každý	всеки	každý	PRO;NOM;MASC;SG	DET;ANIM;NOM;MASC;SG
всеки	každého	всеки	každý	PRO;NOM;MASC;SG	DET;ANIM;ACC;MASC;SG
всеки	vsetci	всеки	vsetec	PRO;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
всеки	všetkým	всеки	všetok	PRO;NOM;MASC;SG	DET;ANIM;DAT;MASC;PL
всеки	všetci	всеки	všetok	PRO;NOM;MASC;SG	DET;ANIM;NOM;MASC;PL
всеки	každý	всеки	každý	PRO;NOM;MASC;SG	DET;ANIM;NOM;MASC;SG
всеки	kazda	всеки	kazda	PRO;NOM;MASC;SG	
всеки	každá	всеки	každý	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
всеки	každý	всеки	každý	PRO;NOM;MASC;SG	DET;ANIM;NOM;MASC;SG
всеки	každého	всеки	každý	PRO;NOM;MASC;SG	DET;ANIM;ACC;MASC;SG
всеки	každé	всеки	každý	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
всеки	každá	всеки	každý	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
части	časti	част	časť	N;INDF;FEM;PL	N;DAT;FEM;SG
нова	nove	нов	nový	ADJ;INDF;FEM;SG	N;NOM;FEM;PL
нова	novinka	нов	novinka	ADJ;INDF;FEM;SG	N;NOM;FEM;SG
нова	novu	нов	nova	ADJ;INDF;FEM;SG	N;ACC;FEM;SG
нова	nova	нов	nova	ADJ;INDF;FEM;SG	N;NOM;FEM;SG
крал	kral	крал	krať	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
крал	king	крал	king	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
армия	armády	армия	armáda	N;INDF;FEM;SG	N;NOM;FEM;PL
армия	army	армия	arm	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
църква	cirkvi	църква	cirkev	N;INDF;FEM;SG	N;NOM;FEM;PL
докато	do	докато	do	CONJ	ADP;GEN
официален	official	официален	officiať	ADJ;INDF;MASC;SG	INTJ
официален	oficiálne	официален	oficiálne	ADJ;INDF;MASC;SG	ADV
официален	úradník	официален	úradník	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
официален	formálne	официален	formálne	ADJ;INDF;MASC;SG	ADV
северна	sever	северен	sever	ADJ;INDF;FEM;SG	N;INAN;NOM;MASC;SG
северна	severne	северен	severne	ADJ;INDF;FEM;SG	N;NOM;FEM;PL
времето	time	време	tima	N;DEF;NEUT;SG	
българска	bulharských	български	bulharský	ADJ;INDF;FEM;SG	ADJ;GEN;MASC;PL
резултат	skóre	резултат	skóre	N;INDF;MASC;SG	N;NOM;FEM;PL
данни	data	данна	data	N;INDF;FEM;PL	N;NOM;FEM;SG
картинка	obrazok	картинка	obrazok	N;INDF;FEM;SG	INTJ
