категория	luokan	категория	luokka	N;INAN;NOM;FEM;SG	N;GEN;SG
том	tomi	то	tomi	PRO;INAN;NOM;NEUT;SG	PROPN;NOM;SG
том	tomille	то	tomi	PRO;INAN;NOM;NEUT;SG	N;AT+ALL;SG
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	PROPN;NOM;SG
октября	lokakuussa	октябрь	lokakuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
октября	lokakuu	октябрь	lokakuu	N;INAN;GEN;MASC;SG	N;NOM;SG
октября	mma	октябрь	mma	N;INAN;GEN;MASC;SG	N;NOM;SG
октября	lokakuu	октябрь	lokakuu	N;INAN;GEN;MASC;SG	N;NOM;SG
сентября	syys	сентябрь	syys	N;INAN;GEN;MASC;SG	N;NOM;SG
сентября	syyskuuta	сентябрь	syyskuu	N;INAN;GEN;MASC;SG	N;PRT;SG
сентября	syyskuu	сентябрь	syyskuu	N;INAN;GEN;MASC;SG	N;NOM;SG
статьи	artikkeleita	статья	artikkeli	N;INAN;NOM;FEM;PL	N;PRT;PL
июня	kesäkuu	июнь	kesäkuu	N;INAN;GEN;MASC;SG	N;NOM;SG
июня	kesäkuuta	июнь	kesäkuu	N;INAN;GEN;MASC;SG	N;PRT;SG
июня	kesäkuussa	июнь	kesäkuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
апреля	huhtikuu	апрель	huhtikuu	N;INAN;GEN;MASC;SG	N;NOM;SG
апреля	huhtikuuta	апрель	huhtikuu	N;INAN;GEN;MASC;SG	N;PRT;SG
апреля	huhtikuussa	апрель	huhtikuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
апреля	huhti	апрель	huhti	N;INAN;GEN;MASC;SG	N;NOM;SG
сша	usa	сшать	usa	N;INAN;NOM;PL	N;NOM;SG
сша	yhdysvaltojen	сшать	yhdysvallat	N;INAN;NOM;PL	N;GEN;PL
который	jonka	который	joka	PRO;NOM	PRO;GEN;SG
который	jota	который	joka	PRO;NOM	PRO;PRT;SG
который	johon	который	joka	PRO;NOM	PRO;IN+ALL;SG
название	nimeä	название	nimi	N;INAN;NOM;NEUT;SG	N;PRT;SG
человек	henkilöä	человек	henkilö	N;ANIM;NOM;MASC;SG	N;PRT;SG
человек	ihmisen	человек	ihminen	N;ANIM;NOM;MASC;SG	N;GEN;SG
человек	inhimillinen	человек	inhimillinen	N;ANIM;NOM;MASC;SG	ADJ;NOM;SG
смерти	kuolemia	смерть	kuolemia	N;INAN;GEN;FEM;SG	N;PRT;PL
смерти	kuolemat	смерть	kuolema	N;INAN;GEN;FEM;SG	N;NOM;PL
лет	vuotta	год	vuosi	N;INAN;GEN;MASC;PL	N;PRT;SG
лет	vuodet	год	vuosi	N;INAN;GEN;MASC;PL	N;NOM;PL
лет	vuosia	год	vuosi	N;INAN;GEN;MASC;PL	N;PRT;PL
февраля	helmikuuta	февраль	helmikuu	N;INAN;GEN;MASC;SG	N;PRT;SG
февраля	helmikuussa	февраль	helmikuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
февраля	helmikuu	февраль	helmikuu	N;INAN;GEN;MASC;SG	N;NOM;SG
февраля	helmikuu	февраль	helmikuu	N;INAN;GEN;MASC;SG	N;NOM;SG
города	city	город	city	N;INAN;NOM;MASC;PL	PROPN;NOM;SG
города	kaupunki	город	kaupunki	N;INAN;NOM;MASC;PL	N;NOM;SG
города	paikkakunta	город	paikka#kunta	N;INAN;NOM;MASC;PL	N;NOM;SG
города	kaupunkien	город	kaupunki	N;INAN;NOM;MASC;PL	N;GEN;PL
города	kaupunkeja	город	kaupunki	N;INAN;NOM;MASC;PL	N;PRT;PL
города	kaupunkien	город	kaupunki	N;INAN;NOM;MASC;PL	N;GEN;PL
может	ehkä	мочь	ehkä	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	vois	мочь	voida	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;COND;SG;3;FIN;ACT
может	voisi	мочь	voida	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;COND;SG;3;FIN;ACT
может	voi	мочь	voi	V;IPFV;IND;SG;3;PRS;FIN;ACT	INTJ
войны	sotia	война	sota	N;INAN;NOM;FEM;PL	N;PRT;PL
войны	sodan	война	sota	N;INAN;NOM;FEM;PL	N;GEN;SG
войны	sotaa	война	sota	N;INAN;NOM;FEM;PL	N;PRT;SG
войны	sota	война	sota	N;INAN;NOM;FEM;PL	N;NOM;SG
можно	voi	можно	voi	ADV	INTJ
когда	milloin	когда	milloin	CONJ	ADV
которые	jonka	который	joka	PRO;NOM	PRO;GEN;SG
которые	jota	который	joka	PRO;NOM	PRO;PRT;SG
которые	johon	который	joka	PRO;NOM	PRO;IN+ALL;SG
высота	korkeuden	высота	korkeus	N;INAN;NOM;FEM;SG	N;GEN;SG
переписи	väestönlaskenta	перепись	väestö#lasken	N;INAN;NOM;FEM;PL	N;NOM;SG
село	kylän	село	kylä	N;INAN;NOM;NEUT;SG	N;GEN;SG
село	kylässä	село	kylä	N;INAN;NOM;NEUT;SG	N;IN+ESS;SG
село	kyl	село	kyllä	N;INAN;NOM;NEUT;SG	ADV
род	sukuun	род	suku	N;ANIM;NOM;MASC;SG	N;IN+ALL;SG
род	rod	род	rod	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
один	yksistään	один	yksistään	NUM;NOM;MASC	ADV
один	yksin	один	yksin	NUM;NOM;MASC	ADV
один	yksinään	один	yksinään	NUM;NOM;MASC	ADV
один	odin	один	oda	NUM;NOM;MASC	N;NOM;SG
один	yhden	один	yksi	NUM;NOM;MASC	NUM;GEN;SG
один	one	один	oni	NUM;NOM;MASC	
без	ilman	без	ilman	ADP	ADV
реки	joen	река	joki	N;INAN;NOM;FEM;PL	N;GEN;SG
реки	joki	река	joki	N;INAN;NOM;FEM;PL	N;NOM;SG
реки	jokia	река	joki	N;INAN;NOM;FEM;PL	N;PRT;PL
реки	jokien	река	joki	N;INAN;NOM;FEM;PL	N;GEN;PL
реки	rivers	река	rivers	N;INAN;NOM;FEM;PL	PROPN;NOM;SG
между	väliin	между	väliin	ADP	ADV
между	välillä	между	välillä	ADP	ADV
между	välissä	между	välissä	ADP	ADV
населения	väestö	население	väestö	N;INAN;GEN;NEUT;SG	N;NOM;SG
населения	väkiluku	население	väki#luku	N;INAN;GEN;NEUT;SG	N;NOM;SG
годы	vuotta	год	vuosi	N;INAN;ACC;MASC;PL	N;PRT;SG
годы	vuodet	год	vuosi	N;INAN;ACC;MASC;PL	N;NOM;PL
годы	vuosien	год	vuosi	N;INAN;ACC;MASC;PL	N;GEN;PL
годы	vuosia	год	vuosi	N;INAN;ACC;MASC;PL	N;PRT;PL
через	kautta	через	kautta	ADP	ADV
через	via	через	via	ADP	N;NOM;SG
через	kautta	через	kautta	ADP	ADV
через	läpi	через	läpi	ADP	ADV
национальный	kansalliset	национальный	kansallinen	ADJ;NOM;MASC;SG	ADJ;NOM;PL
национальный	kansallisten	национальный	kansallinen	ADJ;NOM;MASC;SG	ADJ;GEN;PL
область	alueen	область	alue	N;INAN;NOM;FEM;SG	N;GEN;SG
список	listan	список	lista	N;INAN;NOM;MASC;SG	N;GEN;SG
список	listaa	список	lista	N;INAN;NOM;MASC;SG	N;PRT;SG
список	luetteloon	список	luettelo	N;INAN;NOM;MASC;SG	N;IN+ALL;SG
сельское	maaseudun	сельский	maa#seutu	ADJ;NOM;NEUT;SG	N;GEN;SG
сельское	maaseutu	сельский	maa#seutu	ADJ;NOM;NEUT;SG	N;NOM;SG
сайт	sivuston	сайт	sivusto	N;INAN;NOM;MASC;SG	N;GEN;SG
сайт	sivuston	сайт	sivusto	N;INAN;NOM;MASC;SG	N;GEN;SG
века	ikuisuus	век	ikuisuus	N;INAN;NOM;MASC;PL	N;NOM;SG
века	vuosisatojen	век	vuosi#sata	N;INAN;NOM;MASC;PL	N;GEN;PL
века	vuosisatoja	век	vuosi#sata	N;INAN;NOM;MASC;PL	N;PRT;PL
официальный	virkamies	официальный	virka#mies	ADJ;NOM;MASC;SG	N;NOM;SG
официальный	viralliset	официальный	virallinen	ADJ;NOM;MASC;SG	ADJ;NOM;PL
часть	osaa	часть	osata	N;INAN;NOM;FEM;SG	V;IMP;SG;2;FIN;ACT
часть	osittain	часть	osittain	N;INAN;NOM;FEM;SG	ADV
против	vastoin	против	vastoin	ADP	ADV
против	vastaan	против	vastaan	ADP	ADV
этот	tämän	этот	tämä	DET;NOM;MASC;SG	PRO;GEN;SG
этот	tätä	этот	tämä	DET;NOM;MASC;SG	PRO;PRT;SG
этот	tästä	этот	tämä	DET;NOM;MASC;SG	PRO;IN+ABL;SG
этот	tämä	этот	tämä	DET;NOM;MASC;SG	PRO;NOM;SG
будет	will	быть	will	V;IPFV;IND;SG;3;PRS;FIN;ACT	
будет	tahto	быть	tahto	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;SG
несколько	useita	несколько	usea	ADV	ADJ;PRT;PL
несколько	useat	несколько	usea	ADV	ADJ;NOM;PL
несколько	useita	несколько	usea	ADV	ADJ;PRT;PL
несколько	useat	несколько	usea	ADV	ADJ;NOM;PL
город	city	город	city	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
мира	rauhaa	мир	rauha	N;INAN;GEN;MASC;SG	N;PRT;SG
мира	peace	мир	peace	N;INAN;GEN;MASC;SG	
мира	rauha	мир	rauha	N;INAN;GEN;MASC;SG	N;NOM;SG
мира	mira	мир	mira	N;INAN;GEN;MASC;SG	N;NOM;SG
первое	ensin	первый	ensin	ADJ;NOM;NEUT;SG	ADV
первое	eka	первый	ensin	ADJ;NOM;NEUT;SG	N;NOM;SG
первое	ensiksi	первый	ensiksi	ADJ;NOM;NEUT;SG	ADV
части	osia	часть	osa	N;INAN;NOM;FEM;PL	N;PRT;PL
всего	yhteensä	все	yhteensä	PRO;INAN;GEN;NEUT;SG	ADV
первый	ensin	первый	ensin	ADJ;NOM;MASC;SG	ADV
первый	eka	первый	ensin	ADJ;NOM;MASC;SG	N;NOM;SG
первый	ensiksi	первый	ensiksi	ADJ;NOM;MASC;SG	ADV
среди	joukossa	среди	joukko	ADP	N;IN+ESS;SG
среди	keskuudessa	среди	keskuudessa	ADP	ADV
файл	tiedostoa	файл	tiedosto	N;INAN;NOM;MASC;SG	N;PRT;SG
файл	tiedoston	файл	tiedosto	N;INAN;NOM;MASC;SG	N;GEN;SG
карты	cards	карта	cards	N;INAN;NOM;FEM;PL	
карты	kortteja	карта	kortti	N;INAN;NOM;FEM;PL	N;PRT;PL
карты	korttia	карта	kortti	N;INAN;NOM;FEM;PL	N;PRT;SG
карты	karttoja	карта	kartta	N;INAN;NOM;FEM;PL	N;PRT;PL
всех	kaikille	все	kaikki	PRO;ANIM;ACC;PL	PRO;AT+ALL;PL
всех	kaikki	все	kaikki	PRO;ANIM;ACC;PL	PRO;NOM;SG
всех	jokainen	все	jokainen	PRO;ANIM;ACC;PL	PRO;NOM;SG
всех	kaikille	все	kaikki	PRO;ANIM;ACC;PL	PRO;AT+ALL;PL
всех	kaikki	все	kaikki	PRO;ANIM;ACC;PL	PRO;NOM;SG
раз	kerran	раз	kerran	CONJ	ADV
второй	toisena	второй	toinen	ADJ;NOM;MASC;SG	ADJ;FRML;SG
второй	toiseksi	второй	toinen	ADJ;NOM;MASC;SG	ADJ;TRANS;SG
второй	toinen	второй	toinen	ADJ;NOM;MASC;SG	PRO;NOM;SG
карта	karttaa	карта	kartta	N;INAN;NOM;FEM;SG	N;PRT;SG
карта	kortin	карта	kortti	N;INAN;NOM;FEM;SG	N;GEN;SG
площадь	torille	площадь	tori	N;INAN;NOM;FEM;SG	N;AT+ALL;SG
площадь	torilla	площадь	tori	N;INAN;NOM;FEM;SG	N;AT+ESS
;SG
всё	kaiken	все	kaikki	PRO;INAN;NOM;NEUT;SG	PRO;GEN;SG
даже	edes	даже	edes	PART	ADV
даже	jopa	даже	jopa	PART	ADV
группы	konserni	группа	konserni	N;INAN;NOM;FEM;PL	N;NOM;SG
группы	ryhmän	группа	ryhmä	N;INAN;NOM;FEM;PL	N;GEN;SG
группы	ryhmä	группа	ryhmä	N;INAN;NOM;FEM;PL	N;NOM;SG
группы	ryhmien	группа	ryhmä	N;INAN;NOM;FEM;PL	N;GEN;PL
группы	ryhmiä	группа	ryhmä	N;INAN;NOM;FEM;PL	N;PRT;PL
размер	koko	размер	koko	N;INAN;NOM;MASC;SG	ADJ
размер	kokoa	размер	koko	N;INAN;NOM;MASC;SG	N;PRT;SG
поселения	siirtokuntien	поселение	siirto#kunta	N;INAN;NOM;NEUT;PL	N;GEN;PL
над	ohi	над	ohi	ADP	ADV
над	yli	над	yli	ADP	ADV
страны	maa	страна	maa	N;INAN;NOM;FEM;PL	N;NOM;SG
страны	valtio	страна	valtio	N;INAN;NOM;FEM;PL	N;NOM;SG
страны	maata	страна	maa	N;INAN;NOM;FEM;PL	N;PRT;SG
страны	maan	страна	maa	N;INAN;NOM;FEM;PL	N;GEN;SG
страны	maissa	страна	maa	N;INAN;NOM;FEM;PL	N;IN+ESS;PL
страны	maiden	страна	maa	N;INAN;NOM;FEM;PL	N;GEN;PL
ему	hänet	он	hän	PRO;DAT;MASC;SG;3	PRO;ACC;SG;3
улица	kadulle	улица	katu	N;INAN;NOM;FEM;SG	N;AT+ALL;SG
население	väestön	население	väestö	N;INAN;NOM;NEUT;SG	N;GEN;SG
работы	työn	работа	työ	N;INAN;NOM;FEM;PL	N;GEN;SG
работы	työ	работа	työ	N;INAN;NOM;FEM;PL	N;NOM;SG
работы	työtä	работа	työ	N;INAN;NOM;FEM;PL	N;PRT;SG
имена	nimiä	имя	nimi	N;INAN;NOM;NEUT;PL	N;PRT;PL
упоминание	mainitse	упоминание	mainita	N;INAN;NOM;NEUT;SG	V;IMP;SG;2;FIN;ACT
упоминание	mainita	упоминание	mainita	N;INAN;NOM;NEUT;SG	V;SG;NFIN;ACT
здесь	tässä	здесь	tämä	ADV	PRO;IN+ESS;SG
истории	kertomuksia	история	kertomus	N;INAN;NOM;FEM;PL	N;PRT;PL
истории	tarinoita	история	tarina	N;INAN;NOM;FEM;PL	N;PRT;PL
истории	tarinoiden	история	tarina	N;INAN;NOM;FEM;PL	N;GEN;PL
истории	historia	история	historia	N;INAN;NOM;FEM;PL	N;NOM;SG
истории	historiaan	история	historia	N;INAN;NOM;FEM;PL	N;IN+ALL;SG
истории	historiaa	история	historia	N;INAN;NOM;FEM;PL	N;PRT;SG
истории	historian	история	historia	N;INAN;NOM;FEM;PL	N;GEN;SG
истории	historiasta	история	historia	N;INAN;NOM;FEM;PL	N;IN+ABL;SG
которая	jonka	который	joka	PRO;NOM	PRO;GEN;SG
которая	jota	который	joka	PRO;NOM	PRO;PRT;SG
которая	johon	который	joka	PRO;NOM	PRO;IN+ALL;SG
армии	armeijat	армия	armeija	N;INAN;NOM;FEM;SG	N;NOM;PL
армии	armeijan	армия	armeija	N;INAN;NOM;FEM;SG	N;GEN;SG
деление	jakoon	деление	jako	N;INAN;NOM;NEUT;SG	N;IN+ALL;SG
хотя	tosin	хотя	tosin	CONJ	ADV
хотя	tosin	хотя	tosin	CONJ	ADV
хотя	vaik	хотя	vaikka	CONJ	ADV
кроме	paitsi	кроме	paitsi	ADP	ADV
игроки	toimijoiden	игрок	toimija	N;ANIM;NOM;MASC;PL	N;GEN;PL
игроки	pelaajien	игрок	pelaaja	N;ANIM;NOM;MASC;PL	N;GEN;PL
игроки	pelaajia	игрок	pelaaja	N;ANIM;NOM;MASC;PL	N;PRT;PL
другие	muu	другой	muu	ADJ;NOM;PL	PRO;NOM;SG
другие	muut	другой	muu	ADJ;NOM;PL	PRO;NOM;PL
другие	muut	другой	muu	ADJ;NOM;PL	PRO;NOM;PL
другие	toiset	другой	toinen	ADJ;NOM;PL	PRO;NOM;PL
другие	muita	другой	muu	ADJ;NOM;PL	PRO;PRT;PL
история	tarinaa	история	tarina	N;INAN;NOM;FEM;SG	N;PRT;SG
история	tarinan	история	tarina	N;INAN;NOM;FEM;SG	N;GEN;SG
история	historiaan	история	historia	N;INAN;NOM;FEM;SG	N;IN+ALL;SG
история	historiaa	история	historia	N;INAN;NOM;FEM;SG	N;PRT;SG
история	historian	история	historia	N;INAN;NOM;FEM;SG	N;GEN;SG
история	historiasta	история	historia	N;INAN;NOM;FEM;SG	N;IN+ABL;SG
себя	itselleni	себя	itse	PRO;ACC	PRO;AT+ALL;SG;REFL
себя	itse	себя	itse	PRO;ACC	ADV
себя	itsellesi	себя	itse	PRO;ACC	PRO;AT+ALL;SG;REFL
себя	itse	себя	itse	PRO;ACC	ADV
совета	neuvosto	совет	neuvosto	N;INAN;GEN;MASC;SG	N;NOM;SG
фильм	elokuvan	фильм	elo#kuva	N;INAN;NOM;MASC;SG	N;GEN;SG
пункты	kohteita	пункт	kohde	N;INAN;NOM;MASC;PL	N;PRT;PL
времени	aika	время	aika	N;INAN;GEN;NEUT;SG	N;NOM;SG
времени	aikaa	время	aika	N;INAN;GEN;NEUT;SG	N;PRT;SG
участник	jäsenen	участник	jäsen	N;ANIM;NOM;MASC;SG	N;GEN;SG
участник	osallistujaa	участник	osallistuja	N;ANIM;NOM;MASC;SG	N;PRT;SG
участник	osallistujan	участник	osallistuja	N;ANIM;NOM;MASC;SG	N;GEN;SG
участник	osallistujat	участник	osallistuja	N;ANIM;NOM;MASC;SG	N;NOM;PL
страница	sivulla	страница	sivu	N;INAN;NOM;FEM;SG	N;AT+ESS
;SG
участие	osallistumista	участие	osallistuminen	N;INAN;NOM;NEUT;SG	N;PRT;SG
участие	osallistumisen	участие	osallistuminen	N;INAN;NOM;NEUT;SG	N;GEN;SG
участие	osallistumista	участие	osallistuminen	N;INAN;NOM;NEUT;SG	N;PRT;SG
участие	osallistumisen	участие	osallistuminen	N;INAN;NOM;NEUT;SG	N;GEN;SG
википедии	wikipedia	википедия	wikipedia	N;INAN;NOM;FEM;PL	N;NOM;SG
человека	ihmisen	человек	ihminen	N;ANIM;ACC;MASC;SG	N;GEN;SG
человека	ihminen	человек	ihminen	N;ANIM;ACC;MASC;SG	N;NOM;SG
человека	inhimillinen	человек	inhimillinen	N;ANIM;ACC;MASC;SG	ADJ;NOM;SG
автор	tekijän	автор	tekijä	N;ANIM;NOM;MASC;SG	N;GEN;SG
республики	tasavalta	республика	tasa#valta	N;INAN;NOM;FEM;PL	N;NOM;SG
внутреннее	sisäistä	внутренний	sisäinen	ADJ;NOM;NEUT;SG	ADJ;PRT;SG
внутреннее	sisäisen	внутренний	sisäinen	ADJ;NOM;NEUT;SG	ADJ;GEN;SG
внутреннее	sisäiset	внутренний	sisäinen	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
эти	nämä	этот	tämä	DET;NOM;PL	PRO;NOM;PL
эти	näitä	этот	tämä	DET;NOM;PL	PRO;PRT;PL
статей	artikkelit	статья	artikkeli	N;INAN;GEN;FEM;PL	N;NOM;PL
статей	artikkeleita	статья	artikkeli	N;INAN;GEN;FEM;PL	N;PRT;PL
статей	artiklat	статья	artikla	N;INAN;GEN;FEM;PL	N;NOM;PL
случае	case	случай	case	N;INAN;ESS;MASC;SG	N;NOM;SG
случае	tapauksessa	случай	tapaus	N;INAN;ESS;MASC;SG	N;IN+ESS;SG
случае	tapaus	случай	tapaus	N;INAN;ESS;MASC;SG	N;NOM;SG
случае	salkku	случай	salkku	N;INAN;ESS;MASC;SG	N;NOM;SG
центр	keskelle	центр	keskelle	N;INAN;NOM;MASC;SG	ADV
округ	piirikunnan	округ	piiri#kunta	N;INAN;NOM;MASC;SG	N;GEN;SG
жизни	life	жизнь	life	N;INAN;NOM;FEM;PL	
жизни	elämää	жизнь	elämä	N;INAN;NOM;FEM;PL	N;PRT;SG
жизни	elämän	жизнь	elämä	N;INAN;NOM;FEM;PL	N;GEN;SG
жизни	elämä	жизнь	elämä	N;INAN;NOM;FEM;PL	N;NOM;SG
жизни	asuu	жизнь	asua	N;INAN;NOM;FEM;PL	V;IND;SG;3;PRS;FIN;ACT
генерал	yleinen	генерал	yleinen	N;ANIM;NOM;MASC;SG	ADJ;NOM;SG
генерал	yleiset	генерал	yleinen	N;ANIM;NOM;MASC;SG	ADJ;NOM;PL
генерал	yleistä	генерал	yleinen	N;ANIM;NOM;MASC;SG	ADJ;PRT;SG
родился	syntynyt	рождаться	syntyä	V;PFV;MASC;IND;SG;PST;FIN;MID	V;NOM;SG;V.PTCP;ACT
родился	syntyneet	рождаться	syntyä	V;PFV;MASC;IND;SG;PST;FIN;MID	V;NOM;PL;V.PTCP;ACT
родился	syntyi	рождаться	syntyä	V;PFV;MASC;IND;SG;PST;FIN;MID	V;IND;SG;3;PST;FIN;ACT
союза	unioni	союз	unioni	N;INAN;GEN;MASC;SG	N;NOM;SG
кто	ketä	кто	kettä	PRO;NOM	PRO;PRT;SG
кто	who	кто	who	PRO;NOM	N;NOM;SG
связи	linkkejä	связь	linkki	N;INAN;NOM;FEM;PL	N;PRT;PL
связи	linkkien	связь	linkki	N;INAN;NOM;FEM;PL	N;GEN;PL
связи	viestintä	связь	viestin	N;INAN;NOM;FEM;PL	N;NOM;SG
связи	tietoliikenne	связь	tieto#liikenne	N;INAN;NOM;FEM;PL	N;NOM;SG
связи	viestinnän	связь	viestintä	N;INAN;NOM;FEM;PL	N;GEN;SG
день	päivän	день	päivä	N;INAN;NOM;MASC;SG	N;GEN;SG
община	yhteisön	община	yhteisö	N;INAN;NOM;FEM;SG	N;GEN;SG
округа	alueet	округ	alue	N;INAN;GEN;MASC;SG	N;NOM;PL
округа	piirit	округ	piiri	N;INAN;GEN;MASC;SG	N;NOM;PL
округа	maakunnat	округ	maa#kunta	N;INAN;GEN;MASC;SG	N;NOM;PL
округа	läänit	округ	lääni	N;INAN;GEN;MASC;SG	N;NOM;PL
франции	ranska	франция	ranska	N;INAN;NOM;FEM;PL	PROPN;NOM;SG
