το	do	ο	do	DET;NOM;DEF;NEUT;SG	PROPN
σειρά	de	σειρά	de	N;ACC;FEM;SG	ADP
σειρά	para	σειρά	para	N;ACC;FEM;SG	ADP
εκτός	a	εκτός	o	ADV	DET
εκτός	non	εκτός	non	ADV	PART
εκτός	ser	εκτός	ser	ADV	V
εκτός	que	εκτός	que	ADV	PRO
εκτός	se	εκτός	se	ADV	CONJ
εκτός	agás	εκτός	agás	ADV	ADP
εκτός	salvo	εκτός	salvo	ADV	ADP
εκτός	pero	εκτός	pero	ADV	CONJ
εκτός	agás	εκτός	agás	ADV	ADP
συνέχεια	seguir	συνέχεια	seguir	N;ACC;FEM;SG	V
συνέχεια	continuar	συνέχεια	continuar	N;ACC;FEM;SG	V
συνέχεια	continúan	συνέχεια	continuar	N;ACC;FEM;SG	V
συνέχεια	continúe	συνέχεια	continuír	N;ACC;FEM;SG	V
συνέχεια	continuaremos	συνέχεια	continuar	N;ACC;FEM;SG	V
συνέχεια	continuou	συνέχεια	continuar	N;ACC;FEM;SG	V
κάτω	inferior	κάτω	inferior	ADV	ADJ
κάτω	baixos	κάτω	baixo	ADV	N
κάτω	pulmonar	κάτω	pulmonar	ADV	N
κάτω	calefacción	κάτω	calefacción	ADV	N
κάτω	na	κάτω	na	ADV	N
κάτω	por	κάτω	por	ADV	ADP
κάτω	baixo	κάτω	baixo	ADV	ADP
κάτω	embaixo	κάτω	embaixo	ADV	N
κάτω	seccionada	κάτω	seccionar	ADV	V
μου	meu	μου	meu	PRO;GEN;MASC;SG;1	DET
μου	miña	μου	meu	PRO;GEN;MASC;SG;1	DET
μου	o	μου	o	PRO;GEN;MASC;SG;1	DET
μου	a	μου	o	PRO;GEN;MASC;SG;1	DET
μου	meus	μου	meu	PRO;GEN;MASC;SG;1	DET
πολλές	moitos	πολύς	moito	ADJ;NOM;FEM;PL	DET
πολλές	cantas	πολύς	canto	ADJ;NOM;FEM;PL	DET
πολλές	moitas	πολύς	moito	ADJ;NOM;FEM;PL	DET
πολλές	cantos	πολύς	canto	ADJ;NOM;FEM;PL	N
όλα	todo	όλος	todo	ADJ;NOM;NEUT;PL	DET
όλα	o	όλος	o	ADJ;NOM;NEUT;PL	DET
όλα	todo	όλος	todo	ADJ;NOM;NEUT;PL	DET
όλα	todos	όλος	todo	ADJ;NOM;NEUT;PL	DET
όλα	todas	όλος	todo	ADJ;NOM;NEUT;PL	DET
σύστημα	de	σύστημα	de	N;NOM;NEUT;SG	ADP
ακόμα	segue	ακόμα	seguir	ADV	V
φορές	times	φορά	time	N;NOM;FEM;PL	PROPN
ίδια	mesmo	ίδιος	mesmo	ADJ;NOM;FEM;SG	DET
ίδια	mesmas	ίδιος	mesmo	ADJ;NOM;FEM;SG	DET
ίδια	mesma	ίδιος	mesmo	ADJ;NOM;FEM;SG	DET
ιουλίου	de	ιούλιος	de	N;GEN;NEUT;SG	ADP
οκτωβρίου	de	οκτώβριος	de	N;GEN;MASC;SG	ADP
ιανουαρίου	xaneiro	ιανουάριος	xaneiro	PROPN;GEN;MASC;SG	N
ιανουαρίου	de	ιανουάριος	de	PROPN;GEN;MASC;SG	ADP
σεπτεμβρίου	de	σεπτέμβριο	de	N;GEN;MASC;SG	ADP
νοεμβρίου	de	νόεμβριος	de	N;GEN;MASC;SG	ADP
αγώνες	xogar	αγώνας	xogar	N;NOM;MASC;PL	V
αγώνες	os	αγώνας	o	N;NOM;MASC;PL	DET
μέσω	través	μέσω	través	ADP	N
μέσω	via	μέσω	via	ADP	PROPN
μέσω	rúa	μέσω	rúa	ADP	N
μέσω	través	μέσω	través	ADP	N
μέσω	a	μέσω	o	ADP	DET
μαρτίου	de	μάρτιος	de	N;GEN;MASC;SG	ADP
αυτές	estas	αυτός	este	PRO;NOM;FEM;PL;3	DET
αυτές	estes	αυτός	este	PRO;NOM;FEM;PL;3	DET
πολλά	moitos	πολύς	moito	ADJ;NOM;NEUT;PL	DET
πολλά	cantas	πολύς	canto	ADJ;NOM;NEUT;PL	DET
πολλά	moitas	πολύς	moito	ADJ;NOM;NEUT;PL	DET
πολλά	cantos	πολύς	canto	ADJ;NOM;NEUT;PL	N
απριλίου	de	απρίλιος	de	N;GEN;MASC;SG	ADP
τρεις	tres	τρεις	tres	NUM;NOM;MASC;PL	N
αυγούστου	de	αυγούστος	de	N;GEN;MASC;SG	ADP
έργα	funciona	έργο	funcionar	N;NOM;NEUT;PL	V
έργα	traballa	έργο	traballar	N;NOM;NEUT;PL	V
έργα	os	έργο	o	N;NOM;NEUT;PL	DET
δεκεμβρίου	de	δεκέμβριο	de	N;GEN;MASC;SG	ADP
χρήση	usamos	χρήση	usar	N;ACC;FEM;SG	V
χρήση	usar	χρήση	usar	N;ACC;FEM;SG	V
χρήση	usan	χρήση	usar	N;ACC;FEM;SG	V
πρόεδρος	o	πρόεδρος	o	N;ACC;MASC;SG	DET
πολιτική	político	πολιτική	político	N;NOM;FEM;SG	ADJ
πολιτική	a	πολιτική	o	N;NOM;FEM;SG	DET
πολιτική	de	πολιτική	de	N;NOM;FEM;SG	ADP
πολιτική	a	πολιτική	o	N;NOM;FEM;SG	DET
ακόμη	segue	ακόμα	seguir	ADV	V
ίδιο	mesmo	ίδιος	mesmo	ADJ;NOM;NEUT;SG	DET
ίδιο	mesmas	ίδιος	mesmo	ADJ;NOM;NEUT;SG	DET
ίδιο	mesma	ίδιος	mesmo	ADJ;NOM;NEUT;SG	DET
μας	noso	μου	noso	PRO;GEN;MASC;PL;1	DET
μας	nosas	μου	noso	PRO;GEN;MASC;PL;1	DET
μας	nosa	μου	noso	PRO;GEN;MASC;PL;1	DET
μας	nosos	μου	noso	PRO;GEN;MASC;PL;1	DET
μας	o	μου	o	PRO;GEN;MASC;PL;1	DET
μας	a	μου	o	PRO;GEN;MASC;PL;1	DET
μας	os	μου	o	PRO;GEN;MASC;PL;1	DET
μας	nós	μου	nós	PRO;GEN;MASC;PL;1	ADV
εκλογές	electoral	εκλογή	electoral	N;NOM;FEM;PL	ADJ
μέλη	do	μέλος	do	N;NOM;NEUT;PL	PROPN
τελικά	co	τελικά	co	ADV	PROPN
τελικά	tempo	τελικά	tempo	ADV	N
τελικά	final	τελικά	final	ADV	N
τελικά	a	τελικά	o	ADV	DET
τελικά	fin	τελικά	fin	ADV	N
τελικά	por	τελικά	por	ADV	ADP
τελικά	final	τελικά	final	ADV	N
τελικά	ao	τελικά	ao	ADV	PROPN
μέλος	da	μέλος	da	N;NOM;NEUT;SG	V
εποχή	de	εποχή	de	N;ACC;FEM;SG	ADP
εποχή	era	εποχή	ser	N;ACC;FEM;SG	V
χωριό	da	χωριό	da	N;NOM;NEUT;SG	V
περίοδος	a	περίοδος	o	N;NOM;FEM;SG	DET
ζωή	a	ζωή	o	N;ACC;FEM;SG	DET
έδρα	sentar	έδρα	sentar	N;NOM;FEM;SG	V
έδρα	senta	έδρα	sentar	N;NOM;FEM;SG	V
έδρα	séntese	έδρα	séntese	N;NOM;FEM;SG	V
έδρα	sente	έδρα	sente	N;NOM;FEM;SG	V
βάση	a	βάση	o	N;ACC;FEM;SG	DET
κέντρο	center	κέντρο	center	N;NOM;NEUT;SG	PROPN
κέντρο	de	κέντρο	de	N;NOM;NEUT;SG	ADP
φεβρουαρίου	de	φεβρουάριο	de	N;GEN;MASC;SG	ADP
κάτι	cousa	κάτι	cousa	PRO;NOM;NEUT;SG;3	N
κοντά	do	κοντά	do	ADV	PROPN
κοντά	da	κοντά	da	ADV	V
κοντά	de	κοντά	de	ADV	ADP
γιατί	por	γιατί	por	CONJ	ADP
γιατί	por	γιατί	por	CONJ	ADP
γιατί	que	γιατί	que	CONJ	PRO
γιατί	iso	γιατί	iso	CONJ	PRO
ρόλο	rol	ρόλος	rol	N;ACC;MASC;SG	PROPN
επειδή	por	επειδή	por	CONJ	ADP
γκολ	obxectivo	γκολ	obxectivo		N
γύρω	redor	γύρω	redor	ADV	N
γύρω	por	γύρω	por	ADV	ADP
συνήθως	adoita	συνήθως	adoitar	ADV	V
συνήθως	xeral	συνήθως	xeral	ADV	ADJ
συνήθως	adoitan	συνήθως	adoitar	ADV	V
ονομασία	se	ονομασία	se	N;NOM;FEM;SG	CONJ
τελευταία	último	τελευταία	último	ADV	ADJ
τελευταία	últimos	τελευταία	último	ADV	ADJ
τελευταία	pasado	τελευταία	pasado	ADV	ADJ
τελευταία	última	τελευταία	último	ADV	ADJ
τελευταία	o	τελευταία	o	ADV	DET
έκανε	que	κάνω	que	V;PFV;IND;SG;3;PST;FIN;ACT	PRO
έκανε	o	κάνω	o	V;PFV;IND;SG;3;PST;FIN;ACT	DET
έκανε	feito	κάνω	feito	V;PFV;IND;SG;3;PST;FIN;ACT	N
ξεκίνησε	a	ξεκινώ	o	V;PFV;IND;SG;3;PST;FIN;ACT	DET
είτε	tampouco	είτε	tampouco	CONJ	ADV
κυβέρνηση	do	κυβέρνηση	do	N;NOM;FEM;SG	PROPN
πρώτος	primeiro	πρώτος	primeiro	NUM;NOM;MASC;SG	ADJ
πρώτος	primeira	πρώτος	primeiro	NUM;NOM;MASC;SG	ADJ
κάνει	feito	κάνω	feito	V;IPFV;IND;SG;3;PRS;FIN;ACT	N
ηπα	eua	λπο	eua	N	PROPN
αυτός	está	αυτός	estar	PRO;NOM;MASC;SG;3	V
ανάμεσα	entre	ανάμεσα	entre	ADV	ADP
ανάμεσα	os	ανάμεσα	o	ADV	DET
δεύτερη	segundo	δεύτερος	segundo	NUM;NOM;FEM;SG	ADP
δεύτερη	segunda	δεύτερος	segundo	NUM;NOM;FEM;SG	ADJ
γλώσσα	a	γλώσσα	o	N;NOM;FEM;SG	DET
μάχη	de	μάχη	de	N;ACC;FEM;SG	ADP
μάχη	loitar	μάχη	loitar	N;ACC;FEM;SG	V
μάχη	contra	μάχη	contra	N;ACC;FEM;SG	ADP
πανεπιστήμιο	de	πανεπιστήμιο	de	N;NOM;NEUT;SG	ADP
πανεπιστήμιο	da	πανεπιστήμιο	da	N;NOM;NEUT;SG	V
πανεπιστήμιο	universitaria	πανεπιστήμιο	universitario	N;NOM;NEUT;SG	ADJ
όλες	todo	όλος	todo	ADJ;NOM;FEM;PL	DET
όλες	todos	όλος	todo	ADJ;NOM;FEM;PL	DET
όλες	todas	όλος	todo	ADJ;NOM;FEM;PL	DET
κάποια	algúns	κάποιος	algún	PRO;NOM;NEUT;PL;3	DET
κάποια	algunhas	κάποιος	algún	PRO;NOM;NEUT;PL;3	DET
κάποια	de	κάποιος	de	PRO;NOM;NEUT;PL;3	ADP
κάποια	un	κάποιος	un	PRO;NOM;NEUT;PL;3	DET
δείτε	coidado	βλέπω	coidado	V;PFV;IMP;PL;2;FIN;ACT	N
πόλεμο	a	πόλεμος	o	N;ACC;MASC;SG	DET
συχνά	frecuencia	συχνά	frecuencia	ADV	N
συχνά	a	συχνά	o	ADV	DET
συχνά	miúdo	συχνά	miúdo	ADV	N
συχνά	veces	συχνά	vez	ADV	N
παράδειγμα	por	παράδειγμα	por	N;NOM;NEUT;SG	ADP
βόρεια	ao	βόρεια	ao	ADV	PROPN
βόρεια	norte	βόρεια	norte	ADV	N
βόρεια	do	βόρεια	do	ADV	PROPN
βόρεια	do	βόρεια	do	ADV	PROPN
βόρεια	norte	βόρεια	norte	ADV	N
πόλεις	nas	πόλη	nas	N;NOM;FEM;PL	PROPN
ιδιαίτερα	neno	ιδιαίτερα	neno	ADV	N
ιδιαίτερα	sobre	ιδιαίτερα	sobre	ADV	ADP
ιδιαίτερα	todo	ιδιαίτερα	todo	ADV	DET
ιδιαίτερα	particular	ιδιαίτερα	particular	ADV	N
ιδιαίτερα	sobre	ιδιαίτερα	sobre	ADV	ADP
ιδιαίτερα	todo	ιδιαίτερα	todo	ADV	DET
αγώνα	a	αγώνας	o	N;ACC;MASC;SG	DET
αγώνα	internacional	αγώνας	internacional	N;ACC;MASC;SG	ADJ
αγώνα	loitar	αγώνας	loitar	N;ACC;MASC;SG	V
αγώνα	contra	αγώνας	contra	N;ACC;MASC;SG	ADP
γεγονός	de	γεγονός	de	N;NOM;NEUT;SG	ADP
γεγονός	de	γεγονός	de	N;NOM;NEUT;SG	ADP
γεγονός	que	γεγονός	que	N;NOM;NEUT;SG	PRO
ντε	de	ντε	de		ADP
ντε	da	ντε	da		V
χρησιμοποιείται	antes	χρησιμοποιώ	antes	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADV
πρώτα	primeiro	πρώτα	primeiro	ADV	ADJ
πρώτα	primeira	πρώτα	primeiro	ADV	ADJ
μέγεθος	do	μέγεθος	do	N;NOM;NEUT;SG	PROPN
νότια	do	νότιος	do	ADV	PROPN
νότια	sur	νότιος	sur	ADV	N
νότια	sur	νότιος	sur	ADV	N
νότια	do	νότιος	do	ADV	PROPN
νότια	sudáfrica	νότιος	sudáfricar	ADV	ADJ
περίπτωση	se	περίπτωση	se	N;ACC;FEM;SG	CONJ
ένωση	do	ένωση	do	N;NOM;FEM;SG	PROPN
βασιλιά	king	βασιλιάς	king	N;ACC;MASC;SG	PROPN
βασιλιά	rei	βασιλιάς	rei	N;ACC;MASC;SG	PROPN
βασιλιά	o	βασιλιάς	o	N;ACC;MASC;SG	DET
εκκλησία	da	εκκλησία	da	N;NOM;FEM;SG	V
δυο	dous	δύο	dous	NUM;NOM;PL	N
δυο	dúas	δύο	dous	NUM;NOM;PL	N
μεγαλύτερη	máis	μεγάλος	máis	ADJ;NOM;CMPR;FEM;SG	ADV
μεγαλύτερη	máis	μεγάλος	máis	ADJ;NOM;CMPR;FEM;SG	ADV
μεγαλύτερη	vella	μεγάλος	vella	ADJ;NOM;CMPR;FEM;SG	N
μεγαλύτερη	vello	μεγάλος	vello	ADJ;NOM;CMPR;FEM;SG	N
μεγαλύτερη	os	μεγάλος	o	ADJ;NOM;CMPR;FEM;SG	DET
μεγαλύτερη	ancián	μεγάλος	ancián	ADJ;NOM;CMPR;FEM;SG	N
μεγαλύτερη	sexa	μεγάλος	ser	ADJ;NOM;CMPR;FEM;SG	V
μεγαλύτερη	maiores	μεγάλος	maior	ADJ;NOM;CMPR;FEM;SG	N
μεγαλύτερη	crecen	μεγάλος	crecer	ADJ;NOM;CMPR;FEM;SG	V
μεγαλύτερη	máis	μεγάλος	máis	ADJ;NOM;CMPR;FEM;SG	ADV
μεγαλύτερη	é	μεγάλος	ser	ADJ;NOM;CMPR;FEM;SG	V
μεγαλύτερη	máis	μεγάλος	máis	ADJ;NOM;CMPR;FEM;SG	ADV
μεγαλύτερη	maiores	μεγάλος	maior	ADJ;NOM;CMPR;FEM;SG	N
μεγαλύτερη	é	μεγάλος	ser	ADJ;NOM;CMPR;FEM;SG	V
μεγαλύτερη	son	μεγάλος	ser	ADJ;NOM;CMPR;FEM;SG	V
πέθανε	morto	πεθαίνω	morto	V;PFV;IND;SG;3;PST;FIN;ACT	N
ανά	ao	ανά	ao	ADP	PROPN
ανά	miligramos	ανά	miligrar	ADP	V
ανά	cada	ανά	cada	ADP	DET
μουσική	música	μουσικός	música	ADJ;NOM;FEM;SG	N
άτομα	a	άτομο	o	N;NOM;NEUT;PL	DET
δεύτερο	segundo	δεύτερος	segundo	NUM;NOM;NEUT;SG	ADP
δεύτερο	segunda	δεύτερος	segundo	NUM;NOM;NEUT;SG	ADJ
είδος	escribir	είδος	escribir	N;NOM;NEUT;SG	V
είδος	de	είδος	de	N;NOM;NEUT;SG	ADP
αρκετά	abonda	αρκετά	abondar	ADV	V
αρκετά	suficiente	αρκετά	suficiente	ADV	ADJ
αρκετά	dabondo	αρκετά	dabor	ADV	V
αρκετά	para	αρκετά	para	ADV	ADP
μεγαλύτερο	máis	μεγάλος	máis	ADJ;NOM;CMPR;NEUT;SG	ADV
μεγαλύτερο	vella	μεγάλος	vella	ADJ;NOM;CMPR;NEUT;SG	N
μεγαλύτερο	vello	μεγάλος	vello	ADJ;NOM;CMPR;NEUT;SG	N
μεγαλύτερο	os	μεγάλος	o	ADJ;NOM;CMPR;NEUT;SG	DET
μεγαλύτερο	ancián	μεγάλος	ancián	ADJ;NOM;CMPR;NEUT;SG	N
μεγαλύτερο	sexa	μεγάλος	ser	ADJ;NOM;CMPR;NEUT;SG	V
μεγαλύτερο	maiores	μεγάλος	maior	ADJ;NOM;CMPR;NEUT;SG	N
μεγαλύτερο	crecen	μεγάλος	crecer	ADJ;NOM;CMPR;NEUT;SG	V
μεγαλύτερο	máis	μεγάλος	máis	ADJ;NOM;CMPR;NEUT;SG	ADV
μεγαλύτερο	é	μεγάλος	ser	ADJ;NOM;CMPR;NEUT;SG	V
μεγαλύτερο	máis	μεγάλος	máis	ADJ;NOM;CMPR;NEUT;SG	ADV
μεγαλύτερο	maiores	μεγάλος	maior	ADJ;NOM;CMPR;NEUT;SG	N
μεγαλύτερο	é	μεγάλος	ser	ADJ;NOM;CMPR;NEUT;SG	V
μεγαλύτερο	son	μεγάλος	ser	ADJ;NOM;CMPR;NEUT;SG	V
χώρες	dos	χώρα	dos	N;NOM;FEM;PL	PROPN
χώρο	no	χώρος	no	N;ACC;MASC;SG	V
εναντίον	os	εναντίον	o	ADP	DET
τρία	tres	τρεις	tres	NUM;NOM;NEUT;PL	N
χαρακτηριστικά	as	χαρακτηριστικός	o	N;NOM;NEUT;PL	DET
βασιλιάς	king	βασιλιάς	king	N;NOM;MASC;SG	PROPN
βασιλιάς	rei	βασιλιάς	rei	N;NOM;MASC;SG	PROPN
βασιλιάς	o	βασιλιάς	o	N;NOM;MASC;SG	DET
παιδιά	os	παιδί	o	N;NOM;NEUT;PL	DET
παιδιά	os	παιδί	o	N;NOM;NEUT;PL	DET
παιδιά	cativos	παιδί	cativo	N;NOM;NEUT;PL	ADJ
παιδιά	os	παιδί	o	N;NOM;NEUT;PL	DET
παιδιά	cativos	παιδί	cativo	N;NOM;NEUT;PL	ADJ
βραβείο	pulitzer	βραβείο	pulitzer	N;NOM;NEUT;SG	V
βραβείο	o	βραβείο	o	N;NOM;NEUT;SG	DET
άρχισε	a	αρχίζω	o	V;PFV;IND;SG;3;PST;FIN;ACT	DET
φαίνεται	que	φαίνομαι	que	V;IPFV;IND;SG;3;PRS;FIN;PASS	PRO
αρχαία	antigo	αρχαίος	antigo	ADJ;NOM;FEM;SG	N
αρχαία	antigos	αρχαίος	antigo	ADJ;NOM;FEM;SG	N
τι	o	τι	o	PRO;NOM;NEUT;SG;3	DET
παραγωγή	de	παραγωγή	de	N;NOM;FEM;SG	ADP
ούτε	tampouco	ούτε	tampouco	CONJ	ADV
ούτε	habemos	ούτε	haber	CONJ	V
ούτε	ningún	ούτε	ningún	CONJ	DET
ούτε	non	ούτε	non	CONJ	PART
ούτε	eu	ούτε	eu	CONJ	PRO
ελληνικά	grego	ελληνικός	grego	ADV	N
δυνάμεις	poderes	δύναμη	poder	N;NOM;FEM;PL	V
δυνάμεις	as	δύναμη	o	N;NOM;FEM;PL	DET
γαλλία	francia	γαλλία	francia	PROPN;ACC;FEM;SG	N
γαλλία	franza	γαλλία	franza	PROPN;ACC;FEM;SG	N
ελληνικό	grego	ελληνικός	grego	ADJ;NOM;NEUT;SG	N
ευρώπη	europa	ευρώπη	europa	PROPN;ACC;FEM;SG	PROPN
ευρώπη	en	ευρώπη	en	PROPN;ACC;FEM;SG	ADP
γνωστό	coñecido	γνωστός	coñecer	ADJ;NOM;NEUT;SG	V
γνωστό	coñecidos	γνωστός	coñecer	ADJ;NOM;NEUT;SG	V
γνωστό	de	γνωστός	de	ADJ;NOM;NEUT;SG	ADP
παγκόσμιο	de	παγκόσμιος	de	ADJ;NOM;NEUT;SG	ADP
διάστημα	no	διάστημα	no	N;NOM;NEUT;SG	V
οικογένεια	familiar	οικογένεια	familiar	N;NOM;FEM;SG	ADJ
σημαίνει	que	σημαίνω	que	V;IPFV;IND;SG;3;PRS;FIN;ACT	PRO
σημαίνει	medios	σημαίνω	medio	V;IPFV;IND;SG;3;PRS;FIN;ACT	N
πέντε	cinco	πέντε	cinco	NUM;NOM;MASC;PL	N
παραπάνω	sobre	παραπάνω	sobre	ADV	ADP
