der	на	der	на	DET;NOM;DEF;MASC;SG	ADP
april	ейприл	april	ейприл	PROPN;NOM;MASC;SG	PROPN;INDF;FEM;SG
april	април	april	април	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
september	септември	september	септември	PROPN;SG	N;INDF;MASC;SG
september	sep	september	sep	PROPN;SG	N;INDF;MASC;SG
selbst	дори	selbst	дори	ADV	PART
selbst	даже	selbst	даже	ADV	PART
selbst	селф	selbst	селф	ADV	N;INDF;FEM;SG
weitere	допълнително	weit	допълнително	ADJ;NOM;FEM;PL	ADV
weitere	повече	weit	повече	ADJ;NOM;FEM;PL	ADV;INDF;PL
weitere	още	weit	още	ADJ;NOM;FEM;PL	ADV
juli	юли	juli	юли	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
juli	джули	juli	джул	PROPN;NOM;MASC;SG	PROPN;INDF;FEM;SG
andere	друго	ander	друг	ADJ;NOM;FEM;PL	ADV
andere	друг	ander	друг	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
okt	ост	okt	ост		N;INDF;FEM;SG
okt	октомври	okt	октомври		N;INDF;MASC;SG
feb	февруари	feb	февруари		N;INDF;MASC;SG
kein	не	kein	не	PRO;NOM;INDF;MASC;SG;NEG	INTJ;NEG
geschichte	приказка	geschicht	приказка		N;INDF;FEM;SG
geschichte	история	geschicht	история		N;INDF;FEM;SG
geschichte	историята	geschicht	история		N;DEF;FEM;SG
geschichte	история	geschicht	история		N;INDF;FEM;SG
verlag	издателите	verliegen	издател	N;NOM;MASC;SG	N;DEF;MASC;PL
verlag	издатели	verliegen	издател	N;NOM;MASC;SG	N;INDF;MASC;PL
apr	април	apr	април		N;INDF;MASC;SG
jpg	jpg	jpg	jpg		PROPN;INDF;MASC;SG
dezember	декември	dezember	декември	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
dezember	декември	dezember	декември	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
dezember	дек	dezember	дек	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
dez	декември	dez	декември		N;INDF;MASC;SG
dez	дек	dez	дек		N;INDF;FEM;SG
universität	университет	universität	университет	ADJ	N;INDF;MASC;SG
universität	university	universität	university	ADJ	PROPN;INDF;MASC;SG
universität	университета	universität	университет	ADJ	N;DEF;MASC;SG
platz	plaza	platz	plaza	ADV	N;INDF;MASC;SG
platz	плаза	platz	плаза	ADV	N;INDF;FEM;SG
platz	квадратна	platz	квадратен	ADV	ADJ;INDF;FEM;SG
platz	квадратни	platz	квадратен	ADV	ADJ;INDF;PL
platz	квадратен	platz	квадратен	ADV	ADJ;INDF;MASC;SG
platz	квадрат	platz	квадрат	ADV	N;INDF;MASC;SG
platz	площад	platz	площад	ADV	N;INDF;MASC;SG
platz	място	platz	място	ADV	N;INDF;NEUT;SG
platz	плац	platz	плац	ADV	N;INDF;MASC;PL
platz	пространство	platz	пространство	ADV	N;INDF;NEUT;SG
platz	космос	platz	космос	ADV	N;INDF;MASC;SG
platz	космоса	platz	космос	ADV	N;DEF;MASC;SG
ihrer	техните	ihr	наш	DET;NOM;MASC;SG	DET;DEF;PL;3
steht	стойки	stehen	стойка	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
sep	sep	sepen	sep		N;INDF;MASC;SG
november	ноември	november	ноември	PROPN	N;INDF;MASC;SG
november	ноември	november	ноември	PROPN	N;INDF;MASC;SG
wir	wir	wir	wir	PRO;NOM;PL;1	INTJ
jahrhundert	век	jahrhundert	век	ADJ	N;INDF;MASC;SG
jahrhundert	века	jahrhundert	век	ADJ	N;DEF;MASC;SG
beiden	двете	beide	два	PRO;NOM;INDF;PL	NUM;DEF;FEM;PL
beiden	двама	beide	двама	PRO;NOM;INDF;PL	NUM;INDF;PL
beiden	две	beide	два	PRO;NOM;INDF;PL	NUM;INDF;FEM;PL
zweiten	второ	zweit	втори	ADJ;NOM;MASC;PL	ADV
zweiten	втора	zweit	втори	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
zweiten	втори	zweit	втори	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
seite	страничен	seit	страничен	N	ADJ;INDF;MASC;SG
seite	page	seit	page	N	INTJ
februar	февруари	februaer	февруари	PROPN;NOM;SG	N;INDF;MASC;SG
februar	февруари	februaer	февруари	PROPN;NOM;SG	N;INDF;MASC;SG
gab	даде	geben	дам-(се)	V;IND;SG;3;PST;FIN	V;PFV;IMP;SG;2;PST;FIN
etwas	нещо	etwas	някой	ADV	PRO;NOM;INDF;NEUT;SG
allerdings	но	allerdings	но	ADV	CONJ
allerdings	макар	allerdings	макар	ADV	ADP
film	филмова	falmen	филмов		ADJ;INDF;FEM;SG
film	филм	falmen	филм		N;INDF;MASC;SG
film	филм	falmen	филм		N;INDF;MASC;SG
film	лента	falmen	лента		N;INDF;FEM;SG
wäre	би	sein	съм	V;SBJV;SG;3;PST;FIN	V;IPFV;COND;SG;3;PST;FIN
neue	ню	neu	ню	ADJ;NOM;FEM;PL	PROPN;INDF;MASC;SG
neue	ново	neu	нов	ADJ;NOM;FEM;PL	ADV
neue	нов	neu	нов	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
neue	нова	neu	нов	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
neue	neue	neu	neue	ADJ;NOM;FEM;PL	PROPN;INDF;MASC;SG
nun	еее	nun	ее	ADV	INTJ
leben	жива	leben	жив	V;NFIN	ADJ;INDF;FEM;SG
leben	живите	leben	жив	V;NFIN	ADJ;DEF;PL
leben	живи	leben	жив	V;NFIN	ADJ;INDF;PL
leben	живот	leben	живот	V;NFIN	N;INDF;MASC;SG
leben	живота	leben	живот	V;NFIN	N;DEF;MASC;SG
leben	life	leben	life	V;NFIN	PROPN;INDF;MASC;SG
leben	лайф	leben	лайф	V;NFIN	N;INDF;MASC;SG
leben	животът	leben	живот	V;NFIN	N;DEF;MASC;SG
leben	живи	leben	жив	V;NFIN	ADJ;INDF;PL
leben	жива	leben	жив	V;NFIN	ADJ;INDF;FEM;SG
leben	live	leben	live	V;NFIN	ADJ
leben	жив	leben	жив	V;NFIN	ADJ;INDF;MASC;SG
leben	leben	leben	leben	V;NFIN	N;INDF;MASC;SG
namen	името	name	име		N;DEF;NEUT;SG
namen	наименование	name	наименование		N;INDF;NEUT;SG
namen	име	name	име		N;INDF;NEUT;SG
namen	наименования	name	наименование		N;INDF;NEUT;PL
namen	имената	name	име		N;DEF;NEUT;PL
namen	имена	name	име		N;INDF;NEUT;PL
weil	защото	weil	защото	CONJ	ADV
bitte	плс	bitte	плс		V;PFV;IMP;SG;2;FIN
bitte	plz	bitte	plz		INTJ
relevanz	значимост	relevanz	значимост	ADJ	N;INDF;FEM;SG
mitglied	член	mitglied	член	ADJ	N;INDF;MASC;SG
wegen	защото	wegen	защото	ADP	ADV
deren	тяхна	der	наш	DET;GEN;PL	DET;INDF;FEM;SG;3
deren	тяхната	der	наш	DET;GEN;PL	DET;DEF;FEM;SG;3
deren	техните	der	наш	DET;GEN;PL	DET;DEF;PL;3
deren	техен	der	наш	DET;GEN;PL	DET;INDF;MASC;SG;3
viele	mnogo	viel	mnogo	ADJ;NOM;INDF;PL	PROPN;INDF;NEUT;SG
viele	много	viel	много	ADJ;NOM;INDF;PL	ADV;INDF;PL
text	текст	Text	текст		N;INDF;MASC;SG
text	текстове	Text	текст		N;INDF;MASC;PL
text	текст	Text	текст		N;INDF;MASC;SG
münchen	мюнхен	münchen	мюнхен	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
löschen	ясно	löschen	ясно	V;NFIN	ADV
löschen	изчистване	löschen	изчистване	V;NFIN	N;INDF;NEUT;SG
löschen	изтриването	löschen	изтриване	V;NFIN	N;DEF;NEUT;SG
löschen	заличаване	löschen	заличаване	V;NFIN	N;INDF;NEUT;SG
löschen	изтриване	löschen	изтриване	V;NFIN	N;INDF;NEUT;SG
erhielt	получени	erhalten	получа	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
bekannt	познат	bekennen	познат	ADJ	N;INDF;MASC;SG
zurück	връщане	zurück	връщане	ADV	N;INDF;NEUT;SG
zurück	завръщане	zurück	завръщане	ADV	N;INDF;NEUT;SG
zurück	гръб	zurück	гръб	ADV	N;INDF;MASC;SG
ort	ort	ort	ort	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
allem	всичко	alle	всеки	PRO;DAT;INDF;NEUT;SG	PRO;NOM;NEUT;SG
friedrich	фридрих	friedrich	фридрих	PROPN;NOM;SG	PROPN;INDF;MASC;SG
friedrich	фредерик	friedrich	фредерик	PROPN;NOM;SG	N;INDF;MASC;SG
friedrich	фридрих	friedrich	фридрих	PROPN;NOM;SG	PROPN;INDF;MASC;SG
ihren	техните	ihr	наш	DET;ACC;MASC;SG	DET;DEF;PL;3
saison	сезонна	saison	сезонен	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
saison	сезонни	saison	сезонен	N;NOM;FEM;SG	ADJ;INDF;PL
neuen	ню	neu	ню	ADJ;ACC;MASC;SG	PROPN;INDF;MASC;SG
neuen	ново	neu	нов	ADJ;ACC;MASC;SG	ADV
neuen	нови	neu	нов	ADJ;ACC;MASC;SG	ADJ;INDF;PL
stand	стоеше	stehen	стоя	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;IPFV;FIN;ACT
stand	бут	stehen	бут	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
stand	щанд	stehen	щанд	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
stand	буут	stehen	буут	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
diesen	тези	dies	този	PRO;ACC;MASC;SG	DET;PL
würde	достойно	werden	достойно	V;SBJV;SG;3;PST;FIN	ADV
würde	достойнство	werden	достойнство	V;SBJV;SG;3;PST;FIN	N;INDF;NEUT;SG
würde	достойнството	werden	достойнство	V;SBJV;SG;3;PST;FIN	N;DEF;NEUT;SG
würde	би	werden	съм	V;SBJV;SG;3;PST;FIN	V;IPFV;COND;SG;3;PST;FIN
politiker	политици	politik	политик	ADJ	N;INDF;MASC;PL
politiker	политиката	politik	политика	ADJ	N;DEF;FEM;SG
politiker	политика	politik	политика	ADJ	N;INDF;FEM;SG
politiker	политици	politik	политик	ADJ	N;INDF;MASC;PL
politiker	политиците	politik	политик	ADJ	N;DEF;MASC;PL
politiker	политици	politik	политик	ADJ	N;INDF;MASC;PL
politiker	политик	politik	политик	ADJ	N;INDF;MASC;SG
personen	пакс	Person	пакс	N;NOM;FEM;PL	PROPN;INDF;MASC;SG
personen	народ	Person	народ	N;NOM;FEM;PL	N;INDF;MASC;SG
personen	хора	Person	хора	N;NOM;FEM;PL	N;INDF
personen	хората	Person	хора	N;NOM;FEM;PL	N;DEF
titel	приливът	titel	прилив		N;DEF;MASC;SG
titel	прилив	titel	прилив		N;INDF;MASC;SG
titel	следите	titel	следя		N;DEF;FEM;PL
titel	писти	titel	пистя		N;INDF;FEM;PL
titel	следи	titel	следя		N;INDF;FEM;PL
titel	релси	titel	релса		N;INDF;FEM;PL
titel	заглавия	titel	заглавие		N;INDF;NEUT;PL
titel	титли	titel	титла		N;INDF;FEM;PL
titel	заглавие	titel	заглавие		N;INDF;NEUT;SG
titel	дял	titel	дял		N;INDF;MASC;SG
titel	титла	titel	титла		N;INDF;FEM;SG
karl	чарлз	karlen	чарлз	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
karl	чарлс	karlen	чарлс	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
