sandstein	arenisca	sandstein	arenisca		N;FEM;SG
geprüft	revisado	prüfen	revisar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
geprüft	revisada	prüfen	revisado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
kreuzer	cruceros	kreuzer	crucero	ADJ	N;MASC;PL
kreuzer	crucero	kreuzer	crucero	ADJ	N;MASC;SG
erdbeben	sísmica	erdbeben	sísmico	V;NFIN	ADJ;FEM;SG
erdbeben	terremoto	erdbeben	terremoto	V;NFIN	N;MASC;SG
erdbeben	terremotos	erdbeben	terremoto	V;NFIN	N;MASC;PL
erdbeben	temblor	erdbeben	temblor	V;NFIN	N;MASC;SG
erdbeben	sismo	erdbeben	sismo	V;NFIN	N;MASC;SG
erdbeben	terremotos	erdbeben	terremoto	V;NFIN	N;MASC;PL
erdbeben	temblores	erdbeben	temblor	V;NFIN	N;MASC;PL
puerto	puerto	puerto	puerto	PROPN	N;MASC;SG
feier	ceremonia	feier	ceremonia		N;FEM;SG
feier	ceremonias	feier	ceremonia		N;FEM;PL
feier	parte	feier	parte		N;FEM;SG
feier	partido	feier	partido		N;MASC;SG
feier	fiesta	feier	fiesta		N;FEM;SG
feier	party	feier	party		N
feier	celebraciones	feier	celebración		N;FEM;PL
feier	festejos	feier	festejo		N;MASC;PL
feier	celebrar	feier	celebrar		V;NFIN
feier	celebra	feier	celebrar		V;IND;SG;3;PRS;FIN
feier	celebran	feier	celebrar		V;IND;PL;3;PRS;FIN
feier	celebre	feier	celebrar		V;SBJV;SG;3;PRS;FIN
feier	celebraciones	feier	celebración		N;FEM;PL
feier	celebración	feier	celebración		N;FEM;SG
feier	festejo	feier	festejo		N;MASC;SG
schäfer	pastor	schäf	pastor	PROPN	N;MASC;SG
schäfer	schaefer	schäf	schaefer	PROPN	PROPN
schäfer	schäfer	schäf	schäfer	PROPN	N;MASC;SG
schäfer	pastores	schäf	pastor	PROPN	N;MASC;PL
rückseite	reversa	rückseite	reversa	ADJ	N;FEM;SG
rückseite	inversa	rückseite	inversa	ADJ	N;FEM;SG
rückseite	reverso	rückseite	reverso	ADJ	N;MASC;SG
rückseite	revés	rückseite	revés	ADJ	N;MASC;SG
rückseite	invertir	rückseite	invertir	ADJ	V;NFIN
rückseite	revertir	rückseite	revertir	ADJ	V;NFIN
rückseite	trasero	rückseite	trasero	ADJ	N;MASC;SG
rückseite	retaguardia	rückseite	retaguardia	ADJ	N;FEM;SG
rückseite	traseros	rückseite	trasero	ADJ	N;MASC;PL
rückseite	volver	rückseite	volver	ADJ	V;NFIN
rückseite	espalda	rückseite	espalda	ADJ	N;FEM;SG
rückseite	regreso	rückseite	regreso	ADJ	N;MASC;SG
rückseite	back	rückseite	back	ADJ	
lokomotive	locomotoras	lokomotiv	locomotor	ADJ;NOM;FEM;PL	N;FEM;PL
lokomotive	locomotora	lokomotiv	locomotora	ADJ;NOM;FEM;PL	N;FEM;SG
vermutung	presunción	vermutung	presunción	ADV	N;FEM;SG
vermutung	conjetura	vermutung	conjetura	ADV	N;FEM;SG
vermutung	conjeturas	vermutung	conjetura	ADV	N;FEM;PL
vermutung	suposiciones	vermutung	suposición	ADV	N;FEM;PL
vermutung	presunciones	vermutung	presunción	ADV	N;FEM;PL
vermutung	supuestos	vermutung	supuesto	ADV	ADJ;MASC;PL;V.PTCP
vermutung	conjetura	vermutung	conjetura	ADV	N;FEM;SG
vermutung	adivinar	vermutung	adivinar	ADV	V;NFIN
vermutung	adivine	vermutung	adivinar	ADV	V;IMP;SG;3;FIN
vermutung	adivina	vermutung	adivinar	ADV	N;FEM;SG
vermutung	suposición	vermutung	suposición	ADV	N;FEM;SG
propaganda	propaganda	propaganda	propaganda	PROPN	N;FEM;SG
kenntnisse	habilidades	kenntnis	habilidad	ADJ	N;FEM;PL
kenntnisse	destrezas	kenntnis	destreza	ADJ	N;FEM;PL
kenntnisse	competencias	kenntnis	competencia	ADJ	N;FEM;PL
kenntnisse	conocimiento	kenntnis	conocimiento	ADJ	N;MASC;SG
kenntnisse	conocimientos	kenntnis	conocimiento	ADJ	N;MASC;PL
spalte	columna	spalten	columna	ADJ;NOM;SG	N;FEM;SG
spalte	columnas	spalten	columna	ADJ;NOM;SG	N;FEM;PL
southern	sureña	southern	sureño	PROPN	ADJ;FEM;SG
southern	southern	southern	southern	PROPN	N
southern	sur	southern	sur	PROPN	N;MASC;SG
southern	meridional	southern	meridional	PROPN	ADJ;SG
southern	sureño	southern	sureño	PROPN	ADJ;MASC;SG
oswald	oswald	oswald	oswald	PROPN;NOM;MASC;SG	N;MASC;SG
überlegungen	consideraciones	überlegungen	consideración	V;NFIN	N;FEM;PL
überlegungen	reflejos	überlegungen	reflejo	V;NFIN	N;MASC;PL
überlegungen	reflexiones	überlegungen	reflexión	V;NFIN	N;FEM;PL
überlegungen	pensamiento	überlegungen	pensamiento	V;NFIN	N;MASC;SG
überlegungen	pensamientos	überlegungen	pensamiento	V;NFIN	N;MASC;PL
zugeteilt	asignadas	zuteilen	asignado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
zugeteilt	asignada	zuteilen	asignar	V;V.PTCP	ADJ;FEM;SG;V.PTCP
zugeteilt	asignado	zuteilen	asignar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
zugeteilt	asignados	zuteilen	asignado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
zugeteilt	asignado	zuteilen	asignar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
zugeteilt	asignada	zuteilen	asignar	V;V.PTCP	ADJ;FEM;SG;V.PTCP
zugeteilt	asignados	zuteilen	asignado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
report	reporte	report	reportar	PROPN	N;MASC;SG
report	denuncia	report	denuncia	PROPN	N;FEM;SG
report	reportar	report	reportar	PROPN	V;NFIN
report	denunciar	report	denunciar	PROPN	V;NFIN
report	informe	report	informe	PROPN	N;MASC;SG
geheimen	secret	geheimen	secret	ADJ	N
geheimen	secreto	geheimen	secreto	ADJ	N;MASC;SG
geheimen	secretos	geheimen	secreto	ADJ	N;MASC;PL
teilung	divida	teilung	dividir	N;NOM;FEM;SG	V;IMP;SG;3;FIN
teilung	divisoria	teilung	divisorio	N;NOM;FEM;SG	ADJ;FEM;SG
teilung	dividir	teilung	dividir	N;NOM;FEM;SG	V;NFIN
teilung	divide	teilung	dividir	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
fremde	forasteros	fremd	forastero	ADJ;NOM;FEM;PL	N;MASC;PL
fremde	forasteros	fremd	forastero	ADJ;NOM;FEM;PL	N;MASC;PL
fremde	forastero	fremd	forastero	ADJ;NOM;FEM;PL	N;MASC;SG
fremde	extraña	fremd	extraño	ADJ;NOM;FEM;PL	ADJ;FEM;SG
fremde	extraño	fremd	extraño	ADJ;NOM;FEM;PL	ADJ;MASC;SG
lkw	camiones	lkw	camión		N;MASC;PL
lkw	camiones	lkw	camión		N;MASC;PL
lkw	camioneta	lkw	camioneta		N;FEM;SG
lkw	camión	lkw	camión		N;MASC;SG
lkw	camion	lkw	camion		N;MASC;SG
lkw	camión	lkw	camión		N;MASC;SG
lkw	camiones	lkw	camión		N;MASC;PL
lkw	carretillas	lkw	carretilla		N;FEM;PL
registriert	registrado	registrieren	registrado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
registriert	inscrito	registrieren	inscribir	V;V.PTCP	ADJ;MASC;SG;V.PTCP
registriert	registrada	registrieren	registrado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
registriert	registrados	registrieren	registrado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
registriert	registradas	registrieren	registrado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
abbildungen	gráficas	abbildung	gráfico	V;NFIN	ADJ;FEM;PL
abbildungen	gráficos	abbildung	gráfico	V;NFIN	N;MASC;PL
abbildungen	imagenes	abbildung	imagen	V;NFIN	N;FEM;PL
abbildungen	fotos	abbildung	foto	V;NFIN	N;FEM;PL
abbildungen	fotografías	abbildung	fotografía	V;NFIN	N;FEM;PL
abbildungen	cuadros	abbildung	cuadro	V;NFIN	N;MASC;PL
abbildungen	imágenes	abbildung	imagen	V;NFIN	N;FEM;PL
abbildungen	imagenes	abbildung	imagen	V;NFIN	N;FEM;PL
abbildungen	imágenes	abbildung	imagen	V;NFIN	N;FEM;PL
abbildungen	figuras	abbildung	figura	V;NFIN	N;FEM;PL
abbildungen	cifras	abbildung	cifra	V;NFIN	N;FEM;PL
abbildungen	ilustraciones	abbildung	ilustración	V;NFIN	N;FEM;PL
verschwinden	desaparición	verschwinden	desaparición	V;NFIN	N;FEM;SG
verschwinden	desaparición	verschwinden	desaparición	V;NFIN	N;FEM;SG
verschwinden	desapariciones	verschwinden	desaparición	V;NFIN	N;FEM;PL
spenden	donativo	spenden	donativo	V;NFIN	N;MASC;SG
spenden	donaciones	spenden	donación	V;NFIN	N;FEM;PL
spenden	donación	spenden	donación	V;NFIN	N;FEM;SG
spenden	done	spenden	done	V;NFIN	
spenden	donación	spenden	donación	V;NFIN	N;FEM;SG
spenden	donaciones	spenden	donación	V;NFIN	N;FEM;PL
spenden	donativos	spenden	donativo	V;NFIN	N;MASC;PL
mdr	mdr	mdr	mdr		PROPN
monarchie	monarquía	monarchie	monarquía	PROPN	N;FEM;SG
republikanischen	republicana	republikanisch	republicano	ADJ;NOM;MASC;PL	ADJ;FEM;SG
republikanischen	republicanos	republikanisch	republicano	ADJ;NOM;MASC;PL	N;MASC;PL
republikanischen	republicano	republikanisch	republicano	ADJ;NOM;MASC;PL	N;MASC;SG
bestätigen	verificación	bestätigen	verificación	V;NFIN	N;FEM;SG
bestätigen	valida	bestätigen	valida	V;NFIN	ADJ;FEM;SG;V.PTCP
scharf	sharp	scharf	sharp	ADJ	N
scharf	picante	scharf	picante	ADJ	N;SG
vermittelt	mediado	vermitteln	mediado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
frisch	fresh	frisch	fresh	ADJ	N
frisch	recien	frisch	recien	ADJ	
frisch	recién	frisch	recién	ADJ	ADV
frisch	frisch	frisch	frisch	ADJ	PROPN
kelly	kelly	kelly	kelly	PROPN;NOM;SG	PROPN
alabama	alabama	alabama	alabama	PROPN;NOM;NEUT;SG	N;FEM;SG
dokument	documentar	dokument	documentar	N;NOM;NEUT;SG	V;NFIN
loire	loira	loire	loira	PROPN;NOM;SG	N;MASC;SG
loire	loire	loire	loirar	PROPN;NOM;SG	N;MASC;SG
audio	audio	audio	audio		N;MASC;SG
kurfürsten	elector	kurfürst	elector	N;PL	N;MASC;SG
kette	colgante	kett	colgante	N;NOM;FEM;SG	ADJ;SG
kette	cadenas	kett	cadena	N;NOM;FEM;SG	N;FEM;PL
herrenhaus	mansión	herrenhaus	mansión	ADJ	N;FEM;SG
herrenhaus	mansión	herrenhaus	mansión	ADJ	N;FEM;SG
herrenhaus	manor	herrenhaus	manor	ADJ	N;MASC;SG
schicht	turno	schechen	turno	ADJ	N;MASC;SG
schicht	capa	schechen	capa	ADJ	N;FEM;SG
schicht	capas	schechen	capa	ADJ	N;FEM;PL
schicht	estrato	schechen	estrato	ADJ	N;MASC;SG
justiz	justicia	justiz	justicia		N;FEM;SG
justiz	justice	justiz	justice		N;SG
justiz	judicial	justiz	judicial		ADJ;SG
justiz	judiciales	justiz	judicial		ADJ;PL
justiz	judicatura	justiz	judicatura		N;FEM;SG
justiz	magistratura	justiz	magistratura		N;FEM;SG
alberto	alberto	alberto	alberto	PROPN;NOM;SG	N;MASC;SG
offizieller	funcionario	offiziell	funcionario	ADJ	N;MASC;SG
offizieller	official	offiziell	official	ADJ	N
offizieller	funcionaria	offiziell	funcionaria	ADJ	N;FEM;SG
bewaffneten	pistoleros	bewaffnet	pistolero	V;IND;PL;3;PST;FIN	N;MASC;PL
bewaffneten	armada	bewaffnet	armado	V;IND;PL;3;PST;FIN	ADJ;FEM;SG;V.PTCP
bewaffneten	armados	bewaffnet	armado	V;IND;PL;3;PST;FIN	ADJ;MASC;PL;V.PTCP
bewaffneten	armadas	bewaffnet	armado	V;IND;PL;3;PST;FIN	ADJ;FEM;PL;V.PTCP
bewaffneten	armado	bewaffnet	armado	V;IND;PL;3;PST;FIN	ADJ;MASC;SG;V.PTCP
mittelmeer	atlántico	mittelmeer	atlántico		ADJ;MASC;SG
mittelmeer	atlántica	mittelmeer	atlántico		ADJ;FEM;SG
mittelmeer	mediterránea	mittelmeer	mediterráneo		ADJ;FEM;SG
mittelmeer	mediterráneo	mittelmeer	mediterráneo		N;MASC;SG
faktor	factor	faktor	factor	ADJ	N;MASC;SG
ermordung	asesinato	ermordung	asesinato		N;MASC;SG
ermordung	asesinatos	ermordung	asesinato		N;MASC;PL
ermordung	homicidio	ermordung	homicidio		N;MASC;SG
ermordung	asesinato	ermordung	asesinato		N;MASC;SG
ermordung	asesinatos	ermordung	asesinato		N;MASC;PL
connecticut	connecticut	connecticut	connecticut	PROPN	N;MASC;SG
persönlichkeit	personalidades	persönlichkeit	personalidad	ADJ	N;FEM;PL
persönlichkeit	personalidad	persönlichkeit	personalidad	ADJ	N;FEM;SG
persönlichkeit	personalidad	persönlichkeit	personalidad	ADJ	N;FEM;SG
etablierte	establecido	etablieren	establecido	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
etablierte	establecidos	etablieren	establecido	V;IND;SG;3;PST;FIN	ADJ;MASC;PL;V.PTCP
etablierte	establecida	etablieren	establecido	V;IND;SG;3;PST;FIN	ADJ;FEM;SG;V.PTCP
kaliningrad	kaliningrado	kaliningrad	kaliningrado	PROPN	N;MASC;SG
zusatz	adición	zusatz	adición		N;FEM;SG
zusatz	adición	zusatz	adición		N;FEM;SG
zusatz	aditivos	zusatz	aditivo		N;MASC;PL
zusatz	aditivo	zusatz	aditivo		N;MASC;SG
guido	guido	guido	guido	PROPN;NOM;MASC;SG	PROPN
gefangenen	prisionera	gefangen	prisionera	V;IND;PL;3;FIN	N;FEM;SG
gefangenen	prisioneros	gefangen	prisionero	V;IND;PL;3;FIN	N;MASC;PL
gefangenen	preso	gefangen	preso	V;IND;PL;3;FIN	N;MASC;SG
gefangenen	prisionero	gefangen	prisionero	V;IND;PL;3;FIN	N;MASC;SG
gefangenen	cautivos	gefangen	cautivo	V;IND;PL;3;FIN	N;MASC;PL
gefangenen	cautiva	gefangen	cautivar	V;IND;PL;3;FIN	N;FEM;SG
gefangenen	cautivo	gefangen	cautivo	V;IND;PL;3;FIN	ADJ;MASC;SG
gefangenen	reclusos	gefangen	recluso	V;IND;PL;3;FIN	N;MASC;PL
gefangenen	prisioneros	gefangen	prisionero	V;IND;PL;3;FIN	N;MASC;PL
gefangenen	presos	gefangen	preso	V;IND;PL;3;FIN	N;MASC;PL
gefangenen	detenidas	gefangen	detener	V;IND;PL;3;FIN	ADJ;FEM;PL;V.PTCP
gefangenen	detenidos	gefangen	detenido	V;IND;PL;3;FIN	ADJ;MASC;PL;V.PTCP
sank	hundido	sinken	hundido	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
sank	hundidos	sinken	hundido	V;IND;SG;3;PST;FIN	ADJ;MASC;PL;V.PTCP
sank	hundido	sinken	hundido	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
leutnant	teniente	leutnant	teniente	ADJ	N;SG
leutnant	lugarteniente	leutnant	lugarteniente	ADJ	N;SG
lateinische	latino	lateinisch	latino	ADJ;NOM;FEM;PL	N;MASC;SG
lateinische	latina	lateinisch	latino	ADJ;NOM;FEM;PL	ADJ;FEM;SG
lateinische	latin	lateinisch	latin	ADJ;NOM;FEM;PL	N
lateinische	latín	lateinisch	latín	ADJ;NOM;FEM;PL	N;MASC;SG
xvi	xvi	xvi	xvi	PROPN;NOM;MASC;SG	N
vietnam	vietnam	vietnam	vietnam	PROPN	N;FEM;SG
strategie	estrategias	strategie	estrategia	N;SG	N;FEM;PL
uruguay	uruguay	uruguay	uruguay	PROPN;NOM;MASC;SG	PROPN
einheimischen	nativos	einheimisch	nativo	ADJ	N;MASC;PL
einheimischen	lugareños	einheimisch	lugareño	ADJ	N;MASC;PL
gruyter	gruyter	gruyt	gruyter		PROPN
liechtenstein	liechtenstein	liechtenstein	liechtenstein	PROPN;NOM;NEUT;SG	N;SG
liechtenstein	liechtenstein	liechtenstein	liechtenstein	PROPN;NOM;NEUT;SG	N;SG
liechtenstein	lichtenstein	liechtenstein	lichtenstein	PROPN;NOM;NEUT;SG	N;SG
holocaust	holocausto	holocaust	holocausto	PROPN;NOM;SG	N;MASC;SG
siegel	sella	siegel	sella		V;IND;SG;3;PRS;FIN
siegel	focas	siegel	foca		N;FEM;PL
siegel	precintos	siegel	precinto		N;MASC;PL
siegel	sellos	siegel	sello		N;MASC;PL
siegel	siegel	siegel	siegel		PROPN
siegel	sella	siegel	sella		V;IND;SG;3;PRS;FIN
siegel	foca	siegel	foca		N;FEM;SG
siegel	sello	siegel	sello		N;MASC;SG
quer	transversal	quer	transversal	ADV	ADJ;SG
quer	transversales	quer	transversal	ADV	ADJ;PL
fragt	pregunté	fragen	preguntar	V;IND;SG;3;PRS;FIN	V;IND;SG;1;PST;FIN
fragt	preguntado	fragen	preguntado	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG;V.PTCP
fragt	preguntó	fragen	preguntar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PST;FIN
ausscheiden	dimisión	ausscheiden	dimisión	V;NFIN	N;FEM;SG
ausscheiden	resignación	ausscheiden	resignación	V;NFIN	N;FEM;SG
ausscheiden	renuncia	ausscheiden	renuncia	V;NFIN	N;FEM;SG
hamm	gam	hamm	gam	PROPN;NOM;MASC;SG	N;MASC;SG
hamm	hamm	hamm	hamm	PROPN;NOM;MASC;SG	PROPN
auschwitz	auschwitz	auschwitz	auschwitz	PROPN	N;MASC;SG
zeitgenössische	contemporáneo	zeitgenössisch	contemporáneo	ADJ;NOM;FEM;PL	ADJ;MASC;SG
zeitgenössische	contemporáneos	zeitgenössisch	contemporáneo	ADJ;NOM;FEM;PL	N;MASC;PL
zeitgenössische	contemporánea	zeitgenössisch	contemporáneo	ADJ;NOM;FEM;PL	ADJ;FEM;SG
planungen	planificación	planung	planificación	V;NFIN	N;FEM;SG
planungen	planeación	planung	planeación	V;NFIN	N;FEM;SG
planungen	planeamiento	planung	planeamiento	V;NFIN	N;MASC;SG
planungen	planos	planung	plano	V;NFIN	N;MASC;PL
planungen	planes	planung	plan	V;NFIN	N;MASC;PL
beendigung	terminación	beendigung	terminación	ADV	N;FEM;SG
beendigung	rescisión	beendigung	rescisión	ADV	N;FEM;SG
beendigung	finalización	beendigung	finalización	ADV	N;FEM;SG
detroit	detroit	detroit	detroit	PROPN;NOM;MASC;SG	N;MASC
emma	emma	emma	emma	PROPN;NOM;SG	N;FEM;SG
publikation	publicaciones	publikation	publicación	N;NOM;FEM;SG	N;FEM;PL
stoff	tela	stoff	tela		N;FEM;SG
stoff	telas	stoff	tela		N;FEM;PL
stoff	paño	stoff	paño		N;MASC;SG
stoff	sustancia	stoff	sustancia		N;FEM;SG
stoff	substancia	stoff	substancia		N;FEM;SG
stoff	tela	stoff	tela		N;FEM;SG
stoff	tejido	stoff	tejido		ADJ;MASC;SG;V.PTCP
fremden	forasteros	fremd	forastero	ADJ	N;MASC;PL
fremden	extranjeros	fremd	extranjero	ADJ	N;MASC;PL
fremden	alienígenas	fremd	alienígena	ADJ	N;FEM;PL
fremden	aliens	fremd	aliens	ADJ	N;MASC;PL
fremden	extranjería	fremd	extranjería	ADJ	N;FEM;SG
fremden	extraterrestres	fremd	extraterrestr	ADJ	N;PL
fremden	forastero	fremd	forastero	ADJ	N;MASC;SG
ernsthaft	seriedad	ernsthaft	seriedad	ADJ	N;FEM;SG
ernsthaft	seriamente	ernsthaft	seriamente	ADJ	ADV
gelben	amarillos	gelb	amarillo		ADJ;MASC;PL
gelben	amarilla	gelb	amarillo		ADJ;FEM;SG
gelben	amarillas	gelb	amarillo		ADJ;FEM;PL
gelben	amarillo	gelb	amarillo		ADJ;MASC;SG
krankheiten	enfermedades	krankheit	enfermedad	V;NFIN	N;FEM;PL
krankheiten	enfermedades	krankheit	enfermedad	V;NFIN	N;FEM;PL
krankheiten	enfermedad	krankheit	enfermedad	V;NFIN	N;FEM;SG
krankheiten	enfermedades	krankheit	enfermedad	V;NFIN	N;FEM;PL
krankheiten	trastornos	krankheit	trastorno	V;NFIN	N;MASC;PL
krankheiten	desórdenes	krankheit	desorden	V;NFIN	N;MASC;PL
krankheiten	enfermedad	krankheit	enfermedad	V;NFIN	N;FEM;SG
zentimetern	centímetros	zentimetern	centímetro	ADJ	N;MASC;PL
bukarest	bucarest	bukarest	bucarest	PROPN;NOM;NEUT;SG	N;MASC;SG
mans	mans	mans	mans	PROPN;NOM;MASC;SG	N;FEM;SG
denkmäler	monumento	denkmäl	monumento	ADJ	N;MASC;SG
denkmäler	monumentos	denkmäl	monumento	ADJ	N;MASC;PL
maine	maine	mainen	maine	PROPN;NOM;SG	N;MASC;SG
rief	gritado	rufen	gritado	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
rief	llamados	rufen	llamado	V;IND;SG;3;PST;FIN	ADJ;MASC;PL;V.PTCP
rief	llamado	rufen	llamado	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
rief	llamé	rufen	llamar	V;IND;SG;3;PST;FIN	V;IND;SG;1;PST;FIN
rief	llamada	rufen	llamado	V;IND;SG;3;PST;FIN	ADJ;FEM;SG;V.PTCP
rief	llorado	rufen	llorar	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
rief	lloraba	rufen	llorar	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
