les	la	le	el	DET;DEF;PL	DET;DEF;FEM;SG
http	http	http	http	N;MASC;SG	
voir	veure	voir	veure	V;NFIN	
voir	vista	voir	vista	V;NFIN	N;FEM;SG
voir	visualització	voir	visualització	V;NFIN	N;FEM;SG
pays	país	pays	país	N;MASC;SG	
pays	països	pays	país	N;MASC;SG	N;MASC;PL
grand	grans	grand	gran	ADJ;MASC;SG	ADJ;PL
grand	grand	grand	grand	ADJ;MASC;SG	
tout	everything	tout	everything	PRO;MASC;SG	
tout	tots	tout	tot	PRO;MASC;SG	PRO;MASC;PL
tout	totes	tout	tot	PRO;MASC;SG	PRO;FEM;PL
lors	durant	lors	durant	ADV	ADP
groupe	banda	groupe	banda	N;MASC;SG	
monde	world	monde	world	N;MASC;SG	
bien	bones	bien	bo	ADV	ADJ;FEM;PL
bien	bona	bien	bo	ADV	ADJ;FEM;SG
contre	against	contre	against	ADP	
puis	aleshores	puis	aleshores	CONJ	ADV
puis	llavors	puis	llavors	CONJ	ADV
partie	party	partie	party	N;FEM;SG	
partie	part	partie	part	N;FEM;SG	
avant	front	avant	front	ADP	
avant	abans	avant	abans	ADP	ADV
trois	valldoreix	trois	valldorir	NUM	
guerre	guerra	guerre	guerra	N;FEM;SG	
sans	sans	sans	san	ADP	
fin	final	fin	final	N;FEM;SG	ADJ;SG
temps	weather	temps	weather	N;MASC;SG	
temps	time	temps	time	N;MASC;SG	
plusieurs	diverses	plusieurs	divers	PRO;PL	ADJ;FEM;PL
plusieurs	múltiples	plusieurs	múltiple	PRO;PL	
plusieurs	múltiple	plusieurs	múltiple	PRO;PL	
faire	fent	faire	fer	V;NFIN	V;V.MSDR
faire	make	faire	make	V;NFIN	
mars	march	mars	march	N;MASC;SG	PROPN
mars	mart	mars	mart	N;MASC;SG	
mars	mars	mars	mar	N;MASC;SG	N;MASC;PL
série	sèries	série	sèrie	N;FEM;SG	N;FEM;PL
série	sèrie	série	sèrie	N;FEM;SG	
série	serial	série	serial	N;FEM;SG	ADJ;SG
mai	mai	mai	mai	N;MASC;SG	ADV
tour	recorregut	tour	recorregut	N;MASC;SG	ADJ;MASC;SG;V.PTCP
tour	tower	tour	tower	N;MASC;SG	
mort	morí	mourir	morí	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
mort	defunció	mourir	defunció	V;MASC;SG;PST;V.PTCP	N;FEM;SG
mort	mort	mourir	mort	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
mort	morts	mourir	mort	V;MASC;SG;PST;V.PTCP	N;MASC;PL
mort	dead	mourir	dead	V;MASC;SG;PST;V.PTCP	PROPN
jpg	jpg	jpg	jpg	N;MASC;SG	
pierre	peter	pierre	peter	N;FEM;SG	
pierre	pere	pierre	pere	N;FEM;SG	
pierre	pierre	pierre	pierre	N;FEM;SG	
avoir	havent	avoir	haver	V;NFIN	V;V.MSDR
fois	vegades	fois	vegada	N;FEM;SG	N;FEM;PL
autre	altres	autre	altre	PRO;SG	PRO;PL
état	estat	état	ser	N;MASC;SG	V;MASC;SG;PST;V.PTCP
octobre	oct	octobre	oct	N;MASC;SG	
place	place	place	place	N;FEM;SG	
famille	familia	famille	familia	N;FEM;SG	
général	general	général	general	N;MASC;SG	ADJ;SG
avril	abr	avril	abr	N;MASC;SG	
avril	avril	avril	avril	N;MASC;SG	
politique	pòlissa	politique	pòlissa	ADJ;MASC;SG	N;FEM;SG
août	ago	août	ago	N;MASC;SG	
todo	todo	todo	todo	PROPN	
novembre	nov	novembre	nov	N;MASC;SG	
avait	havien	avoir	haver	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
prix	preus	prix	preu	N;MASC;SG	N;MASC;PL
nouvelle	noves	nouveau	nou	ADJ;FEM;SG	ADJ;FEM;PL
février	feb	février	feb	N;MASC;SG	
grande	grans	grand	gran	ADJ;FEM;SG	ADJ;PL
grande	grande	grand	grande	ADJ;FEM;SG	
peu	pocs	peu	poc	ADV	PRO;MASC;PL
peu	poques	peu	poc	ADV	PRO;FEM;PL
américain	american	américain	american	ADJ;MASC;SG	
début	comença	début	començar	N;MASC;SG	V;IND;SG;3;PRS;FIN
ligne	línia	ligne	línia	N;FEM;SG	
ligne	fila	ligne	fila	N;FEM;SG	
ligne	filera	ligne	filera	N;FEM;SG	
suite	suite	suite	suite	N;FEM;SG	
encore	encore	encore	encore	ADV	
vie	life	vie	life	N;FEM;SG	
vie	vie	vie	vie	N;FEM;SG	PROPN
ouest	oest	ouest	oest	N;MASC;SG	
ouest	western	ouest	western	N;MASC;SG	
page	pàgina	page	pàgina	N;FEM;SG	V;IND;SG;3;PRS;FIN
nouveau	noves	nouveau	nou	ADJ;MASC;SG	ADJ;FEM;PL
vous	tu	vous	tu	PRO;PL;2	PRO;SG;1
vous	vostè	vous	tu	PRO;PL;2	PRO;SG;2;FORM
centre	centra	centre	centrar	N;MASC;SG	V;IND;SG;3;PRS;FIN
centre	center	centre	center	N;MASC;SG	
cours	rumb	cours	rumb	N;MASC;SG	
cours	cours	cours	coure	N;MASC;SG	
cours	cursos	cours	curs	N;MASC;SG	N;MASC;PL
partir	excedència	partir	excedència	V;NFIN	N;FEM;SG
université	college	université	college	N;FEM;SG	
louis	lluís	loui	lluís	N;MASC;SG	
louis	louis	loui	loui	N;MASC;SG	
coupe	tall	coupe	tall	N;FEM;SG	
coupe	tallat	coupe	tallat	N;FEM;SG	ADJ;MASC;SG;V.PTCP
coupe	retalla	coupe	retalla	N;FEM;SG	V;IND;SG;3;PRS;FIN
coupe	talla	coupe	talla	N;FEM;SG	V;IND;SG;3;PRS;FIN
coupe	retallat	coupe	retallat	N;FEM;SG	ADJ;MASC;SG;V.PTCP
connexes	relacionat	connexe	relacionat	ADJ;MASC;PL	ADJ;MASC;SG;V.PTCP
connexes	relacionada	connexe	relacionat	ADJ;MASC;PL	ADJ;FEM;SG;V.PTCP
homme	masculí	homme	masculí	N;MASC;SG	ADJ;MASC;SG
homme	mascle	homme	mascle	N;MASC;SG	
homme	homme	homme	homme	N;MASC;SG	PROPN
homme	homes	homme	home	N;MASC;SG	N;MASC;PL
homme	man	homme	man	N;MASC;SG	
président	cadira	président	cadira	N;MASC;SG	
quatre	four	quatre	four	NUM	
cas	cas	cas	cas	N;MASC;SG	
cas	casos	cas	cas	N;MASC;SG	N;MASC;PL
genre	com	genre	com	N;MASC;SG	CONJ
genre	like	genre	like	N;MASC;SG	
roi	king	roi	king	N;MASC;SG	PROPN
roi	roi	roi	roi	N;MASC;SG	
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	
parti	partit	partir	partit	V;MASC;SG;PST;V.PTCP	N;MASC;SG
parti	festa	partir	festa	V;MASC;SG;PST;V.PTCP	N;FEM;SG
parti	marxat	partir	marxar	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
parti	anat	partir	anar	V;MASC;SG;PST;V.PTCP	
europe	europe	europe	europe	N;FEM;SG	
europe	europa	europe	europar	N;FEM;SG	
mise	mise	mettre	mise	V;FEM;SG;PST;V.PTCP	
forme	forma	forme	formar	N;FEM;SG	V;IND;SG;3;PRS;FIN
forme	forma	forme	formar	N;FEM;SG	V;IND;SG;3;PRS;FIN
époque	època	époque	època	N;FEM;SG	
époque	era	époque	ser	N;FEM;SG	V;IND;SG;3;IPFV;FIN
ancien	elder	ancien	elder	ADJ;MASC;SG	PROPN
origine	orígens	origine	origen	N;FEM;SG	N;MASC;PL
ordre	orde	ordre	orde	N;MASC;SG	
ordre	ordre	ordre	ordre	N;MASC;SG	
château	château	château	château	N;MASC;SG	
château	chateau	château	chateau	N;MASC;SG	
école	escoles	école	escola	N;FEM;SG	N;FEM;PL
carrière	carreres	carrière	carrera	N;FEM;SG	N;FEM;PL
carrière	curses	carrière	cursa	N;FEM;SG	N;FEM;PL
part	compartir	part	compartir	N;FEM;SG	V;NFIN
part	comparteix	part	compartir	N;FEM;SG	V;IND;SG;3;PRS;FIN
bar	barra	bar	barra	N;MASC;SG	
située	situat	situer	situat	V;FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
charles	charles	charle	charla	N;MASC;SG	
charles	carles	charle	carla	N;MASC;SG	
paul	paul	paul	paul	N;MASC;SG	PROPN
rue	rue	rue	rue	N;FEM;SG	
chef	chef	chef	chef	N;MASC;SG	
exemple	exemple	exemple	exemple	N;MASC;SG	
canton	guangzhou	canton	guangzhou	N;MASC;SG	
canton	cantó	canton	cantó	N;MASC;SG	
dernier	últimes	dernier	últim	ADJ;MASC;SG	ADJ;FEM;PL
compte	comte	compte	comte	N;MASC;SG	
compte	compte	compte	compte	N;MASC;SG	
armée	militars	armée	militar	N;FEM;SG	ADJ;PL
armée	militar	armée	militar	N;FEM;SG	ADJ;SG
marie	marie	marier	marie	N;FEM;SG	
marie	maría	marier	maría	N;FEM;SG	
marie	mary	marier	mary	N;FEM;SG	
marie	maria	marier	maria	N;FEM;SG	
discuter	xerrant	discuter	xerrar	V;NFIN	V;V.MSDR
discuter	xat	discuter	xat	V;NFIN	
car	perquè	car	perquè	CONJ	CONJ
car	perque	car	perque	CONJ	
chaque	cadascú	chaque	cadascú	DET;FEM;SG	
chaque	cadascuna	chaque	cadascun	DET;FEM;SG	PRO;FEM;SG
chaque	cadascun	chaque	cadascun	DET;FEM;SG	PRO;MASC;SG
john	john	john	john	PROPN	PROPN
john	joan	john	joan	PROPN	
international	internacionals	international	internacional	ADJ;MASC;SG	ADJ;PL
françois	francis	françois	franci	PROPN	
françois	françois	françois	françoi	PROPN	
cela	aquesta	cela	aquest	PRO;SG	DET;FEM;SG
cela	aquest	cela	aquest	PRO;SG	DET;MASC;SG
cela	aixo	cela	aixo	PRO;SG	
cela	que	cela	que	PRO;SG	CONJ
demande	ask	demande	ask	N;FEM;SG	PROPN
rôle	rol	rôle	rol	N;MASC;SG	
meilleur	meilleur	meilleur	meilleur	ADJ;MASC;SG	
droit	dret	droit	dret	N;MASC;SG	
droit	dreta	droit	dreta	N;MASC;SG	
mois	mesos	mois	mes	N;MASC;SG	N;MASC;PL
jacques	jacques	jacque	jacca	N;MASC;SG	
langue	llengua	langue	llengua	N;FEM;SG	V;IND;SG;3;PRS;FIN
center	centra	center	centrar	N;MASC;SG	V;IND;SG;3;PRS;FIN
center	center	center	center	N;MASC;SG	
petit	petites	petit	petit	ADJ;MASC;SG	ADJ;FEM;PL
argent	diners	argent	diner	N;MASC;SG	N;MASC;PL
argent	plata	argent	plata	N;MASC;SG	
argent	cash	argent	cash	N;MASC;SG	PROPN
argent	efectiu	argent	efectiu	N;MASC;SG	ADJ;MASC;SG
face	cara	face	cara	N;FEM;SG	
face	face	face	face	N;FEM;SG	
olympiques	olympic	olympique	olympic	ADJ;MASC;PL	ADJ;MASC;SG
olympiques	olímpic	olympique	olímpic	ADJ;MASC;PL	ADJ;MASC;SG
olympiques	olimpíades	olympique	olimpíat	ADJ;MASC;PL	N;FEM;PL
top	top	top	top	N;MASC;SG	
mondiale	worldwide	mondial	worldwide	ADJ;FEM;SG	
mondiale	món	mondial	món	ADJ;FEM;SG	N;MASC;SG
mondiale	world	mondial	world	ADJ;FEM;SG	
mondiale	globals	mondial	global	ADJ;FEM;SG	ADJ;PL
ensemble	ensemble	ensemble	ensemble	ADV	PROPN
ensemble	junts	ensemble	junt	ADV	ADJ;MASC;PL
théâtre	theater	théâtre	theater	N;MASC;SG	PROPN
situé	situat	situer	situat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
toute	tots	tout	tot	DET;FEM;SG	PRO;MASC;PL
toute	totes	tout	tot	DET;FEM;SG	PRO;FEM;PL
asp	asp	asp	aspendre	N;MASC;SG	
nombreux	moltes	nombreux	molt	ADJ;MASC;PL	PRO;FEM;PL
nombreux	molts	nombreux	molt	ADJ;MASC;PL	PRO;MASC;PL
système	system	système	ser	N;MASC;SG	
reste	estada	rester	estada	V;IND;SG;3;PRS;FIN	N;FEM;SG
roman	roman	roman	romandre	N;MASC;SG	V;IND;SG;3;PRS;FIN
roman	romà	roman	romà	N;MASC;SG	ADJ;MASC;SG
hui	avui	hui	avui		ADV
édition	edita	édition	editar	N;FEM;SG	V;IND;SG;3;PRS;FIN
édition	publicant	édition	publicar	N;FEM;SG	V;V.MSDR
historique	història	historique	història	ADJ;MASC;SG	N;FEM;SG
sera	will	être	will	V;IND;SG;3;FUT;FIN	PROPN
sera	voluntat	être	voluntat	V;IND;SG;3;FUT;FIN	N;FEM;SG
robert	robert	robert	robert	N;MASC;SG	
officiel	official	officiel	official	ADJ;MASC;SG	
officiel	officiel	officiel	officiel	ADJ;MASC;SG	
membres	membre	membre	membre	N;MASC;PL	N;MASC;SG
membres	pertinença	membre	pertinença	N;MASC;PL	
membres	afiliació	membre	afiliació	N;MASC;PL	N;FEM;SG
membres	adhesió	membre	adhesió	N;MASC;PL	N;FEM;SG
champion	champion	champion	champion	N;MASC;SG	
espèce	espècies	espèce	espècie	N;FEM;SG	N;FEM;PL
michel	michael	michel	michael	PROPN	N;SG
michel	michel	michel	michel	PROPN	
femme	dones	femme	dona	N;FEM;SG	N;FEM;PL
femme	dona	femme	donar	N;FEM;SG	V;IND;SG;3;PRS;FIN
femme	femení	femme	femení	N;FEM;SG	
femme	femella	femme	femella	N;FEM;SG	V;IND;SG;3;PRS;FIN
cinq	five	cinq	five	NUM	N;SG
bas	baix	bas	baix	ADJ;MASC;SG	
bas	baixes	bas	baix	ADJ;MASC;SG	ADJ;FEM;PL
bas	bas	bas	bas	ADJ;MASC;SG	
terre	earth	terre	earth	N;FEM;SG	
terre	terra	terre	terra	N;FEM;SG	
terre	land	terre	land	N;FEM;SG	PROPN
terre	terre	terre	terre	N;FEM;SG	
allemagne	allemagne	allemagne	allemagne	PROPN	N;SG
allemagne	alemanya	allemagne	alemany	PROPN	ADJ;FEM;SG
compétition	competitiu	compétition	competitiu	N;FEM;SG	ADJ;MASC;SG
compétition	competitiva	compétition	competitiu	N;FEM;SG	ADJ;FEM;SG
wikipédia	viquipèdia	wikipédia	viquipèdia	V;MASC;SG;PST;V.PTCP	
allemand	alemany	allemand	alemany	N;MASC;SG	ADJ;MASC;SG
allemand	allemand	allemand	allemand	N;MASC;SG	
britannique	british	britannique	british	ADJ;MASC;SG	
porte	porte	porte	porte	N;FEM;SG	
porte	porta	porte	portar	N;FEM;SG	V;IND;SG;3;PRS;FIN
italie	itàlia	italie	itàlia	PROPN	
demi	meitat	demi	meitat	ADJ;MASC;SG	N;FEM;SG
demi	half	demi	half	ADJ;MASC;SG	PROPN
demi	demi	demi	demi	ADJ;MASC;SG	
siège	seu	siège	seu	N;MASC;SG	DET;MASC;SG;3
siège	seat	siège	seat	N;MASC;SG	PROPN
siège	seient	siège	seient	N;MASC;SG	
personnes	gent	personne	gent	N;FEM;PL	N;FEM;SG
nommé	anomenat	nommer	anomenat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
nommé	nomenats	nommer	nomenar	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
route	road	route	road	N;FEM;SG	
finale	finals	finale	final	N;FEM;SG	N;MASC;PL
jeune	joves	jeune	jove	ADJ;MASC;SG	N;PL
jeune	young	jeune	young	ADJ;MASC;SG	PROPN
jeune	jove	jeune	jove	ADJ;MASC;SG	N;SG
peuvent	can	pouvoir	can	V;IND;PL;3;PRS;FIN	
york	york	york	york	PROPN	
royaume	regne	royaume	regne	N;MASC;SG	
royaume	royaume	royaume	royaume	N;MASC;SG	PROPN
ceux	aquelles	celui	aquell	PRO;MASC;PL	DET;FEM;PL
ceux	aquells	celui	aquell	PRO;MASC;PL	DET;MASC;PL
long	long	long	long	ADJ;MASC;SG	
latitude	latitud	latitude	latitud	N;FEM;SG	
base	base	base	base	N;FEM;SG	
base	base	base	base	N;FEM;SG	
association	association	association	association	N;FEM;SG	
militaire	militars	militaire	militar	ADJ;MASC;SG	ADJ;PL
bronze	bronze	bronze	bronze	N;MASC;SG	
livre	lliura	livre	lliurar	N;MASC;SG	V;IND;SG;3;PRS;FIN
livre	livre	livre	livre	N;MASC;SG	
américaine	american	américain	american	ADJ;FEM;SG	
haut	high	haut	high	ADJ;MASC;SG	N;SG
haut	top	haut	top	ADJ;MASC;SG	
canada	canadà	canada	canadà	N;MASC;SG	ADJ;MASC;SG
valign	valign	valign	valign	PROPN	
suivant	seguint	suivre	seguir	V;PRS;V.PTCP	V;V.MSDR
suivant	següents	suivre	següent	V;PRS;V.PTCP	ADJ;PL
suivant	pròxima	suivre	pròxim	V;PRS;V.PTCP	ADJ;FEM;SG
suivant	següent	suivre	següent	V;PRS;V.PTCP	ADJ;SG
suivant	propera	suivre	proper	V;PRS;V.PTCP	ADJ;FEM;SG
suivant	next	suivre	next	V;PRS;V.PTCP	
beaucoup	moltes	beaucoup	molt	ADV	PRO;FEM;PL
beaucoup	molts	beaucoup	molt	ADV	PRO;MASC;PL
dire	say	dire	say	V;NFIN	PROPN
seul	només	seul	només	ADJ;MASC;SG	ADV
pouvoir	potència	pouvoir	potència	V;NFIN	N;FEM;SG
pouvoir	poder	pouvoir	poder	V;NFIN	
merci	gràcies	merci	gràcies	INTJ	N
tête	head	tête	head	N;FEM;SG	
tête	caps	tête	cap	N;FEM;SG	N;MASC;PL
union	union	union	unió	N;FEM;SG	
premiers	primer	premier	primer	ADJ;MASC;PL	ADJ;MASC;SG
premiers	primera	premier	primer	ADJ;MASC;PL	ADJ;FEM;SG
prend	take	prendre	take	V;IND;SG;3;PRS;FIN	
maire	maire	maire	maire	N;MASC;SG	PROPN
présente	presenta	présent	presentar	ADJ;FEM;SG	V;IND;SG;3;PRS;FIN
présente	presents	présent	present	ADJ;FEM;SG	ADJ;PL
public	públics	public	públic	ADJ;MASC;SG	ADJ;MASC;PL
public	public	public	public	ADJ;MASC;SG	
public	públiques	public	públic	ADJ;MASC;SG	ADJ;FEM;PL
pages	pàgina	page	pàgina	N;FEM;PL	V;IND;SG;3;PRS;FIN
externe	externs	externe	extern	ADJ;MASC;SG	ADJ;MASC;PL
simple	singles	simple	single	ADJ;MASC;SG	N;MASC;PL
simple	senzills	simple	senzill	ADJ;MASC;SG	ADJ;MASC;PL
dernière	últimes	dernier	últim	ADJ;FEM;SG	ADJ;FEM;PL
henri	enric	henri	enric	PROPN	
henri	henry	henri	henry	PROPN	PROPN
henri	henri	henri	henri	PROPN	
chanson	cançons	chanson	cançó	N;FEM;SG	N;FEM;PL
chanson	song	chanson	song	N;FEM;SG	
grâce	gràcia	grâce	gràcia	N;FEM;SG	
grâce	gracia	grâce	gracia	N;FEM;SG	
sortie	sortida	sortir	sortida	V;FEM;SG;PST;V.PTCP	N;FEM;SG
sortie	sortida	sortir	sortida	V;FEM;SG;PST;V.PTCP	N;FEM;SG
sortie	out	sortir	out	V;FEM;SG;PST;V.PTCP	
québec	québec	québec	québec	N;MASC;SG	PROPN
david	david	david	david	PROPN	
loi	act	loi	act	N;FEM;SG	PROPN
côté	côté	côté	côté	N;MASC;SG	PROPN
côté	side	côté	side	N;MASC;SG	
haute	high	haut	high	ADJ;FEM;SG	N;SG
haute	haute	haut	haute	ADJ;FEM;SG	
vue	vista	voir	vista	V;FEM;SG;PST;V.PTCP	N;FEM;SG
vue	visualitza	voir	visualitzar	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
vue	visualització	voir	visualització	V;FEM;SG;PST;V.PTCP	N;FEM;SG
espagne	espagne	espagner	espagne	N;MASC;SG	
espagne	espanya	espagner	espanyar	N;MASC;SG	
nombreuses	moltes	nombreux	molt	ADJ;FEM;PL	PRO;FEM;PL
nombreuses	molts	nombreux	molt	ADJ;FEM;PL	PRO;MASC;PL
recherche	cerca	recherche	cerca	N;FEM;SG	
classement	ranking	classement	ranking	N;MASC;SG	
code	codi	code	codi	N;MASC;SG	
double	duplica	double	duplicar	ADJ;MASC;SG	V;IND;SG;3;PRS;FIN
double	dual	double	dual	ADJ;MASC;SG	
entraîneur	formador	entraîneur	formador	N;MASC;SG	ADJ;MASC;SG
entraîneur	coach	entraîneur	coach	N;MASC;SG	
joseph	josep	joseph	josep	N;MASC;SG	
joseph	joseph	joseph	joseph	N;MASC;SG	
ici	aqui	ici	aqui	ADV	
ici	ací	ici	ací	ADV	
vainqueur	guanyadora	vainqueur	guanyador	N;MASC;SG	ADJ;FEM;SG
réalisé	dirigit	réaliser	dirigit	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
réalisé	dirigida	réaliser	dirigit	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
existe	existeixen	exister	existir	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
six	six	six	six	NUM	PROPN
créé	creades	créer	creat	V;MASC;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
créé	creats	créer	creat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
créé	creat	créer	creat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
devant	front	devant	front	ADP	
devant	devant	devant	devant	ADP	
écrit	escrit	écrire	escrit	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
petite	petites	petit	petit	ADJ;FEM;SG	ADJ;FEM;PL
petite	petite	petit	petite	ADJ;FEM;SG	
entreprise	negoci	entreprendre	negoci	V;FEM;SG;PST;V.PTCP	N;MASC;SG
entreprise	negocis	entreprendre	negoci	V;FEM;SG;PST;V.PTCP	N;MASC;PL
entreprise	companyia	entreprendre	companyia	V;FEM;SG;PST;V.PTCP	N;FEM;SG
entreprise	empresa	entreprendre	empresa	V;FEM;SG;PST;V.PTCP	N;FEM;SG
entreprise	enterprise	entreprendre	enterprise	V;FEM;SG;PST;V.PTCP	
retour	retornar	retour	retornar	N;MASC;SG	V;NFIN
principale	main	principal	main	ADJ;FEM;SG	
principale	principals	principal	principal	ADJ;FEM;SG	ADJ;PL
sainte	sainte	saint	sainte	ADJ;FEM;SG	
sainte	saint	saint	saint	ADJ;FEM;SG	
connu	conegut	connaître	conegut	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
technique	tècnics	technique	tècnic	ADJ;MASC;SG	N;MASC;PL
etc	etc	etc	etcètera		
objet	subjecte	objet	subjecte	N;MASC;SG	ADJ;MASC;SG
objet	subjectes	objet	subjecte	N;MASC;SG	
mon	mon	son	mon	DET;MASC;SG	
philippe	philippe	philippe	philippe	N;MASC;SG	
philippe	felip	philippe	felip	N;MASC;SG	
question	pregunta	question	preguntar	N;FEM;SG	V;IND;SG;3;PRS;FIN
van	van	van	anar	PROPN	V;IND;PL;3;PRS;FIN
van	furgoneta	van	furgoneta	PROPN	N;FEM;SG
sources	font	source	font	N;FEM;PL	N;FEM;SG
parc	park	parc	park	N;MASC;SG	
moyenne	mitjà	moyenne	mitjà	N;FEM;SG	ADJ;MASC;SG
rivière	rivière	rivière	rivière	N;FEM;SG	
martin	martín	martin	martín	PROPN	
martin	martí	martin	martí	PROPN	
martin	martin	martin	martar	PROPN	PROPN
député	mep	député	mep	N;MASC;SG	
député	adjunt	député	adjunt	N;MASC;SG	
claude	claude	claude	claude	N;MASC;SG	
san	san	san	saver	PROPN	
bon	bones	bon	bo	ADJ;MASC;SG	ADJ;FEM;PL
voix	votacions	voix	votació	N;FEM;SG	N;FEM;PL
voix	vots	voix	vot	N;FEM;SG	N;MASC;PL
voix	veus	voix	veu	N;FEM;SG	
voix	veu	voix	veure	N;FEM;SG	V;IND;SG;3;PRS;FIN
rouge	red	rouge	red	ADJ;MASC;SG	
rouge	rouge	rouge	rouge	ADJ;MASC;SG	
pont	bridge	pont	bridge	N;MASC;SG	
pont	coberta	pont	cobert	N;MASC;SG	ADJ;FEM;SG;V.PTCP
libre	lliures	libre	lliure	ADJ;MASC;SG	ADJ;PL
libre	libre	libre	libre	ADJ;MASC;SG	
air	air	air	air	N;MASC;SG	PROPN
sein	mamella	sein	mamella	N;MASC;SG	V;IND;SG;3;PRS;FIN
milieu	mitjà	milieu	mitjà	N;MASC;SG	ADJ;MASC;SG
georges	george	george	george	N;MASC;SG	PROPN
georges	georges	george	georga	N;MASC;SG	
blanc	white	blanc	white	N;MASC;SG	PROPN
