par	glede	par	glede		ADV
zemes	zemlje	zeme	zemlja	N;NOM;FEM;PL	N;NOM;FEM;SG
zemes	zemljo	zeme	zemlja	N;NOM;FEM;PL	N;ACC;FEM;SG
zemes	dežela	zeme	dežela	N;NOM;FEM;PL	N;NOM;FEM;SG
zemes	kopno	zeme	kopno	N;NOM;FEM;PL	N;NOM;NEUT;SG
zemes	zemljišče	zeme	zemljišče	N;NOM;FEM;PL	N;NOM;NEUT;SG
zemes	zemljo	zeme	zemlja	N;NOM;FEM;PL	N;ACC;FEM;SG
zemes	tleh	zeme	tla	N;NOM;FEM;PL	N;ESS;NEUT;PL
šaha	šaha	šahs	šah	N;NOM;MASC;SG	N;GEN;MASC;SG
kura	čigava	kura	čigava	PRO;NOM;FEM;SG	ADJ;NOM;FEM;SG
kura	čigavo	kura	čigav	PRO;NOM;FEM;SG	ADV
kura	katero	kura	kateri	PRO;NOM;FEM;SG	DET;ACC;NEUT;SG
kura	kateri	kura	kateri	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
kura	katere	kura	kateri	PRO;NOM;FEM;SG	DET;ACC;FEM;PL
kura	katerih	kura	kateri	PRO;NOM;FEM;SG	DET;GEN;MASC;PL
kura	ki	kura	ki	PRO;NOM;FEM;SG	CONJ
kura	katerega	kura	kateri	PRO;NOM;FEM;SG	DET;GEN;MASC;SG
pirmā	prvo	pirmā	prvi	ADJ;NOM;DEF;FEM;SG	ADJ;ACC;NEUT;SG
pirmā	prvi	pirmā	prvi	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;PL
pirmā	najprej	pirmā	najprej	ADJ;NOM;DEF;FEM;SG	ADV;RL
psrs	zssr	psrs	zssra	PROPN	PROPN;NOM;MASC;SG
kurš	ki	kurš	ki	PRO;NOM;MASC;SG	CONJ
trīs	three	trīs	three	NUM;NOM;MASC;PL	
viņu	njihovi	viņš	njihov	PRO;ACC;MASC;SG;3	DET;NOM;MASC;PL;3
viņu	njihov	viņš	njihov	PRO;ACC;MASC;SG;3	DET;NOM;MASC;SG;3
viņu	njihovo	viņš	njihov	PRO;ACC;MASC;SG;3	DET;NOM;NEUT;SG;3
viņu	njuna	viņš	njun	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG;3
viņu	njihova	viņš	njihov	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG;3
viņu	njihove	viņš	njihov	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG;3
viņu	njega	viņš	on	PRO;ACC;MASC;SG;3	PRO;GEN;MASC;SG;3
parasti	splošno	parasti	splošen	ADV	ADJ;NOM;NEUT;SG
parasti	običajna	parasti	običajen	ADV	ADJ;NOM;FEM;SG
pat	pat	pat	pat	PART	PROPN;NOM;MASC;SG
jūras	morskih	jūra	morski	N;NOM;FEM;SG	ADJ;GEN;MASC;PL
jūras	marine	jūra	marin	N;NOM;FEM;SG	N;NOM;FEM;PL
jūras	morsko	jūra	morski	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
pirmais	prvo	pirmais	prvi	ADJ;NOM;DEF;MASC;SG	ADJ;ACC;NEUT;SG
pirmais	prvi	pirmais	prvi	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;PL
pirmais	najprej	pirmais	najprej	ADJ;NOM;DEF;MASC;SG	ADV;RL
spēles	igrah	spēle	igra	N;NOM;FEM;PL	N;ESS;FEM;PL
spēles	iger	spēle	igra	N;NOM;FEM;PL	N;GEN;FEM;PL
team	ekipno	tu	ekipno		ADJ;NOM;NEUT;SG
team	ekipa	tu	ekipa		N;NOM;FEM;SG
team	team	tu	teama		N;NOM;MASC;SG
sezonas	sezonski	sezona	sezonski	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
sezonas	sezonsko	sezona	sezonski	N;NOM;FEM;PL	ADV
sezonas	sezono	sezona	sezona	N;NOM;FEM;PL	N;ACC;FEM;SG
sezonas	sezona	sezona	sezona	N;NOM;FEM;PL	N;NOM;FEM;SG
sezonas	letne	sezona	leten	N;NOM;FEM;PL	ADJ;NOM;FEM;PL
sezonas	sezon	sezona	sezona	N;NOM;FEM;PL	N;GEN;FEM;PL
visu	vse	viss	ves	PRO;ACC;MASC;SG	DET;NOM;NEUT;SG
visu	vsi	viss	ves	PRO;ACC;MASC;SG	DET;NOM;MASC;PL
visu	vsem	viss	ves	PRO;ACC;MASC;SG	DET;DAT;MASC;PL
visu	vse	viss	ves	PRO;ACC;MASC;SG	DET;NOM;NEUT;SG
visu	vseh	viss	ves	PRO;ACC;MASC;SG	DET;GEN;MASC;PL
grupas	skupino	grupa	skupina	N;NOM;FEM;PL	N;ACC;FEM;SG
grupas	skupinsko	grupa	skupinski	N;NOM;FEM;PL	ADJ;NOM;NEUT;SG
grupas	skupinski	grupa	skupinski	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
grupas	skupinska	grupa	skupinski	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
grupas	skupina	grupa	skupina	N;NOM;FEM;PL	N;NOM;FEM;SG
grupas	skupin	grupa	skupina	N;NOM;FEM;PL	N;GEN;FEM;PL
grupas	skupinami	grupa	skupina	N;NOM;FEM;PL	N;DAT;FEM;PL
grupas	skupini	grupa	skupina	N;NOM;FEM;PL	N;NOM;FEM;DU
vienu	enga	viens	en	NUM;ACC;MASC;SG	PRO;ACC;MASC;SG
vienu	ena	viens	en	NUM;ACC;MASC;SG	NUM;NOM;FEM;SG
vienu	en	viens	en	NUM;ACC;MASC;SG	NUM;NOM;MASC;SG
vienu	eden	viens	eden	NUM;ACC;MASC;SG	NUM;NOM;MASC;SG
vienu	eno	viens	en	NUM;ACC;MASC;SG	NUM;NOM;NEUT;SG
rīga	riga	rīga	riga	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
ieguva	pridobljena	iegūt	pridobljen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
ieguva	pridobljen	iegūt	pridobljen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
ieguva	pridobljene	iegūt	pridobljen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;FEM;PL;V.PTCP
ieguva	pridobljeno	iegūt	pridobljen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
laika	vreme	laiks	vreme	N;GEN;MASC;SG	N;NOM;NEUT;SG
laika	čas	laiks	čas	N;GEN;MASC;SG	N;NOM;MASC;SG
lielākā	največje	liela	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;RL;NEUT;SG
centra	središče	centrs	središče	N;GEN;MASC;SG	N;NOM;NEUT;SG
centra	center	centrs	center	N;GEN;MASC;SG	N;NOM;MASC;SG
bijis	bil	būt	biti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
bijis	bila	būt	biti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;V.PTCP
padomju	sovjetski	padome	sovjetski	N;GEN;FEM;PL	ADJ;NOM;MASC;SG
padomju	sovjetska	padome	sovjetski	N;GEN;FEM;PL	ADJ;NOM;FEM;SG
padomju	sovjetske	padome	sovjetski	N;GEN;FEM;PL	ADJ;NOM;FEM;PL
padomju	sovjetsko	padome	sovjetski	N;GEN;FEM;PL	ADJ;NOM;NEUT;SG
padomju	deske	padome	deska	N;GEN;FEM;PL	N;NOM;FEM;PL
padomju	table	padome	tabel	N;GEN;FEM;PL	N;NOM;FEM;PL
krievu	ruska	krievs	ruski	N;ACC;MASC;SG	ADJ;NOM;FEM;SG
krievu	rus	krievs	rus	N;ACC;MASC;SG	N;NOM;MASC;SG
krievu	ruski	krievs	ruski	N;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
krievu	rusko	krievs	ruski	N;ACC;MASC;SG	ADJ;NOM;NEUT;SG
krievu	russo	krievs	russa	N;ACC;MASC;SG	ADV
score	zadetek	score	zadetek		N;NOM;MASC;SG
score	rezultat	score	rezultat		N;NOM;MASC;SG
angļu	angleško	anglis	angleško	N;GEN;MASC;PL	ADV
angļu	angleščina	anglis	angleščina	N;GEN;MASC;PL	N;NOM;FEM;SG
angļu	angleži	anglis	anglež	N;GEN;MASC;PL	N;NOM;MASC;PL
angļu	angleški	anglis	angleški	N;GEN;MASC;PL	ADJ;NOM;MASC;SG
vācijas	nemško	vācija	nemški	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
vācijas	nemec	vācija	nemec	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
vācijas	nemška	vācija	nemški	PROPN;NOM;FEM;SG	ADJ;NOM;FEM;SG
vācijas	nemščina	vācija	nemščina	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
vācijas	nemški	vācija	nemški	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
vācijas	nemčija	vācija	nemčija	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
tautas	priljubljene	tauta	priljubljen	N;NOM;FEM;PL	ADJ;NOM;FEM;PL
tautas	priljubljena	tauta	priljubljen	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
tautas	priljubljeno	tauta	priljubljen	N;NOM;FEM;PL	ADV
tautas	priljubljeni	tauta	priljubljen	N;NOM;FEM;PL	ADJ;NOM;MASC;PL
tautas	priljubljen	tauta	priljubljen	N;NOM;FEM;PL	ADJ;NOM;INDF;MASC;SG
tautas	folk	tauta	folk	N;NOM;FEM;PL	N;NOM;MASC;SG
tautas	narode	tauta	narode	N;NOM;FEM;PL	N;ACC;MASC;PL
daudz	veliko	daudz	veliko	ADV	DET
daudz	številni	daudz	številen	ADV	ADJ;NOM;MASC;PL
daudz	mnogi	daudz	mnog	ADV	DET;NOM;MASC;PL
daudz	veliko	daudz	veliko	ADV	DET
daudz	much	daudz	much	ADV	N;NOM;MASC;SG
daudz	veliko	daudz	veliko	ADV	DET
divas	dve	divas	dva	NUM;NOM;FEM;PL	NUM;NOM;FEM;DU
divas	dva	divas	dva	NUM;NOM;FEM;PL	NUM;NOM;MASC;DU
komandas	ukaze	komanda	ukaz	N;NOM;FEM;PL	N;ACC;MASC;PL
komandas	ekip	komanda	ekipa	N;NOM;FEM;PL	N;GEN;FEM;PL
jānis	jānis	jānis	jānis	PROPN;NOM;MASC;SG	
pils	palačo	pils	palača	N;NOM;FEM;SG	N;ACC;FEM;SG
vietas	spot	vieta	spot	N;NOM;FEM;PL	N;NOM;MASC;SG
vietas	lokacij	vieta	lokacija	N;NOM;FEM;PL	N;GEN;FEM;PL
latns	latns	latns	latns	N;NOM;MASC;SG	
longew	longew	longey	longew		N;NOM;MASC;SG
valodas	jezike	valoda	jezik	N;NOM;FEM;PL	N;ACC;MASC;PL
reizes	krat	reize	krat	N;NOM;FEM;PL	ADV
romas	rimu	roma	rim	N;NOM;FEM;PL	PROPN;DAT;MASC;SG
romas	rim	roma	rim	N;NOM;FEM;PL	PROPN;NOM;MASC;SG
romas	rima	roma	rima	N;NOM;FEM;PL	N;GEN;MASC;SG
sezonā	sezono	sezona	sezona	N;ESS;FEM;SG	N;ACC;FEM;SG
sezonā	sezona	sezona	sezona	N;ESS;FEM;SG	N;NOM;FEM;SG
novads	krai	novads	krai	N;NOM;MASC;SG	
sākumā	sprva	sākums	sprva	N;ESS;MASC;SG	ADV
sākumā	prvotno	sākums	prvotno	N;ESS;MASC;SG	ADV
grupa	skupino	grupa	skupina	N;NOM;FEM;SG	N;ACC;FEM;SG
grupa	skupinsko	grupa	skupinski	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
grupa	skupinski	grupa	skupinski	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
grupa	skupinska	grupa	skupinski	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
šis	to	šis	ta	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
šis	ta	šis	ta	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
šis	tole	šis	tale	PRO;NOM;MASC;SG	
šis	tega	šis	ta	PRO;NOM;MASC;SG	DET;GEN;NEUT;SG
valodā	verodostojna	valoda	verodostojen	N;ESS;FEM;SG	ADJ;NOM;FEM;SG
valodā	pristen	valoda	pristen	N;ESS;FEM;SG	ADJ;NOM;INDF;MASC;SG
valodā	pristno	valoda	pristen	N;ESS;FEM;SG	ADV
valodā	verodostojno	valoda	verodostojen	N;ESS;FEM;SG	ADJ;NOM;NEUT;SG
ūdens	vode	ūdens	voda	N;NOM;MASC;SG	N;GEN;FEM;SG
ūdens	vodo	ūdens	voda	N;NOM;MASC;SG	N;ACC;FEM;SG
bieži	pogosti	bieži	pogost	ADV	ADJ;NOM;MASC;PL
šīs	teh	šī	ta	PRO;NOM;FEM;PL	DET;GEN;MASC;PL
šīs	te	šī	ta	PRO;NOM;FEM;PL	DET;NOM;FEM;PL
šīs	tele	šī	tel	PRO;NOM;FEM;PL	
ģints	rodu	ģints	rod	N;NOM;FEM;SG	N;GEN;MASC;SG
tiesības	privilegije	tiesības	privilegija	N;NOM;FEM	N;NOM;FEM;PL
tiesības	privilegiji	tiesības	privilegija	N;NOM;FEM	N;NOM;MASC;PL
tiesības	desno	tiesības	desno	N;NOM;FEM	ADV
tiesības	right	tiesības	righta	N;NOM;FEM	
tiesības	pravica	tiesības	pravica	N;NOM;FEM	N;NOM;FEM;SG
tiesības	prav	tiesības	prav	N;NOM;FEM	PART
tiesības	pravice	tiesības	pravica	N;NOM;FEM	N;NOM;FEM;PL
valoda	jezikovno	valoda	jezikoven	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
valoda	jezikovna	valoda	jezikoven	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
polijas	poljsko	polija	poljski	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
polijas	poljskega	polija	poljski	PROPN;NOM;FEM;SG	ADJ;GEN;NEUT;SG
polijas	poljski	polija	poljski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
polijas	poljsko	polija	poljski	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
polijas	poljski	polija	poljski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
polijas	poljska	polija	poljski	PROPN;NOM;FEM;SG	ADJ;NOM;FEM;SG
fon	von	fon	von		
janvārī	januar	janvāris	januar	N;ESS;MASC;SG	N;NOM;MASC;SG
janvārī	januarja	janvāris	januar	N;ESS;MASC;SG	N;GEN;MASC;SG
sugas	vrsta	suga	vrsta	N;NOM;FEM;PL	N;NOM;FEM;SG
pasaulē	svetovna	pasaule	svetoven	N;ESS;FEM;SG	ADJ;NOM;FEM;SG
pasaulē	svetovno	pasaule	svetoven	N;ESS;FEM;SG	ADJ;NOM;NEUT;SG
pasaulē	svet	pasaule	svet	N;ESS;FEM;SG	N;NOM;MASC;SG
pasaulē	svetovna	pasaule	svetoven	N;ESS;FEM;SG	ADJ;NOM;FEM;SG
pasaulē	svetovno	pasaule	svetoven	N;ESS;FEM;SG	ADJ;NOM;NEUT;SG
pasaulē	world	pasaule	world	N;ESS;FEM;SG	
mūsdienās	dandanes	mūsdienas	dandanes	N;ESS;FEM	ADV
jūlijā	julij	jūlijs	julij	N;ESS;MASC;SG	N;NOM;MASC;SG
jūlijā	julija	jūlijs	julij	N;ESS;MASC;SG	N;GEN;MASC;SG
ciems	vasi	ciems	vas	N;NOM;MASC;SG	N;GEN;FEM;SG
citas	drugi	cita	drug	PRO;NOM;FEM;PL	ADJ;NOM;MASC;SG
citas	drugo	cita	drug	PRO;NOM;FEM;PL	ADJ;NOM;NEUT;SG
citas	druga	cita	drug	PRO;NOM;FEM;PL	ADJ;NOM;FEM;SG
citas	druge	cita	drug	PRO;NOM;FEM;PL	ADJ;NOM;FEM;PL
citas	drugi	cita	drug	PRO;NOM;FEM;PL	ADJ;NOM;MASC;SG
citas	drugih	cita	drug	PRO;NOM;FEM;PL	ADJ;GEN;MASC;PL
citas	druge	cita	drug	PRO;NOM;FEM;PL	ADJ;NOM;FEM;PL
ziemeļu	severna	ziemelis	severen	N;GEN;MASC;PL	ADJ;NOM;FEM;SG
ziemeļu	severni	ziemelis	severen	N;GEN;MASC;PL	ADJ;NOM;DEF;MASC;SG
ziemeļu	severno	ziemelis	severen	N;GEN;MASC;PL	ADV
ziemeļu	sever	ziemelis	sever	N;GEN;MASC;PL	N;NOM;MASC;SG
ziemeļu	nordijskih	ziemelis	nordijski	N;GEN;MASC;PL	ADJ;GEN;MASC;PL
ziemeļu	severna	ziemelis	severen	N;GEN;MASC;PL	ADJ;NOM;FEM;SG
ziemeļu	severno	ziemelis	severen	N;GEN;MASC;PL	ADV
ziemeļu	severni	ziemelis	severen	N;GEN;MASC;PL	ADJ;NOM;DEF;MASC;SG
ziemeļu	severne	ziemelis	severen	N;GEN;MASC;PL	ADJ;NOM;FEM;PL
suga	vrste	suga	vrsta	N;NOM;FEM;SG	N;NOM;FEM;PL
spēlē	igraj	spēlēt	igraj	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IMP;SG;2;FIN
spēlē	predvajanje	spēlēt	predvajanje	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
spēlē	igranje	spēlēt	igranje	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
mūzikas	glasbeni	mūzika	glasben	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
mūzikas	muzikal	mūzika	muzikal	N;NOM;FEM;PL	N;NOM;MASC;SG
