van	from	van	from	ADP	
wel	cóż	wel	cóż	ADV	PRO;ACC;NEUT;SG
jaar	lat	jaar	rok	N;NEUT;SG	N;GEN;MASC;PL
jaar	lata	jaar	rok	N;NEUT;SG	N;NOM;MASC;PL
wat	jakie	wat	jaki	PRO;3	DET;ACC;MASC;SG
wat	co	wat	co	PRO;3	
wat	wat	wat	wat	PRO;3	
deel	częściowo	deel	częściowo	N;NEUT;SG	ADV
deel	udostępnić	deel	udostępnić	N;NEUT;SG	V;PFV;NFIN;ACT
deel	udział	deel	udział	N;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
overleg	konsultacje	overleg	konsultacja	N;NEUT;SG	N;NOM;FEM;PL
overleg	konsultacje	overleg	konsultacja	N;NEUT;SG	N;NOM;FEM;PL
tussen	pomiędzy	tussen	pomiędzy	ADP	
waar	prawda	waar	prawda	ADV	N;NOM;FEM;SG
waar	prawdziwe	waar	prawdziwy	ADV	ADJ;NOM;NEUT;SG
waar	true	waar	true	ADV	
veel	wielu	veel	wiele	PRO	DET;ACC;MASC;PL
veel	wiele	veel	wiele	PRO	DET;ACC;MASC;PL
veel	much	veel	much	PRO	
veel	wiele	veel	wiele	PRO	DET;ACC;MASC;PL
veel	dużo	veel	dużo	PRO	ADV
hun	ich	hun	on	PRO;ACC;3	PRO;GEN;MASC;PL;3
hun	hun	hun	hun	PRO;ACC;3	PROPN;NOM;MASC;SG
staat	stan	staan	stan	V;SG;PRS;FIN	N;NOM;MASC;SG
staat	state	staan	staty	V;SG;PRS;FIN	
staat	państwo	staan	państwo	V;SG;PRS;FIN	N;NOM;NEUT;SG
tegen	przeciw	tegen	przeciw	ADP	
waren	były	zijn	być	V;PL;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
waren	byli	zijn	być	V;PL;PST;FIN	V;IPFV;MASC;IND;PL;PST;FIN;ACT
kunnen	can	kunnen	can	V;PL;PRS;FIN	
geslacht	płci	geslacht	płzcieć	N;NEUT;SG	
geslacht	płci	geslacht	płzcieć	N;NEUT;SG	
geslacht	sex	geslacht	sex	N;NEUT;SG	
zoals	jak	zoals	jak	CONJ	ADV
zoals	like	zoals	lik	CONJ	
grote	big	groot	big	ADJ	
nieuwe	nowości	nieuw	nowość	ADJ	N;ACC;FEM;PL
nieuwe	nowość	nieuw	nowość	ADJ	N;NOM;FEM;SG
nieuwe	nowa	nieuw	nowy	ADJ	
later	pozniej	laat	pozno	ADJ;CMPR	V;PFV;IND;SG;FIN;ACT
later	później	laat	późno	ADJ;CMPR	ADV;CMPR
via	via	via	via	ADP	
gebied	zone	gebied	zon	N;NEUT;SG	
gebied	strefy	gebied	strefa	N;NEUT;SG	N;ACC;FEM;PL
nederlandse	dutch	nederlands	dutch	ADJ	PROPN;NOM;MASC;SG
mei	majowe	mei	majowy	PROPN;MASC+FEM;SG	ADJ;NOM;NEUT;SG
mei	maja	mei	mieć	PROPN;MASC+FEM;SG	
mei	może	mei	móc	PROPN;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
mei	majowy	mei	majowy	PROPN;MASC+FEM;SG	ADJ;NOM;MASC;SG
mei	maj	mei	maj	PROPN;MASC+FEM;SG	
mei	mei	mei	mej	PROPN;MASC+FEM;SG	
echter	jakkolwiek	echter	jakkolwiek	ADV	
echter	jednak	echter	jednak	ADV	PART
echter	jednakże	echter	jednakże	ADV	
alle	wszystko	al	wszystko	DET	PRO;NOM;NEUT;SG
alle	all	al	all	DET	
alle	wszyscy	al	wszyscy	DET	PRO;NOM;MASC;PL
stad	town	stad	town	N;MASC+FEM;SG	
stad	city	stad	city	N;MASC+FEM;SG	
lijst	listy	lijst	list	N;MASC+FEM;SG	
omdat	ponieważ	omdat	ponieważ	CONJ	PART
links	linków	links	link	ADJ	N;GEN;MASC;PL
links	łącza	links	łączyć	ADJ	
links	linki	links	linka	ADJ	N;NOM;FEM;PL
links	odnośniki	links	odnośnik	ADJ	N;ACC;MASC;PL
links	lewo	links	lewo	ADJ	
nederland	niderlandy	nederland	niderland	N;NEUT;SG	
jan	jan	jan	jan	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
weer	pogoda	weer	pogoda	ADV	N;NOM;FEM;SG
weer	pogody	weer	pogoda	ADV	N;GEN;FEM;SG
vanaf	from	vanaf	from	ADP	
jpg	jpg	jpg	jeść	N;MASC+FEM;SG	
link	łącze	link	łączyć	N;MASC+FEM;SG	
link	link	link	link	N;MASC+FEM;SG	V;PFV;IND;SG;FIN;ACT
link	ogniwo	link	ogniwo	N;MASC+FEM;SG	
http	http	ht	http	N;MASC+FEM;SG	
gebruikt	stosowane	gebruiken	stosować	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gebruikt	wykorzystane	gebruiken	wykorzystać	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gebruikt	użyte	gebruiken	użyć	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gebruikt	używana	gebruiken	używać	V;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
gebruikt	używany	gebruiken	używać	V;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
gebruikt	używane	gebruiken	używać	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
der	der	de	der	DET;DEF	
km²	km²	km²	kąć	N;MASC+FEM;SG	
alleen	sama	alleen	sam	ADV	ADJ;NOM;FEM;SG
alleen	sam	alleen	sam	ADV	ADJ;NOM;MASC;SG
alleen	tylko	alleen	tylko	ADV	PART
nederlands	dutch	nederland	dutch	ADJ	PROPN;NOM;MASC;SG
vlinder	motyle	vlinder	motyl	N;MASC+FEM;SG	N;NOM;MASC;PL
vlinder	motyla	vlinder	motyl	N;MASC+FEM;SG	
per	per	per	per	ADP	
bekend	znani	bekend	znany	ADJ	N;NOM;MASC;PL
bekend	znany	bekend	znany	ADJ	V;IPFV;MASC;IND;SG;PST;FIN;ACT
bekend	znana	bekend	znany	ADJ	V;IPFV;IND;SG;PRS;FIN;ACT
bekend	znajome	bekend	znajomy	ADJ	
bekend	znajomy	bekend	znajomy	ADJ	N;NOM;MASC;SG
club	club	club	club	N;MASC+FEM;SG	
laatste	ostatnio	laat	ostatnio	ADJ;RL	ADV
laatste	ostatnie	laat	ostatni	ADJ;RL	ADJ;NOM;NEUT;SG
laatste	last	laat	last	ADJ;RL	
laatste	ostatni	laat	ostatni	ADJ;RL	ADJ;NOM;MASC;SG
laatste	ostatnia	laat	ostatni	ADJ;RL	
laatste	najnowsze	laat	nowy	ADJ;RL	ADJ;NOM;CMPR;MASC;SG
laatste	ostatnie	laat	ostatni	ADJ;RL	ADJ;NOM;NEUT;SG
laatste	najnowszy	laat	nowy	ADJ;RL	ADJ;NOM;CMPR;MASC;SG
één	jeden	één	jeden	NUM	ADJ;NOM;MASC;SG
één	jedna	één	jeden	NUM	ADJ;NOM;FEM;SG
moet	powinien	moeten	powinien	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;PRS;FIN;ACT
moet	powinny	moeten	powinien	V;SG;PRS;FIN	V;IPFV;MASC;IND;PL;PRS;FIN;ACT
moet	powinno	moeten	powinien	V;SG;PRS;FIN	V;IPFV;NEUT;IND;SG;PRS;FIN;ACT
moet	powinna	moeten	powinien	V;SG;PRS;FIN	V;IPFV;FEM;IND;SG;PRS;FIN;ACT
moet	musi	moeten	musieć	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
moet	muszą	moeten	musieć	V;SG;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
maken	robienie	maken	robić	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
maken	zrobienie	maken	zrobienie	V;NFIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
maken	make	maken	maka	V;NFIN	
amerikaanse	american	amerikaans	american	ADJ	
amerikaanse	amerykanin	amerikaans	amerykanin	ADJ	N;NOM;MASC;SG
enkele	niektóre	enkele	niektóry	PRO	DET;NOM;MASC;SG
enkele	niektórzy	enkele	niektóry	PRO	DET;NOM;MASC;PL
enkele	trochę	enkele	trochę	PRO	ADV
april	kwietnia	april	kwiecia	PROPN;MASC+FEM;SG	
april	april	april	april	PROPN;MASC+FEM;SG	
april	kwiecień	april	kwiecienie	PROPN;MASC+FEM;SG	N;NOM;NEUT;SG
verschillende	kilkanaście	verschillend	kilkanaście	ADJ	DET;ACC;MASC;PL
verschillende	kilka	verschillend	kilka	ADJ	DET;ACC;MASC;PL
verschillende	kilku	verschillend	kilka	ADJ	DET;ACC;MASC;PL
verschillende	rozmaite	verschillend	rozmaity	ADJ	
volgende	następnym	volgen	następny	V;V.PTCP	ADJ;INS;MASC;SG
volgende	następny	volgen	następny	V;V.PTCP	ADJ;NOM;MASC;SG
volgende	następna	volgen	następny	V;V.PTCP	
volgende	następne	volgen	następny	V;V.PTCP	ADJ;NOM;NEUT;SG
weg	dala	weg	dala	ADV	
weg	drogowy	weg	drogowy	ADV	ADJ;NOM;MASC;SG
weg	drogi	weg	droga	ADV	
weg	drodze	weg	droga	ADV	N;DAT;FEM;SG
weg	droga	weg	droga	ADV	N;NOM;FEM;SG
weg	road	weg	road	ADV	
insect	owadów	insect	owad	N;NEUT;SG	N;GEN;MASC;PL
insect	owady	insect	owad	N;NEUT;SG	N;NOM;MASC;PL
insect	bug	insect	bug	N;NEUT;SG	
film	filmy	film	film	N;MASC+FEM;SG	N;NOM;MASC;PL
zelf	siebie	zelf	siebie	ADV	PRO;GEN;REFL
zelf	siebie	zelf	siebie	ADV	PRO;GEN;REFL
franse	french	frans	fren	ADJ	
terug	back	terug	back	ADV	
terug	wstecz	terug	wstecz	ADV	
terug	powrót	terug	powrót	ADV	
rond	okolice	rond	okolica	ADP	N;ACC;FEM;SG
rond	dookoła	rond	dookoła	ADP	
rond	okrągła	rond	okrągnąć	ADP	ADJ;NOM;FEM;SG
rond	okrągły	rond	okrągnąć	ADP	V;PFV;MASC;IND;SG;PST;FIN;ACT
rond	okrągł	rond	okrągnąć	ADP	V;PFV;MASC;IND;SG;PST;FIN;ACT
rond	runda	rond	runda	ADP	N;NOM;FEM;SG
heb	got	hebben	gotować	V;SG;PRS;FIN	
heb	mam	hebben	mieć	V;SG;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
heb	posiadać	hebben	posiadać	V;SG;PRS;FIN	V;IPFV;NFIN;ACT
heb	mają	hebben	mieć	V;SG;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
heb	mieć	hebben	mieć	V;SG;PRS;FIN	V;IPFV;NFIN;ACT
wikipedia	wikipedia	wikipedia	wikipediać	N;MASC+FEM;SG	
land	kraje	land	kraj	N;NEUT;SG	N;NOM;MASC;PL
land	land	land	land	N;NEUT;SG	
land	grunty	land	grunt	N;NEUT;SG	N;NOM;MASC;PL
kreeg	got	krijgen	gotować	V;SG;PST;FIN	
kreeg	mam	krijgen	mieć	V;SG;PST;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
werk	pracuj	werk	pracować	N;NEUT;SG	V;IPFV;IMP;SG;2;FIN;ACT
werk	prace	werk	praca	N;NEUT;SG	N;NOM;FEM;PL
werk	roboty	werk	robota	N;NEUT;SG	N;ACC;FEM;PL
juni	juni	juni	junić	PROPN;MASC+FEM;SG	
juni	czerwca	juni	czerwiec	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
juni	june	juni	juny	PROPN;MASC+FEM;SG	
juni	czerwiec	juni	czerwiec	PROPN;MASC+FEM;SG	
goed	dobre	goed	dobry	ADJ	
goed	dobrze	goed	dobrze	ADJ	ADV
duitse	niemcy	duits	niemiec	ADJ	PROPN;NOM;MASC;PL
mensen	people	mens	peopło	N;PL	
vaak	często	vaak	często	ADJ	ADV
vaak	częste	vaak	częsty	ADJ	
vaak	często	vaak	często	ADJ	ADV
vaak	czesto	vaak	czesto	ADJ	
vaak	często	vaak	często	ADJ	ADV
januari	styczeń	januari	styczenie	PROPN;MASC+FEM;SG	
januari	stycznia	januari	styczeń	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
januari	styczniu	januari	styczeń	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
groot	big	groot	big	ADJ	
groot	świetnie	groot	świetnie	ADJ	ADV
groot	super	groot	super	ADJ	
groot	wspaniale	groot	wspaniale	ADJ	
groot	groot	groot	groot	ADJ	PROPN;NOM;MASC;SG
vooral	zwłaszcza	vooral	zwłaszcza	ADV	PART
vooral	przeważnie	vooral	przeważnie	ADV	
vooral	głównie	vooral	głównie	ADV	PART
marine	navy	marine	navy	N;MASC+FEM;SG	
kerk	church	kerk	chury	N;MASC+FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
regio	regiony	regio	regić	N;MASC+FEM;SG	N;NOM;MASC;PL
genoemd	wspomniana	noemen	wspomnieć	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
genoemd	wspomniany	noemen	wspomnieć	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
genoemd	nazwany	noemen	nazwać	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
genoemd	nazwane	noemen	nazwać	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
genoemd	zwane	noemen	zwać	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
genoemd	zwana	noemen	zwać	V;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
genoemd	nazywany	noemen	nazywać	V;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
september	wrzesień	september	wrzesień	PROPN;MASC+FEM;SG	
september	września	september	wrzesień	PROPN;MASC+FEM;SG	
ongeveer	około	ongeveer	około	ADV	PART
php	php	php	popić	N;MASC+FEM;SG	
juli	lipca	juli	lipiec	PROPN;MASC+FEM;SG	
juli	lipiec	juli	lipiec	PROPN;MASC+FEM;SG	
juli	juli	juli	julić	PROPN;MASC+FEM;SG	
speelde	zagrali	spelen	zagrać	V;SG;PST;FIN	V;PFV;MASC;IND;PL;PST;FIN;ACT
leven	zycie	leven	zyt	N;NEUT;SG	V;IPFV;IND;SG;1;FIN;ACT
leven	life	leven	lifa	N;NEUT;SG	
leven	live	leven	liv	N;NEUT;SG	
leven	żywo	leven	żywo	N;NEUT;SG	
leven	żyj	leven	żyć	N;NEUT;SG	V;IPFV;IMP;SG;2;FIN;ACT
oktober	październik	oktober	październik	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
oktober	października	oktober	październik	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
binnen	kryty	binnen	kryć	ADP	N;ACC;MASC;SG
binnen	wewnątrz	binnen	wewnątrz	ADP	
augustus	sierpnia	augustus	sierpień	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
augustus	augusta	augustus	augusta	PROPN;MASC+FEM;SG	
augustus	august	augustus	august	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
augustus	sierpień	augustus	sierpienie	PROPN;MASC+FEM;SG	
augustus	augustus	augustus	augustus	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
maart	marzec	maart	marzec	PROPN;MASC+FEM;SG	
maart	marca	maart	marza	PROPN;MASC+FEM;SG	
maart	marsz	maart	marsz	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
zal	will	zullen	will	V;SG;PRS;FIN	V;PFV;IND;SG;2;PRS;FIN;ACT
zal	willa	zullen	willa	V;SG;PRS;FIN	N;NOM;FEM;SG
zal	będzie	zullen	być	V;SG;PRS;FIN	V;IPFV;IND;SG;3;FUT;FIN
meter	metr	meter	metr	N;MASC+FEM;SG	
meter	metrów	meter	metr	N;MASC+FEM;SG	N;GEN;MASC;PL
meter	liczniki	meter	licznik	N;MASC+FEM;SG	N;NOM;MASC;PL
meter	metrach	meter	metr	N;MASC+FEM;SG	N;GEN;MASC;PL
meter	metrów	meter	metr	N;MASC+FEM;SG	N;GEN;MASC;PL
meter	metr	meter	metr	N;MASC+FEM;SG	
meter	metrów	meter	metr	N;MASC+FEM;SG	N;GEN;MASC;PL
vier	vier	vier	vier	NUM	V;IPFV;IND;SG;2;PRS;FIN;ACT
toch	acz	toch	acz	ADV	
toch	jeszcze	toch	jeszcze	ADV	PART
december	grudzień	december	grudzienie	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
december	grudnia	december	grudzień	PROPN;MASC+FEM;SG	
december	grudniu	december	grudzień	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
amsterdam	amsterdam	amsterdam	amsterdam	PROPN;NEUT;SG	N;NOM;MASC;SG
top	top	top	top	N;MASC+FEM;SG	
top	góra	top	góra	N;MASC+FEM;SG	
november	listopada	november	listopada	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
november	listopadzie	november	listopad	PROPN;MASC+FEM;SG	N;ACC;MASC;SG
november	listopad	november	listopad	PROPN;MASC+FEM;SG	
oude	stare	oud	stary	ADJ	
oude	old	oud	old	ADJ	
oude	stara	oud	stary	ADJ	
den	den	den	den	DET;DEF	
ronde	okrągła	ronde	okrągnąć	N;MASC+FEM;SG	ADJ;NOM;FEM;SG
ronde	okrągły	ronde	okrągnąć	N;MASC+FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
ronde	okrągł	ronde	okrągnąć	N;MASC+FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
kon	mógł	kunnen	móc	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
kon	kon	kunnen	kon	V;SG;PST;FIN	
sint	sint	sint	sint	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
gemaakt	wykonane	maken	wykonać	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gemaakt	made	maken	mada	V;V.PTCP	
gemaakt	zrobione	maken	zrobić	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gemaakt	utworzona	maken	utworzyć	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
gemaakt	utworzony	maken	utworzyć	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
gemaakt	utworzone	maken	utworzyć	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
won	wygrane	winnen	wygrany	V;SG;PST;FIN	ADJ;NOM;NEUT;SG
won	won	winnen	won	V;SG;PST;FIN	
gebruik	użyć	gebruik	użyć	N;NEUT;SG	V;PFV;NFIN;ACT
gebruik	użyj	gebruik	użyj	N;NEUT;SG	V;PFV;IMP;SG;2;FIN;ACT
werken	prace	werken	praca	V;NFIN	N;NOM;FEM;PL
werken	pracy	werken	praca	V;NFIN	N;GEN;FEM;SG
werken	praca	werken	praca	V;NFIN	N;NOM;FEM;SG
werken	roboty	werken	robota	V;NFIN	N;ACC;FEM;PL
werken	pracujący	werken	pracować	V;NFIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
werken	prace	werken	praca	V;NFIN	N;NOM;FEM;PL
derde	trzecie	drie	trzeci	ADJ	
net	net	net	net	ADV	
net	sieć	net	sieć	ADV	N;NOM;FEM;SG
net	siatka	net	siatka	ADV	N;NOM;FEM;SG
net	netto	net	netto	ADV	
ter	ter	te	ter	ADP	
februari	luty	februari	luty	PROPN;MASC+FEM;SG	
februari	lutego	februari	luty	PROPN;MASC+FEM;SG	
zuid	zuid	zuid	zuid	ADJ	
zuid	południe	zuid	południe	ADJ	N;NOM;NEUT;SG
kleine	małych	klein	mały	ADJ	N;GEN;MASC;PL
kleine	mał	klein	mała	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
kleine	mała	klein	mały	ADJ	
kleine	male	klein	male	ADJ	
kleine	mał	klein	mała	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
kleine	little	klein	littl	ADJ	
kleine	mało	klein	mało	ADJ	ADV
kleine	mała	klein	mały	ADJ	
eens	raz	eens	raz	ADV	N;ACC;MASC;SG
album	albumu	album	album	N;NEUT;SG	
mogelijk	prawdopodobnie	mogelijk	prawdopodobnie	ADJ	ADV
mogelijk	mozliwe	mogelijk	mozliwy	ADJ	
wil	wil	willen	wila	V;SG;PRS;FIN	
moeten	musi	moeten	musieć	V;PL;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
moeten	muszą	moeten	musieć	V;PL;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
nam	nam	nemen	my	V;SG;PST;FIN	PRO;DAT;MASC;PL;1
lijkt	wygląda	lijken	wyglądać	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
lijkt	wygląd	lijken	wygląd	V;SG;PRS;FIN	N;NOM;MASC;SG
verenigde	zjednoczone	verenigen	zjednoczyć	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
verenigde	united	verenigen	united	V;V.PTCP	
verenigde	zjednoczona	verenigen	zjednoczyć	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
verenigde	zjednoczeni	verenigen	zjednoczyć	V;V.PTCP	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
verenigde	zjednoczonych	verenigen	zjednoczyć	V;V.PTCP	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
man	man	man	mana	N;MASC+FEM;SG	
gezien	widziane	zien	widzieć	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gezien	widziany	zien	widzieć	V;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
begin	start	begin	start	N;NEUT;SG	
begin	zacznij	begin	zacząć	N;NEUT;SG	V;PFV;IMP;SG;2;FIN;ACT
begin	rozpocząć	begin	rozpocząć	N;NEUT;SG	V;PFV;NFIN;ACT
begin	poczatek	begin	poczatek	N;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
koning	king	koning	king	N;MASC+FEM;SG	
koning	kinga	koning	kinga	N;MASC+FEM;SG	PROPN;NOM;FEM;SG
slechts	tylko	slechts	tylko	ADV	PART
spelen	play	spelen	pla	V;NFIN	
spelen	odtwarzanie	spelen	odtwarzać	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
spelen	granie	spelen	grana	V;NFIN	
officiële	urzędnik	officeel	urzędnik	ADJ	N;NOM;MASC;SG
officiële	oficjalnie	officeel	oficjalnie	ADJ	ADV
lid	członkowskie	lid	członkowski	N;NEUT;SG	ADJ;NOM;NEUT;SG
titel	opis	titel	opis	N;MASC+FEM;SG	
belgië	belgii	belgiën	belgia	PROPN;NEUT;SG	
belgië	belgia	belgiën	belgia	PROPN;NEUT;SG	
feb	luty	feb	luty	N;MASC+FEM;SG	
feb	lutego	feb	luty	N;MASC+FEM;SG	
begon	rozpoczęte	beginnen	rozpocząć	V;SG;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
begon	rozpoczęty	beginnen	rozpocząć	V;SG;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
beide	obydwa	beide	obydwa	PRO	V;IPFV;IND;SG;PST;FIN;ACT
beide	oboje	beide	obój	PRO	
