lokalizacji	местоположения	lokalizacja	местоположение	N;GEN;FEM;SG	N;INDF;NEUT;PL
armaty	кенън	armata	кенън	N;ACC;FEM;SG	PROPN;INDF;MASC;SG
armaty	оръдия	armata	оръди	N;ACC;FEM;SG	N;INDF;NEUT;PL
jung	юнг	junga	юнг	PROPN;NOM;MASC;SG	PROPN;INDF;FEM;SG
dowody	доказателство	dowód	доказателство	N;NOM;MASC;PL	N;INDF;NEUT;SG
dowody	доказателството	dowód	доказателство	N;NOM;MASC;PL	N;DEF;NEUT;SG
dowody	доказване	dowód	доказване	N;NOM;MASC;PL	N;INDF;NEUT;SG
dowody	доказателство	dowód	доказателство	N;NOM;MASC;PL	N;INDF;NEUT;SG
zachowany	запазено	zachować	запазя-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zachowany	запазен	zachować	запазя-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zachowany	запазени	zachować	запазя-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zachowany	консервирани	zachować	консервирам	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zachowany	запазена	zachować	запазя-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ósemka	осем	ósemka	осем	N;NOM;FEM;SG	NUM;INDF;PL
obsługiwane	подкрепен	obsługiwać	подкрепя	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
obsługiwane	подкрепи	obsługiwać	подкрепя	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;ACT
obsługiwane	подкрепена	obsługiwać	подкрепя	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
obsługiwane	поддържани	obsługiwać	поддържам	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;INDF;PL;V.PTCP;PASS
obsługiwane	подкрепено	obsługiwać	подкрепя	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
notowania	цитати	notować	цитат	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;MASC;PL
impreza	party	impreza	party	N;NOM;FEM;SG	ADJ
uszkodzony	повреден	uszkodzić	повреден	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uszkodzony	повредена	uszkodzić	повредя-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
uszkodzony	повредени	uszkodzić	повредя-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
uszkodzony	увреден	uszkodzić	увредя-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uszkodzony	повредено	uszkodzić	повредя	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
uszkodzony	повреден	uszkodzić	повреден	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uszkodzony	покварен	uszkodzić	покваря	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uszkodzony	повредени	uszkodzić	повредя-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
uszkodzony	повредено	uszkodzić	повредя	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
uszkodzony	дефектни	uszkodzić	дефектен	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;PL
kierunki	упътване	kierunek	упътване	N;NOM;MASC;PL	N;INDF;NEUT;SG
airways	airways	airways	airways		PROPN;INDF;MASC;SG
legia	легион	legia	легион		N;INDF;MASC;SG
legia	легиона	legia	легион		N;DEF;MASC;SG
zniszczenie	разрушения	zniszczyć	разрушение	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;NEUT;PL
pfalz	pfalz	pfalzyć	pfalz	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
iran	иран	iran	иран	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
icao	икао	icao	икао		N;INDF;NEUT;SG
han	хан	han	хан	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
pisanie	пишеш	pisać	пиша	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;IPFV;IND;SG;2;PRS;FIN;ACT
pisanie	пиша	pisać	пиша	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;IPFV;IND;SG;1;PRS;FIN;ACT
olympic	олимпик	olympic	олимпик		N;INDF;MASC;SG
olympic	олимпийски	olympic	олимпийски		PROPN;INDF;MASC;SG
dochód	приходи	dochód	приход	N;NOM;MASC;SG	N;INDF;MASC;PL
dochód	приходи	dochód	приход	N;NOM;MASC;SG	N;INDF;MASC;PL
dochód	доходи	dochód	доход	N;NOM;MASC;SG	N;INDF;MASC;PL
winter	зима	winter	зима		N;INDF;FEM;SG
winter	зимата	winter	зима		N;DEF;FEM;SG
zhang	джан	zhang	джан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
anioł	ейнджъл	anioł	ейнджъл	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
anioł	angel	anioł	angel	N;NOM;MASC;SG	INTJ
anioł	анхел	anioł	анхел	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
seattle	сиатъл	seatle	сиатъл	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
łączna	натрупване	łączny	натрупване	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
łączna	кумулативни	łączny	кумулативен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
zbędne	излишни	zbędny	излишен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
zbędne	излишно	zbędny	излишен	ADJ;NOM;NEUT;SG	ADV
zbędne	излишни	zbędny	излишен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
zbędne	излишно	zbędny	излишен	ADJ;NOM;NEUT;SG	ADV
zbędne	ненужни	zbędny	ненужен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
zbędne	ненужно	zbędny	ненужно	ADJ;NOM;NEUT;SG	ADV
zbędne	излишни	zbędny	излишен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
zbędne	излишно	zbędny	излишен	ADJ;NOM;NEUT;SG	ADV
zawartych	сключени	zawrzeć	сключа	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zawartych	сключен	zawrzeć	сключа	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zawartych	сключено	zawrzeć	сключа	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
santo	санто	santo	санто	PROPN;NOM;MASC;SG	PROPN
bristol	бристол	bristol	бристол	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
jolanta	йоланта	jolant	йолант	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
centralna	централно	centralny	централен	ADJ;NOM;FEM;SG	ADV
centralna	централа	centralny	централа	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
centralna	централни	centralny	централен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
działki	заговори	działka	заговоря-(се)	N;ACC;FEM;PL	V;PFV;IND;SG;3;PST;FIN;ACT
działki	парцел	działka	парцел	N;ACC;FEM;PL	N;INDF;MASC;SG
działki	парцел	działka	парцел	N;ACC;FEM;PL	N;INDF;MASC;SG
działki	сюжет	działka	сюжет	N;ACC;FEM;PL	N;INDF;MASC;SG
działki	заговор	działka	заговор	N;ACC;FEM;PL	N;INDF;MASC;SG
krajowym	домашни	krajowy	домашен	ADJ;INS;MASC;SG	ADJ;INDF;PL
autorskie	авторско	autorski	авторски	ADJ;NOM;NEUT;SG	ADV
gilbert	жилбер	gilbert	жилбер	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
gilbert	гилбърт	gilbert	гилбърт	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
równanie	уравнения	równać	уравнение	N;NOM;NEUT;SG	N;INDF;NEUT;PL
davisa	дейвис	davisa	дейвис		PROPN;INDF;MASC;SG
rzekomo	предполагаемо	rzekomo	предполагаем	N;DAT;FEM;PL	ADV
więzień	затворничка	więzienie	затворничка	N;GEN;NEUT;PL	N;INDF;FEM;SG
więzień	затворник	więzienie	затворник	N;GEN;NEUT;PL	N;INDF;MASC;SG
więzień	затворничка	więzienie	затворничка	N;GEN;NEUT;PL	N;INDF;FEM;SG
więzień	затворник	więzienie	затворник	N;GEN;NEUT;PL	N;INDF;MASC;SG
więzień	затвори	więzienie	затворя-(се)	N;GEN;NEUT;PL	V;PFV;IND;SG;3;PST;FIN;ACT
poinformował	информирани	poinformować	информирам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
poinformował	информиран	poinformować	информирам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
poinformował	информирана	poinformować	информирам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
jasno	светли	jasno	светъл	ADV	ADJ;INDF;PL
kuba	куба	kuba	кубо	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
utc	utc	utco	utc		PROPN;INDF;MASC;SG
felix	феликс	felix	феликс	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
aktualne	ток	aktualny	ток	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
aktualne	текущи	aktualny	текущ	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
aktualne	настоящ	aktualny	настоящ	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
franka	франк	franek	франк		PROPN;INDF;MASC;SG
dachau	дахау	dachau	дахау	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
dziwne	странно	dziwny	странно	ADJ;NOM;NEUT;SG	ADV
dziwne	странно	dziwny	странно	ADJ;NOM;NEUT;SG	ADV
dziwne	странни	dziwny	странен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
dziwne	странно	dziwny	странно	ADJ;NOM;NEUT;SG	ADV
zagraniczne	изходящи	zagraniczny	изходящ	ADJ;NOM;NEUT;SG	V;IPFV;INDF;PL;PST;V.PTCP;ACT
zagraniczne	чужди	zagraniczny	чужд	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
zagraniczne	чуждестранни	zagraniczny	чуждестранен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
zagraniczne	чужденец	zagraniczny	чужденец	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
wyrzutni	установка	wyrzutniać	установка	V;IPFV;IND;SG;FIN;ACT	N;INDF;FEM;SG
turynie	торино	turyn	торино	PROPN;NOM;MASC;SG	PROPN;INDF;NEUT;SG
recenzji	отзиви	recenzja	отзивя-(се)	V;IPFV;IND;SG;2;FIN;ACT	N;INDF;FEM;PL
recenzji	прегледи	recenzja	преглед	V;IPFV;IND;SG;2;FIN;ACT	N;INDF;MASC;PL
urban	градско	urbany	градски		ADV
urban	градска	urbany	градски		ADJ;INDF;FEM;SG
urban	градски	urbany	градски		ADJ;INDF;MASC;SG
zaatakował	нападната	zaatakować	нападен	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;DEF;FEM;SG
zaatakował	атакуван	zaatakować	атакувам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zaatakował	атакувани	zaatakować	атакувам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
zaatakował	нападната	zaatakować	нападен	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;DEF;FEM;SG
zaatakował	нападнат	zaatakować	нападна	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;PL;3;PRS;FIN;ACT
turystyczna	туристи	turystyczny	турист	ADJ;NOM;FEM;SG	N;INDF;MASC;PL
turystyczna	турист	turystyczny	турист	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
symboli	означения	symbolia	означение		N;INDF;NEUT;PL
symboli	символи	symbolia	символя		N;INDF;MASC;PL
podania	приложения	podać	приложение	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;INDF;NEUT;PL
podania	заявления	podać	заявление	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;INDF;NEUT;PL
podania	молби	podać	молба	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;INDF;FEM;PL
