enkel	простые	enkel	простой	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
registrerede	зарегистрирована	registrere	регистрировать	V;PL;PST;V.PTCP	V;PFV;FEM;SG;PST;V.PTCP;PASS
eyes	глаз	eyes	глаз		N;INAN;NOM;MASC;SG
eyes	глаза	eyes	глаз		N;INAN;NOM;MASC;PL
eyes	глазки	eyes	глазок		N;INAN;NOM;MASC;PL
estisk	эстонии	estisk	эстония	ADJ;INDF;SG	N;INAN;NOM;FEM;SG
maryland	мэриленд	maryland	мэриленд		N;INAN;NOM;MASC;SG
bemærkelsesværdige	заметный	bemærkelsesværdig	заметный	ADJ;PL	ADJ;NOM;MASC;SG
bemærkelsesværdige	замечательный	bemærkelsesværdig	замечательный	ADJ;PL	ADJ;NOM;MASC;SG
bemærkelsesværdige	примечательно	bemærkelsesværdig	примечательный	ADJ;PL	ADJ;NEUT;SG
buenos	буэнос	bue	буэнос	N;DEF;MASC+FEM;SG	ADV
skulpturer	скульптура	skulptur	скульптура	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
skulpturer	скульптура	skulptur	скульптура	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
brande	fire	brand	fire	N;INDF;MASC+FEM;PL	PROPN
brande	пожар	brand	пожар	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
brande	огонь	brand	огонь	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
control	контроля	control	контроль		N;INAN;GEN;MASC;SG
control	контроль	control	контроль		N;INAN;NOM;MASC;SG
control	управление	control	управление		N;INAN;NOM;NEUT;SG
eduard	эдуард	eduard	эдуард		N;ANIM;NOM;MASC;SG
oklahoma	оклахома	oklahoma	оклахом		N;INAN;NOM;MASC;SG
sjæl	души	sjæl	душа	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
sjæl	soul	sjæl	soul	N;INDF;MASC+FEM;SG	PROPN
grafisk	графический	grafisk	графический	ADV	ADJ;NOM;MASC;SG
grafisk	графические	grafisk	графический	ADV	ADJ;NOM;PL
grafisk	графический	grafisk	графический	ADV	ADJ;NOM;MASC;SG
grafisk	графические	grafisk	графический	ADV	ADJ;NOM;PL
grafisk	графика	grafisk	график	ADV	N;INAN;NOM;FEM;SG
grafisk	графики	grafisk	график	ADV	N;INAN;NOM;MASC;PL
flot	мило	flot	мило	ADJ;INDF;SG	ADV
flot	красавец	flot	красавец	ADJ;INDF;SG	N;ANIM;NOM;MASC;SG
flot	красавчик	flot	красавчик	ADJ;INDF;SG	N;ANIM;NOM;MASC;SG
kritiserede	критике	kritisere	критика	V;IND;PST;FIN;ACT	N;INAN;DAT;FEM;SG
sierra	сьерра	sierra	сиерр		N;INAN;NOM;MASC;SG
frigivet	освобождены	frigiv	освободить	V;INDF;SG;PST;V.PTCP	V;PFV;PL;PST;V.PTCP;PASS
nazistiske	нацистской	nazistisk	нацистский	ADJ;PL	ADJ;INS;FEM;SG
aktion	меры	aktion	мера	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
aktion	действий	aktion	действие	N;INDF;MASC+FEM;SG	N;INAN;GEN;NEUT;PL
aktion	действия	aktion	действие	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
tung	тяжелых	tung	тяжелый	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;PL
tung	тяжелые	tung	тяжелый	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
tung	танг	tung	танг	ADJ;INDF;MASC+FEM;SG	
byzantinske	византийский	byzantinsk	византийский	ADJ;PL	ADJ;NOM;MASC;SG
forventet	ожидаемые	forvente	ожидать	V;INDF;SG;PST;V.PTCP	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
forventet	ожидается	forvente	ожидать	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
forventet	ожидаемый	forvente	ожидать	V;INDF;SG;PST;V.PTCP	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
forventet	ожидаемое	forvente	ожидать	V;INDF;SG;PST;V.PTCP	V;IPFV;NOM;NEUT;SG;PRS;V.PTCP;PASS
harrison	харрисон	harrison	харрисон		N;ANIM;NOM;MASC;SG
harrison	гаррисон	harrison	гаррисон		N;ANIM;NOM;MASC;SG
gaza	газа	gaza	газ	PROPN	N;INAN;GEN;MASC;SG
gaza	газу	gaza	газ	PROPN	N;INAN;DAT;MASC;SG
gaza	газы	gaza	газ	PROPN	N;INAN;NOM;MASC;PL
grey	серая	grey	серый		ADJ;NOM;FEM;SG
grey	серый	grey	серый		ADJ;NOM;MASC;SG
grey	серые	grey	серый		ADJ;NOM;PL
grey	грей	grey	грей		N;INAN;NOM;MASC;SG
pyrénées	pyrénées	pyrknée	pyrénées	N;GEN;INDF;MASC+FEM;PL	PROPN
aires	айресе	aires	айрес	PROPN	N;INAN;NOM;MASC;SG
måner	луны	måne	луна	N;INDF;MASC+FEM;PL	N;INAN;GEN;FEM;SG
raf	raf	raf	raf	PROPN	PROPN
kirk	кирк	kirk	кирк		N;ANIM;NOM;MASC;SG
lodret	вертикально	loder	вертикально	ADJ;INDF;SG	ADV
lodret	вертикальные	loder	вертикальный	ADJ;INDF;SG	ADJ;NOM;PL
lodret	вертикально	loder	вертикально	ADJ;INDF;SG	ADV
lodret	вертикали	loder	вертикаль	ADJ;INDF;SG	N;INAN;NOM;FEM;PL
racing	гонки	racing	гонка		N;INAN;NOM;FEM;PL
racing	racing	racing	racing		PROPN
racing	скачки	racing	скачок		N;INAN;NOM;MASC;PL
jamie	джейми	jamie	джея		N;ANIM;NOM;MASC;SG
kontrollerede	контролируемых	kontrollere	контролировать	V;PL;PST;V.PTCP	V;IPFV;GEN;PL;PRS;V.PTCP;PASS
kontrollerede	управляемый	kontrollere	управлять	V;PL;PST;V.PTCP	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
kontrollerede	контролируемые	kontrollere	контролировать	V;PL;PST;V.PTCP	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
kontrollerede	контролируется	kontrollere	контролировать	V;PL;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
autoritet	полномочия	autoritet	полномочие	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
hunter	охотник	hunte	охотник	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
hunter	хантер	hunte	хантер	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
elskede	любили	elske	любить	V;DEF;SG;PST;V.PTCP	V;IPFV;IND;PL;PST;FIN;ACT
elskede	любимая	elske	любить	V;DEF;SG;PST;V.PTCP	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;PASS
elskede	любимой	elske	любить	V;DEF;SG;PST;V.PTCP	V;IPFV;INS;FEM;SG;PRS;V.PTCP;PASS
elskede	любимый	elske	любить	V;DEF;SG;PST;V.PTCP	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
farlig	опасные	farlig	опасный	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
farlig	опасных	farlig	опасный	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;PL
farlig	опасные	farlig	опасный	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
farlig	опасных	farlig	опасный	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;PL
plantage	плантации	plantage	плантация	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
kontroversielle	спорный	kontroversiel	спорный	ADJ;PL	ADJ;NOM;MASC;SG
revolutionære	революционная	revolutionær	революционный	ADJ;PL	ADJ;NOM;FEM;SG
revolutionære	революционеров	revolutionær	революционер	ADJ;PL	N;ANIM;GEN;MASC;PL
bedt	молились	bede	молиться	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;PL;PST;FIN;MID
redigering	редактирования	redigering	редактирование	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
woman	женщину	woman	женщина		N;ANIM;ACC;FEM;SG
woman	женщина	woman	женщина		N;ANIM;NOM;FEM;SG
philippe	филипп	philippe	филипп		N;ANIM;NOM;MASC;SG
diskuteret	обсудили	diskutere	обсудить	V;INDF;SG;PST;V.PTCP	V;PFV;IND;PL;PST;FIN;ACT
diskuteret	обсуждались	diskutere	обсуждать	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;PL;PST;FIN;MID
fugl	птицы	fugl	птица	N;INDF;MASC+FEM;SG	N;ANIM;NOM;FEM;PL
udenlandsk	иностранных	udenlandsk	иностранный	ADJ;INDF;SG	ADJ;GEN;PL
them	их	them	они		PRO;ACC;PL;3
heaven	рай	heaven	рай		N;INAN;NOM;MASC;SG
heaven	небеса	heaven	небес		N;INAN;NOM;MASC;PL
heaven	небо	heaven	небо		N;INAN;NOM;NEUT;SG
istanbul	стамбуле	istanbul	стамбул	PROPN	N;INAN;NOM;FEM;SG
istanbul	стамбул	istanbul	стамбул	PROPN	N;INAN;NOM;MASC;SG
celle	ячейки	celle	ячейка	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
download	загрузка	download	загрузка	V;IMP	N;INAN;NOM;FEM;SG
vidnesbyrd	показания	vidnesbyrd	показание	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
sammenstød	столкновения	sammenstød	столкновение	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
sammenstød	столкновений	sammenstød	столкновение	N;INDF;NEUT;SG	N;INAN;GEN;NEUT;PL
sammenstød	столкновения	sammenstød	столкновение	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
sammenstød	столкновения	sammenstød	столкновение	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
sammenstød	столкновения	sammenstød	столкновение	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
sammenstød	столкновений	sammenstød	столкновение	N;INDF;NEUT;SG	N;INAN;GEN;NEUT;PL
montgomery	монтгомери	montgomery	монтгомерь	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL
gearkasse	передачи	gearkasse	передача	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
jagerfly	бойцы	jagerfly	боец	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL
jagerfly	бойцов	jagerfly	боец	N;INDF;MASC+FEM;SG	N;ANIM;GEN;MASC;PL
pacific	тихоокеанского	pacific	тихоокеанский		ADJ;GEN;MASC;SG
pacific	тихоокеанский	pacific	тихоокеанский		ADJ;NOM;MASC;SG
pacific	pacific	pacific	pacific		PROPN
pacific	пасифик	pacific	пасифик		N;INAN;NOM;MASC;SG
myter	миф	myte	миф	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
frivillig	факультативно	frivillig	факультативно	ADJ;INDF;MASC+FEM;SG	ADV
frivillig	факультативные	frivillig	факультативный	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
frivillig	добровольные	frivillig	добровольный	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
frivillig	добровольцы	frivillig	доброволец	ADJ;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL
frivillig	добровольцев	frivillig	доброволец	ADJ;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;PL
frivillig	доброволец	frivillig	доброволец	ADJ;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
egon	эгон	egon	эгон		N;ANIM;NOM;MASC;SG
sting	швы	sting	шва	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
asiatiske	азиатская	asiatisk	азиатский	ADJ;PL	ADJ;NOM;FEM;SG
asiatiske	азии	asiatisk	азия	ADJ;PL	N;INAN;NOM;FEM;SG
asiatiske	азиатский	asiatisk	азиатский	ADJ;PL	ADJ;NOM;MASC;SG
antikken	древности	antik	древность	N;DEF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
sweet	сладкий	swe	сладкий		ADJ;NOM;MASC;SG
sweet	сладкие	swe	сладкий		ADJ;NOM;PL
sweet	сладкая	swe	сладкий		ADJ;NOM;FEM;SG
ler	смеется	le	смеяться	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;MID
ler	смеётся	le	смеваться	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;MID
ler	глины	le	глина	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
fotografi	сфотографировать	fotografi	фотографировать	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
fotografi	фотографии	fotografi	фотография	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
jagten	хант	jagt	хант	N;DEF;MASC+FEM;SG	PART
jagten	охоты	jagt	охота	N;DEF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
bevidsthed	сознавая	bevidsthed	сознавать	N;INDF;MASC+FEM;SG	V;IPFV;PRS;V.CVB;ACT
sproglige	языковым	sproglig	языковой	ADJ;PL	ADJ;INS;NEUT;SG
udkæmpet	сражались	udkæmpe	сражаться	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;PL;PST;FIN;MID
houston	хьюстон	houston	хьюстон		N;INAN;NOM;MASC;SG
bombe	бомбардировки	bombe	бомбардировка	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
anmodning	запросить	anmodning	запросить	N;INDF;MASC+FEM;SG	V;PFV;NFIN;ACT
tank	цистерны	tank	цистерна	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
cbs	cbs	cbs	cbs	N;INDF;MASC+FEM;SG	PROPN
fremstiller	изготовитель	fremstille	изготовитель	V;IND;PRS;FIN;ACT	N;ANIM;NOM;MASC;SG
fremstiller	производитель	fremstille	производитель	V;IND;PRS;FIN;ACT	N;ANIM;NOM;MASC;SG
fremstiller	изготовителем	fremstille	изготовитель	V;IND;PRS;FIN;ACT	N;ANIM;INS;MASC;SG
behandle	угощение	behandle	угощение	V;NFIN;ACT	N;INAN;NOM;NEUT;SG
patent	патенты	patent	патент	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
patent	патентов	patent	патент	N;INDF;NEUT;SG	N;INAN;GEN;MASC;PL
owen	оуэн	owen	оуэн		N;ANIM;NOM;MASC;SG
rafael	рафаэль	rafael	рафаэль		N;ANIM;NOM;MASC;SG
rafael	рафаэль	rafael	рафаэль		N;ANIM;NOM;MASC;SG
filippinerne	филиппин	filippin	филиппин	N;DEF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
konvention	конвенции	konvention	конвенция	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
skatter	налоги	skatter	налог	ADV	N;INAN;NOM;MASC;PL
usædvanlig	необычные	usædvanlig	необычный	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
alabama	алабама	alabama	алабам		N;INAN;NOM;FEM;SG
væbnede	вооруженный	væbne	вооружить	ADJ;PL	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
væbnede	вооруженная	væbne	вооружить	ADJ;PL	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
væbnede	вооруженных	væbne	вооружить	ADJ;PL	V;PFV;GEN;PL;PST;V.PTCP;PASS
organiske	органический	organisk	органический	ADJ;PL	ADJ;NOM;MASC;SG
newton	ньютон	newton	ньютон		N;ANIM;NOM;MASC;SG
newton	ньютона	newton	ньютон		N;ANIM;ACC;MASC;SG
signatur	подписания	signatur	подписание	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
signatur	подписи	signatur	подпись	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
olga	оля	olga	оля		N;ANIM;NOM;FEM;SG
olga	ольга	olga	ольга		N;ANIM;NOM;FEM;SG
romantisk	романтический	romantisk	романтический	ADV	ADJ;NOM;MASC;SG
romantisk	романтик	romantisk	романтик	ADV	N;ANIM;NOM;MASC;SG
romantisk	романтика	romantisk	романтика	ADV	N;INAN;NOM;FEM;SG
romantisk	романтическая	romantisk	романтический	ADV	ADJ;NOM;FEM;SG
blind	слепые	blind	слепой	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
blind	ослеп	blind	слепнуть	ADJ;INDF;MASC+FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
sevilla	севилья	sevilla	севилье	PROPN	N;INAN;NOM;NEUT;SG
sevilla	севилье	sevilla	севилье	PROPN	N;INAN;NOM;NEUT;SG
kavaleri	кавалерии	kavaleri	кавалерия	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
mel	муки	mel	мука	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
ronnie	ронни	ronnie	ронний		N;ANIM;NOM;MASC;SG
opvarmning	потепления	opvarmning	потепление	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
køb	покупки	køb	покупка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
køb	приобрести	køb	приобрести	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
køb	купить	køb	купить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
køb	покупать	køb	покупать	N;INDF;NEUT;SG	V;IPFV;NFIN;ACT
køb	покупки	køb	покупка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
køb	закупки	køb	закупка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
køb	покупать	køb	покупать	N;INDF;NEUT;SG	V;IPFV;NFIN;ACT
sporten	sport	sport	sport	N;DEF;MASC+FEM;SG	PROPN
separat	отдельная	separat	отдельный	ADV	ADJ;NOM;FEM;SG
separat	отделить	separat	отделить	ADV	V;PFV;NFIN;ACT
separat	отдельный	separat	отдельный	ADV	ADJ;NOM;MASC;SG
separat	отдельное	separat	отдельный	ADV	ADJ;NOM;NEUT;SG
wikidata	викиданные	wikidata	викиданный		V;PFV;NOM;PL;PST;V.PTCP;PASS
skulptur	скульптуры	skulptur	скульптура	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
trykte	печатных	trykte	печатный	V;PL;PST;V.PTCP	ADJ;GEN;PL
godkendte	утверждено	godkende	утвердить	V;PL;PST;V.PTCP	V;PFV;NEUT;SG;PST;V.PTCP;PASS
godkendte	одобрено	godkende	одобрить	V;PL;PST;V.PTCP	V;PFV;NEUT;SG;PST;V.PTCP;PASS
godkendte	одобрен	godkende	одобрить	V;PL;PST;V.PTCP	V;PFV;MASC;SG;PST;V.PTCP;PASS
godkendte	утвержден	godkende	утвердить	V;PL;PST;V.PTCP	V;PFV;MASC;SG;PST;V.PTCP;PASS
godkendte	одобрена	godkende	одобрить	V;PL;PST;V.PTCP	V;PFV;FEM;SG;PST;V.PTCP;PASS
permanente	постоянная	permanent	постоянный	ADJ;PL	ADJ;NOM;FEM;SG
permanente	постоянное	permanent	постоянный	ADJ;PL	ADJ;NOM;NEUT;SG
permanente	постоянный	permanent	постоянный	ADJ;PL	ADJ;NOM;MASC;SG
fisker	рыб	fisker	рыба	N;INDF;MASC+FEM;SG	N;ANIM;GEN;FEM;PL
fisker	рыбы	fisker	рыба	N;INDF;MASC+FEM;SG	N;ANIM;NOM;FEM;PL
dygtige	талантлив	dygtig	талантливый	ADJ;PL	ADJ;MASC;SG
dygtige	талантливый	dygtig	талантливый	ADJ;PL	ADJ;NOM;MASC;SG
dygtige	талантливая	dygtig	талантливый	ADJ;PL	ADJ;NOM;FEM;SG
oldenburg	ольденбург	oldenburg	ольденбург		N;ANIM;NOM;MASC;SG
beton	конкретные	beton	конкретный	N;INDF;MASC+FEM;SG	ADJ;NOM;PL
beton	конкретное	beton	конкретный	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
beton	конкретный	beton	конкретный	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
beton	конкретная	beton	конкретный	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
dortmund	дортмунд	dortmund	дортмунд	PROPN	N;INAN;NOM;MASC;SG
bureau	агентства	bureau	агентство	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
police	полицейские	police	полицейский	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL
police	полиции	police	полиция	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
police	полицейский	police	полицейский	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
dragon	dragon	dragon	dragon		PROPN
dragon	дракона	dragon	дракон		N;ANIM;ACC;MASC;SG
dragon	дракон	dragon	дракон		N;ANIM;NOM;MASC;SG
rede	подготовленный	rede	подготовить	N	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
rede	подготовлена	rede	подготовить	N	V;PFV;FEM;SG;PST;V.PTCP;PASS
rede	подготовленные	rede	подготовить	N	V;PFV;NOM;PL;PST;V.PTCP;PASS
rede	подготовлено	rede	подготовить	N	V;PFV;NEUT;SG;PST;V.PTCP;PASS
rede	подготовлен	rede	подготовить	N	V;PFV;MASC;SG;PST;V.PTCP;PASS
chopin	шопен	chopin	шопня		N;INAN;NOM;MASC;SG
drab	убийства	drab	убийство	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
drab	убийства	drab	убийство	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
gad	гир	gide	гир	V;IND;PST;FIN;ACT	N;INAN;NOM;MASC;SG
gad	гад	gide	гад	V;IND;PST;FIN;ACT	N;ANIM;NOM;MASC;SG
dale	дейл	dal	дейл	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
dale	дэйл	dal	дэйл	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
pedro	педро	pedro	педро		N;INAN;NOM;MASC;SG
barry	барри	barry	барри		N;ANIM;NOM;MASC;SG
barry	бэрри	barry	бэрри		N;ANIM;NOM;MASC;SG
allieret	союзников	alliere	союзник	V;INDF;SG;PST;V.PTCP	N;ANIM;GEN;MASC;PL
allieret	элли	alliere	элли	V;INDF;SG;PST;V.PTCP	N;ANIM;NOM;FEM;SG
allieret	союзник	alliere	союзник	V;INDF;SG;PST;V.PTCP	N;ANIM;NOM;MASC;SG
judas	иуда	judas	иуда		N;ANIM;NOM;MASC;SG
lufthavne	airport	lufthavne	airport	N;INDF;MASC+FEM;PL	PROPN
lufthavne	аэропорт	lufthavne	аэропорт	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
small	маленькая	small	маленький		ADJ;NOM;FEM;SG
small	маленькие	small	маленький		ADJ;NOM;PL
small	малых	small	малый		ADJ;GEN;PL
small	маленький	small	маленький		ADJ;NOM;MASC;SG
small	мелкие	small	мелкий		ADJ;NOM;PL
small	малые	small	малый		ADJ;NOM;PL
kentucky	кентукки	kentucky	кентукка		N;INAN;NOM;MASC;PL
afløser	замены	afløser	замена	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
proteiner	белок	protein	белок	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
proteiner	белка	protein	белок	N;INDF;NEUT;PL	N;INAN;GEN;MASC;SG
simpson	симпсон	simpson	симпсон		N;ANIM;NOM;MASC;SG
nepal	непала	nepal	непал	PROPN	N;INAN;NOM;MASC;SG
nepal	непале	nepal	непал	PROPN	N;INAN;NOM;FEM;SG
nepal	непал	nepal	непал	PROPN	N;INAN;NOM;MASC;SG
koncentreret	сосредоточение	koncentrere	сосредоточение	V;INDF;SG;PST;V.PTCP	N;INAN;NOM;NEUT;SG
walk	ходить	walk	ходить		V;IPFV;NFIN;ACT
walk	пройтись	walk	пройтись		V;PFV;NFIN;MID
walk	прогулка	walk	прогулка		N;INAN;NOM;FEM;SG
walk	пешком	walk	пешком		ADV
opdagelsesrejsende	исследователь	opdagelsesrejsende	исследователь	ADJ	N;ANIM;NOM;MASC;SG
opdagelsesrejsende	explorer	opdagelsesrejsende	explorer	ADJ	PROPN
opdagelsesrejsende	исследователи	opdagelsesrejsende	исследователь	ADJ	N;ANIM;NOM;MASC;PL
møbler	мебель	møbel	мебель	N;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
rick	рик	rick	рик		N;ANIM;NOM;MASC;SG
rick	рика	rick	рик		N;ANIM;NOM;FEM;SG
neutrale	нейтральный	neutral	нейтральный	ADJ;PL	ADJ;NOM;MASC;SG
neutrale	нейтралитет	neutral	нейтралитет	ADJ;PL	N;INAN;NOM;MASC;SG
neutrale	нейтральной	neutral	нейтральный	ADJ;PL	ADJ;INS;FEM;SG
neutrale	нейтральным	neutral	нейтральный	ADJ;PL	ADJ;INS;NEUT;SG
rob	роб	rob	роб		N;ANIM;NOM;MASC;SG
rob	ограбить	rob	грабить		V;PFV;NFIN;ACT
omfattet	включенные	omfatte	включить	N;DEF;NEUT;SG	V;PFV;NOM;PL;PST;V.PTCP;PASS
omfattet	включено	omfatte	включить	N;DEF;NEUT;SG	V;PFV;NEUT;SG;PST;V.PTCP;PASS
omfattet	охватывает	omfatte	охватывать	N;DEF;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
