और	og	और	og		CONJ
तक	till	तक	till	CONJ	
तक	tak	तक	tak	CONJ	N;INDF;NEUT;SG
अपने	own	अपना	own	PRO;NOM;MASC	N
अपने	eget	अपना	eget	PRO;NOM;MASC	N;INDF;NEUT;SG
अपने	eie	अपना	ein	PRO;NOM;MASC	N;INDF;MASC;SG
अपने	egen	अपना	eigen	PRO;NOM;MASC	N;INDF;MASC;SG
जिले	distrikter	जिला	distrikt	N;NOM;MASC;SG;3	N;INDF;FEM;PL
था	hadde	था	ha	V;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN
था	hatt	था	ha	V;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
राज्य	stater	राज्य	stat	N;NOM;MASC;SG;3	N;INDF;MASC;PL
राज्य	delstater	राज्य	delstater	N;NOM;MASC;SG;3	N;INDF;MASC;PL
राज्य	delstater	राज्य	delstater	N;NOM;MASC;SG;3	N;INDF;MASC;PL
राज्य	state	राज्य	state	N;NOM;MASC;SG;3	PROPN
बाहरी	outdoor	बाहरी	outdoor	ADJ;NOM	N;INDF;NEUT;SG
बाहरी	utendørs	बाहरी	utendørs	ADJ;NOM	N;INDF;MASC;SG
बाहरी	utendørs	बाहरी	utendørs	ADJ;NOM	N;INDF;MASC;SG
बाहरी	friluft	बाहरी	friluft	ADJ;NOM	N;INDF;FEM;SG
कुछ	some	कुछ	some	DET	N
कुछ	noen	कुछ	noen	DET	
कुछ	enkelte	कुछ	enkelt	DET	ADJ;PL
कुछ	noe	कुछ	noe	DET	
कुछ	something	कुछ	something	DET	N;INDF;FEM;SG
कुछ	noko	कुछ	noko	DET	PRO;NEUT;SG;3
गाँव	landsby	गाँव	landsby	N;NOM;MASC;PL;3	N;INDF;MASC;SG
गाँव	village	गाँव	village	N;NOM;MASC;PL;3	N;INDF;MASC;SG
गाँव	bygda	गाँव	bygd	N;NOM;MASC;PL;3	N;DEF;FEM;SG
कड़ियाँ	kjetting	कड़ी	kjetting	N;NOM;FEM;PL;3	N;INDF;FEM;SG
इसके	dets	यह	det	PRO;MASC;SG;3	N;INDF;NEUT;SG
इसके	sine	यह	sin	PRO;MASC;SG;3	PRO;PL
इसके	its	यह	its	PRO;MASC;SG;3	
दिया	gitt	दे	gi	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
दिया	ga	दे	gi	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;NEUT;SG
अन्य	andre	अन्य	annan	N;NOM;MASC;SG;3	DET;PL
अन्य	andre	अन्य	annan	N;NOM;MASC;SG;3	DET;PL
जा	jaa	जा	jaa	V;ACT	N;INDF;MASC;SG
वर्ष	årevis	वर्ष	årevis	N;NOM;MASC;SG;3	ADV
वे	de	वह	de	PRO;NOM;SG;3	PRO;HUM;NOM;PL;2
वे	they	वह	they	PRO;NOM;SG;3	N
प्रकार	snill	प्रकार	snill	N;NOM;MASC;SG;3	ADJ;INDF;SG
प्रकार	skriv	प्रकार	skrive	N;NOM;MASC;SG;3	V;IMP;FIN
प्रकार	typer	प्रकार	type	N;NOM;MASC;SG;3	N;INDF;MASC;PL
भारतीय	indianer	भारतीय	indianer	PROPN;NOM;SG;3	N;INDF;MASC;SG
भारतीय	inder	भारतीय	inder	PROPN;NOM;SG;3	N;INDF;MASC;SG
भारतीय	indisk	भारतीय	indisk	PROPN;NOM;SG;3	N;INDF;MASC;SG
किसी	nokon	कोई	nokon	PRO;ACC;SG;3	PRO;MASC;PL;3
किसी	noen	कोई	noen	PRO;ACC;SG;3	
क्षेत्र	områder	क्षेत्र	område	N;NOM;MASC;SG;3	N;INDF;MASC;PL
क्षेत्र	områdene	क्षेत्र	område	N;NOM;MASC;SG;3	N;DEF;FEM;PL
अधिक	fleire	अधिक	mange	DET	ADJ;CMPR
अधिक	fler	अधिक	fler	DET	N;INDF;NEUT;SG
अधिक	flere	अधिक	flere	DET	
अधिक	mer	अधिक	mer	DET	N;INDF;MASC;SG
अधिक	meir	अधिक	mykje	DET	ADJ;CMPR
अधिक	mere	अधिक	mere	DET	N;INDF;MASC;SG
कई	mangt	कई	mangt	DET	N;INDF;MASC;SG
कई	many	कई	many	DET	N
कई	mangen	कई	mang	DET	N;DEF;MASC;SG
कई	mange	कई	mange	DET	ADJ;PL
मण्डल	sone	मण्डल	sone	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
मण्डल	zone	मण्डल	zone	PROPN;NOM;MASC;SG;3	N;INDF
आधिकारिक	official	आधिकारिक	official	ADJ	N
कारण	årsaker	कारण	årsak	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कारण	grunner	कारण	grunn	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कारण	forårsaker	कारण	forårsak	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कारण	saker	कारण	sak	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कारण	årsaker	कारण	årsak	N;NOM;MASC;SG;3	N;INDF;FEM;PL
होने	being	हो	being	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
जैसे	som	जैसे	som	CONJ	ADP
जैसे	liker	जैसे	like	CONJ	V;IND;PRS;FIN
जैसे	like	जैसे	lik	CONJ	ADJ;SG
करता	bøller	कर	bolle	V;IPFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;PL
करता	mobber	कर	mobbe	V;IPFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;PL
करता	gjør	कर	gjør	V;IPFV;MASC;SG;V.PTCP;ACT	
उनके	sine	वह	sin	PRO;MASC;SG;3;FORM	PRO;PL
उनके	deres	वह	deres	PRO;MASC;SG;3;FORM	N;INDF;MASC;SG
उनके	them	वह	them	PRO;MASC;SG;3;FORM	
उनके	dem	वह	dem	PRO;MASC;SG;3;FORM	
सबसे	most	सबसे	most	ADJ;NOM	N;INDF;FEM;SG
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	N;INDF;NEUT;SG
बहुत	svært	बहुत	svær	DET	ADJ;INDF;NEUT;SG
बहुत	very	बहुत	very	DET	
बहुत	meget	बहुत	meget	DET	N;DEF;NEUT;SG
बहुत	veldig	बहुत	veldig	DET	ADJ;INDF;NEUT;SG
पहले	before	पहले	brfor	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
पहले	før	पहले	før	ADV;NOM;MASC;SG;3	ADP
पहले	ago	पहले	ago	ADV;NOM;MASC;SG;3	N
पहले	tidligere	पहले	tidligere	ADV;NOM;MASC;SG;3	N;INDF;FEM;SG
पहले	første	पहले	første	ADV;NOM;MASC;SG;3	ADJ;DEF;SG
पहले	forst	पहले	forst	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
पहले	first	पहले	first	ADV;NOM;MASC;SG;3	N
अपनी	own	अपना	own	PRO;NOM;FEM	N
अपनी	eget	अपना	eget	PRO;NOM;FEM	N;INDF;NEUT;SG
अपनी	eie	अपना	ein	PRO;NOM;FEM	N;INDF;MASC;SG
अपनी	egen	अपना	eigen	PRO;NOM;FEM	N;INDF;MASC;SG
दो	two	दो	Two	NUM	
जब	when	जब	when	PRO;NOM	
जब	når	जब	når	PRO;NOM	ADV
उन्होंने	de	वह	de	PRO;SG;3;FORM	PRO;HUM;NOM;PL;2
उन्होंने	they	वह	they	PRO;SG;3;FORM	N
उन्होंने	egypterne	वह	egypterne	PRO;SG;3;FORM	ADJ;PL
जन्म	born	जन्म	barn	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
जन्म	født	जन्म	føde	N;NOM;MASC;SG;3	ADJ;INDF;SG;V.PTCP
कोई	koi	कोई	koi	PRO;NOM;SG;3	N;INDF;MASC;SG
कोई	noen	कोई	noen	PRO;NOM;SG;3	
कोई	any	कोई	any	PRO;NOM;SG;3	N;SG
इन	vertshus	यह	vertshus	DET;ACC;PL;3	N;INDF;NEUT;SG
इन	kro	यह	kro	DET;ACC;PL;3	N;INDF;NEUT;SG
ये	this	यह	this	PRO;NOM;PL;3	
ये	dette	यह	dette	PRO;NOM;PL;3	PRO;NEUT;SG;3
ये	denne	यह	denne	PRO;NOM;PL;3	PRO;SG;3
ये	detta	यह	dette	PRO;NOM;PL;3	PRO;NEUT;SG;3
ये	disse	यह	disse	PRO;NOM;PL;3	N;INDF;NEUT;SG
कम	lavmål	कम	lavmål	DET	N;INDF;NEUT;SG
कम	lav	कम	lav	DET	N;INDF;NEUT;SG
कम	lavt	कम	levje	DET	ADJ;INDF;NEUT;SG
कम	low	कम	low	DET	N;INDF;NEUT;SG
कम	lave	कम	lave	DET	N;INDF;NEUT;SG
कम	færre	कम	få	DET	ADJ;CMPR
कम	færre	कम	få	DET	ADJ;CMPR
कम	less	कम	less	DET	
कम	mindre	कम	liten	DET	ADJ;CMPR
कहा	sakt	कह	sakt	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	N
कहा	sagt	कह	seie	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
लोग	mennesker	लोग	menneske	N;NOM;MASC;PL;3	N;INDF;MASC;SG
आदि	etc	आदि	etc.	PART	ADV
आदि	osv	आदि	osv.	PART	ADV
आदि	fleire	आदि	mange	PART	ADJ;CMPR
आदि	fler	आदि	fler	PART	N;INDF;NEUT;SG
आदि	flere	आदि	flere	PART	
आदि	mer	आदि	mer	PART	N;INDF;MASC;SG
आदि	meir	आदि	mykje	PART	ADJ;CMPR
आदि	mere	आदि	mere	PART	N;INDF;MASC;SG
आदि	adi	आदि	adi	PART	PROPN
उसके	hennes	वह	hennes	PRO;MASC;SG;3	N;INDF;MASC;SG
उसके	henne	वह	ho	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
प्राचीन	antikkens	प्राचीन	antikk	ADJ;NOM	N;GEN;DEF;MASC;SG
प्राचीन	eldgammel	प्राचीन	eldgammel	ADJ;NOM	N;INDF;MASC;SG
प्राचीन	oldtidens	प्राचीन	oldtid	ADJ;NOM	N;GEN;DEF;MASC;SG
प्राचीन	pretor	प्राचीन	pretor	ADJ;NOM	N;INDF;MASC;SG
देखें	watch	देख	watch	V;SBJV;PL;FIN;ACT	N;INDF;MASC;SG
देखें	skjønner	देख	skjønne	V;SBJV;PL;FIN;ACT	V;IND;PRS;FIN
देखें	see	देख	see	V;SBJV;PL;FIN;ACT	N;INDF;SG
देखें	se	देख	se	V;SBJV;PL;FIN;ACT	
देखें	sjå	देख	sjå	V;SBJV;PL;FIN;ACT	V;IMP;FIN
देखें	visning	देख	visning	V;SBJV;PL;FIN;ACT	N;INDF;FEM;SG
देखें	utsikt	देख	utsikt	V;SBJV;PL;FIN;ACT	N;INDF;MASC;SG
देखें	vis	देख	vis	V;SBJV;PL;FIN;ACT	N;INDF;NEUT;SG
उत्तर	svar	उत्तर	svar	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
उत्तर	svare	उत्तर	svare	PROPN;NOM;MASC;SG;3	V;IMP;NFIN
उत्तर	nordover	उत्तर	nordov	PROPN;NOM;MASC;SG;3	ADP
उत्तर	north	उत्तर	north	PROPN;NOM;MASC;SG;3	PROPN
उत्तर	nord	उत्तर	nord	PROPN;NOM;MASC;SG;3	ADP
उत्तर	svar	उत्तर	svar	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
उत्तर	svarene	उत्तर	svare	PROPN;NOM;MASC;SG;3	N;DEF;FEM;PL
लिये	for	ले	for	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	alle	सब	alle	PRO;NOM;3	PRO;PL;3
सभी	all	सब	all	PRO;NOM;3	DET;MASC;SG
प्राप्त	fås	प्राप्त	fås	ADJ	N;INDF;MASC;SG
प्राप्त	mottok	प्राप्त	motta	ADJ	V;IND;PST;FIN
प्राप्त	mottatte	प्राप्त	motta	ADJ	N;INDF;FEM;SG
प्राप्त	motta	प्राप्त	motta	ADJ	N;INDF;MASC;SG
प्राप्त	mottar	प्राप्त	motte	ADJ	V;IND;PRS;FIN
इसका	dets	यह	det	PRO;MASC;SG;3	N;INDF;NEUT;SG
इसका	sine	यह	sin	PRO;MASC;SG;3	PRO;PL
इसका	its	यह	its	PRO;MASC;SG;3	
प्रयोग	eksperimenter	प्रयोग	eksperimenter	N;NOM;MASC;SG;3	N;INDF;FEM;PL
शामिल	innblandet	शामिल	innbland	ADJ	N;DEF;NEUT;SG
शामिल	inkluderer	शामिल	inkludere	ADJ	V;IND;PRS;FIN
शामिल	omfatter	शामिल	omfatter	ADJ	V;IND;PRS;FIN
शामिल	inkluderes	शामिल	inkluderes	ADJ	V;FIN
शामिल	inkluderte	शामिल	inkludere	ADJ	V;IND;PST;FIN
शामिल	inkluderer	शामिल	inkludere	ADJ	V;IND;PRS;FIN
शामिल	inkluder	शामिल	inklude	ADJ	N;INDF;MASC;PL
शामिल	inkludere	शामिल	inkludere	ADJ	V;NFIN
उन्हें	them	वह	them	PRO;SG;3;FORM	
उन्हें	dem	वह	dem	PRO;SG;3;FORM	
उस	det	वह	det	DET;ACC;SG;3	PRO;NEUT;SG;3
उस	at	वह	at	DET;ACC;SG;3	CONJ
स्थान	stader	स्थान	stad	N;NOM;MASC;SG;3	N;INDF;MASC;PL
स्थान	steder	स्थान	stede	N;NOM;MASC;SG;3	N;INDF;MASC;PL
स्थान	plasseringer	स्थान	plasseringe	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्थान	steder	स्थान	stede	N;NOM;MASC;SG;3	N;INDF;MASC;PL
स्थान	sted	स्थान	stå	N;NOM;MASC;SG;3	
स्थान	sted	स्थान	stå	N;NOM;MASC;SG;3	
प्रमुख	avdelingsleder	प्रमुख	avdelingslede	N;NOM;MASC;SG;3	N;INDF;FEM;PL
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	N
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
बीच	stranda	बीच	strand	ADV;NOM;MASC;SG;3	N;DEF;FEM;SG
बीच	strand	बीच	strand	ADV;NOM;MASC;SG;3	N;INDF;FEM;SG
बीच	sentrum	बीच	sentrum	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
बीच	center	बीच	cente	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
बीच	senter	बीच	senter	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
गए	gone	जा	gone	V;PFV;MASC;PL;V.PTCP;ACT	N;INDF;SG
गए	borte	जा	borte	V;PFV;MASC;PL;V.PTCP;ACT	ADP
मुख्य	høvding	मुख्य	høvding	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
मुख्य	hoved	मुख्य	hoved	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बिहार	bihar	बिहार	bih	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
उसे	ham	वह	ham	PRO;SG;3	N;INDF;MASC;SG
उसे	him	वह	him	PRO;SG;3	N
उसे	hennes	वह	hennes	PRO;SG;3	N;INDF;MASC;SG
उसे	henne	वह	ho	PRO;SG;3	PRO;ACC;FEM;SG;3
कार्य	oppgaver	कार्य	oppgave	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कार्य	arbeide	कार्य	arbeide	N;NOM;MASC;SG;3	V;NFIN
कार्य	jobbe	कार्य	jobbe	N;NOM;MASC;SG;3	V;NFIN
कार्य	jobber	कार्य	jobbe	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कार्य	jobber	कार्य	jobbe	N;NOM;MASC;SG;3	N;INDF;FEM;PL
उनकी	sine	वह	sin	PRO;FEM;SG;3;FORM	PRO;PL
उनकी	deres	वह	deres	PRO;FEM;SG;3;FORM	N;INDF;MASC;SG
आंध्र	andhra	आंध्र	andhr	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
आंध्र	andra	आंध्र	annan	PROPN;NOM;MASC;SG;3	ADV
नगर	town	नगर	town	N;NOM;MASC;SG;3	PROPN
उपयोग	bruke	उपयोग	bruke	N;NOM;MASC;SG;3	V;NFIN
उपयोग	bruker	उपयोग	bruke	N;NOM;MASC;SG;3	V;IND;PRS;FIN
लोगों	mennesker	लोग	menneske	N;ACC;MASC;PL;3	N;INDF;MASC;SG
काम	arbeide	काम	arbeide	N;NOM;MASC;SG;3	V;NFIN
काम	jobbe	काम	jobbe	N;NOM;MASC;SG;3	V;NFIN
काम	jobber	काम	jobbe	N;NOM;MASC;SG;3	N;INDF;FEM;PL
विश्व	verdens	विश्व	verd	N;NOM;MASC;SG;3	N;GEN;DEF;MASC;SG
विश्व	verden	विश्व	verden	N;NOM;MASC;SG;3	
भाग	deler	भाग	del		N;INDF;MASC;PL
भाग	seksjon	भाग	seksjon		N;INDF;MASC;SG
भाग	seksjoner	भाग	seksjon		N;INDF;MASC;SG
भाग	del	भाग	dele		V;IMP;FIN
भाग	delene	भाग	del		N;DEF;FEM;PL
भाग	deler	भाग	del		N;INDF;MASC;PL
निर्माण	bygg	निर्माण	bygg	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
दोनों	både	दो	både	N;ACC;MASC;PL;3	CONJ
दोनों	begge	दो	begge	N;ACC;MASC;PL;3	PRO;PL;3
राष्ट्रीय	nasjonale	राष्ट्रीय	nasjonal	PROPN;NOM;MASC;SG;3	ADJ;PL
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
राष्ट्रीय	nasjonal	राष्ट्रीय	nasjonal	PROPN;NOM;MASC;SG;3	ADJ;INDF;SG
राष्ट्रीय	nasjonalt	राष्ट्रीय	nasjonal	PROPN;NOM;MASC;SG;3	ADJ;INDF;NEUT;SG
जानकारी	opplysninger	जानकारी	opplysninger	N;NOM;FEM;SG;3	N;INDF;FEM;PL
शहर	byer	शहर	by	N;NOM;MASC;SG;3	N;INDF;FEM;PL
बार	takter	बार	takt	N;NOM;FEM;SG;3	N;INDF;FEM;PL
बार	streker	बार	streke	N;NOM;FEM;SG;3	N;INDF;FEM;PL
बार	barer	बार	bare	N;NOM;FEM;SG;3	N;INDF;FEM;PL
बार	bar	बार	bere	N;NOM;FEM;SG;3	V;IND;PST;FIN
बार	tidspunkter	बार	tidspunkt	N;NOM;FEM;SG;3	N;INDF;FEM;PL
बार	tider	बार	tid	N;NOM;FEM;SG;3	N;INDF;FEM;PL
बार	tidene	बार	tid	N;NOM;FEM;SG;3	N;DEF;FEM;PL
बार	ganger	बार	gange	N;NOM;FEM;SG;3	N;INDF;MASC;PL
बार	times	बार	time	N;NOM;FEM;SG;3	N;GEN;INDF;MASC;SG
लगभग	almost	लगभग	almost	PART	N
लगभग	nesten	लगभग	nesten	PART	ADV
लगभग	omtrent	लगभग	omtrent	PART	ADV
लगभग	cirka	लगभग	cirka	PART	ADV
यहाँ	her	यहाँ	her	PRO;NOM	ADV
केवल	berre	केवल	berre	PART	ADV
केवल	only	केवल	only	PART	
केवल	bare	केवल	bare	PART	ADV
केवल	kun	केवल	kun	PART	N;INDF;NEUT;SG
देश	landene	देश	land	N;NOM;MASC;SG;3	N;DEF;FEM;PL
अलग	atskilt	अलग	atskilje	ADJ	N;INDF;NEUT;SG
अलग	annerledes	अलग	annerledes	ADJ	N;INDF;MASC;SG
अलग	skill	अलग	skill	ADJ	N;INDF;MASC;SG
अलग	atskilt	अलग	atskilje	ADJ	N;INDF;NEUT;SG
अलग	skille	अलग	skille	ADJ	N;INDF;MASC;SG
विशेष	exclusive	विशेष	exclusiv	ADJ;NOM	N;INDF
विशेष	special	विशेष	special	ADJ;NOM	N;INDF;MASC;SG
विशेष	spesial	विशेष	spesial	ADJ;NOM	N;INDF;MASC;SG
इसकी	dets	यह	det	PRO;FEM;SG;3	N;INDF;NEUT;SG
इसकी	sine	यह	sin	PRO;FEM;SG;3	PRO;PL
इसकी	its	यह	its	PRO;FEM;SG;3	
कभी	noensinne	कभी	noensinne	PRO	N;INDF;SG
कभी	ever	कभी	ever	PRO	
दी	gitt	दे	gi	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
दी	ga	दे	gi	V;PFV;FEM;SG;V.PTCP;ACT	N;INDF;NEUT;SG
पृष्ठ	siden	पृष्ठ	siden	N;NOM;MASC;SG;3	
पृष्ठ	sidene	पृष्ठ	side	N;NOM;MASC;SG;3	N;DEF;FEM;PL
पृष्ठ	sider	पृष्ठ	side	N;NOM;MASC;SG;3	N;INDF;FEM;PL
माना	vurdert	मान	vurdere	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
माना	mana	मान	mane	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
माना	angivelig	मान	angivelig	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG
माना	visstnok	मान	visstnok	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
शब्द	ord	शब्द	ord	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
शब्द	ord	शब्द	ord	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
शब्द	orda	शब्द	ord	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
तीन	three	तीन	three	NUM	N
पुरस्कार	belønner	पुरस्कार	belønne	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पुरस्कार	belønninger	पुरस्कार	belønninger	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पुरस्कार	priser	पुरस्कार	prise	N;NOM;MASC;SG;3	N;INDF;FEM;PL
लेख	artikler	लेख	artikke	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अब	now	अब	now	PRO;NOM	N;INDF;MASC;SG
अब	nå	अब	nå	PRO;NOM	ADV
अमेरिका	amerika	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अमेरिका	america	अमेरिका	america	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अलावा	tilskudd	अलावा	tilskudd	ADP	N;INDF;FEM;SG
अलावा	tillegg	अलावा	tillegg	ADP	N;INDF;NEUT;SG
अलावा	bortsett	अलावा	bortsedd	ADP	ADJ;INDF;NEUT;SG
दक्षिण	syd	दक्षिण	syd	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
दक्षिण	syden	दक्षिण	syde	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
दक्षिण	sør	दक्षिण	sør	PROPN;NOM;MASC;SG;3	ADP
दक्षिण	south	दक्षिण	south	PROPN;NOM;MASC;SG;3	PROPN
लिया	tatt	ले	ta	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
क्योंकि	because	क्योंकि	because	CONJ	N;INDF;SG
पास	bestå	पास	bestå	ADV;NOM;MASC;SG;3	V;IMP;FIN
पास	pasning	पास	pasning	ADV;NOM;MASC;SG;3	N;INDF;FEM;SG
विस्तृत	utdype	विस्तृत	utdype	ADJ	N;INDF;NEUT;SG
विस्तृत	advanced	विस्तृत	advanced	ADJ	N
दिन	dager	दिन	dag	N;NOM;MASC;SG;3	N;INDF;FEM;PL
दिन	dagene	दिन	dag	N;NOM;MASC;SG;3	N;DEF;FEM;PL
शुरू	begynte	शुरू	begynne	N;NOM;MASC;SG;3	V;IND;PST;FIN
शुरू	begynt	शुरू	begynne	N;NOM;MASC;SG;3	ADJ;INDF;NEUT;SG;V.PTCP
शुरू	starta	शुरू	starte	N;NOM;MASC;SG;3	ADJ;INDF;SG;V.PTCP
शुरू	begynne	शुरू	begynne	N;NOM;MASC;SG;3	V;NFIN
