den	de	den	de	PRO;DEF;MASC+FEM;SG	PRO;NOM;PL;3
ett	en	en	en	NUM;NOM;INDF;NEUT;SG	PRO;MASC+FEM;SG
ett	én	en	en	NUM;NOM;INDF;NEUT;SG	PRO;MASC+FEM;SG
över	over	över	over	ADP	ADV
över	derover	över	derover	ADP	ADV
över	slut	över	slut	ADP	N
familjen	familie	familj	familie	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
familjen	family	familj	family	N;NOM;DEF;MASC+FEM;SG	
för	til	för	til	ADP	ADV
inga	ingen	ingen	ingen	PRO;INDF;PL	PRO;MASC+FEM;SG
inga	inga	ingen	inga	PRO;INDF;PL	
delen	del	del	del	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
släktet	slægter	släkte	slægte	N;NOM;DEF;NEUT;SG	N;INDF;MASC+FEM;PL
släktet	slægt	släkte	slægge	N;NOM;DEF;NEUT;SG	N;INDF;MASC+FEM;SG
life	livet	life	liv	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	
listade	anført	lisa	anføre	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
listade	opført	lisa	opføre	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
listade	angivet	lisa	angive	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
landet	land	land	land	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
landet	lande	land	land	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;PL
meter	måler	meter	måle	N;NOM;INDF;MASC+FEM;PL	V;IND;PRS;FIN;ACT
huvudstaden	capitol	huvudstad	capitol	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
huvudstaden	hovedstad	huvudstad	hovedstad	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
huvudstaden	kapital	huvudstad	kapital	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
havet	søs	hav	søs	N;NOM;DEF;NEUT;SG	N;INDF;MASC+FEM;SG
havet	sea	hav	sea	N;NOM;DEF;NEUT;SG	
havet	hav	hav	hav	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
havet	hav	hav	hav	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
havet	ocean	hav	ocean	N;NOM;DEF;NEUT;SG	
invånare	indbyggerne	invånare	indbygger	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC+FEM;PL
invånare	fastboende	invånare	fastboende	N;NOM;INDF;MASC+FEM;PL	V;PRS;V.PTCP
invånare	bosiddende	invånare	bosidde	N;NOM;INDF;MASC+FEM;PL	ADJ
invånare	borgerne	invånare	borger	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC+FEM;PL
genomsnitt	gennemsnitlige	genomsnitt	gennemsnitlig	N;NOM;INDF;NEUT;SG	ADJ;PL
genomsnitt	gennemsnitlig	genomsnitt	gennemsnitlig	N;NOM;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG
genomsnittlig	gennemsnitlige	genomsnittlig	gennemsnitlig	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;PL
genomsnittlig	gennemsnit	genomsnittlig	gennemsnit	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
var	var	var	være	PRO;INDF;MASC+FEM;SG	V;IND;PST;FIN;ACT
var	blev	var	blive	PRO;INDF;MASC+FEM;SG	V;IND;PST;FIN;ACT
var	var	var	være	PRO;INDF;MASC+FEM;SG	V;IND;PST;FIN;ACT
var	hvor	var	hvor	PRO;INDF;MASC+FEM;SG	ADV
per	per	per	per	ADP	
vattendrag	floder	vattendrag	flode	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;PL
vattendrag	floderne	vattendrag	flod	N;NOM;INDF;NEUT;SG	N;DEF;MASC+FEM;PL
vattendrag	rivers	vattendrag	rive	N;NOM;INDF;NEUT;SG	N;GEN;INDF;MASC+FEM;PL
från	fra	från	fra	ADP	ADV
kanada	canada	kanad	canada	PROPN;NOM	
provinsen	provins	provins	provins	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
närheten	nærhed	närhet	nærhed	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
högsta	supreme	hög	suprem	ADJ;NOM;DEF;RL	
högsta	maksimum	hög	maksimum	ADJ;NOM;DEF;RL	N;INDF;NEUT;SG
högsta	maksimalt	hög	maksimalt	ADJ;NOM;DEF;RL	ADV
kan	kunne	kunna	kunne	V;IND;PRS;FIN;ACT	V;IND;PST;FIN;ACT
kan	ku	kunna	ku	V;IND;PRS;FIN;ACT	ADJ;INDF;NEUT;SG
kan	kan	kunna	kunne	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
kan	can	kunna	cinke	V;IND;PRS;FIN;ACT	
länkar	link	länka	link	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
länkar	links	länka	links	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
även	selv	även	selv	ADV	PRO
under	under	under	under	ADP	ADV
lake	søen	lake	søe	N;NOM;INDF;NEUT;SG	N;DEF;MASC+FEM;SG
sjö	søen	sjö	søe	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
sjö	sea	sjö	sea	N;NOM;INDF;MASC+FEM;SG	
sjö	havet	sjö	hav	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
inte	ikke	inte	ikke	PART;NEG	ADV
inte	not	inte	not	PART;NEG	
inte	ej	inte	ej	PART;NEG	ADV
kommun	kommunen	kommun	kommune	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
kommun	kommun	kommun	kommun	N;NOM;INDF;MASC+FEM;SG	
lac	lac	lac	lac	V;IMP;FIN;ACT	
terrängen	terræn	terräng	terræn	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
long	lang	long	lang	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
long	lange	long	lang	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
long	længe	long	længe	N;NOM;INDF;MASC+FEM;SG	ADV
lat	dovne	lat	dovne	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
lat	doven	lat	dov	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
växer	dyrkning	växa	dyrkning	V;IND;PRS;FIN;ACT	N;INDF;MASC+FEM;SG
många	mange	mången	mange	PRO;INDF;PL	ADJ;PL
efter	efter	efter	efter	ADP	ADV
nära	luk	nära	luk	ADV	V;IMP
nära	nær	nära	nær	ADV	ADJ;INDF;MASC+FEM;SG
provins	provinsen	provins	provins	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
öster	østpå	öster	østpå	N;NOM;INDF;MASC+FEM;SG	ADV
först	første	först	første	ADV	ADJ
berg	bjerget	berg	bjerge	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
berg	mountain	berg	mountain	N;NOM;INDF;NEUT;SG	
berg	berg	berg	berg	N;NOM;INDF;NEUT;SG	
berg	bjergene	berg	bjerg	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;PL
berg	bjerge	berg	bjerg	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
indonesien	indonesien	indonesien	indonesie	PROPN;NOM	
usa	usa	usa	usa	PROPN;NOM	PROPN
mars	marchere	mars	marcher	N;NOM;INDF;MASC+FEM;SG	V;NFIN;ACT
mindre	mindreårige	lite	mindreårig	ADV;CMPR	ADJ;PL
mindre	mindreårig	lite	mindreårig	ADV;CMPR	ADJ;INDF;MASC+FEM;SG
mindre	færre	lite	få	ADV;CMPR	ADJ;CMPR;PL
norr	nordpå	norr	nordpå	N;NOM;INDF;MASC+FEM;SG	ADV
norr	nordlige	norr	nordlig	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
man	mennesket	man	menneske	PRO;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
man	mand	man	mand	PRO;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
man	manden	man	mand	PRO;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
större	majoren	stor	major	ADJ;NOM;CMPR	N;DEF;MASC+FEM;SG
större	major	stor	major	ADJ;NOM;CMPR	
centrala	central	central	central	ADJ;NOM;PL	N;INDF;MASC+FEM;SG
centrala	centralt	central	centralt	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
nordväst	nordvestlige	nordväst	nordvestlig	ADV	ADJ;PL
nordväst	nordvest	nordväst	nordvest	ADV	N;INDF
andra	sekund	annan	sekund	PRO;INDF;PL	N;INDF;NEUT;SG
andra	andet	annan	anden	PRO;INDF;PL	PRO;NEUT;SG
andra	anden	annan	anden	PRO;INDF;PL	PRO;MASC+FEM;SG
andra	andet	annan	anden	PRO;INDF;PL	PRO;NEUT;SG
nordost	nø	nordost	nø	ADV	N;INDF;MASC+FEM;SG
nordost	nordøstlige	nordost	nordøstlig	ADV	ADJ;PL
nordost	nordøst	nordost	nordøst	ADV	N;INDF;SG
county	amtet	county	amt	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
nog	nog	nog	nog	ADV	
ovanligt	usædvanlige	ovanlig	usædvanlig	ADJ;NOM;INDF;NEUT;SG	ADJ;PL
namngivna	opkaldt	namngiven	opkalde	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
namngivna	navngivet	namngiven	navngivet	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
söder	sydpå	söder	sydpå	N;NOM;INDF;MASC+FEM;SG	ADV
söder	sydlige	söder	sydlig	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
mycket	meget	mycket	meget	ADV	ADJ;INDF;SG
mycket	much	mycket	much	ADV	
mycket	meget	mycket	meget	ADV	ADJ;INDF;SG
jpg	jpg	jpg	jpg	N	
regionen	region	region	region	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
ottawa	ottawa	ottal	ottawa	PROPN;NOM	
creek	creek	creek	creek	N;NOM;INDF;NEUT;SG	
ganska	rimelig	ganska	rimelig	ADV	ADJ;INDF;MASC+FEM;SG
närmaste	nærmest	nära	nærmest	ADJ;NOM;DEF;RL	ADV;RL
närmaste	nærmest	nära	nærmest	ADJ;NOM;DEF;RL	ADV;RL
maj	may	maj	may	N;NOM;INDF;MASC+FEM;SG	
maj	kan	maj	kunne	N;NOM;INDF;MASC+FEM;SG	V;IND;PRS;FIN;ACT
cest	cest	cest	cest		
platt	platt	platt	platt	ADV	N;INDF;MASC+FEM;SG
platt	flad	platt	flad	ADV	ADJ;INDF;MASC+FEM;SG
platt	lejlighed	platt	lejlighed	ADV	N;INDF;MASC+FEM;SG
platt	flade	platt	flad	ADV	ADJ;PL
född	born	född	born	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	
född	fødte	född	føde	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
född	født	född	føde	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
finland	finland	finland	finland	PROPN;NOM	
finland	finlands	finland	finland	PROPN;NOM	N;GEN;INDF;NEUT;SG
samhälle	society	samhälle	society	N;NOM;INDF;NEUT;SG	
samhälle	samfundet	samhälle	samfund	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
samhälle	fællesskabet	samhälle	fællesskab	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
består	sammensat	bestå	sammensætte	V;IND;PRS;FIN;ACT	V;INDF;SG;PST;V.PTCP
första	først	en	først	ADJ;NOM	ADV
fick	har	få	have	V;IND;PST;FIN;ACT	V;IND;PRS;FIN;ACT
fick	got	få	got	V;IND;PST;FIN;ACT	
fick	modtages	få	modtage	V;IND;PST;FIN;ACT	V;NFIN;PASS
sydväst	sydvestlige	sydväst	sydvestlig	ADV	ADJ;PL
sydväst	sydvest	sydväst	sydvest	ADV	N;INDF
området	areal	område	areal	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
området	område	område	område	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
australien	australiens	australien	australie	PROPN;NOM	N;GEN;DEF;MASC+FEM;SG
australien	australien	australien	australie	PROPN;NOM	PROPN
sydöstra	sydøstlige	sydöstra	sydøstlig	ADJ;NOM;DEF;SG	ADJ;PL
sydöstra	sydøst	sydöstra	sydøst	ADJ;NOM;DEF;SG	N;INDF
sydost	sydøstlige	sydost	sydøstlig	ADV	ADJ;PL
sydost	sydøst	sydost	sydøst	ADV	N;INDF
hans	hans	han	hans	PRO;DEF	DET;3
hans	hans	han	hans	PRO;DEF	DET;3
södra	sydlige	södra	sydlig	ADJ;NOM;DEF;SG	ADJ;PL
södra	sydpå	södra	sydpå	ADJ;NOM;DEF;SG	ADV
södra	sydlige	södra	sydlig	ADJ;NOM;DEF;SG	ADJ;PL
södra	syd	södra	syd	ADJ;NOM;DEF;SG	N;INDF
södra	södra	södra	södra	ADJ;NOM;DEF;SG	
toppen	fantastisk	topp	fantastisk	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;SG
toppen	fedt	topp	fedt	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
toppen	stor	topp	stor	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
toppen	skønt	topp	skøn	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
toppen	herligt	topp	herlig	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
toppen	øverst	topp	øverst	N;NOM;DEF;MASC+FEM;SG	ADJ;RL
toppen	øverste	topp	øvre	N;NOM;DEF;MASC+FEM;SG	ADJ;DEF;RL
toppen	top	topp	top	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
sverige	sveriges	sverige	sverig	PROPN;NOM	N;GEN;INDF;MASC+FEM;PL
sverige	sverige	sverige	sverig	PROPN;NOM	ADJ;PL
östra	east	östra	east	ADJ;NOM;DEF;SG	N;INDF;MASC+FEM;SG
östra	østpå	östra	østpå	ADJ;NOM;DEF;SG	ADV
östra	øst	östra	øst	ADJ;NOM;DEF;SG	N;INDF
östra	østlig	östra	østlig	ADJ;NOM;DEF;SG	ADJ;INDF;MASC+FEM;SG
östra	øst	östra	øst	ADJ;NOM;DEF;SG	N;INDF
östra	østlige	östra	østlig	ADJ;NOM;DEF;SG	ADJ;PL
cet	cet	cet	cet		
genom	gennem	genom	gennem	ADP	ADV
genom	igennem	genom	igennem	ADP	ADV
sitt	sidde	sig	sidde	PRO;DEF;NEUT;SG	V;NFIN;ACT
norra	nordpå	norra	nordpå	ADJ;NOM;DEF;SG	ADV
norra	nordlige	norra	nordlig	ADJ;NOM;DEF;SG	ADJ;PL
norra	north	norra	north	ADJ;NOM;DEF;SG	N;INDF;MASC+FEM;SG
norra	nord	norra	nord	ADJ;NOM;DEF;SG	N;INDF
norra	nordlige	norra	nordlig	ADJ;NOM;DEF;SG	ADJ;PL
norra	nordlig	norra	nordlig	ADJ;NOM;DEF;SG	ADJ;INDF;MASC+FEM;SG
talet	tale	tal	tale	N;NOM;DEF;NEUT;SG	N;INDF;MASC+FEM;SG
talet	indlæg	tal	indlæg	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
mot	mod	mot	mod	ADP	N;INDF;NEUT;SG
mot	imod	mot	imod	ADP	ADV
mot	mod	mot	mod	ADP	N;INDF;NEUT;SG
mot	mot	mot	mot	ADP	
västra	west	onstra	west	ADJ;NOM;DEF;SG	N;INDF;MASC+FEM;SG
västra	vest	onstra	vest	ADJ;NOM;DEF;SG	N;INDF
västra	vestpå	onstra	vestpå	ADJ;NOM;DEF;SG	N;INDF
västra	vestlig	onstra	vestlig	ADJ;NOM;DEF;SG	ADJ;INDF;MASC+FEM;SG
västra	vest	onstra	vest	ADJ;NOM;DEF;SG	N;INDF
västra	western	onstra	western	ADJ;NOM;DEF;SG	N;INDF;MASC+FEM;SG
västra	vestligt	onstra	vestligt	ADJ;NOM;DEF;SG	ADJ;INDF;NEUT;SG
västra	vestlige	onstra	vestlig	ADJ;NOM;DEF;SG	ADJ;PL
riktning	retningen	riktning	retning	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
namn	navne	namn	navn	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
namn	betegnelser	namn	betegnelse	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;PL
bland	iblandt	bland	iblandt	ADP	ADV
bland	iblandt	bland	iblandt	ADP	ADV
vilket	hvilket	vilken	hvilken	PRO;INDF;NEUT;SG	PRO;NEUT;SG
vilket	hvilken	vilken	hvilken	PRO;INDF;NEUT;SG	PRO;MASC+FEM;SG
vilket	hvilke	vilken	hvilken	PRO;INDF;NEUT;SG	PRO;PL
svenska	svensker	svensk	svensker	ADJ;NOM;PL	N;INDF;MASC+FEM;SG
svenska	svensk	svensk	svensk	ADJ;NOM;PL	N;INDF;NEUT;SG
svenska	svenska	svensk	svenska	ADJ;NOM;PL	N;INDF;NEUT;SG
mellan	imellem	mellan	imellem	ADP	ADV
svensk	svenske	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
svensk	svenskeren	svensk	svensker	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
när	når	när	når	ADV	CONJ
cerro	cerro	cerro	cerro	N;NOM;INDF;MASC+FEM;SG	
frankrike	frankrig	frankrike	frankrig	PROPN;NOM	
frankrike	france	frankrike	france	PROPN;NOM	
död	death	död	death	N;NOM;INDF;MASC+FEM;SG	
död	døden	död	død	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
död	dødsfald	död	dødsfald	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;PL
död	dødt	död	død	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
död	døde	död	død	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
död	dead	död	dead	N;NOM;INDF;MASC+FEM;SG	
kulle	bakken	kulle	bakke	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
kulle	hill	kulle	hill	N;NOM;INDF;MASC+FEM;SG	
kina	porcelæn	kina	porcelæn	PROPN;NOM	N;INDF;MASC+FEM;SG
kina	china	kina	china	PROPN;NOM	
kina	kina	kina	kina	PROPN;NOM	PROPN
kina	kina	kina	kina	PROPN;NOM	PROPN
kommunen	kommune	kommun	kommune	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
kommunen	kommun	kommun	kommun	N;NOM;DEF;MASC+FEM;SG	
klimatet	klima	klimate	klima	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
est	est	est	est	PROPN;NOM	
jordbruksmark	landbrugsjord	jordbruksmark	landbrugsjord	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
text	teksten	text	tekst	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
annat	andre	annan	anden	PRO;INDF;NEUT;SG	PRO;PL
annat	andet	annan	anden	PRO;INDF;NEUT;SG	PRO;NEUT;SG
edt	edt	edt	edt	NUM;NOM	
skulle	ville	skola	ville	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
inom	indenfor	inom	indenfor	ADP	ADV
departementet	afdeling	departement	afdeling	N;NOM;DEF;NEUT;SG	N;INDF;MASC+FEM;SG
departementet	departement	departement	departement	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
tropiskt	tropiske	tropisk	tropisk	ADJ;NOM;INDF;NEUT;SG	ADJ;PL
park	parkere	park	park	N;NOM;INDF;MASC+FEM;SG	V;NFIN;ACT
park	parken	park	park	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
hill	bakken	hill	bakke	PROPN;NOM	N;DEF;MASC+FEM;SG
hill	bakke	hill	bakke	PROPN;NOM	N;INDF;MASC+FEM;SG
hill	hill	hill	hill	PROPN;NOM	
flera	adskillige	flera	adskillig	PRO;INDF;PL	ADJ;PL
flera	flere	flera	mange	PRO;INDF;PL	ADJ;CMPR;PL
flera	adskillige	flera	adskillig	PRO;INDF;PL	ADJ;PL
flera	flere	flera	mange	PRO;INDF;PL	ADJ;CMPR;PL
periodiskt	periodiske	periodisk	periodisk	ADJ;NOM;INDF;NEUT;SG	ADJ;PL
periodiskt	periodisk	periodisk	periodisk	ADJ;NOM;INDF;NEUT;SG	ADV
periodiskt	periodisk	periodisk	periodisk	ADJ;NOM;INDF;NEUT;SG	ADV
nord	nordpå	nord	nordpå	PROPN;NOM	ADV
nord	nordlige	nord	nordlig	PROPN;NOM	ADJ;PL
nord	north	nord	north	PROPN;NOM	N;INDF;MASC+FEM;SG
nord	nord	nord	nord	PROPN;NOM	N;INDF
nord	nord	nord	nord	PROPN;NOM	N;INDF
stockholm	stockholm	stockholm	stockholm	PROPN;NOM	N;INDF;NEUT;SG
alla	alle	all	al	PRO;INDF;PL	ADJ;PL
alla	alt	all	al	PRO;INDF;PL	ADJ;NEUT;SG
alla	alle	all	al	PRO;INDF;PL	ADJ;PL
samma	samme	samma	samme	DET;INDF	ADJ
olika	forskelligt	olik	forskelligt	ADJ;NOM;PL	ADV
olika	forskellig	olik	forskellig	ADJ;NOM;PL	ADJ;INDF;MASC+FEM;SG
point	peg	point	peg	N;NOM;INDF;MASC+FEM;SG	
ort	city	ort	city	N;NOM;INDF;MASC+FEM;SG	
ort	byen	ort	by	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
nya	ny	ny	ny	ADJ;NOM;PL	ADJ;INDF;MASC+FEM;SG
nya	nyt	ny	ny	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
island	island	island	island	PROPN;NOM	
island	islands	island	islands	PROPN;NOM	N;INDF;MASC+FEM;SG
sjön	sø	sjö	sø	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
sjön	lake	sjö	lake	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
tidigare	foregående	tidig	foregående	ADV;CMPR	ADJ
tidigare	forrige	tidig	forrige	ADV;CMPR	ADJ
tidigare	forudgående	tidig	forudgående	ADV;CMPR	ADJ
brasilien	brasilien	brasili	brasilie	PROPN;NOM	N;DEF;MASC+FEM;SG
brasilien	brasiliens	brasili	brasilie	PROPN;NOM	N;GEN;DEF;MASC+FEM;SG
colombia	columbia	colombia	columbia	PROPN;NOM	N;INDF;NEUT;SG
colombia	colombia	colombia	colombia	PROPN;NOM	
colombia	colombias	colombia	colombias	PROPN;NOM	
colombia	columbia	colombia	columbia	PROPN;NOM	N;INDF;NEUT;SG
colombia	colombia	colombia	colombia	PROPN;NOM	
utan	uden	utan	uden	ADP	ADV
socken	pagasts	socken	pagasts	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
sina	deres	sig	deres	PRO;DEF;PL	DET;3
score	score	score	score	N;NOM;INDF;MASC+FEM;SG	V;NFIN;ACT
spanien	spanien	spani	spanie	PROPN;NOM	PROPN
boreala	boreale	boreal	boreal	ADJ;NOM;DEF;SG	
mount	mount	mount	mount	PROPN;NOM	
mount	montere	mount	mont	PROPN;NOM	V;NFIN;ACT
kom	kom	komma	komme	V;IMP;FIN;ACT	V;IND;PST;FIN;ACT
kom	kom	komma	komme	V;IMP;FIN;ACT	V;IND;PST;FIN;ACT
stora	large	stor	large	ADJ;NOM;PL	
stora	stor	stor	stor	ADJ;NOM;PL	ADJ;INDF;MASC+FEM;SG
stora	stort	stor	stor	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
stora	big	stor	big	ADJ;NOM;PL	
stora	stor	stor	stor	ADJ;NOM;PL	ADJ;INDF;MASC+FEM;SG
stora	stort	stor	stor	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
stora	stora	stor	stora	ADJ;NOM;PL	N;INDF;MASC+FEM;SG
kinshasa	kinshasa	kinshasa	kinshasa	PROPN;NOM	
basen	base	bas	base	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
basen	basis	bas	basis	N;NOM;DEF;MASC+FEM;SG	
tre	tree	tre	tree	NUM;NOM	
tre	three	tre	thre	NUM;NOM	
chile	chile	chile	chile	PROPN;NOM	PROPN
mer	flere	mycket	mange	ADV;CMPR	ADJ;CMPR;PL
kongo	congo	kongo	congo	PROPN;NOM	
öst	østpå	öst	østpå	N	ADV
öst	østlig	öst	østlig	N	ADJ;INDF;MASC+FEM;SG
öst	østlige	öst	østlig	N	ADJ;PL
von	von	von	von	PROPN;NOM	
wat	wat	wat	wat	N;NOM;INDF;MASC+FEM;SG	
file	filen	file	fil	N;NOM;INDF;NEUT;SG	N;DEF;MASC+FEM;SG
släkte	generationen	släkte	generation	N;NOM;INDF;NEUT;SG	N;DEF;MASC+FEM;SG
släkte	generations	släkte	generation	N;NOM;INDF;NEUT;SG	N;GEN;INDF;MASC+FEM;SG
släkte	racen	släkte	race	N;NOM;INDF;NEUT;SG	N;DEF;MASC+FEM;SG
släkte	slægter	släkte	slægte	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;PL
släkte	slægter	släkte	slægte	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;PL
