conferit	svěřených	conferi	svěřený	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL;POS
destinatie	destinace	destinatie	destinace	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
hawaii	havaj	hawai	havaj	PROPN	PROPN;NOM;MASC;SG;POS
hawaii	hawaii	hawai	hawai	PROPN	PROPN;NOM;FEM;SG;POS
sunetul	zvuk	sunet	zvuk	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG;POS
gama	gamma	gamă	gamma	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;POS
gama	gama	gamă	gama	N;DEF;FEM;SG	N;NOM;MASC;SG;POS
baby	baby	baby	baby		N;FEM;SG;POS
baby	zlato	baby	zlato		N;NOM;NEUT;SG;POS
baby	dítě	baby	dítě		N;NOM;NEUT;SG;POS
baby	miláček	baby	miláček		N;ANIM;NOM;MASC;SG;POS
evaluarea	oceňování	evaluare	oceňování	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	ocenění	evaluare	ocenění	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	ohodnocení	evaluare	ohodnocení	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	posuzování	evaluare	posuzování	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	vyhodnocení	evaluare	vyhodnocení	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	hodnocení	evaluare	hodnocení	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	posouzení	evaluare	posouzení	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	zhodnocení	evaluare	zhodnocení	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	vyhodnocení	evaluare	vyhodnocení	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	hodnocení	evaluare	hodnocení	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
evaluarea	zhodnocení	evaluare	zhodnocení	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
cinematografie	kinematografie	cinematografie	kinematografie	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
cinematografie	kamera	cinematografie	kamera	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
raportat	hlášeny	raporta	hlášený	ADJ;INDF;MASC;SG	ADJ;INAN;PL;POS;V.PTCP;PASS
raurilor	řek	raură	řeka	N;DEF;FEM;PL	N;GEN;FEM;PL;POS
raurilor	řeky	raură	řeka	N;DEF;FEM;PL	N;NOM;FEM;PL;POS
raurilor	rivers	raură	rivers	N;DEF;FEM;PL	PROPN;ANIM;NOM;MASC;SG;POS
paula	paulo	paulă	paulo	N;DEF;FEM;SG	PROPN;NOM;NEUT;SG;POS
paula	paula	paulă	paulo	N;DEF;FEM;SG	N;ANIM;ACC;MASC;SG;POS
acoperis	střechy	acoperis	střecha	N;INDF;MASC;SG	N;NOM;FEM;PL;POS
acoperis	střešní	acoperis	střešní	N;INDF;MASC;SG	ADJ;NOM;MASC;SG;POS
acoperis	střechy	acoperis	střecha	N;INDF;MASC;SG	N;NOM;FEM;PL;POS
acoperis	střešní	acoperis	střešní	N;INDF;MASC;SG	ADJ;NOM;MASC;SG;POS
acoperis	střechy	acoperis	střecha	N;INDF;MASC;SG	N;NOM;FEM;PL;POS
acoperis	střešní	acoperis	střešní	N;INDF;MASC;SG	ADJ;NOM;MASC;SG;POS
legala	zákonné	legală	zákonný	ADJ;DEF;FEM;SG	ADJ;NOM;NEUT;SG;POS
legala	zákonný	legală	zákonný	ADJ;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
legala	právní	legală	právní	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;SG;POS
legala	legální	legală	legální	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;SG;POS
elisabeth	alžběta	elisabeth	alžběta	PROPN	N;NOM;FEM;SG;POS
elisabeth	elisabeth	elisabeth	elisabeth	PROPN	N;NOM;FEM;SG;POS
citeste	čtěte	citesc	číst	V;IND;SG;3;PRS;FIN	V;PFV;IMP;PL;2;POS;FIN
citeste	čtěte	citesc	číst	V;IND;SG;3;PRS;FIN	V;PFV;IMP;PL;2;POS;FIN
variate	různorodé	variat	různorodý	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;POS
bros	bros	bros	bros	PROPN	PROPN;NOM;MASC;SG;POS
prabusit	havaroval	prabusi	havarovat	ADJ;INDF;MASC;SG	V;MASC;SG;POS;PST;V.PTCP;ACT
prabusit	zkolaboval	prabusi	zkolabovat	ADJ;INDF;MASC;SG	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
clasificate	utajované	clasificat	utajovaný	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;POS
clasificate	tajné	clasificat	tajný	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG;POS
clasificate	inzeráty	clasificat	inzerát	ADJ;INDF;FEM;PL	N;INAN;NOM;MASC;PL;POS
clasificate	inzerce	clasificat	inzerce	ADJ;INDF;FEM;PL	N;NOM;FEM;SG;POS
pic	pic	pic	pic	ADV	PROPN;ANIM;NOM;MASC;SG;POS
administrare	administrativa	administrare	administrativa	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
administrare	podání	administrare	podání	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
administrare	správa	administrare	správa	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
cereale	obilí	cereală	obilí	N;INDF;FEM;PL	N;NOM;NEUT;SG;POS
cereale	zrní	cereală	zrní	N;INDF;FEM;PL	ADJ;NOM;MASC;SG;POS
warren	warrena	warren	warren	PROPN	N;ANIM;ACC;MASC;SG;POS
warren	warren	warren	warren	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
parlamentara	parlamentní	parlamentar	parlamentní	N;DEF;FEM;SG	ADJ;NOM;MASC;SG;POS
ferenc	ferenc	ferenc	ferenc	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
pictori	malíře	pictor	malíř	N;INDF;MASC;PL	N;ANIM;ACC;MASC;SG;POS
stein	stein	stein	stein	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
basel	basilejské	basel	basilejský	PROPN	ADJ;NOM;FEM;PL;POS
doo	doo	doo	doo	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;POS
étienne	étienne	étienne	Étienne	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
islamica	islámský	islamică	islámský	N;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
islamica	islámské	islamică	islámský	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG;POS
deriva	drift	deriva	drift	V;IND;SG;3;IPFV;FIN	N;INAN;NOM;MASC;SG;POS
deriva	drift	deriva	drift	V;IND;SG;3;IPFV;FIN	N;INAN;NOM;MASC;SG;POS
balta	rybník	baltă	rybník	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG;POS
balta	rybníku	baltă	rybník	N;DEF;FEM;SG	N;INAN;GEN;MASC;SG;POS
balta	louže	baltă	louže	N;DEF;FEM;SG	N;NOM;FEM;SG;POS
balta	louže	baltă	louže	N;DEF;FEM;SG	N;NOM;FEM;SG;POS
aires	aires	aires	aires	PROPN	PROPN;NEUT;POS
roberts	roberts	roberts	roberts	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
amandoi	obojí	amandoi	obojí		ADJ;NOM;MASC;SG
amandoi	obě	amandoi	oba		NUM;NOM;PL
amandoi	oba	amandoi	oba		NUM;NOM;MASC;PL
statuie	sochu	statuie	socha	N;INDF;FEM;SG	N;ACC;FEM;SG;POS
statuie	socha	statuie	socha	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
statuie	sochy	statuie	socha	N;INDF;FEM;SG	N;NOM;FEM;PL;POS
tennessee	tennessee	tennessee	tennesse	PROPN	PROPN;NEUT;SG;POS
mostenirea	odkaz	mostenire	odkaz	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG;POS
mostenirea	dědictví	mostenire	dědictví	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
oslo	oslo	oslo	osel	PROPN	PROPN;NOM;FEM;SG;POS
oslo	osla	oslo	osel	PROPN	PROPN;ANIM;GEN;MASC;SG;POS
turner	turner	turner	turner	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
turner	turnerová	turner	turnerový	PROPN	ADJ;NOM;FEM;SG;POS
turner	turnera	turner	turner	PROPN	N;ANIM;ACC;MASC;SG;POS
adaugate	přidáno	adauga	přidaný	ADJ;INDF;FEM;PL	ADJ;NEUT;SG;POS;V.PTCP;PASS
adaugate	přidána	adauga	přidaný	ADJ;INDF;FEM;PL	ADJ;POS;V.PTCP;PASS
adaugate	přidané	adauga	přidaný	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;POS
adaugate	přidán	adauga	přidaný	ADJ;INDF;FEM;PL	ADJ;MASC;SG;POS;V.PTCP;PASS
interzisa	zakázané	interzisa	zakázaný	N;DEF;FEM;SG	ADJ;NOM;MASC;PL;POS
interzisa	zakázaná	interzisa	zakázaný	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;POS
interzisa	zakázáno	interzisa	zakázaný	N;DEF;FEM;SG	ADJ;NEUT;SG;POS;V.PTCP;PASS
interzisa	zakázaný	interzisa	zakázaný	N;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
interzisa	zakázané	interzisa	zakázaný	N;DEF;FEM;SG	ADJ;NOM;MASC;PL;POS
interzisa	zakázaná	interzisa	zakázaný	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;POS
interzisa	zakázáno	interzisa	zakázaný	N;DEF;FEM;SG	ADJ;NEUT;SG;POS;V.PTCP;PASS
interzisa	zakázaný	interzisa	zakázaný	N;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
numirea	jmenování	numire	jmenování	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
numirea	schůzka	numire	schůzka	N;DEF;FEM;SG	N;NOM;FEM;SG;POS
numirea	schůzku	numire	schůzka	N;DEF;FEM;SG	N;ACC;FEM;SG;POS
contactul	kontakt	contact	kontakt	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG;POS
contactul	kontaktovat	contact	kontaktovat	N;DEF;MASC;SG	V;IPFV;POS;NFIN
contactul	kontaktujte	contact	kontaktovat	N;DEF;MASC;SG	V;PFV;IMP;PL;2;POS;FIN
java	java	javă	java	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS
alexandre	alexandre	alexandre	alexandre	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
siberia	sibiř	siberie	sibiř	N;DEF;FEM;SG	N;NOM;FEM;SG;POS
cumva	nejak	cumva	nejak	ADV	N;NOM;MASC;SG;POS
ocean	ocean	ocean	ocean	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;POS
claudia	claudia	claudie	claudium	PROPN	PROPN;NOM;FEM;SG;POS
claudia	claudie	claudie	claudie	PROPN	N;NOM;FEM;SG;POS
placut	líbilo	placut	líbit	N;INDF;MASC;SG	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT
placut	příjemné	placut	příjemný	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS
placut	příjemný	placut	příjemný	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
placut	příjemná	placut	příjemný	N;INDF;MASC;SG	ADJ;NOM;FEM;SG;POS
evans	evansová	evans	evansová	PROPN	ADJ;NOM;FEM;SG;POS
evans	evans	evans	evans	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
wien	wien	wien	wien	PROPN	PROPN;INAN;NOM;MASC;SG;POS
wien	vídeň	wien	vídeň	PROPN	PROPN;NOM;FEM;SG;POS
edge	edge	edge	edge	N;INDF;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
declaratie	prohlášení	declaratie	prohlášení	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
declaratie	výkaz	declaratie	výkaz	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG;POS
declaratie	prohlášení	declaratie	prohlášení	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
declaratie	deklarace	declaratie	deklarace	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
discursul	proslov	discurs	proslov	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG;POS
discursul	řeči	discurs	řeč	N;DEF;MASC;SG	N;NOM;FEM;PL;POS
discursul	projev	discurs	projev	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG;POS
discursul	řeč	discurs	řeč	N;DEF;MASC;SG	N;NOM;FEM;SG;POS
alabama	alabamě	alabama	alabamě	N;INDF;MASC;SG	PROPN;DAT;FEM;SG;POS
folosire	užití	folosire	užití	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
folosire	využití	folosire	využití	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
folosire	použití	folosire	použití	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
folosire	používání	folosire	používání	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
indiei	indie	indie	indie	PROPN;DEF;FEM;SG	PROPN;NOM;FEM;SG;POS
indiei	india	indie	india	PROPN;DEF;FEM;SG	PROPN;NOM;MASC;SG;POS
indiei	indii	indie	indie	PROPN;DEF;FEM;SG	PROPN;DAT;FEM;SG;POS
keith	keith	keith	keith	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
asigurata	pojištěný	asigurat	pojištěný	ADJ;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
corrèze	corrèze	corra	corrč	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
emise	emitované	emite	emitovaný	V;IND;SG;3;PST;FIN	ADJ;NOM;MASC;PL;POS
emise	vydané	emite	vydaný	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;POS
emise	vydaná	emite	vydaný	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;POS
emise	vydáno	emite	vydaný	V;IND;SG;3;PST;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
emise	vydaný	emite	vydaný	V;IND;SG;3;PST;FIN	ADJ;INAN;NOM;MASC;SG;POS
campionatele	mistrovství	campionat	mistrovství	N;DEF;FEM;PL	N;NOM;NEUT;SG;POS
louisiana	louisianě	louisiană	louisian	N;DEF;FEM;SG	N;DAT;FEM;SG;POS
hotelul	hotelu	hotel	hotel	N;DEF;MASC;SG	N;INAN;GEN;MASC;SG;POS
hotelul	hotel	hotel	hotel	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG;POS
finistère	finistère	finistère	finistère	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
tranzitie	přechod	tranzitie	přechod	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG;POS
cald	horko	cald	horko	ADJ;INDF;MASC;SG	N;NOM;NEUT;SG;POS
cald	sexy	cald	sex	ADJ;INDF;MASC;SG	N;NOM;FEM;PL;POS
cald	hot	cald	hota	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;POS
cald	teplo	cald	teplo	ADJ;INDF;MASC;SG	N;NOM;NEUT;SG;POS
adanc	hluboká	adanc	hluboký		ADJ;NOM;FEM;SG;POS
adanc	hluboké	adanc	hluboký		ADJ;NOM;NEUT;SG;POS
adanc	hluboko	adanc	hluboko		ADV;POS
adanc	hluboký	adanc	hluboký		ADJ;INAN;NOM;MASC;SG;POS
adanc	hluboká	adanc	hluboký		ADJ;NOM;FEM;SG;POS
adanc	hluboké	adanc	hluboký		ADJ;NOM;NEUT;SG;POS
adanc	hluboko	adanc	hluboko		ADV;POS
adanc	hluboký	adanc	hluboký		ADJ;INAN;NOM;MASC;SG;POS
salvare	spasení	salvare	spasení	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
salvare	spása	salvare	spása	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
salvare	spásu	salvare	spása	N;INDF;FEM;SG	N;ACC;FEM;SG;POS
salvare	záchrana	salvare	záchrana	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
salvare	záchranu	salvare	záchrana	N;INDF;FEM;SG	N;ACC;FEM;SG;POS
vacanta	prázdniny	vacanta	prázdniny	N;DEF;FEM;SG	N;NOM;FEM;PL;POS
vacanta	svátek	vacanta	svátek	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG;POS
vacanta	dovolená	vacanta	dovolená	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;POS
vacanta	svátky	vacanta	svátek	N;DEF;FEM;SG	N;INAN;NOM;MASC;PL;POS
vacanta	prázdniny	vacanta	prázdniny	N;DEF;FEM;SG	N;NOM;FEM;PL;POS
vacanta	dovolenou	vacanta	dovolená	N;DEF;FEM;SG	N;ACC;FEM;SG;POS
vacanta	dovolené	vacanta	dovolená	N;DEF;FEM;SG	N;NOM;FEM;SG;POS
vacanta	dovolená	vacanta	dovolená	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;POS
vacanta	prázdniny	vacanta	prázdniny	N;DEF;FEM;SG	N;NOM;FEM;PL;POS
vacanta	dovolenou	vacanta	dovolená	N;DEF;FEM;SG	N;ACC;FEM;SG;POS
vacanta	dovolené	vacanta	dovolená	N;DEF;FEM;SG	N;NOM;FEM;SG;POS
vacanta	dovolená	vacanta	dovolená	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;POS
vacanta	prázdniny	vacanta	prázdniny	N;DEF;FEM;SG	N;NOM;FEM;PL;POS
vacanta	svátek	vacanta	svátek	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG;POS
vacanta	dovolená	vacanta	dovolená	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;POS
vacanta	svátky	vacanta	svátek	N;DEF;FEM;SG	N;INAN;NOM;MASC;PL;POS
vacanta	prázdniny	vacanta	prázdniny	N;DEF;FEM;SG	N;NOM;FEM;PL;POS
vacanta	dovolenou	vacanta	dovolená	N;DEF;FEM;SG	N;ACC;FEM;SG;POS
vacanta	dovolené	vacanta	dovolená	N;DEF;FEM;SG	N;NOM;FEM;SG;POS
vacanta	dovolená	vacanta	dovolená	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;POS
malta	maltu	malta	malta	PROPN	N;ACC;FEM;SG;POS
malta	malty	malta	malta	PROPN	N;NOM;FEM;PL;POS
malta	malta	malta	malta	PROPN	N;NOM;FEM;SG;POS
fotbalul	fotbal	fotbal	fotbal	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG;POS
radical	radikální	radical	radikální	ADV	ADJ;NOM;MASC;SG;POS
renault	renault	renault	renault	PROPN	N;INAN;NOM;MASC;SG;POS
sierra	sierra	sierră	Sierra	PROPN	PROPN;NOM;FEM;SG;POS
specializate	specializované	specializat	specializovaný	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;POS
specializate	specializované	specializat	specializovaný	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;POS
buenos	buenos	buenos	buenos	N;INDF;MASC;SG	PROPN;NEUT;POS
dificultati	obtíže	dificultati	obtíž		N;NOM;FEM;PL;POS
dificultati	obtížích	dificultati	obtíž		N;DAT;FEM;PL;POS
dificultati	obtíž	dificultati	obtíž		N;NOM;FEM;SG;POS
dificultati	obtížné	dificultati	obtížný		ADJ;NOM;NEUT;SG;POS
dificultati	potíže	dificultati	potíž		N;NOM;FEM;PL;POS
dificultati	potíže	dificultati	potíž		N;NOM;FEM;PL;POS
dificultati	obtíže	dificultati	obtíž		N;NOM;FEM;PL;POS
raurile	řek	raură	řeka	N;DEF;FEM;PL	N;GEN;FEM;PL;POS
raurile	řeky	raură	řeka	N;DEF;FEM;PL	N;NOM;FEM;PL;POS
raurile	rivers	raură	rivers	N;DEF;FEM;PL	PROPN;ANIM;NOM;MASC;SG;POS
tribuna	tribune	tribună	tribune	N;DEF;FEM;SG	N;NOM;FEM;SG;POS
lapte	mléčná	lapte	mléčný	N;INDF;MASC;SG	ADJ;NOM;FEM;SG;POS
lapte	mléka	lapte	mléko	N;INDF;MASC;SG	N;NOM;NEUT;PL;POS
grove	grove	grov	grove	PROPN	PROPN;INAN;NOM;MASC;SG;POS
grove	háj	grov	háj	PROPN	N;INAN;NOM;MASC;SG;POS
memoriile	paměti	memorie	paměť	N;DEF;FEM;PL	N;NOM;FEM;SG;POS
memoriile	paměti	memorie	paměť	N;DEF;FEM;PL	N;NOM;FEM;SG;POS
studios	studia	studios	studium	N;INDF;MASC;SG	N;NOM;NEUT;PL;POS
vieti	žije	vieti	žít		V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
vieti	životy	vieti	život		N;INAN;NOM;MASC;PL;POS
vieti	životů	vieti	život		N;INAN;GEN;MASC;PL;POS
vieti	žije	vieti	žít		V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
vieti	životy	vieti	život		N;INAN;NOM;MASC;PL;POS
vieti	životů	vieti	život		N;INAN;GEN;MASC;PL;POS
boemia	bohemia	boemie	bohemie	N;DEF;FEM;SG	PROPN;FEM;POS
boemia	čechy	boemie	čechy	N;DEF;FEM;SG	PROPN;ANIM;NOM;MASC;PL;POS
boemia	čech	boemie	Čechy	N;DEF;FEM;SG	PROPN;NOM;FEM;PL;POS
letonia	lotyšsko	letonie	lotyšský	PROPN	PROPN;NOM;NEUT;SG;POS
islanda	island	islanda	island	PROPN	PROPN;INAN;NOM;MASC;SG;POS
hanovra	hanover	hanovră	hanover	PROPN	N;INAN;NOM;MASC;SG;POS
hanovra	hannover	hanovră	hannovra	PROPN	PROPN;INAN;NOM;MASC;SG;POS
rahman	rahman	rahman	rahman	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
hlist	hlist	hlist	hlist		N;NOM;MASC;SG;POS
silva	silva	silvă	silva	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
democratic	demokraticky	democratic	demokraticky	ADJ;INDF;MASC;SG	ADV;POS
vrei	chcete	vrea	chtít	V;IND;SG;2;PRS;FIN	V;IND;PL;2;POS;PRS;FIN;ACT
strategice	strategický	strategic	strategický	ADJ;INDF;FEM;PL	ADJ;INAN;NOM;MASC;SG;POS
strategice	strategická	strategic	strategický	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;POS
utilizand	použitím	utiliza	použití	ADV	N;INS;NEUT;SG;POS
utilizand	použití	utiliza	použití	ADV	N;NOM;NEUT;SG;POS
utilizand	používání	utiliza	používání	ADV	N;NOM;NEUT;SG;POS
utilizand	používám	utiliza	používat	ADV	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
numeric	číselný	numeric	číselný	ADV	ADJ;INAN;NOM;MASC;SG;POS
numeric	číselné	numeric	číselný	ADV	ADJ;NOM;NEUT;SG;POS
lloyd	lloyd	lloyd	lloyd	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
oldenburg	oldenburg	oldenburg	oldenburg	PROPN	PROPN;INAN;NOM;MASC;SG;POS
controverse	kontroverze	controversă	kontroverze	N;INDF;FEM;PL	N;NOM;FEM;SG;POS
lunile	měsíců	lună	měsíc	N;DEF;FEM;PL	N;INAN;GEN;MASC;PL;POS
lunile	měsíce	lună	měsíc	N;DEF;FEM;PL	N;INAN;NOM;MASC;PL;POS
lunile	měsících	lună	měsíc	N;DEF;FEM;PL	N;INAN;GEN;MASC;PL;POS
bordeaux	bordeaux	bordeaux	bordeaux	PROPN	PROPN;INAN;NOM;MASC;SG;POS
lectii	lekce	lectie	lekce	N;INDF;FEM;PL	N;NOM;FEM;SG;POS
lectii	poučení	lectie	poučení	N;INDF;FEM;PL	N;NOM;NEUT;SG;POS
lectii	lekce	lectie	lekce	N;INDF;FEM;PL	N;NOM;FEM;SG;POS
lectii	poučení	lectie	poučení	N;INDF;FEM;PL	N;NOM;NEUT;SG;POS
jay	jay	jay	jay	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
aventuri	dobrodružství	avent	dobrodružství	N;INDF;FEM;PL	N;NOM;NEUT;SG;POS
aventuri	dobrodružství	avent	dobrodružství	N;INDF;FEM;PL	N;NOM;NEUT;SG;POS
autoritati	úřady	autoritati	úřad		N;INAN;NOM;MASC;PL;POS
autoritati	orgány	autoritati	orgán		N;INAN;NOM;MASC;PL;POS
estimare	odhad	estimare	odhad	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG;POS
estimare	odhadnout	estimare	odhadnout	N;INDF;FEM;SG	V;PFV;POS;NFIN
estimare	odhad	estimare	odhad	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG;POS
comparativ	srovnávací	comparativ	srovnávací	ADV	ADJ;NOM;MASC;SG;POS
islamice	islámský	islamic	islámský	ADJ;INDF;FEM;PL	ADJ;INAN;NOM;MASC;SG;POS
islamice	islámské	islamic	islámský	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;POS
salt	skočit	salt	skočit	N;INDF;MASC;SG	V;PFV;POS;NFIN
salt	salt	salt	salt	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;POS
salt	soli	salt	sůl	N;INDF;MASC;SG	N;NOM;FEM;PL;POS
tensiune	napětí	tensiune	napětí	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
tensiune	napětí	tensiune	napětí	N;INDF;FEM;SG	N;NOM;NEUT;SG;POS
