und	si	und	sine	CONJ	
dieser	aceasta	dies	acesta	PRO;NOM;MASC;SG	PRO;FEM;SG;3
jahr	anul	Jahr	an	N;NOM;NEUT;SG	N;DEF;MASC;SG
wenn	cand	wenn	cand	CONJ	
wenn	când	wenn	când	CONJ	ADV
zwei	doua	zwei	doi	NUM	NUM;FEM;SG
seiner	lui	sein	el	DET;NOM;MASC;SG	PRO;3
jahre	anul	jahren	an	ADV	N;DEF;MASC;SG
jahre	an	jahren	an	ADV	N;INDF;MASC;SG
jahre	ani	jahren	an	ADV	N;INDF;MASC;PL
jahre	anii	jahren	an	ADV	N;DEF;MASC;PL
mai	may	mai	may	PROPN;NOM;MASC;SG	
mai	mai	mai	mai	PROPN;NOM;MASC;SG	ADV
isbn	isbn	isbn	isbn	;SG	
was	ce	was	ce	PRO;NOM;NEUT;SG	PRO;3
sowie	si	sowie	sine	CONJ	
hatte	avea	haben	avea	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
zwischen	intermediare	zwischen	intermediar	ADP	ADJ;INDF;FEM;PL
zwischen	intermediar	zwischen	intermediar	ADP	N;INDF;MASC;SG
zwischen	intermediară	zwischen	intermediar	ADP	ADJ;INDF;FEM;SG
zwischen	intre	zwischen	intra	ADP	V;SBJV;3;PRS;FIN
team	echipă	team	echipă	N;NOM;NEUT;SG	N;INDF;FEM;SG
team	echipa	team	echipă	N;NOM;NEUT;SG	N;DEF;FEM;SG
gegen	versus	gegen	versus	ADP	
gegen	opune	gegen	opune	ADP	V;IND;SG;3;PRS;FIN
gegen	contra	gegen	contra	ADP	
gegen	impotriva	gegen	impotriva	ADP	N;DEF;FEM;SG
gegen	împotrivă	gegen	împotriva	ADP	
keine	niciuna	kein	nici_unul	PRO;NOM;INDF;FEM;SG;NEG	
waren	bunuri	sein	bun	V;IND;PL;3;PST;FIN	N;INDF;FEM;PL
waren	marfuri	sein	marfă	V;IND;PL;3;PST;FIN	N;INDF;FEM;PL
waren	mărfuri	sein	marfă	V;IND;PL;3;PST;FIN	N;INDF;FEM;PL
waren	mărfuri	sein	marfă	V;IND;PL;3;PST;FIN	N;INDF;FEM;PL
waren	erau	sein	fi	V;IND;PL;3;PST;FIN	V;IND;PL;3;IPFV;FIN
waren	marfa	sein	marfă	V;IND;PL;3;PST;FIN	N;DEF;FEM;SG
zeit	zeit	zeit	zeit	ADJ	N;INDF;MASC;SG
zeit	perioadă	zeit	perioadă	ADJ	N;INDF;FEM;SG
zeit	perioada	zeit	perioadă	ADJ	N;DEF;FEM;SG
zeit	timp	zeit	timp	ADJ	N;INDF;MASC;SG
zeit	ora	zeit	oră	ADJ	N;DEF;FEM;SG
zeit	timpul	zeit	timp	ADJ	N;DEF;MASC;SG
stadt	oraș	staden	oraș		N;INDF;MASC;SG
stadt	oras	staden	oras		N;INDF;MASC;SG
stadt	oraşul	staden	orac		N;DEF;MASC;SG
stadt	oraş	staden	oraş		N;INDF;MASC;SG
stadt	city	staden	city		N;INDF;MASC;SG
stadt	oras	staden	oras		N;INDF;MASC;SG
stadt	oraș	staden	oraș		N;INDF;MASC;SG
stadt	oraş	staden	oraş		N;INDF;MASC;SG
stadt	oraşul	staden	orac		N;DEF;MASC;SG
stadt	orașul	staden	oraș		N;DEF;MASC;SG
stadt	oraşe	staden	orac		N;INDF;FEM;PL
stadt	oraşele	staden	oraș		N;DEF;FEM;PL
stadt	orase	staden	oras		N;INDF;FEM;PL
stadt	orasele	staden	oras		N;DEF;FEM;PL
stadt	orașe	staden	oraș		N;INDF;FEM;PL
wieder	inapoi	wieder	inapoi	ADV	
wieder	back	wieder	back	ADV	
wieder	spate	wieder	spate	ADV	N;INDF;MASC;SG
wieder	reunite	wieder	reuni	ADV	ADJ;INDF;FEM;PL
wieder	reunit	wieder	reuni	ADV	ADJ;INDF;MASC;SG
haben	au	haben	avea	V;IND;PL;3;FIN	V;PL;3
deutscher	germana	deutsch	germană	ADJ	N;DEF;FEM;SG
deutscher	germană	deutsch	germană	ADJ	N;INDF;FEM;SG
deutscher	deutscher	deutsch	deutscher	ADJ	PROPN
deutscher	germanii	deutsch	german	ADJ	N;DEF;MASC;PL
deutscher	nemti	deutsch	neată	ADJ	
deutscher	germani	deutsch	german	ADJ	N;INDF;MASC;PL
jahren	ani	jahren	an	ADJ	N;INDF;MASC;PL
jahren	anii	jahren	an	ADJ	N;DEF;MASC;PL
mal	timpuri	mal	timp	ADV	N;INDF;FEM;PL
mal	timpurile	mal	timp	ADV	N;DEF;FEM;PL
mal	vremuri	mal	vreme	ADV	N;INDF;FEM;PL
mal	times	mal	times	ADV	N;INDF;MASC;SG
mal	mal	mal	mal	ADV	N;INDF;MASC;SG
ersten	primii	erst	prim	ADJ;NOM;PL	NUM;DEF;MASC;PL
ersten	prima	erst	prim	ADJ;NOM;PL	NUM;DEF;FEM;SG
ersten	primul	erst	prim	ADJ;NOM;PL	NUM;DEF;MASC;SG
jedoch	dar	jedoch	dar	ADV	CONJ;POS
seed	semințe	seed	sămânță		N;INDF;FEM;PL
seed	sămânță	seed	sămânță		N;INDF;FEM;SG
siehe	vezi	sehen	vedea	V;IMP;SG;FIN	V;IND;SG;2;PRS;FIN
drei	three	drei	three	NUM	N;INDF;MASC;SG
etwa	despre	etwa	despre	ADV	ADP;ACC
etwa	cca	etwa	circa	ADV	
etwa	aprox	etwa	aprox	ADV	N;INDF;MASC;SG
deutschen	germana	deutsch	germană	ADJ	N;DEF;FEM;SG
deutschen	germană	deutsch	germană	ADJ	N;INDF;FEM;SG
deutschen	germanii	deutsch	german	ADJ	N;DEF;MASC;PL
deutschen	nemti	deutsch	neată	ADJ	
deutschen	germani	deutsch	german	ADJ	N;INDF;MASC;PL
teil	parte	teil	parte	ADV	N;INDF;FEM;SG
teil	partea	teil	parte	ADV	N;DEF;FEM;SG
berlin	berlin	berlin	berlin	PROPN;NOM;NEUT;SG	PROPN
berlin	berlinul	berlin	berlin	PROPN;NOM;NEUT;SG	N;DEF;MASC;SG
heute	astazi	heute	astazi	ADV	
habe	au	haben	avea	V;SBJV;SG;3;PRS;FIN	V;PL;3
alle	toti	alle	toti	PRO;NOM;INDF;PL	
alle	toți	alle	tot	PRO;NOM;INDF;PL	PRO;MASC;PL;3
alle	toate	alle	tot	PRO;NOM;INDF;PL	PRO;FEM;PL;3
alle	tot	alle	tot	PRO;NOM;INDF;PL	PRO;MASC;SG;3
alle	alle	alle	all	PRO;NOM;INDF;PL	N;INDF;MASC;SG
ihre	dumneavoastră	ihr	dumneavoastră	DET;NOM;FEM;SG	PRO;2
ihre	ta	ihr	tău	DET;NOM;FEM;SG	DET;FEM;SG;1
ihre	ea	ihr	el	DET;NOM;FEM;SG	PRO;FEM;SG;3
anderen	altele	ander	altul	ADJ;NOM;PL	PRO;FEM;PL;3
anderen	alte	ander	alt	ADJ;NOM;PL	DET;FEM;PL;3
anderen	alți	ander	alt	ADJ;NOM;PL	DET;MASC;PL;3
anderen	altele	ander	altul	ADJ;NOM;PL	PRO;FEM;PL;3
anderen	altii	ander	altul	ADJ;NOM;PL	
anderen	alții	ander	altul	ADJ;NOM;PL	PRO;MASC;PL;3
können	pot	können	putea	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
können	can	können	can	V;IND;PL;3;PRS;FIN	
jan	jan	jan	jan	PROPN;NOM;MASC;SG	PROPN
mir	mir	ich	mir	PRO;DAT;SG;1	
seinen	lui	sein	el	DET;ACC;MASC;SG	PRO;3
ihr	ai	ihr	avea	PRO;NOM;MASC;SG	V;SG;2
ihr	te	ihr	tu	PRO;NOM;MASC;SG	PRO;ACC;SG;2
ihr	ta	ihr	tău	PRO;NOM;MASC;SG	DET;FEM;SG;1
ihr	ea	ihr	el	PRO;NOM;MASC;SG	PRO;FEM;SG;3
gemeinde	parohia	gemeinde	parohie	N;NOM;FEM;SG	N;DEF;FEM;SG
gemeinde	parohie	gemeinde	parohie	N;NOM;FEM;SG	N;INDF;FEM;SG
gemeinde	comuna	gemeinde	comună	N;NOM;FEM;SG	N;DEF;FEM;SG
gemeinde	comunitate	gemeinde	comunitate	N;NOM;FEM;SG	N;INDF;FEM;SG
gemeinde	comunitatea	gemeinde	comunitate	N;NOM;FEM;SG	N;DEF;FEM;SG
seinem	lui	sein	el	DET;DAT;MASC;SG	PRO;3
erste	erste	erst	frstă	ADJ;NOM;FEM;PL	N
erste	primii	erst	prim	ADJ;NOM;FEM;PL	NUM;DEF;MASC;PL
erste	prima	erst	prim	ADJ;NOM;FEM;PL	NUM;DEF;FEM;SG
erste	primul	erst	prim	ADJ;NOM;FEM;PL	NUM;DEF;MASC;SG
liegt	minciunile	liegen	minciune	V;IND;SG;3;PRS;FIN	N;DEF;FEM;PL
liegt	minciuni	liegen	minciună	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
august	august	augusten	august	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
august	aug	augusten	augi	PROPN;NOM;MASC;SG	
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	PROPN
ohne	fara	ohne	fară	ADP	
deutschland	germania	deutschland	germania	PROPN;NOM	PROPN
ihm	el	er	el	PRO;DAT;MASC;SG;3	PRO;MASC;SG;3
ende	termină	ende	termina	N;ACC;NEUT;SG	V;IND;SG;3;PST;FIN
ende	finalizează	ende	finaliza	N;ACC;NEUT;SG	V;IND;3;PRS;FIN
ende	sfarsit	ende	sfarsi	N;ACC;NEUT;SG	
märz	martie	märz	martie	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
märz	märz	märz	märz	PROPN;NOM;MASC;SG	
deutsche	german	deutsch	german	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
deutsche	germana	deutsch	germană	ADJ;NOM;FEM;PL	N;DEF;FEM;SG
deutsche	germană	deutsch	germană	ADJ;NOM;FEM;PL	N;INDF;FEM;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	PROPN
deutsche	germanii	deutsch	german	ADJ;NOM;FEM;PL	N;DEF;MASC;PL
deutsche	nemti	deutsch	neată	ADJ;NOM;FEM;PL	
deutsche	germani	deutsch	german	ADJ;NOM;FEM;PL	N;INDF;MASC;PL
band	trupă	binden	trupă		N;INDF;FEM;SG
band	trupa	binden	trupă		N;DEF;FEM;SG
band	formație	binden	formație		N;INDF;FEM;SG
band	formatie	binden	formatie		N;INDF;FEM;SG
band	bandă	binden	bandă		N;INDF;FEM;SG
band	banda	binden	bandă		N;DEF;FEM;SG
band	casetă	binden	casetă		N;INDF;FEM;SG
band	panglica	binden	panglica		N;DEF;FEM;SG
band	panglică	binden	panglic		N;INDF;FEM;SG
januar	ianuarie	januar	ianuarie	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
doch	dar	doch	dar	ADV	CONJ;POS
oktober	octombrie	oktober	octombrie	PROPN;NOM;SG	N;INDF;MASC;SG
oktober	oct	oktober	oct	PROPN;NOM;SG	
immer	intotdeauna	immer	intotdeauna	ADV	
ihn	el	er	el	PRO;ACC;MASC;SG;3	PRO;MASC;SG;3
wikipedia	wikipedia	wikipedia	wikipedia		N;DEF;FEM;SG
kirche	biserici	kirche	biserică		N;INDF;FEM;PL
kirche	bisericile	kirche	biserică		N;DEF;FEM;PL
kirche	biserica	kirche	biserică		N;DEF;FEM;SG
kirche	biserică	kirche	biserică		N;INDF;FEM;SG
juni	jun	juni	jun	PROPN;NOM;MASC;SG	
juni	june	juni	june	PROPN;NOM;MASC;SG	
juni	iunie	juni	iunie	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
konnte	putea	können	putea	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
april	apr	april	apr	PROPN;NOM;MASC;SG	
april	april	april	april	PROPN;NOM;MASC;SG	
april	aprilie	april	aprilie	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
september	septembrie	september	septembrie	PROPN;SG	N;INDF;MASC;SG
september	sept	september	sept	PROPN;SG	
september	sep	september	sep	PROPN;SG	
selbst	self	selbst	self	ADV	
weitere	mai	weit	mai	ADJ;NOM;FEM;PL	ADV
juli	iulie	juli	iulie	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
juli	juli	juli	jule	PROPN;NOM;MASC;SG	PROPN
andere	altele	ander	altul	ADJ;NOM;FEM;PL	PRO;FEM;PL;3
andere	alte	ander	alt	ADJ;NOM;FEM;PL	DET;FEM;PL;3
andere	alți	ander	alt	ADJ;NOM;FEM;PL	DET;MASC;PL;3
andere	altele	ander	altul	ADJ;NOM;FEM;PL	PRO;FEM;PL;3
andere	altii	ander	altul	ADJ;NOM;FEM;PL	
andere	alții	ander	altul	ADJ;NOM;FEM;PL	PRO;MASC;PL;3
kein	nu	kein	nu	PRO;NOM;INDF;MASC;SG;NEG	PART;NEG
geschichte	poveste	geschicht	poveste		N;INDF;FEM;SG
geschichte	story	geschicht	story		N;INDF;MASC;SG
geschichte	povestea	geschicht	poveste		N;DEF;FEM;SG
geschichte	istoricul	geschicht	istoric		N;DEF;MASC;SG
geschichte	istorie	geschicht	istorie		N;INDF;FEM;SG
geschichte	istoric	geschicht	istoric		ADJ;INDF;MASC;SG
geschichte	istoria	geschicht	istorie		N;DEF;FEM;SG
verlag	editura	verliegen	editură	N;NOM;MASC;SG	N;DEF;FEM;SG
verlag	editorii	verliegen	editoare	N;NOM;MASC;SG	N;DEF;MASC;PL
verlag	editori	verliegen	editor	N;NOM;MASC;SG	N;INDF;MASC;PL
jpg	jpg	jpg	jpg		N
dezember	decembrie	dezember	decembrie	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	N;INDF;MASC
dez	dec	dez	dec		N;INDF;MASC
universität	facultate	universität	facultate	ADJ	N;INDF;FEM;SG
universität	university	universität	university	ADJ	N;INDF;MASC;SG
universität	universitate	universität	universitate	ADJ	N;INDF;FEM;SG
universität	universitatea	universität	universitate	ADJ	N;DEF;FEM;SG
platz	plaza	platz	plază	ADV	N;DEF;FEM;SG
platz	pătrat	platz	pătrat	ADV	N;INDF;MASC;SG
platz	square	platz	square	ADV	N;INDF;MASC;SG
platz	patrat	platz	patrat	ADV	N;INDF;MASC;SG
platz	locul	platz	loc	ADV	N;DEF;MASC;SG
platz	loc	platz	loc	ADV	N;INDF;MASC;SG
platz	platz	platz	platz	ADV	N;INDF;MASC;SG
platz	spaţiul	platz	spagiu	ADV	N;DEF;MASC;SG
platz	spațiu	platz	spațiu	ADV	N;INDF;MASC;SG
platz	spațiul	platz	spațiu	ADV	N;DEF;MASC;SG
platz	spatiu	platz	spatiu	ADV	N;INDF;MASC;SG
platz	spaţiu	platz	spaţiu	ADV	N;INDF;MASC;SG
ihrer	dumneavoastră	ihr	dumneavoastră	DET;NOM;MASC;SG	PRO;2
ihrer	ta	ihr	tău	DET;NOM;MASC;SG	DET;FEM;SG;1
steht	standuri	stehen	stand	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
november	november	november	november	PROPN	N;INDF;MASC;SG
november	noiembrie	november	noiembrie	PROPN	N;INDF;MASC;SG
liste	lista	lassen	listă	N;NOM;FEM;SG	N;DEF;FEM;SG
liste	listă	lassen	listă	N;NOM;FEM;SG	N;INDF;FEM;SG
kam	kam	kommen	kam	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
wir	wir	wir	wir	PRO;NOM;PL;1	N;INDF;MASC;SG
jahrhundert	jahrhundert	jahrhundert	jahrhundert	ADJ	N;INDF;MASC;SG
jahrhundert	secolul	jahrhundert	secol	ADJ	N;DEF;MASC;SG
jahrhundert	secol	jahrhundert	secol	ADJ	N;INDF;MASC;SG
jahrhundert	century	jahrhundert	century	ADJ	PROPN
beiden	amandoua	beide	amandoi	PRO;NOM;INDF;PL	
beiden	amândoi	beide	amândoi	PRO;NOM;INDF;PL	NUM;MASC;PL
beiden	ambele	beide	ambii	PRO;NOM;INDF;PL	NUM;FEM;PL
beiden	amândouă	beide	amândoi	PRO;NOM;INDF;PL	NUM;FEM;PL
beiden	doua	beide	doi	PRO;NOM;INDF;PL	NUM;FEM;SG
beiden	doi	beide	doi	PRO;NOM;INDF;PL	NUM;MASC;PL
beiden	două	beide	doi	PRO;NOM;INDF;PL	NUM;FEM;PL
vier	four	vier	four	NUM	N;INDF;MASC;SG
seite	lateral	seit	lateral	N	ADV
seite	side	seit	side	N	
februar	februarie	februaer	februarie	PROPN;NOM;SG	N;INDF;MASC;SG
februar	feb	februaer	feb	PROPN;NOM;SG	
gab	gab	geben	gab	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
etwas	ceva	etwas	ceva	ADV	PRO;SG;3
mich	mich	ich	mich	PRO;ACC;SG;1	
zusammen	împreuna	zusammen	împreuna	ADV	
zusammen	impreuna	zusammen	impreuna	ADV	
allerdings	dar	allerdings	dar	ADV	CONJ;POS
allerdings	deşi	allerdings	deşi	ADV	CONJ;POS
allerdings	deși	allerdings	deși	ADV	CONJ;POS
allerdings	desi	allerdings	desi	ADV	
film	film	falmen	film		N;INDF;MASC;SG
film	peliculă	falmen	pelicul		N;INDF;FEM;SG
film	film	falmen	film		N;INDF;MASC;SG
neue	nou	neu	nou	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
neue	noua	neu	nou	ADJ;NOM;FEM;PL	ADJ;DEF;FEM;SG
neue	noi	neu	eu	ADJ;NOM;FEM;PL	PRO;PL;1
neue	nouă	neu	nou	ADJ;NOM;FEM;PL	
neue	neue	neu	neu	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
nun	păi	nun	păi	ADV	
leben	living	leben	living	V;NFIN	N;INDF;MASC;SG
leben	life	leben	life	V;NFIN	
leben	viaţa	leben	viapă	V;NFIN	N;DEF;FEM;SG
leben	viaţă	leben	viaţă	V;NFIN	N;INDF;FEM;SG
leben	viața	leben	viață	V;NFIN	N;DEF;FEM;SG
leben	viață	leben	viață	V;NFIN	N;INDF;FEM;SG
leben	viata	leben	viată	V;NFIN	N;DEF;FEM;SG
leben	live	leben	livă	V;NFIN	
leben	leben	leben	leben	V;NFIN	N;INDF;MASC;SG
namen	nume	name	nume		N;INDF
namen	numele	name	nume		N;DEF;MASC;SG
namen	denumire	name	denumire		N;INDF;FEM;SG
namen	name	name	name		
weil	vere	weil	vere	CONJ	
relevanz	relevanța	relevanz	relevanță	ADJ	N;DEF;FEM;SG
relevanz	relevanță	relevanz	relevanță	ADJ	N;INDF;FEM;SG
muss	trebuie	müssen	trebui	V;IND;SG;3;PRS;FIN	V;IND;3;PRS;FIN
einige	unele	einige	unul	PRO;NOM;INDF;PL	PRO;FEM;PL;3
einige	unii	einige	unul	PRO;NOM;INDF;PL	PRO;MASC;PL;3
mitglied	membru	mitglied	membru	ADJ	N;INDF;MASC;SG
mitglied	membră	mitglied	membră	ADJ	N;INDF;FEM;SG
mitglied	membrul	mitglied	membru	ADJ	N;DEF;MASC;SG
wegen	deoarece	wegen	deoarece	ADP	CONJ;POS
viele	loturi	viel	lot	ADJ;NOM;INDF;PL	N;INDF;FEM;PL
viele	loturile	viel	lot	ADJ;NOM;INDF;PL	N;DEF;FEM;PL
viele	multi	viel	mult	ADJ;NOM;INDF;PL	
viele	mulți	viel	mult	ADJ;NOM;INDF;PL	PRO;MASC;PL;3
viele	multe	viel	mult	ADJ;NOM;INDF;PL	PRO;FEM;PL;3
text	text	Text	text		N;INDF;MASC;SG
text	textul	Text	text		N;DEF;MASC;SG
text	versuri	Text	vers		N;INDF;FEM;PL
text	versurile	Text	vers		N;DEF;FEM;PL
münchen	münchen	münchen	münchen	PROPN;NOM;NEUT;SG	PROPN
münchen	munchen	münchen	munchen	PROPN;NOM;NEUT;SG	PROPN
löschen	clar	löschen	clar	V;NFIN	ADV
löschen	limpede	löschen	limpede	V;NFIN	ADV
löschen	ștergerea	löschen	ștergere	V;NFIN	N;DEF;FEM;SG
löschen	ștergere	löschen	ștergere	V;NFIN	N;INDF;FEM;SG
löschen	ștergere	löschen	ștergere	V;NFIN	N;INDF;FEM;SG
erhielt	primite	erhalten	primit	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;PL
erhielt	primită	erhalten	primi	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;SG
zurück	retur	zurück	retur	ADV	N;INDF;MASC;SG
zurück	întoarcere	zurück	întoarcere	ADV	N;INDF;FEM;SG
zurück	inapoi	zurück	inapoi	ADV	
zurück	back	zurück	back	ADV	
zurück	spate	zurück	spate	ADV	N;INDF;MASC;SG
ort	ort	ort	ort	N;NOM;MASC;SG	
ort	locul	ort	loc	N;NOM;MASC;SG	N;DEF;MASC;SG
ort	localizare	ort	localizare	N;NOM;MASC;SG	N;INDF;FEM;SG
ort	locație	ort	locație	N;NOM;MASC;SG	N;INDF;FEM;SG
ort	locația	ort	locație	N;NOM;MASC;SG	N;DEF;FEM;SG
ort	locaţia	ort	locahie	N;NOM;MASC;SG	N;DEF;FEM;SG
allem	totul	alle	tot	PRO;DAT;INDF;NEUT;SG	PRO;MASC;SG;3
friedrich	friedrich	friedrich	friedrich	PROPN;NOM;SG	PROPN
friedrich	frederic	friedrich	frederic	PROPN;NOM;SG	N;INDF;MASC;SG
