през	דרך	през	דרך	ADP	
октомври	באוקטובר	октомври	באוקטובר	N;INDF;MASC;SG	PROPN
октомври	אוקטובר	октомври	אוקטובר	N;INDF;MASC;SG	PROPN
октомври	באוקטובר	октомври	באוקטובר	N;INDF;MASC;SG	PROPN
име	השם	име	השם	N;INDF;NEUT;SG	
име	שם	име	שם	N;INDF;NEUT;SG	ADV
заедно	ביחד	заедно	ביחד	ADV	
фон	הרקע	фон	הרקע	N;INDF;MASC;SG	
американски	אמריקאים	американски	אמריקני	ADJ;INDF;MASC;SG	N;MASC;PL
американски	אמריקני	американски	אמריקני	ADJ;INDF;MASC;SG	PROPN
американски	אמריקאית	американски	אמריקני	ADJ;INDF;MASC;SG	ADV
март	מרץ	март	מרץ	N;INDF;MASC;SG	PROPN
март	במרץ	март	במרץ	N;INDF;MASC;SG	PROPN
ноември	נובמבר	ноември	נובמבר	N;INDF;MASC;SG	PROPN
ноември	בנובמבר	ноември	בנובמבר	N;INDF;MASC;SG	ADV
ноември	נוב	ноември	נוב	N;INDF;MASC;SG	
април	apr	април	apr	N;INDF;MASC;SG	
април	אפריל	април	אפריל	N;INDF;MASC;SG	PROPN
декември	בדצמבר	декември	בדצמבר	N;INDF;MASC;SG	PROPN
декември	דצמבר	декември	דצמבר	N;INDF;MASC;SG	PROPN
декември	דק	декември	None	N;INDF;MASC;SG	
чрез	דרך	чрез	דרך	ADP	
чрез	ויה	чрез	ויה	ADP	PROPN
чрез	דרך	чрез	דרך	ADP	
жители	מתמחים	жител	התמחה	N;INDF;MASC;PL	V;MASC;PL;V.PTCP
различни	שונה	различен	שונה	ADJ;INDF;PL	
февруари	בפברואר	февруари	בפברואר	N;INDF;MASC;SG	ADV
февруари	פברואר	февруари	פברואר	N;INDF;MASC;SG	PROPN
февруари	פברואר	февруари	פברואר	N;INDF;MASC;SG	PROPN
работи	עבודה	работя	עבודה	V;IPFV;IMP;SG;2;FIN	N;FEM;SG
работи	פועל	работя	פועל	V;IPFV;IMP;SG;2;FIN	N;MASC;SG
работи	יצירות	работя	יצירה	V;IPFV;IMP;SG;2;FIN	N;FEM;PL
работи	עובדת	работя	עובדה	V;IPFV;IMP;SG;2;FIN	N;FEM;SG
работи	עובד	работя	עובד	V;IPFV;IMP;SG;2;FIN	PROPN
провинция	נפה	провинция	נפה	N;INDF;FEM;SG	PROPN
империя	אמפייר	империя	אמפייר	N;INDF;FEM;SG	PROPN
империя	אימפריה	империя	אימפריה	N;INDF;FEM;SG	PROPN
империя	האימפריה	империя	האימפריה	N;INDF;FEM;SG	PROPN
иван	איוואן	иван	איוואן	PROPN;INDF;MASC;SG	PROPN
иван	איוון	иван	איוון	PROPN;INDF;MASC;SG	PROPN
център	המרכז	център	המרכז	N;INDF;MASC;SG	PROPN
център	סנטר	център	סנטר	N;INDF;MASC;SG	PROPN
център	המרכז	център	המרכז	N;INDF;MASC;SG	PROPN
три	שלושה	три	שלושה	NUM;INDF;PL	NUM;MASC;SG
три	שלוש	три	שלוש	NUM;INDF;PL	NUM;FEM;SG
три	three	три	three	NUM;INDF;PL	
страна	ארצי	страна	ארצי	N;INDF;FEM;SG	PROPN
страна	סייד	страна	סייד	N;INDF;FEM;SG	PROPN
страна	לצד	страна	לצד	N;INDF;FEM;SG	ADP
страна	הצד	страна	הצד	N;INDF;FEM;SG	
въпреки	חרף	въпреки	None	ADP	
градове	הערים	град	הערים	N;INDF;MASC;PL	V;MASC;SG;3;PST;ACT
население	דמוגרפיה	население	דמוגרפיה	N;INDF;NEUT;SG	PROPN
население	אוכלוסיית	население	אוכלוסייה	N;INDF;NEUT;SG	N;PSSD;FEM;SG
завършва	מסתיים	завършвам	הסתיים	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
завършва	מסתיימת	завършвам	הסתיים	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
бил	ביל	съм	ביל	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	PROPN
бил	שביל	съм	שביל	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	
малко	קטן	малко	קטן	ADV;INDF;PL	ADJ;MASC;SG
малко	קטנה	малко	קטן	ADV;INDF;PL	ADJ;FEM;SG
малко	ליטל	малко	ניטל	ADV;INDF;PL	PROPN
хора	אנשים	хора	איש	N;INDF	N;MASC;PL
германия	גרמניה	германия	גרמניה	PROPN;INDF;FEM;SG	PROPN
могат	יכולה	мога	יכול	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
могат	יכול	мога	None	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
син	כחולה	син	כחול	N;INDF;MASC;SG	ADV
син	בלו	син	בלו	N;INDF;MASC;SG	PROPN
син	כחול	син	כחול	N;INDF;MASC;SG	
син	בני	син	בני	N;INDF;MASC;SG	PROPN
син	בן	син	בן	N;INDF;MASC;SG	PROPN
награда	פרס	награда	פרס	N;INDF;FEM;SG	PROPN
награда	גמול	награда	גמול	N;INDF;FEM;SG	PROPN
награда	פרס	награда	פרס	N;INDF;FEM;SG	PROPN
награда	פרס	награда	פרס	N;INDF;FEM;SG	PROPN
георги	גאורגי	георга	גאורגי	PROPN;INDF;MASC;SG	PROPN
голяма	גדולים	голям	גדול	ADJ;INDF;FEM;SG	ADJ;MASC;PL
голяма	ביג	голям	ביג	ADJ;INDF;FEM;SG	
голяма	גדולים	голям	גדול	ADJ;INDF;FEM;SG	ADJ;MASC;PL
италия	איטליה	италия	איטליה	PROPN;INDF;FEM;SG	PROPN
сайт	האתר	сайт	האתר	N;INDF;MASC;SG	
край	סיום	край	סיום	ADP	N;MASC;SG
край	סוף	край	None	ADP	ADV
край	סופו	край	סופה	ADP	
край	קץ	край	קץ	ADP	
уикипедия	ויקיפדיה	уикипедия	ויקיפדיה	N;INDF;FEM;SG	PROPN
използва	משתמשת	използвам	השתמש	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
използва	שימושים	използвам	שימושים	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
сезон	העונה	сезон	העונה	N;INDF;MASC;SG	ADV
окръг	המחוז	окръг	המחוז	N;INDF;MASC;SG	
смъртта	המוות	смърт	המווה	N;DEF;FEM;SG	
смъртта	מות	смърт	מוות	N;DEF;FEM;SG	
франция	צרפת	франция	צרפת	PROPN;INDF;FEM;SG	PROPN
национален	לאומי	национален	לאומי	ADJ;INDF;MASC;SG	PROPN
национален	לאומית	национален	לאומי	ADJ;INDF;MASC;SG	ADV
гърция	יוון	гърция	יוון	PROPN;INDF;FEM;SG	PROPN
вижте	ראי	видя-(се)	ראי	V;PFV;IMP;PL;2;FIN	
вижте	רואה	видя-(се)	ראה	V;PFV;IMP;PL;2;FIN	V;MASC;SG;V.PTCP;ACT
вижте	ראה	видя-(се)	ראה	V;PFV;IMP;PL;2;FIN	V;MASC;SG;3;PST;ACT
русия	רוסיה	русия	רוסיה	PROPN;INDF;FEM;SG	PROPN
английски	אנגלית	английски	אנגלית	ADJ;INDF;MASC;SG	PROPN
първи	ראשון	първи	ראשון	ADJ;INDF;MASC;SG	PROPN
първи	קודם	първи	קודם	ADJ;INDF;MASC;SG	ADV
първи	ראשית	първи	ראשית	ADJ;INDF;MASC;SG	ADV
първи	תחילה	първи	תחילה	ADJ;INDF;MASC;SG	ADV
член	המאמר	член	המאמר	N;INDF;MASC;SG	PROPN
дъщеря	בתי	дъщеря	בית	N;INDF;FEM;SG	PROPN
дъщеря	הבת	дъщеря	הבת	N;INDF;FEM;SG	
система	המערכת	система	המערך	N;INDF;FEM;SG	
нея	שלה	аз	של	PRO;ACC;FEM;SG;3	
нея	בה	аз	ב	PRO;ACC;FEM;SG;3	
нея	לה	аз	ל	PRO;ACC;FEM;SG;3	
нея	עליה	аз	על	PRO;ACC;FEM;SG;3	
училище	לימודים	училище	לימודים	N;INDF;NEUT;SG	N;MASC;PL
били	בילי	съм	בילי	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN
били	בילי	съм	בילי	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN
света	סווטה	свят	סווטה	N;DEF;MASC;SG	PROPN
света	העולם	свят	העולם	N;DEF;MASC;SG	
филми	קולנוע	филм	קולנוע	N;INDF;MASC;PL	N;MASC;SG
александър	אלכסנדר	александър	אלכסנדר	PROPN;INDF;MASC;SG	PROPN
умира	ימות	умирам	יום	V;IPFV;IND;SG;3;PRS;FIN;ACT	
умира	גוסס	умирам	גסס	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
умира	למות	умирам	מת	V;IPFV;IND;SG;3;PRS;FIN;ACT	
южна	דרומי	южен	דרומי	ADJ;INDF;FEM;SG	PROPN
южна	דרומית	южен	דרומי	ADJ;INDF;FEM;SG	ADV
южна	דרום	южен	דרום	ADJ;INDF;FEM;SG	N;MASC;SG
южна	הדרומי	южен	הדרום	ADJ;INDF;FEM;SG	PROPN
южна	דרום	южен	דרום	ADJ;INDF;FEM;SG	N;MASC;SG
южна	דרומה	южен	דרומה	ADJ;INDF;FEM;SG	
южна	הדרום	южен	הדרום	ADJ;INDF;FEM;SG	
европа	אירופה	европа	אירופה	PROPN;INDF;FEM;SG	PROPN
европа	אירופה	европа	אירופה	PROPN;INDF;FEM;SG	PROPN
димитър	דימיטר	димитър	דימיטר	PROPN;INDF;MASC;SG	PROPN
всеки	מישהו	всеки	מישהו	PRO;NOM;MASC;SG	N;MASC;SG
всеки	כולם	всеки	None	PRO;NOM;MASC;SG	N;MASC;PL
баща	אבא	баща	אבא	N;INDF;MASC;SG	
баща	אבי	баща	אבי	N;INDF;MASC;SG	PROPN
нова	חדשים	нов	חדש	ADJ;INDF;FEM;SG	ADJ;MASC;PL
нова	נובה	нов	נובה	ADJ;INDF;FEM;SG	PROPN
крал	המלך	крал	המלך	N;INDF;MASC;SG	
крал	קינג	крал	קינג	N;INDF;MASC;SG	PROPN
църква	כנסיה	църква	כנסיה	N;INDF;FEM;SG	PROPN
докато	בזמן	докато	בזמן	CONJ	PROPN
докато	עד	докато	עד	CONJ	ADP
официален	רישמי	официален	רישמי	ADJ;INDF;MASC;SG	PROPN
северна	צפונה	северен	צפון	ADJ;INDF;FEM;SG	ADV
северна	הצפון	северен	הצפון	ADJ;INDF;FEM;SG	PROPN
северна	צפון	северен	צפון	ADJ;INDF;FEM;SG	N;MASC;SG
северна	צפון	северен	צפון	ADJ;INDF;FEM;SG	N;MASC;SG
времето	הזמן	време	הזמן	N;DEF;NEUT;SG	
времето	טיים	време	טיים	N;DEF;NEUT;SG	PROPN
българска	בולגריה	български	בולגריה	ADJ;INDF;FEM;SG	PROPN
българска	בולגרית	български	בולגרית	ADJ;INDF;FEM;SG	PROPN
освен	מלבד	освен	מלבד	ADP	
места	למקומות	място	למקום	N;INDF;NEUT;PL	
места	מושבי	място	מושב	N;INDF;NEUT;PL	ADJ;MASC;PL
места	מושב	място	מושב	N;INDF;NEUT;PL	
начин	דרך	начин	דרך	N;INDF;MASC;SG	
резултат	ציון	резултат	ציון	N;INDF;MASC;SG	PROPN
резултат	תוצאות	резултат	תוצאה	N;INDF;MASC;SG	N;FEM;PL
данни	מידע	данна	מידע	N;INDF;FEM;PL	N;MASC;SG
данни	דאטה	данна	דאטה	N;INDF;FEM;PL	PROPN
страница	דף	страница	דף	N;INDF;FEM;SG	
страница	עמוד	страница	עמוד	N;INDF;FEM;SG	
страница	הדף	страница	הדף	N;INDF;FEM;SG	
картинка	התמונה	картинка	התמונה	N;INDF;FEM;SG	V;FEM;SG;3;PST
картинка	התמונה	картинка	התמונה	N;INDF;FEM;SG	V;FEM;SG;3;PST
граф	גראף	граф	גראף	N;INDF;MASC;SG	PROPN
родени	נולדת	родя-(се)	נולדת	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;V.PTCP;MID
родени	נולדתי	родя-(се)	נולדתי	V;PFV;INDF;PL;V.PTCP;PASS	V;SG;1;PST;MID
родени	נולדו	родя-(се)	נולד	V;PFV;INDF;PL;V.PTCP;PASS	V;PL;3;PST;MID
родени	נולד	родя-(се)	נולד	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;3;PST;MID
родени	נולדה	родя-(се)	נולד	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;3;PST;MID
играе	שחק	играя	שחק	V;IPFV;IND;SG;3;PRS;FIN;ACT	
играе	נגן	играя	נגן	V;IPFV;IND;SG;3;PRS;FIN;ACT	
играе	שחקי	играя	שחק	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
играе	מנגן	играя	מנגן	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
играе	הפעלות	играя	הפעלה	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
играе	מחזות	играя	מחזה	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
играе	משחקת	играя	משחקה	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
играе	משחק	играя	משחק	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
играе	מנגן	играя	מנגן	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
живот	life	живот	life	N;INDF;MASC;SG	
живот	החיים	живот	החיים	N;INDF;MASC;SG	ADV
живот	חיים	живот	חיים	N;INDF;MASC;SG	PROPN
император	קיסר	император	קיסר	N;INDF;MASC;SG	PROPN
император	הקיסר	император	הקיסר	N;INDF;MASC;SG	PROPN
църквата	כנסיה	църква	כנסיה	N;DEF;FEM;SG	PROPN
ден	day	ден	day	N;INDF;MASC;SG	
руски	רוסייה	руски	רוסייה	ADJ;INDF;MASC;SG	PROPN
руски	רוסית	руски	רוסית	ADJ;INDF;MASC;SG	PROPN
руски	רוסי	руски	רוסי	ADJ;INDF;MASC;SG	N;MASC;SG
известен	ידוע	известен	ידוע	ADJ;INDF;MASC;SG	N;MASC;SG
известен	הידוע	известен	הידוע	ADJ;INDF;MASC;SG	
известен	ידועה	известен	ידע	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP;ACT
известен	ידועים	известен	ידוע	ADJ;INDF;MASC;SG	N;MASC;PL
известен	מפורסם	известен	מפורסם	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP;PASS
известен	מפורסמים	известен	מפורסם	ADJ;INDF;MASC;SG	ADJ;MASC;PL
известен	המפורסם	известен	המפורסם	ADJ;INDF;MASC;SG	PROPN
известен	מפורסמות	известен	מפורסם	ADJ;INDF;MASC;SG	ADJ;FEM;PL
добре	טוב	добре	טוב	ADV	ADJ;MASC;SG
добре	יופי	добре	יופי	ADV	PROPN
мария	מריה	мария	מריה	N;INDF;FEM;SG	PROPN
дори	אפילו	дори	אפילו	PART	CONJ
води	מוביל	водя	הוביל	V;IPFV;IMP;SG;2;FIN	V;MASC;SG;V.PTCP;ACT
води	ווטרס	водя	ווטרס	V;IPFV;IMP;SG;2;FIN	PROPN
води	עופרת	водя	עפר	V;IPFV;IMP;SG;2;FIN	N;FEM;SG
тогава	ואז	тогава	ואז	ADV	
голям	גדולים	голям	גדול	ADJ;INDF;MASC;SG	ADJ;MASC;PL
голям	ביג	голям	ביג	ADJ;INDF;MASC;SG	
голям	גדולים	голям	גדול	ADJ;INDF;MASC;SG	ADJ;MASC;PL
род	רוד	род	רוד	N;INDF;MASC;SG	PROPN
печели	נצחונות	печеля	נצחון	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
печели	זוכה	печеля	זכה	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
печели	מנצח	печеля	מנצח	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
печели	מנצחת	печеля	ניצח	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
печели	ניצחונות	печеля	ניצחון	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
страни	מסיבות	страна	מסיבה	N;INDF;FEM;PL	
страни	צד	страна	צד	N;INDF;FEM;PL	N;MASC;SG
площ	האזור	площ	האזור	N;INDF;FEM;SG	PROPN
острови	האיים	островя-(се)	האיים	N;INDF;FEM;PL	PROPN
острови	איים	островя-(се)	אי	N;INDF;FEM;PL	PROPN
код	קוד	код	קוד	N;INDF;MASC;SG	
френски	צרפתי	френски	צרפתי	ADJ;INDF;MASC;SG	PROPN
френски	צרפתית	френски	צרפתית	ADJ;INDF;MASC;SG	PROPN
френски	צרפתים	френски	צרפתי	ADJ;INDF;MASC;SG	N;MASC;PL
генерал	כללי	генерал	כלל	N;INDF;MASC;SG	N;MASC;PL
защото	כי	защото	כי	ADV	CONJ
защото	בגלל	защото	בגלל	ADV	ADP
държава	ארצי	държава	ארצי	N;INDF;FEM;SG	PROPN
държава	המדינה	държава	המדין	N;INDF;FEM;SG	V;FEM;SG;3;PST;ACT
дата	תאריך	дата	תאריך	N;INDF;FEM;SG	PROPN
дата	התאריך	дата	התאריך	N;INDF;FEM;SG	ADV
дата	דייט	дата	דייט	N;INDF;FEM;SG	PROPN
двете	שתיהן	два	שתיים	NUM;DEF;FEM;PL	PRO;FEM;PL;3
двете	שניהם	два	שניים	NUM;DEF;FEM;PL	
големи	גדול	голям	גדול	ADJ;INDF;PL	ADJ;MASC;SG
големи	גדולה	голям	גדול	ADJ;INDF;PL	ADJ;FEM;SG
големи	ביג	голям	ביג	ADJ;INDF;PL	
големи	גדול	голям	גדול	ADJ;INDF;PL	ADJ;MASC;SG
големи	גדולה	голям	גדול	ADJ;INDF;PL	ADJ;FEM;SG
петър	פיטר	петър	פיטר	PROPN;INDF;MASC;SG	PROPN
петър	פטרוס	петър	פטרוס	PROPN;INDF;MASC;SG	PROPN
петър	פטר	петър	פטר	PROPN;INDF;MASC;SG	PROPN
остава	נותרת	оставам	נותרת	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;MID
остава	שרידים	оставам	שריד	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
остава	נותר	оставам	נותר	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;MID
остава	נשאר	оставам	נשאר	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;3;PST;MID
сили	פאוורס	сила	פאוורס	N;INDF;FEM;PL	PROPN
дължина	אורך	дължина	אורך	N;INDF;FEM;SG	
дължина	האורך	дължина	האורך	N;INDF;FEM;SG	PROPN
българи	בולגרים	българин	בולגרי	N;INDF;MASC;PL	PROPN
албум	האלבום	албум	האלבום	N;INDF;MASC;SG	PROPN
гръцки	יוונים	гръцки	יוון	ADJ;INDF;MASC;SG	N;MASC;PL
гръцки	יווני	гръцки	יווני	ADJ;INDF;MASC;SG	PROPN
гръцки	יוונית	гръцки	יוונית	ADJ;INDF;MASC;SG	PROPN
дни	ימי	ден	יום	N;INDF;MASC;PL	PROPN
съюз	האיחוד	съюз	האיחוד	N;INDF;MASC;SG	PROPN
съюз	הברית	съюз	הברית	N;INDF;MASC;SG	PROPN
партия	מסיבה	партия	מסיבה	N;INDF;FEM;SG	
партия	המפלגה	партия	המפלג	N;INDF;FEM;SG	PROPN
пише	כותבת	пиша	כתב	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
пише	כותב	пиша	כתב	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
брат	אח	брат	אח	N;INDF;MASC;SG	
брат	אחי	брат	אחי	N;INDF;MASC;SG	
работа	איוב	работа	איוב	N;INDF;FEM;SG	
остров	אי	остров	אי	N;INDF;MASC;SG	ADV
остров	האי	остров	האי	N;INDF;MASC;SG	
председател	נשיאה	председател	נשיאה	N;INDF;MASC;SG	PROPN
председател	הנשיא	председател	הנשיא	N;INDF;MASC;SG	PROPN
среща	תאריך	среща	תאריך	N;INDF;FEM;SG	PROPN
среща	התאריך	среща	התאריך	N;INDF;FEM;SG	ADV
среща	דייט	среща	דייט	N;INDF;FEM;SG	PROPN
среща	פגוש	среща	פגוש	N;INDF;FEM;SG	
среща	הכירו	среща	הכיר	N;INDF;FEM;SG	V;PL;3;PST;ACT
среща	לפגוש	среща	פגש	N;INDF;FEM;SG	V;NFIN;ACT
среща	תכירו	среща	תכירו	N;INDF;FEM;SG	V;PL;1;FUT;ACT
нови	חדש	нов	חדש	ADJ;INDF;PL	ADJ;MASC;SG
нови	חדשה	нов	חדש	ADJ;INDF;PL	ADJ;FEM;SG
включва	כולל	включвам-(се)	כלל	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
