から	no	から	no	CONJ	
終了	finišs	終了	finišs	V	N;NOM;MASC;SG
終了	beigas	終了	beigas	V	N;NOM;FEM
終了	izvešanas	終了	izvešana	V	N;NOM;FEM;PL
終了	izeja	終了	izeja	V	N;NOM;FEM;SG
終了	iziešanas	終了	iziešana	V	N;NOM;FEM;PL
終了	izbraukšana	終了	izbraukšana	V	N;NOM;FEM;SG
イギリス	anglija	イギリス	anglija	PROPN	N;NOM;FEM;SG
イギリス	england	イギリス	england	PROPN	
イギリス	angliju	イギリス	anglija	PROPN	PROPN;ACC;FEM;SG
中国	ķīna	中国	ķīns	PROPN	PROPN;NOM;FEM;SG
中国	china	中国	chināt	PROPN	
撮影	kinematogrāfija	撮影	kinematogrāfija	V	N;NOM;FEM;SG
撮影	photography	撮影	photography	V	
撮影	fotogrāfija	撮影	fotogrāfija	V	N;NOM;FEM;SG
撮影	filmēšana	撮影	filmēšana	V	N;NOM;FEM;SG
撮影	filmēšanas	撮影	filmēšana	V	N;NOM;FEM;SG
指定	apzīmējums	指定	apzīmējums	V	N;NOM;MASC;SG
位置	amats	位置	amats	V	N;NOM;MASC;SG
位置	novietojums	位置	novietojums	V	N;NOM;MASC;SG
位置	pozīcija	位置	pozīcija	V	N;NOM;FEM;SG
以下	zemāk	以下	zemi	N	ADV;CMPR
以下	zem	以下	zem	N	ADP
マン	mann	マン	mann	N	
卒業	izlaidums	卒業	izlaidums	V	N;NOM;MASC;SG
卒業	izlaiduma	卒業	izlaidums	V	N;GEN;MASC;SG
公開	publiski	公開	publiski	V	ADV
公開	publiskais	公開	publisks	V	ADJ;NOM;MASC;SG
公開	publiska	公開	publiska	V	ADJ;NOM;FEM;SG
北海道	hokaido	北海道	hokaidot	PROPN	N
最終	pēdējo	最終	pēdējais	N	ADJ;ACC;MASC;SG
最終	pēdējais	最終	pēdējs	N	ADJ;NOM;MASC;SG
最終	pēdējā	最終	pēdējā	N	ADJ;NOM;FEM;SG
最終	pēdējās	最終	pēdējā	N	ADJ;NOM;FEM;PL
最終	galīgais	最終	galīgs	N	ADJ;NOM;MASC;SG
最終	galīgo	最終	galīgs	N	ADJ;ACC;MASC;SG
最終	galīgā	最終	galīga	N	ADJ;NOM;FEM;SG
アニメ	anime	アニメ	anime	N	
確認	apstiprināšana	確認	apstiprināšana	V	N;NOM;FEM;SG
確認	apstiprinājums	確認	apstiprinājums	V	N;NOM;MASC;SG
一般	vispārējā	一般	vispārējs	N	ADJ;NOM;FEM;SG
一般	vispārējais	一般	vispārējs	N	ADJ;NOM;MASC;SG
一般	vispārīgi	一般	vispārīgi	N	ADV
一般	vispārēji	一般	vispārējs	N	ADV
計画	plānotais	計画	plānot	N	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
計画	plānota	計画	plānot	N	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
計画	plānoto	計画	plānot	N	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
計画	plānots	計画	plānot	N	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
計画	plānotie	計画	plānot	N	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
計画	plānotās	計画	plānot	N	V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
計画	plāni	計画	plāns	N	ADJ;NOM;MASC;PL
得点	score	得点	score	N	
コメント	komentēt	コメント	komentēt	N	V;POS;NFIN
コメント	komentē	コメント	komentēt	N	V;FH;IND;3;POS;PRS;FIN;ACT
コメント	komentēja	コメント	komentēt	N	V;FH;IND;3;POS;PST;FIN;ACT
漫画	manga	漫画	manga	N	
他の	citas	他の	cita	ADJ	PRO;NOM;FEM;PL
他の	citi	他の	cits	ADJ	PRO;NOM;MASC;PL
自身	pati	自身	pati	N	PRO;NOM;FEM;SG
就任	pieņēmums	就任	pieņēmums	V	N;NOM;MASC;SG
販売	pārdošanas	販売	pārdošana	V	N;NOM;FEM;SG
販売	pārdošana	販売	pārdošana	V	N;NOM;FEM;SG
販売	pārdošana	販売	pārdošana	V	N;NOM;FEM;SG
攻撃	uzbrukumiem	攻撃	uzbrukums	V	N;DAT;MASC;PL
攻撃	uzbrukumi	攻撃	uzbrukums	V	N;NOM;MASC;PL
攻撃	uzbrukumos	攻撃	uzbrukums	V	N;ESS;MASC;PL
攻撃	uzbrukums	攻撃	uzbrukums	V	N;NOM;MASC;SG
攻撃	uzbrukumu	攻撃	uzbrukums	V	N;ACC;MASC;SG
攻撃	uzbrukumā	攻撃	uzbrukums	V	N;ESS;MASC;SG
リー	lī	リー	lī	N	
デビュー	pirmizrādi	デビュー	pirmizrāde	V	N;ACC;FEM;SG
フジ	fuji	フジ	fuji	PROPN	
自分	pats	自分	pats	N	PRO;NOM;MASC;SG
製作	ražošana	製作	ražošana	V	N;NOM;FEM;SG
製作	produkcija	製作	produkcija	V	N;NOM;FEM;SG
当初	sākotnēji	当初	sākotnēji	N	ADV
最初	pirmais	最初	pirmais	N	ADJ;NOM;DEF;MASC;SG
最初	pirmā	最初	pirmā	N	ADJ;NOM;DEF;FEM;SG
最初	pirmās	最初	pirmā	N	ADJ;NOM;DEF;FEM;PL
最初	pirmie	最初	pirmais	N	ADJ;NOM;DEF;MASC;PL
最初	pirma	最初	pirma	N	ADJ;NOM;FEM;SG
最初	vispirms	最初	vispirms	N	ADV
受賞	apbalvošana	受賞	apbalvošana	V	N;NOM;FEM;SG
受賞	balva	受賞	balva	V	N;NOM;FEM;SG
受賞	balvas	受賞	balva	V	N;NOM;FEM;PL
受賞	apbalvošana	受賞	apbalvošana	V	N;NOM;FEM;SG
受賞	balva	受賞	balva	V	N;NOM;FEM;SG
受賞	piešķiršana	受賞	piešķiršana	V	N;NOM;FEM;SG
受賞	piešķiršanas	受賞	piešķiršana	V	N;NOM;FEM;PL
広島	hirosimas	広島	hirosima	PROPN	PROPN;NOM;FEM;SG
リンク	saikne	リンク	saikne	V	N;NOM;FEM;SG
リンク	saite	リンク	saite	V	N;NOM;FEM;SG
リンク	saites	リンク	saite	V	N;NOM;FEM;PL
リンク	links	リンク	links	V	N;NOM;MASC;SG
合併	apvienošana	合併	apvienošana	V	N;NOM;FEM;SG
合併	apvienošanās	合併	apvienošanās	V	N;NOM;FEM;SG
合併	apvienošanas	合併	apvienošana	V	N;NOM;FEM;PL
合併	apvienošana	合併	apvienošana	V	N;NOM;FEM;SG
合併	apvienošanās	合併	apvienošanās	V	N;NOM;FEM;SG
合併	apvienošanos	合併	apvienošanās	V	N;ACC;FEM;SG
特定	specifiskas	特定	specifiska		ADJ;NOM;FEM;PL
特定	īpašie	特定	īpašs		ADJ;NOM;MASC;PL
特定	precizēts	特定	precizēt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
特定	norādītā	特定	norādīt		V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
特定	norādīts	特定	norādīt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
朝日	asahi	朝日	asahi	PROPN	N;NOM;MASC;SG
意味	nozīme	意味	nozīme	V	N;NOM;FEM;SG
意味	jēga	意味	jēga	V	N;NOM;FEM;SG
モデル	model	モデル	model	N	
建設	celtniecība	建設	celtniecība	V	N;NOM;FEM;SG
建設	būve	建設	būve	V	N;NOM;FEM;SG
建設	uzbūve	建設	uzbūve	V	N;NOM;FEM;SG
建設	būvniecība	建設	būvniecība	V	N;NOM;FEM;SG
建設	konstrukcija	建設	konstrukcija	V	N;NOM;FEM;SG
とき	kad	とき	kad	N	ADV
最後	pēdējo	最後	pēdējais	N	ADJ;ACC;MASC;SG
最後	pēdējais	最後	pēdējs	N	ADJ;NOM;MASC;SG
最後	pēdējā	最後	pēdējā	N	ADJ;NOM;FEM;SG
最後	pēdējās	最後	pēdējā	N	ADJ;NOM;FEM;PL
最高	labākie	最高	labs	N	ADJ;NOM;CMPR;MASC;PL
最高	vislabāk	最高	labi	N	ADV;RL
最高	labākās	最高	laba	N	ADJ;NOM;CMPR;FEM;PL
最高	labākais	最高	labs	N	ADJ;NOM;CMPR;MASC;SG
ブロック	bloķēt	ブロック	bloķēt	N	V;POS;NFIN
発生	sastopamība	発生	sastopamība	V	N;NOM;FEM;SG
発生	sastopamību	発生	sastapamība	V	N;ACC;FEM;SG
連続	nepārtrauktība	連続	nepārtrauktība	ADJ	N;NOM;FEM;SG
連続	nepārtrauktību	連続	nepārtrauktība	ADJ	N;ACC;FEM;SG
連続	nepārtrauktības	連続	nepārtrauktība	ADJ	N;NOM;FEM;PL
連続	nepārtrauktu	連続	nepārtraukt	ADJ	V;SG;NEG;PRS;FIN
連続	nepārtraukti	連続	nepārtraukti	ADJ	ADV
構成	konfigurācija	構成	konfigurācija	V	N;NOM;FEM;SG
構成	sastāvs	構成	sastāvs	V	N;NOM;MASC;SG
構成	struktūra	構成	struktūra	V	N;NOM;FEM;SG
構成	uzbūve	構成	uzbūve	V	N;NOM;FEM;SG
構成	konfigurācijas	構成	konfigurācija	V	N;NOM;FEM;PL
構成	sastāvi	構成	sastāve	V	N;NOM;MASC;PL
最大	maksimālais	最大	maksimāls	N	ADJ;NOM;MASC;SG
最大	maksimālā	最大	maksimāls	N	ADJ;NOM;FEM;SG
最大	maksimāli	最大	maksimāli	N	ADV
最大	lielākais	最大	liels	N	ADJ;NOM;CMPR;MASC;SG
最大	lielākā	最大	liela	N	ADJ;NOM;CMPR;FEM;SG
それぞれ	katrs	それぞれ	katrs	ADV	PRO;NOM;MASC;SG
それぞれ	katru	それぞれ	katra	ADV	PRO;ACC;MASC;SG
それぞれ	katra	それぞれ	katra	ADV	PRO;NOM;FEM;SG
参照	atsauces	参照	atsauce	V	N;NOM;FEM;PL
参照	atsauce	参照	atsauce	V	N;NOM;FEM;SG
参照	rekomendācijas	参照	rekomendācija	V	N;NOM;FEM;PL
参照	atsauces	参照	atsauce	V	N;NOM;FEM;PL
発行	izdota	発行	izdot	N	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
発行	izsniegta	発行	izsniegt	N	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
発行	izdots	発行	izdot	N	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
発行	izsniegts	発行	izsniegt	N	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
発行	emitēt	発行	emitēt	N	V;POS;NFIN
発行	izdot	発行	izdot	N	V;POS;NFIN
画像	ilustratīvs	画像	ilustratīvs	N	ADJ;NOM;MASC;SG
ダム	dam	ダム	ds	N	
ホーム	home	ホーム	home	N	
ホーム	majas	ホーム	maja	N	ADJ;NOM;FEM;PL
運行	darbība	運行	darbība	V	N;NOM;FEM;SG
運行	operācija	運行	operācija	V	N;NOM;FEM;SG
運行	ekspluatācija	運行	ekspluatācija	V	N;NOM;FEM;SG
投稿	amats	投稿	amats	V	N;NOM;MASC;SG
投稿	pasts	投稿	pasts	V	
投稿	post	投稿	post	V	
投稿	amati	投稿	amats	V	N;NOM;MASC;PL
投稿	ieraksti	投稿	ierakste	V	N;NOM;MASC;PL
投稿	amatu	投稿	amats	V	N;ACC;MASC;SG
福岡	fukuoka	福岡	fukuoks	PROPN	N;NOM;MASC;SG
調査	aptaujas	調査	aptauja	V	N;NOM;FEM;PL
調査	izmeklēšana	調査	izmeklēšana	V	N;NOM;FEM;SG
調査	izmeklēšanā	調査	izmeklēšana	V	N;ESS;FEM;SG
調査	apskate	調査	apskate	V	N;NOM;FEM;SG
調査	aptauja	調査	aptauja	V	N;NOM;FEM;SG
イタリア	itālija	イタリア	itālija	PROPN	N;NOM;FEM;SG
ロシア	krievu	ロシア	krievs	PROPN	N;ACC;MASC;SG
ロシア	krieviski	ロシア	krieviski	PROPN	ADV
ロシア	krievs	ロシア	krievs	PROPN	N;NOM;MASC;SG
ロシア	krievijas	ロシア	krievija	PROPN	PROPN;NOM;FEM;SG
ロシア	krievija	ロシア	krievija	PROPN	N;NOM;FEM;SG
独立	neatkarīgi	独立	neatkarīgi	ADJ	ADV
独立	neatkarība	独立	neatkarība	ADJ	N;NOM;FEM;SG
サン	san	サン	san	N	
通常	parasti	通常	parasti	N	ADV
通常	parasti	通常	parasti	N	ADV
スーパー	super	スーパー	super	N	
影響	ietekme	影響	ietekme	V	N;NOM;FEM;SG
勝利	uzvaras	勝利	uzvara	V	N;NOM;FEM;PL
勝利	win	勝利	win	V	
勝利	uzvaras	勝利	uzvara	V	N;NOM;FEM;PL
勝利	uzvara	勝利	uzvara	V	N;NOM;FEM;SG
勝利	uzvaras	勝利	uzvara	V	N;NOM;FEM;PL
勝利	uzvara	勝利	uzvara	V	N;NOM;FEM;SG
勝利	uzvaras	勝利	uzvara	V	N;NOM;FEM;PL
勝利	uzvaru	勝利	uzvara	V	N;ACC;FEM;SG
デザイン	projektējot	デザイン	projektēt	N	V;V.CVB
デザイン	izstrādājot	デザイン	izstrādāt	N	V;V.CVB
全て	viss	全て	viss	ADV	PRO;NOM;MASC;SG
全て	visam	全て	viss	ADV	PRO;DAT;MASC;SG
全て	visu	全て	viss	ADV	PRO;ACC;MASC;SG
アン	anne	アン	anne	PROPN	
アン	anna	アン	anna	PROPN	PROPN;NOM;FEM;SG
アン	ang	アン	ang	PROPN	
アン	anna	アン	anna	PROPN	PROPN;NOM;FEM;SG
戦い	kaujā	戦う	kaujā	V	N;ESS;FEM;SG
戦い	kauja	戦う	kauja	V	N;NOM;FEM;SG
戦い	cīņa	戦う	cīņa	V	N;NOM;FEM;SG
戦い	kaujas	戦う	kauja	V	N;NOM;FEM;PL
実施	īstenošana	実施	īstenošana	V	N;NOM;FEM;SG
実施	ieviešana	実施	ieviešana	V	N;NOM;FEM;SG
ここ	šeit	ここ	šeit	PRO	ADV
ここ	te	ここ	te	PRO	ADV
以前	bij	以前	būt	N	V;FH;IND;3;POS;PST;FIN;ACT
以前	pirms	以前	pirms	N	ADP
統合	integrēšana	統合	integrēšana	V	N;NOM;FEM;SG
統合	integrācija	統合	integrācija	V	N;NOM;FEM;SG
ビル	bils	ビル	bils	N	PROPN;NOM;MASC;SG
日本語	japānas	日本語	japāna	N	PROPN;NOM;FEM;SG
契約	līgumi	契約	līgums	V	N;NOM;MASC;PL
契約	līgums	契約	līgums	V	N;NOM;MASC;SG
契約	līguma	契約	līgums	V	N;GEN;MASC;SG
設定	iestatījumi	設定	iestatījums	V	N;NOM;MASC;PL
設定	preferences	設定	preference	V	N;NOM;FEM;PL
設定	atvieglojumi	設定	atvieglojums	V	N;NOM;MASC;PL
設定	iestatījumi	設定	iestatījums	V	N;NOM;MASC;PL
設定	uzstādījumi	設定	uzstādījums	V	N;NOM;MASC;PL
設定	konfigurācija	設定	konfigurācija	V	N;NOM;FEM;SG
ライブ	dzīvas	ライブ	dzīva	N	ADJ;NOM;FEM;PL
ライブ	dzīvot	ライブ	dzīvot	N	V;POS;NFIN
ライブ	dzīvo	ライブ	dzīvot	N	V;FH;IND;3;POS;PRS;FIN;ACT
ライブ	live	ライブ	live	N	
含む	tostarp	含む	tostarp	V	
専門	specializētas	専門	specializēt	N	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
専門	specializēta	専門	specializēt	N	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
専門	specializēti	専門	specializēt	N	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
完成	pabeigšana	完成	pabeigšana	V	N;NOM;FEM;SG
完成	pabeigšanas	完成	pabeigšana	V	N;NOM;FEM;SG
表記	pieraksts	表記	pieraksts	V	N;NOM;MASC;SG
表記	pieraksta	表記	pierakstīt	V	N;GEN;MASC;SG
運転	braukšanas	運転	braukšana	V	N;NOM;FEM;SG
運転	braukšana	運転	braukšana	V	N;NOM;FEM;SG
運転	vadīšana	運転	vadīšana	V	N;NOM;FEM;SG
写真	photography	写真	photography	N	
関連	attiecīgais	関連	attiecīgs	V	ADJ;NOM;MASC;SG
高い	augstu	高い	augstu	ADJ	ADV
高い	dārgi	高い	dārgs	ADJ	ADV
生産	ražošana	生産	ražošana	V	N;NOM;FEM;SG
生産	produkcija	生産	produkcija	V	N;NOM;FEM;SG
横浜	yokohama	横浜	yokohams	PROPN	
上	virs	上	virs	N	ADP
上	augstāk	上	augsti	N	ADV;CMPR
管理	pārvaldība	管理	pārvaldība	V	N;NOM;FEM;SG
管理	apsaimniekošana	管理	apsaimniekošana	V	N;NOM;FEM;SG
管理	vadība	管理	vadība	V	N;NOM;FEM;SG
管理	pārvaldības	管理	pārvaldība	V	N;NOM;FEM;PL
バー	bar	バー	bar	N	
ジョン	džons	ジョン	džons	PROPN	PROPN;NOM;MASC;SG
公園	park	公園	park	N	
スポーツ	sport	スポーツ	sport	N	
生活	life	生活	life	V	
生活	dzīve	生活	dzīve	V	N;NOM;FEM;SG
生活	dzīvi	生活	dzīve	V	N;ACC;FEM;SG
生活	dzīvība	生活	dzīvība	V	N;NOM;FEM;SG
新潟	niigata	新潟	nigats	PROPN	N;NOM;FEM;SG
不明	nezināma	不明	nezināt	ADJ	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
不明	nezināms	不明	nezināt	ADJ	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
電気	elektriskais	電気	elektrisks	N	ADJ;NOM;MASC;SG
電気	elektriskās	電気	elektriska	N	ADJ;NOM;FEM;PL
電気	elektriskie	電気	elektrisks	N	ADJ;NOM;MASC;PL
電気	elektriskā	電気	elektriska	N	ADJ;NOM;FEM;SG
電気	elektrisko	電気	elektriska	N	ADJ;ACC;MASC;SG
作成	izveidošanas	作成	izveidošana	V	N;NOM;FEM;SG
作成	izveide	作成	izveide	V	N;NOM;FEM;SG
作成	izveidošana	作成	izveidošana	V	N;NOM;FEM;SG
作成	radīšana	作成	radīšana	V	N;NOM;FEM;SG
ガン	ierocis	ガン	ierokt	N	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
予定	plānota	予定	plānot	N	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
予定	plānots	予定	plānot	N	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
予定	plānotie	予定	plānot	N	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
