den	os	den	o	PRO;DEF;MASC+FEM;SG	PRO;ACC;MASC;PL;3
millimeter	milímetro	millimet	milímetro	N;NOM;INDF;MASC+FEM;PL	N;MASC;SG
genomsnitt	médio	genomsnitt	médio	N;NOM;INDF;NEUT;SG	ADJ;MASC;SG
genomsnitt	médias	genomsnitt	média	N;NOM;INDF;NEUT;SG	N;FEM;PL
genomsnittlig	média	genomsnittlig	média	ADJ;NOM;INDF;MASC+FEM;SG	N;FEM;SG
var	var	var	var	PRO;INDF;MASC+FEM;SG	N;MASC;SG
var	estava	var	estar	PRO;INDF;MASC+FEM;SG	V;IND;SG;3;IPFV;FIN
var	era	var	ser	PRO;INDF;MASC+FEM;SG	V;IND;SG;3;IPFV;FIN
var	tava	var	tavo	PRO;INDF;MASC+FEM;SG	V;IND;SG;1;IPFV;FIN
var	foi	var	foi	PRO;INDF;MASC+FEM;SG	ADV
var	estavam	var	estar	PRO;INDF;MASC+FEM;SG	V;IND;PL;3;IPFV;FIN
var	foram	var	ser	PRO;INDF;MASC+FEM;SG	V;IND;PL;3;PST;FIN
var	eram	var	ser	PRO;INDF;MASC+FEM;SG	V;IND;PL;3;IPFV;FIN
var	aonde	var	aonde	PRO;INDF;MASC+FEM;SG	ADV
var	onde	var	onde	PRO;INDF;MASC+FEM;SG	ADV
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	N;MASC;SG
har	tenha	ha	ter	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
per	per	per	per	ADP	N;MASC;SG
vattendrag	rios	vattendrag	rio	N;NOM;INDF;NEUT;SG	N;MASC;PL
från	do	från	do	ADP	N;MASC;SG
från	da	från	da	ADP	INTJ
kanada	canadá	kanad	canadá	PROPN;NOM	N;MASC;SG
kanada	canada	kanad	canada	PROPN;NOM	N;FEM;SG
högsta	supremo	hög	supremo	ADJ;NOM;DEF;RL	N;MASC;SG
högsta	suprema	hög	supremo	ADJ;NOM;DEF;RL	N;FEM;SG
högsta	máximo	hög	máximo	ADJ;NOM;DEF;RL	N;MASC;SG
högsta	máxima	hög	grande	ADJ;NOM;DEF;RL	N;FEM;SG
kan	poderiam	kunna	poder	V;IND;PRS;FIN;ACT	V;COND;PL;3;FIN
kan	podia	kunna	poder	V;IND;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
kan	poderia	kunna	poder	V;IND;PRS;FIN;ACT	V;COND;SG;3;FIN
kan	podiam	kunna	poder	V;IND;PRS;FIN;ACT	V;IND;PL;3;IPFV;FIN
kan	pode	kunna	poder	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kan	podem	kunna	poder	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
kan	lata	kunna	lata	V;IND;PRS;FIN;ACT	N;FEM;SG
kan	can	kunna	can	V;IND;PRS;FIN;ACT	N;MASC;SG
externa	externo	ext	externo	N;NOM;DEF;MASC+FEM;PL	ADJ;MASC;SG
externa	externos	ext	externo	N;NOM;DEF;MASC+FEM;PL	ADJ;MASC;PL
externa	externa	ext	externo	N;NOM;DEF;MASC+FEM;PL	N;FEM;SG
under	under	under	under	ADP	N;MASC;SG
inte	não	inte	não	PART;NEG	INTJ
sig	sig	sig	sig	PRO;ACC;DEF	N;MASC;SG
två	two	två	two	NUM;NOM	N;MASC;SG
lac	lac	lac	lac	V;IMP;FIN;ACT	N;MASC;SG
terrängen	terrenos	terräng	terreno	N;NOM;DEF;MASC+FEM;SG	N;MASC;PL
long	longa	long	longo	N;NOM;INDF;MASC+FEM;SG	ADJ;FEM;SG
long	longos	long	longo	N;NOM;INDF;MASC+FEM;SG	ADJ;MASC;PL
long	longo	long	longo	N;NOM;INDF;MASC+FEM;SG	ADV
lat	preguiçosa	lat	preguiçoso	N;NOM;INDF;MASC+FEM;SG	ADJ;FEM;SG
lat	preguiçosos	lat	preguiçoso	N;NOM;INDF;MASC+FEM;SG	ADJ;MASC;PL
lat	preguiçoso	lat	preguiçoso	N;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
växer	crescente	växa	crescente	V;IND;PRS;FIN;ACT	ADJ;MASC;SG
växer	cresçam	växa	crescer	V;IND;PRS;FIN;ACT	V;SBJV;PL;3;PRS;FIN
växer	cresça	växa	cresco	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
efter	after	efter	after	ADP	N;MASC;SG
efter	depois	efter	depois	ADP	ADV
nära	fecha	nära	fechar	ADV	V;IND;SG;3;PRS;FIN
nära	feche	nära	fecher	ADV	V;SBJV;SG;3;PRS;FIN
nära	close	nära	close	ADV	N;MASC;SG
nära	fechar	nära	fechar	ADV	V;NFIN
först	primeira	först	primeiro	ADV	ADJ;FEM;SG
först	primeiros	först	primeiro	ADV	ADJ;MASC;PL
berg	montanhas	berg	montanha	N;NOM;INDF;NEUT;SG	N;FEM;PL
indonesien	indonésia	indonesien	indonésio	PROPN;NOM	N;MASC;SG
usa	eua	usa	eua	PROPN;NOM	PROPN;MASC;PL
usa	usa	usa	usar	PROPN;NOM	V;IND;SG;3;PRS;FIN
mars	marchar	mars	marchar	N;NOM;INDF;MASC+FEM;SG	V;NFIN
mindre	menor	lite	pequeno	ADV;CMPR	ADJ;MASC;SG
mindre	menor	lite	pequeno	ADV;CMPR	ADJ;MASC;SG
mindre	menores	lite	pequeno	ADV;CMPR	N;MASC;PL
mindre	menor	lite	pequeno	ADV;CMPR	ADJ;MASC;SG
mindre	minor	lite	minor	ADV;CMPR	N;MASC;SG
man	man	man	man	PRO;NOM;INDF;MASC+FEM;SG	N;MASC;SG
man	pá	man	pá	PRO;NOM;INDF;MASC+FEM;SG	N;FEM;SG
man	cara	man	cara	PRO;NOM;INDF;MASC+FEM;SG	N;FEM;SG
man	homem	man	homem	PRO;NOM;INDF;MASC+FEM;SG	N;MASC;SG
större	major	stor	major	ADJ;NOM;CMPR	N;MASC;SG
centrala	centrais	central	central	ADJ;NOM;PL	N;MASC;PL
centrala	central	central	central	ADJ;NOM;PL	N;FEM;SG
nordväst	noroeste	nordväst	noroeste	ADV	N;MASC;SG
andra	segunda	annan	segundo	PRO;INDF;PL	ADJ;FEM;SG
andra	second	annan	second	PRO;INDF;PL	N;MASC;SG
andra	segundo	annan	segundo	PRO;INDF;PL	ADV
andra	outro	annan	outro	PRO;INDF;PL	PRO;MASC;SG
andra	outra	annan	outro	PRO;INDF;PL	PRO;FEM;SG
hade	tinha	ha	ter	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
där	ai	där	ai	ADV	INTJ
nordost	nordeste	nordost	nordeste	ADV	N;MASC;SG
nog	suficiente	nog	suficiente	ADV	ADJ;MASC;SG
nog	chega	nog	chegar	ADV	V;IND;SG;3;PRS;FIN
nog	nog	nog	nog	ADV	N;MASC;SG
namngivna	nomeada	namngiven	nomear	ADJ;NOM;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
namngivna	nomeado	namngiven	nomear	ADJ;NOM;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
mycket	much	mycket	much	ADV	N;MASC;SG
ottawa	otava	ottal	otava	PROPN;NOM	V;IND;SG;3;IPFV;FIN
ottawa	ottawa	ottal	ottawo	PROPN;NOM	N;MASC;SG
maj	pode	maj	poder	N;NOM;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
cest	cest	cest	cest		N;MASC;PL
platt	platt	platt	platt	ADV	N;MASC;SG
född	born	född	born	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;MASC;SG
född	nascido	född	nascer	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
född	nascida	född	nascer	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;FEM;SG;V.PTCP
född	nasceu	född	nascer	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
finland	finlândia	finland	finlândia	PROPN;NOM	N;FEM;SG
finland	finlandia	finland	finlandia	PROPN;NOM	N;FEM;SG
hon	she	hon	she	PRO;NOM;DEF;MASC+FEM;SG	N;MASC;SG
första	primeiramente	en	primeiramente	ADJ;NOM	ADV
första	primeiro	en	primeiro	ADJ;NOM	ADV
fick	got	få	got	V;IND;PST;FIN;ACT	N;MASC;SG
sydväst	sudoeste	sydväst	sudoeste	ADV	N;MASC;SG
australien	austrália	australien	austrália	PROPN;NOM	N;FEM;SG
australien	montar	australien	montar	PROPN;NOM	V;NFIN
sydöstra	sudeste	sydöstra	sudeste	ADJ;NOM;DEF;SG	N;MASC;SG
sydöstra	sudeste	sydöstra	sudeste	ADJ;NOM;DEF;SG	N;MASC;SG
sydost	sudeste	sydost	sudeste	ADV	N;MASC;SG
hans	hans	han	haver	PRO;DEF	N;MASC;SG
hans	seu	han	seu	PRO;DEF	DET;MASC;SG
hans	his	han	his	PRO;DEF	N;MASC;SG
hans	sua	han	seu	PRO;DEF	DET;FEM;SG
södra	sulistas	södra	sulista	ADJ;NOM;DEF;SG	N;MASC;PL
södra	sul	södra	sul	ADJ;NOM;DEF;SG	N;MASC;SG
södra	southern	södra	southern	ADJ;NOM;DEF;SG	N;MASC;SG
södra	sul	södra	sul	ADJ;NOM;DEF;SG	N;MASC;SG
södra	south	södra	south	ADJ;NOM;DEF;SG	N;MASC;SG
södra	södra	södra	södra	ADJ;NOM;DEF;SG	N;FEM;SG
toppen	ótima	topp	bom	N;NOM;DEF;MASC+FEM;SG	ADJ;FEM;SG
toppen	grande	topp	grande	N;NOM;DEF;MASC+FEM;SG	ADJ;MASC;SG
toppen	ótimo	topp	bom	N;NOM;DEF;MASC+FEM;SG	ADJ;MASC;SG
sverige	suécia	sverige	suécia	PROPN;NOM	N;FEM;SG
sedan	since	sedan	since	ADV	N;MASC;SG
sedan	desde	sedan	desde	ADV	ADP
östra	oriente	östra	oriente	ADJ;NOM;DEF;SG	N;MASC;SG
östra	leste	östra	leste	ADJ;NOM;DEF;SG	N;MASC;SG
östra	east	östra	east	ADJ;NOM;DEF;SG	N;MASC;SG
östra	orientais	östra	oriental	ADJ;NOM;DEF;SG	N;MASC;PL
östra	leste	östra	leste	ADJ;NOM;DEF;SG	N;MASC;SG
östra	eastern	östra	eastern	ADJ;NOM;DEF;SG	N;MASC;SG
cet	cet	cet	cet		N;MASC;SG
genom	através	genom	através	ADP	ADV
genom	through	genom	through	ADP	N;MASC;SG
sitt	senta	sig	sentar	PRO;DEF;NEUT;SG	V;IND;SG;3;PRS;FIN
kilometer	quilómetro	kilomet	quilómetro	N;NOM;INDF;MASC+FEM;PL	N;MASC;SG
norra	norte	norra	norte	ADJ;NOM;DEF;SG	N;MASC;SG
norra	north	norra	north	ADJ;NOM;DEF;SG	N;MASC;SG
norra	norte	norra	norte	ADJ;NOM;DEF;SG	N;MASC;SG
norra	northern	norra	northern	ADJ;NOM;DEF;SG	N;MASC;SG
detta	este	denna	este	PRO;DEF;NEUT;SG	DET;MASC;SG
detta	esse	denna	esse	PRO;DEF;NEUT;SG	DET;MASC;SG
mot	mot	mot	mot	ADP	N;MASC;SG
västra	west	onstra	west	ADJ;NOM;DEF;SG	N;MASC;SG
västra	ocidente	onstra	ocidente	ADJ;NOM;DEF;SG	N;MASC;SG
västra	oeste	onstra	oeste	ADJ;NOM;DEF;SG	N;MASC;SG
västra	ocidental	onstra	ocidental	ADJ;NOM;DEF;SG	N;FEM;SG
västra	ocidentais	onstra	ocidental	ADJ;NOM;DEF;SG	N;MASC;PL
västra	western	onstra	western	ADJ;NOM;DEF;SG	N;MASC;SG
västra	oeste	onstra	oeste	ADJ;NOM;DEF;SG	N;MASC;SG
namn	nomes	namn	nome	N;NOM;INDF;NEUT;SG	N;MASC;PL
svenska	suecos	svensk	sueco	ADJ;NOM;PL	N;MASC;PL
svenska	sueco	svensk	sueco	ADJ;NOM;PL	N;MASC;SG
svenska	sueca	svensk	suecar	ADJ;NOM;PL	N;FEM;SG
svenska	svenska	svensk	svenska	ADJ;NOM;PL	N;MASC;SG
svensk	suecos	svensk	sueco	N;NOM;INDF;MASC+FEM;SG	N;MASC;PL
när	when	när	when	ADV	N;MASC;SG
frankrike	franca	frankrike	franca	PROPN;NOM	N;FEM;SG
frankrike	frança	frankrike	frança	PROPN;NOM	N;FEM;SG
död	morto	död	morrer	N;NOM;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
död	mortos	död	morto	N;NOM;INDF;MASC+FEM;SG	N;MASC;PL
kina	porcelana	kina	porcelano	PROPN;NOM	N;FEM;SG
kina	china	kina	china	PROPN;NOM	N;FEM;SG
kina	rpc	kina	rpc	PROPN;NOM	N;FEM;SG
est	est	est	est	PROPN;NOM	N;MASC;SG
lista	listar	lista	listar	N;NOM;INDF;MASC+FEM;SG	V;NFIN
annat	outro	annan	outro	PRO;INDF;NEUT;SG	PRO;MASC;SG
annat	outros	annan	outro	PRO;INDF;NEUT;SG	PRO;MASC;PL
annat	outras	annan	outro	PRO;INDF;NEUT;SG	PRO;FEM;PL
annat	outra	annan	outro	PRO;INDF;NEUT;SG	PRO;FEM;SG
edt	edt	edt	edt	NUM;NOM	N;MASC;PL
största	greatest	stor	greatest	ADJ;NOM;DEF;RL	N;MASC;SG
skulle	iria	skola	ir	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN
skulle	faria	skola	fazer	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN
denna	este	denna	este	PRO;DEF;MASC+FEM;SG	DET;MASC;SG
denna	esse	denna	esse	PRO;DEF;MASC+FEM;SG	DET;MASC;SG
hill	colina	hill	colina	PROPN;NOM	N;FEM;SG
hill	hill	hill	hill	PROPN;NOM	N;MASC;SG
flera	varios	flera	vario	PRO;INDF;PL	N;MASC;PL
flera	múltiplas	flera	múltiplo	PRO;INDF;PL	ADJ;FEM;PL
flera	múltiplos	flera	múltiplo	PRO;INDF;PL	ADJ;MASC;PL
flera	múltipla	flera	múltiplo	PRO;INDF;PL	N;FEM;SG
flera	múltiplo	flera	múltiplo	PRO;INDF;PL	N;MASC;SG
periodiskt	periódico	periodisk	periódico	ADJ;NOM;INDF;NEUT;SG	N;MASC;SG
periodiskt	periódica	periodisk	periódico	ADJ;NOM;INDF;NEUT;SG	N;FEM;SG
periodiskt	periódicos	periodisk	periódico	ADJ;NOM;INDF;NEUT;SG	N;MASC;PL
periodiskt	periodicamente	periodisk	periodicamente	ADJ;NOM;INDF;NEUT;SG	ADV
nord	norte	nord	norte	PROPN;NOM	N;MASC;SG
nord	north	nord	north	PROPN;NOM	N;MASC;SG
nord	nord	nord	nord	PROPN;NOM	N;MASC;SG
stockholm	estocolmo	stockholm	estocolmo	PROPN;NOM	N;MASC;SG
alla	todas	all	todo	PRO;INDF;PL	DET;FEM;PL
alla	tudo	all	tudo	PRO;INDF;PL	PRO;MASC;SG
samma	mesma	samma	mesmo	DET;INDF	ADJ;FEM;SG
samma	mesmo	samma	mesmo	DET;INDF	ADV
samma	mesmos	samma	mesmo	DET;INDF	ADJ;MASC;PL
olika	diferente	olik	diferente	ADJ;NOM;PL	ADJ;MASC;SG
olika	vários	olik	vários	ADJ;NOM;PL	PRO;MASC;PL
olika	várias	olik	várias	ADJ;NOM;PL	PRO;FEM;PL
nya	novo	ny	novo	ADJ;NOM;PL	ADJ;MASC;SG
nya	novidade	ny	novidade	ADJ;NOM;PL	N;FEM;SG
nya	nova	ny	novo	ADJ;NOM;PL	ADJ;FEM;SG
island	islândia	island	islândia	PROPN;NOM	N;FEM;SG
tidigare	anterior	tidig	anterior	ADV;CMPR	ADJ;MASC;SG
tidigare	anteriores	tidig	anterior	ADV;CMPR	ADJ;MASC;PL
brasilien	brazil	brasili	brazil	PROPN;NOM	N;MASC;SG
brasilien	brasil	brasili	brasil	PROPN;NOM	N;MASC;SG
colombia	colúmbia	colombia	colúmbia	PROPN;NOM	N;FEM;SG
colombia	columbia	colombia	columbia	PROPN;NOM	N;FEM;SG
colombia	colômbia	colombia	colômbia	PROPN;NOM	N;FEM;SG
colombia	colômbia	colombia	colômbia	PROPN;NOM	N;FEM;SG
colombia	colombia	colombia	colombia	PROPN;NOM	N;FEM;SG
sina	suas	sig	seu	PRO;DEF;PL	DET;FEM;PL
spanien	espanha	spani	espanha	PROPN;NOM	N;FEM;SG
boreala	boreal	boreal	boreal	ADJ;NOM;DEF;SG	N;MASC;SG
mount	monte	mount	monte	PROPN;NOM	N;MASC;SG
mount	mount	mount	mount	PROPN;NOM	N;MASC;SG
mount	montar	mount	montar	PROPN;NOM	V;NFIN
kom	vem	komma	vir	V;IMP;FIN;ACT	V;IND;SG;3;PRS;FIN
kom	venham	komma	vir	V;IMP;FIN;ACT	V;SBJV;PL;3;PRS;FIN
kom	venha	komma	vir	V;IMP;FIN;ACT	V;SBJV;SG;3;PRS;FIN
kom	vieram	komma	vir	V;IMP;FIN;ACT	V;IND;PL;3;FIN
kom	chegou	komma	chegar	V;IMP;FIN;ACT	V;IND;SG;3;PST;FIN
kom	veio	komma	vir	V;IMP;FIN;ACT	V;IND;SG;3;PST;FIN
stora	large	stor	large	ADJ;NOM;PL	N;MASC;SG
stora	grande	stor	grande	ADJ;NOM;PL	ADJ;MASC;SG
stora	grandes	stor	grande	ADJ;NOM;PL	N;MASC;PL
stora	big	stor	big	ADJ;NOM;PL	N;MASC;SG
stora	grande	stor	grande	ADJ;NOM;PL	ADJ;MASC;SG
stora	grandes	stor	grande	ADJ;NOM;PL	N;MASC;PL
stora	stora	stor	stora	ADJ;NOM;PL	N;FEM;SG
kinshasa	kinshasa	kinshasa	kinshasa	PROPN;NOM	N;FEM;SG
tre	tre	tre	tre	NUM;NOM	N;MASC;SG
tre	three	tre	three	NUM;NOM	N;MASC;SG
dessa	estes	denna	este	PRO;DEF;PL	DET;MASC;PL
dessa	esses	denna	esse	PRO;DEF;PL	DET;MASC;PL
dessa	aqueles	denna	aquele	PRO;DEF;PL	DET;MASC;PL
dessa	esses	denna	esse	PRO;DEF;PL	DET;MASC;PL
dessa	aquelas	denna	aquele	PRO;DEF;PL	DET;FEM;PL
chile	chile	chile	chile	PROPN;NOM	N;MASC;SG
mer	more	mycket	more	ADV;CMPR	N;MASC;SG
kongo	congo	kongo	congo	PROPN;NOM	N;MASC;SG
öst	oriental	öst	oriental	N	ADJ;MASC;SG
von	von	von	von	PROPN;NOM	PROPN;MASC;SG
släkte	gêneros	släkte	gênero	N;NOM;INDF;NEUT;SG	N;MASC;PL
släkte	géneros	släkte	género	N;NOM;INDF;NEUT;SG	N;MASC;PL
sydlig	sulistas	sydlig	sulista	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;PL
sydlig	sul	sydlig	sul	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;SG
sydlig	southern	sydlig	southern	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;SG
västlig	ocidental	västlig	ocidental	ADJ;NOM;INDF;MASC+FEM;SG	N;FEM;SG
västlig	ocidentais	västlig	ocidental	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;PL
västlig	western	västlig	western	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;SG
västlig	oeste	västlig	oeste	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;SG
sydvästra	sudoeste	sydvästra	sudoeste	ADJ;NOM;DEF;SG	N;MASC;SG
sydvästra	sudoeste	sydvästra	sudoeste	ADJ;NOM;DEF;SG	N;MASC;SG
tillsammans	juntos	tillsammans	junto	ADV	N;MASC;PL
tillsammans	juntas	tillsammans	juntas	ADV	N;FEM;PL
lite	lite	lite	lite	ADV	N;MASC;SG
öppet	abre	öppen	abrir	ADV	V;IND;SG;3;PRS;FIN
öppet	aberto	öppen	abrir	ADV	V;MASC;SG;V.PTCP
öppet	abra	öppen	abrir	ADV	V;SBJV;SG;3;PRS;FIN
öppet	abrir	öppen	abrir	ADV	V;NFIN
öppet	aberta	öppen	abrir	ADV	V;FEM;SG;V.PTCP
öppet	open	öppen	open	ADV	N;MASC;SG
öppet	transparentes	öppen	transparente	ADV	ADJ;MASC;PL
öppet	transparente	öppen	transparente	ADV	ADJ;MASC;SG
delstat	estaduais	delstad	estadual	N;NOM;INDF;MASC+FEM;SG	N;MASC;PL
delstat	estadual	delstad	estadual	N;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
innan	antes	innan	antes	CONJ	ADV
fram	front	fram	front	ADV	N;MASC;SG
fram	fachada	fram	fachada	ADV	N;FEM;SG
canberra	canberra	canberra	canberra	PROPN;NOM	N;MASC;SG
mål	objectivos	mål	objectivo	N;NOM;INDF;NEUT;SG	N;MASC;PL
mål	objetivos	mål	objetivo	N;NOM;INDF;NEUT;SG	N;MASC;PL
mål	objectivos	mål	objectivo	N;NOM;INDF;NEUT;SG	N;MASC;PL
mål	gols	mål	gol	N;NOM;INDF;NEUT;SG	N;MASC;PL
mål	metas	mål	meta	N;NOM;INDF;NEUT;SG	N;FEM;PL
mål	golos	mål	golo	N;NOM;INDF;NEUT;SG	N;MASC;PL
mål	objetivos	mål	objetivo	N;NOM;INDF;NEUT;SG	N;MASC;PL
län	condados	län	condar	N;NOM;INDF;NEUT;SG	N;MASC;PL
john	john	john	john	PROPN;NOM	PROPN;MASC;SG
john	joão	john	joão	PROPN;NOM	N;MASC;SG
john	joao	john	joao	PROPN;NOM	N;MASC;SG
administrativ	administrativa	administrativ	administrativo	ADJ;NOM;INDF;MASC+FEM;SG	N;FEM;SG
administrativ	administrativos	administrativ	administrativo	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;PL
administrativ	administrativas	administrativ	administrativo	ADJ;NOM;INDF;MASC+FEM;SG	N;FEM;PL
nordöstra	nordeste	nordöstra	nordeste	ADJ;NOM;DEF;SG	N;MASC;SG
nordöstra	nordeste	nordöstra	nordeste	ADJ;NOM;DEF;SG	N;MASC;SG
ska	deveria	skola	dever	V;IND;PRS;FIN;ACT	V;COND;SG;3;FIN
ska	devia	skola	dever	V;IND;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
ska	deve	skola	dever	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ska	deveriam	skola	dever	V;IND;PRS;FIN;ACT	V;COND;PL;3;FIN
ska	ska	skola	ska	V;IND;PRS;FIN;ACT	N;MASC;SG
ontario	ontário	ontario	ontário	PROPN;NOM	N;MASC;SG
carl	carlos	carl	carlo	PROPN;NOM	N;MASC;SG
carl	carl	carl	carl	PROPN;NOM	N;MASC;SG
land	pais	land	pai	N;NOM;INDF;NEUT;SG	N;MASC;PL
land	terrenos	land	terreno	N;NOM;INDF;NEUT;SG	N;MASC;PL
land	terras	land	terra	N;NOM;INDF;NEUT;SG	N;FEM;PL
dess	seu	den	seu	PRO;DEF	DET;MASC;SG
dess	sua	den	seu	PRO;DEF	DET;FEM;SG
amerikansk	americano	amerikansk	americano	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;SG
amerikansk	americanos	amerikansk	americano	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;PL
amerikansk	american	amerikansk	american	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;SG
amerikansk	americana	amerikansk	americana	ADJ;NOM;INDF;MASC+FEM;SG	N;FEM;SG
helsingfors	helsínquia	helsingfors	helsínquia	PROPN;NOM	N;FEM;SG
helsingfors	helsinki	helsingfors	helsinki	PROPN;NOM	N;MASC;SG
några	alguns	någon	algum	DET;INDF;PL	PRO;MASC;PL
några	algum	någon	algum	DET;INDF;PL	DET;MASC;SG
några	algumas	någon	algum	DET;INDF;PL	PRO;FEM;PL
kommer	will	komma	will	V;IND;PRS;FIN;ACT	N;MASC;SG
kommer	vontade	komma	vontade	V;IND;PRS;FIN;ACT	N;FEM;SG
kommer	venham	komma	vir	V;IND;PRS;FIN;ACT	V;SBJV;PL;3;PRS;FIN
kommer	venha	komma	vir	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
exempel	exemplos	exempel	exemplo	N;NOM;INDF;NEUT;SG	N;MASC;PL
någon	alguem	någon	alguem	PRO;INDF;MASC+FEM;SG	N;MASC;SG
någon	alguem	någon	alguem	PRO;INDF;MASC+FEM;SG	N;MASC;SG
någon	qualquer	någon	qualquer	PRO;INDF;MASC+FEM;SG	DET;FEM;SG
gräsmarker	pradarias	gräsmark	pradaria	V;IND;PRS;FIN;ACT	N;FEM;PL
gräsmarker	prados	gräsmark	prado	V;IND;PRS;FIN;ACT	N;MASC;PL
något	razoavelmente	någon	razoavelmente	PRO;INDF;NEUT;SG	ADV
något	levemente	någon	levemente	PRO;INDF;NEUT;SG	ADV
något	ligeiramente	någon	ligeiramente	PRO;INDF;NEUT;SG	ADV
gjorde	did	göra	dider	V;IND;PST;FIN;ACT	PROPN;MASC;SG
san	san	san	san	PROPN;NOM	N;MASC;SG
stor	large	stor	large	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;SG
stor	grandes	stor	grande	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;PL
stor	big	stor	big	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC;SG
