של	shel	של	shel	PART;GEN	N;MASC;SG
דקות	acta	דקה	actar	N;FEM;PL	N;FEM;SG
חבר	namorado	חבר	namorar	N;MASC;SG	V;MASC;SG;V.PTCP
צריך	need	צריך	need	V;MASC;SG	N;MASC;SG
צריך	preciso	צריך	preciso	V;MASC;SG	ADJ;MASC;SG
צריך	precisa	צריך	precisar	V;MASC;SG	V;IND;SG;3;PRS;FIN
צריך	necessidade	צריך	necessidade	V;MASC;SG	N;FEM;SG
צריך	deveria	צריך	dever	V;MASC;SG	V;COND;SG;3;FIN
צריך	devia	צריך	dever	V;MASC;SG	V;IND;SG;3;IPFV;FIN
צריך	deve	צריך	dever	V;MASC;SG	V;IND;SG;3;PRS;FIN
צריך	deveriam	צריך	dever	V;MASC;SG	V;COND;PL;3;FIN
ויקיפדיה	wikipédia	ויקיפדיה	wikipédia	PROPN	N;FEM;SG
ויקיפדיה	wikipedia	ויקיפדיה	wikipedia	PROPN	N;FEM;SG
השם	hashem	השם	hashar		N;MASC;SG
השם	nome	השם	nome		N;MASC;SG
בתוך	dentro	בתוך	dentro	ADP	ADV
בתוך	inside	בתוך	insidir	ADP	N;MASC;SG
האדם	pessoa	האדם	pessoa		N;FEM;SG
מול	mol	מול	mol	ADP	N;MASC;SG
שלהם	suas	של	seu		DET;FEM;PL
רבה	rabá	רב	rabar	ADV	N;MASC;SG
וגם	igualmente	וגם	igualmente		ADV
וגם	também	וגם	também		ADV
הים	mar	הים	mar		N;MASC;SG
השיר	canção	השיר	canção	ADV	N;FEM;SG
השיר	song	השיר	song	ADV	N;MASC;SG
בזמן	enquanto	בזמן	enquanto	PROPN	ADV
חדש	novas	חדש	novo	ADJ;MASC;SG	ADJ;FEM;PL
חדש	novos	חדש	novo	ADJ;MASC;SG	ADJ;MASC;PL
חדש	novidade	חדש	novidade	ADJ;MASC;SG	N;FEM;SG
השלישי	iii	השליש	iii	PROPN	N;MASC;SG
השלישי	terceira	השליש	terceiro	PROPN	ADJ;FEM;SG
השלישי	terço	השליש	terço	PROPN	ADJ;MASC;SG
השלישי	terceiro	השליש	terceiro	PROPN	ADJ;MASC;SG
משה	moses	משה	mose	PROPN	N;MASC;SG
משה	moisés	משה	moisés	PROPN	N;MASC;SG
משה	moshe	משה	moshe	PROPN	N;MASC;SG
גרמניה	alemã	גרמניה	alemã	PROPN	N;FEM;SG
גרמניה	alemães	גרמניה	alemão	PROPN	N;MASC;PL
גרמניה	alemão	גרמניה	alemão	PROPN	N;MASC;SG
גרמניה	alemanha	גרמניה	alemanha	PROPN	N;FEM;SG
יורק	york	יורק	york	PROPN	N;MASC;SG
יורק	iorque	יורק	iorque	PROPN	N;FEM;SG
הממשלה	governo	הממשלה	governo	PROPN	N;MASC;SG
חיל	corps	חיל	corps	PROPN	N;MASC;SG
יהודה	yehuda	יהודה	yehuda	PROPN	N;MASC;SG
יהודה	judas	יהודה	juda	PROPN	N;MASC;PL
יהודה	judá	יהודה	judá	PROPN	N;MASC;SG
יהודה	judah	יהודה	judah	PROPN	N;MASC;SG
מעל	over	מעל	over	ADP	N;MASC;SG
מעל	acima	מעל	acima	ADP	ADV
ארץ	pais	ארץ	pai	N;FEM;SG	N;MASC;PL
ארץ	terrenos	ארץ	terreno	N;FEM;SG	N;MASC;PL
ארץ	terras	ארץ	terra	N;FEM;SG	N;FEM;PL
צרפת	franca	צרפת	franca	PROPN	N;FEM;SG
צרפת	frança	צרפת	frança	PROPN	N;FEM;SG
הרבה	lotes	הרבה	lote	ADV	N;MASC;PL
הרבה	montes	הרבה	monte	ADV	N;MASC;PL
הרבה	muitos	הרבה	muito	ADV	PRO;MASC;PL
הרבה	muitas	הרבה	muito	ADV	PRO;FEM;PL
הרבה	much	הרבה	much	ADV	N;MASC;SG
אתה	tu	הוא	tu	PRO;MASC;SG;2	INTJ
אתה	você	הוא	você	PRO;MASC;SG;2	PRO;NOM;SG;3
אתה	vc	הוא	vc	PRO;MASC;SG;2	PRO;NOM;MASC;SG;3
נמצא	encontrados	נמצא	encontrar	V;MASC;SG;V.PTCP;MID	V;MASC;PL;V.PTCP
נמצא	achado	נמצא	achado	V;MASC;SG;V.PTCP;MID	N;MASC;SG
נמצא	encontraram	נמצא	encontrar	V;MASC;SG;V.PTCP;MID	V;IND;PL;3;FIN
