категорія	kategorii	категорія	kategoria	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
село	wioski	село	wioska	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
район	dzielnicy	район	dzielnica	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
район	powiat	район	powiat	N;INAN;NOM;MASC;SG	
через	via	через	via	ADP;ACC	
через	należne	через	należny	ADP;ACC	ADJ;NOM;NEUT;SG
через	należny	через	należny	ADP;ACC	ADJ;NOM;MASC;SG
через	poprzez	через	poprzez	ADP;ACC	
села	wioski	село	wioska	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
села	sela	село	sela	N;INAN;NOM;NEUT;SG	
тому	temu	тому	to	ADV	PRO;DAT;NEUT;SG
рік	rick	рік	rick	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
рік	ricka	рік	ricka	N;INAN;NOM;MASC;SG	
рік	roku	рік	rok	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
відстань	odległość	відстань	odległość	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
відстань	odległości	відстань	odległość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
ради	council	рада	council	N;INAN;NOM;FEM;PL	
ради	rady	рада	rada	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
ради	rada	рада	rada	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
ради	radzie	рада	rada	N;INAN;NOM;FEM;PL	N;DAT;FEM;SG
сша	stany	сШа	stany	PROPN;INAN;GEN	N;NOM;MASC;PL
сша	ameryka	сШа	ameryka	PROPN;INAN;GEN	
сша	usa	сШа	usać	PROPN;INAN;GEN	PROPN;NOM;NEUT;PL
має	muszą	мати	musieć	V;IPFV;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
область	obszarze	область	obszarz	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
того	togo	те	to	PRO;INAN;GEN;NEUT;SG	
яка	jakie	який	jaki	DET;NOM;FEM;SG	DET;ACC;MASC;SG
яка	co	який	co	DET;NOM;FEM;SG	
яка	które	який	który	DET;NOM;FEM;SG	DET;ACC;MASC;SG
близько	zamknij	близько	zamknąć	ADV	V;PFV;IMP;SG;2;FIN;ACT
близько	blisko	близько	blisko	ADV	
близько	blisko	близько	blisko	ADV	
близько	niedaleko	близько	niedaleko	ADV	
війни	wojen	війна	wojen	N;INAN;NOM;FEM;SG	
війни	wojny	війна	wojna	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
файл	plik	файл	plik	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
файл	pliku	файл	plik	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
між	pomiędzy	між	pomiędzy	ADP;INS	
роки	lat	рік	rok	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
обговорення	dyskusji	обговорення	dyskusja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
обговорення	dyskusje	обговорення	dyskusja	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
обговорення	dyskusję	обговорення	dyskusja	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
обговорення	dyskusji	обговорення	dyskusja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
обговорення	dyskusje	обговорення	dyskusja	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
обговорення	omówić	обговорення	omówić	N;INAN;NOM;NEUT;SG	V;PFV;NFIN;ACT
обговорення	dyskutować	обговорення	dyskutować	N;INAN;NOM;NEUT;SG	V;IPFV;NFIN;ACT
обговорення	przedyskutować	обговорення	przedyskutować	N;INAN;NOM;NEUT;SG	V;PFV;NFIN;ACT
коли	gdy	коли	gdy	ADV	CONJ
коли	kiedy	коли	kiedy	ADV	ADV
список	listy	список	list	N;INAN;NOM;MASC;SG	
список	listę	список	lista	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
вересня	wrzesień	вересень	wrzesień	N;INAN;GEN;MASC;SG	
вересня	września	вересень	wrzesień	N;INAN;GEN;MASC;SG	
цей	tym	цей	to	DET;NOM;MASC;SG	PRO;INS;NEUT;SG
березня	marzec	березень	marzec	N;INAN;GEN;MASC;SG	
березня	marca	березень	marza	N;INAN;GEN;MASC;SG	
березня	marsz	березень	marsz	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
місце	spot	місце	spot	N;INAN;NOM;NEUT;SG	
муніципалітет	gmina	муніципалітет	gmina	N;INAN;NOM;MASC;SG	
україні	ukrainy	україна	ukrainy	PROPN;INAN;DAT;FEM;SG	
україні	ukrainę	україна	ukraina	PROPN;INAN;DAT;FEM;SG	N;ACC;FEM;SG
україні	ukraina	україна	ukrainać	PROPN;INAN;DAT;FEM;SG	
україні	ukrainie	україна	ukrać	PROPN;INAN;DAT;FEM;SG	
серпня	augusta	серпень	augusta	N;INAN;GEN;MASC;SG	
серпня	august	серпень	august	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
серпня	sierpień	серпень	sierpienie	N;INAN;GEN;MASC;SG	
січня	styczeń	січень	styczenie	N;INAN;GEN;MASC;SG	
травня	majowe	травень	majowy	N;INAN;GEN;MASC;SG	ADJ;NOM;NEUT;SG
травня	maja	травень	mieć	N;INAN;GEN;MASC;SG	
травня	może	травень	móc	N;INAN;GEN;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
травня	majowy	травень	majowy	N;INAN;GEN;MASC;SG	ADJ;NOM;MASC;SG
травня	maj	травень	maj	N;INAN;GEN;MASC;SG	
грудня	grudzień	грудень	grudzienie	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
грудня	grudnia	грудень	grudzień	N;INAN;GEN;MASC;SG	
інших	innych	інший	inny	DET;GEN;PL	ADJ;GEN;MASC;PL
інших	inne	інший	inny	DET;GEN;PL	ADJ;NOM;NEUT;SG
інших	pozostał	інший	pozostać	DET;GEN;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
інших	inny	інший	inny	DET;GEN;PL	ADJ;NOM;MASC;SG
інших	inne	інший	inny	DET;GEN;PL	ADJ;NOM;NEUT;SG
інших	pozostał	інший	pozostać	DET;GEN;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
інших	inni	інший	inny	DET;GEN;PL	ADJ;NOM;MASC;PL
жовтня	październik	жовтень	październik	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
жовтня	październik	жовтень	październik	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
серед	pośród	серед	pośród	ADP;GEN	
серед	pośród	серед	pośród	ADP;GEN	
один	jeden	один	jeden	NUM;NOM;MASC	ADJ;NOM;MASC;SG
один	jedna	один	jeden	NUM;NOM;MASC	ADJ;NOM;FEM;SG
липня	lipca	липень	lipiec	N;INAN;GEN;MASC;SG	
липня	lipiec	липень	lipiec	N;INAN;GEN;MASC;SG	
участь	uczestniczących	участь	uczestniczyć	N;INAN;ACC;FEM;SG	ADJ;GEN;MASC;PL;ACT
участь	uczestniczące	участь	uczestnicząć	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
участь	uczestnictwo	участь	uczestnictwo	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
участь	zaangażowanie	участь	zaangażowanie	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
участь	udział	участь	udział	N;INAN;ACC;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
участь	uczestnictwa	участь	uczestnictwo	N;INAN;ACC;FEM;SG	N;GEN;NEUT;SG
участь	uczestnictwo	участь	uczestnictwo	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
участь	udział	участь	udział	N;INAN;ACC;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
участь	uczestniczyć	участь	uczestniczyć	N;INAN;ACC;FEM;SG	V;IPFV;NFIN;ACT
вид	gatunki	вид	gatunek	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
вид	zobacz	вид	zobaczyć	N;INAN;NOM;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
можна	można	можна	można	ADV	V;IND;PRS;FIN
можна	can	можна	can	ADV	
червня	june	червень	juny	N;INAN;GEN;MASC;SG	
червня	czerwiec	червень	czerwiec	N;INAN;GEN;MASC;SG	
місто	town	місто	town	N;INAN;NOM;NEUT;SG	
місто	miasta	місто	miasto	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
місто	city	місто	city	N;INAN;NOM;NEUT;SG	
місто	miasta	місто	miasto	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
вже	juz	вже	juz	ADV	
вже	już	вже	już	ADV	PART
життя	zycie	життя	zyt	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;1;FIN;ACT
життя	life	життя	lifa	N;INAN;NOM;NEUT;SG	
життя	życia	життя	życie	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
життя	lifestyle	життя	lifestyla	N;INAN;NOM;NEUT;SG	
срср	zsrr	срср	zsrr	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
квітня	kwietnia	квітень	kwiecia	N;INAN;GEN;MASC;SG	
квітня	april	квітень	april	N;INAN;GEN;MASC;SG	
квітня	kwiecień	квітень	kwiecienie	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
листопада	listopadzie	листопад	listopad	N;INAN;GEN;MASC;SG	N;ACC;MASC;SG
листопада	listopad	листопад	listopad	N;INAN;GEN;MASC;SG	
лютого	luty	лютий	luty	N;INAN;GEN;MASC;SG	
лютого	lutego	лютий	luty	N;INAN;GEN;MASC;SG	
лютого	luty	лютий	luty	N;INAN;GEN;MASC;SG	
лютого	lutego	лютий	luty	N;INAN;GEN;MASC;SG	
опис	opis	опис	opis	N;INAN;NOM;MASC;SG	
центр	ops	центр	ops	N;INAN;NOM;MASC;SG	
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;ACC;NEUT;SG
центр	center	центр	center	N;INAN;NOM;MASC;SG	
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;ACC;NEUT;SG
центр	centre	центр	centry	N;INAN;NOM;MASC;SG	
захід	zachodnia	захід	zachodni	N;INAN;NOM;MASC;SG	
захід	west	захід	wysta	N;INAN;NOM;MASC;SG	
франції	francji	франція	francja	PROPN;INAN;GEN;FEM;SG	PROPN;GEN;FEM;SG
франції	francja	франція	francja	PROPN;INAN;GEN;FEM;SG	N;NOM;FEM;SG
франції	france	франція	franka	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;MASC;SG
століття	wieków	століття	wiek	N;INAN;NOM;NEUT;SG	N;GEN;MASC;PL
століття	wieki	століття	wiek	N;INAN;NOM;NEUT;SG	N;ACC;MASC;PL
століття	wieku	століття	wiek	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
рада	council	рада	council	N;INAN;NOM;FEM;SG	
рада	rady	рада	rada	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
рада	radzie	рада	rada	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG
відстані	odległości	відстань	odległość	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
схід	wschodnie	схід	wschodni	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
схід	east	схід	east	N;INAN;NOM;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
схід	wschodni	схід	wschodni	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
схід	wschodnia	схід	wschodnia	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
статті	artykułów	стаття	artykuł	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
склад	magazynie	склад	magazyn	N;INAN;NOM;MASC;SG	N;DAT;MASC;SG
міні	mini	міні	minia		
особи	osoba	особа	osoba	N;ANIM;NOM;FEM;PL	N;NOM;FEM;SG
над	ponad	над	ponad	ADP;ACC	PART
над	over	над	over	ADP;ACC	
над	odbiór	над	odbiór	ADP;ACC	N;NOM;MASC;SG
історія	story	історія	stora	N;INAN;NOM;FEM;SG	
історія	historii	історія	historia	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
історія	historię	історія	historia	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
зображення	zdjęcia	зображення	zdjęcie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
зображення	obrazów	зображення	obraz	N;INAN;NOM;NEUT;SG	N;GEN;MASC;PL
зображення	obrazy	зображення	obraz	N;INAN;NOM;NEUT;SG	N;NOM;MASC;PL
зображення	obrazki	зображення	obrazek	N;INAN;NOM;NEUT;SG	N;NOM;MASC;PL
зображення	zdjecie	зображення	zdjecie	N;INAN;NOM;NEUT;SG	V;PFV;IND;SG;FIN;ACT
зображення	wizerunek	зображення	wizerunek	N;INAN;NOM;NEUT;SG	N;ACC;MASC;SG
зображення	zdjęcia	зображення	zdjęcie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
зображення	obrazki	зображення	obrazek	N;INAN;NOM;NEUT;SG	N;NOM;MASC;PL
зображення	zdjecia	зображення	zdjecie	N;INAN;NOM;NEUT;SG	V;PFV;IND;SG;FIN;ACT
пункти	pozycji	пункт	pozycja	N;INAN;NOM;MASC;PL	N;GEN;FEM;SG
пункти	punktów	пункт	punkt	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
код	kodu	код	koda	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
код	code	код	cod	N;INAN;NOM;MASC;SG	
код	kod	код	kod	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
сайт	witryny	сайт	witryna	N;INAN;NOM;MASC;SG	N;GEN;FEM;PL
інші	innych	інший	inny	DET;NOM;PL	ADJ;GEN;MASC;PL
інші	inne	інший	inny	DET;NOM;PL	ADJ;NOM;NEUT;SG
інші	pozostał	інший	pozostać	DET;NOM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
інші	inny	інший	inny	DET;NOM;PL	ADJ;NOM;MASC;SG
інші	inne	інший	inny	DET;NOM;PL	ADJ;NOM;NEUT;SG
інші	pozostał	інший	pozostać	DET;NOM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
інші	inni	інший	inny	DET;NOM;PL	ADJ;NOM;MASC;PL
проти	kontra	проти	kontry	ADV	
проти	przeciwko	проти	przeciwko	ADV	ADP
проти	przeciw	проти	przeciw	ADV	
мова	języku	мова	język	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
історії	zdarzenia	історія	zdarzenie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
історії	historie	історія	histora	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
історії	opowieści	історія	opowieść	N;INAN;NOM;FEM;PL	
історії	historia	історія	historia	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
історії	historii	історія	historia	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
історії	historię	історія	historia	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
всі	wszystko	весь	wszystko	DET;NOM;PL	PRO;NOM;NEUT;SG
всі	all	весь	all	DET;NOM;PL	
всі	wszyscy	весь	wszyscy	DET;NOM;PL	PRO;NOM;MASC;PL
багато	wielu	багато	wiele	ADV	DET;ACC;MASC;PL
багато	wiele	багато	wiele	ADV	DET;ACC;MASC;PL
багато	much	багато	much	ADV	
багато	wiele	багато	wiele	ADV	DET;ACC;MASC;PL
більше	większa	більше	duży	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
більше	większe	більше	duży	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
більше	większy	більше	duży	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG
більше	większej	більше	duży	ADV;CMPR	ADJ;GEN;CMPR;FEM;SG
більше	większy	більше	duży	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG
більше	większa	більше	duży	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
більше	większego	більше	duży	ADV;CMPR	ADJ;ACC;CMPR;MASC;SG
більше	większe	більше	duży	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
більше	more	більше	more	ADV;CMPR	
кількість	liczyć	кількість	liczyć	N;INAN;NOM;FEM;SG	V;IPFV;NFIN;ACT
кількість	licz	кількість	liczyć	N;INAN;NOM;FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
кількість	ilości	кількість	ilość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
шаблони	schematy	шаблон	schemat	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
два	dwie	два	dwa	NUM;NOM;MASC	NUM;ACC;FEM;PL
два	dwóch	два	dwa	NUM;NOM;MASC	NUM;ACC;MASC;PL
два	dwa	два	dwa	NUM;NOM;MASC	NUM;ACC;MASC;PL
перший	najpierw	перший	najpierw	ADJ;NOM;MASC;SG	ADV
площа	plaza	площа	plaza	N;INAN;NOM;FEM;SG	
площа	kwadratowy	площа	kwadratowy	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
площа	square	площа	squary	N;INAN;NOM;FEM;SG	
площа	kwadratowe	площа	kwadratowy	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
площа	obszarze	площа	obszarz	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
країни	ojczyzna	країна	ojczyzna	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
країни	kraju	країна	kraj	N;INAN;NOM;FEM;PL	N;GEN;MASC;SG
країни	kraj	країна	kraj	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
країни	państwo	країна	państwo	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
країни	krajów	країна	kraj	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
назва	tytuł	назва	tytuł	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
назва	tytuł	назва	tytuł	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
розташований	położony	розташований	położyć	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	
голова	head	голова	head	N;ANIM;NOM;FEM;SG	
голова	głowę	голова	głowa	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
голова	głowy	голова	głowa	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
голова	glowy	голова	glowa	N;ANIM;NOM;FEM;SG	V;IPFV;IND;SG;FIN;ACT
голова	przewodniczącego	голова	przewodniczący	N;ANIM;NOM;FEM;SG	N;ACC;MASC;SG
голова	prezesie	голова	prezes	N;ANIM;NOM;FEM;SG	
народився	urodzony	народитися	urodzić	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
народився	urodzona	народитися	urodzić	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
народився	urodzone	народитися	urodzić	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
сторінка	stronę	сторінка	strona	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
сторінка	stronie	сторінка	strona	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG
сторінка	page	сторінка	page	N;INAN;NOM;FEM;SG	
сторінка	strony	сторінка	strona	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
той	że	той	że	DET;NOM;MASC;SG	PART
росії	rosja	росія	rosja	PROPN;INAN;GEN;FEM;SG	
все	wszystkie	все	wszystek	PRO;INAN;NOM;NEUT;SG	DET;NOM;MASC;PL
все	all	все	all	PRO;INAN;NOM;NEUT;SG	
все	wszyscy	все	wszyscy	PRO;INAN;NOM;NEUT;SG	PRO;NOM;MASC;PL
київ	kijów	Київ	kij	PROPN;INAN;NOM;MASC;SG	N;GEN;MASC;PL
київ	kijów	Київ	kij	PROPN;INAN;NOM;MASC;SG	N;GEN;MASC;PL
київ	kijowie	Київ	kij	PROPN;INAN;NOM;MASC;SG	N;ACC;MASC;SG
роботи	pracuj	робота	pracować	N;INAN;NOM;FEM;PL	V;IPFV;IMP;SG;2;FIN;ACT
роботи	pracy	робота	praca	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
роботи	praca	робота	praca	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
роботи	roboty	робота	robota	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
біля	blisko	біля	blisko	ADP;GEN	
біля	niedaleko	біля	niedaleko	ADP;GEN	
веб	web	вебти	web		
веб	sieć	вебти	sieć		N;NOM;FEM;SG
статтю	artykułu	стаття	artykuł	N;INAN;ACC;FEM;SG	N;GEN;MASC;SG
статтю	artykuł	стаття	artykuł	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
праворуч	prawo	праворуч	prawo	ADV	N;NOM;NEUT;SG
землі	earth	земля	earth	N;INAN;NOM;FEM;PL	
землі	ziemi	земля	ziemia	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
землі	ziemia	земля	ziemia	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
армії	armie	армія	arma	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL
армії	armii	армія	armia	N;INAN;GEN;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
армії	army	армія	arma	N;INAN;GEN;FEM;SG	
армії	wojska	армія	wojsko	N;INAN;GEN;FEM;SG	N;NOM;NEUT;SG
армії	wojsko	армія	wojsko	N;INAN;GEN;FEM;SG	N;NOM;NEUT;SG
армії	armia	армія	armia	N;INAN;GEN;FEM;SG	N;NOM;FEM;SG
армії	armii	армія	armia	N;INAN;GEN;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
однак	jakkolwiek	однак	jakkolwiek	CONJ	
однак	jednak	однак	jednak	CONJ	PART
однак	jednakże	однак	jednakże	CONJ	
саме	dokładnie	саме	dokładnie	PART	ADV
саме	dokładnie	саме	dokładnie	PART	ADV
саме	dokladnie	саме	dokladnie	PART	
північний	północnej	північний	północny	ADJ;NOM;MASC;SG	ADJ;GEN;FEM;SG
північний	północ	північний	północ	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
північний	north	північний	north	ADJ;NOM;MASC;SG	
північний	północ	північний	północ	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
північний	północna	північний	północny	ADJ;NOM;MASC;SG	
північний	północnej	північний	północny	ADJ;NOM;MASC;SG	ADJ;GEN;FEM;SG
північний	północny	північний	północny	ADJ;NOM;MASC;SG	N;ACC;MASC;SG
день	dnia	день	dzień	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
день	dzien	день	dzien	N;INAN;NOM;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
частина	częściowo	частина	częściowo	N;INAN;NOM;FEM;SG	ADV
південний	południowej	південний	południowy	ADJ;NOM;MASC;SG	ADJ;GEN;FEM;SG
південний	southern	південний	southerny	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
південний	południe	південний	południe	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
смерті	śmierci	смерть	śmierć	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
смерті	death	смерть	death	N;INAN;NOM;FEM;PL	
смерті	śmierć	смерть	śmierć	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
перша	najpierw	перший	najpierw	ADJ;NOM;FEM;SG	ADV
такі	taki	такий	taki	DET;NOM;PL	DET;NOM;MASC;SG
такі	takie	такий	taki	DET;NOM;PL	DET;NOM;MASC;SG
розташування	umiejscowienie	розташування	umiejscowienie	N;INAN;NOM;NEUT;SG	ADV
розташування	pozycjonowania	розташування	pozycjonowanie	N;INAN;NOM;NEUT;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
розташування	lokalizacji	розташування	lokalizacja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
розташування	lokalizacje	розташування	lokalizacja	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
розташування	miejsca	розташування	miejsce	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
кар	kariery	кар.	kariera	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
кар	karierę	кар.	kariera	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
три	trzy	три	trzy	NUM;NOM	NUM;ACC;MASC;PL
працював	zadziałało	працювати	zadziałać	V;IPFV;MASC;IND;SG;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN;ACT
висота	wysokości	висота	wysokość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
висота	wysokości	висота	wysokość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
себе	siebie	себе	siebie	PRO;ACC;REFL	PRO;GEN;REFL
себе	siebie	себе	siebie	PRO;ACC;REFL	PRO;GEN;REFL
шаблонів	matryca	шаблон	matryca	N;INAN;GEN;MASC;PL	N;NOM;FEM;SG
шаблонів	szablony	шаблон	szablony	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
різних	inna	різний	inny	ADJ;ACC;PL	ADJ;NOM;FEM;SG
різних	różne	різний	różny	ADJ;ACC;PL	ADJ;NOM;NEUT;SG
різних	inny	різний	inny	ADJ;ACC;PL	ADJ;NOM;MASC;SG
