del	del	del	del	ADP;MASC;SG	
enero	일월	enero	일월	N	
agosto	아우구스트	agosto	아우구스트	N	PROPN
otro	기타	otro	기타	PRO;MASC;SG	N
otro	다른	otro	다르+ㄴ	PRO;MASC;SG	ADJ
otro	또다른	otro	또다른	PRO;MASC;SG	DET
abril	에이프릴	abril	에이프릴	N	
abril	사월	abril	사월	N	
total	총액	total	총액	ADJ;SG	N
total	전체	total	전체	ADJ;SG	N
habitantes	레지던트	habitante	레지던트	N;PL	
maría	마리야	maría	말리+아야	N;FEM;SG	
maría	마리	maría	마리	N;FEM;SG	
maría	메리	maría	메리	N;FEM;SG	
maría	마리아	maría	마리아	N;FEM;SG	
maría	마리아	maría	마리아	N;FEM;SG	
real	진짜	real	진짜	ADJ;SG	N
real	리얼	real	리얼	ADJ;SG	
real	레알	real	레알	ADJ;SG	
real	로열	real	로열	ADJ;SG	
real	로얄	real	로얄	ADJ;SG	
página	페이지	página	페이지	N;FEM;SG	
esto	이거	este	이거	PRO;SG	
mundial	전세계	mundial	전세계	ADJ;SG	
mundial	월드	mundial	월드	ADJ;SG	
mundial	세상	mundial	세상	ADJ;SG	N
mundial	세계	mundial	세계	ADJ;SG	N
mundial	글로벌	mundial	글로벌	ADJ;SG	
mundial	전역	mundial	전역	ADJ;SG	N
casa	하우스	casa	하우스	N;FEM;SG	
casa	집에	casa	집+에	N;FEM;SG	ADV
casa	고향	casa	고향	N;FEM;SG	
casa	집으로	casa	집+으로	N;FEM;SG	ADV
casa	가정	casa	가정	N;FEM;SG	
sólo	단발	sólo	단발	ADV	
cuenta	카운트	contar	카운트	V;IND;SG;3;PRS;FIN	
cuenta	계좌	contar	계좌	V;IND;SG;3;PRS;FIN	N
cuenta	계정	contar	계정	V;IND;SG;3;PRS;FIN	N
cuenta	카운트	contar	카운트	V;IND;SG;3;PRS;FIN	
ella	엘라	él	엘라	PRO;FEM;SG;3	
ella	그녀	él	그녀	PRO;FEM;SG;3	
ella	그녀	él	그녀	PRO;FEM;SG;3	
varios	기타	varios	기타	PRO;MASC;PL	N
varios	여러개	varios	여러개	PRO;MASC;PL	
francia	프랑스	francia	프랑스	PROPN	PROPN
solo	solo	solo	solo	ADV	
solo	솔로	solo	솔+로	ADV	
solo	단발	solo	단발	ADV	
chile	칠레	chile	칠레	PROPN	PROPN
chile	칠리	chile	칠리	PROPN	
chile	고추	chile	고추	PROPN	
chile	칠레	chile	칠레	PROPN	PROPN
tipo	형식	tipo	형식	N;MASC;SG	
tipo	타입	tipo	타입	N;MASC;SG	
obra	퇴근	obra	퇴근	N;FEM;SG	
entonces	그렇다면	entonces	그렇다면	ADV	CONJ
entonces	그러면	entonces	그러면	ADV	CONJ
entonces	그때	entonces	그때	ADV	
zona	zone	zona	zone	N;FEM;SG	
zona	면적	zona	면적	N;FEM;SG	
principal	메인	principal	메인	ADJ;SG	
principal	교장	principal	교장	ADJ;SG	N
carlos	카를	carlo	카+를	N;MASC;SG	PROPN
carlos	샤를	carlo	샤+를	N;MASC;SG	PROPN
carlos	찰스	carlo	찰스	N;MASC;SG	PROPN
carlos	카를로스	carlo	카를로스	N;MASC;SG	PROPN
carlos	찰리	carlo	찰리	N;MASC;SG	
otra	또다른	otro	또다른	PRO;FEM;SG	DET
edición	편집하기	edición	편집+하+기	N;FEM;SG	V
edición	에디션	edición	에디션	N;FEM;SG	
premios	어워드	premio	어워드	N;MASC;PL	
premios	상금	premio	상금	N;MASC;PL	
sitio	웹사이트	sitio	웹사이트	N;MASC;SG	
sitio	사이트	sitio	사이트	N;MASC;SG	
bien	좋다	bien	좋+다	ADV	ADJ
bien	미세먼지	bien	미세지+ㄴ지	ADV	
segundo	둘째	segundo	둘째	ADJ;MASC;SG	NUM
segundo	두번째	segundo	두번+째	ADJ;MASC;SG	N
mar	mar	mar	mar	N;SG	
mar	바다	mar	바다	N;SG	
mar	바다	mar	바다	N;SG	
mar	오션	mar	오션	N;SG	
poco	리틀	poco	리틀	ADV	
estadounidense	아메리칸	estadounidense	아메리칸	ADJ;SG	
estadounidense	미국인	estadounidense	미국인	ADJ;SG	N
agua	워터	agua	워터	N;FEM;SG	
tierra	earth	tierra	earth	N;FEM;SG	
tierra	대지	tierra	대+지	N;FEM;SG	
tierra	육지	tierra	육지	N;FEM;SG	
tierra	랜드	tierra	랜드	N;FEM;SG	
título	타이틀	título	타이틀	N;MASC;SG	
ellos	그들	él	그+들	PRO;MASC;PL;3	N
earth	earth	earth	earth	N	
earth	대지	earth	대+지	N	
canción	송송	canción	송송	N;FEM;SG	
fecha	날짜	fecha	날짜	N;FEM;SG	
trabajo	욥기	trabajo	욥기	N;MASC;SG	
trabajo	퇴근	trabajo	퇴근	N;MASC;SG	
luis	루이스	luis	루이스	N;MASC;SG	PROPN
luis	루이	luis	루이	N;MASC;SG	PROPN
luis	루이	luis	루이	N;MASC;SG	PROPN
luis	루트비히	luis	루트비히	N;MASC;SG	PROPN
luis	루드비히	luis	루드비히	N;MASC;SG	PROPN
caso	대소문자	caso	대소문자	N;MASC;SG	
dentro	인사이드	dentro	인사이드	ADV	
dentro	내부	dentro	내부	ADV	N
obras	웍스	obra	웍스	N;FEM;PL	
color	색상	color	색상	N;MASC;SG	
color	컬러	color	컬러	N;MASC;SG	
color	색상	color	색상	N;MASC;SG	
color	컬러	color	컬러	N;MASC;SG	
superficie	표면	superficie	표면	N;FEM;SG	
superficie	지표면	superficie	지표면	N;FEM;SG	
superficie	면적	superficie	면적	N;FEM;SG	
copa	코파	copa	코파	N;FEM;SG	PROPN
copa	cup	copa	cup	N;FEM;SG	
muchos	많은	mucho	많+ㄴ	PRO;MASC;PL	ADJ
línea	라인	línea	라인	N;FEM;SG	
francisco	프란시스코	francisco	프란시스코	N;MASC;SG	PROPN
francisco	프랜시스	francisco	프랜시스	N;MASC;SG	PROPN
siguiente	팔로우	siguiente	팔로우	ADJ;SG	
siguiente	다음	siguiente	다음	ADJ;SG	N
siguiente	넥스트	siguiente	넥스트	ADJ;SG	
área	면적	área	면적	N;FEM;SG	
grandes	대형	grande	대형	ADJ;PL	N
liga	리가	liga	리+가	N;FEM;SG	
muerte	데스	muerte	데스	N;FEM;SG	
medio	미디엄	medio	미디엄	NUM;MASC;SG	
medio	미디어	medio	미디어	NUM;MASC;SG	N
medio	중간	medio	중간	NUM;MASC;SG	N
medio	절반	medio	절반	NUM;MASC;SG	
hecho	made	hecho	made	ADJ;MASC;SG;V.PTCP	
hecho	만든	hecho	만들+ㄴ	ADJ;MASC;SG;V.PTCP	
hecho	완료	hecho	완료	ADJ;MASC;SG;V.PTCP	N
hecho	팩트	hecho	팩트	ADJ;MASC;SG;V.PTCP	
hecho	사실	hecho	사실	ADJ;MASC;SG;V.PTCP	N
algunas	일부	alguno	일부	PRO;FEM;PL	N
carrera	커리어	carrera	커리어	N;FEM;SG	
carrera	레이스	carrera	레이스	N;FEM;SG	
carrera	경주	carrera	경주	N;FEM;SG	PROPN
poder	파워	poder	파우+어	V;NFIN	
poder	전력	poder	전력	V;NFIN	N
poder	권력	poder	권력	V;NFIN	N
pueblo	타운	pueblo	타우+ㄴ	N;MASC;SG	
pueblo	명인	pueblo	명인	N;MASC;SG	
pueblo	빌리지	pueblo	빌리+지	N;MASC;SG	
departamento	아파트	departamento	아파트	N;MASC;SG	
localidades	위치	localidad	위치	N;FEM;PL	
veces	타임스	vez	타임스	N;FEM;PL	
veces	타임즈	vez	타임즈	N;FEM;PL	
reino	킹덤	reino	킹덤	N;MASC;SG	
central	중부	central	중부	ADJ;SG	
central	센트럴	central	센트렇+ㄹ	ADJ;SG	
todas	모두	todo	모두	PRO;FEM;PL	ADV
todas	전체	todo	전체	PRO;FEM;PL	N
york	요크	york	요크	PROPN	
ejemplo	견본	ejemplo	견보+ㄴ	N;MASC;SG	
campo	시골	campo	시골	N;MASC;SG	
campo	필드	campo	필드	N;MASC;SG	
campo	현장	campo	현장	N;MASC;SG	
campo	캠프	campo	캠프	N;MASC;SG	
hacer	make	hacer	make	V;NFIN	
misma	같은	mismo	같+ㄴ	DET;FEM;SG	ADJ
misma	동일	mismo	동일	DET;FEM;SG	
misma	똑같이	mismo	똑같이	DET;FEM;SG	ADV
conocido	알려진	conocido	알리+어+지+ㄴ	ADJ;MASC;SG;V.PTCP	V
http	http	http	http	N	
frente	이마	frente	이마	N	
frente	이마	frente	이마	N	
antonio	안토니우스	antonio	안토니우스	N;MASC;SG	PROPN
antonio	앤서니	antonio	뛰서+니	N;MASC;SG	
antonio	토니	antonio	토니	N;MASC;SG	
antonio	안토니우스	antonio	안토니우스	N;MASC;SG	PROPN
antonio	안토니오	antonio	안토니오	N;MASC;SG	
director	디렉터	director	디렉터	N;MASC;SG	
días	데이즈	día	데이즈	N;MASC;PL	
española	스페인어	español	스페인어	ADJ;FEM;SG	
varias	여러개	varios	여러개	PRO;FEM;PL	
actual	현재	actual	현재	ADJ;SG	N
actual	전류	actual	전류	ADJ;SG	N
momento	타이밍	momento	타이밍	N;MASC;SG	
momento	타이밍이	momento	타이밍+이	N;MASC;SG	
lista	준비	lista	준비	N;FEM;SG	
lista	리스트	lista	리스트	N;FEM;SG	
jpg	jpeg	jpg	jpeg	PROPN	
jpg	jpg	jpg	jpg	PROPN	
campeonato	챔피언십	campeonato	後피+언감	N;MASC;SG	
campeonato	챔피언쉽	campeonato	後피언+들	N;MASC;SG	
tarde	늦은	tarde	늦+ㄴ	ADV	
tarde	지각	tarde	지각	ADV	
tarde	늦게	tarde	늦+게	ADV	ADJ
tarde	저녁	tarde	저녁	ADV	N
tarde	오후	tarde	오후	ADV	N
porque	왜냐면	porque	왜+이면	CONJ	
porque	왜냐하면	porque	왜냐하면	CONJ	CONJ
estación	역시	estación	역시	N;FEM;SG	ADV
actualmente	현재	actualmente	현재	ADV	N
escuela	스쿨	escuela	스쿨	N;FEM;SG	
escuela	학원	escuela	학원	N;FEM;SG	
importante	중요	importante	중요	ADJ;SG	N
importante	중요하다	importante	중요+하+다	ADJ;SG	V
último	마지막	último	마지막	ADJ;MASC;SG	N
último	라스트	último	라스트	ADJ;MASC;SG	
último	최근	último	최근	ADJ;MASC;SG	N
último	최신	último	최신	ADJ;MASC;SG	
canciones	songs	canción	songs	N;FEM;PL	
uso	이용하기	uso	이용+하+기	N;MASC;SG	V
uso	사용하기	uso	사용+하+기	N;MASC;SG	V
uso	사용하다	uso	사용+하+다	N;MASC;SG	
juegos	게이밍	juego	게이밍	N;MASC;PL	
base	베이스	base	베이스	N;SG	
punto	dot	punto	dot	N;MASC;SG	
punto	지점	punto	지점	N;MASC;SG	
punto	포인트	punto	포인트	N;MASC;SG	
posición	위치	posición	위치	N;FEM;SG	
alemania	독일	alemania	독일	N;FEM;SG	PROPN
ubicación	위치	ubicación	위치	N;FEM;SG	
partidos	일치하는	partido	일치+하+는	N;MASC;PL	V
partidos	성냥	partido	성냥	N;MASC;PL	
partidos	일치	partido	일치	N;MASC;PL	
grupos	그룹	grupo	그룹	N;MASC;PL	
miembros	멤버	miembro	멤버	N;MASC;PL	
miembros	멤버	miembro	멤버	N;MASC;PL	
pedro	페드로	pedro	페드+로	N;MASC;SG	ADV
pedro	베드로	pedro	베드+로	N;MASC;SG	ADV
pedro	피터	pedro	피터	N;MASC;SG	
capital	수도	capital	수+도	N;FEM;SG	
capital	캐피탈	capital	캐피탈	N;FEM;SG	
capital	캐피털	capital	캐피털	N;FEM;SG	
primeros	초기	primero	초기	ADJ;MASC;PL	N
primeros	일찍	primero	일찍	ADJ;MASC;PL	ADV
primeros	우선	primero	우선	ADJ;MASC;PL	ADV
primeros	퍼스트	primero	퍼스트	ADJ;MASC;PL	
primeros	처음	primero	처음	ADJ;MASC;PL	N
primeros	먼저	primero	먼저	ADJ;MASC;PL	ADV
manera	웨이팅	manera	웨이팅	N;FEM;SG	
manera	way	manera	way	N;FEM;SG	
manera	웨이	manera	웨+이	N;FEM;SG	
laboratorio	lab	laboratorio	la+과	N;MASC;SG	
estudios	스튜디오스	estudio	스튜디오스	N;MASC;PL	
estudios	스튜디오	estudio	스튜디오	N;MASC;PL	
diferentes	달라	diferente	달+라	ADJ;PL	
diferentes	다름	diferente	다르+ㅁ	ADJ;PL	
barcelona	바르셀로나	barcelona	바르셀로나	N;FEM;SG	PROPN
nivel	레벨	nivel	레벨	N;MASC;SG	
nivel	수준	nivel	수준	N;MASC;SG	
mayoría	다수	mayoría	다수	N;FEM;SG	
unión	유니언	unión	유니언	N;FEM;SG	
edad	나이에	edad	나이+에	N;FEM;SG	ADV
juego	게이밍	juego	게이밍	N;MASC;SG	
juego	도박	juego	도박	N;MASC;SG	
arte	아트	arte	아트	N;SG	
arte	아트워크	arte	아트워크	N;SG	
europa	유럽	europa	유럽	N;FEM;SG	PROPN
estilo	스타일	estilo	스타일	N;MASC;SG	
cine	시네마	cine	시네마	N;MASC;SG	
proyecto	프로젝트	proyecto	프로젝트	N;MASC;SG	
center	센터	center	센터	N;MASC;SG	
costa	코스타	costa	코스타	N;FEM;SG	
costa	코스트	costa	코스트	N;FEM;SG	
costa	해안	costa	해안	N;FEM;SG	
origen	소스	origen	소스	N;MASC;SG	
origen	원본	origen	원본	N;MASC;SG	
código	코드	código	코드	N;MASC;SG	
puntos	dots	punto	dots	N;MASC;PL	
puntos	반점	punto	반점	N;MASC;PL	
puntos	지점	punto	지점	N;MASC;PL	
puntos	포인트	punto	포인트	N;MASC;PL	
perú	페루	perú	페루	PROPN	PROPN
militar	군사	militar	군사	ADJ;SG	N
américa	아메리카	américa	아메리카	N;FEM;SG	PROPN
américa	아메리카	américa	아메리카	N;FEM;SG	PROPN
producción	프로덕션	producción	프로덕션	N;FEM;SG	
italia	이탈리아	italia	이탈리아	PROPN	PROPN
italia	이탈리아	italia	이탈리아	PROPN	PROPN
manuel	매니	manuel	매+니	PROPN	
wikipedia	위키백과의	wikipedia	위키백+과+의	N;FEM;SG	PROPN
wikipedia	위키백과	wikipedia	위키백+과	N;FEM;SG	CONJ
plantas	공장	planta	공장	N;FEM;PL	
metros	미터	metro	미터	N;MASC;PL	
metros	미터	metro	미터	N;MASC;PL	
metros	미터	metro	미터	N;MASC;PL	
oro	황금	oro	황금	N;MASC;SG	
oro	골든	oro	골든	N;MASC;SG	
oro	골드	oro	골드	N;MASC;SG	
oro	황금	oro	황금	N;MASC;SG	
local	로컬	local	로컬	ADJ;SG	
local	현지	local	현지	ADJ;SG	
francés	프랑스	francés	프랑스	N;MASC;SG	PROPN
francés	프랑스어	francés	프랑스어	N;MASC;SG	PROPN
francés	프렌치	francés	프렌치	N;MASC;SG	
santiago	제임스	santiago	제임스	N;MASC;SG	
santiago	산티아고	santiago	산티아+고	N;MASC;SG	PROPN
cerca	닫기	cerca	닫+기	ADV	
cerca	닫습니다	cerca	닫+습니다	ADV	
cerca	닫아	cerca	닫+아	ADV	V
cerca	근처	cerca	근처	ADV	
cerca	근처	cerca	근처	ADV	
estudio	공부해	estudio	공부+하+어	N;MASC;SG	V
estudio	공부하기	estudio	공부+하+기	N;MASC;SG	V
estudio	스튜디오	estudio	스튜디오	N;MASC;SG	
principales	메인	principal	메인	ADJ;PL	
com	com	com	com		
cinco	파이브	cinco	파이브	NUM;PL	
anterior	아까	anterior	아까	ADJ;SG	
anterior	이전	anterior	이전	ADJ;SG	N
cargo	전하	cargo	전하	N;MASC;SG	
batalla	배틀	batalla	배틀	N;FEM;SG	
imagen	이미지	imagen	이미지	N;FEM;SG	
puerto	푸에르토	puerto	푸에르토	N;MASC;SG	PROPN
puerto	포트	puerto	포트	N;MASC;SG	
puerto	하버	puerto	하버	N;MASC;SG	
social	사회주의	social	사회주의	ADJ;SG	N
social	사회	social	사회	ADJ;SG	N
social	사회적	social	사회+적	ADJ;SG	N
millones	백만명	millón	백만명	N;MASC;PL	
millones	백만	millón	백만	N;MASC;PL	
millones	수백만	millón	수백만	N;MASC;PL	
comunidad	커뮤니티	comunidad	커뮤니티	N;FEM;SG	
fin	끝내기	fin	끝내+기	N;MASC;SG	V
fin	지느러미	fin	지느러미	N;MASC;SG	
acuerdo	동의	acuerdo	동의	N;MASC;SG	
lado	측면	lado	측면	N;MASC;SG	
lado	사이드	lado	사이드	N;MASC;SG	
colombia	콜롬비아	colombia	콜롬비아	N;FEM;SG	PROPN
colombia	콜럼비아	colombia	콜럼비아	N;FEM;SG	PROPN
colombia	컬럼비아	colombia	컬럼비아	N;FEM;SG	PROPN
colombia	콜롬비아	colombia	콜롬비아	N;FEM;SG	PROPN
colombia	콜롬비아	colombia	콜롬비아	N;FEM;SG	PROPN
rock	바위	rock	바위	N;MASC;SG	
rock	rock	rock	rock	N;MASC;SG	
político	정치인	político	정치인	ADJ;MASC;SG	N
político	정치가	político	정치+가	ADJ;MASC;SG	N
político	정치	político	정치	ADJ;MASC;SG	N
político	정치	político	정치	ADJ;MASC;SG	N
político	정치적	político	정치+적	ADJ;MASC;SG	N
ver	조회	ver	조회	V;NFIN	
fuera	외부	fuera	외부	ADV	
fuera	바깥	fuera	바깥	ADV	N
fuera	아웃	fuera	아웃	ADV	
mediante	통해	mediante	통하+어	ADP	CONJ
popular	인기가요	popular	인기+가요	ADJ;SG	
popular	인기	popular	인기	ADJ;SG	N
popular	인기가	popular	인기+가	ADJ;SG	N
muchas	많은	mucho	많+ㄴ	PRO;FEM;PL	ADJ
hoy	오늘도	hoy	오늘+도	ADV	
hoy	오늘	hoy	오늘	ADV	N
alto	알토	alto	알토	ADJ;MASC;SG	
alto	하이	alto	하이	ADJ;MASC;SG	
alto	중지	alto	중지	ADJ;MASC;SG	N
alto	정지	alto	정지	ADJ;MASC;SG	N
sino	근데	sino	근데	CONJ	
siguientes	팔로우	siguiente	팔로우	ADJ;PL	
finales	파이널	final	파이널	N;MASC;PL	
finales	파이널	final	파이널	N;MASC;PL	
sociedad	파트너십	sociedad	파트너십	N;FEM;SG	
sociedad	파트너쉽	sociedad	파트너쉽	N;FEM;SG	
tema	테마	tema	테마	N;MASC;SG	
dirección	주소	dirección	주소	N;FEM;SG	
última	마지막	último	마지막	ADJ;FEM;SG	N
última	라스트	último	라스트	ADJ;FEM;SG	
última	최근	último	최근	ADJ;FEM;SG	N
última	최신	último	최신	ADJ;FEM;SG	
original	원본	original	원본	ADJ;SG	
original	오리지널	original	오리지널	ADJ;SG	
estadio	아레나	estadio	아레+나	N;MASC;SG	
