ogas	bär	oga	bära	N;NOM;FEM;PL	V;IMP;FIN;ACT
ieslodzīto	fånge	ieslodzīt	fånge	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;NOM;INDF;MASC+FEM;SG
ieslodzīto	fången	ieslodzīt	fång	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;NOM;DEF;MASC+FEM;SG
ieslodzīto	interner	ieslodzīt	intern	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;NOM;INDF;MASC+FEM;PL
ieslodzīto	fångar	ieslodzīt	fånga	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	V;IND;PRS;FIN;ACT
riks	rick	rikt	råck	PROPN;NOM;MASC;SG	PROPN;NOM
taisni	straight	taisni	straight	ADV	N;NOM;INDF;MASC+FEM;SG
taisni	rak	taisni	rak	ADV	ADJ;NOM;INDF;MASC+FEM;SG
taisni	raka	taisni	rak	ADV	ADJ;NOM;PL
patiešām	sannerligen	patiešām	sannerligen	PART	ADV
patiešām	verkligen	patiešām	verkligen	PART	ADV
patiešām	verkligen	patiešām	verkligen	PART	ADV
patiešām	verkligen	patiešām	verkligen	PART	ADV
dace	dace	dace	dace	PROPN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
molekulā	molekyl	molekula	molekyl	N;ESS;MASC;SG	N;NOM;INDF;MASC+FEM;SG
gali	gali	gals	gali	N;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
gaida	väntande	gaidīt	vänta	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;PRS;V.PTCP
gaida	väntan	gaidīt	väntan	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;DEF;MASC+FEM;SG
kokus	träd	koks	träd	N;ACC;MASC;PL	N;NOM;INDF;NEUT;SG
borussia	borussia	borussis	borussia	N;NOM;MASC;SG	PROPN;NOM
kristālu	crystal	kristāls	crystal	N;ACC;MASC;SG	N;NOM;INDF;NEUT;SG
kristālu	kristall	kristāls	kristall	N;ACC;MASC;SG	N;NOM;INDF;NEUT;SG
ieslodzīts	fängslad	ieslodzīt	fängslad	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;NOM;INDF;NEUT;SG
ieslodzīts	inspärrad	ieslodzīt	inspärrad	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ieslodzīts	fängslad	ieslodzīt	fängslad	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;NOM;INDF;NEUT;SG
ieslodzīts	fängslade	ieslodzīt	fängsla	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;NOM;INDF;NEUT;PL
skan	ljud	skanēt	ljud	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;INDF;NEUT;SG
zarnas	tarm	zarna	tarm	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
zarnas	tarmen	zarna	tarm	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
zarnas	tarmen	zarna	tarm	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
zarnas	tarm	zarna	tarm	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
rakstot	skrivande	rakstīt	skrivande	V;V.CVB	ADJ;NOM;PRS;V.PTCP
rakstot	skrift	rakstīt	skrift	V;V.CVB	N;NOM;INDF;MASC+FEM;SG
rakstot	skrivning	rakstīt	skrivning	V;V.CVB	N;NOM;INDF;MASC+FEM;SG
produkta	produkten	produkts	produkt	N;GEN;MASC;SG	N;NOM;DEF;MASC+FEM;SG
produkta	produkt	produkts	produkt	N;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
plāni	planerar	plāns	planera	ADJ;NOM;MASC;PL	V;IND;PRS;FIN;ACT
plāni	planer	plāns	plan	ADJ;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
ilgāku	längre	ilgs	länge	ADJ;ACC;CMPR;MASC;SG	ADV;CMPR
debesīm	himmel	debess	himmel	N;DAT;FEM;PL	N;NOM;INDF;MASC+FEM;SG
debesīm	heaven	debess	heav	N;DAT;FEM;PL	N;NOM;DEF;MASC+FEM;SG
debesīm	himlen	debess	himle	N;DAT;FEM;PL	N;NOM;DEF;MASC+FEM;SG
debesīm	himmelriket	debess	himmelrik	N;DAT;FEM;PL	N;NOM;DEF;NEUT;SG
debesīm	himmelen	debess	himmel	N;DAT;FEM;PL	N;NOM;DEF;MASC+FEM;SG
reģistrā	registrera	reģistrs	registrera	N;ESS;MASC;SG	V;IMP;FIN;ACT
reģistrā	register	reģistrs	regist	N;ESS;MASC;SG	N;NOM;INDF;NEUT;SG
reģistrā	registret	reģistrs	registre	N;ESS;MASC;SG	N;NOM;DEF;NEUT;SG
pieņemti	accepterade	pieņemt	acceptera	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
pieņemti	godkänt	pieņemt	godkänna	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
pieņemti	accepterat	pieņemt	acceptera	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
pieņemti	accepterad	pieņemt	acceptera	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
pieņemti	godkänd	pieņemt	godkänd	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
kolumbija	columbia	kolumbija	columbia	N;NOM;FEM;SG	PROPN;NOM
kolumbija	colombia	kolumbija	colombia	N;NOM;FEM;SG	PROPN;NOM
kolumbija	colombia	kolumbija	colombia	N;NOM;FEM;SG	PROPN;NOM
zemā	låga	zems	låg	ADJ;NOM;FEM;SG	ADJ;NOM;PL
zemā	low	zems	low	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
zemā	låg	zems	låg	ADJ;NOM;FEM;SG	INTJ
nometņu	lägren	nometne	lägr	N;GEN;FEM;PL	N;NOM;DEF;NEUT;PL
nometņu	läger	nometne	läga	N;GEN;FEM;PL	N;NOM;INDF;MASC+FEM;PL
vāja	stackars	vāja	stack	ADJ;NOM;FEM;SG	N;GEN;INDF;MASC+FEM;PL
vāja	fattiga	vāja	fattig	ADJ;NOM;FEM;SG	ADJ;NOM;PL
vāja	svaga	vāja	svag	ADJ;NOM;FEM;SG	ADJ;NOM;PL
radinieks	relativ	radinieks	relativ	N;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
radinieks	relativt	radinieks	relativt	N;NOM;MASC;SG	ADV
radinieks	relativa	radinieks	relativa	N;NOM;MASC;SG	ADJ;NOM;PL
saīsinājums	förkortningar	saīsinājums	förkortning	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
mērija	mary	mērija	mary	N;NOM;FEM;SG	PROPN;NOM
mērija	maria	mērija	maria	N;NOM;FEM;SG	PROPN;NOM
lokomotīves	lok	lokomotīve	lok	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
lokomotīves	lokomotiv	lokomotīve	lokomotiv	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
versaļas	versailles	versaļa	versaill	N;NOM;FEM;PL	PROPN;NOM
īsteno	genomför	īstenot	genomför	V;IMP;2;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
nightwish	nightwish	nightwish	nightwish	PROPN;NOM	PROPN;NOM
atiet	avgående	atiet	avgående	V;POS;NFIN	ADJ;NOM;PRS;V.PTCP
saglabāšanu	konservering	saglabāšana	konservering	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
saglabāšanu	bevarande	saglabāšana	bevarande	N;ACC;FEM;SG	ADJ;NOM;PRS;V.PTCP
pretrunā	odds	pretruna	odd	N;ESS;FEM;SG	N;NOM;INDF;NEUT;PL
palielināts	ökade	palielināt	öka	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
palielināts	ökad	palielināt	öka	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
palielināts	ökat	palielināt	öka	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
palielināts	förhöjt	palielināt	förhöja	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
santjago	santiago	santjagot	santiag	N	PROPN;NOM
konvenciju	konventet	konvencija	konvente	N;ACC;FEM;SG	N;NOM;DEF;NEUT;SG
konvenciju	konventionen	konvencija	konvention	N;ACC;FEM;SG	N;NOM;DEF;MASC+FEM;SG
konvenciju	konvent	konvencija	konvent	N;ACC;FEM;SG	N;NOM;INDF;NEUT;SG
konvenciju	konvention	konvencija	konvention	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
turciju	turkiet	turcija	turkiet	PROPN;ACC;FEM;SG	PROPN;NOM
turciju	kalkon	turcija	kalkon	PROPN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
saprata	förstått	saprast	förstå	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
saprata	uppfattat	saprast	uppfatta	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
saprata	realiserade	saprast	realisera	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
saprata	insåg	saprast	inse	V;FH;IND;3;POS;PST;FIN;ACT	V;IMP;FIN;ACT
saprata	insett	saprast	inse	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
renē	rené	renēt	rené	PROPN	PROPN;NOM
renē	renee	renēt	ren	PROPN	PROPN;NOM
renē	renée	renēt	ren	PROPN	PROPN;NOM
renē	rené	renēt	rené	PROPN	PROPN;NOM
renē	rene	renēt	ren	PROPN	PROPN;NOM
pjotrs	pjotr	pjotrs	pjotr	PROPN;NOM;MASC;SG	PROPN;NOM
pozitīvas	positivt	pozitīva	positiv	ADJ;NOM;FEM;PL	ADJ;NOM;INDF;NEUT;SG
pozitīvas	positiv	pozitīva	positiv	ADJ;NOM;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG
komunikāciju	kommunikation	komunikācija	kommunikation	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
komunikāciju	meddelanden	komunikācija	meddelande	N;ACC;FEM;SG	N;NOM;INDF;NEUT;PL
komunikāciju	kommunikationer	komunikācija	kommunikation	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;PL
palielinot	ökande	palielināt	öka	V;V.CVB	ADJ;NOM;PRS;V.PTCP
sekcijas	obduktionen	sekcija	obduktion	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
sekcijas	obduktion	sekcija	obduktion	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
sekcijas	avsnitt	sekcija	avsnitt	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
emīlija	emilia	emīlija	emili	N;NOM;FEM;SG	PROPN;NOM
emīlija	emelie	emīlija	emelie	N;NOM;FEM;SG	PROPN;NOM
emīlija	emilie	emīlija	emilium	N;NOM;FEM;SG	PROPN;NOM
emīlija	emelie	emīlija	emelie	N;NOM;FEM;SG	PROPN;NOM
emīlija	emily	emīlija	emily	N;NOM;FEM;SG	PROPN;NOM
capri	capri	capri	capri		PROPN;NOM
lūgšanas	bön	lūgšana	bön	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
kontinentālā	continental	kontinentāla	continental	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
kontinentālā	kontinental	kontinentāla	kontinental	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
kontinentālā	kontinentala	kontinentāla	kontinental	ADJ;NOM;FEM;SG	ADJ;NOM;PL
reforma	reformer	reforma	reform	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
reforma	reformera	reforma	reformera	N;NOM;FEM;SG	V;IMP;FIN;ACT
vietējais	lokala	vietējs	lokal	ADJ;NOM;MASC;SG	ADJ;NOM;PL
vietējais	lokal	vietējs	lokal	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
vietējais	local	vietējs	local	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
vietējais	infödda	vietējs	infödd	ADJ;NOM;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
vietējais	inhemska	vietējs	inhemsk	ADJ;NOM;MASC;SG	ADJ;NOM;PL
melnkalnes	montenegrinska	melnkalne	montenegrinsk	N;NOM;FEM;PL	ADJ;NOM;PL
bari	bari	bars	bari	N;NOM;MASC;PL	PROPN;NOM
tonijs	tony	tonijs	tony	N;NOM;MASC;SG	PROPN;NOM
egle	gran	egle	gran	PROPN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
nekur	ingenstans	nekur	ingenstans	ADV	N;NOM;INDF;MASC+FEM;SG
dāmas	ladies	dāma	ladium	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
publicē	publicera	publicēt	publicera	V;FH;IND;3;POS;PRS;FIN;ACT	V;IMP;FIN;ACT
publicē	offentliggöra	publicēt	offentliggöra	V;FH;IND;3;POS;PRS;FIN;ACT	V;IMP;NFIN;ACT
seguma	trottoaren	segums	trottoar	N;GEN;MASC;SG	N;NOM;DEF;MASC+FEM;SG
lockheed	lockheed	lockheed	lockheed		PROPN;NOM
apmeklēt	besök	apmeklēt	besök	V;POS;NFIN	N;NOM;INDF;NEUT;SG
saimniecība	håller	saimniecība	hålla	N;NOM;FEM;SG	V;IND;PRS;FIN;ACT
bagāts	rich	bagāts	rich	ADJ;NOM;MASC;SG	PROPN;NOM
bagāts	rika	bagāts	rik	ADJ;NOM;MASC;SG	ADJ;NOM;PL
lejas	leu	leja	leu	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
lejas	botten	leja	botten	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
lejas	nedre	leja	nedre	N;NOM;FEM;PL	ADJ;NOM;CMPR
lejas	nerifrån	leja	nerifrån	N;NOM;FEM;PL	ADV
sep	sep	sep	sep		N
efektīvi	effektiva	efektīvi	effektiv	ADV	ADJ;NOM;PL
efektīvi	effektiv	efektīvi	effektiv	ADV	ADJ;NOM;INDF;MASC+FEM;SG
efektīvi	effektivt	efektīvi	effektiv	ADV	ADJ;NOM;INDF;NEUT;SG
efektīvi	effektivt	efektīvi	effektiv	ADV	ADJ;NOM;INDF;NEUT;SG
efektīvi	ändamålsenligt	efektīvi	ändamålsenlig	ADV	ADJ;NOM;INDF;NEUT;SG
efektīvi	effektiva	efektīvi	effektiv	ADV	ADJ;NOM;PL
efektīvi	effektiv	efektīvi	effektiv	ADV	ADJ;NOM;INDF;MASC+FEM;SG
efektīvi	effektivt	efektīvi	effektiv	ADV	ADJ;NOM;INDF;NEUT;SG
efektīvi	effektivt	efektīvi	effektiv	ADV	ADJ;NOM;INDF;NEUT;SG
buru	segelbåtar	bura	segelbåt	N;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;PL
otavas	ottawa	otava	ottal	N;NOM;FEM;PL	PROPN;NOM
lidojumi	flyg	lidojums	flyg	N;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
tilti	bridges	tilti	bridg	N;NOM;MASC;PL	PROPN;NOM
darbinieka	anställd	darbinieks	anställd	N;GEN;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
darbinieka	medarbetare	darbinieks	medarbetare	N;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;PL
tekstus	texter	teksts	text	N;ACC;MASC;PL	N;NOM;INDF;MASC+FEM;PL
tekstus	sms	teksts	sm	N;ACC;MASC;PL	N;NOM;INDF;NEUT;SG
dzimtenes	hemland	dzimtene	hemland	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
dzimtenes	hembygd	dzimtene	hembygd	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
dzimtenes	homeland	dzimtene	homeland	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
ļevs	lev	ļevs	lev	PROPN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
paraksta	signatur	paraksts	signatur	N;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
paraksta	underskrift	paraksts	underskrift	N;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
paraksta	namnteckning	paraksts	namnteckning	N;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
paraksta	undertecknande	paraksts	undertecknande	N;GEN;MASC;SG	ADJ;NOM;PRS;V.PTCP
johannes	johannes	johanne	johan	PROPN;NOM;FEM;SG	PROPN;NOM
western	västra	westerne	onstra		ADJ;NOM;DEF;SG
western	västlig	westerne	västlig		ADJ;NOM;INDF;MASC+FEM;SG
kopīgs	delats	kopīgs	delata	ADJ;NOM;MASC;SG	V;V.CVB;PASS
kopīgs	delas	kopīgs	dela	ADJ;NOM;MASC;SG	V;IND;PRS;FIN;PASS
kopīgs	delade	kopīgs	delad	ADJ;NOM;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
domāšanas	tankesätt	domāšana	tankesätt	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
domāšanas	mentalitet	domāšana	mentalitet	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
domāšanas	tänkesätt	domāšana	tänkesätt	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
fiziskā	fysiska	fiziska	fysisk	ADJ;NOM;FEM;SG	ADJ;NOM;PL
vēlams	helst	vēlams	gärna	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADV;RL
vēlams	önskvärt	vēlams	önskvärd	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG
vēlams	önskvärd	vēlams	önskvärd	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG
vēlams	önskvärda	vēlams	önskvärd	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;PL
aitu	får	aita	få	N;ACC;MASC;SG	V;IND;PRS;FIN;ACT
pietiek	nog	pietikt	nog	V;FH;IND;3;POS;PRS;FIN;ACT	ADV
pietiek	tillräckligt	pietikt	tillräcklig	V;FH;IND;3;POS;PRS;FIN;ACT	ADV
pietiek	räcka	pietikt	räcka	V;FH;IND;3;POS;PRS;FIN;ACT	V;IMP;FIN;ACT
model	modellen	model	modell		N;NOM;DEF;MASC+FEM;SG
model	förebild	model	förebild		N;NOM;INDF;MASC+FEM;SG
model	model	model	model		N;NOM;INDF;MASC+FEM;SG
model	förlaga	model	förlaga		N;NOM;INDF;MASC+FEM;SG
model	modell	model	modell		N;NOM;INDF;MASC+FEM;SG
izdevumus	kostnader	izdevumi	kostnad	N;ACC;MASC	N;NOM;INDF;MASC+FEM;PL
izdevumus	utgifter	izdevumi	utgift	N;ACC;MASC	N;NOM;INDF;MASC+FEM;PL
izdevumus	utlägg	izdevumi	utlägg	N;ACC;MASC	N;NOM;INDF;NEUT;PL
fēru	färöiska	fēra	färöisk	N;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;SG
meklēja	sökt	meklēt	söka	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
meklēja	inhämtade	meklēt	inhämtad	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
meklēja	sökt	meklēt	söka	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
meklēja	sökta	meklēt	sökta	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
piegādes	leverans	piegāde	leverans	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
piegādes	förråd	piegāde	förråd	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
maksāja	betald	maksāt	betald	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
maksāja	betalt	maksāt	betala	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
maksāja	betalat	maksāt	betala	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
maksāja	betalda	maksāt	betala	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
maksāja	betalade	maksāt	betala	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
iesaistīts	inblandad	iesaistīt	inblandad	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
iesaistīts	involverad	iesaistīt	involverad	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
iesaistīts	inblandat	iesaistīt	inblandad	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
iesaistīts	delaktig	iesaistīt	delaktig	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG
iesaistīts	involverade	iesaistīt	involvera	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
iesaistīts	inblandad	iesaistīt	inblandad	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
leafs	leafs	leafs	leafs	N;NOM;MASC;SG	PROPN;NOM
skābes	surt	skābe	sur	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
skābes	syra	skābe	syra	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
sibīriju	sibirien	sibīrija	sibirien	N;ACC;FEM;SG	PROPN;NOM
jebkad	någonsin	jebkad	någonsin		ADV
jebkad	ever	jebkad	ever		N;NOM;INDF;MASC+FEM;SG
ieviešanas	introduktion	ieviešana	introduktion	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
iniciatīvu	initiativ	iniciatīva	initiativ	ADJ;ACC;MASC;SG	N;NOM;INDF;NEUT;SG
iniciatīvu	initiative	iniciatīva	initiative	ADJ;ACC;MASC;SG	N;NOM;INDF;NEUT;SG
iniciatīvu	initiativet	iniciatīva	initiativ	ADJ;ACC;MASC;SG	N;NOM;DEF;NEUT;SG
iekarot	erövra	iekārt	erövra	V;NFH;QUOT;POS;PRS;FIN;ACT	V;IMP;FIN;ACT
iekarot	invadera	iekārt	invadera	V;NFH;QUOT;POS;PRS;FIN;ACT	V;IMP;FIN;ACT
iekarot	invaderar	iekārt	invadera	V;NFH;QUOT;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
mēle	tungor	mēle	tungo	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
mēle	tunga	mēle	tung	N;NOM;FEM;SG	ADJ;NOM;PL
espn	espn	espn	espn		PROPN;NOM
redzamais	synlig	redzēt	synlig	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;DEF;SG
redzamais	synligt	redzēt	synlig	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG
redzamais	synliga	redzēt	synlig	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;PL
kurzeme	kurland	kurzeme	kurland	PROPN;NOM;FEM;SG	PROPN;NOM
sliedes	järnväg	sliede	järnväg	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
sliedes	räls	sliede	räls	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
virsotni	vertex	virsotne	vertex	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
emma	emma	emma	emma	N;NOM;FEM;SG	PROPN;NOM
atkārtots	upprepade	atkārtot	upprepa	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;NOM;PL;PST;V.PTCP;ACT
