loại	kategória	loại	kategória	N	
sau	after	sau	after	N	
sau	miután	sau	miután	N	CONJ
sau	utána	sau	utána	N	
sau	később	sau	későn	N	ADV
trung	közepes	trung	közepes	N	ADJ;NOM;SG
trung	központi	trung	központi	N	ADJ;NOM;SG
trung	közép	trung	közép	N	
trung	középső	trung	középső	N	
trên	felett	trên	felett		ADP
trên	fölött	trên	fölött		ADP
trên	felette	trên	felet		PRO;NOM;SG;3
nhà	otthon	nhà	otthon	N	
nhà	itthon	nhà	itthon	N	
nhà	haza	nhà	haza	N	
nhà	house	nhà	hous	N	
nhà	házon	nhà	ház	N	ADJ;FRML;SG
như	mint	như	mint	CONJ	CONJ
như	like	như	lik	CONJ	
như	tetszik	như	tetszik	CONJ	V;INDF;IND;SG;3;PRS;FIN;ACT
huyện	kerület	huyện	kerület	N	
gia	gia	gia	gia	N	
bản	holland	bản	holland	N	
bản	dutch	bản	dutch	N	
đại	nagy	đại	nagy	N	ADJ;NOM;SG
hiện	mutasd	hiện	mutasd	N	V;DEF;IND;SG;3;PRS;FIN;ACT
hiện	show	hiện	show	N	
thế	ez	thế	ez	PROPN	PRO;NOM;SG;3
bar	bár	bar	bár		CONJ
lại	újra	lại	újra		ADV
cũng	szintén	cũng	szintén		
cũng	egyben	cũng	egyben		ADV
cũng	úgyszintén	cũng	úgyszintén		
việt	vietnam	việt	viet	N	
việt	vietnami	việt	vietnami	N	
nhất	legjobbak	nhất	jó		N;NOM;PL
nhất	legjobb	nhất	jó		
nhất	best	nhất	best		
nhân	szaporodnak	nhân	szaporod		V;INDF;IND;PL;3;PRS;FIN;ACT
nhân	páciens	nhân	páciens		N;NOM;SG
nhân	beteg	nhân	beteg		N;NOM;SG
phát	közvetítés	phát	közvetítés	V	N;NOM;SG
phát	adás	phát	adás	V	N;NOM;SG
phát	lövés	phát	lövés	V	N;NOM;SG
phát	lövések	phát	lövés	V	N;NOM;PL
phát	feles	phát	feles	V	
phát	lövés	phát	lövés	V	N;NOM;SG
anh	te	anh	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
pháp	francia	pháp	francia	N	
pháp	france	pháp	france	N	
chúng	ők	chúng	ők	PROPN	PRO;NOM;PL;3
chúng	őket	chúng	ők	PROPN	PRO;ACC;PL;3
chúng	ők	chúng	ők	PROPN	PRO;NOM;PL;3
tập	epizód	tập	epizód		N;NOM;SG
tập	rész	tập	rész		N;NOM;SG
tập	epizódjainak	tập	epizód		N;GEN;PL
tập	epizódok	tập	epizód		N;NOM;PL
tập	epizód	tập	epizód		N;NOM;SG
nhiều	sok	nhiều	sok	ADJ	
nhiều	sokan	nhiều	sokan	ADJ	ADV
nhiều	sok	nhiều	sok	ADJ	
nhiều	sokat	nhiều	sok	ADJ	
nhiều	többszörös	nhiều	többszörös	ADJ	N;NOM;SG
chi	chi	chi	chi	N	
chỉ	csak	chỉ	csak		ADV
chỉ	kizárólag	chỉ	kizárólag		
chỉ	csak	chỉ	csak		ADV
đây	itt	đây	itt	PROPN	ADV
sinh	születés	sinh	születés	V	N;NOM;SG
sinh	születési	sinh	születési	V	ADJ;NOM;SG
sinh	szülés	sinh	szülés	V	N;NOM;SG
con	con	con	con	N	
quan	guan	quan	guan	V	
quan	quan	quan	quan	V	
tin	hiszem	tin	hisz		V;DEF;IND;SG;1;PRS;FIN;ACT
tin	higgy	tin	higgy		V;INDF;IND;SG;1;PRS;FIN;ACT
tin	elhinni	tin	elhinni		V;NFIN;ACT
tin	történetek	tin	történet		N;NOM;PL
tin	történeteket	tin	történet		N;ACC;PL
tin	mesék	tin	mesék		N;NOM;PL
tin	bejegyzések	tin	bejegyzés		N;NOM;PL
tin	hírek	tin	hír		N;NOM;PL
tin	hír	tin	hír		N;NOM;SG
tin	bizalom	tin	bizalom		N;NOM;SG
đồng	bronz	đồng	bronz	N	
viên	bécsi	viên	bécsi	N	
hai	kettő	hai	kettő	NUM	
phải	jobbra	phải	jobbra	V	ADV
bắc	észak	bắc	észak	N	
bắc	északi	bắc	északi	N	
bắc	észak	bắc	észak	N	
bắc	északi	bắc	északi	N	
tiểu	kis	tiểu	kis		ADJ;NOM;SG
khác	más	khác	más	ADJ	PRO;NOM;SG;3
khác	különböző	khác	különböző	ADJ	
khác	egyéb	khác	egyéb	ADJ	
khác	más	khác	más	ADJ	PRO;NOM;SG;3
khác	másoknak	khác	más	ADJ	PRO;DAT;PL;3
khác	egyéb	khác	egyéb	ADJ	
khác	mások	khác	más	ADJ	
khác	egyebek	khác	egyéb	ADJ	
cao	high	cao	high	ADJ	
cao	magasan	cao	magasan	ADJ	
cao	gao	cao	gao	ADJ	
văn	wen	văn	wen	N	
tây	nyugat	tây	nyugat	N	
tây	nyugati	tây	nyugati	N	
tây	nyugati	tây	nyugati	N	
tây	nyugat	tây	nyugat	N	
tây	western	tây	western	N	
trường	suli	trường	suli	N	
trường	fields	trường	fields	N	
hội	chance	hội	chance	N	
cùng	ugyanez	cùng	ugyanez	ADJ	
cùng	ugyanaz	cùng	ugyanaz	ADJ	
giải	lazán	giải	lazán	V	
giải	laza	giải	laza	V	ADJ;NOM;SG
giải	box	giải	box	V	
giải	boksz	giải	boksz	V	
giải	állásfoglalás	giải	állásfoglalás	V	N;NOM;SG
giải	határozat	giải	határozat	V	N;NOM;SG
giải	felbontás	giải	felbontás	V	N;NOM;SG
bang	hatóságok	bang	hatóság		N;NOM;PL
bang	állapot	bang	állap		N;NOM;SG
bang	állam	bang	állam		N;NOM;SG
điểm	pont	điểm	pont	N	
điểm	pont	điểm	pont	N	
điểm	point	điểm	point	N	
thứ	izé	thứ	izé	N	
đông	keletre	đông	keletr	ADJ	N;ON+ALL;SG
đông	keleti	đông	keleti	ADJ	
đông	kelet	đông	kelet	ADJ	
phố	town	phố	town	N	
phố	city	phố	city	N	
phố	városi	phố	városi	N	ADJ;NOM;SG
xuất	exportálni	xuất	exportál	N	V;NFIN;ACT
khu	megye	khu	megye	N	
khu	ward	khu	ward	N	
cánh	szárnyas	cánh	szárnyas	N	
cánh	wing	cánh	wing	N	
lập	független	lập	független	V	
lập	önálló	lập	önálló	V	
cách	módok	cách	mód	V	N;NOM;PL
đội	team	đội	team	N	
phần	részben	phần	részben	N	ADV
dưới	alul	dưới	alul	N	
dưới	alatt	dưới	alatt	N	ADP
dưới	alatta	dưới	alat	N	
dưới	alább	dưới	alá	N	ADV
dưới	lent	dưới	lesz	N	
dưới	alul	dưới	alul	N	
dưới	alsó	dưới	alsó	N	
dưới	alatt	dưới	alatt	N	ADP
dưới	alatta	dưới	alat	N	
dưới	alá	dưới	alá	N	ADP
quận	megyei	quận	megyei	N	ADJ;NOM;SG
quận	megye	quận	megye	N	
quận	hirdetmény	quận	hirdetmény	N	
giới	világ	giới	világ	N	
giới	world	giới	world	N	
châu	america	châu	america	N	
châu	chow	châu	chow	N	
đoàn	kilencedik	đoàn	kilencedik	N	ADJ;NOM;SG
điều	ez	điều	ez	N	PRO;NOM;SG;3
điều	izé	điều	izé	N	
bay	repülni	bay	repül		V;NFIN;ACT
bay	repülés	bay	repülés		N;NOM;SG
bay	repül	bay	repül		V;INDF;IND;SG;3;PRS;FIN;ACT
bay	repülj	bay	repül		V;DEF;IMP;SG;2;PRS;FIN;ACT
bay	repül	bay	repül		V;INDF;IND;SG;3;PRS;FIN;ACT
bay	repülés	bay	repülés		N;NOM;SG
bay	repülőút	bay	repülőú		N;NOM;SG
bay	repülés	bay	repülés		N;NOM;SG
bay	járat	bay	járat		N;NOM;SG
bay	repülési	bay	repülési		ADJ;NOM;SG
bay	öböl	bay	öböl		N;NOM;SG
bài	rövid	bài	rövid	N	
bài	alacsony	bài	alacsony	N	ADJ;NOM;SG
bài	röviden	bài	röviden	N	
tích	statikus	tích	statikus	N	
lớn	nagyok	lớn	nagy	ADJ	N;NOM;PL
lớn	nagyok	lớn	nagy	ADJ	N;NOM;PL
phim	filmek	phim	film		N;NOM;PL
phim	filmeket	phim	film		N;ACC;PL
phim	filmet	phim	film		N;ACC;SG
phim	mozi	phim	mozi		N;NOM;SG
phim	film	phim	film		N;NOM;SG
phim	fólia	phim	fólia		N;NOM;SG
phim	film	phim	film		N;NOM;SG
phim	mozi	phim	mozi		N;NOM;SG
phim	filmek	phim	film		N;NOM;PL
phim	filmeket	phim	film		N;ACC;PL
trước	először	trước	először		ADV
trước	első	trước	első		ADJ;NOM;SG
trước	korábbi	trước	korábbi		ADJ;NOM;CMPR;SG
trước	előtt	trước	előtt		ADP
trước	mielőtt	trước	mielőtt		ADV
đức	németül	đức	németül	N	
đức	német	đức	német	N	ADJ;NOM;SG
đêm	éj	đêm	éj	N	
đêm	este	đêm	este	N	ADV
đêm	éjjel	đêm	éjjel	N	
bằng	egyenlők	bằng	egyenlő	ADP	N;NOM;PL
bằng	egyenlő	bằng	egyenlő	ADP	
bằng	with	bằng	with	ADP	
nhỏ	kicsik	nhỏ	kicsik	ADJ	
nhỏ	kicsi	nhỏ	kicsi	ADJ	
nhỏ	kicsi	nhỏ	kicsi	ADJ	
nhỏ	kevés	nhỏ	kevés	ADJ	
nhỏ	junior	nhỏ	junior	ADJ	
nhỏ	kiskorú	nhỏ	kiskorú	ADJ	N;NOM;SG
hợp	fit	hợp	fi	ADJ	
hợp	fitt	hợp	fitt	ADJ	
hợp	union	hợp	union	ADJ	
hợp	unió	hợp	unió	ADJ	PROPN;NOM;SG
hợp	szakszervezet	hợp	szakszervezet	ADJ	N;NOM;SG
hợp	unión	hợp	unió	ADJ	
hợp	illik	hợp	illik	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
đường	tang	đường	tang	N	
đường	uton	đường	ut	N	
thêm	hozzáadás	thêm	hozzáadás	V	
thêm	több	thêm	több	V	DET;INDF
thêm	more	thêm	more	V	
thêm	további	thêm	további	V	N;NOM;SG
thêm	tobb	thêm	tobb	V	
xem	show	xem	show	V	
xem	óra	xem	óra	V	N;NOM;SG
xem	lásd	xem	lásd	V	
xem	megtekintés	xem	megtekintés	V	N;NOM;SG
xem	megtekintése	xem	megtekintés	V	N;NOM;SG
xem	megtekintés	xem	megtekintés	V	N;NOM;SG
xem	kilátás	xem	kilátás	V	N;NOM;SG
xem	nézet	xem	néz	V	N;NOM;SG
diễn	színésznek	diễn	színészik	V	N;GEN;SG
diễn	színész	diễn	színész	V	N;NOM;SG
máy	fogadó	máy	fogadó	N	
hoàng	huang	hoàng	huang	N	
hoàng	prince	hoàng	prince	N	
chức	tartott	chức	tart	N	V;INDF;IND;SG;3;PST;FIN;ACT
chức	tartották	chức	tart	N	V;DEF;IND;PL;3;PST;FIN;ACT
chức	tartottak	chức	tart	N	V;INDF;IND;PL;3;PST;FIN;ACT
dương	pozitívak	dương	pozitív	N	ADJ;NOM;PL
dương	pozitív	dương	pozitív	N	ADJ;NOM;SG
dương	yeung	dương	yeung	N	
dương	yang	dương	yang	N	
thủ	egyezik	thủ	egyezik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
lực	power	lực	power	N	
hay	széna	hay	széna	CONJ	N;NOM;SG
hay	jó	hay	jó	CONJ	
sống	élő	sống	élő	V	
sống	live	sống	live	V	
sống	élőben	sống	élő	V	N;IN+ESS;SG
sống	élő	sống	élő	V	
sống	élve	sống	élve	V	
sống	életben	sống	élet	V	N;IN+ESS;SG
thường	általában	thường	általában		
thường	rendszerint	thường	rendszerint		
thường	rendszeresen	thường	rendszeres		ADJ;FRML;SG
thường	rendszeres	thường	rendszeres		
thường	normál	thường	normál		
thường	szokásos	thường	szokásos		ADJ;NOM;SG
thường	normális	thường	normális		
thường	normál	thường	normál		
tính	puff	tính	puff	V	
tính	kiszámítása	tính	kiszámítás	V	N;NOM;SG
ban	kb	ban	kb		N;NOM;SG
ban	nagyjából	ban	nagy		N;IN+ABL;SG
ban	körülbelül	ban	körülbelül		ADV
ban	zenekar	ban	zenekar		N;NOM;SG
jpg	jpg	jpg	jpg	N	
nhận	követelés	nhận	követelés	V	N;NOM;SG
nhận	állítás	nhận	állítás	V	N;NOM;SG
nhận	igény	nhận	igény	V	
nhận	átvevő	nhận	átvevő	V	ADJ;NOM;SG
qua	múlt	qua	múlt	V	N;NOM;SG
qua	múltbeli	qua	múltbeli	V	ADJ;NOM;SG
qua	vége	qua	vég	V	N;NOM;SG
qua	át	qua	át	V	ADV
qua	via	qua	via	V	
qua	keresztül	qua	keresztül	V	ADP
qua	át	qua	át	V	ADV
qua	passz	qua	passz	V	N;NOM;SG
hòa	béke	hòa	béke	N	
hòa	fred	hòa	fred	N	
tổng	teljes	tổng	teljes	N	
tổng	összesen	tổng	összesen	N	
tổng	canton	tổng	canton	N	
minh	okos	minh	okos	N	
minh	intelligens	minh	intelligens	N	
minh	smart	minh	smart	N	
minh	ming	minh	ming	N	
gồm	beleértve	gồm	bele+értv	V	ADV;V.CVB
kinh	pekingi	kinh	pekingi	V	
kinh	pekingi	kinh	pekingi	V	
biển	beach	biển	beach	N	
biển	part	biển	part	N	
biển	tengeren	biển	tenger	N	
biển	tengeri	biển	tengeri	N	
biển	óceán	biển	óceán	N	
biển	ocean	biển	ocean	N	
cứng	nehéz	cứng	nehéz	ADJ	
cứng	kemény	cứng	kemény	ADJ	
tiếp	következő	tiếp	következő	V	
xếp	rendezés	xếp	rendezés	V	N;NOM;SG
hàng	sor	hàng	sor	N	
rằng	ez	rằng	ez	CONJ	PRO;NOM;SG;3
đánh	ütés	đánh	ütés	V	N;NOM;SG
đánh	találat	đánh	találat	V	N;NOM;SG
nhạc	zene	nhạc	zene	V	N;NOM;SG
nhạc	zenés	nhạc	zenés	V	N;NOM;SG
nhạc	zenei	nhạc	zenei	V	ADJ;NOM;SG
nhạc	musical	nhạc	musical	V	N;NOM;SG
hóa	kémiai	hóa	kémiai		N;NOM;SG
hóa	kémia	hóa	kémia		N;NOM;SG
gọi	hívás	gọi	hívás	V	N;NOM;SG
gọi	hívás	gọi	hívás	V	N;NOM;SG
tàu	hajón	tàu	hajó	N	
tàu	hajós	tàu	hajós	N	
trang	zhuang	trang	zhuang	N	
trang	side	trang	side	N	
nguyên	yuan	nguyên	yuan	N	
tạo	létrehozása	tạo	létrehozás	V	N;NOM;SG
tạo	létrehozva	tạo	létrehozva	V	N;NOM;SG
tạo	létrehozott	tạo	létrehozott	V	N;ACC;SG
tạo	létrehozva	tạo	létrehozva	V	N;NOM;SG
tạo	létrehozása	tạo	létrehozás	V	N;NOM;SG
tạo	létrehozása	tạo	létrehozás	V	N;NOM;SG
tạo	alkotás	tạo	alkotás	V	N;NOM;SG
tạo	teremtés	tạo	teremtés	V	N;NOM;SG
tạo	csapat	tạo	csapat	V	N;NOM;SG
tạo	team	tạo	team	V	
cầu	bridge	cầu	bridge	N	
cầu	gömb	cầu	gömb	N	
đặc	tömör	đặc	tömör	N	
đặc	szilárd	đặc	szilárd	N	
đặc	szomáliai	đặc	szomáliai	N	ADJ;NOM;SG
nên	kéne	nên	kéne	CONJ	V;INDF;COND;SG;3;PRS;FIN;ACT
nên	kellene	nên	kell	CONJ	V;INDF;COND;SG;3;PRS;FIN;ACT
phương	zoé	phương	zoé	N	
phương	zoe	phương	zoe	N	
phương	fang	phương	fang	N	
mới	újdonság	mới	újdonság		N;NOM;SG
mới	új	mới	új		ADJ;NOM;SG
lịch	ütemterv	lịch	ütemterv	N	
đạo	morális	đạo	morális	N	ADJ;NOM;SG
đạo	erkölcsös	đạo	erkölcsös	N	
đạo	erkölcsi	đạo	erkölcsi	N	
bắt	kapás	bắt	kapás	V	
bắt	fogás	bắt	fogás	V	N;NOM;SG
bắt	foglalt	bắt	foglal	V	
bắt	elfogni	bắt	elfog	V	
tinh	planet	tinh	planet	N	
tinh	jing	tinh	jing	N	
rất	nagyon	rất	nagyon		ADV
thức	recept	thức	recept	V	N;NOM;SG
thức	receptet	thức	recep	V	N;ACC;SG
luận	hozzászólás	luận	hozzászólás	N	
hải	csomó	hải	csomó	N	
hải	hai	hải	hai	N	
hải	persze	hải	persze	N	
cấp	szintű	cấp	szintű	N	
khoảng	kb	khoảng	kb	ADJ	N;NOM;SG
khoảng	nagyjából	khoảng	nagy	ADJ	N;IN+ABL;SG
khoảng	körülbelül	khoảng	körülbelül	ADJ	ADV
khoảng	terek	khoảng	terek	ADJ	N;NOM;PL
khoảng	körül	khoảng	körül	ADJ	ADP
khoảng	körbe	khoảng	kör	ADJ	ADV
khoảng	durván	khoảng	durván	ADJ	
khoảng	nagyjából	khoảng	nagy	ADJ	N;IN+ABL;SG
lần	idők	lần	idő	N	
làng	falusi	làng	falusi	N	ADJ;NOM;SG
vương	crown	vương	crown	N	
vương	wang	vương	wang	N	
vương	gazdag	vương	gazdag	N	
vương	rich	vương	rich	N	
toàn	egész	toàn	egész	N	
nhật	japánok	nhật	japán		N;NOM;PL
viết	írj	viết	írj	V	
viết	nyomtató	viết	nyomtató	V	N;NOM;SG
viết	írással	viết	írás	V	N;INS;SG
viết	írás	viết	írás	V	N;NOM;SG
viết	írása	viết	írás	V	N;NOM;SG
lan	ian	lan	ian	N	
lan	ian	lan	ian	N	
bảo	said	bảo	said	V	
đơn	egyedülálló	đơn	egyedülálló	N	
đơn	single	đơn	single	N	
đơn	egyetlen	đơn	egyetlen	N	
thiên	paradise	thiên	paradis	N	
điện	elektromos	điện	elektromos	N	
điện	elektromos	điện	elektromos	N	
bao	zsák	bao	zsák		N;NOM;SG
bao	zsákot	bao	zsák		N;ACC;SG
bao	hogyan	bao	hogyan		ADV
truyền	átvitel	truyền	átvitel	V	N;NOM;SG
truyền	áthelyezés	truyền	áthelyezés	V	
truyền	transzfer	truyền	transzfer	V	N;NOM;SG
truyền	infúzió	truyền	infúzió	V	N;NOM;SG
truyền	transzfer	truyền	transzfer	V	N;NOM;SG
nghiệp	szegény	nghiệp	szegény	ADJ	
nghiệp	szegények	nghiệp	szegény	ADJ	N;NOM;PL
nghiệp	karrier	nghiệp	karrier	ADJ	N;NOM;SG
nội	nagypapa	nội	nagypap	N	
nội	belső	nội	belső	N	
nội	nagypapa	nội	nagypap	N	
nội	belső	nội	belső	N	
thuật	magic	thuật	magic	N	
tiêu	pepper	tiêu	pepper	N	
tiêu	xiao	tiêu	xiao	N	
thiết	szükséges	thiết	szükséges	V	ADJ;NOM;SG
gian	gian	gian	gian	N	
tướng	általános	tướng	általános	N	
phong	phong	phong	phong	N	PROPN;NOM;SG
utc	gmt	utc	gmt	N	
tâm	középre	tâm	közép		N;ON+ALL;SG
tâm	központ	tâm	központ		N;NOM;SG
tâm	center	tâm	center		
thanh	vokál	thanh	vokál		N;NOM;SG
thanh	bárok	thanh	bárok		N;NOM;PL
thanh	rácsok	thanh	rács		N;NOM;PL
thanh	rúd	thanh	rúd		N;NOM;SG
thanh	rács	thanh	rács		N;NOM;SG
thanh	eszköztár	thanh	eszköztár		N;NOM;SG
dùng	használat	dùng	használat	V	N;NOM;SG
dùng	használata	dùng	használat	V	N;NOM;SG
dùng	felhasználás	dùng	felhasználás	V	N;NOM;SG
dùng	felhasználó	dùng	felhasználó	V	ADJ;NOM;SG
dùng	felhasználói	dùng	felhasználói	V	N;NOM;PL
nói	said	nói	said	V	
nói	beszélgetés	nói	beszélgetés	V	N;NOM;SG
lats	lat	lats	lat	N	
sông	folyó	sông	folyó	N	
sông	rivers	sông	rivers	N	
hoạt	animációk	hoạt	animáció	V	N;NOM;PL
giữa	középre	giữa	közép	ADP	N;ON+ALL;SG
giữa	közép	giữa	közép	ADP	
giữa	középső	giữa	középső	ADP	
phòng	róma	phòng	róma	N	
đổi	változás	đổi	változás	V	N;NOM;SG
đổi	változtatás	đổi	változtatás	V	N;NOM;SG
đổi	változások	đổi	változás	V	N;NOM;PL
chuyển	átvitel	chuyển	átvitel	V	N;NOM;SG
chuyển	áthelyezés	chuyển	áthelyezés	V	
chuyển	transzfer	chuyển	transzfer	V	N;NOM;SG
chuyển	váltás	chuyển	váltás	V	N;NOM;SG
chuyển	kapcsoló	chuyển	kapcsoló	V	N;NOM;SG
chuyển	kapcsolót	chuyển	kapcsoló	V	N;ACC;SG
chuyển	mozgás	chuyển	mozgás	V	N;NOM;SG
nay	ma	nay	ma	PROPN	ADV
trọng	fontos	trọng	fontos		ADJ;NOM;SG
dịch	fordít	dịch	fordít		V;INDF;IND;SG;3;PRS;FIN;ACT
dịch	fordítás	dịch	fordítás		N;NOM;SG
dịch	fordítások	dịch	fordítás		N;NOM;PL
dịch	fordító	dịch	fordító		N;NOM;SG
dịch	tolmács	dịch	tolmács		N;NOM;SG
dịch	fordítás	dịch	fordítás		N;NOM;SG
dịch	fordítás	dịch	fordítás		N;NOM;SG
dịch	lefordítani	dịch	lefordít		V;NFIN;ACT
miền	domain	miền	domain	N	
tài	tehetséges	tài	tehetséges	N	ADJ;NOM;SG
tài	tehetség	tài	tehetség	N	V;INDF;POT;SG;3;PRS;FIN;ACT
tài	tehetséges	tài	tehetséges	N	ADJ;NOM;SG
chế	készítette	chế	készít	N	V;DEF;IND;SG;3;PST;FIN;ACT
chế	készült	chế	készül	N	V;INDF;IND;SG;3;PST;FIN;ACT
chế	tett	chế	tesz	N	V;INDF;IND;SG;3;PST;FIN;ACT
nằm	található	nằm	található	V	ADJ;NOM;SG
nằm	hazugság	nằm	hazugság	V	N;NOM;SG
nằm	hazugságok	nằm	hazugság	V	N;NOM;PL
chất	megadott	chất	megadott	N	V;INDF;IND;SG;3;PST;FIN;ACT
chất	meghatározott	chất	meghatározott	N	V;INDF;IND;SG;3;PST;FIN;ACT
chất	megadva	chất	megadva	N	ADV;V.CVB
sáng	fényes	sáng	fényes	N	
sáng	reggel	sáng	reggel	N	
thân	test	thân	test		N;NOM;SG
thân	testem	thân	test		N;NOM;SG
thân	holttest	thân	holttes		N;NOM;SG
cuối	utoljára	cuối	utoljára	N	ADV
cuối	utolsónak	cuối	utolsó	N	ADV
cuối	last	cuối	last	N	
cuối	utolsó	cuối	utolsó	N	
tăng	növekedés	tăng	növekedés	V	N;NOM;SG
tăng	növelése	tăng	növelés	V	N;NOM;SG
tăng	emelkedés	tăng	emelkedés	V	N;NOM;SG
tăng	tartály	tăng	tartály	V	N;NOM;SG
tăng	tank	tăng	tank	V	
tăng	tankok	tăng	tank	V	N;NOM;PL
tăng	tartályok	tăng	tartály	V	N;NOM;PL
tăng	fokozott	tăng	fokozik	V	
trưởng	kapitány	trưởng	kapitány		N;NOM;SG
nguyễn	nguyen	nguyễn	nguyen	N	
lưu	liu	lưu	liu	V	
lưu	mentés	lưu	mentés	V	N;NOM;SG
lưu	mentése	lưu	mentés	V	N;NOM;SG
viện	kórházi	viện	kórházi	N	
sân	yard	sân	yard	N	
nổi	híresség	nổi	híresség		N;NOM;SG
nổi	híresség	nổi	híresség		N;NOM;SG
nổi	celeb	nổi	cele		N;NOM;SG
nổi	hírességek	nổi	híresség		N;NOM;PL
nổi	lebegni	nổi	le+beg		V;NFIN;ACT
đặt	szett	đặt	szett	V	N;NOM;SG
đặt	set	đặt	set	V	
đặt	beállítva	đặt	beállítva	V	ADV;V.CVB
đặt	forgatás	đặt	forgatás	V	N;NOM;SG
đặt	kiválasztás	đặt	kiválasztás	V	N;NOM;SG
đình	ting	đình	ting	N	
tấn	tonnányi	tấn	tonnányi	N	
dài	hosszú	dài	hosszú	ADJ	
bóng	ball	bóng	ball	N	
bóng	árny	bóng	árny	N	
vua	kinga	vua	kinga	N	
phi	phi	phi	phi	N	
phi	afrikai	phi	afrikai	N	
phi	afrika	phi	afrika	N	
