que	che	que	che	PRO	DET
anos	vecchia	ano	vecchio	N	ADJ;FEM;SG
anos	fà	ano	fare	N	V;IND;SG;3;PRS;FIN
anos	fa	ano	fare	N	V;IND;SG;3;PRS;FIN
xente	sono	xente	essere	N	V;IND;PL;3;PRS;FIN
vez	again	vez	again	N	
vez	ancora	vez	ancora	N	ADV
vez	ever	vez	evere	N	
das	il	das	il	N	DET;DEF;MASC;SG
das	la	das	il	N	DET;DEF;FEM;SG
das	dal	das	dal	N	ADJ;SG
das	dalla	das	dalla	N	ADJ;SG
das	from	das	from	N	
das	da	das	da	N	ADP
sei	know	saber	know	V	N
sei	don	saber	don	V	N;MASC;SG
tempo	lungo	tempo	lungo	N	ADJ;MASC;SG
tempo	lunghe	tempo	lungo	N	ADJ;FEM;PL
tempo	lunga	tempo	lungo	N	ADJ;FEM;SG
tempo	lunghi	tempo	lungo	N	ADJ;MASC;PL
día	buongiorno	día	buongiorno	N	V;IND;SG;1;PRS;FIN
polo	il	polo	il	N	DET;DEF;MASC;SG
polo	la	polo	il	N	DET;DEF;FEM;SG
polo	per	polo	per	N	ADP
sobre	circa	sobre	circa	ADP	ADV
sobre	over	sobre	over	ADP	N
sobre	oltre	sobre	oltre	ADP	ADV
aínda	still	aínda	still	ADV	
aínda	even	aínda	eveno	ADV	
aínda	sebbene	aínda	sebbene	ADV	CONJ
mesmo	stesso	mesmo	stesso	DET	ADJ;MASC;SG
mesmo	even	mesmo	eveno	DET	
mesmo	perfino	mesmo	perfino	DET	ADV
mesmo	persino	mesmo	persino	DET	ADV
mesmo	anche	mesmo	anche	DET	ADV
mesmo	destro	mesmo	destro	DET	N;MASC;SG
mesmo	right	mesmo	right	DET	
mesmo	giusto	mesmo	giusto	DET	ADJ;MASC;SG
mesmo	destra	mesmo	destra	DET	N;FEM;SG
ela	her	el	her	PRO	ADJ;SG
ela	she	el	she	PRO	
moito	lotto	moito	lotto	ADV	N;MASC;SG
moito	sacco	moito	sacco	ADV	N;MASC;SG
moito	lot	moito	lot	ADV	N;SG
moito	much	moito	much	ADV	
moito	lungo	moito	lungo	ADV	ADJ;MASC;SG
moito	lunghe	moito	lungo	ADV	ADJ;FEM;PL
moito	lunga	moito	lungo	ADV	ADJ;FEM;SG
moito	long	moito	long	ADV	N
moito	lunghi	moito	lungo	ADV	ADJ;MASC;PL
¡	te	¡	te		PRO;SG;2
¡	tu	¡	tu		PRO;SG;2
¡	voi	¡	voi		PRO;PL;2
vostede	te	vostede	te	PROPN	PRO;SG;2
vostede	tu	vostede	tu	PROPN	PRO;SG;2
vostede	voi	vostede	voi	PROPN	PRO;PL;2
nunca	ever	nunca	evere	ADV	
nunca	never	nunca	never	ADV	
podo	possono	podar	potere	V	V;IND;PL;3;PRS;FIN
podo	can	podar	can	V	
podo	può	podar	potere	V	V;IND;SG;3;PRS;FIN
coma	come	coma	come	CONJ	ADV
coma	like	coma	like	CONJ	
están	loro	estar	loro	V	PRO;PL;3
estás	te	estar	te	V	PRO;SG;2
estás	tu	estar	tu	V	PRO;SG;2
estás	voi	estar	voi	V	PRO;PL;2
estás	sono	estar	essere	V	V;IND;PL;3;PRS;FIN
mundo	tutti	mundo	tutto	N	PRO;MASC;PL
pola	per	pola	per	N	ADP
pola	il	pola	il	N	DET;DEF;MASC;SG
pola	la	pola	il	N	DET;DEF;FEM;SG
co	con	co	con	PROPN	ADP
co	il	co	il	PROPN	DET;DEF;MASC;SG
co	la	co	il	PROPN	DET;DEF;FEM;SG
che	te	che	te		PRO;SG;2
che	tu	che	tu		PRO;SG;2
che	voi	che	voi		PRO;PL;2
mellor	better	mellor	bettere	ADJ	N
mellor	meglio	mellor	meglio	ADJ	ADV
mellor	meglio	mellor	meglio	ADJ	ADV
mellor	best	mellor	best	ADJ	N
mellor	than	mellor	than	ADJ	
coa	con	coar	con	V	ADP
coa	il	coar	il	V	DET;DEF;MASC;SG
coa	la	coar	il	V	DET;DEF;FEM;SG
aos	il	aos	il	PROPN	DET;DEF;MASC;SG
aos	la	aos	il	PROPN	DET;DEF;FEM;SG
sempre	always	sempre	always	ADV	
sempre	forever	sempre	forever	ADV	N
temos	got	ter	got	V	
tes	te	tes	te	V	PRO;SG;2
tes	tu	tes	tu	V	PRO;SG;2
tes	voi	tes	voi	V	PRO;PL;2
tes	got	tes	got	V	
noite	stanotte	noite	stanotta	N	ADV
noite	stasera	noite	stasera	N	ADV
nin	even	nin	eveno	CONJ	
nin	perfino	nin	perfino	CONJ	ADV
nin	persino	nin	persino	CONJ	ADV
nin	anche	nin	anche	CONJ	ADV
nin	nor	nin	nor	CONJ	
nin	non	nin	non	CONJ	ADV
seus	loro	seu	loro	DET	PRO;PL;3
seus	his	seu	his	DET	
seus	her	seu	her	DET	ADJ;SG
dous	due	dous	due	N	NUM
dous	two	dous	two	N	
dous	entrambi	dous	entrambi	N	PRO;MASC;PL
dous	entrambe	dous	entrambi	N	DET;FEM;PL
traballo	lavorare	traballo	lavorare	N	V;NFIN
traballo	lavora	traballo	lavorare	N	V;IND;SG;3;PRS;FIN
grazas	te	graza	te	N	PRO;SG;2
grazas	tu	graza	tu	N	PRO;SG;2
grazas	voi	graza	voi	N	PRO;PL;2
grazas	molto	graza	molto	N	ADV
grazas	much	graza	much	N	
outra	again	outro	again	DET	
outra	ancora	outro	ancora	DET	ADV
outra	another	outro	another	DET	
outra	altro	outro	altro	DET	PRO;MASC;SG
outra	altri	outro	altro	DET	PRO;MASC;PL
outra	one	outro	ona	DET	N;SG
outra	uno	outro	uno	DET	PRO;MASC;SG
es	te	e	te	N	PRO;SG;2
es	tu	e	tu	N	PRO;SG;2
es	voi	e	voi	N	PRO;PL;2
es	sono	e	essere	N	V;IND;PL;3;PRS;FIN
antes	before	antes	before	ADV	
ás	il	á	il	N	DET;DEF;MASC;SG
ás	la	á	il	N	DET;DEF;FEM;SG
ás	talvolta	á	talvolta	N	ADV
ese	this	ese	this	DET	
esa	this	ese	this	DET	
queres	te	quere	te	V	PRO;SG;2
queres	tu	quere	tu	V	PRO;SG;2
queres	voi	quere	voi	V	PRO;PL;2
queres	wanna	quere	wanna	V	N
ter	avendo	ter	avere	V	V;V.MSDR
verdade	vero	verdade	vero	N	ADJ;MASC;SG
verdade	right	verdade	right	N	
verdade	giusto	verdade	giusto	N	ADJ;MASC;SG
verdade	veramente	verdade	veramente	N	ADV
verdade	davvero	verdade	davvero	N	ADV
verdade	te	verdade	te	N	PRO;SG;2
verdade	tu	verdade	tu	N	PRO;SG;2
verdade	voi	verdade	voi	N	PRO;PL;2
verdade	reali	verdade	reale	N	ADJ;PL
verdade	reale	verdade	reale	N	ADJ;SG
verdade	veri	verdade	vero	N	ADJ;MASC;PL
dun	una	dun	uno	PROPN	DET;INDF;FEM;SG
dun	one	dun	ona	PROPN	N;SG
dun	uno	dun	uno	PROPN	PRO;MASC;SG
dun	dal	dun	dal	PROPN	ADJ;SG
dun	dalla	dun	dalla	PROPN	ADJ;SG
dun	from	dun	from	PROPN	
dun	da	dun	da	PROPN	ADP
sabes	te	saber	te	V	PRO;SG;2
sabes	tu	saber	tu	V	PRO;SG;2
sabes	voi	saber	voi	V	PRO;PL;2
sabes	know	saber	know	V	N
aí	here	aí	vero	ADV	
aí	che	aí	che	ADV	DET
despois	after	despois	after	ADV	
bo	bene	bo	bene	ADJ	ADV
bo	mattinata	bo	mattinata	ADJ	N;FEM;SG
bo	mattina	bo	mattina	ADJ	N;FEM;SG
bo	buongiorno	bo	buongiorno	ADJ	V;IND;SG;1;PRS;FIN
bo	mattino	bo	mattino	ADJ	N;MASC;SG
imos	sono	ir	essere	V	V;IND;PL;3;PRS;FIN
imos	let	ir	let	V	
nun	into	nun	into	PROPN	
falar	talk	falar	talk	V	N;MASC
falar	chiacchiere	falar	chiacchiere	V	N;FEM;PL
falar	circa	falar	circa	V	ADV
cada	ciascuno	cada	ciascuno	DET	PRO;MASC;SG
cada	ognuno	cada	ognuno	DET	PRO;MASC;SG
quere	te	querer	te	V	PRO;SG;2
quere	tu	querer	tu	V	PRO;SG;2
quere	voi	querer	voi	V	PRO;PL;2
logo	after	logo	after	ADV	
estar	essendo	estar	essere	V	V;V.MSDR
estar	essere	estar	essere	V	V;NFIN
fai	make	facer	make	V	N
creo	don	creo	don	V	N;MASC;SG
creo	think	creo	think	V	N
hoxe	today	hoxe	today	ADV	N;MASC
ninguén	chiunque	ninguén	chiunque	ADV	PRO;SG
ninguén	nessuno	ninguén	nessuno	ADV	PRO;MASC;SG
ninguén	una	ninguén	uno	ADV	DET;INDF;FEM;SG
ninguén	one	ninguén	ona	ADV	N;SG
ninguén	uno	ninguén	uno	ADV	PRO;MASC;SG
ninguén	chiunque	ninguén	chiunque	ADV	PRO;SG
alí	over	alí	over	ADV	N
podes	te	poder	te	V	PRO;SG;2
podes	tu	poder	tu	V	PRO;SG;2
podes	voi	poder	voi	V	PRO;PL;2
podes	possono	poder	potere	V	V;IND;PL;3;PRS;FIN
podes	can	poder	can	V	
podes	può	poder	potere	V	V;IND;SG;3;PRS;FIN
pouco	piccolo	pouco	piccolo	ADV	ADJ;MASC;SG
pouco	piccola	pouco	piccolo	ADV	ADJ;FEM;SG
pouco	little	pouco	littla	ADV	N
pouco	bit	pouco	bit	ADV	N;MASC
pouco	alcune	pouco	alcuno	ADV	DET;FEM;PL
pouco	some	pouco	some	ADV	
pouco	alcuni	pouco	alcuno	ADV	PRO;MASC;PL
tiña	era	ter	essere	V	V;IND;SG;3;IPFV;FIN
tiña	fu	ter	essere	V	V;IND;SG;3;PST;FIN
podemos	possono	poder	potere	V	V;IND;PL;3;PRS;FIN
podemos	can	poder	can	V	
podemos	può	poder	potere	V	V;IND;SG;3;PRS;FIN
dixo	said	dicir	said	V	
dixo	lei	dicir	lei	V	PRO;SG;3
dixo	she	dicir	she	V	
alguén	who	alguén	who	PRO	
teñen	loro	ter	loro	V	PRO;PL;3
teñen	sono	ter	essere	V	V;IND;PL;3;PRS;FIN
menos	than	menos	than	ADV	
menos	manca	menos	mancare	ADV	V;IND;SG;3;PRS;FIN
menos	miss	menos	miss	ADV	N;FEM
menos	signorina	menos	signorino	ADV	N;FEM;SG
dunha	dal	dunha	dal	N	ADJ;SG
dunha	dalla	dunha	dalla	N	ADJ;SG
dunha	from	dunha	from	N	
dunha	da	dunha	da	N	ADP
ata	fino	ata	fino	ADP	ADV
nas	il	nas	il	PROPN	DET;DEF;MASC;SG
nas	la	nas	il	PROPN	DET;DEF;FEM;SG
outro	another	outro	another	DET	
outro	altro	outro	altro	DET	PRO;MASC;SG
outro	altri	outro	altro	DET	PRO;MASC;PL
outro	one	outro	ona	DET	N;SG
outro	uno	outro	uno	DET	PRO;MASC;SG
súas	loro	seu	loro	DET	PRO;PL;3
súas	his	seu	his	DET	
súas	her	seu	her	DET	ADJ;SG
cousa	qualcosa	cousa	qualcosa	N	PRO;SG
tres	tre	tres	tre	N	NUM
nunha	into	nunha	into	N	
novo	novità	novo	novità	ADJ	N;FEM
novo	again	novo	again	ADJ	
novo	ancora	novo	ancora	ADJ	ADV
novo	giovani	novo	giovane	ADJ	N;PL
novo	giovane	novo	giovane	ADJ	N;SG
novo	young	novo	young	ADJ	N
todas	dovunque	todo	dovunque	DET	ADV
todas	ovunque	todo	ovunque	DET	ADV
todas	dappertutto	todo	dappertutto	DET	ADV
todas	tutto	todo	tutto	DET	PRO;MASC;SG
todas	tutti	todo	tutto	DET	PRO;MASC;PL
di	lei	dicir	lei	V	PRO;SG;3
di	she	dicir	she	V	
di	said	dicir	said	V	
lugar	invece	lugar	invece	N	ADV
días	buongiorno	día	buongiorno	N	V;IND;SG;1;PRS;FIN
sabe	te	saber	te	V	PRO;SG;2
sabe	tu	saber	tu	V	PRO;SG;2
sabe	voi	saber	voi	V	PRO;PL;2
sabe	know	saber	know	V	N
sabe	possono	saber	potere	V	V;IND;PL;3;PRS;FIN
sabe	can	saber	can	V	
sabe	può	saber	potere	V	V;IND;SG;3;PRS;FIN
mañá	tomorrow	mañá	tomorrow	ADV	N;MASC
mañá	mattinata	mañá	mattinata	ADV	N;FEM;SG
mañá	mattina	mañá	mattina	ADV	N;FEM;SG
mañá	buongiorno	mañá	buongiorno	ADV	V;IND;SG;1;PRS;FIN
mañá	mattino	mañá	mattino	ADV	N;MASC;SG
dende	dal	dende	dal	ADP	ADJ;SG
dende	dalla	dende	dalla	ADP	ADJ;SG
dende	from	dende	from	ADP	
primeiro	prima	primeiro	prima	ADJ	ADV
parte	most	parte	most	N	
parte	il	parte	il	N	DET;DEF;MASC;SG
parte	la	parte	il	N	DET;DEF;FEM;SG
veces	talvolta	vez	talvolta	N	ADV
deus	god	daus	god	N	
podería	potrebbe	poder	potere	V	V;COND;SG;3;PRS;FIN
podería	potrebbe	poder	potere	V	V;COND;SG;3;PRS;FIN
podería	potrebbero	poder	potere	V	V;COND;PL;3;PRS;FIN
claro	corso	claro	corso	ADJ	N;MASC;SG
claro	rotta	claro	rotta	ADJ	N;FEM;SG
claro	certo	claro	certo	ADJ	ADV
canto	how	canto	how	PRO	N
canto	come	canto	come	PRO	ADV
canto	molto	canto	molto	PRO	ADV
canto	much	canto	much	PRO	
canto	invece	canto	invece	PRO	ADV
canto	lungo	canto	lungo	PRO	ADJ;MASC;SG
canto	lunghe	canto	lungo	PRO	ADJ;FEM;PL
canto	lunga	canto	lungo	PRO	ADJ;FEM;SG
canto	long	canto	long	PRO	N
canto	lunghi	canto	lungo	PRO	ADJ;MASC;PL
pasa	circa	pasar	circa	V	ADV
pasa	errata	pasar	errato	V	ADJ;FEM;SG
pasa	errato	pasar	errato	V	ADJ;MASC;SG
pasa	con	pasar	con	V	ADP
pasa	cosa	pasar	cosa	V	PRO;SG
pasa	il	pasar	il	V	DET;DEF;MASC;SG
pasa	la	pasar	il	V	DET;DEF;FEM;SG
boa	bene	bo	bene	ADJ	ADV
boa	nizza	bo	nizza	ADJ	N;FEM;SG
tanto	che	tanto	che	ADV	DET
tanto	much	tanto	much	ADV	
cos	con	cos	con	PROPN	ADP
cos	il	cos	il	PROPN	DET;DEF;MASC;SG
cos	la	cos	il	PROPN	DET;DEF;FEM;SG
toda	intero	todo	intero	DET	ADJ;MASC;SG
toda	interi	todo	intero	DET	ADJ;MASC;PL
toda	intera	todo	intero	DET	ADJ;FEM;SG
toda	tutto	todo	tutto	DET	PRO;MASC;SG
toda	tutti	todo	tutto	DET	PRO;MASC;PL
toda	intero	todo	intero	DET	ADJ;MASC;SG
fóra	out	fóra	out	ADV	N;MASC
fóra	esterno	fóra	esterno	ADV	ADJ;MASC;SG
fóra	ottenere	fóra	ottenere	ADV	V;NFIN
fóra	ottieni	fóra	ottenere	ADV	V;IMP;SG;2;PRS;FIN
fóra	ricevi	fóra	ricevere	ADV	V;IMP;SG;2;PRS;FIN
contra	contrari	contra	contrario	ADP	ADJ;MASC;PL
contra	against	contra	against	ADP	
mal	errata	mal	errato	ADV	ADJ;FEM;SG
mal	sbagliata	mal	sbagliato	ADV	V;FEM;SG;PST;V.PTCP
mal	errato	mal	errato	ADV	ADJ;MASC;SG
mal	sbagliato	mal	sbagliare	ADV	V;MASC;SG;PST;V.PTCP
mal	cattiva	mal	cattivo	ADV	ADJ;FEM;SG
mal	bad	mal	bad	ADV	N;SG
mal	pessimo	mal	pessimo	ADV	ADJ;MASC;SG
mal	cattivi	mal	cattivo	ADV	ADJ;MASC;PL
mal	cattivo	mal	cattivo	ADV	ADJ;MASC;SG
tarde	dopo	tarde	dopo	N	ADV
tarde	tardo	tarde	tardo	N	ADJ;MASC;SG
tarde	tardi	tarde	tardi	N	ADV
vas	te	ir	te	V	PRO;SG;2
vas	tu	ir	tu	V	PRO;SG;2
vas	voi	ir	voi	V	PRO;PL;2
vas	will	ir	will	V	
vas	testamento	ir	testamento	V	N;MASC;SG
vas	volontà	ir	volontà	V	N;FEM
vas	sono	ir	essere	V	V;IND;PL;3;PRS;FIN
poden	te	poder	te	V	PRO;SG;2
poden	tu	poder	tu	V	PRO;SG;2
poden	voi	poder	voi	V	PRO;PL;2
poden	possono	poder	potere	V	V;IND;PL;3;PRS;FIN
poden	can	poder	can	V	
poden	può	poder	potere	V	V;IND;SG;3;PRS;FIN
poden	loro	poder	loro	V	PRO;PL;3
poden	may	poder	may	V	N
poden	maggio	poder	maggio	V	N;MASC;SG
poden	può	poder	potere	V	V;IND;SG;3;PRS;FIN
persoas	chi	persoa	chi	N	PRO
persoas	who	persoa	who	N	
calquera	chiunque	calquera	chiunque	DET	PRO;SG
outros	altro	outro	altro	DET	PRO;MASC;SG
outros	altri	outro	altro	DET	PRO;MASC;PL
outros	another	outro	another	DET	
outros	altri	outro	altro	DET	PRO;MASC;PL
parece	sguardi	parecer	sguardo	V	N;MASC;PL
parece	come	parecer	come	V	ADV
parece	like	parecer	like	V	
parece	think	parecer	think	V	N
quería	desiderato	querer	desiderare	V	ADJ;MASC;SG
quería	ricercato	querer	ricercato	V	ADJ;MASC;SG
pois	bene	pois	bene	CONJ	ADV
pois	pozzo	pois	pozzo	CONJ	N;MASC;SG
pois	te	pois	te	CONJ	PRO;SG;2
pois	tu	pois	tu	CONJ	PRO;SG;2
pois	voi	pois	voi	CONJ	PRO;PL;2
dúas	due	dous	due	N	NUM
dúas	two	dous	two	N	
dúas	entrambi	dous	entrambi	N	PRO;MASC;PL
dúas	entrambe	dous	entrambi	N	DET;FEM;PL
ola	ciao	ola	ciao	N	V;IND;SG;3;PRS;FIN
estes	questi	este	questo	DET	PRO;MASC;PL
estes	this	este	this	DET	
estes	quelli	este	quello	DET	PRO;MASC;PL
estes	quelle	este	quello	DET	PRO;FEM;PL
será	will	ser	will	V	
será	testamento	ser	testamento	V	N;MASC;SG
será	volontà	ser	volontà	V	N;FEM
será	migliore	ser	migliore	V	ADJ;CMPR;SG
será	better	ser	bettere	V	N
será	meglio	ser	meglio	V	ADV
certo	true	certo	trua	DET	N
certo	vero	certo	vero	DET	ADJ;MASC;SG
certo	certo	certo	certo	DET	ADV
certo	sicuro	certo	sicuro	DET	ADJ;MASC;SG
certo	destro	certo	destro	DET	N;MASC;SG
certo	right	certo	right	DET	
certo	giusto	certo	giusto	DET	ADJ;MASC;SG
certo	destra	certo	destra	DET	N;FEM;SG
certo	way	certo	way	DET	N;MASC
certo	modo	certo	modo	DET	N;MASC;SG
feito	fatto	feito	fare	N	V;MASC;SG;PST;V.PTCP
feito	fatto	feito	fare	N	V;MASC;SG;PST;V.PTCP
feito	fatto	feito	fare	N	V;MASC;SG;PST;V.PTCP
feito	fatta	feito	fare	N	V;FEM;SG;PST;V.PTCP
vamos	let	varo	let	V	
poder	potere	poder	potere	V	N;MASC;SG
poder	potenza	poder	potenza	V	N;FEM;SG
poder	power	poder	power	V	N
poder	possono	poder	potere	V	V;IND;PL;3;PRS;FIN
poder	can	poder	can	V	
poder	può	poder	potere	V	V;IND;SG;3;PRS;FIN
tipo	gentili	tipo	gentile	N	ADJ;PL
tipo	gentile	tipo	gentile	N	ADJ;SG
tipo	digita	tipo	digitare	N	V;IMP;SG;2;PRS;FIN
tipo	ordina	tipo	ordinare	N	V;IND;SG;3;PRS;FIN
moitos	tanti	moito	tanto	DET	PRO;MASC;PL
moitos	molti	moito	molto	DET	PRO;MASC;PL
moitos	tantissimi	moito	tanto	DET	ADJ;AB;MASC;PL
moitos	lotto	moito	lotto	DET	N;MASC;SG
moitos	sacco	moito	sacco	DET	N;MASC;SG
moitos	lot	moito	lot	DET	N;SG
uns	circa	un	circa	DET	ADV
uns	some	un	some	DET	
uns	alcuni	un	alcuno	DET	PRO;MASC;PL
uns	ciascuno	un	ciascuno	DET	PRO;MASC;SG
uns	ognuno	un	ognuno	DET	PRO;MASC;SG
saber	sapiente	saber	sapiente	V	ADJ;SG
saber	know	saber	know	V	N
penso	think	penso	think	V	N
rei	re	rei	re	PROPN	N;MASC
rei	king	rei	king	PROPN	N;MASC
rei	atterrare	rei	atterrare	PROPN	V;NFIN
rei	atterraggio	rei	atterraggio	PROPN	N;MASC;SG
rei	sbarco	rei	sbarco	PROPN	N;MASC;SG
estas	questi	este	questo	DET	PRO;MASC;PL
estas	quelli	este	quello	DET	PRO;MASC;PL
estas	quelle	este	quello	DET	PRO;FEM;PL
estas	this	este	this	DET	
gran	big	gran	big	ADJ	N
até	even	até	eveno	ADV	
tal	how	tal	how	DET	N
tal	come	tal	come	DET	ADV
tal	circa	tal	circa	DET	ADV
tal	forse	tal	forse	DET	ADV
tal	magari	tal	magari	DET	ADV
seguro	certo	seguro	certo	N	ADV
seguro	sicuro	seguro	sicuro	N	ADJ;MASC;SG
seguro	te	seguro	te	N	PRO;SG;2
seguro	tu	seguro	tu	N	PRO;SG;2
seguro	voi	seguro	voi	N	PRO;PL;2
vin	saw	ver	essere	V	N;MASC;SG
vin	sega	ver	sega	V	N;FEM;SG
medo	spaventati	medo	spaventato	N	V;MASC;PL;PST;V.PTCP
