kategória	kategori	kategória	kategori	N;NOM;FEM;SG	PROPN;SG
francúzska	perancis	francúzsky	perancis	N;NOM;FEM;SG	PROPN;SG
francúzska	prancis	francúzsky	prancis	N;NOM;FEM;SG	PROPN;SG
francúzska	france	francúzsky	france	N;NOM;FEM;SG	PROPN
francúzska	perancis	francúzsky	perancis	N;NOM;FEM;SG	PROPN;SG
najvyšší	supreme	vysoký	supreme	ADJ;ANIM;NOM;RL;MASC;SG	PROPN
najvyšší	agung	vysoký	agung	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;SG
však	namun	však	namun	PART	CONJ
pod	pod	pod	pod	ADP;INS	PROPN
pod	kelopak	pod	kelopak	ADP;INS	N;SG
pod	under	pod	under	ADP;INS	PROPN
pred	pre	pred	pre	ADP;INS	PROPN
pred	pra	pred	pra	ADP;INS	PROPN;SG
pred	sebelumnya	pred	sebelumnya	ADP;INS	ADV
pred	before	pred	before	ADP;INS	PROPN
vývoj	evolution	vývoj	evolution	N;INAN;NOM;MASC;SG	PROPN
graf	graf	graf	graf	N;INAN;NOM;MASC;SG	PROPN
kde	kde	kde	kde	ADV	N
kde	mana	kde	mana	ADV	ADP;SG
kde	dimana	kde	dimana	ADV	ADV
môže	may	môcť	may	V;IPFV;IND;SG;3;POS;PRS;FIN	PROPN
môže	mei	môcť	mei	V;IPFV;IND;SG;3;POS;PRS;FIN	PROPN;SG
môže	dapat	môcť	dapat	V;IPFV;IND;SG;3;POS;PRS;FIN	ADV;SG;ACT
môže	can	môcť	can	V;IPFV;IND;SG;3;POS;PRS;FIN	PROPN
môže	bisa	môcť	bisa	V;IPFV;IND;SG;3;POS;PRS;FIN	ADV
nasledujúci	sbb	nasledujúci	sbb	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	
nasledujúci	mengikuti	nasledujúci	menikuti	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	V;SG;ACT
nasledujúci	selanjutnya	nasledujúci	selanjutnya	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADV
nasledujúci	berikutnya	nasledujúci	berikutnya	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADV
nasledujúci	next	nasledujúci	next	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	PROPN
zobrazuje	pertunjukan	zobrazovať	pertunjukan	V;IPFV;IND;SG;3;POS;PRS;FIN	N;SG
keď	kapan	keď	kapan	CONJ	PRO
keď	saat	keď	saat	CONJ	N;SG
len	only	len	only	PART	PROPN
len	saja	len	saja	PART	ADV
len	hanya	len	hanya	PART	ADV
len	cuma	len	cuma	PART	
len	hanya	len	hanya	PART	ADV
mesto	town	mesto	town	N;NOM;NEUT;SG	PROPN
mesto	city	mesto	city	N;NOM;NEUT;SG	PROPN
tiež	juga	tiež	juga	PART	ADV
usa	as	usa	as		PROPN;SG
usa	usa	usa	usa		PROPN
rokov	tahun	rok	tahun	N;INAN;GEN;MASC;PL	N;SG
nie	not	nie	not	PART	PROPN
úmrtia	kematian	úmrtie	kematian	N;NOM;NEUT;PL	N;SG
úmrtia	death	úmrtie	death	N;NOM;NEUT;PL	PROPN
úmrtia	maut	úmrtie	maut	N;NOM;NEUT;PL	PROPN;SG
úmrtia	mati	úmrtie	mati	N;NOM;NEUT;PL	ADJ;SG
úmrtia	kematian	úmrtie	kematian	N;NOM;NEUT;PL	N;SG
neskôr	nanti	neskôr	nanti	ADV	
slovenský	slowakia	slovenský	slowakia	ADJ;ANIM;NOM;MASC;SG	PROPN
aby	buat	aby	buat	CONJ;COND	
aby	make	aby	make	CONJ;COND	PROPN
aby	jadikan	aby	jadikan	CONJ;COND	V;SG;ACT
aby	membuat	aby	menbuat	CONJ;COND	V;SG;ACT
storočia	abad	storočie	abad	N;NOM;NEUT;PL	N;SG
storočia	century	storočie	century	N;NOM;NEUT;PL	PROPN
nad	nad	nad	nad	ADP;INS	PROPN
utc	utc	utc	utc		PROPN
jpg	jpg	jpg	jpg		N
časti	parts	časť	parts	N;DAT;FEM;SG	PROPN
stránka	page	stránka	page	N;NOM;FEM;SG	PROPN
stránka	site	stránka	site	N;NOM;FEM;SG	PROPN
skupiny	kelompokkan	skupina	kelompokkan	N;NOM;FEM;PL	V;SG;ACT
skupiny	grup	skupina	grup	N;NOM;FEM;PL	N;SG
skupiny	kelompok	skupina	kelompok	N;NOM;FEM;PL	N;SG
skupiny	grup	skupina	grup	N;NOM;FEM;PL	N;SG
skupiny	kelompok	skupina	kelompok	N;NOM;FEM;PL	N;SG
roka	year	rok	year	N;INAN;GEN;MASC;SG	PROPN
časť	part	časť	part	N;NOM;FEM;SG	PROPN
ngc	ngc	my	ngc	N;NOM;FEM;SG	PROPN
október	oktober	október	oktober	N;INAN;NOM;MASC;SG	PROPN;SG
október	okt	október	okt	N;INAN;NOM;MASC;SG	
október	oct	október	oct	N;INAN;NOM;MASC;SG	
mesta	town	mesto	town	N;NOM;NEUT;SG	PROPN
mesta	city	mesto	city	N;NOM;NEUT;SG	PROPN
marec	march	marec	march	N;INAN;NOM;MASC;SG	PROPN
august	august	august	august	N;INAN;NOM;MASC;SG	
august	agu	august	agu	N;INAN;NOM;MASC;SG	PROPN
august	aug	august	aug	N;INAN;NOM;MASC;SG	
skupina	kelompokkan	skupina	kelompokkan	N;NOM;FEM;SG	V;SG;ACT
potom	lalu	potom	lalu	ADV	CONJ;SG
potom	maka	potom	maka	ADV	CONJ
oficiálna	official	oficiálny	official	ADJ;NOM;FEM;SG	PROPN
narodenia	kelahiran	narodenie	kelahiran	N;NOM;NEUT;PL	N;SG
narodenia	lahir	narodenie	lahir	N;NOM;NEUT;PL	V;SG;ACT
osobnosti	kepribadian	osobnosť	kepribadian	N;NOM;FEM;PL	N;SG
osobnosti	kepribadian	osobnosť	kepribadian	N;NOM;FEM;PL	N;SG
bratislava	bratislava	bratislava	bratislava	N;NOM;FEM;SG	PROPN
november	november	november	november	N;INAN;NOM;MASC;SG	PROPN;SG
november	nov	november	nov	N;INAN;NOM;MASC;SG	
december	december	december	december	N;INAN;NOM;MASC;SG	PROPN
december	dec	december	dec	N;INAN;NOM;MASC;SG	
iba	only	iba	only	PART	PROPN
iba	saja	iba	saja	PART	ADV
iba	hanya	iba	hanya	PART	ADV
iba	cuma	iba	cuma	PART	
iba	hanya	iba	hanya	PART	ADV
roky	tahun	rok	tahun	N;INAN;NOM;MASC;PL	N;SG
oblasti	daerah	oblasť	daerah	N;NOM;FEM;PL	N;SG
oblasti	wilayah	oblasť	wilayah	N;NOM;FEM;PL	N;SG
oblasti	luas	oblasť	luas	N;NOM;FEM;PL	N;SG
oblasti	kawasan	oblasť	kawasan	N;NOM;FEM;PL	N;SG
oblasti	area	oblasť	area	N;NOM;FEM;PL	N;SG
oblasti	area	oblasť	area	N;NOM;FEM;PL	N;SG
mal	mal	mať	mal	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	N
proti	menentang	proti	mententang	ADP;DAT	V;SG;ACT
proti	against	proti	against	ADP;DAT	PROPN
apríl	apr	aprila	apr	N;INAN;NOM;MASC;SG	PROPN
apríl	april	aprila	april	N;INAN;NOM;MASC;SG	PROPN;SG
sveta	world	svet	world	N;INAN;GEN;MASC;SG	PROPN
najmä	terutama	najmä	terutama	PART	ADV;RL;SG
najmä	khususnya	najmä	khususnya	PART	ADV
najmä	terutama	najmä	terutama	PART	ADV;RL;SG
viac	selengkapnya	viac	selengkap	NUM;NOM;NEUT;SG	N;SG
viac	lebih	viac	lebih	NUM;NOM;NEUT;SG	ADV
viac	lainnya	viac	lainnya	NUM;NOM;NEUT;SG	N
viac	lagi	viac	lagi	NUM;NOM;NEUT;SG	ADV
február	feb	február	feb	N;INAN;NOM;MASC;SG	
mužov	pria	muž	pria	N;ANIM;ACC;MASC;PL	N;SG
mužov	men	muž	men	N;ANIM;ACC;MASC;PL	PROPN
okolo	seputar	okolo	seputar	ADP;GEN	
ešte	yet	ešte	yet	PART	PROPN
prvý	pertama	prvý	pertama	ADJ;ANIM;NOM;MASC;SG	NUM
prvý	duluan	prvý	duluan	ADJ;ANIM;NOM;MASC;SG	
prvý	dulu	prvý	dulu	ADJ;ANIM;NOM;MASC;SG	N
prvý	first	prvý	first	ADJ;ANIM;NOM;MASC;SG	PROPN
text	sms	text	sms	N;INAN;NOM;MASC;SG	PROPN
máj	may	mať	may	INTJ	PROPN
máj	mei	mať	mei	INTJ	PROPN;SG
slovenskej	slowakia	slovenský	slowakia	ADJ;GEN;FEM;SG	PROPN
spolu	total	spolu	total	ADV	N;SG
spolu	bareng	spolu	bareng	ADV	PROPN;SG
spolu	together	spolu	together	ADV	PROPN
spolu	bersama	spolu	bersama	ADV	ADP;SG;ACT
tom	tom	to	tom	DET;NOM;NEUT;SG	PROPN
majstrovstvá	kejuaraan	majstrovstvo	kejuaraan	N;NOM;NEUT;PL	N;SG
majstrovstvá	biatlon	majstrovstvo	biatlon	N;NOM;NEUT;PL	PROPN
saint	santo	saint	santo	PROPN;ANIM;NOM;MASC;SG	PROPN
saint	saint	saint	saint	PROPN;ANIM;NOM;MASC;SG	PROPN
okrem	kecuali	okrem	kecuali	ADP;GEN	CONJ
americký	american	americký	american	ADJ;ANIM;NOM;MASC;SG	PROPN
americký	amerika	americký	amerika	ADJ;ANIM;NOM;MASC;SG	PROPN;SG
júl	jul	júl	jul	N;INAN;NOM;MASC;SG	
cez	via	cez	via	ADP;ACC	
cez	through	cez	through	ADP;ACC	PROPN
česko	czechia	česko	czechia	PROPN;NOM;NEUT;SG	PROPN
asi	mungkin	asi	mungkin	PART	ADV
asi	tebak	asi	tebak	PART	
asi	menerka	asi	menterka	PART	V;SG;ACT
jeden	one	jeden	one	NUM;ANIM;NOM;MASC;SG	PROPN
objavil	ketahuan	objaviť	ketahuan	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	
vojny	perang	vojna	perang	N;NOM;FEM;PL	N;SG
vojny	war	vojna	war	N;NOM;FEM;PL	PROPN
vojny	perang	vojna	perang	N;NOM;FEM;PL	N;SG
vojny	wars	vojna	wars	N;NOM;FEM;PL	PROPN
rok	year	rok	year	N;INAN;NOM;MASC;SG	PROPN
dátum	tgl	dátum	tgl	N;INAN;NOM;MASC;SG	PROPN
žien	permpuan	žena	permpuan	N;GEN;FEM;PL	N;SG
žien	female	žena	female	N;GEN;FEM;PL	PROPN
žien	betina	žena	betina	N;GEN;FEM;PL	N;SG
žien	perempuan	žena	perempuan	N;GEN;FEM;PL	N;SG
žien	wanita	žena	wanita	N;GEN;FEM;PL	N;SG
žien	perempuan	žena	perempuan	N;GEN;FEM;PL	N;SG
žien	women	žena	women	N;GEN;FEM;PL	PROPN
majú	telah	mať	telah	V;IPFV;IND;PL;3;POS;PRS;FIN	ADV
majú	memiliki	mať	menmiliki	V;IPFV;IND;PL;3;POS;PRS;FIN	V;SG;ACT
majú	miliki	mať	miliki	V;IPFV;IND;PL;3;POS;PRS;FIN	V;SG;ACT
toto	toto	toto	toto	DET;NOM;NEUT;SG	PROPN
ktorí	siapa	ktorý	siapa	DET;ANIM;NOM;MASC;PL	PRO
ktorí	who	ktorý	who	DET;ANIM;NOM;MASC;PL	PROPN
všetky	all	všetok	all	DET;INAN;NOM;MASC;PL	PROPN
všetky	aii	všetok	aii	DET;INAN;NOM;MASC;PL	PROPN
francúzsky	prancis	francúzsky	prancis	N;ANIM;NOM;MASC;SG	PROPN;SG
francúzsky	perancis	francúzsky	perancis	N;ANIM;NOM;MASC;SG	PROPN;SG
mestá	kota	mesto	kota	N;NOM;NEUT;PL	N;SG
svoje	menta	svoj	menta	DET;ACC;NEUT;SG;REFL	
svoje	its	svoj	its	DET;ACC;NEUT;SG;REFL	PROPN
žije	nyawa	žiť	nyawa	V;IPFV;IND;SG;3;POS;PRS;FIN	N;SG
žije	lives	žiť	lives	V;IPFV;IND;SG;3;POS;PRS;FIN	PROPN
český	ceko	český	ceko	ADJ;ANIM;NOM;MASC;SG	PROPN;SG
český	český	český	český	ADJ;ANIM;NOM;MASC;SG	PROPN
ján	jan	ján	jan	PROPN;ANIM;NOM;MASC;SG	
ján	john	ján	john	PROPN;ANIM;NOM;MASC;SG	PROPN
ján	yohanes	ján	yohanes	PROPN;ANIM;NOM;MASC;SG	PROPN
okres	distrik	okres	distrik	INTJ	N;SG
okres	kecamatan	okres	kecamatan	INTJ	N;SG
okres	raionul	okres	raionul	INTJ	N
okres	kabupaten	okres	kabupaten	INTJ	N;SG
okres	daerah	okres	daerah	INTJ	N;SG
jún	jun	jún	jun	INTJ	
jún	juni	jún	juni	INTJ	N;SG
šablóny	template	šablón	template	N;INAN;NOM;MASC;PL	PROPN
šablóny	templat	šablón	templat	N;INAN;NOM;MASC;PL	PROPN
šablóny	template	šablón	template	N;INAN;NOM;MASC;PL	PROPN
šablóny	templat	šablón	templat	N;INAN;NOM;MASC;PL	PROPN
dnes	today	dnes	today	ADV	PROPN
slovensko	slowakia	slovensko	slowakia	N;NOM;NEUT;SG	PROPN
ani	ani	ani	ani	PART	
ani	nor	ani	nor	PART	PROPN
slovenska	slovenska	slovensky	slovenska	N;NOM;NEUT;SG	PROPN
nové	new	nový	new	ADJ;NOM;NEUT;SG	PROPN
všetkých	all	všetok	all	DET;ANIM;ACC;MASC;PL	PROPN
všetkých	aii	všetok	aii	DET;ANIM;ACC;MASC;PL	PROPN
štátu	state	štát	state	N;INAN;GEN;MASC;SG	PROPN
ďalšie	tambahan	ďalší	tambahan	ADJ;NOM;NEUT;SG	N;SG
ďalšie	selanjutnya	ďalší	selanjutnya	ADJ;NOM;NEUT;SG	ADV
ďalšie	berikutnya	ďalší	berikutnya	ADJ;NOM;NEUT;SG	ADV
ďalšie	next	ďalší	next	ADJ;NOM;NEUT;SG	PROPN
ďalšie	lainnya	ďalší	lainnya	ADJ;NOM;NEUT;SG	N
ďalšie	selengkapnya	ďalší	selengkap	ADJ;NOM;NEUT;SG	N;SG
ďalšie	lebih	ďalší	lebih	ADJ;NOM;NEUT;SG	ADV
ďalšie	lainnya	ďalší	lainnya	ADJ;NOM;NEUT;SG	N
ďalšie	lagi	ďalší	lagi	ADJ;NOM;NEUT;SG	ADV
tým	tim	to	tim	DET;INS;NEUT;SG	N;SG
tým	team	to	team	DET;INS;NEUT;SG	PROPN
dve	two	dva	two	NUM;NOM;FEM;PL	PROPN
dva	two	dva	two	NUM;INAN;NOM;MASC;PL	PROPN
mala	mala	mať	mala	V;IPFV;FEM;SG;POS;PST;V.PTCP	PROPN
style	gaya	style	gaya	INTJ	N;SG
style	style	style	style	INTJ	N
style	bergaya	style	bergaya	INTJ	V;SG;ACT
približne	tentang	približne	tentang	ADV	ADP;SG;ACT
približne	ttg	približne	ttg	ADV	
približne	perihal	približne	perihal	ADV	N
približne	sekitar	približne	sekitar	ADV	ADP
prvé	pertama	prvý	pertama	ADJ;NOM;NEUT;SG	NUM
prvé	duluan	prvý	duluan	ADJ;NOM;NEUT;SG	
prvé	dulu	prvý	dulu	ADJ;NOM;NEUT;SG	N
prvé	first	prvý	first	ADJ;NOM;NEUT;SG	PROPN
martin	martinus	martin	martinus	PROPN;ANIM;NOM;MASC;SG	PROPN
martin	martin	martin	martin	PROPN;ANIM;NOM;MASC;SG	PROPN
http	http	http	http		PROPN
tri	tri	tri	tri	NUM;INAN;NOM;MASC;PL	PROPN
tri	three	tri	three	NUM;INAN;NOM;MASC;PL	PROPN
loire	loire	loira	loire	N;NOM;NEUT;SG	PROPN
praha	prague	praha	prague	PROPN;NOM;FEM;SG	PROPN
praha	praha	praha	praha	PROPN;NOM;FEM;SG	PROPN
stránke	page	stránka	page	N;DAT;FEM;SG	PROPN
film	movie	film	movie	N;INAN;NOM;MASC;SG	PROPN
spoločnosti	korporasi	spoločnosť	korporasi	N;NOM;FEM;PL	N;SG
spoločnosti	perusahaan	spoločnosť	perusahaan	N;NOM;FEM;PL	N;SG
spoločnosti	company	spoločnosť	company	N;NOM;FEM;PL	PROPN
spoločnosti	perusahaan	spoločnosť	perusahaan	N;NOM;FEM;PL	N;SG
peter	petrus	peter	petrus	N;ANIM;NOM;MASC;SG	PROPN
peter	peter	peter	peter	N;ANIM;NOM;MASC;SG	PROPN
mali	mali	mať	mali	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	PROPN
patrí	milik	patriť	milik	V;IPFV;IND;SG;3;POS;PRS;FIN	N;SG;ACT
slovenská	slowakia	slovenský	slowakia	ADJ;NOM;FEM;SG	PROPN
strany	halaman	strana	halaman	N;NOM;FEM;PL	N;SG
strany	pesta	strana	pesta	N;NOM;FEM;PL	N;SG
strany	pihak	strana	pihak	N;NOM;FEM;PL	N;SG
slovensky	inggris	slovensky	inggris	ADV	PROPN;SG
slovensky	indonesian	slovensky	indonesian	ADV	PROPN
slovensky	english	slovensky	english	ADV	N
prvá	pertama	prvý	pertama	ADJ;NOM;FEM;SG	NUM
prvá	duluan	prvý	duluan	ADJ;NOM;FEM;SG	
prvá	dulu	prvý	dulu	ADJ;NOM;FEM;SG	N
prvá	first	prvý	first	ADJ;NOM;FEM;SG	PROPN
van	van	van	van	PROPN;ANIM;NOM;MASC;SG	PROPN
nemecký	german	nemecký	german	ADJ;ANIM;NOM;MASC;SG	PROPN
nemecký	jerman	nemecký	jerman	ADJ;ANIM;NOM;MASC;SG	PROPN;SG
storočí	century	storočie	century	N;NOM;NEUT;SG	PROPN
hlavne	terutama	hlavne	terutama	ADV	ADV;RL;SG
hlavne	terutama	hlavne	terutama	ADV	ADV;RL;SG
hlavne	kebanyakan	hlavne	kebanyakan	ADV	DET;SG
rod	rod	rod	rod	N;ANIM;NOM;MASC;SG	PROPN
bude	will	byť	will	V;IPFV;IND;SG;3;POS;FUT;FIN	PROPN
bude	akan	byť	akan	V;IPFV;IND;SG;3;POS;FUT;FIN	ADV
kostol	church	kostol	church	N;INAN;NOM;MASC;SG	PROPN
možno	mungkin	možno	mungkin	PART	ADV
možno	barangkali	možno	barangkali	PART	
možno	mungkin	možno	mungkin	PART	ADV
možno	maybe	možno	maybe	PART	PROPN
ženy	betina	žena	betina	N;NOM;FEM;PL	N;SG
ženy	perempuan	žena	perempuan	N;NOM;FEM;PL	N;SG
ženy	wanita	žena	wanita	N;NOM;FEM;PL	N;SG
ženy	perempuan	žena	perempuan	N;NOM;FEM;PL	N;SG
ženy	women	žena	women	N;NOM;FEM;PL	PROPN
ďalej	next	ďalej	next	ADV	PROPN
kedy	kapan	kedy	kapan	ADV	PRO
kedy	saat	kedy	saat	ADV	N;SG
kedy	apabila	kedy	apabila	ADV	CONJ
kedy	ketika	kedy	ketika	ADV	CONJ
územia	wilayah	územie	wilayah	N;NOM;NEUT;PL	N;SG
územia	teritori	územie	teritori	N;NOM;NEUT;PL	N;SG
územia	wilayah	územie	wilayah	N;NOM;NEUT;PL	N;SG
územia	teritori	územie	teritori	N;NOM;NEUT;PL	N;SG
ide	goes	ísť	goes	V;IPFV;IND;SG;3;POS;PRS;FIN	PROPN
ide	ide	ísť	ide	V;IPFV;IND;SG;3;POS;PRS;FIN	N;SG
potok	stream	potok	stream	N;INAN;NOM;MASC;SG	PROPN
latinsky	latin	latinsky	latin	ADV	N
góly	gol	góla	gol	N;NOM;FEM;PL	N;SG
góly	tujuan	góla	tujuan	N;NOM;FEM;PL	N;SG
európy	eropa	európa	eropa	N;NOM;FEM;PL	N;SG
pôvodne	aslinya	pôvodne	asli	ADV	N;SG
súhvezdie	constellation	súhvezdie	constellation	N;NOM;NEUT;SG	PROPN
známy	dikenal	známy	dikenal	ADJ;ANIM;NOM;MASC;SG	V;SG;PASS
známy	diketahui	známy	diketahui	ADJ;ANIM;NOM;MASC;SG	V;SG;PASS
známy	kenalan	známy	kenalan	ADJ;ANIM;NOM;MASC;SG	N;SG
haute	haute	haute	haute	N;NOM;FEM;SG	PROPN
veľkosť	size	veľkosť	size	N;NOM;FEM;SG	PROPN
john	john	john	john	PROPN;ANIM;NOM;MASC;SG	PROPN
john	yohanes	john	yohanes	PROPN;ANIM;NOM;MASC;SG	PROPN
klub	club	klub	club	N;INAN;NOM;MASC;SG	PROPN
objektov	obyek	objekt	obyek	N;INAN;GEN;MASC;PL	N;SG
objektov	objek	objekt	objek	N;INAN;GEN;MASC;PL	N;SG
objektov	benda	objekt	benda	N;INAN;GEN;MASC;PL	N;SG
isbn	isbn	isbn	isbn		PROPN
slovenské	slowakia	slovenský	slowakia	ADJ;NOM;NEUT;SG	PROPN
ľudí	manusia	človek	manusia	N;ANIM;ACC;MASC;PL	N;SG
ľudí	rakyat	človek	rakyat	N;ANIM;ACC;MASC;PL	N;SG
ľudí	orang	človek	orang	N;ANIM;ACC;MASC;PL	N;SG
ľudí	people	človek	people	N;ANIM;ACC;MASC;PL	PROPN
možné	mungkin	možný	mungkin	ADJ;NOM;NEUT;SG	ADV
možné	kemungkinan	možný	kemungkinan	ADJ;NOM;NEUT;SG	N;SG
možné	dimungkinkan	možný	dimungkinkan	ADJ;NOM;NEUT;SG	V;SG;ACT
niektoré	some	niektorý	some	DET;NOM;NEUT;SG	PROPN
hudobné	music	hudobný	music	ADJ;NOM;NEUT;SG	PROPN
hudobné	musik	hudobný	musik	ADJ;NOM;NEUT;SG	N;SG
hudobné	musik	hudobný	musik	ADJ;NOM;NEUT;SG	N;SG
hudobné	musikal	hudobný	musikal	ADJ;NOM;NEUT;SG	N
hudobné	musical	hudobný	musical	ADJ;NOM;NEUT;SG	PROPN
herec	actor	herec	actor	N;ANIM;NOM;MASC;SG	PROPN
hry	permainan	hra	permainan	N;NOM;FEM;PL	N;SG
hry	games	hra	games	N;NOM;FEM;PL	PROPN
hry	game	hra	game	N;NOM;FEM;PL	N;SG
veľký	big	veľký	big	ADJ;ANIM;NOM;MASC;SG	PROPN
gmina	gmina	gmina	gmina	N;NOM;FEM;SG	PROPN
života	life	život	life	N;INAN;GEN;MASC;SG	PROPN
kráľ	raja	kráľ	raja	N;ANIM;NOM;MASC;SG	PROPN;SG
kráľ	king	kráľ	king	N;ANIM;NOM;MASC;SG	PROPN
maďarsku	hongaria	maďarsky	hongaria	N;NOM;NEUT;SG	PROPN
maďarsku	hungaria	maďarsky	hungaria	N;NOM;NEUT;SG	PROPN;SG
hráči	pemain	hráčiť	penmain	N;ANIM;NOM;MASC;PL	N;SG
vlády	pemerintah	vláda	penperintah	N;NOM;FEM;PL	N;SG
vlády	pemerintahan	vláda	penperintahan	N;NOM;FEM;PL	N;SG
vlády	pemerintah	vláda	penperintah	N;NOM;FEM;PL	N;SG
vlády	pemerintahan	vláda	penperintahan	N;NOM;FEM;PL	N;SG
môžu	dapat	môcť	dapat	V;IPFV;IND;PL;3;POS;PRS;FIN	ADV;SG;ACT
môžu	can	môcť	can	V;IPFV;IND;PL;3;POS;PRS;FIN	PROPN
môžu	bisa	môcť	bisa	V;IPFV;IND;PL;3;POS;PRS;FIN	ADV
miest	tempat	mesto	tempat	N;GEN;NEUT;PL	N;SG
zároveň	serentak	zároveň	serentak	ADV	
zároveň	bersamaan	zároveň	bersamaan	ADV	V;SG;ACT
napriek	kedengkian	napriek	kedengkian	ADP;DAT	N;SG
mieste	spot	miesto	spot	N;NOM;NEUT;SG	PROPN
mieste	site	miesto	site	N;NOM;NEUT;SG	PROPN
kráľa	raja	kráľ	raja	N;ANIM;ACC;MASC;SG	PROPN;SG
kráľa	king	kráľ	king	N;ANIM;ACC;MASC;SG	PROPN
