destinatari	آخذ.	destinatari	آخذ.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
locus	حیّز	locus	حیّز	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
embut	قیف.	embut	قیف.	N;MASC;SG	
criança	پرورش.	criança	پرورش.		PROPN;NOM;MASC;SG;3
criança	اٹھان	criança	اٹھان		V;SG;ACT
gong	بِلّا.	gong	بِلّا.		PROPN;NOM;MASC;SG;3
gong	تمغا	gong	تمغا		N;NOM;MASC;SG;3
panxa	پیٹ	panxa	پیٹ		PROPN;NOM;MASC;SG;3
panxa	شکم	panxa	شکم		PROPN;NOM;MASC;SG;3
panxa	ابھراہونا.	panxa	ابھراہونا.		PROPN;NOM;MASC;SG;3
sawyer	آراکش	sawyer	آراکش		PROPN;NOM;MASC;SG;3
consuelo	تسلی	consuelo	تسلی		N;NOM;FEM;SG;3
consuelo	تشفّی	consuelo	تشفّی		PROPN;NOM;MASC;SG;3
consuelo	دلاسا	consuelo	دلاسا		V;PFV;MASC;SG;V.PTCP;ACT
càmping	ڈیرا	càmping	ڈیرا	N;MASC;SG	PROPN;NOM;MASC;SG;3
càmping	پڑاؤ	càmping	پڑاؤ	N;MASC;SG	PROPN;NOM;MASC;SG;3
brúixola	احاطہ.	brúixola	احاطہ.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
brúixola	میدان	brúixola	میدان	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
brúixola	محیط	brúixola	محیط	V;IND;SG;3;PRS;FIN	ADJ
brúixola	کمپاس	brúixola	کمپاس	V;IND;SG;3;PRS;FIN	
brúixola	دائرہ	brúixola	دائرہ	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
plorar	للکار	plorar	للکار	V;NFIN	
plorar	بھونک.	plorar	بھونک.	V;NFIN	PROPN;NOM;MASC;SG;3
plorar	فریاد.	plorar	فریاد.	V;NFIN	PROPN;NOM;MASC;SG;3
plorar	آوازہ.	plorar	آوازہ.	V;NFIN	PROPN;NOM;MASC;SG;3
plorar	انوروں	plorar	انور	V;NFIN	N;ACC;MASC;PL;3
plorar	للکار	plorar	للکار	V;NFIN	
plorar	بھونک.	plorar	بھونک.	V;NFIN	PROPN;NOM;MASC;SG;3
plorar	فریاد.	plorar	فریاد.	V;NFIN	PROPN;NOM;MASC;SG;3
plorar	آوازہ.	plorar	آوازہ.	V;NFIN	PROPN;NOM;MASC;SG;3
plorar	انوروں	plorar	انور	V;NFIN	N;ACC;MASC;PL;3
ark	پیٹی.	ark	پیٹی.		PROPN;NOM;MASC;SG;3
ark	صندوق	ark	صندوق		N;NOM;MASC;SG;3
rosca	موڑنا	rosca	موڑ		V;NFIN;ACT
rosca	جوڑنا.	rosca	جوڑنا.		V;MASC;SG;NFIN;ACT
caporal	جسمانی	caporal	جسمانی	N;MASC;SG	ADJ
epíleg	ایزادیہ	epíleg	ایزادیہ	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
aromàtiques	چرپری	aromàtic	چرپری	ADJ;FEM;PL	PROPN;NOM;MASC;SG;3
camuflatge	کیموفلاژ.	camuflatge	کیموفلاژ.	N;MASC;SG	ADJ
camuflatge	طیاروں	camuflatge	طیارہ	N;MASC;SG	N;ACC;MASC;PL;3
camuflatge	تلبیس	camuflatge	تلبیس	N;MASC;SG	PROPN;NOM;MASC;SG;3
trencats	شکستہ	trencat	شکستہ	ADJ;MASC;PL;V.PTCP	
trencats	خراب-	trencat	خراب-	ADJ;MASC;PL;V.PTCP	PROPN;NOM;MASC;SG;3
trencats	ٹوٹی	trencat	ٹوٹی	ADJ;MASC;PL;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
obscur	تاریک.	obscur	تاریک.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
obscur	دُھندلا	obscur	دُھندلا	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
fragilitat	کمزوری	fragilitat	کمزوری	N;FEM;SG	ADJ
fragilitat	نازکی	fragilitat	نازکی	N;FEM;SG	PROPN;NOM;MASC;SG;3
arrendament	پٹّے	arrendament	پٹّہ	N;MASC;SG	PROPN;NOM;MASC;SG;3
absoluts	مطلق	absolut	مطلق	ADJ;MASC;PL	N;NOM;MASC;SG;3
absoluts	کامل	absolut	کامل	ADJ;MASC;PL	N;NOM;MASC;SG;3
incorrectes	انداز	incorrecte	انداز	ADJ;PL	N;NOM;MASC;SG;3
incorrectes	(	incorrecte	(	ADJ;PL	
incorrectes	معیوب.	incorrecte	معیوب.	ADJ;PL	PROPN;NOM;MASC;SG;3
incorrectes	انداز	incorrecte	انداز	ADJ;PL	N;NOM;MASC;SG;3
incorrectes	(	incorrecte	(	ADJ;PL	
incorrectes	معیوب.	incorrecte	معیوب.	ADJ;PL	PROPN;NOM;MASC;SG;3
vaginal	مہبلی	vaginal	مہبلی	ADJ;SG	PROPN;NOM;MASC;SG;3
vaginal	غلفی	vaginal	غلفی	ADJ;SG	PROPN;NOM;MASC;SG;3
eradicar	استیصال	eradicar	استیصال	V;NFIN	N;NOM;MASC;SG;3
exempts	آزاد.	exempt	آزاد.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
foli	کاغذ	foli	کاغذ		;NOM;MASC;SG;3
clavegueram	نالیوں	clavegueram	نالی	N;MASC;SG	N;NOM;MASC;PL;3
esfondrament	ٹوٹنا	esfondrament	ٹوٹنا	N;MASC;SG	V;NFIN;ACT
esfondrament	سقوط	esfondrament	سقوط	N;MASC;SG	PROPN;NOM;MASC;SG;3
esfondrament	گرانا	esfondrament	گرانا	N;MASC;SG	V;MASC;SG;NFIN;ACT
esfondrament	انہدام	esfondrament	انہدام	N;MASC;SG	PROPN;NOM;MASC;SG;3
esfondrament	توڑنا	esfondrament	توڑ	N;MASC;SG	V;MASC;SG;NFIN;ACT
perfeccionament	تخلیص	perfeccionament	تخلیص	N;MASC;SG	
perfeccionament	چترائی.	perfeccionament	چترائی.	N;MASC;SG	V;MASC;SG;V.PTCP;ACT
perfeccionament	شائستہ	perfeccionament	شائستہ	N;MASC;SG	PROPN;NOM;MASC;SG;3
castedat	بِکر	castedat	بِکر	N;FEM;SG	V;V.CVB
absolutes	مطلق	absolut	مطلق	ADJ;FEM;PL	N;NOM;MASC;SG;3
absolutes	کامل	absolut	کامل	ADJ;FEM;PL	N;NOM;MASC;SG;3
quiet	قیمتوں	quiet	قیمت		N;NOM;MASC;PL;3
dilema	تعطّل	dilema	تعطّل	N;MASC;SG	
malson	ہول	malson	ہول		N;NOM;MASC;SG;3
malson	ہراس	malson	ہراس		N;NOM;MASC;SG;3
malson	دہشت.	malson	دہشت.		PROPN;NOM;MASC;SG;3
seqüencial	تسلسلی	seqüencial	تسلسلی	ADJ;SG	PROPN;NOM;MASC;SG;3
doom	آخرت	doom	آخرت		PROPN;NOM;MASC;SG;3
doom	فرمان.	doom	فرمان.		PROPN;NOM;MASC;SG;3
doom	ضابطہ	doom	ضابطہ		N;NOM;MASC;SG;3
doom	تباہی.	doom	تباہی.		PROPN;NOM;MASC;SG;3
doom	ملامت	doom	ملامت		N;NOM;FEM;SG;3
doom	پھٹکار	doom	پھٹک		V;SG;ACT
aplicables	لاگو.	aplicable	لاگو.	ADJ;PL	PROPN;NOM;MASC;SG;3
aplicables	برمحل.	aplicable	برمحل.	ADJ;PL	ADP
guru	استاد	guru	استاد	ADJ;MASC;SG	N;NOM;MASC;SG;3
nominatiu	اسم	nominatiu	اسم	ADJ;MASC;SG	N;NOM;MASC;SG;3
führer	قائد	führer	قائد		N;NOM;MASC;SG;3
ídem	مثنیٰ.	ídem	مثنیٰ.		ADJ
vesícula	بِذری.	vesícula	بِذری.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
vesícula	بِذری.	vesícula	بِذری.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
vesícula	منوی	vesícula	منوی	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
acomiadament	موقوفی	acomiadament	موقوفی	N;MASC;SG	ADJ
acomiadament	موقوفی	acomiadament	موقوفی	N;MASC;SG	ADJ
aliè	بھلکّڑ.	aliè	بھلکّڑ.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
cuixa	ران.	cuixa	ران.		PROPN;NOM;MASC;SG;3
picó	اچھلنا	picó	اچھل		V;MASC;SG;NFIN;ACT
picó	ٹیس.	picó	ٹیس.		PROPN;NOM;MASC;SG;3
picó	عضو	picó	عضو		N;NOM;MASC;SG;3
malversació	غبن	malversació	غبن	N;FEM;SG	
expressiu	بالکل	expressiu	بالکل	ADJ;MASC;SG	CONJ
expressiu	بیّن	expressiu	بیّن	ADJ;MASC;SG	
vale	الوداعیہ.	vale	الوداعیہ.		PROPN;NOM;MASC;SG;3
vale	الوداع.	vale	الوداع.		PROPN;NOM;MASC;SG;3
vale	الوداعیہ.	vale	الوداعیہ.		PROPN;NOM;MASC;SG;3
vale	وادی	vale	وادی		PROPN;NOM;MASC;SG;3
vale	الوداع.	vale	الوداع.		PROPN;NOM;MASC;SG;3
muses	موسیقی	musa	موسیقی	N;FEM;PL	ADJ
beneïda	مردود	beneït	مردود	ADJ;FEM;SG;V.PTCP	PROPN;NOM;MASC;SG;3
beneïda	مرحوم	beneït	مرحوم	ADJ;FEM;SG;V.PTCP	N
beneïda	ملعون	beneït	ملعون	ADJ;FEM;SG;V.PTCP	PROPN;NOM;MASC;SG;3
beneïda	مقّدس.	beneït	مقّدس.	ADJ;FEM;SG;V.PTCP	PROPN;NOM;MASC;SG;3
beneïda	مغفور	beneït	مغفور	ADJ;FEM;SG;V.PTCP	PROPN;NOM;MASC;SG;3
ajuts	معاونت-	ajut	معاونت-	N;MASC;PL	PROPN;NOM;MASC;SG;3
ajuts	معاونت-	ajut	معاونت-	N;MASC;PL	PROPN;NOM;MASC;SG;3
ajuts	مدد	ajut	مدد	N;MASC;PL	N;NOM;MASC;SG;3
milloren	مفید.	millorar	مفید.	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
milloren	سنوارنا	millorar	سنوار	V;IND;PL;3;PRS;FIN	V;MASC;SG;NFIN;ACT
milloren	مفید.	millorar	مفید.	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
gaudi	لطف	gaudar	لطف		ADJ
corretja	تسمہ	corretjar	تسمہ	N;FEM;SG	
corretja	کسنا.	corretjar	کسنا.	N;FEM;SG	
corretja	دستکہ.	corretjar	دستکہ.	N;FEM;SG	
juniperus	اردج	juniperu	اردج		PROPN;NOM;MASC;SG;3
juniperus	دفران.	juniperu	دفران.		PROPN;NOM;MASC;SG;3
cherry	بکارت	cherry	بکارت		N;NOM;FEM;SG;3
cherry	دوشیزہ	cherry	دوشیزہ		PROPN;NOM;MASC;SG;3
cherry	دوشیزگی	cherry	دوشیزگی		PROPN;NOM;MASC;SG;3
religiositat	چٹیک	religiositat	چٹیک	N;FEM;SG	PROPN;NOM;MASC;SG;3
quilla	ڈھانا.	quilla	ڈھانا.	N;FEM;SG	
mostela	(	mostela	(	N;FEM;SG	
mostela	on	mostela	on	N;FEM;SG	
mostela	نیولا	mostela	نیولا	N;FEM;SG	PROPN;NOM;MASC;SG;3
mostela	(	mostela	(	N;FEM;SG	
mostela	on	mostela	on	N;FEM;SG	
designen	معیّن	designar	معیّن	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
designen	القاب	designar	القاب	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
expropiació	ضبطی	expropiació	ضبطی	N;FEM;SG	PROPN;NOM;MASC;SG;3
rehabilitar	مراعات	rehabilitar	مراعات	V;NFIN	N;NOM;MASC;PL;3
fullatge	برگ	fullatge	برگ	N;MASC;SG	PROPN;NOM;MASC;SG;3
fullatge	پتّے	fullatge	پتیے	N;MASC;SG	V;MASC;SG;V.PTCP;ACT
voltor	گدھ	voltor	گدھ	ADJ;MASC;SG	N;NOM;MASC;SG;3
voltor	کرگس.	voltor	کرگس.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
parry	طرح	parry	طرح		N;NOM;MASC;SG;3
parry	جھکائی.	parry	جھکائی		V;PFV;SG;V.PTCP;ACT
noguer	اخروٹ.	noguer	اخروٹ.	PROPN	PROPN;NOM;MASC;SG;3
calaix	دراز	calaix	عرصہ		ADJ
llançadora	نال	llançadora	نال	N;FEM;SG	
carisma	وجاہت	carisma	وجاہت	N;MASC;SG	PROPN;NOM;MASC;SG;3
carisma	جاذبیت	carisma	جاذبیت	N;MASC;SG	PROPN;NOM;MASC;SG;3
trauma	دہاکا	trauma	دہاکا	N;MASC;SG	PROPN;NOM;MASC;SG;3
trauma	بپتا.	trauma	بپتا.	N;MASC;SG	PROPN;NOM;MASC;SG;3
tolerant	روادار.	tolerar	روادار.	ADJ;SG	N;NOM;MASC;SG;3
tolerant	متّحمل	tolerar	متّحمل	ADJ;SG	PROPN;NOM;MASC;SG;3
cosir	جوڑنا	cosir	جوڑ		V;MASC;SG;NFIN;ACT
cosir	کپڑا	cosir	کپڑا		N;NOM;MASC;SG;3
cosir	سینا.	cosir	سینا.		PROPN;NOM;MASC;SG;3
cosir	ٹانکنا	cosir	ٹانکنا		V;SG;NFIN;ACT
cosir	لباس	cosir	لباس		N;NOM;MASC;SG;3
indiferent	ادنیٰ.	indiferent	ادنیٰ.	ADJ;SG	PROPN;NOM;MASC;SG;3
gravitació	تجاذب.	gravitació	تجاذب.	N;FEM;SG	PROPN;NOM;MASC;SG;3
canonada	(	canonada	(	N;FEM;SG	
canonada	صفیر.	canonada	صفیر.	N;FEM;SG	PROPN;NOM;MASC;SG;3
canonada	on	canonada	on	N;FEM;SG	
productius	خلّاق	productiu	خلّاق	ADJ;MASC;PL	
productius	(	productiu	(	ADJ;MASC;PL	
entresòl	دوچھتی	entresòl	دوچھ	N;MASC;SG	V;IPFV;FEM;SG;V.PTCP;ACT
gelada	سرد	gelada	سرد	ADJ;FEM;SG	N;NOM;MASC;SG;3
gelada	ناکامی.	gelada	ناکامی.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
solidesa	درستی	solidesa	درستی	N;FEM;SG	ADJ
cremallera	زپ.	cremallera	زپ.	N;MASC;SG	
degudament	بجا	degudament	بجا	ADV	V;ACT
degudament	درست	degudament	درست	ADV	ADJ
eslovena	سلووینیا	eslovena	سلووینیا	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
pinzell	نقّاشی	pinzell	نقّاشی	N;MASC;SG	ADJ;NOM
pinzell	معرکہ	pinzell	معرکہ	N;MASC;SG	PROPN;NOM;MASC;SG;3
pinzell	برش	pinzell	برش	N;MASC;SG	V;SG;ACT
pinzell	رگڑائی	pinzell	رگڑائی	N;MASC;SG	V;PFV;FEM;SG;V.PTCP;ACT
pinzell	گچھا.	pinzell	گچھا.	N;MASC;SG	PROPN;NOM;MASC;SG;3
flaix	شوخ	flaix	شوخ		N;NOM;MASC;SG;3
flaix	جھپکی	flaix	جھپکی		PROPN;NOM;MASC;SG;3
flaix	نقلی	flaix	نقلی		ADJ
flaix	بھڑکیلا	flaix	بھڑکیلا		V;PFV;MASC;SG;V.PTCP;ACT
màniga	آستین.	màniga	آستین.		N;ACC;MASC;PL;3
infinits	لاتعداد.	infinit	لاتعداد.	ADJ;MASC;PL	N;NOM;MASC;SG;3
infinits	کامل.	infinit	کامل.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
infinits	عظیم	infinit	عظیم	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
infinits	لامحدود	infinit	لامحدود	ADJ;MASC;PL	
infinits	لاتعداد.	infinit	لاتعداد.	ADJ;MASC;PL	N;NOM;MASC;SG;3
infinits	کامل.	infinit	کامل.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
infinits	عظیم	infinit	عظیم	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
aturats	نٹھلّا.	aturat	نٹھلّ	N;MASC;PL	PROPN;NOM;MASC;SG;3
humilitat	پستی	humilitat	پس	N;FEM;SG	ADJ
humilitat	عاجزی	humilitat	عاجزی	N;FEM;SG	PROPN;NOM;MASC;SG;3
thrash	around	thrash	around	N;MASC;SG	PROPN;NOM;MASC;SG;3
thrash	چھٹپٹانا.	thrash	چھٹپٹان	N;MASC;SG	PROPN;NOM;MASC;SG;3
fidelment	وفادارانہ.	fidelment	وفادارانہ.	ADV	ADJ
xicot	رفیق	xicot	رفیق	N;MASC;SG	PROPN;NOM;MASC;SG;3
revisa	جائزہ.	revisar	جائزہ.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
revisa	(	revisar	(	V;IND;SG;3;PRS;FIN	
revisa	اعادہ	revisar	اعادہ	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
revisa	کتاب	revisar	کتاب	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
revisa	غور-	revisar	غور-	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
pater	باپ.	pater	باپ.		PROPN;NOM;MASC;SG;3
antimoni	کحل	antimoni	کحل	N;MASC;SG	
jiddisch	یدش.	jiddisch	یدش.	ADJ;SG	PROPN;NOM;MASC;SG;3
paladar	پسند.	paladar	پسند.		PROPN;NOM;MASC;SG;3
paladar	ذوق	paladar	ذوق		N;NOM;MASC;SG;3
inoxidable	کھری.	inoxidable	کھری.	ADJ;SG	
exigeixen	from	exigir	from	V;IND;PL;3;PRS;FIN	
exigeixen	موقوف	exigir	موقوف	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
exigeixen	چاہنا	exigir	چاہ	V;IND;PL;3;PRS;FIN	V;MASC;SG;NFIN;ACT
emergeix	کھلنا	emergir	کھل	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
moderació	معدلت.	moderació	معدلت.	N;FEM;SG	PROPN;NOM;MASC;SG;3
moderació	معقول	moderació	معقول	N;FEM;SG	ADJ
moderació	معتدل	moderació	معتدل	N;FEM;SG	ADJ
escrutini	معائنہ	escrutini	معائنہ	ADJ;MASC;SG	N;NOM;MASC;SG;3
escrutini	مشاہدہ.	escrutini	مشاہدہ.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
desistir	پرہیز	desistir	پرہیز	V;NFIN	ADJ
domesticació	تالّف	domesticació	تالّف	N;FEM;SG	PROPN;NOM;MASC;SG;3
peculiars	نامانوس.	peculiar	نامانوس.	ADJ;PL	PROPN;NOM;MASC;SG;3
peculiars	حق.	peculiar	حق.	ADJ;PL	
peculiars	نامانوس.	peculiar	نامانوس.	ADJ;PL	PROPN;NOM;MASC;SG;3
peculiars	انوکھا	peculiar	انوکھا	ADJ;PL	ADJ;NOM;MASC;SG
peculiars	حق.	peculiar	حق.	ADJ;PL	
sucursal	دریا	sucursal	دریا		N;NOM;MASC;SG;3
selecciona	چنیدہ	seleccionar	چنیدہ	V;IND;SG;3;PRS;FIN	
selecciona	منتخب.	seleccionar	منتخب.	V;IND;SG;3;PRS;FIN	ADJ
vernís	وارنش	vernís	وارنش	N;MASC;SG	PROPN;NOM;MASC;SG;3
vernís	پتھر	vernís	پتھر	N;MASC;SG	PROPN;NOM;MASC;SG;3
traslladen	تبادل	traslladar	تبادل	V;IND;PL;3;PRS;FIN	
molesta	پریشانی	molestar	پریشانی	V;IND;SG;3;PRS;FIN	ADJ
molesta	خرابی	molestar	خرابی	V;IND;SG;3;PRS;FIN	ADJ
molesta	خراب	molestar	خراب	V;IND;SG;3;PRS;FIN	ADJ
molesta	بگاڑ.	molestar	بگاڑ.	V;IND;SG;3;PRS;FIN	
mercantils	دنیادارانہ.	mercantil	دنیادارانہ.	ADJ;PL	PROPN;NOM;MASC;SG;3
mercantils	تجارت	mercantil	تجارت	ADJ;PL	N;NOM;MASC;SG;3
grat	ذوق	grat	ذوق		N;NOM;MASC;SG;3
grat	پسندیدگی	grat	پسندیدگی		N;NOM;MASC;SG;3
grat	انتخاب	grat	انتخاب		PROPN;NOM;MASC;SG;3
grat	ذوق	grat	ذوق		N;NOM;MASC;SG;3
grat	پسندیدگی	grat	پسندیدگی		N;NOM;MASC;SG;3
grat	پسند	grat	پسند		ADJ
grat	رغبت	grat	رغبت		N;NOM;FEM;SG;3
grat	انتخاب	grat	انتخاب		PROPN;NOM;MASC;SG;3
orfenat	یتیمی.	orfenar	یتیمی.	ADJ;MASC;SG;V.PTCP	PROPN;NOM;MASC;SG;3
porcina	سؤر.	porcí	سؤر.	N;FEM;SG	PROPN;NOM;MASC;SG;3
obstrucció	بندش	obstrucció	بندش	N;FEM;SG	PROPN;NOM;MASC;SG;3
lèxica	لُغوی.	lèxic	لُغوی.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
esponja	over	esponja	over	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
esponja	پیوٹ.	esponja	پیوٹ.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
esponja	on	esponja	on	V;IND;SG;3;PRS;FIN	
esponja	out	esponja	out	V;IND;SG;3;PRS;FIN	
esponja	اسفنج	esponja	اسفنج	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
cabellera	گھنے	cabellera	گھنا	N;FEM;SG	ADJ;NOM;MASC;SG
cabellera	گھنے	cabellera	گھنا	N;FEM;SG	ADJ;NOM;MASC;SG
cabellera	جھبرا	cabellera	جھبرا	N;FEM;SG	PROPN;NOM;MASC;SG;3
lloro	نقلچی	lloro	نقلچی	ADJ;MASC;SG	N;NOM;MASC;SG;3
lloro	گھونٹنا	lloro	گھونٹنا	ADJ;MASC;SG	V;NFIN;ACT
lloro	نقال	lloro	نقال	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
lloro	بھانڈ.	lloro	بھانڈ.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
lloro	رٹنا	lloro	رٹنا	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
transcendent	برگزیدہ	transcendent	برگزیدہ	ADJ;SG	PROPN;NOM;MASC;SG;3
manava	سردار.	manar	سردار.	V;IND;SG;3;IPFV;FIN	PROPN;NOM;MASC;SG;3
diversificació	رنگارنگی	diversificació	رنگارنگی	N;FEM;SG	PROPN;NOM;MASC;SG;3
diversificació	گوناگونی	diversificació	گوناگونی	N;FEM;SG	PROPN;NOM;MASC;SG;3
sabotatge	بگاڑنا	sabotatge	بگاڑ	N;MASC;SG	V;NFIN;ACT
elf	پری	elf	پری		PROPN;NOM;MASC;SG;3
elf	چھلاوا	elf	چھلاوا		V;SG;V.PTCP;ACT
erotisme	شہوانیات.	erotisme	شہوانیات.	N;MASC;SG	ADJ;NOM
encens	with	encens	with	N;MASC;SG	
kitty	بلوٹا	kitty	بلوٹا		PROPN;NOM;MASC;SG;3
kitty	بلونگڑا	kitty	بلونگڑا		PROPN;NOM;MASC;SG;3
beagle	کھوجی	beagle	کھوجی		PROPN;NOM;MASC;SG;3
beagle	مخبر	beagle	مخبر		PROPN;NOM;MASC;SG;3
infinites	لاتعداد.	infinit	لاتعداد.	ADJ;FEM;PL	N;NOM;MASC;SG;3
infinites	کامل.	infinit	کامل.	ADJ;FEM;PL	PROPN;NOM;MASC;SG;3
infinites	عظیم	infinit	عظیم	ADJ;FEM;PL	PROPN;NOM;MASC;SG;3
infinites	لامحدود	infinit	لامحدود	ADJ;FEM;PL	
infinites	لاتعداد.	infinit	لاتعداد.	ADJ;FEM;PL	N;NOM;MASC;SG;3
infinites	کامل.	infinit	کامل.	ADJ;FEM;PL	PROPN;NOM;MASC;SG;3
infinites	عظیم	infinit	عظیم	ADJ;FEM;PL	PROPN;NOM;MASC;SG;3
vibrant	لرزاں	vibrant	لرزاں	ADJ;SG	
electromagnetisme	برقناطیسیت	electromagnetisme	برقناطیسیت	N;MASC;SG	ADJ;NOM
estèril	جذبے	estèril	جذبہ	ADJ;SG	N;NOM;MASC;SG;3
estèril	جدّت	estèril	جدّت	ADJ;SG	N;NOM;MASC;SG;3
estèril	بیہٹر	estèril	بیہٹر	ADJ;SG	PROPN;NOM;MASC;SG;3
estèril	جذبے	estèril	جذبہ	ADJ;SG	N;NOM;MASC;SG;3
estèril	جدّت	estèril	جدّت	ADJ;SG	N;NOM;MASC;SG;3
estèril	بانجھ	estèril	بانجھ	ADJ;SG	PROPN;NOM;MASC;SG;3
estèril	بیہٹر	estèril	بیہٹر	ADJ;SG	PROPN;NOM;MASC;SG;3
molèsties	تکلیف	molèstia	تکلیف	N;FEM;PL	N;NOM;FEM;SG;3
trencall	چکر	trencall	چکر		N;NOM;MASC;SG;3
plomall	پر	plomall	پر	ADJ;MASC;SG	ADP
plomall	کلغی.	plomall	کلغی.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
plomall	(	plomall	(	ADJ;MASC;SG	
epidermis	برادمہ	epidermi	برادمہ	N;MASC;SG	PROPN;NOM;MASC;SG;3
taüt	تابوت	taüt	تابوت	N;MASC;SG	PROPN;NOM;MASC;SG;3
lloança	قصیدہ	lloança	قصیدہ		N;NOM;MASC;SG;3
jovent	نوجوانی	jovent	نوجوانی		ADJ
jovent	جوش	jovent	جوش		N;NOM;MASC;SG;3
jovent	لڑکپن	jovent	لڑکپن		PROPN;NOM;MASC;SG;3
