que	dat	que	dat	CONJ	PRO;3
oficial	ambtenaar	oficial	ambtenaar	ADJ;SG	N;MASC+FEM;SG
oficial	officier	oficial	officier	ADJ;SG	N;MASC+FEM;SG
oficial	agent	oficial	agent	ADJ;SG	N;MASC+FEM;SG
quien	wie	quien	wie	PRO;SG	PRO;3
quien	who	quien	who	PRO;SG	
tanto	allebei	tanto	allebei	ADV	PRO
tanto	beiden	tanto	beide	ADV	PRO
tanto	beide	tanto	beide	ADV	PRO
mayo	mogen	mayo	mogen	N	V;PL;PRS;FIN
mayo	may	mayo	may	N	
mayo	mei	mayo	mei	N	PROPN;MASC+FEM;SG
mayo	mag	mayo	mogen	N	V;SG;PRS;FIN
mayo	moge	mayo	mogen	N	V;SG;PRS;FIN
temporada	seizoensgebonden	temporada	seizoensgebond	N;FEM;SG	N;PL
mejor	better	mejor	goed	ADV	
mejor	beter	mejor	goed	ADV	ADJ;CMPR
mejor	best	mejor	best	ADV	ADJ;RL
mejor	beste	mejor	goed	ADV	ADJ;RL
marzo	maart	marzo	maart	N	PROPN;MASC+FEM;SG
marzo	marcheren	marzo	marcheren	N	V;NFIN
enero	januari	enero	januari	N	PROPN;MASC+FEM;SG
agosto	augustus	agosto	augustus	N	PROPN;MASC+FEM;SG
diciembre	december	diciembre	december	N	PROPN;MASC+FEM;SG
noviembre	november	noviembre	november	N	PROPN;MASC+FEM;SG
otro	overige	otro	overig	PRO;MASC;SG	ADJ
otro	andere	otro	ander	PRO;MASC;SG	ADJ
otro	ander	otro	ander	PRO;MASC;SG	ADJ
otro	overig	otro	overig	PRO;MASC;SG	
estaba	was	estar	zijn	V;IND;SG;3;IPFV;FIN	V;SG;PST;FIN
abril	april	abril	april	N	PROPN;MASC+FEM;SG
real	real	real	real	ADJ;SG	N;MASC+FEM;SG
real	royal	real	royal	ADJ;SG	N;MASC+FEM;SG
mundial	wereld	mundial	wereld	ADJ;SG	N;MASC+FEM;SG
mundial	global	mundial	global	ADJ;SG	N;MASC+FEM;SG
casa	thuis	casa	thuis	N;FEM;SG	ADV
sólo	enkel	sólo	enkel	ADV	PRO
sólo	gewoon	sólo	gewoon	ADV	ADJ
debido	verschuldigd	debido	verschuldigd	ADJ	V;V.PTCP
debido	verschuldigde	debido	verschuldigen	ADJ	V;SG;PST;FIN
cuenta	telling	contar	telling	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
cuenta	graaf	contar	graaf	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
cuenta	tel	contar	tellen	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
cuenta	rekening	contar	rekening	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
cuenta	account	contar	accounen	V;IND;SG;3;PRS;FIN	N;NEUT;SG
junio	juni	junio	juni	N	PROPN;MASC+FEM;SG
febrero	februari	febrero	februari	N	PROPN;MASC+FEM;SG
ella	ella	él	ella	PRO;FEM;SG;3	N;MASC+FEM;SG
pueden	kan	poder	kunnen	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
pueden	kunt	poder	kunnen	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
varios	diversen	varios	divers	PRO;MASC;PL	N;PL
varios	diversen	varios	divers	PRO;MASC;PL	N;PL
varios	diverse	varios	divers	PRO;MASC;PL	ADJ
varios	divers	varios	diver	PRO;MASC;PL	ADJ
varios	diverse	varios	divers	PRO;MASC;PL	ADJ
varios	verschillende	varios	verschillend	PRO;MASC;PL	ADJ
varios	verschillende	varios	verschillend	PRO;MASC;PL	ADJ
varios	verscheidene	varios	verscheidene	PRO;MASC;PL	ADJ
francia	frankrijk	francia	frankrijk	PROPN	PROPN;NEUT;SG
solo	alone	solo	alone	ADV	
solo	solo	solo	solo	ADV	N;MASC+FEM;SG
solo	enkel	solo	enkel	ADV	PRO
solo	gewoon	solo	gewoon	ADV	ADJ
chile	chileense	chile	chileens	PROPN	ADJ
chile	chili	chile	chili	PROPN	N;NEUT;SG
chile	chili	chile	chili	PROPN	N;NEUT;SG
tipo	typ	tipo	typ	N;MASC;SG	V;SG;PRS;FIN
obra	werken	obra	werken	N;FEM;SG	V;NFIN
cuatro	four	cuatro	four	NUM;PL	
cuatro	cuatro	cuatro	cuatro	NUM;PL	N;MASC+FEM;SG
principal	main	principal	main	ADJ;SG	N;MASC+FEM;SG
principal	aangever	principal	aangever	ADJ;SG	N;MASC+FEM;SG
principal	schoolhoofd	principal	schoolhoofd	ADJ;SG	N;NEUT;SG
tuvo	hadden	tener	hebben	V;IND;SG;3;PST;FIN	V;PL;PST;FIN
carlos	charles	carlo	charles	N;MASC;SG	N;PL
km²	km²	kme	km²		N;MASC+FEM;SG
edición	bewerk	edición	bewerk	N;FEM;SG	V;SG;PRS;FIN
edición	bewerken	edición	bewerken	N;FEM;SG	V;NFIN
edición	bewerken	edición	bewerken	N;FEM;SG	V;NFIN
tenía	hadden	tener	hebben	V;IND;SG;3;IPFV;FIN	V;PL;PST;FIN
tenía	had	tener	hebben	V;IND;SG;3;IPFV;FIN	V;SG;PST;FIN
premios	prijsuitreiking	premio	prijsuitreiking	N;MASC;PL	N;MASC+FEM;SG
premios	onderscheiding	premio	onderscheiding	N;MASC;PL	N;MASC+FEM;SG
premios	gunning	premio	gunning	N;MASC;PL	N;MASC+FEM;SG
bien	lekker	bien	lekker	ADV	ADJ
bien	goed	bien	goed	ADV	ADJ
bien	prima	bien	prima	ADV	ADJ
poco	kleine	poco	klein	ADV	ADJ
poco	weinig	poco	weinig	ADV	PRO
poco	little	poco	little	ADV	
poco	klein	poco	klein	ADV	ADJ
orden	bestellen	orden	bestellen	N;MASC;SG	V;NFIN
estadounidense	amerikaan	estadounidense	amerikaan	ADJ;SG	N;MASC+FEM;SG
están	zijn	estar	zijn	V;IND;PL;3;PRS;FIN	V;PL;PRS;FIN
trabajo	werken	trabajo	werken	N;MASC;SG	V;NFIN
especie	diersoorten	especie	diersoort	N;FEM;SG	N;PL
especie	soorten	especie	soort	N;FEM;SG	N;PL
dentro	binnen	dentro	binnen	ADV	ADP
dentro	binnenkant	dentro	binnenkant	ADV	N;MASC+FEM;SG
obras	werkt	obra	werken	N;FEM;PL	V;SG;PRS;FIN
obras	werken	obra	werken	N;FEM;PL	V;NFIN
obras	speelt	obra	spelen	N;FEM;PL	V;SG;PRS;FIN
color	kleuren	color	kleur	N;MASC;SG	N;PL
superficie	bovengronds	superficie	bovengronds	N;FEM;SG	ADJ
francisco	frans	francisco	frans	N;MASC;SG	PROPN;MASC+FEM;SG
les	les	él	les	PRO;DAT;PL;3	N;MASC+FEM;SG
siguiente	volgende	siguiente	volgen	ADJ;SG	V;V.PTCP
siguiente	volgend	siguiente	volgen	ADJ;SG	V;V.PTCP
grandes	large	grande	larg	ADJ;PL	
grandes	big	grande	big	ADJ;PL	N;MASC+FEM;SG
grandes	grandes	grande	grande	ADJ;PL	N;PL
muerte	dood	muerte	dood	N;FEM;SG	ADJ
muerte	doods	muerte	doods	N;FEM;SG	ADJ
muerte	overlijden	muerte	overlijden	N;FEM;SG	V;NFIN
medio	medium	medio	medium	NUM;MASC;SG	N;NEUT;SG
medio	middellange	medio	middellang	NUM;MASC;SG	ADJ
medio	middelgrote	medio	middelgrote	NUM;MASC;SG	ADJ
medio	middelgroot	medio	middelgroot	NUM;MASC;SG	ADJ
medio	helft	medio	helft	NUM;MASC;SG	N;MASC+FEM;SG
medio	half	medio	half	NUM;MASC;SG	ADJ
menos	minder	menos	minder	ADV	PRO
largo	largo	largo	largo	ADJ;MASC;SG	N;MASC+FEM;SG
largo	long	largo	long	ADJ;MASC;SG	N;MASC+FEM;SG
hecho	made	hecho	made	ADJ;MASC;SG;V.PTCP	
hecho	gemaakt	hecho	maken	ADJ;MASC;SG;V.PTCP	V;V.PTCP
hecho	gedaan	hecho	doen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
hecho	feit	hecho	feit	ADJ;MASC;SG;V.PTCP	N;NEUT;SG
poder	macht	poder	macht	V;NFIN	N;MASC+FEM;SG
poder	kracht	poder	kracht	V;NFIN	N;MASC+FEM;SG
poder	power	poder	power	V;NFIN	N;MASC+FEM;SG
poder	vermogen	poder	vermogen	V;NFIN	N;NEUT;SG
pueblo	mensen	pueblo	mens	N;MASC;SG	N;PL
pueblo	personen	pueblo	persoon	N;MASC;SG	N;PL
veces	times	vez	time	N;FEM;PL	N;MASC+FEM;SG
todas	alle	todo	al	PRO;FEM;PL	DET
todas	allemaal	todo	allemaal	PRO;FEM;PL	ADV
york	york	york	york	PROPN	ADV
isbn	isbn	isbn	isbn	N	INTJ
hacer	making	hacer	making	V;NFIN	
misma	hetzelfde	mismo	hetzelfde	DET;FEM;SG	ADJ
misma	zelfde	mismo	zelfde	DET;FEM;SG	ADJ
misma	same	mismo	same	DET;FEM;SG	
ante	suède	ante	suède	ADP	N;MASC+FEM;SG
ante	ante	ante	ante	ADP	N;MASC+FEM;SG
conocido	gekend	conocido	kennen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
conocido	gekende	conocido	kenen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
conocido	kennismaking	conocido	kennismaking	ADJ;MASC;SG;V.PTCP	N;MASC+FEM;SG
conocido	kennis	conocido	kennis	ADJ;MASC;SG;V.PTCP	N;MASC+FEM;SG
frente	front	frente	front	N	
días	days	día	days	N;MASC;PL	N;MASC+FEM;SG
varias	verschillende	varios	verschillend	PRO;FEM;PL	ADJ
varias	verscheidene	varios	verscheidene	PRO;FEM;PL	ADJ
varias	diverse	varios	divers	PRO;FEM;PL	ADJ
varias	verschillende	varios	verschillend	PRO;FEM;PL	ADJ
lista	ready	lista	ready	N;FEM;SG	
lista	gereed	lista	gereed	N;FEM;SG	ADJ
lista	klaar	lista	klaar	N;FEM;SG	ADJ
jpg	jpg	jpg	jpg	PROPN	N;MASC+FEM;SG
campeonato	kampioenschappen	campeonato	kampioenschap	N;MASC;SG	N;PL
tarde	late	tarde	laat	ADV	ADJ
tarde	laat	tarde	laten	ADV	V;SG;PRS;FIN
tarde	avondje	tarde	avond	ADV	N;NEUT;SG
tarde	avond	tarde	avond	ADV	N;MASC+FEM;SG
tarde	middag	tarde	middag	ADV	N;MASC+FEM;SG
tarde	namiddag	tarde	namiddag	ADV	N;MASC+FEM;SG
tienen	heb	tener	hebben	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
ejército	militairen	ejército	militair	N;MASC;SG	N;PL
ejército	militair	ejército	militair	N;MASC;SG	ADJ
ejército	militaire	ejército	militair	N;MASC;SG	ADJ
porque	want	porque	want	CONJ	CONJ
aires	aires	aire	aires	N;MASC;PL	N;MASC+FEM;SG
actualmente	momenteel	actualmente	momenteel	ADV	ADJ
escuela	scholen	escuela	school	N;FEM;SG	N;PL
programa	programmeren	programa	programmeren	N;MASC;SG	V;NFIN
información	gegevens	información	gegeven	N;FEM;SG	N;PL
uso	uso	uso	uso	N;MASC;SG	
uso	gebruiken	uso	gebruiken	N;MASC;SG	V;NFIN
juegos	gamen	juego	gaam	N;MASC;PL	V;NFIN
juegos	gaming	juego	gaming	N;MASC;PL	N;MASC+FEM;SG
alemania	duitsland	alemania	duitsland	N;FEM;SG	PROPN;NEUT;SG
john	johannes	john	johanne	PROPN	N;PL
john	john	john	john	PROPN	N;MASC+FEM;SG
miembros	lidmaatschap	miembro	lidmaatschap	N;MASC;PL	N;NEUT;SG
pedro	piet	pedro	piet	N;MASC;SG	PROPN;MASC+FEM;SG
primeros	early	primero	early	ADJ;MASC;PL	
primeros	eerst	primero	eerst	ADJ;MASC;PL	ADV
datos	data	dato	data	N;MASC;PL	N;MASC+FEM;SG
manera	way	manera	way	N;FEM;SG	
diferentes	anders	diferente	anders	ADJ;PL	ADV
llamado	belde	llamado	bellen	ADJ;MASC;SG;V.PTCP	V;SG;PST;FIN
llamado	genoemd	llamado	noemen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
llamado	gebeld	llamado	bellen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
juego	gamen	juego	gaam	N;MASC;SG	V;NFIN
juego	gokken	juego	gok	N;MASC;SG	V;NFIN
arte	kunsten	arte	kunst	N;SG	N;PL
arte	kunstwerken	arte	kunstwerk	N;SG	N;PL
arte	illustraties	arte	illustratie	N;SG	N;PL
especies	diersoort	especie	diersoort	N;FEM;PL	N;MASC+FEM;SG
especies	soort	especie	soort	N;FEM;PL	N;SG
estilo	style	estilo	style	N;MASC;SG	
cine	bioscopen	cine	bioscoop	N;MASC;SG	N;PL
cine	films	cine	film	N;MASC;SG	N;PL
cine	bioscopen	cine	bioscoop	N;MASC;SG	N;PL
cine	films	cine	film	N;MASC;SG	N;PL
center	centreren	center	centreren	N;MASC;SG	V;NFIN
equipos	materiaal	equipo	materiaal	N;MASC;PL	N;NEUT;SG
equipos	uitrusting	equipo	uitrusting	N;MASC;PL	N;MASC+FEM;SG
equipos	apparatuur	equipo	apparatuur	N;MASC;PL	N;MASC+FEM;SG
equipos	materieel	equipo	materieel	N;MASC;PL	N;NEUT;SG
puntos	hechten	punto	hecht	N;MASC;PL	V;NFIN
puntos	gehecht	punto	hechten	N;MASC;PL	V;V.PTCP
perú	perú	perú	perú	PROPN	N;MASC+FEM;SG
perú	peru	perú	peru	PROPN	PROPN;NEUT;SG
militar	militairen	militar	militair	ADJ;SG	N;PL
militar	krijgsmacht	militar	krijgsmacht	ADJ;SG	N;MASC+FEM;SG
américa	amerika	américa	amerika	N;FEM;SG	PROPN;NEUT;SG
américa	amerika	américa	amerika	N;FEM;SG	PROPN;NEUT;SG
ubicado	gelokaliseerd	ubicado	lokaliseren	ADJ;MASC;SG;V.PTCP	V;V.PTCP
italia	italia	italia	italia	PROPN	N;MASC+FEM;SG
italia	italië	italia	italië	PROPN	PROPN;NEUT;SG
manuel	manuel	manuel	manuel	PROPN	N;MASC+FEM;SG
manuel	manny	manuel	manny	PROPN	N;MASC+FEM;SG
manuel	emmanuel	manuel	emmanuel	PROPN	N;MASC+FEM;SG
tener	heb	tener	hebben	V;NFIN	V;SG;PRS;FIN
plantas	plant	planta	plant	N;FEM;PL	N;MASC+FEM;SG
debe	moeten	deber	moeten	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
debe	moet	deber	moeten	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
metros	meter	metro	meter	N;MASC;PL	N;MASC+FEM;SG
metros	meter	metro	meter	N;MASC;PL	N;MASC+FEM;SG
metros	meter	metro	meter	N;MASC;PL	N;MASC+FEM;SG
oro	golden	oro	golden	N;MASC;SG	N;PL
oro	gouden	oro	gouden	N;MASC;SG	ADJ
posteriormente	later	posteriormente	laat	ADV	ADJ;CMPR
construcción	bouwen	construcción	bouwen	N;FEM;SG	V;NFIN
construcción	bouwen	construcción	bouwen	N;FEM;SG	V;NFIN
francés	frans	francés	frans	N;MASC;SG	PROPN;MASC+FEM;SG
francés	fransen	francés	frans	N;MASC;SG	PROPN;MASC+FEM;SG
francés	franse	francés	frans	N;MASC;SG	ADJ
cultura	cultureel	cultura	cultureel	N;FEM;SG	ADJ
cultura	culturele	cultura	cultureel	N;FEM;SG	ADJ
santiago	james	santiago	jame	N;MASC;SG	N;PL
cerca	close	cerca	close	ADV	N;MASC+FEM;SG
cerca	afsluiten	cerca	afsluiten	ADV	V;NFIN
cerca	sluiten	cerca	sluiten	ADV	V;NFIN
cerca	sluit	cerca	sluiten	ADV	V;SG;PRS;FIN
cerca	dichtbij	cerca	dichtbij	ADV	ADJ
cerca	dichtbij	cerca	dichtbij	ADV	ADJ
estudio	studeer	estudio	studeer	N;MASC;SG	V;SG;PRS;FIN
estudio	studeren	estudio	studeren	N;MASC;SG	V;NFIN
estudio	bestuderen	estudio	bestuderen	N;MASC;SG	V;NFIN
principales	main	principal	main	ADJ;PL	N;MASC+FEM;SG
com	com	com	com		N;MASC+FEM;SG
finalmente	eindelijk	finalmente	eindelijk	ADV	ADJ
finalmente	uiteindelijk	finalmente	uiteindelijk	ADV	ADJ
cinco	cinco	cinco	cinco	NUM;PL	N;MASC+FEM;SG
cinco	five	cinco	five	NUM;PL	N;MASC+FEM;SG
anterior	eerder	anterior	eerder	ADJ;SG	ADV
anterior	voorgaande	anterior	voorgaan	ADJ;SG	V;V.PTCP
anterior	eerdere	anterior	eerder	ADJ;SG	PRO
cargo	opladen	cargo	opladen	N;MASC;SG	V;NFIN
derecho	juist	derecho	juist	N;MASC;SG	ADV
derecho	recht	derecho	recht	N;MASC;SG	ADJ
derecho	rechts	derecho	rechts	N;MASC;SG	ADJ
gracias	thnx	gracias	thnx	N	INTJ
gracias	bedankt	gracias	bedanken	N	V;V.PTCP
gracias	dank	gracias	danken	N	V;SG;PRS;FIN
mucho	veel	mucho	veel	ADV	PRO
mucho	much	mucho	much	ADV	
millones	miljoen	millón	miljoen	N;MASC;PL	N;NEUT;SG
fin	beëindigen	fin	beëindigen	N;MASC;SG	V;NFIN
acuerdo	akkoord	acuerdo	akkoord	N;MASC;SG	ADJ
lado	side	lado	side	N;MASC;SG	
colombia	colombiaanse	colombia	colombiaans	N;FEM;SG	ADJ
colombia	colombiaans	colombia	colombiaan	N;FEM;SG	ADJ
rock	rotsen	rock	rotsen	N;MASC;SG	N;PL
político	politica	político	politica	ADJ;MASC;SG	N;MASC+FEM;SG
político	politicus	político	politicus	ADJ;MASC;SG	N;MASC+FEM;SG
político	politiek	político	politiek	ADJ;MASC;SG	N;MASC+FEM;SG
películas	bioscoop	película	bioscoop	N;FEM;PL	N;MASC+FEM;SG
ver	weergave	ver	weergave	V;NFIN	N;MASC+FEM;SG
ver	uitzicht	ver	uitzicht	V;NFIN	N;NEUT;SG
fuera	buiten	fuera	buiten	ADV	ADP
fuera	buitenkant	fuera	buitenkant	ADV	ADJ
fuera	uit	fuera	uit	ADV	ADP
fuera	out	fuera	out	ADV	
pesar	betreuren	pesar	betreuren	N	V;NFIN
tal	dergelijke	tal	dergelijke	N	ADJ
alto	alto	alto	alto	ADJ;MASC;SG	N;MASC+FEM;SG
alto	high	alto	high	ADJ;MASC;SG	
alto	tall	alto	tall	ADJ;MASC;SG	N;MASC+FEM;SG
