что	hva	что	hva	PRO;NOM	N;INDF;NEUT;SG
лет	år	год	år	N;INAN;GEN;MASC;PL	N;INDF;NEUT;SG
они	de	они	de	PRO;NOM;PL;3	PRO;HUM;NOM;PL;2
они	they	они	they	PRO;NOM;PL;3	N
того	togo	то	togo	PRO;INAN;GEN;NEUT;SG	N;INDF;NEUT;SG
города	byen	город	by	N;INAN;NOM;MASC;PL	N;DEF;MASC;SG
города	poststed	город	poststed	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
города	by	город	by	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
может	kansje	мочь	kansje	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
может	kanskje	мочь	kanskje	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	kunne	мочь	kunne	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PST;FIN
может	can	мочь	cann	V;IPFV;IND;SG;3;PRS;FIN;ACT	N
она	hun	она	hun	PRO;NOM;FEM;SG;3	
она	she	она	she	PRO;NOM;FEM;SG;3	N;INDF;SG
войны	krigen	война	krig	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
войны	krig	война	krig	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
можно	kan	можно	kunne	ADV	V;IND;PRS;FIN
можно	can	можно	cann	ADV	N
когда	when	когда	when	CONJ	
когда	når	когда	når	CONJ	ADV
однако	imidlertid	однако	imidlertid	ADV	N;INDF;FEM;SG
однако	imidlertid	однако	imidlertid	ADV	N;INDF;FEM;SG
которые	hvilket	который	hvilk	PRO;NOM	N;DEF;NEUT;SG
которые	hvilken	который	hvilk	PRO;NOM	N;DEF;MASC;SG
стал	ble	стать	ble	V;PFV;MASC;IND;SG;PST;FIN;ACT	
один	alone	один	alone	NUM;NOM;MASC	N
один	åleine	один	åleine	NUM;NOM;MASC	ADV
один	alene	один	alene	NUM;NOM;MASC	N;INDF;SG
один	aleine	один	aleine	NUM;NOM;MASC	ADV
один	odin	один	odin	NUM;NOM;MASC	N;INDF;MASC;SG
один	one	один	one	NUM;NOM;MASC	
один	en	один	en	NUM;NOM;MASC	
один	ett	один	ett	NUM;NOM;MASC	
один	én	один	én	NUM;NOM;MASC	
без	without	без	without	ADP	N;INDF;NEUT;SG
без	uten	без	uten	ADP	N;INDF;NEUT;SG
реки	elven	река	elven	N;INAN;NOM;FEM;PL	
реки	river	река	rive	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
реки	elv	река	elv	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
реки	rivers	река	rivers	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
годы	ar	год	ar	N;INAN;ACC;MASC;PL	N;INDF;MASC;SG
годы	årevis	год	årevis	N;INAN;ACC;MASC;PL	ADV
годы	år	год	år	N;INAN;ACC;MASC;PL	N;INDF;NEUT;SG
через	through	через	through	ADP	
национальный	nasjonale	национальный	nasjonal	ADJ;NOM;MASC;SG	ADJ;PL
национальный	national	национальный	national	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
сельское	landlige	сельский	landlig	ADJ;NOM;NEUT;SG	ADJ;PL
века	middelalderen	век	middelalder	N;INAN;NOM;MASC;PL	N;DEF;MASC;SG
официальный	official	официальный	official	ADJ;NOM;MASC;SG	N
официальный	offisielle	официальный	offisiell	ADJ;NOM;MASC;SG	ADJ;PL
часть	del	часть	dele	N;INAN;NOM;FEM;SG	V;IMP;FIN
этот	this	этот	this	DET;NOM;MASC;SG	
этот	dette	этот	dette	DET;NOM;MASC;SG	PRO;NEUT;SG;3
этот	denne	этот	denne	DET;NOM;MASC;SG	PRO;SG;3
этот	detta	этот	dette	DET;NOM;MASC;SG	PRO;NEUT;SG;3
будет	will	быть	will	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;SG
несколько	flere	несколько	flere	ADV	
несколько	multippel	несколько	multippel	ADV	N;INDF;NEUT;SG
несколько	litt	несколько	litt	ADV	ADJ;INDF;NEUT;SG
несколько	noe	несколько	noe	ADV	
город	town	город	town	N;INAN;NOM;MASC;SG	PROPN
первое	først	первый	først	ADJ;NOM;NEUT;SG	ADV
первое	forst	первый	forst	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
первое	first	первый	first	ADJ;NOM;NEUT;SG	N
чем	than	чем	than	CONJ	N;INDF
чем	enn	чем	enn	CONJ	ADP
всего	totalt	все	total	PRO;INAN;GEN;NEUT;SG	ADJ;INDF;NEUT;SG
всего	totale	все	total	PRO;INAN;GEN;NEUT;SG	ADJ;PL
всего	total	все	total	PRO;INAN;GEN;NEUT;SG	ADJ;INDF;SG
первый	først	первый	først	ADJ;NOM;MASC;SG	ADV
первый	forst	первый	forst	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
первый	first	первый	first	ADJ;NOM;MASC;SG	N
карты	kart	карта	kart	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
два	two	два	Two	NUM;NOM;MASC	
всех	alt	все	alt	PRO;ANIM;ACC;PL	PRO;NEUT;SG;3
всех	all	все	all	PRO;ANIM;ACC;PL	DET;MASC;SG
раз	once	раз	once	CONJ	N;INDF
второй	sekund	второй	sekund	ADJ;NOM;MASC;SG	N;INDF;NEUT;SG
второй	andre	второй	annan	ADJ;NOM;MASC;SG	DET;PL
второй	second	второй	second	ADJ;NOM;MASC;SG	N
очень	svært	очень	svær	ADV	ADJ;INDF;NEUT;SG
очень	very	очень	very	ADV	
очень	meget	очень	meget	ADV	N;DEF;NEUT;SG
очень	veldig	очень	veldig	ADV	ADJ;INDF;NEUT;SG
главы	kapitler	глава	kapittel	N;ANIM;NOM;MASC;PL	N;INDF;MASC;SG
площадь	plaza	площадь	plaz	N;INAN;NOM;FEM;SG	PROPN
площадь	kvadratisk	площадь	kvadratisk	N;INAN;NOM;FEM;SG	ADJ;INDF;NEUT;SG
всё	everything	все	everything	PRO;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
всё	allting	все	allting	PRO;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
даже	even	даже	even	PART	N;INDF;MASC;SG
даже	selv	даже	selv	PART	
даже	tilogmed	даже	tilogmed	PART	N;INDF;MASC;SG
даже	sjølv	даже	sjølv	PART	ADV
группы	gruppe	группа	gruppe	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
группы	gruppen	группа	grupp	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
основания	grunnlag	основание	grunnlag	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;SG
над	overstått	над	overstå	ADP	ADJ;INDF;SG;V.PTCP
над	bortom	над	bortom	ADP	N;INDF;MASC;SG
страны	fedreland	страна	fedreland	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
страны	landet	страна	land	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
страны	land	страна	land	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
страны	land	страна	land	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
ему	ham	он	ham	PRO;DAT;MASC;SG;3	N;INDF;MASC;SG
ему	him	он	him	PRO;DAT;MASC;SG;3	N
улица	street	улица	stre	N;INAN;NOM;FEM;SG	PROPN
работы	arbeid	работа	arbeid	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
работы	arbeide	работа	arbeide	N;INAN;NOM;FEM;PL	V;NFIN
работы	jobbe	работа	jobbe	N;INAN;NOM;FEM;PL	V;NFIN
работы	jobb	работа	jobb	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
имена	navn	имя	navn	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;SG
вместе	sammen	вместе	sam	ADV	
вместе	together	вместе	together	ADV	N;INDF;MASC;SG
упоминание	nevner	упоминание	nevne	N;INAN;NOM;NEUT;SG	V;IND;PRS;FIN
упоминание	nevner	упоминание	nevne	N;INAN;NOM;NEUT;SG	V;IND;PRS;FIN
упоминание	nevne	упоминание	nevne	N;INAN;NOM;NEUT;SG	V;NFIN
истории	hendelser	история	hendelse	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
истории	historikk	история	historikk	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
истории	history	история	history	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
истории	historie	история	historie	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
которая	hvilket	который	hvilk	PRO;NOM	N;DEF;NEUT;SG
которая	hvilken	который	hvilk	PRO;NOM	N;DEF;MASC;SG
армии	hærer	армия	hære	N;INAN;NOM;FEM;SG	N;INDF;MASC;PL
хотя	selvom	хотя	selvom	CONJ	N;INDF;MASC;SG
хотя	skjønt	хотя	skjøne	CONJ	ADJ;INDF;NEUT;SG;V.PTCP
хотя	though	хотя	though	CONJ	N
кроме	utenom	кроме	utenom	ADP	N;INDF;NEUT;SG
кроме	untatt	кроме	unta	ADP	ADJ;INDF;NEUT;SG
кроме	unntatt	кроме	unnta	ADP	ADJ;INDF;NEUT;SG
игроки	spillere	игрок	spillere	N;ANIM;NOM;MASC;PL	V;NFIN
другие	andre	другой	annan	ADJ;NOM;PL	DET;PL
другие	annet	другой	annet	ADJ;NOM;PL	N;INDF;NEUT;SG
другие	annen	другой	annen	ADJ;NOM;PL	N;INDF;MASC;SG
другие	andre	другой	annan	ADJ;NOM;PL	DET;PL
получил	henta	получить	hente	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
получил	got	получить	got	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;INDF;MASC;SG
получил	har	получить	ha	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PRS;FIN
себя	myself	себя	myself	PRO;ACC	N;INDF;MASC;SG
пункты	avsnitt	пункт	avsnitt	N;INAN;NOM;MASC;PL	N;INDF;NEUT;SG
либо	heller	либо	heller	CONJ	ADV
участник	deltaker	участник	deltaker	N;ANIM;NOM;MASC;SG	N;INDF;MASC;PL
страница	siden	страница	siden	N;INAN;NOM;FEM;SG	
википедии	wikipedia	википедия	wikipedia	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
три	three	три	three	NUM;NOM	N
человека	menneskelig	человек	menneskelig	N;ANIM;ACC;MASC;SG	ADJ;INDF;NEUT;SG
республики	republikken	республика	republikk	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
республики	republikk	республика	republikk	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
внутреннее	indre	внутренний	indre	ADJ;NOM;NEUT;SG	ADJ;CMPR
эти	desse	этот	desse	DET;NOM;PL	PRO;PL;3
эти	disse	этот	disse	DET;NOM;PL	N;INDF;NEUT;SG
жизни	liv	жизнь	liv	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
жизни	livet	жизнь	liv	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
жизни	life	жизнь	life	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
жизни	lives	жизнь	lives	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
генерал	generell	генерал	generell	N;ANIM;NOM;MASC;SG	ADJ;INDF;SG
генерал	generelt	генерал	generell	N;ANIM;NOM;MASC;SG	ADJ;INDF;NEUT;SG
родился	born	рождаться	barn	V;PFV;MASC;IND;SG;PST;FIN;MID	N;INDF;NEUT;PL
родился	født	рождаться	føde	V;PFV;MASC;IND;SG;PST;FIN;MID	ADJ;INDF;SG;V.PTCP
кто	who	кто	who	PRO;NOM	N
кто	hvem	кто	hvem	PRO;NOM	N;INDF;MASC;SG
связи	kommunikasjon	связь	kommunikasjon	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
именно	presis	именно	presis	PART	ADJ;INDF;SG
именно	nøyaktig	именно	nøyaktig	PART	ADJ;INDF;NEUT;SG
именно	akkurat	именно	akkurat	PART	ADV
именно	nettopp	именно	nettopp	PART	ADV
именно	eksakt	именно	eksakt	PART	ADJ;INDF;NEUT;SG
индексы	indekser	индекс	indeks	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
округа	distrikter	округ	distrikt	N;INAN;GEN;MASC;SG	N;INDF;FEM;PL
франции	frankrike	франция	frankrike	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
игры	spill	игра	spill	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
игры	spel	игра	spel	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
игры	games	игра	game	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
цифровой	digitale	цифровой	digital	ADJ;NOM;MASC;SG	ADJ;PL
цифровой	digital	цифровой	digital	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
ширина	bredde	ширина	bredde	N;INAN;NOM;FEM;SG	ADJ;SG
ширина	bredde	ширина	bredde	N;INAN;NOM;FEM;SG	ADJ;SG
просто	berre	просто	berre	PART	ADV
просто	akkurat	просто	akkurat	PART	ADV
просто	bare	просто	bare	PART	ADV
просто	nettopp	просто	nettopp	PART	ADV
просто	just	просто	just	PART	N;INDF;MASC;SG
отечественной	patriotiske	отечественный	patriotisk	ADJ;INS;FEM;SG	ADJ;PL
вот	her	вот	her	PART	ADV
работал	jobbet	работать	jobb	V;IPFV;MASC;IND;SG;PST;FIN;ACT	N;DEF;NEUT;SG
работал	funka	работать	funke	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
работал	funket	работать	funke	V;IPFV;MASC;IND;SG;PST;FIN;ACT	N;DEF;NEUT;SG
ввп	bnp	ввп	bnp	N;INAN;NOM;MASC;SG	N;NEUT
больше	fleire	больше	mange	ADV;CMPR	ADJ;CMPR
больше	fler	больше	fler	ADV;CMPR	N;INDF;NEUT;SG
больше	flere	больше	flere	ADV;CMPR	
больше	mer	больше	mer	ADV;CMPR	N;INDF;MASC;SG
больше	meir	больше	mykje	ADV;CMPR	ADJ;CMPR
больше	mere	больше	mere	ADV;CMPR	N;INDF;MASC;SG
федерации	føderasjonen	федерация	føderasjon	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
федерации	federation	федерация	federation	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
федерации	føderasjon	федерация	føderasjon	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
федерации	federations	федерация	federations	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
наиболее	most	наиболее	most	ADV	N;INDF;FEM;SG
наиболее	meste	наиболее	mykje	ADV	ADJ;DEF;RL
наиболее	mest	наиболее	mykje	ADV	ADJ;INDF;RL
изображения	bildet	изображение	bilde	N;INAN;NOM;NEUT;PL	N;DEF;NEUT;SG
изображения	bilde	изображение	bilde	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;SG
советский	sovjetiske	советский	sovjetisk	ADJ;NOM;MASC;SG	ADJ;PL
степени	grad	степень	grad	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
северо	northwestern	северо	northwestern	ADV	N;INDF;MASC;SG
награды	utmerkelser	награда	utmerkelse	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
награды	utdelingen	награда	utdeling	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
награды	awards	награда	Award	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
награды	utmerkelse	награда	utmerkelse	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
ранее	tidligere	ранее	tidligere	ADV	N;INDF;FEM;SG
ранее	tidligere	ранее	tidligere	ADV	N;INDF;FEM;SG
перед	before	перед	brfor	ADP	N;INDF;NEUT;SG
германии	tyskland	германия	tyskland	N;INAN;ESS;NEUT;SG	PROPN
системы	systems	система	systems	N;INAN;NOM;FEM;PL	N;INDF;SG
системы	system	система	system	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
стала	ble	стать	ble	V;PFV;FEM;IND;SG;PST;FIN;ACT	
стороны	sides	сторона	side	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
стороны	partier	сторона	parti	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
академии	akademi	академия	akademi	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
академии	academy	академия	academy	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
две	two	два	Two	NUM;NOM;FEM	
некоторые	some	некоторый	some	DET;NOM;PL	N
некоторые	noen	некоторый	noen	DET;NOM;PL	
некоторые	enkelte	некоторый	enkelt	DET;NOM;PL	ADJ;PL
менее	færre	менее	få	ADV;CMPR	ADJ;CMPR
менее	less	менее	less	ADV;CMPR	
менее	mindre	менее	liten	ADV;CMPR	ADJ;CMPR
юго	sørvest	южный	sørvest	N;INAN;NOM;MASC;SG	ADP
дом	hjemme	дом	hjemme	N;INAN;NOM;MASC;SG	
дом	heime	дом	heime	N;INAN;NOM;MASC;SG	ADP
высоты	heights	высота	heights	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
русский	russer	русский	russer	ADJ;NOM;MASC;SG	N;INDF;FEM;PL
орден	bestille	орден	bestille	N;INAN;NOM;MASC;SG	V;NFIN
сам	myself	сам	myself	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
пока	bye	пока	bye	CONJ	N;INDF;MASC;SG
общины	samfunn	община	samfunn	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
общины	fellesskap	община	fellesskap	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
общины	samfunnet	община	samfunn	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
общины	samfunn	община	samfunn	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
общины	fellesskapet	община	fellesskap	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
эта	this	этот	this	DET;NOM;FEM;SG	
эта	dette	этот	dette	DET;NOM;FEM;SG	PRO;NEUT;SG;3
эта	denne	этот	denne	DET;NOM;FEM;SG	PRO;SG;3
эта	detta	этот	dette	DET;NOM;FEM;SG	PRO;NEUT;SG;3
нужно	trenge	нужный	trenge	ADJ;NEUT;SG	V;IMP;NFIN
нужно	treng	нужный	trenge	ADJ;NEUT;SG	V;IND;PRS;FIN
нужно	need	нужный	need	ADJ;NEUT;SG	N
нужно	behov	нужный	behov	ADJ;NEUT;SG	N;INDF;NEUT;SG
нужно	trenger	нужный	trenger	ADJ;NEUT;SG	V;IND;PRS;FIN
большой	large	большой	larg	ADJ;NOM;MASC;SG	N
большой	big	большой	big	ADJ;NOM;MASC;SG	N;INDF;SG
большой	store	большой	stor	ADJ;NOM;MASC;SG	ADJ;PL
являются	are	являться	are	V;IPFV;IND;PL;3;PRS;FIN;MID	PROPN
являются	er	являться	vere	V;IPFV;IND;PL;3;PRS;FIN;MID	V;IND;PRS;FIN
компании	firma	компания	firme	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
компании	selskap	компания	selskap	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
компании	kompani	компания	kompani	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
компании	bedrift	компания	bedrift	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
советского	sovjetiske	советский	sovjetisk	ADJ;GEN;MASC;SG	ADJ;PL
много	tomter	много	tomter	ADV	N;INDF;FEM;PL
много	mangt	много	mangt	ADV	N;INDF;MASC;SG
много	many	много	many	ADV	N
много	mangen	много	mang	ADV	N;DEF;MASC;SG
много	mange	много	mange	ADV	ADJ;PL
много	mye	много	mye	ADV	N;INDF;MASC;SG
сельский	landlige	сельский	landlig	ADJ;NOM;MASC;SG	ADJ;PL
сельский	rustikk	сельский	rustikk	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
вопрос	problem	вопрос	problem	N;INAN;NOM;MASC;SG	N;INDF;NEUT;PL
новый	nyhet	новый	nyh	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
новый	nye	новый	ny	ADJ;NOM;MASC;SG	ADJ;PL
новый	new	новый	new	ADJ;NOM;MASC;SG	N;INDF;SG
тоже	óg	тоже	òg	PART	ADV
тоже	too	тоже	too	PART	N
тоже	også	тоже	også	PART	ADV
фильмы	kino	фильм	kino	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
часто	ofte	часто	ofte	ADV	ADJ
часто	ofte	часто	ofte	ADV	ADJ
часто	hyppige	часто	hyppig	ADV	ADJ;PL
часто	hyppig	часто	hyppig	ADV	ADJ;INDF;NEUT;SG
почти	almost	почти	almost	ADV	N
сокорро	socorro	сокорро	socorro		N;INDF;NEUT;SG
партии	partier	партия	parti	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
настоящее	nåværende	настоящий	nåværende	ADJ;NOM;NEUT;SG	N;INDF;NEUT;SG
настоящее	presentere	настоящий	presentere	ADJ;NOM;NEUT;SG	V;NFIN
настоящее	presang	настоящий	presang	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
настоящее	nåtid	настоящий	nåtid	ADJ;NOM;NEUT;SG	N;INDF;FEM;SG
настоящее	tilstede	настоящий	tilsted	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
стали	stål	стать	stål	V;PFV;IND;PL;PST;FIN;ACT	N;INDF;MASC;SG
организации	organisasjon	организация	organisasjon	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
организации	organisasjonen	организация	organisasjon	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
организации	organisasjoner	организация	organisasjon	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
сейчас	now	сейчас	now	ADV	N;INDF;MASC;SG
империи	imperier	империя	imperium	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
империи	empire	империя	empire	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
империи	imperiet	империя	imperium	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
империи	keiserdømmet	империя	keiserdøm	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
империи	imperium	империя	imperium	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
река	elven	река	elven	N;INAN;NOM;FEM;SG	
участников	deltakere	участник	deltakere	N;ANIM;GEN;MASC;PL	N;INDF;NEUT;SG
участников	deltakerne	участник	deltakerne	N;ANIM;GEN;MASC;PL	N;INDF;MASC;SG
участников	deltagere	участник	deltagere	N;ANIM;GEN;MASC;PL	N;INDF;MASC;SG
одна	alone	один	alone	DET;NOM;FEM;SG	N
одна	åleine	один	åleine	DET;NOM;FEM;SG	ADV
одна	alene	один	alene	DET;NOM;FEM;SG	N;INDF;SG
одна	aleine	один	aleine	DET;NOM;FEM;SG	ADV
одна	one	один	one	DET;NOM;FEM;SG	
одна	en	один	en	DET;NOM;FEM;SG	
одна	ett	один	ett	DET;NOM;FEM;SG	
одна	én	один	én	DET;NOM;FEM;SG	
станции	stasjon	станция	stasjon	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
станции	holdeplass	станция	holdeplass	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
людей	mennesker	человек	menneske	N;ANIM;GEN;MASC;PL	N;INDF;MASC;SG
возможно	kanskje	возможный	kanskje	ADJ;NEUT;SG	ADV
возможно	kansje	возможный	kansje	ADJ;NEUT;SG	N;INDF;MASC;SG
возможно	kanskje	возможный	kanskje	ADJ;NEUT;SG	ADV
возможно	mulige	возможный	mulige	ADJ;NEUT;SG	ADJ;PL
возможно	muligens	возможный	mulig	ADJ;NEUT;SG	N;GEN;DEF;MASC;SG
возможно	antageligvis	возможный	antageligvis	ADJ;NEUT;SG	ADV
возможно	antakelig	возможный	antakelig	ADJ;NEUT;SG	N;INDF;MASC;SG
возможно	sannsynligvis	возможный	sannsynligvis	ADJ;NEUT;SG	ADV
окончил	uteksaminert	окончить	uteksaminere	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
команды	teamene	команда	team	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
команды	team	команда	team	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
такие	slikt	такой	slikt	DET;NOM;PL	PRO;NEUT;SG;3
такие	slik	такой	slik	DET;NOM;PL	ADV
такие	sådan	такой	sådan	DET;NOM;PL	N;INDF;MASC;SG
ссылки	referanser	ссылка	referanse	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
