ausscheiden	звільнення	ausscheiden	звільнення	V;NFIN	N;INAN;NOM;NEUT;SG
musikern	музиканти	musikern	музикант	V;NFIN	N;ANIM;NOM;MASC;PL
grob	грубо	grob	грубо	ADJ	ADV
grob	rough	grob	rough	ADJ	
dialekt	діалект	dialekt	діалект	ADJ	N;INAN;NOM;MASC;SG
dialekt	діалектів	dialekt	діалект	ADJ	N;INAN;GEN;MASC;PL
philologie	філологія	philologie	філологія	PROPN;NOM;SG	N;INAN;NOM;FEM;SG
hofmann	гофманн	hofmann	гофманн	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
südkorea	тайвань	südkorea	тайвання	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG
südkorea	корея	südkorea	корея	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;FEM;SG
südkorea	кореї	südkorea	корія	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;FEM;SG
südkorea	сеулі	südkorea	сеуль	PROPN;NOM;MASC;SG	PROPN;INAN;DAT;MASC;SG
beachtung	увага	beachtung	увага		N;INAN;NOM;FEM;SG
beachtung	зважити	beachtung	зважити		V;PFV;NFIN
grimm	грімм	greimen	грім		PROPN;ANIM;NOM;MASC;SG
merkmal	характеристика	merkmal	характеристика	ADJ	N;INAN;NOM;FEM;SG
merkmal	можливість	merkmal	можливість	ADJ	N;INAN;NOM;FEM;SG
merkmal	риса	merkmal	риса	ADJ	N;INAN;NOM;FEM;SG
orthodoxen	orthodox	orthodox	orthodox	ADJ	
epoche	епохи	epoch	епох	N;SG	N;INAN;NOM;FEM;PL
engineering	техніка	engineering	техніка	PROPN	N;INAN;NOM;FEM;SG
engineering	інженерних	engineering	інженерний	PROPN	ADJ;GEN;PL
engineering	інженерія	engineering	інженерія	PROPN	N;INAN;NOM;FEM;SG
rechnung	рахунок	rechnung	рахунок	PROPN;SG	N;INAN;NOM;MASC;SG
rechnung	обліку	rechnung	облік	PROPN;SG	N;INAN;GEN;MASC;SG
rechnung	рахунки	rechnung	рахунок	PROPN;SG	N;INAN;NOM;MASC;PL
rechnung	накладними	rechnung	накладна	PROPN;SG	ADJ;INS;PL
rechnung	білла	rechnung	білла	PROPN;SG	PROPN;ANIM;NOM;FEM;SG
rechnung	білл	rechnung	білл	PROPN;SG	PROPN;ANIM;NOM;MASC;SG
rechnung	фактура	rechnung	фактура	PROPN;SG	N;INAN;NOM;FEM;SG
rechnung	біл	rechnung	білий	PROPN;SG	
browser	браузер	brows	браузер	ADJ	N;INAN;NOM;MASC;SG
browser	навігатор	brows	навігатор	ADJ	N;INAN;NOM;MASC;SG
browser	переглядач	brows	переглядач	ADJ	N;INAN;NOM;MASC;SG
konsul	консул	konsul	консул		N;ANIM;NOM;MASC;SG
stab	стаб	stab	стаб		N;INAN;NOM;MASC;SG
stab	род	stab	родати		
draft	чернетку	drafen	чернетка	PROPN;NOM;SG	N;INAN;ACC;FEM;SG
draft	чернетка	drafen	чернетка	PROPN;NOM;SG	N;INAN;NOM;FEM;SG
draft	чернетки	drafen	чернетка	PROPN;NOM;SG	N;INAN;NOM;FEM;PL
benannten	названої	benennen	названий	V;PL;FIN	ADJ;PFV;GEN;FEM;SG;V.PTCP;PASS
benannten	призначені	benennen	призначений	V;PL;FIN	ADJ;PFV;NOM;PL;V.PTCP;PASS
wertung	оцінок	wertung	оцінка	N;FEM;SG	N;INAN;GEN;FEM;PL
vorschriften	статут	vorschreifen	статут	V;NFIN	N;INAN;NOM;MASC;SG
vorschriften	постанов	vorschreifen	постанова	V;NFIN	N;INAN;GEN;FEM;PL
vorschriften	правила	vorschreifen	правило	V;NFIN	N;INAN;NOM;NEUT;PL
vorschriften	вимоги	vorschreifen	вимога	V;NFIN	N;INAN;NOM;FEM;PL
vorschriften	специфікації	vorschreifen	специфікація	V;NFIN	N;INAN;NOM;FEM;PL
eintracht	айнтрахт	eintrachen	айнтрахт	PROPN	N;INAN;NOM;MASC;SG
eintracht	гармонія	eintrachen	гармонія	PROPN	N;INAN;NOM;FEM;SG
eintracht	harmony	eintrachen	harmony	PROPN	
eintragen	регістр	eintragen	регістр	V;NFIN	N;INAN;NOM;MASC;SG
eintragen	реєстрація	eintragen	реєстрація	V;NFIN	N;INAN;NOM;FEM;SG
eintragen	enter	eintragen	enter	V;NFIN	
ähnelt	схожа	ähneln	схожий	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG
ähnelt	схожий	ähneln	схожий	V;IND;SG;3;PRS;FIN	ADJ;NOM;MASC;SG
rad	кермо	raden	кермо		N;INAN;NOM;NEUT;SG
rad	колесо	raden	колесо		N;INAN;NOM;NEUT;SG
rad	рад	raden	рад		N;INAN;GEN;FEM;PL
götter	боги	gott	бог		N;ANIM;NOM;MASC;PL
lass	скарбу	laß	скарб	V;IND;SG;2;PRS;FIN	N;INAN;GEN;MASC;SG
lass	хай	laß	хай	V;IND;SG;2;PRS;FIN	PART
lass	нехай	laß	нехай	V;IND;SG;2;PRS;FIN	
harz	гарц	harz	гарц		PROPN;INAN;NOM;MASC;SG
harz	смола	harz	смола		N;INAN;NOM;FEM;SG
beitragen	надання	beitragen	надання	V;NFIN	N;INAN;NOM;NEUT;SG
lars	ларс	lars	ларс	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
lucas	лукас	lucas	лукас	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
schiedsrichter	арбітр	schiedsrichter	арбітр	ADJ	N;ANIM;NOM;MASC;SG
schiedsrichter	рефері	schiedsrichter	рефер	ADJ	N;ANIM;NOM;MASC;SG
schiedsrichter	суддя	schiedsrichter	суддя	ADJ	N;ANIM;NOM;MASC;SG
schiedsrichter	referees	schiedsrichter	referees	ADJ	
dünn	рідше	dünn	рідше	ADJ	ADV;CMPR
bestimmungen	статут	bestimmung	статут	V;NFIN	N;INAN;NOM;MASC;SG
bestimmungen	постанов	bestimmung	постанова	V;NFIN	N;INAN;GEN;FEM;PL
mauern	стіну	mauern	стіна	V;NFIN	N;INAN;ACC;FEM;SG
mauern	стіна	mauern	стіна	V;NFIN	N;INAN;NOM;FEM;SG
mauern	стіні	mauern	стіна	V;NFIN	N;INAN;DAT;FEM;SG
mauern	стіни	mauern	стіна	V;NFIN	N;INAN;NOM;FEM;PL
mauern	мури	mauern	мура	V;NFIN	N;INAN;NOM;MASC;PL
three	три	threen	три	PROPN	NUM;NOM
three	втрьох	threen	втріх	PROPN	N;ANIM;NOM;MASC;PL
three	трійка	threen	трійка	PROPN	N;INAN;NOM;FEM;SG
verlieren	втрати	verlieren	втрата	V;NFIN	N;INAN;NOM;FEM;PL
verlieren	програш	verlieren	програш	V;NFIN	N;INAN;NOM;MASC;SG
gefangenschaft	полоні	gefangenschaft	полон	ADJ	N;INAN;DAT;MASC;SG
gefangenschaft	затримання	gefangenschaft	затримання	ADJ	N;INAN;NOM;NEUT;SG
gefangenschaft	утримання	gefangenschaft	утримання	ADJ	N;INAN;NOM;NEUT;SG
gefangenschaft	полон	gefangenschaft	полон	ADJ	N;INAN;NOM;MASC;SG
henning	геннінг	hennengen	геннінг	PROPN;NOM;MASC;SG	
comics	comics	comic	comics	PROPN	
comics	комікси	comic	комікс	PROPN	N;INAN;NOM;MASC;PL
comics	комікс	comic	комікс	PROPN	N;INAN;NOM;MASC;SG
comics	comic	comic	comic	PROPN	
comics	комікс	comic	комікс	PROPN	N;INAN;NOM;MASC;SG
umfassenden	комплексне	umfassend	комплексний	V;FIN	ADJ;NOM;NEUT;SG
sainte	сент	sainen	сент	PROPN;NOM;SG	
moon	місяця	moon	місяць	PROPN;NOM;SG	N;INAN;GEN;MASC;SG
moon	місяць	moon	місяць	PROPN;NOM;SG	N;INAN;NOM;MASC;SG
moon	мун	moon	мун	PROPN;NOM;SG	
moon	місячні	moon	місячний	PROPN;NOM;SG	ADJ;NOM;PL
moon	супутник	moon	супутник	PROPN;NOM;SG	N;INAN;NOM;MASC;SG
wem	кого	wer	хто	ADV	PRO;ANIM;ACC;MASC;SG
wem	хто	wer	хто	ADV	PRO;ANIM;NOM;MASC;SG
wem	who	wer	who	ADV	
wem	чиє	wer	чий	ADV	PRO;INAN;NOM;NEUT;SG
wem	чиї	wer	чий	ADV	NUM;NOM
wem	чия	wer	чия	ADV	DET;NOM;FEM;SG
wem	чий	wer	чий	ADV	DET;NOM;MASC;SG
teufel	hell	teufel	hell		
teufel	пекло	teufel	пекло		N;INAN;NOM;NEUT;SG
teufel	чорти	teufel	чорт		N;ANIM;NOM;MASC;PL
teufel	диявол	teufel	диявол		N;ANIM;NOM;MASC;SG
teufel	біс	teufel	біс		
teufel	сатана	teufel	сатаний		N;ANIM;NOM;MASC;SG
teufel	дияволи	teufel	диявота		N;ANIM;NOM;MASC;PL
notre	нотр	notre	нотр	PROPN;SG	
leinwand	полотно	leinwand	полотно		N;INAN;NOM;NEUT;SG
leinwand	полотна	leinwand	полотний		N;INAN;NOM;NEUT;SG
leinwand	екрана	leinwand	екран		N;INAN;GEN;MASC;SG
leinwand	екран	leinwand	екран		N;INAN;NOM;MASC;SG
rugby	регбі	rugby	регбі	PROPN	N;INAN;NOM;MASC;SG
vorhaben	project	vorhaben	project		
vorhaben	проект	vorhaben	проект		N;INAN;NOM;MASC;SG
vorhaben	проекти	vorhaben	проект		N;INAN;NOM;MASC;PL
vorhaben	проектів	vorhaben	проект		N;INAN;GEN;MASC;PL
verarbeitet	оброблені	verarbeiten	оброблений	V;V.PTCP	ADJ;PFV;NOM;PL;V.PTCP;PASS
riga	рига	riga	рига	PROPN;NOM;SG	PROPN;INAN;NOM;MASC;SG
riga	риги	riga	рига	PROPN;NOM;SG	PROPN;INAN;GEN;FEM;SG
funktionieren	функціонування	funktionieren	функціонування	V;NFIN	N;INAN;NOM;NEUT;SG
vorn	front	vorn	front	ADV	
vorn	передні	vorn	передній	ADV	ADJ;NOM;PL
vorn	фронт	vorn	фронт	ADV	N;INAN;NOM;MASC;SG
vorn	передній	vorn	передній	ADV	ADJ;NOM;MASC;SG
madonna	мадонна	madonna	мадонний	PROPN;NOM;SG	ADJ;NOM;FEM;SG
roberto	роберто	roberto	роберто	PROPN	PROPN;ANIM;NOM;FEM;SG
bedeutend	значно	bedeutend	значно	ADJ	ADV
wohnen	живі	wohnen	живий	V;NFIN	ADJ;NOM;PL
wohnen	житло	wohnen	житло	V;NFIN	N;INAN;NOM;NEUT;SG
wohnen	live	wohnen	live	V;NFIN	
wohnen	наживо	wohnen	наживо	V;NFIN	ADV
wohnen	трансляція	wohnen	трансляція	V;NFIN	N;INAN;NOM;FEM;SG
vorfahren	пращурів	vorfahren	пращур		N;ANIM;ACC;MASC;PL
vorfahren	пращур	vorfahren	пращура		N;ANIM;NOM;MASC;SG
level	рівень	level	рівень		N;INAN;NOM;MASC;SG
ressourcen	виконавця	ressourc	виконавець	V;NFIN	N;ANIM;ACC;MASC;SG
ressourcen	ресурсу	ressourc	ресурс	V;NFIN	N;INAN;GEN;MASC;SG
ressourcen	ресурс	ressourc	ресурс	V;NFIN	N;INAN;NOM;MASC;SG
ressourcen	виконавець	ressourc	виконавець	V;NFIN	N;ANIM;NOM;MASC;SG
ressourcen	ресурси	ressourc	ресурс	V;NFIN	N;INAN;NOM;MASC;PL
ressourcen	виконавців	ressourc	виконавець	V;NFIN	N;ANIM;ACC;MASC;PL
ressourcen	виконавці	ressourc	виконавець	V;NFIN	N;ANIM;NOM;MASC;PL
ressourcen	ресурси	ressourc	ресурс	V;NFIN	N;INAN;NOM;MASC;PL
laura	лора	laura	лора	PROPN;NOM;SG	PROPN;ANIM;NOM;FEM;SG
laura	лаура	laura	лаура	PROPN;NOM;SG	PROPN;ANIM;NOM;FEM;SG
zeichnen	нічия	zeichnen	нічия	V;NFIN	N;INAN;NOM;FEM;SG
zeichnen	креслення	zeichnen	креслення	V;NFIN	N;INAN;NOM;NEUT;SG
zeichnen	малюнок	zeichnen	малюнок	V;NFIN	N;INAN;NOM;MASC;SG
zeichnen	малювання	zeichnen	малювання	V;NFIN	N;INAN;NOM;NEUT;SG
zeichnen	замальовки	zeichnen	замальовка	V;NFIN	N;INAN;NOM;MASC;PL
essays	твори	essays	твір		N;INAN;NOM;MASC;PL
bürgerschaft	громадянство	bürgerschaft	громадянство	ADJ	N;INAN;NOM;NEUT;SG
vorträge	лекції	vortragen	лекція	ADJ;NOM;PL	N;INAN;NOM;FEM;PL
vorträge	доповідей	vortragen	доповідь	ADJ;NOM;PL	N;INAN;GEN;FEM;PL
vorträge	конференцій	vortragen	конференція	ADJ;NOM;PL	N;INAN;GEN;FEM;PL
vorträge	презентації	vortragen	презентація	ADJ;NOM;PL	N;INAN;NOM;FEM;PL
vorträge	презентацій	vortragen	презентація	ADJ;NOM;PL	N;INAN;GEN;FEM;PL
vorträge	розповідає	vortragen	розповідати	ADJ;NOM;PL	V;IPFV;IND;SG;3;PRS;FIN
vorträge	розмовляє	vortragen	розмовляти	ADJ;NOM;PL	V;IPFV;IND;SG;3;PRS;FIN
vorträge	говорить	vortragen	говорити	ADJ;NOM;PL	V;IPFV;IND;SG;3;PRS;FIN
vorträge	лекції	vortragen	лекція	ADJ;NOM;PL	N;INAN;NOM;FEM;PL
vorträge	лекція	vortragen	лекція	ADJ;NOM;PL	N;INAN;NOM;FEM;SG
haushalten	родин	haushalten	родина	V;NFIN	N;INAN;ACC;FEM;PL
wilde	дикі	wilden	дикий		ADJ;NOM;PL
wilde	дикий	wilden	дикий		ADJ;NOM;MASC;SG
wilde	wild	wilden	wild		
wilde	диких	wilden	дикий		ADJ;ANIM;ACC;PL
wilde	уайльд	wilden	уайльд		PROPN;ANIM;NOM;MASC;SG
wilde	здичавілі	wilden	здичавілий		ADJ;PFV;NOM;PL;V.PTCP;PASS
wilde	дикун	wilden	дикун		N;ANIM;NOM;MASC;SG
mathias	матіас	mathias	мати	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
österreichisch	австро	österreichisch	австро	ADJ	
mont	мон	mont	мон	PROPN;NOM;SG	
rumpf	галл	rumpf	галл	ADJ	PROPN;ANIM;NOM;MASC;SG
rumpf	тулуб	rumpf	тулуб	ADJ	N;INAN;NOM;MASC;SG
rumpf	фюзеляж	rumpf	фюзеляж	ADJ	N;INAN;NOM;MASC;SG
rumpf	багажник	rumpf	багажник	ADJ	N;INAN;NOM;MASC;SG
rumpf	колода	rumpf	колода	ADJ	N;INAN;NOM;FEM;SG
anfangen	старт	anfangen	старт	V;NFIN	N;INAN;NOM;MASC;SG
anfangen	початок	anfangen	початок	V;NFIN	N;INAN;NOM;MASC;SG
anfangen	початок	anfangen	початок	V;NFIN	N;INAN;NOM;MASC;SG
arabische	арабських	arabisch	арабський	ADJ;NOM;FEM;PL	ADJ;GEN;PL
arabische	арабський	arabisch	арабський	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
arabische	арабська	arabisch	арабський	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
arabische	арабський	arabisch	арабський	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
lyrik	ліричних	lyrik	ліричний		ADJ;GEN;PL
lyrik	поезія	lyrik	поезія		N;INAN;NOM;FEM;SG
belgrad	белграда	belgrad	белграда	PROPN;NOM;SG	PROPN;INAN;GEN;MASC;SG
maryland	меріленд	maryland	меріленд	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG
abhängigkeit	залежність	abhängigkeit	залежність	V;SG;FIN	N;INAN;NOM;FEM;SG
abhängigkeit	залежність	abhängigkeit	залежність	V;SG;FIN	N;INAN;NOM;FEM;SG
abhängigkeit	залежність	abhängigkeit	залежність	V;SG;FIN	N;INAN;NOM;FEM;SG
ankunft	прилітають	ankunft	прилітати	N;FEM;SG	V;IPFV;IND;PL;3;PRS;FIN
ankunft	приїхати	ankunft	приїхати	N;FEM;SG	V;PFV;NFIN
gerichte	посуд	gericht	посуд		N;INAN;NOM;MASC;SG
gerichte	страв	gericht	страва		N;INAN;GEN;FEM;PL
gerichte	страви	gericht	страва		N;INAN;NOM;FEM;PL
gerichte	суди	gericht	судити		N;INAN;NOM;MASC;PL
gerichte	судів	gericht	суд		N;INAN;GEN;MASC;PL
mörder	убивці	mörder	убивка	ADJ	N;ANIM;NOM;MASC;PL
mörder	вбивці	mörder	вбивка	ADJ	N;ANIM;NOM;FEM;PL
mörder	убивця	mörder	убивець	ADJ	N;ANIM;NOM;MASC;SG
mörder	вбивця	mörder	вбивець	ADJ	N;ANIM;NOM;MASC;SG
mörder	убивця	mörder	убивець	ADJ	N;ANIM;NOM;MASC;SG
mörder	вбивця	mörder	вбивець	ADJ	N;ANIM;NOM;MASC;SG
mörder	убивці	mörder	убивка	ADJ	N;ANIM;NOM;MASC;PL
mörder	вбивці	mörder	вбивка	ADJ	N;ANIM;NOM;FEM;PL
mörder	скоєні	mörder	скоєний	ADJ	N;ANIM;NOM;MASC;PL
sofia	софійська	sofia	софійський	PROPN;SG	ADJ;NOM;FEM;SG
sofia	софія	sofia	софія	PROPN;SG	N;ANIM;NOM;FEM;SG
verändern	зміна	verändern	зміна	V;NFIN	N;INAN;NOM;FEM;SG
verändern	зміна	verändern	зміна	V;NFIN	N;INAN;NOM;FEM;SG
abu	абу	abu	абий	PROPN;NOM;MASC;SG	
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG	
stürmer	вперед	stürm	вперед	ADJ	
stürmer	уперед	stürm	уперед	ADJ	
heller	хеллер	hell	хеллер	ADJ	
befreit	звільнені	befreien	звільнений	V;V.PTCP	ADJ;PFV;NOM;PL;V.PTCP;PASS
emanuel	емануель	emanuel	емануель	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
emanuel	еммануель	emanuel	еммануель	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
naturschutz	охорони	naturschutz	охорона	ADJ	N;INAN;GEN;FEM;SG
naturschutz	енергозбереження	naturschutz	енергозбереження	ADJ	N;INAN;NOM;NEUT;SG
naturschutz	природа	naturschutz	природа	ADJ	N;INAN;NOM;FEM;SG
anliegen	стосується	anliegen	стосуватися		V;IPFV;IND;SG;3;PRS;FIN
kohle	вугілля	kohl	вугілля		N;INAN;NOM;NEUT;SG
kohle	тісто	kohl	тісто		N;INAN;NOM;NEUT;SG
kohle	крейдою	kohl	крейда		N;INAN;INS;FEM;SG
erteilt	виданий	erteilen	виданий	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
graham	грем	graham	грем	PROPN;NOM;SG	
hauptsitz	штаб	hauptsitz	штаб	V;V.PTCP	N;INAN;NOM;MASC;SG
caroline	кароліна	caroline	каролін	PROPN;NOM;FEM;SG	N;INAN;NOM;FEM;SG
caroline	керолайн	caroline	керолайн	PROPN;NOM;FEM;SG	PROPN;ANIM;NOM;FEM;SG
kaiserreich	імперія	kaiserreich	імперія	PROPN	N;INAN;NOM;FEM;SG
kaiserreich	імператорський	kaiserreich	імператорський	PROPN	ADJ;NOM;MASC;SG
kaiserreich	імперський	kaiserreich	імперський	PROPN	ADJ;NOM;MASC;SG
kaiserreich	imperial	kaiserreich	imperial	PROPN	
konzern	корпоративні	konzern	корпоративний		ADJ;NOM;PL
konzern	відділу	konzern	відділ		N;INAN;GEN;MASC;SG
konzern	група	konzern	група		N;INAN;NOM;FEM;SG
konzern	групова	konzern	груповий		ADJ;NOM;FEM;SG
konzern	груповий	konzern	груповий		ADJ;NOM;MASC;SG
konzern	групу	konzern	група		N;INAN;ACC;FEM;SG
konzern	спільнота	konzern	спільнота		N;INAN;NOM;FEM;SG
konzern	consolidated	konzern	consolidated		
konzern	корпорація	konzern	корпорація		N;INAN;NOM;FEM;SG
marokko	марокко	marokko	марокко	PROPN	PROPN;INAN;NOM;FEM;SG
gebeten	молитву	bitten	молитво	V;V.PTCP	N;INAN;ACC;FEM;SG
gebeten	молитви	bitten	молитва	V;V.PTCP	N;INAN;NOM;FEM;PL
wörtlich	буквально	wörtlich	буквально	ADJ	ADV
wörtlich	дослівно	wörtlich	дослівно	ADJ	N;INAN;NOM;NEUT;SG
wrestling	боротьба	wrestlingen	боротьба	ADJ	N;INAN;NOM;FEM;SG
ryan	раян	ryan	раян	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
manga	манга	manga	манг		N;INAN;NOM;FEM;SG
demo	демонстрація	demo	демонстрація		N;INAN;NOM;FEM;SG
demo	демо	demo	дема		
renault	renault	renaulen	renault	PROPN;SG	
turner	гімнастка	turn	гімнастка	PROPN;NOM;SG	N;ANIM;NOM;FEM;SG
turner	тернер	turn	тернер	PROPN;NOM;SG	PROPN;ANIM;NOM;MASC;SG
einnahmen	вклади	einnehmen	вклад	V;NFIN	N;INAN;NOM;MASC;PL
einnahmen	прибуток	einnehmen	прибуток	V;NFIN	N;INAN;NOM;MASC;SG
einnahmen	дохід	einnehmen	дохід	V;NFIN	N;INAN;NOM;MASC;SG
einnahmen	прибутки	einnehmen	прибуток	V;NFIN	N;INAN;NOM;MASC;PL
einnahmen	прибуток	einnehmen	прибуток	V;NFIN	N;INAN;NOM;MASC;SG
einnahmen	дохід	einnehmen	дохід	V;NFIN	N;INAN;NOM;MASC;SG
kritiken	огляди	kritik	огляд	ADJ;PL	N;INAN;NOM;MASC;PL
kritiken	відгуки	kritik	відгук	ADJ;PL	N;INAN;NOM;MASC;PL
kritiken	критиків	kritik	критик	ADJ;PL	N;ANIM;ACC;MASC;PL
kritiken	критика	kritik	критика	ADJ;PL	N;INAN;NOM;FEM;SG
kritiken	критики	kritik	критика	ADJ;PL	N;INAN;NOM;FEM;PL
dorothea	доротея	dorothea	доротей	PROPN;NOM;FEM;SG	PROPN;ANIM;NOM;FEM;SG
renoviert	запровадження	renovieren	запровадження	V;V.PTCP	N;INAN;NOM;NEUT;SG
suhrkamp	suhrkamp	suhrkamp	suhrkamp	PROPN	
kreuzung	перехресті	kreuzung	перехресть		N;INAN;DAT;FEM;SG
kreuzung	перетин	kreuzung	перетина		N;INAN;NOM;MASC;SG
kreuzung	перехрестя	kreuzung	перехрестя		N;INAN;NOM;NEUT;SG
kritisierte	критикували	kritisieren	критикувати	V;IND;SG;3;PST;FIN	V;IPFV;IND;PL;PST;FIN
gilbert	гілберт	gilbern	гілберт	PROPN	PROPN;ANIM;NOM;MASC;SG
jemals	ever	jemals	ever	ADV	
aufeinander	послідовних	aufeinander	послідовний	ADV	ADJ;GEN;PL
aufeinander	підряд	aufeinander	підряд	ADV	
aufeinander	послідовними	aufeinander	послідовний	ADV	ADJ;INS;PL
benennung	зустріч	benennung	зустріч	ADJ	N;INAN;NOM;FEM;SG
benennung	найменування	benennung	найменування	ADJ	N;INAN;NOM;NEUT;SG
benennung	номінації	benennung	номінація	ADJ	N;INAN;NOM;FEM;PL
benennung	позначення	benennung	позначення	ADJ	N;INAN;NOM;NEUT;SG
captain	капітан	captain	капітан	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
kirchliche	церковної	kirchlich	церковний	ADJ;NOM;FEM;PL	ADJ;GEN;FEM;SG
ausgang	вивести	ausgang	вивести		V;PFV;NFIN
ausgang	вивід	ausgang	вивід		N;INAN;NOM;MASC;SG
ausgang	виведення	ausgang	виведення		N;INAN;NOM;NEUT;SG
ausgang	висловлювання	ausgang	висловлювання		N;INAN;NOM;NEUT;SG
ausgang	виводу	ausgang	вивід		N;INAN;GEN;MASC;SG
ausgang	вихідний	ausgang	вихідний		ADJ;NOM;MASC;SG
ausgang	вихідні	ausgang	вихідний		ADJ;NOM;PL
ausgang	вихід	ausgang	вихід		N;INAN;NOM;MASC;SG
