تلاقی	reunion	تلاقی	reunion	ADJ	N
تلفیق	fabrication	تلفیق	fabrication	PROPN;NOM;MASC;SG;3	N
تلقّی	họp	تلقّی	họp	PROPN;NOM;MASC;SG;3	V
تلقیح	fertilization	تلقیح	fertilization	PROPN;NOM;MASC;SG;3	N
تلقیح	pollination	تلقیح	pollination	PROPN;NOM;MASC;SG;3	
تلقین	dạy	تلقین	dạy	N;NOM;FEM;SG;3	V
تِلک	sếp	تِلک	sếp		N
تِلک	consecration	تِلک	consecration		N
تُللّی	luồng	تُللّی	luồng	PROPN;NOM;MASC;SG;3	
تُللّی	suối	تُللّی	suối	PROPN;NOM;MASC;SG;3	N
تُللّی	stream	تُللّی	stream	PROPN;NOM;MASC;SG;3	
تُللّی	luồng	تُللّی	luồng	PROPN;NOM;MASC;SG;3	
تُللّی	màng	تُللّی	màng	PROPN;NOM;MASC;SG;3	N
تُللّی	flow	تُللّی	flow	PROPN;NOM;MASC;SG;3	N
تلملی	uro	تلملی	uro	PROPN;NOM;MASC;SG;3	
تلمُود	talmud	تلمُود	talmud	PROPN;NOM;MASC;SG;3	N
تلمیذ	bmi	تلمیذ	bmi	PROPN;NOM;MASC;SG;3	NUM
تلمیع	deception	تلمیع	deception	PROPN;NOM;MASC;SG;3	V
تلوار	sabre	تلوار	sabre	PROPN;NOM;MASC;SG;3	N
تلوار	scimitar	تلوار	scimitar	PROPN;NOM;MASC;SG;3	
تلوار	sabre	تلوار	sabre	PROPN;NOM;MASC;SG;3	N
تلوار	scimitar	تلوار	scimitar	PROPN;NOM;MASC;SG;3	
تلوار	gươm	تلوار	gươm	PROPN;NOM;MASC;SG;3	N
تلوار	kiếm	تلوار	kiếm	PROPN;NOM;MASC;SG;3	V
تلّہ	ao	تلّہ	ao		N
تِلہا	nhờn	تِلہا	nhờn	PROPN;NOM;MASC;SG;3	N
تِلہا	nhờn	تِلہا	nhờn	PROPN;NOM;MASC;SG;3	N
تلی	bottom	تلی	bottom	N;NOM;FEM;SG;3	
تلے	subordinate	تلا	subordinate	N;NOM;MASC;SG;3	
تلے	under	تلا	under	N;NOM;MASC;SG;3	
تلے	subordinate	تلا	subordinate	N;NOM;MASC;SG;3	
تِلیر	starling	تِلیر	starling	PROPN;NOM;MASC;SG;3	
تلَینڈُو	page	تلَینڈُو	page	PROPN;NOM;MASC;SG;3	
تلَینڈُو	trang	تلَینڈُو	trang	PROPN;NOM;MASC;SG;3	N
تماچہ	tát	تماچہ	tát		V
تماخِرہ	jest	تماخِرہ	jest	PROPN;NOM;MASC;SG;3	
تماخِرہ	fun	تماخِرہ	fun	PROPN;NOM;MASC;SG;3	N
تماخِرہ	ké	تماخِرہ	ké	PROPN;NOM;MASC;SG;3	N
تماخِرہ	vui	تماخِرہ	vui	PROPN;NOM;MASC;SG;3	
تماخِرہ	joke	تماخِرہ	joke	PROPN;NOM;MASC;SG;3	N
تماخِرہ	đùa	تماخِرہ	đùa	PROPN;NOM;MASC;SG;3	V
تماخِرہ	đểu	تماخِرہ	đểu	PROPN;NOM;MASC;SG;3	PART
تماس	lạc	تماس	lạc		N
تماس	bond	تماس	bond		N
تماس	touch	تماس	touch		N
تماس	ống	تماس	ống		N
تماس	sờ	تماس	sờ		V
تماس	chạm	تماس	chạm		V
تماسُک	cohesion	تماسُک	cohesion	PROPN;NOM;MASC;SG;3	N
تماسُک	coherence	تماسُک	coherence	PROPN;NOM;MASC;SG;3	V
تماسُک	binding	تماسُک	binding	PROPN;NOM;MASC;SG;3	
تماشا	sport	تماشا	sport	PROPN;NOM;MASC;SG;3	N
تماشا	oddity	تماشا	oddity	PROPN;NOM;MASC;SG;3	
تماشا	fun	تماشا	fun	PROPN;NOM;MASC;SG;3	N
تماشا	ké	تماشا	ké	PROPN;NOM;MASC;SG;3	N
تماشا	vui	تماشا	vui	PROPN;NOM;MASC;SG;3	
تماشا	sport	تماشا	sport	PROPN;NOM;MASC;SG;3	N
تماشا	oddity	تماشا	oddity	PROPN;NOM;MASC;SG;3	
تماشا	fun	تماشا	fun	PROPN;NOM;MASC;SG;3	N
تماشا	ké	تماشا	ké	PROPN;NOM;MASC;SG;3	N
تماشا	vui	تماشا	vui	PROPN;NOM;MASC;SG;3	
تماشا	xem	تماشا	xem	PROPN;NOM;MASC;SG;3	V
تماشا	hiện	تماشا	hiện	PROPN;NOM;MASC;SG;3	N
تماشا	show	تماشا	show	PROPN;NOM;MASC;SG;3	
تماشا	entertainment	تماشا	entertainment	PROPN;NOM;MASC;SG;3	N
تماشاگر	diễn	تماشاگر	diễn	PROPN;NOM;MASC;SG;3	V
تماشائی	spectator	تماشائی	spectator	ADJ	
تمام	toàn	تمام	toàn	ADJ	N
تمام	hẹt	تمام	hẹt	ADJ	
تمام	whole	تمام	whole	ADJ	
تمام	end	تمام	end	ADJ	
تمام	kết	تمام	kết	ADJ	N
تمام	tổng	تمام	tổng	ADJ	N
تمام	say	تمام	say	ADJ	V
تمام	full	تمام	full	ADJ	
تمام	hết	تمام	hết	ADJ	V
تمام	toàn	تمام	toàn	ADJ	N
تمام	hẹt	تمام	hẹt	ADJ	
تمام	whole	تمام	whole	ADJ	
تمام	end	تمام	end	ADJ	
تمام	kết	تمام	kết	ADJ	N
تمام	tổng	تمام	tổng	ADJ	N
تمام	say	تمام	say	ADJ	V
تمام	full	تمام	full	ADJ	
تمامی	cuối	تمامی	cuối	ADJ	N
تمامی	toàn	تمامی	toàn	ADJ	N
تمامی	hẹt	تمامی	hẹt	ADJ	
تمامی	whole	تمامی	whole	ADJ	
تمامی	tổng	تمامی	tổng	ADJ	N
تماہُل	hoãn	تماہُل	hoãn	PROPN;NOM;MASC;SG;3	V
تماہُل	delay	تماہُل	delay	PROPN;NOM;MASC;SG;3	N
تماہُل	lười	تماہُل	lười	PROPN;NOM;MASC;SG;3	ADJ
تمبُو	lều	تمبُو	lều	PROPN;NOM;MASC;SG;3	N
تمبُورہ	tambourine	تمبُورہ	tambourine	PROPN;NOM;MASC;SG;3	
تمتُّع	delight	تمتُّع	delight	PROPN;NOM;MASC;SG;3	
تمتمانا	ngời	تمتمانا	ngời	PROPN;NOM;MASC;SG;3	N
تمتمانا	glow	تمتمانا	glow	PROPN;NOM;MASC;SG;3	N
تمتماہٹ	ngời	تمتماہٹ	ngời	PROPN;NOM;MASC;SG;3	N
تمتماہٹ	glow	تمتماہٹ	glow	PROPN;NOM;MASC;SG;3	N
تِمثال	nh	تِمثال	nh	PROPN;NOM;MASC;SG;3	N
تِمثال	hình	تِمثال	hình	PROPN;NOM;MASC;SG;3	N
تِمثال	ảnh	تِمثال	ảnh	PROPN;NOM;MASC;SG;3	N
تِمثال	ảnh	تِمثال	ảnh	PROPN;NOM;MASC;SG;3	N
تمثیل	allegory	تمثیل	allegory	N;NOM;MASC;SG;3	
تمثیل	dụ	تمثیل	dụ	N;NOM;MASC;SG;3	V
تمثیل	play	تمثیل	play	N;NOM;MASC;SG;3	V
تمثیل	chơi	تمثیل	chơi	N;NOM;MASC;SG;3	V
تمثیل	at	تمثیل	at	N;NOM;MASC;SG;3	
تمثیل	allegory	تمثیل	allegory	N;NOM;MASC;SG;3	
تمثیل	dụ	تمثیل	dụ	N;NOM;MASC;SG;3	V
تمثیل	play	تمثیل	play	N;NOM;MASC;SG;3	V
تمثیل	chơi	تمثیل	chơi	N;NOM;MASC;SG;3	V
تمثیل	at	تمثیل	at	N;NOM;MASC;SG;3	
تمدُّنی	civic	تمدُّنی	civic	ADJ;NOM	N
تمرُّد	loạn	تمرُّد	loạn	PROPN;NOM;MASC;SG;3	V
تمریض	nursing	تمریض	nursing	PROPN;NOM;MASC;SG;3	NUM
تمسخرُ	jest	تمسخرُ	jest	PROPN;NOM;MASC;SG;3	
تمسخرُ	fun	تمسخرُ	fun	PROPN;NOM;MASC;SG;3	N
تمسخرُ	ké	تمسخرُ	ké	PROPN;NOM;MASC;SG;3	N
تمسخرُ	vui	تمسخرُ	vui	PROPN;NOM;MASC;SG;3	
تمسخرُ	đùa	تمسخرُ	đùa	PROPN;NOM;MASC;SG;3	V
تمسکّ	bond	تمسکّ	bond	PROPN;NOM;MASC;SG;3	N
تمک	ngạo	تمک	ngạo		N
تمکُّن	sục	تمکُّن	sục	PROPN;NOM;MASC;SG;3	V
تمکُّن	lực	تمکُّن	lực	PROPN;NOM;MASC;SG;3	N
تمکُّن	stay	تمکُّن	stay	PROPN;NOM;MASC;SG;3	N
تمکَنت	sục	تمکَنت	sục	PROPN;NOM;MASC;SG;3	V
تمکَنت	lực	تمکَنت	lực	PROPN;NOM;MASC;SG;3	N
تمکین	kiên	تمکین	kiên	PROPN;NOM;MASC;SG;3	ADJ
تمکین	ân	تمکین	ân	PROPN;NOM;MASC;SG;3	N
تمکین	grace	تمکین	grace	PROPN;NOM;MASC;SG;3	
تمکین	tha	تمکین	tha	PROPN;NOM;MASC;SG;3	V
تملُّق	nịnh	تملُّق	nịnh	PROPN;NOM;MASC;SG;3	V
تمنّا	mong	تمنّا	mong	PROPN;NOM;MASC;SG;3	V
تمنّا	xoa	تمنّا	xoa	PROPN;NOM;MASC;SG;3	
تمنّا	ước	تمنّا	ước	PROPN;NOM;MASC;SG;3	
تمنّا	nguyện	تمنّا	nguyện	PROPN;NOM;MASC;SG;3	N
تمنّا	mong	تمنّا	mong	PROPN;NOM;MASC;SG;3	V
تمنّا	xoa	تمنّا	xoa	PROPN;NOM;MASC;SG;3	
تمنّا	ước	تمنّا	ước	PROPN;NOM;MASC;SG;3	
تمنّا	nguyện	تمنّا	nguyện	PROPN;NOM;MASC;SG;3	N
تموُّج	xáo	تموُّج	xáo	PROPN;NOM;MASC;SG;3	V
تموُّج	uro	تموُّج	uro	PROPN;NOM;MASC;SG;3	
تمویہہ	deception	تمویہہ	deception	PROPN;NOM;MASC;SG;3	V
تمہید	preface	تمہید	preface	N;NOM;MASC;SG;3	
تمہید	preface	تمہید	preface	N;NOM;MASC;SG;3	
تُمھارا	của	تُمھارا	của	PROPN;NOM;MASC;SG;3	ADP
تُمھی	các	تُمھی	các	PROPN;NOM;MASC;SG;3	DET
تُمھی	cac	تُمھی	cac	PROPN;NOM;MASC;SG;3	
تُمھی	bạn	تُمھی	bạn	PROPN;NOM;MASC;SG;3	N
تُمھی	anh	تُمھی	anh	PROPN;NOM;MASC;SG;3	N
تُمھی	cô	تُمھی	cô	PROPN;NOM;MASC;SG;3	N
تن	người	تن	người	V;ACT	N
تناپا	bloom	تناپا	bloom	PROPN;NOM;MASC;SG;3	
تناپا	blooms	تناپا	blooms	PROPN;NOM;MASC;SG;3	
تناپا	nở	تناپا	nở	PROPN;NOM;MASC;SG;3	V
تنازُل	sáp	تنازُل	sáp	PROPN;NOM;MASC;SG;3	V
تنازُل	rơi	تنازُل	rơi	PROPN;NOM;MASC;SG;3	V
تنازُل	sút	تنازُل	sút	PROPN;NOM;MASC;SG;3	V
تنازُل	ngã	تنازُل	ngã	PROPN;NOM;MASC;SG;3	N
تنازُل	descent	تنازُل	descent	PROPN;NOM;MASC;SG;3	
تناسُب	accord	تناسُب	accord	PROPN;NOM;MASC;SG;3	N
تناسُب	harmony	تناسُب	harmony	PROPN;NOM;MASC;SG;3	
تناسُل	lineage	تناسُل	lineage	PROPN;NOM;MASC;SG;3	N
تناوُل	ăn	تناوُل	ăn	PROPN;NOM;MASC;SG;3	V
تنائو	duỗi	تنائو	duỗi		V
تنبل	lat	تنبل	lat		N
تنبل	biếng	تنبل	biếng		ADJ
تنبل	lười	تنبل	lười		ADJ
تنبلی	lười	تنبلی	lười	PROPN;NOM;MASC;SG;3	ADJ
تنبُو	pavilion	تنبُو	pavilion	PROPN;NOM;MASC;SG;3	N
تنبُو	canopy	تنبُو	canopy	PROPN;NOM;MASC;SG;3	N
تنبول	cash	تنبول	cash	PROPN;NOM;MASC;SG;3	
تنبولا	đỏ	تنبولا	đỏ	PROPN;NOM;MASC;SG;3	N
تنبُّہ	cảnh	تنبُّہ	cảnh	PROPN;NOM;MASC;SG;3	N
تنبُّہ	khuyên	تنبُّہ	khuyên	PROPN;NOM;MASC;SG;3	V
تنت	essence	تنت	essence	PROPN;NOM;MASC;SG;3	N
تنت	cần	تنت	cần	PROPN;NOM;MASC;SG;3	V
تنت	opportune	تنت	opportune	PROPN;NOM;MASC;SG;3	
تنت	dịp	تنت	dịp	PROPN;NOM;MASC;SG;3	N
تنتنا	la	تنتنا	la	PROPN;NOM;MASC;SG;3	
تنتنا	nhiễu	تنتنا	nhiễu	PROPN;NOM;MASC;SG;3	V
تنتنا	khốc	تنتنا	khốc	PROPN;NOM;MASC;SG;3	
تنتنا	cry	تنتنا	cry	PROPN;NOM;MASC;SG;3	
تنتنا	khóc	تنتنا	khóc	PROPN;NOM;MASC;SG;3	V
تنتنا	din	تنتنا	din	PROPN;NOM;MASC;SG;3	N
تُنتو	cord	تُنتو	cord	PROPN;NOM;MASC;SG;3	
تُنتو	cobweb	تُنتو	cobweb	PROPN;NOM;MASC;SG;3	N
تُنتو	chuỗi	تُنتو	chuỗi	PROPN;NOM;MASC;SG;3	N
تُنتو	thread	تُنتو	thread	PROPN;NOM;MASC;SG;3	N
تُنتو	chuỗi	تُنتو	chuỗi	PROPN;NOM;MASC;SG;3	N
تُنتو	dây	تُنتو	dây	PROPN;NOM;MASC;SG;3	N
تنتی	ploceus	تنتی	ploceus	PROPN;NOM;MASC;SG;3	N
تنتی	weaver	تنتی	weaver	PROPN;NOM;MASC;SG;3	N
تنخواہ	trả	تنخواہ	trả	N;NOM;MASC;SG;3	V
تُند	furious	تُند	furious		N
تُند	nóng	تُند	nóng		ADJ
تُند	sharp	تُند	sharp		N
تُند	nhọn	تُند	nhọn		V
تُند	mau	تُند	mau		ADJ
تُند	nhanh	تُند	nhanh		ADJ
تُند	đậm	تُند	đậm		ADJ
تُند	bold	تُند	bold		N
تُند	yến	تُند	yến		N
تُند	nặng	تُند	nặng		ADJ
تُند	rough	تُند	rough		N
تُندر	thunderbolt	تُندر	thunderbolt	PROPN;NOM;MASC;SG;3	N
تُندر	vanilla	تُندر	vanilla	PROPN;NOM;MASC;SG;3	
تُندر	sấm	تُندر	sấm	PROPN;NOM;MASC;SG;3	N
تُندر	sét	تُندر	sét	PROPN;NOM;MASC;SG;3	N
تندرست	healthy	تندرست	healthy		N
تندوری	tandoori	تندوری	tandoori	PROPN;NOM;MASC;SG;3	
تُندی	fury	تُندی	fury	PROPN;NOM;MASC;SG;3	N
تُندی	buộc	تُندی	buộc	PROPN;NOM;MASC;SG;3	V
تنزل	sáp	تنزل	sáp	PROPN;NOM;MASC;SG;3	V
تنزل	rơi	تنزل	rơi	PROPN;NOM;MASC;SG;3	V
تنزل	sút	تنزل	sút	PROPN;NOM;MASC;SG;3	V
تنزل	ngã	تنزل	ngã	PROPN;NOM;MASC;SG;3	N
تنسیخ	hủy	تنسیخ	hủy	N;NOM;MASC;SG;3	V
تنِش	duỗi	تنِش	duỗi	PROPN;NOM;MASC;SG;3	V
تنظیم	party	تنظیم	party	N;NOM;FEM;SG;3	
تنظیم	party	تنظیم	party	N;NOM;FEM;SG;3	
تنعُّم	vượng	تنعُّم	vượng	PROPN;NOM;MASC;SG;3	N
تنفُّس	thở	تنفُّس	thở	N;NOM;MASC;SG;3	V
تنقیح	tìm	تنقیح	tìm	N;NOM;MASC;SG;3	V
تنقیح	inquiry	تنقیح	inquiry	N;NOM;MASC;SG;3	
تنقید	review	تنقید	review	N;NOM;FEM;SG;3	ADJ
تنقیض	refutation	تنقیض	refutation	N;NOM;MASC;SG;3	
تنِک	nhỏ	تنِک	nhỏ		ADJ
تنِک	hơi	تنِک	hơi		
تُنک	mỏng	تُنک	mỏng		ADJ
تُنک	gầy	تُنک	gầy		ADJ
تُنک	nhỏ	تُنک	nhỏ		ADJ
تِنکا	hạt	تِنکا	hạt	PROPN;NOM;MASC;SG;3	N
تِنکا	yếu	تِنکا	yếu	PROPN;NOM;MASC;SG;3	N
تِنکا	nhược	تِنکا	nhược	PROPN;NOM;MASC;SG;3	N
تِنکا	mỏng	تِنکا	mỏng	PROPN;NOM;MASC;SG;3	ADJ
تِنکا	gầy	تِنکا	gầy	PROPN;NOM;MASC;SG;3	ADJ
تِنکا	thin	تِنکا	thin	PROPN;NOM;MASC;SG;3	
تِنکا	bit	تِنکا	bit	PROPN;NOM;MASC;SG;3	N
تِنکا	cắn	تِنکا	cắn	PROPN;NOM;MASC;SG;3	V
تنگ	bài	تنگ	bài	V;ACT	N
تنگ	ngắn	تنگ	ngắn	V;ACT	ADJ
تنگ	short	تنگ	short	V;ACT	
تنگ	lá	تنگ	lá	V;ACT	N
تنگ	bao	تنگ	bao	V;ACT	
تنگ	confined	تنگ	confined	V;ACT	N
تنگ	lap	تنگ	lap	V;ACT	
تنگ	túi	تنگ	túi	V;ACT	N
تنگ	bag	تنگ	bag	V;ACT	
تنگ	chán	تنگ	chán	V;ACT	ADJ
تنگ	nghèo	تنگ	nghèo	V;ACT	ADJ
تنگ	nghiệp	تنگ	nghiệp	V;ACT	ADJ
تنگ	bài	تنگ	bài	V;ACT	N
تنگ	ngắn	تنگ	ngắn	V;ACT	ADJ
تنگ	short	تنگ	short	V;ACT	
تنگ	lá	تنگ	lá	V;ACT	N
تنگ	bao	تنگ	bao	V;ACT	
تنگ	confined	تنگ	confined	V;ACT	N
تنگ	lap	تنگ	lap	V;ACT	
تنگ	túi	تنگ	túi	V;ACT	N
تنگ	bag	تنگ	bag	V;ACT	
تنگ	chán	تنگ	chán	V;ACT	ADJ
تنگ	nghèo	تنگ	nghèo	V;ACT	ADJ
تنگ	nghiệp	تنگ	nghiệp	V;ACT	ADJ
تنگ	chật	تنگ	chật	V;ACT	ADJ
تنگ	hẹp	تنگ	hẹp	V;ACT	ADJ
تُنگ	peak	تُنگ	peak	PROPN;NOM;MASC;SG;3	N
تُنگ	nắp	تُنگ	nắp	PROPN;NOM;MASC;SG;3	N
تُنگ	top	تُنگ	top	PROPN;NOM;MASC;SG;3	
تُنگ	đỉnh	تُنگ	đỉnh	PROPN;NOM;MASC;SG;3	N
تنگنائے	vịnh	تنگنائے	vịnh	PROPN;NOM;MASC;SG;3	N
تنگی	nhọc	تنگی	nhọc	N;NOM;FEM;SG;3	V
تنگی	nghèo	تنگی	nghèo	N;NOM;FEM;SG;3	ADJ
تُنگی	cao	تُنگی	cao	PROPN;NOM;MASC;SG;3	ADJ
تُنگی	lofty	تُنگی	lofty	PROPN;NOM;MASC;SG;3	
تنومند	healthy	تنومند	healthy	ADJ	N
تنومند	strong	تنومند	strong	ADJ	
تنومند	sturdy	تنومند	sturdy	ADJ	N
تنہا	độc	تنہا	độc		ADJ
تنہا	đơn	تنہا	đơn		N
تنہا	chỉ	تنہا	chỉ		
تنہا	duy	تنہا	duy		N
تنہا	độc	تنہا	độc		ADJ
تنہائی	solitude	تنہائی	solitude	PROPN;NOM;MASC;SG;3	V
تنہائی	solitude	تنہائی	solitude	PROPN;NOM;MASC;SG;3	V
تنی	đính	تنی	đính	V;PFV;FEM;SG;V.PTCP;ACT	
تنی	nơ	تنی	nơ	V;PFV;FEM;SG;V.PTCP;ACT	N
تنی	chuỗi	تنی	chuỗi	V;PFV;FEM;SG;V.PTCP;ACT	N
تِنّین	rồng	تِنّین	rồng	PROPN;NOM;MASC;SG;3	N
تِنّین	diều	تِنّین	diều	PROPN;NOM;MASC;SG;3	N
تِنّین	long	تِنّین	long	PROPN;NOM;MASC;SG;3	N
تِنّین	dragon	تِنّین	dragon	PROPN;NOM;MASC;SG;3	N
تُو	các	تُو	các		DET
تُو	bạn	تُو	bạn		N
تُو	anh	تُو	anh		N
تُو	cô	تُو	cô		N
تو	rồi	تو	rồi	CONJ	CONJ
توا	tawa	توا	tawa		N
تواجُد	ecstasy	تواجُد	ecstasy	PROPN;NOM;MASC;SG;3	
تواجُد	rapture	تواجُد	rapture	PROPN;NOM;MASC;SG;3	
تواحُد	unity	تواحُد	unity	PROPN;NOM;MASC;SG;3	N
توارُث	inheritance	توارُث	inheritance	PROPN;NOM;MASC;SG;3	N
توازُن	equilibrium	توازُن	equilibrium	N;NOM;MASC;SG;3	
تواضُع	hiếu	تواضُع	hiếu	PROPN;NOM;MASC;SG;3	
تواضُع	tặng	تواضُع	tặng	PROPN;NOM;MASC;SG;3	V
تواضُع	entertainment	تواضُع	entertainment	PROPN;NOM;MASC;SG;3	N
توافُق	concord	توافُق	concord		N
توافُق	concurrence	توافُق	concurrence		N
توال	khăn	توال	khăn		N
تَوام	twin	تَوام	twin	PROPN;NOM;MASC;SG;3	
تَوام	song	تَوام	song	PROPN;NOM;MASC;SG;3	CONJ
تُوان	agile	تُوان	agile	PROPN;NOM;MASC;SG;3	
تُوان	mạnh	تُوان	mạnh	PROPN;NOM;MASC;SG;3	ADJ
تُوان	strong	تُوان	strong	PROPN;NOM;MASC;SG;3	
توانا	mạnh	توانا	mạnh	N;NOM;MASC;SG;3	ADJ
توانا	strong	توانا	strong	N;NOM;MASC;SG;3	
توانائی	sục	توانائی	sục	N;NOM;FEM;SG;3	V
توانائی	sục	توانائی	sục	N;NOM;FEM;SG;3	V
تَوبیخ	quậy	تَوبیخ	quậy	PROPN;NOM;MASC;SG;3	N
توپ	vữa	توپ	vữa	PROPN;NOM;MASC;SG;3	N
توپ	súng	توپ	súng	PROPN;NOM;MASC;SG;3	N
توپچی	gunner	توپچی	gunner	PROPN;NOM;MASC;SG;3	N
توپچی	bombardier	توپچی	bombardier	PROPN;NOM;MASC;SG;3	N
توپنا	bìa	توپنا	bìa	V;MASC;SG;V.PTCP;ACT	
توپنا	cover	توپنا	cover	V;MASC;SG;V.PTCP;ACT	
توپنا	che	توپنا	che	V;MASC;SG;V.PTCP;ACT	N
توتا	parrot	توتا	parrot	PROPN;NOM;MASC;SG;3	N
توتا	vẹt	توتا	vẹt	PROPN;NOM;MASC;SG;3	N
تُوتن	chips	تُوتن	chips	PROPN;NOM;MASC;SG;3	N
تُوتن	fragments	تُوتن	fragments	PROPN;NOM;MASC;SG;3	V
تَوتیا	trách	تَوتیا	trách	PROPN;NOM;MASC;SG;3	V
توجُّہ	inclination	توجُّہ	inclination	PROPN;NOM;MASC;SG;3	N
تَوجیہہ	justification	تَوجیہہ	justification	PROPN;NOM;MASC;SG;3	
تَوجیہہ	causation	تَوجیہہ	causation	PROPN;NOM;MASC;SG;3	N
توحُّش	dọa	توحُّش	dọa	PROPN;NOM;MASC;SG;3	V
توحُّش	scare	توحُّش	scare	PROPN;NOM;MASC;SG;3	
تَوحید	unitarianism	تَوحید	unitarianism	PROPN;NOM;MASC;SG;3	
تودہ	đống	تودہ	đống	N;NOM;MASC;SG;3	
تودہ	đống	تودہ	đống	N;NOM;MASC;SG;3	
تودہ	mound	تودہ	mound	N;NOM;MASC;SG;3	
تَورا	yến	تَورا	yến	PROPN;NOM;MASC;SG;3	N
تَورا	swift	تَورا	swift	PROPN;NOM;MASC;SG;3	
تَورا	mau	تَورا	mau	PROPN;NOM;MASC;SG;3	ADJ
تَورا	nhanh	تَورا	nhanh	PROPN;NOM;MASC;SG;3	ADJ
تورہ	ngạo	تورہ	ngạo		N
تورہ	equity	تورہ	equity		N
تَورَیت	torah	تَورَیت	torah	PROPN;NOM;MASC;SG;3	N
توڑ	tời	توڑ	tời	V;ACT	N
توڑ	refutation	توڑ	refutation	V;ACT	
توڑ	breaking	توڑ	breaking	V;ACT	
توڑ	whey	توڑ	whey	V;ACT	N
توڑ	break	توڑ	break	V;ACT	
توڑ	cure	توڑ	cure	V;ACT	
توڑدینا	break	توڑدینا	break	PROPN;NOM;MASC;SG;3	
توڑدینا	phá	توڑدینا	phá	PROPN;NOM;MASC;SG;3	V
توڑلینا	thu	توڑلینا	thu	PROPN;NOM;MASC;SG;3	V
توڑلینا	men	توڑلینا	men	PROPN;NOM;MASC;SG;3	N
توڑنا	smash	توڑ	smash	V;MASC;SG;NFIN;ACT	
توڑنا	break	توڑ	break	V;MASC;SG;NFIN;ACT	
توزُّع	xáo	توزُّع	xáo	PROPN;NOM;MASC;SG;3	V
توزُّع	dispersion	توزُّع	dispersion	PROPN;NOM;MASC;SG;3	N
تَوزیع	scattering	تَوزیع	scattering	PROPN;NOM;MASC;SG;3	V
تَوزیع	dispersion	تَوزیع	dispersion	PROPN;NOM;MASC;SG;3	N
توسُّع	vượng	توسُّع	vượng	PROPN;NOM;MASC;SG;3	N
توسُّل	linkage	توسُّل	linkage	PROPN;NOM;MASC;SG;3	
