विपक्षी	антагонисти	विपक्षी	антагонист	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रबंधित	управлявани	प्रबंधित	управлявам	N;NOM;MASC;SG;3	V;IPFV;INDF;PL;V.PTCP;PASS
प्रबंधित	управляван	प्रबंधित	управлявам	N;NOM;MASC;SG;3	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
मनोरंजक	забавно	मनोरंजक	забавно	N;NOM;MASC;SG;3	ADV
मनोरंजक	весело	मनोरंजक	весело	N;NOM;MASC;SG;3	ADV
मनोरंजक	забавна	मनोरंजक	забавна	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मनोरंजक	забавен	मनोरंजक	забавен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
सजाया	награден	सजा	награден	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
सजाया	награждаван	सजा	награждавам	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
एडम	адам	एडम	адам	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अनगिनत	безкрайни	अनगिनत	безкраен	ADP	ADJ;INDF;PL
अनगिनत	безкрайно	अनगिनत	безкраен	ADP	ADV
अनगिनत	безкраен	अनगिनत	безкраен	ADP	ADJ;INDF;MASC;SG
अनगिनत	безкрайна	अनगिनत	безкраен	ADP	ADJ;INDF;FEM;SG
अनगिनत	безброй	अनगिनत	безброй	ADP	ADV
अनगिनत	безброй	अनगिनत	безброй	ADP	ADV
डिवाइस	устройствата	डिवाइस	устройство	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
डिवाइस	устройства	डिवाइस	устройство	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
लियोन	лион	लियोन	лион	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
लियोन	леон	लियोन	леон	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
हीन	незначителни	हीन	незначителен		ADJ;INDF;PL
ऑब्जेक्ट	предмети	ऑब्जेक्ट	предмет	N;NOM;MASC;SG;3	N;INDF;MASC;PL
ऑब्जेक्ट	обектите	ऑब्जेक्ट	обект	N;NOM;MASC;SG;3	N;DEF;MASC;PL
ऑब्जेक्ट	обекти	ऑब्जेक्ट	обект	N;NOM;MASC;SG;3	N;INDF;MASC;PL
एमटीवी	mtv	एमटीवी	mtv	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
एवरेस्ट	еверест	एवरेस्ट	еверест	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बकरी	коза	बकरी	коза		PROPN;INDF;MASC;SG
बकरी	козе	बकरी	козе		N;INDF;NEUT;SG
बकरी	козел	बकरी	козеда		N;INDF;MASC;SG
बकरी	кози	बकरी	коза		N;INDF;FEM;PL
ऋषिकेश	ришикеш	ऋषिकेश	ришикеш	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
स्विफ्ट	бърз	स्विफ्ट	бърз	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
स्विफ्ट	суифт	स्विफ्ट	суифт	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
सिंधी	синдхи	सिंधी	синдхи		N;INDF;MASC;SG
दोहरा	двойни	दोहरा	двоен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
दोहरा	двойно	दोहरा	двойно	ADJ;NOM;MASC;SG	ADV
शोधकर्ता	изследовател	शोधकर्ता	изследовател	N;NOM;MASC;PL;3	N;INDF;MASC;SG
रॉबिन	робин	रॉबिन	робин	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बैंगनी	лилава	बैंगनी	лилав		ADJ;INDF;FEM;SG
बैंगनी	пурпурно	बैंगनी	пурпурно		ADV
बैंगनी	лилаво	बैंगनी	лилаво		ADV
बैंगनी	лилав	बैंगनी	лилав		N;INDF;MASC;SG
बैंगनी	патладжан	बैंगनी	патладжа		N;INDF;MASC;SG
बैंगनी	виолета	बैंगनी	виолет		N;INDF;FEM;SG
बैंगनी	вайълет	बैंगनी	вайълет		N;INDF;MASC;SG
बैंगनी	виолет	बैंगनी	виолет		N;INDF;MASC;SG
व्यू	портиерът	व्यू	портиер	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
व्यू	портиер	व्यू	портиер	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
व्यू	портиера	व्यू	портиер	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
बीजिंग	пекин	बीजिंग	пекин	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
स्वैच्छिक	доброволни	स्वैच्छिक	доброволен	PROPN;NOM	ADJ;INDF;PL
स्वैच्छिक	доброволен	स्वैच्छिक	доброволен	PROPN;NOM	ADJ;INDF;MASC;SG
स्वैच्छिक	доброволна	स्वैच्छिक	доброволен	PROPN;NOM	ADJ;INDF;FEM;SG
स्वैच्छिक	доброволно	स्वैच्छिक	доброволно	PROPN;NOM	ADV
प्रौढ़	възрастни	प्रौढ़	възрастен		ADJ;INDF;PL
प्रौढ़	възрастна	प्रौढ़	възрастен		ADJ;INDF;FEM;SG
प्रौढ़	възрастен	प्रौढ़	възрастен		ADJ;INDF;MASC;SG
कैलिफ़ोर्निया	калифорния	कैलिफ़ोर्निया	калифорния	PROPN;NOM;MASC;SG;3	ADJ;DEF;MASC;SG
कैलिफ़ोर्निया	калифорнийски	कैलिफ़ोर्निया	калифорнийски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
कैलगरी	калгари	कैलगरी	калгарин	N;NOM;MASC;SG;3	N;INDF;MASC;PL
वार्तालाप	разговори	वार्तालाप	разговор	N;NOM;FEM;SG;3	N;INDF;MASC;PL
वार्तालाप	разговори	वार्तालाप	разговор	N;NOM;FEM;SG;3	N;INDF;MASC;PL
बुद्धिमान	интелигентен	बुद्धिमान	интелигентен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
बुद्धिमान	интелигентно	बुद्धिमान	интелигентно	N;NOM;MASC;SG;3	ADV
बुद्धिमान	интелигентна	बुद्धिमान	интелигентен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
बुद्धिमान	интелигентни	बुद्धिमान	интелигентен	N;NOM;MASC;SG;3	ADJ;INDF;PL
बुद्धिमान	проницателен	बुद्धिमान	проницателен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
उभरते	нововъзникващите	उभर	нововъзниквам	V;IPFV;MASC;PL;V.PTCP;ACT	N;DEF;MASC;PL
फोकस	концентрация	फोकस	концентрация		N;INDF;FEM;SG
फोकस	фокус	फोकस	фокус		N;INDF;MASC;SG
वर्चस्व	доминират	वर्चस्व	доминирам	N;NOM;MASC;SG;3	V;IPFV;IND;PL;3;PRS;FIN;ACT
रुझान	тенденции	रुझान	тенденция	N;NOM;MASC;SG;3	N;INDF;FEM;PL
रुझान	тенденции	रुझान	тенденция	N;NOM;MASC;SG;3	N;INDF;FEM;PL
रुझान	актуални	रुझान	актуален	N;NOM;MASC;SG;3	ADJ;INDF;PL
रुझान	актуално	रुझान	актуален	N;NOM;MASC;SG;3	ADV
वेशभूषा	костюми	वेशभूषा	костюм	N;NOM;FEM;SG;3	N;INDF;MASC;PL
वेशभूषा	костюмите	वेशभूषा	костюм	N;NOM;FEM;SG;3	N;DEF;MASC;PL
भागीदार	участниците	भागीदार	участник	N;NOM;MASC;SG;3	N;DEF;MASC;PL
भागीदार	участници	भागीदार	участник	N;NOM;MASC;SG;3	N;INDF;MASC;PL
स्पेंसर	спенсър	स्पेंसर	спенсър	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
वान	микробус	वान	микробус	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
वान	бус	वान	бус	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
वान	van	वान	van	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
वान	ван	वान	ван	PROPN;NOM;MASC;SG;3	PROPN
वान	вана	वान	вана	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
तुर्कमेनिस्तान	туркменистан	तुर्कमेनिस्तान	туркменистан	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
देखिए	видя	देखिया	видя-(се)	V;SBJV;SG;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
देखिए	вижте	देखिया	видя-(се)	V;SBJV;SG;FIN;ACT	V;PFV;IMP;PL;2;FIN
देखिए	виж	देखिया	видя-(се)	V;SBJV;SG;FIN;ACT	V;PFV;IMP;SG;2;FIN
रॉबर्ट्स	робъртс	रॉबर्ट्स	робъртс	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
क्लाइंट	клиенти	क्लाइंट	клиент	N;NOM;MASC;SG;3	N;INDF;MASC;PL
राँची	ранчи	राँची	ранча	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अपडेट	актуализира	अपडेट	актуализирам	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
अपडेट	актуализации	अपडेट	актуализация	N;NOM;MASC;SG;3	N;INDF;FEM;PL
डेनिस	денис	डेनिस	денис	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
डेनिस	дениз	डेनिस	дениз	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
डेनिस	денис	डेनिस	денис	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
डेनिस	денис	डेनिस	денис	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
जोएल	джоел	जोएल	джоя-(се)	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
जोएल	джоуел	जोएल	джоуд	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मैगज़ीन	списанията	मैगज़ीन	списание	PROPN;NOM;MASC;SG;3	N;DEF;NEUT;PL
मैगज़ीन	списания	मैगज़ीन	списание	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;PL
शंघाई	шанхай	शंघाई	шанхай	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
वाइस	пороци	वाइस	порок	N;NOM;MASC;SG;3	N;INDF;MASC;PL
भ्रमित	объркани	भ्रमित	объркам-(се)		V;PFV;INDF;PL;V.PTCP;PASS
भ्रमित	объркано	भ्रमित	объркам-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
भ्रमित	объркан	भ्रमित	объркам-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
भ्रमित	объркана	भ्रमित	объркам-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
हिसार	хисаря	हिसार	хисар	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
संस्मरण	мемоарите	संस्मरण	мемоари	N;NOM;MASC;SG;3	N;DEF;MASC;PL
नग्न	голо	नग्न	гол		N;INDF;NEUT;SG
नग्न	голи	नग्न	гол		ADJ;INDF;PL
नग्न	гола	नग्न	гол		N;INDF;MASC;SG
नग्न	голо	नग्न	гол		N;INDF;NEUT;SG
नग्न	голи	नग्न	гол		ADJ;INDF;PL
नग्न	гола	नग्न	гол		N;INDF;MASC;SG
कार्यभार	задачи	कार्यभार	задача	N;NOM;MASC;SG;3	N;INDF;FEM;PL
रुकावट	възпрепятства	रुकावट	възпрепятствам	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
ब्लेड	остриета	ब्लेड	острие	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
सदिश	вектори	सदिश	вектор	N;NOM;MASC;SG;3	N;INDF;MASC;PL
स्थगित	отложени	स्थगित	отложа-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
स्थगित	отложена	स्थगित	отложа-(се)	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
स्थगित	отложено	स्थगित	отложа-(се)	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
पावन	свято	पावन	свят		N;INDF;NEUT;SG
पावन	свети	पावन	свет		N;INDF;MASC;SG
पावन	свята	पावन	свят		N;INDF;FEM;SG
मर्यादा	достойно	मर्यादा	достойно	N;NOM;FEM;SG;3	ADV
बैले	балет	बैले	балет	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बसंत	пролетно	बसंत	пролетно	PROPN;NOM;MASC;SG;3	ADV
बसंत	пролет	बसंत	пролет	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
बसंत	пролетта	बसंत	пролет	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
शर्ट	ризи	शर्ट	риза	N;NOM;FEM;SG;3	N;INDF;FEM;PL
शर्ट	блузи	शर्ट	блуза	N;NOM;FEM;SG;3	N;INDF;FEM;PL
सेंसर	сензорите	सेंसर	сензор	N;NOM;MASC;SG;3	N;DEF;MASC;PL
सेंसर	датчици	सेंसर	датчица	N;NOM;MASC;SG;3	N;INDF;MASC;PL
सेंसर	сензори	सेंसर	сензор	N;NOM;MASC;SG;3	N;INDF;MASC;PL
स्टैंड	стои	स्टैंड	стоя	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
स्टैंड	стойки	स्टैंड	стойка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
उपनिवेशों	колония	उपनिवेश	колония	N;ACC;MASC;PL;3	N;INDF;FEM;SG
उपनिवेशों	колонията	उपनिवेश	колония	N;ACC;MASC;PL;3	N;DEF;FEM;SG
एकाधिकार	монополи	एकाधिकार	монопол	N;NOM;MASC;SG;3	N;INDF;MASC;PL
विनाशकारी	катастрофално	विनाशकारी	катастрофално	ADJ	ADV
मिसौरी	мисури	मिसौरी	мисура	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बहुराष्ट्रीय	многонационални	बहुराष्ट्रीय	многонационален	PROPN;NOM;SG;3	ADJ;INDF;PL
मारी	мари	मार	мара	V;PFV;FEM;SG;V.PTCP;ACT	N;INDF;FEM;SG
मारी	мари	मार	мара	V;PFV;FEM;SG;V.PTCP;ACT	N;INDF;FEM;SG
कार्गो	товар	कार्ग	товар	N;NOM;MASC;PL;3	N;INDF;MASC;SG
आमेर	амер	आमेर	амер	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
दारा	дариус	दारा	дариус	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
दारा	дара	दारा	дара	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
फ़्रांसीसी	френско	फ़्रांसीसी	френски	PROPN;NOM;MASC;SG;3	ADV
फ़्रांसीसी	французи	फ़्रांसीसी	француга	PROPN;NOM;MASC;SG;3	N;INDF;MASC;PL
फ़्रांसीसी	френска	फ़्रांसीसी	френски	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
फ़्रांसीसी	френски	फ़्रांसीसी	френски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
फ़्रांसीसी	французин	फ़्रांसीसी	французин	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
जादूगर	магьосници	जादूगर	магьосник	N;NOM;MASC;SG;3	N;INDF;MASC;PL
सच्चा	истина	सच्चा	истина	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
सच्चा	верни	सच्चा	верен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
सच्चा	вярно	सच्चा	верен	PROPN;NOM;MASC;SG;3	ADV
उल्टा	обръщане	उल्टा	обръщане		N;INDF;NEUT;SG
उल्टा	задна	उल्टा	заден		ADJ;INDF;FEM;SG
उल्टा	обратна	उल्टा	обратен		ADJ;INDF;FEM;SG
उल्टा	обратен	उल्टा	обратя		ADJ;INDF;MASC;SG
उल्टा	обърнати	उल्टा	обърна-(се)		V;PFV;INDF;PL;V.PTCP;PASS
उल्टा	обърнато	उल्टा	обърна-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
उल्टा	обърнат	उल्टा	обърна-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
उल्टा	обърната	उल्टा	обърна-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
एलेन	елен	एलेन	елен	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
एलेन	елън	एलेन	елън	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
किराए	наеми	किराया	наемя-(се)	N;NOM;MASC;SG;3	N;INDF;FEM;PL
एस्टन	астън	एस्टन	астън	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मांसपेशी	мускулно	मांसपेशी	мускулно	N;NOM;FEM;SG;3	ADV
मांसपेशी	мускули	मांसपेशी	мускул	N;NOM;FEM;SG;3	N;INDF;MASC;PL
विषाक्त	токсично	विषाक्त	токсично	N;NOM;MASC;SG;3	ADV
विषाक्त	токсичен	विषाक्त	токсичен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
विषाक्त	токсични	विषाक्त	токсичен	N;NOM;MASC;SG;3	ADJ;INDF;PL
विषाक्त	токсична	विषाक्त	токсичен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
तूफ़ान	бури	तूफ़ान	буря	N;NOM;MASC;SG;3	N;INDF;FEM;PL
तूफ़ान	бурите	तूफ़ान	буря	N;NOM;MASC;SG;3	N;DEF;FEM;PL
कड़ा	стегнато	कड़ा	стегна-(се)	ADJ;NOM;MASC;SG	ADV
कड़ा	здраво	कड़ा	здраво	ADJ;NOM;MASC;SG	ADV
कड़ा	трудно	कड़ा	трудно	ADJ;NOM;MASC;SG	ADV
कड़ा	силно	कड़ा	силно	ADJ;NOM;MASC;SG	ADV
कड़ा	здраво	कड़ा	здраво	ADJ;NOM;MASC;SG	ADV
कड़ा	твърдо	कड़ा	твърдо	ADJ;NOM;MASC;SG	ADV
बारूद	барут	बारूद	барут		N;INDF;MASC;SG
बदली	облачно	बदल	облачно	V;PFV;FEM;SG;V.PTCP;ACT	ADV
पड़ाव	крайъгълен	पड़ाव	крайъгълен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
एंजाइम	ензими	एंजाइम	ензим	N;NOM;MASC;SG;3	N;INDF;MASC;PL
मूसा	моузес	मूसा	моузес	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मूसा	моисей	मूसा	моисей	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
मूसा	мойсей	मूसा	мойсей	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मूसा	муса	मूसा	муса	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मूसा	муса	मूसा	муса	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
पिंक	розово	पिंक	розово	PROPN;NOM;FEM;SG;3	ADV
पिंक	розов	पिंक	розов	PROPN;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
पिंक	розова	पिंक	розова	PROPN;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
पिंक	розови	पिंक	розов	PROPN;NOM;FEM;SG;3	ADJ;INDF;PL
बैरी	бари	बैरी	бара		PROPN;INDF;MASC;SG
बैरी	антагонист	बैरी	антагонист		N;INDF;MASC;SG
बैरी	антагонисти	बैरी	антагонист		N;INDF;MASC;PL
विशालकाय	разкошния	विशालकाय	разкошен	N;NOM;MASC;SG;3	ADJ;DEF;MASC;SG
चलाना	екзекуция	चला	екзекуция	V;MASC;NFIN;ACT	N;INDF;FEM;SG
चलाना	изпълнение	चला	изпълнение	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
दादी	бабо	दादी	бабо	N;NOM;FEM;SG;3	INTJ
दादी	бабо	दादी	бабо	N;NOM;FEM;SG;3	INTJ
पहाड़ियाँ	хилс	पहाड़ी	хилс	N;NOM;FEM;PL;3	PROPN;INDF;MASC;SG
मैथ्यू	матю	मैथ्यू	матю	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
मैथ्यू	матей	मैथ्यू	матей	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
प्रशस्त	постлан	प्रशस्त	постлан	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
अंडमान	андаманско	अंडमान	андамански	PROPN;NOM;MASC;SG;3	ADV
दूषित	повреден	दूषित	повреден	ADP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
दूषित	покварен	दूषित	покваря	ADP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
दूषित	повредени	दूषित	повредя-(се)	ADP	V;PFV;INDF;PL;V.PTCP;PASS
दूषित	повредено	दूषित	повредя	ADP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
पश्च	задна	पश्च	заден		ADJ;INDF;FEM;SG
पश्च	заден	पश्च	заден		ADJ;INDF;MASC;SG
पश्च	отзад	पश्च	отзад		ADV
पश्च	задни	पश्च	заден		ADJ;INDF;PL
पश्च	задно	पश्च	задно		ADV
मिर्ज़ा	мирза	मिर्ज़ा	мирза	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
हीरे	диамантите	हीरा	диамант	N;NOM;MASC;SG;3	N;DEF;MASC;PL
हीरे	диаманти	हीरा	диамант	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रचारित	повишен	प्रचारित	повиша-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
सांसारिक	светски	सांसारिक	светски	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
अमूर्त	абстрактно	अमूर्त	абстрактно	PROPN;NOM;MASC;SG;3	ADV
सौभाग्य	богатство	सौभाग्य	богатство	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
गैरी	гари	गैरी	гара	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
गैरी	гери	गैरी	гера	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
गैरी	гари	गैरी	гара	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
कुश	куш	कुश	куш		PROPN;INDF;MASC;SG
साइमन	саймън	साइमन	саймън	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
साइमन	симон	साइमन	симон	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
कार्बोनेट	карбонат	कार्बोनेट	карбонат	N;NOM;MASC;PL;3	N;INDF;MASC;SG
हिब्रू	иврит	हिब्रू	иврит	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
हिब्रू	еврейски	हिब्रू	еврейски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
बर्ड	птиче	बर्ड	птиче	PROPN;NOM;FEM;SG;3	N;INDF;NEUT;SG
बर्ड	бърд	बर्ड	бърд	PROPN;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
बर्ड	птичка	बर्ड	птичка	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
बर्ड	птица	बर्ड	птица	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
संस्थागत	институционални	संस्थागत	институционален	N;NOM;3	ADJ;INDF;PL
संस्थागत	институционална	संस्थागत	институционален	N;NOM;3	ADJ;INDF;FEM;SG
संस्थागत	институционално	संस्थागत	институционално	N;NOM;3	ADV
ठंड	студен	ठंड	студен	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
ठंड	студено	ठंड	студено	N;NOM;FEM;SG;3	ADV
ठंड	студена	ठंड	студен	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
