par	za	par	za		ADP;ACC
pilsētas	gradove	pilsēta	grad	N;NOM;FEM;PL	N;ACC;MASC;PL
pilsētas	gradova	pilsēta	grad	N;NOM;FEM;PL	N;GEN;MASC;PL
pilsētas	urbana	pilsēta	urban	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
kur	gdje	kur	gdje	ADV	ADV
vieta	lokaciju	vieta	lokacija	N;NOM;FEM;SG	N;ACC;FEM;SG
kļuva	postao	kļūt	postati	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP;ACT
kļuva	postala	kļūt	postati	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP;ACT
kļuva	postalo	kļūt	postati	V;FH;IND;3;POS;PST;FIN;ACT	V;NEUT;SG;PST;V.PTCP;ACT
kara	rata	karš	rat	N;NOM;MASC;SG	N;GEN;MASC;SG
iela	street	iela	street	N;NOM;FEM;SG	ADP
iela	ulicu	iela	ulica	N;NOM;FEM;SG	N;ACC;FEM;SG
jau	vec	jau	vec	ADV	PROPN;NOM;MASC;SG
miris	preminuli	mirt	preminuti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP;ACT
miris	pokojni	mirt	pokojni	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;MASC;SG
miris	mrtav	mirt	mrtav	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
novada	otpušten	novads	otpustiti	N;NOM;MASC;SG	ADJ;NOM;MASC;SG;V.PTCP;PASS
krievijas	ruska	krievija	ruski	PROPN;NOM;FEM;SG	ADJ;NOM;FEM;SG
krievijas	rus	krievija	rus	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
krievijas	ruski	krievija	ruski	PROPN;NOM;FEM;SG	ADJ;NOM;MASC;SG
krievijas	rusko	krievija	rusko	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
attēls	sliku	attēls	slika	N;NOM;MASC;SG	N;ACC;FEM;SG
attēls	sliku	attēls	slika	N;NOM;MASC;SG	N;ACC;FEM;SG
starp	izmedju	starp	izmedje	ADP	N;NOM;MASC;SG
pilsēta	town	pilsēta	town	N;NOM;FEM;SG	ADP
pilsēta	gradom	pilsēta	grad	N;NOM;FEM;SG	N;INS;MASC;SG
eiropas	europski	eiropa	europski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
eiropas	europska	eiropa	europski	PROPN;NOM;FEM;SG	ADJ;NOM;FEM;SG
eiropas	europske	eiropa	europski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;FEM;PL
eiropas	europsko	eiropa	europski	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
utc	utc	utcs	utc	PROPN	PROPN;NOM;MASC;SG
tomēr	međutim	tomēr	međutim	CONJ	ADV
kuru	čije	kura	čiji	PRO;ACC;MASC;SG	DET;NOM;FEM;SG
kuru	ciji	kura	ciji	PRO;ACC;MASC;SG	DET;NOM;MASC;SG
vācu	njemački	vāci	njemački	N;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
vācu	njemacki	vāci	njemacki	N;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
pagasts	parish	pagasts	parish	N;NOM;MASC;SG	ADP
pagasts	župi	pagasts	župa	N;NOM;MASC;SG	N;DAT;FEM;SG
pagasts	župe	pagasts	župa	N;NOM;MASC;SG	N;NOM;FEM;PL
daļa	dijelom	daļa	dio	N;NOM;FEM;SG	N;INS;MASC;SG
daļa	podijeli	daļa	podijetiti	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
jpg	jpg	jpg	jpg		N;NOM;MASC;SG
rīgā	rigi	rīgs	riga	PROPN;ESS;FEM;SG	PROPN;DAT;FEM;SG
kuras	koje	kura	koji	PRO;NOM;FEM;PL	DET;NOM;FEM;SG
kuras	koja	kura	koji	PRO;NOM;FEM;PL	DET;NOM;FEM;SG
kuras	koji	kura	koji	PRO;NOM;FEM;PL	DET;NOM;MASC;SG
tie	oni	tas	oni	PRO;NOM;MASC;PL	PRO;NOM;MASC;PL;3
pirms	prije	pirms	prije	ADP	ADV
zemes	zemlja	zeme	zemlja	N;NOM;FEM;PL	N;NOM;FEM;SG
zemes	zemlja	zeme	zemlja	N;NOM;FEM;PL	N;NOM;FEM;SG
zemes	kopno	zeme	kopno	N;NOM;FEM;PL	N;NOM;NEUT;SG
zemes	land	zeme	land	N;NOM;FEM;PL	ADP
zemes	zemljište	zeme	zemljište	N;NOM;FEM;PL	N;NOM;NEUT;SG
zemes	tlo	zeme	tlo	N;NOM;FEM;PL	N;NOM;NEUT;SG
kura	čije	kura	čiji	PRO;NOM;FEM;SG	DET;NOM;FEM;SG
kura	ciji	kura	ciji	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
kura	koje	kura	koji	PRO;NOM;FEM;SG	DET;NOM;FEM;SG
kura	koja	kura	koji	PRO;NOM;FEM;SG	DET;NOM;FEM;SG
kura	koji	kura	koji	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
pirmā	prvo	pirmā	prvo	ADJ;NOM;DEF;FEM;SG	ADV
psrs	sssr	psrs	sssr	PROPN	PROPN;NOM;MASC;SG
kurš	tko	kurš	tko	PRO;NOM;MASC;SG	PRO;NOM;MASC
kurš	ko	kurš	ko	PRO;NOM;MASC;SG	
kurš	koji	kurš	koji	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
kurš	koja	kurš	koji	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
viņu	njihova	viņš	njihov	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG;3
viņu	njihovo	viņš	njihov	PRO;ACC;MASC;SG;3	DET;NOM;NEUT;SG;3
viņu	njihov	viņš	njihov	PRO;ACC;MASC;SG;3	DET;NOM;MASC;SG;3
viņu	mu	viņš	on	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
viņu	njemu	viņš	on	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
parasti	uobičajeno	parasti	uobičajen	ADV	ADJ;NOM;DEF;NEUT;SG
pat	čak	pat	čak	PART	ADV
pat	pat	pat	pat	PART	PROPN;NOM;MASC;SG
jūras	marine	jūra	marina	N;NOM;FEM;SG	N;NOM;FEM;PL
pirmais	prvo	pirmais	prvo	ADJ;NOM;DEF;MASC;SG	ADV
team	ekipa	tu	ekipa		N;NOM;FEM;SG
team	momčad	tu	momčad		N;NOM;FEM;SG
team	reprezentacija	tu	reprezentacija		N;NOM;FEM;SG
team	tim	tu	taj		DET;INS;NEUT;SG
sezonas	sezonski	sezona	sezonski	N;NOM;FEM;PL	ADV
sezonas	sezone	sezona	sezona	N;NOM;FEM;PL	N;GEN;FEM;SG
sezonas	sezona	sezona	sezona	N;NOM;FEM;PL	N;NOM;FEM;SG
visu	sve	viss	sve	PRO;ACC;MASC;SG	PRO;NOM;NEUT;SG
visu	sve	viss	sve	PRO;ACC;MASC;SG	PRO;NOM;NEUT;SG
visu	svi	viss	sav	PRO;ACC;MASC;SG	DET;NOM;DEF;MASC;PL
grupas	grupa	grupa	grupa	N;NOM;FEM;PL	N;NOM;FEM;SG
vienu	jedan	viens	jedan	NUM;ACC;MASC;SG	NUM;NOM;MASC;SG
vienu	jedna	viens	jedan	NUM;ACC;MASC;SG	NUM;NOM;FEM;SG
rīga	rigi	rīga	riga	PROPN;NOM;FEM;SG	PROPN;DAT;FEM;SG
laika	vrijeme	laiks	vrijeme	N;GEN;MASC;SG	N;NOM;NEUT;SG
laika	vreme	laiks	vreme	N;GEN;MASC;SG	N;NOM;NEUT;SG
laika	vrijeme	laiks	vrijeme	N;GEN;MASC;SG	N;NOM;NEUT;SG
lielākā	najveći	liela	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;DEF;RL;MASC;SG
lielākā	najveće	liela	velik	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;DEF;RL;FEM;SG
gads	godine	gads	godina	N;NOM;MASC;SG	N;GEN;FEM;SG
centra	centar	centrs	centar	N;GEN;MASC;SG	N;NOM;MASC;SG
centra	središte	centrs	središte	N;GEN;MASC;SG	N;NOM;NEUT;SG
centra	sredina	centrs	sredini	N;GEN;MASC;SG	N;NOM;FEM;SG
padomju	sovjetski	padome	sovjetski	N;GEN;FEM;PL	ADV
padomju	sovjetska	padome	sovjetski	N;GEN;FEM;PL	ADJ;NOM;DEF;FEM;SG
padomju	daske	padome	daska	N;GEN;FEM;PL	N;NOM;FEM;PL
krievu	ruska	krievs	ruski	N;ACC;MASC;SG	ADJ;NOM;FEM;SG
krievu	rus	krievs	rus	N;ACC;MASC;SG	PROPN;NOM;MASC;SG
krievu	ruski	krievs	ruski	N;ACC;MASC;SG	ADJ;NOM;MASC;SG
krievu	rusko	krievs	rusko	N;ACC;MASC;SG	ADJ;NOM;NEUT;SG
krievu	russo	krievs	russo	N;ACC;MASC;SG	PROPN;NOM;MASC;SG
score	rezultat	score	rezultat		N;NOM;MASC;SG
score	ocjena	score	ocjena		N;NOM;FEM;SG
angļu	englezi	anglis	engleg	N;GEN;MASC;PL	N;NOM;MASC;PL
angļu	engleski	anglis	engleski	N;GEN;MASC;PL	ADV
angļu	english	anglis	english	N;GEN;MASC;PL	ADP
vācijas	njemački	vācija	njemački	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
vācijas	nijemac	vācija	nijemac	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
vācijas	njemacki	vācija	njemacki	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
vācijas	njemačka	vācija	njemački	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
vācijas	njemačkoj	vācija	njemački	PROPN;NOM;FEM;SG	ADJ;DAT;DEF;FEM;SG
tautas	popularni	tauta	popularan	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
tautas	popularna	tauta	popularan	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
tautas	popularan	tauta	popularan	N;NOM;FEM;PL	ADJ;NOM;INDF;MASC;SG
tautas	popularne	tauta	popularan	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;PL
tautas	popularno	tauta	popularan	N;NOM;FEM;PL	ADJ;NOM;DEF;NEUT;SG
tautas	folk	tauta	folk	N;NOM;FEM;PL	N;NOM;MASC;SG
garums	dužine	garums	dužina	N;NOM;MASC;SG	N;NOM;FEM;PL
daudz	mnoge	daudz	mnogi	ADV	ADJ;NOM;DEF;FEM;PL
daudz	mnogi	daudz	mnogi	ADV	ADJ;NOM;DEF;MASC;PL
jānis	jānis	jānis	jānis	PROPN;NOM;MASC;SG	
pils	castle	pils	castle	N;NOM;FEM;SG	ADP
pils	diss	pils	diss	N;NOM;FEM;SG	
pils	palači	pils	palača	N;NOM;FEM;SG	N;DAT;FEM;SG
vietas	spot	vieta	spot	N;NOM;FEM;PL	N;NOM;MASC;SG
valodas	jezike	valoda	jezik	N;NOM;FEM;PL	N;ACC;MASC;PL
valodas	jezicima	valoda	jezik	N;NOM;FEM;PL	N;INS;MASC;PL
romas	rim	roma	rim	N;NOM;FEM;PL	PROPN;NOM;MASC;SG
sezonā	sezone	sezona	sezona	N;ESS;FEM;SG	N;GEN;FEM;SG
sezonā	sezona	sezona	sezona	N;ESS;FEM;SG	N;NOM;FEM;SG
novads	općine	novads	općina	N;NOM;MASC;SG	N;NOM;FEM;PL
šis	ovo	šis	ovaj	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
valodā	autentično	valoda	autentičan	N;ESS;FEM;SG	ADV
ūdens	vode	ūdens	voda	N;NOM;MASC;SG	N;NOM;FEM;PL
bieži	zajedničko	bieži	zajednički	ADV	ADJ;NOM;DEF;NEUT;SG
bieži	zajednička	bieži	zajednički	ADV	ADJ;NOM;DEF;FEM;SG
šīs	ovi	šī	ovaj	PRO;NOM;FEM;PL	DET;NOM;MASC;PL
šīs	ove	šī	ovaj	PRO;NOM;FEM;PL	DET;GEN;FEM;SG
tiesības	privilegije	tiesības	privilegija	N;NOM;FEM	N;NOM;FEM;PL
tiesības	povlastice	tiesības	povlastica	N;NOM;FEM	N;NOM;FEM;PL
tiesības	privilegija	tiesības	privilegija	N;NOM;FEM	N;NOM;FEM;SG
tiesības	desno	tiesības	desno	N;NOM;FEM	ADV
tiesības	pravo	tiesības	pravo	N;NOM;FEM	N;NOM;NEUT;SG
tiesības	prava	tiesības	pravo	N;NOM;FEM	N;NOM;NEUT;PL
polijas	poljska	polija	poljska	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
polijas	poljski	polija	poljski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
polijas	poljska	polija	poljska	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
fon	von	fon	von		PROPN;NOM;MASC;SG
janvārī	siječanj	janvāris	siječanj	N;ESS;MASC;SG	N;NOM;MASC;SG
janvārī	siječnja	janvāris	siječanj	N;ESS;MASC;SG	N;GEN;MASC;SG
sugas	vrsta	suga	vrsta	N;NOM;FEM;PL	N;NOM;FEM;SG
pasaulē	world	pasaule	world	N;ESS;FEM;SG	ADP
pasaulē	svijeta	pasaule	svijet	N;ESS;FEM;SG	N;GEN;MASC;SG
pasaulē	svijet	pasaule	svijet	N;ESS;FEM;SG	N;NOM;MASC;SG
jūlijā	srpnja	jūlijs	srpanj	N;ESS;MASC;SG	N;GEN;MASC;SG
jūlijā	juli	jūlijs	jutlo	N;ESS;MASC;SG	N;NOM;MASC;SG
jūlijā	srpanj	jūlijs	srpanj	N;ESS;MASC;SG	N;NOM;MASC;SG
jūlijā	jula	jūlijs	julo	N;ESS;MASC;SG	N;NOM;FEM;SG
ciems	selu	ciems	selo	N;NOM;MASC;SG	N;DAT;NEUT;SG
citas	drugi	cita	drugi	PRO;NOM;FEM;PL	ADJ;NOM;MASC;SG
citas	drugo	cita	drugi	PRO;NOM;FEM;PL	ADJ;NOM;NEUT;SG
citas	druga	cita	drugi	PRO;NOM;FEM;PL	ADJ;NOM;FEM;SG
citas	ostali	cita	ostao	PRO;NOM;FEM;PL	ADJ;NOM;DEF;MASC;PL
citas	drugi	cita	drugi	PRO;NOM;FEM;PL	ADJ;NOM;MASC;SG
citas	druge	cita	drugi	PRO;NOM;FEM;PL	ADJ;NOM;FEM;PL
skaits	računati	skaits	računati	N;NOM;MASC;SG	V;NFIN
skaits	broji	skaits	brojati	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
ziemeļu	sjeverno	ziemelis	sjeverno	N;GEN;MASC;PL	ADV
ziemeļu	sjeverna	ziemelis	sjeveran	N;GEN;MASC;PL	ADJ;NOM;DEF;FEM;SG
ziemeļu	sjever	ziemelis	sjever	N;GEN;MASC;PL	N;NOM;MASC;SG
ziemeļu	nordijska	ziemelis	nordijski	N;GEN;MASC;PL	ADJ;NOM;DEF;FEM;SG
ziemeļu	sjeverni	ziemelis	sjeverni	N;GEN;MASC;PL	ADV
ziemeļu	sjevernom	ziemelis	sjeveran	N;GEN;MASC;PL	ADJ;INS;DEF;FEM;SG
ziemeļu	sjeverna	ziemelis	sjeveran	N;GEN;MASC;PL	ADJ;NOM;DEF;FEM;SG
suga	vrste	suga	vrsta	N;NOM;FEM;SG	N;NOM;FEM;PL
spēlē	igramo	spēlēt	igrati	V;FH;IND;3;POS;PRS;FIN;ACT	V;IND;PL;1;PRS;FIN
spēlē	igranje	spēlēt	igranje	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
aptuveni	cca	aptuveni	cca	ADV	N;NOM;MASC;SG
mūzikas	glazbeni	mūzika	glazben	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
mūzikas	mjuzikl	mūzika	mjuzikl	N;NOM;FEM;PL	N;NOM;MASC;SG
apriņķis	županije	apriņķis	županija	N;NOM;MASC;SG	N;NOM;FEM;PL
apriņķis	okrugu	apriņķis	okruga	N;NOM;MASC;SG	N;DAT;MASC;SG
upes	rijeke	upe	rijeka	N;NOM;FEM;SG	N;NOM;FEM;PL
upes	river	upe	river	N;NOM;FEM;SG	ADP
upes	rijeci	upe	rijeka	N;NOM;FEM;SG	N;DAT;FEM;SG
upes	rijeke	upe	rijeka	N;NOM;FEM;SG	N;NOM;FEM;PL
upes	reke	upe	reći	N;NOM;FEM;SG	N;NOM;FEM;PL
upes	rivers	upe	rivers	N;NOM;FEM;SG	ADP
komanda	tim	komanda	taj	N;NOM;FEM;SG	DET;INS;NEUT;SG
izlases	slučajni	izlase	slučajna	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
izlases	random	izlase	rand	N;NOM;FEM;PL	N;INS;MASC;SG
izlases	slučajna	izlase	slučajn	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
izlases	nasumično	izlase	nasumično	N;NOM;FEM;PL	ADV
martā	ožujka	marts	ožujak	N;ESS;MASC;SG	N;GEN;MASC;SG
martā	ožujak	marts	ožujak	N;ESS;MASC;SG	N;NOM;MASC;SG
martā	marš	marts	marš	N;ESS;MASC;SG	N;NOM;MASC;SG
amerikāņu	američki	amerikānis	američki	N;GEN;MASC;PL	ADJ;NOM;DEF;MASC;SG
amerikāņu	american	amerikānis	american	N;GEN;MASC;PL	ADP
amerikāņu	amerikanac	amerikānis	amerikanac	N;GEN;MASC;PL	N;NOM;MASC;SG
amerikāņu	američka	amerikānis	američki	N;GEN;MASC;PL	ADJ;NOM;DEF;FEM;SG
lietuvas	litvanski	lietuva	litvanski	PROPN;NOM;FEM;SG	ADJ;NOM;MASC;SG
novembrī	studenog	novembris	studeni	N;ESS;MASC;SG	N;GEN;MASC;SG
novembrī	studeni	novembris	studeni	N;ESS;MASC;SG	N;NOM;MASC;SG
augustā	kolovoz	augusts	kolovoz	N;ESS;MASC;SG	N;NOM;MASC;SG
augustā	kolovoza	augusts	kolovoz	N;ESS;MASC;SG	N;GEN;MASC;SG
augustā	august	augusts	august	N;ESS;MASC;SG	N;NOM;MASC;SG
dienas	dane	diena	dan	N;NOM;FEM;PL	N;ACC;MASC;PL
dienas	danima	diena	danima	N;NOM;FEM;PL	ADJ;INS;DEF;MASC;PL
dienas	dana	diena	dan	N;NOM;FEM;PL	N;GEN;MASC;PL
dienas	dnevno	diena	dnevno	N;NOM;FEM;PL	ADV
dienas	svakodnevno	diena	svakodnevno	N;NOM;FEM;PL	ADV
dienas	dnevna	diena	dnevni	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
dienas	dnevni	diena	dnevni	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
reizi	jednom	reize	jednom	N;ACC;FEM;SG	ADV
jūnijā	lipanj	jūnijs	lipanj	N;ESS;MASC;SG	N;NOM;MASC;SG
jūnijā	june	jūnijs	juniti	N;ESS;MASC;SG	ADP
jūnijā	lipnja	jūnijs	lipanj	N;ESS;MASC;SG	N;GEN;MASC;SG
armijas	vojska	armija	vojska	N;NOM;FEM;PL	N;NOM;FEM;SG
armijas	armija	armija	armija	N;NOM;FEM;PL	N;NOM;FEM;SG
cilvēku	ljudski	cilvēks	ljudski	N;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
com	com	com	com		N;NOM;MASC;SG
salas	otočje	sala	otočji	N;NOM;FEM;PL	N;NOM;NEUT;SG
salas	otoke	sala	otok	N;NOM;FEM;PL	N;ACC;MASC;PL
salas	otoka	sala	otok	N;NOM;FEM;PL	N;GEN;MASC;SG
līgas	ligu	līga	liga	N;NOM;FEM;PL	N;ACC;FEM;SG
līgas	liga	līga	liga	N;NOM;FEM;PL	N;NOM;FEM;SG
līgas	league	līga	league	N;NOM;FEM;PL	ADP
hokeja	hokej	hokejs	hokej	N;GEN;MASC;SG	N;NOM;MASC;SG
hokeja	hokeju	hokejs	hokej	N;GEN;MASC;SG	N;DAT;MASC;SG
decembrī	prosinac	decembris	prosinac	N;ESS;MASC;SG	N;NOM;MASC;SG
decembrī	prosinca	decembris	prosinac	N;ESS;MASC;SG	N;GEN;MASC;SG
decembrī	prosincu	decembris	prosinac	N;ESS;MASC;SG	N;DAT;MASC;SG
ezers	jezera	ezers	jezero	N;NOM;MASC;SG	N;NOM;NEUT;PL
ezers	lake	ezers	lak	N;NOM;MASC;SG	N;NOM;FEM;PL
dzelzceļa	željeznicom	dzelzceļš	željeznica	N;GEN;MASC;SG	N;INS;FEM;SG
francijas	francuski	francija	francuski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
francijas	francuzi	francija	francug	PROPN;NOM;FEM;SG	N;ACC;MASC;PL
iespējams	eventualno	iespējams	eventualno	ADJ;NOM;MASC;SG	ADV
iespējams	moguce	iespējams	moguc	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
septembrī	rujna	septembris	rujan	N;ESS;MASC;SG	N;GEN;MASC;SG
septembrī	rujan	septembris	rujan	N;ESS;MASC;SG	N;NOM;MASC;SG
gadus	godine	gads	godina	N;ACC;MASC;PL	N;GEN;FEM;SG
gadus	godinama	gads	godina	N;ACC;MASC;PL	N;INS;FEM;PL
gadus	godina	gads	godina	N;ACC;MASC;PL	N;NOM;FEM;SG
baltijas	baltiku	baltija	baltika	PROPN;NOM;FEM;SG	N;DAT;MASC;SG
oktobrī	listopada	oktobris	listopad	N;ESS;MASC;SG	N;GEN;MASC;SG
oktobrī	listopad	oktobris	listopad	N;ESS;MASC;SG	N;NOM;MASC;SG
oktobrī	oktobar	oktobris	oktobar	N;ESS;MASC;SG	N;NOM;MASC;SG
izmanto	korištene	izmantot	koristiti	V;IMP;SG;2;POS;FIN;ACT	ADJ;NOM;DEF;FEM;PL;V.PTCP
izmanto	korišteno	izmantot	koristiti	V;IMP;SG;2;POS;FIN;ACT	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
izmanto	korišten	izmantot	korišten	V;IMP;SG;2;POS;FIN;ACT	ADJ;NOM;MASC;SG;V.PTCP;PASS
austrumu	istočna	austrumi	istočan	N;GEN;MASC	ADJ;NOM;DEF;FEM;SG
austrumu	istočno	austrumi	istočno	N;GEN;MASC	ADV
austrumu	istok	austrumi	istok	N;GEN;MASC	N;NOM;MASC;SG
austrumu	istočni	austrumi	istočni	N;GEN;MASC	ADV
austrumu	istočna	austrumi	istočan	N;GEN;MASC	ADJ;NOM;DEF;FEM;SG
austrumu	istočno	austrumi	istočno	N;GEN;MASC	ADV
kultūras	usjeve	kultūra	usjev	N;NOM;FEM;PL	N;ACC;MASC;PL
rietumu	west	rietumi	west	N;ACC;MASC;SG	PROPN;NOM;MASC;SG
rietumu	zapad	rietumi	zapad	N;ACC;MASC;SG	N;NOM;MASC;SG
rietumu	zapadno	rietumi	zapadno	N;ACC;MASC;SG	ADV
rietumu	zapadna	rietumi	zapadan	N;ACC;MASC;SG	ADJ;NOM;DEF;FEM;SG
rietumu	zapadni	rietumi	zapadan	N;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
rietumu	western	rietumi	western	N;ACC;MASC;SG	ADP
dzimums	seksa	dzimums	seks	N;NOM;MASC;SG	N;GEN;MASC;SG
vairākas	nekoliko	vairākas	nekoliko	PRO;NOM;FEM;PL	DET
baznīcas	crkva	baznīca	crkva	N;NOM;FEM;PL	N;NOM;FEM;SG
auto	automatski	auto	automatski	N	ADV
dzīvo	uživo	dzīvot	uživo	V;FH;IND;3;POS;PRS;FIN;ACT	ADV
dzīvo	live	dzīvot	live	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;MASC;SG
