और	og	और	og		CONJ
प्रकार	typer	प्रकार	type	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
भारतीय	indianer	भारतीय	indiane	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
भारतीय	indiske	भारतीय	indisk	PROPN;NOM;SG;3	ADJ;PL
भारतीय	inder	भारतीय	inder	PROPN;NOM;SG;3	ADJ;INDF;MASC+FEM;SG
भारतीय	indisk	भारतीय	indisk	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
भारतीय	indian	भारतीय	indian	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
किसी	nogen	कोई	nogen	PRO;ACC;SG;3	PRO;MASC+FEM;SG
तहसील	tehsil	तहसील	tehsil	PROPN;NOM;FEM;SG;3	
क्षेत्र	områder	क्षेत्र	område	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
क्षेत्र	arealer	क्षेत्र	areal	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
अधिक	mere	अधिक	mere	DET	ADV;CMPR
अधिक	flere	अधिक	mange	DET	ADJ;CMPR;PL
कई	mange	कई	mange	DET	ADJ;PL
कई	adskillige	कई	adskillig	DET	ADJ;PL
कई	flere	कई	mange	DET	ADJ;CMPR;PL
वाले	wale	वाला	wale	V;MASC;PL;FIN;ACT	
स्थित	lokaliseret	स्थित	lokalisere	ADJ	V;INDF;SG;PST;V.PTCP
स्थित	placeret	स्थित	placere	ADJ	V;INDF;SG;PST;V.PTCP
मण्डल	område	मण्डल	område	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
मण्डल	zone	मण्डल	zone	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
आधिकारिक	officielt	आधिकारिक	officielt	ADJ	ADV
आधिकारिक	embedsmand	आधिकारिक	embedsmand	ADJ	N;INDF;MASC+FEM;SG
आधिकारिक	tjenestemand	आधिकारिक	tjenestemand	ADJ	N;INDF;MASC+FEM;SG
कारण	grunde	कारण	grund	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
कारण	årsager	कारण	årsag	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
कारण	begrundelser	कारण	begrundelse	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
कारण	årsager	कारण	årsag	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
कारण	årsagerne	कारण	årsag	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
जैसे	gerne	जैसे	gerne	CONJ	ADV
जैसे	like	जैसे	like	CONJ	
करता	bøller	कर	bølle	V;IPFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC+FEM;PL
करता	tyranner	कर	tyran	V;IPFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC+FEM;PL
उनके	deres	वह	deres	PRO;MASC;SG;3;FORM	DET;3
उनके	them	वह	them	PRO;MASC;SG;3;FORM	
उनके	dem	वह	de	PRO;MASC;SG;3;FORM	PRO;ACC;PL;3
सबसे	højst	सबसे	højst	ADJ;NOM	ADV
सबसे	mest	सबसे	mest	ADJ;NOM	ADV;RL
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	
बहुत	meget	बहुत	meget	DET	ADJ;INDF;SG
पहले	første	पहले	første	ADV;NOM;MASC;SG;3	ADJ
अपनी	eje	अपना	eje	PRO;NOM;FEM	V;NFIN;ACT
अपनी	egne	अपना	egn	PRO;NOM;FEM	N;INDF;MASC+FEM;PL
अपनी	egen	अपना	egen	PRO;NOM;FEM	ADJ;MASC+FEM;SG
अपनी	eget	अपना	egen	PRO;NOM;FEM	ADJ;NEUT;SG
अपनी	kødelig	अपना	kødelig	PRO;NOM;FEM	ADV
जब	da	जब	da	PRO;NOM	ADV
जब	når	जब	når	PRO;NOM	CONJ
जब	hvornår	जब	hvornår	PRO;NOM	ADV
उन्होंने	de	वह	de	PRO;SG;3;FORM	PRO;NOM;PL;3
उन्होंने	egyptere	वह	egyptere	PRO;SG;3;FORM	N;INDF;NEUT;PL
उन्होंने	egypterne	वह	egypte	PRO;SG;3;FORM	N;DEF;NEUT;PL
जन्म	born	जन्म	born	N;NOM;MASC;SG;3	
जन्म	fødte	जन्म	føde	N;NOM;MASC;SG;3	V;IND;PST;FIN;ACT
जन्म	født	जन्म	føde	N;NOM;MASC;SG;3	V;INDF;SG;PST;V.PTCP
जन्म	fødsler	जन्म	fødsel	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
कोई	koi	कोई	koi	PRO;NOM;SG;3	
इन	inn	यह	inn	DET;ACC;PL;3	
इन	herberg	यह	herberg	DET;ACC;PL;3	N;INDF;NEUT;SG
इन	kro	यह	kro	DET;ACC;PL;3	N;INDF;MASC+FEM;SG
इन	kroen	यह	kro	DET;ACC;PL;3	N;DEF;MASC+FEM;SG
ये	dette	यह	denne	PRO;NOM;PL;3	PRO;NEUT;SG
ये	denne	यह	denne	PRO;NOM;PL;3	PRO;MASC+FEM;SG
ये	disse	यह	denne	PRO;NOM;PL;3	PRO;PL
कम	lav	कम	lav	DET	V;IMP
कम	lavt	कम	lav	DET	ADJ;INDF;NEUT;SG
कम	lave	कम	lave	DET	V;NFIN;ACT
कम	low	कम	low	DET	
कम	færre	कम	få	DET	ADJ;CMPR;PL
कम	færre	कम	få	DET	ADJ;CMPR;PL
कम	mindre	कम	mindre	DET	ADV;CMPR
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	
लोग	people	लोग	peopl	N;NOM;MASC;PL;3	
आदि	etc	आदि	etc	PART	
आदि	mv	आदि	mvtte	PART	
आदि	osv	आदि	osv	PART	ADV
आदि	mere	आदि	mere	PART	ADV;CMPR
आदि	flere	आदि	mange	PART	ADJ;CMPR;PL
आदि	adi	आदि	adi	PART	
उसके	hans	वह	hans	PRO;MASC;SG;3	DET;3
उसके	hende	वह	hun	PRO;MASC;SG;3	PRO;ACC;MASC+FEM;SG;3
उसके	hendes	वह	hendes	PRO;MASC;SG;3	DET;3
प्राचीन	prætor	प्राचीन	prætor	ADJ;NOM	N;INDF;MASC+FEM;SG
देखें	vis	देख	vis	V;SBJV;PL;FIN;ACT	N;INDF;MASC+FEM;SG
देखें	udsigt	देख	udsigt	V;SBJV;PL;FIN;ACT	N;INDF;MASC+FEM;SG
उत्तर	svar	उत्तर	svar	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
उत्तर	svaret	उत्तर	svar	PROPN;NOM;MASC;SG;3	N;DEF;NEUT;SG
उत्तर	nordpå	उत्तर	nordpå	PROPN;NOM;MASC;SG;3	ADV
उत्तर	nordlige	उत्तर	nordlig	PROPN;NOM;MASC;SG;3	ADJ;PL
उत्तर	north	उत्तर	north	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
उत्तर	nord	उत्तर	nord	PROPN;NOM;MASC;SG;3	N;INDF
उत्तर	svar	उत्तर	svar	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
लिये	til	ले	til	V;PFV;MASC;SG;V.PTCP;ACT	ADV
लिये	for	ले	for	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	alle	सब	al	PRO;NOM;3	ADJ;PL
सभी	alt	सब	al	PRO;NOM;3	ADJ;NEUT;SG
प्राप्त	opnåede	प्राप्त	opnå	ADJ	V;IND;PST;FIN;ACT
प्राप्त	opnået	प्राप्त	opnå	ADJ	V;INDF;SG;PST;V.PTCP
प्राप्त	modtages	प्राप्त	modtage	ADJ	V;NFIN;PASS
प्राप्त	modtagne	प्राप्त	modtagne	ADJ	V;PL;PST;V.PTCP
प्राप्त	modtog	प्राप्त	modtage	ADJ	V;IND;PST;FIN;ACT
प्राप्त	modtaget	प्राप्त	modtage	ADJ	V;INDF;SG;PST;V.PTCP
प्राप्त	modtager	प्राप्त	modtage	ADJ	V;IND;PRS;FIN;ACT
प्राप्त	modtag	प्राप्त	modtage	ADJ	V;IMP
प्राप्त	modtage	प्राप्त	modtage	ADJ	V;NFIN;ACT
इसका	dens	यह	dens	PRO;MASC;SG;3	DET;3
इसका	dets	यह	dets	PRO;MASC;SG;3	DET;3
इसका	its	यह	itse	PRO;MASC;SG;3	
प्रयोग	eksperimenterne	प्रयोग	eksperiment	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
प्रयोग	eksperimenter	प्रयोग	eksperiment	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
प्रयोग	eksperimentere	प्रयोग	eksperimentere	N;NOM;MASC;SG;3	V;NFIN;ACT
प्रयोग	eksperimenter	प्रयोग	eksperiment	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
शामिल	involverede	शामिल	involvere	ADJ	V;PL;PST;V.PTCP
शामिल	involveret	शामिल	involvere	ADJ	V;INDF;SG;PST;V.PTCP
शामिल	omfattet	शामिल	omfatte	ADJ	N;DEF;NEUT;SG
शामिल	inkluderet	शामिल	inkludere	ADJ	V;INDF;SG;PST;V.PTCP
शामिल	omfattede	शामिल	omfatte	ADJ	V;IND;PST;FIN;ACT
शामिल	inkluderede	शामिल	inkludere	ADJ	V;PL;PST;V.PTCP
शामिल	medtaget	शामिल	medtage	ADJ	V;INDF;SG;PST;V.PTCP
शामिल	omfatte	शामिल	omfatte	ADJ	V;NFIN;ACT
उन्हें	them	वह	them	PRO;SG;3;FORM	
उन्हें	dem	वह	de	PRO;SG;3;FORM	PRO;ACC;PL;3
स्थान	pladser	स्थान	plads	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
स्थान	steder	स्थान	sted	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
स्थान	placeringer	स्थान	placering	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
स्थान	steder	स्थान	sted	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
स्थान	lokaliteter	स्थान	lokalitet	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
स्थान	place	स्थान	place	N;NOM;MASC;SG;3	
प्रमुख	major	प्रमुख	major	N;NOM;MASC;SG;3	
प्रमुख	vigtigste	प्रमुख	vigtig	N;NOM;MASC;SG;3	ADJ;DEF;RL
प्रमुख	main	प्रमुख	main	N;NOM;MASC;SG;3	
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	stranden	बीच	strand	ADV;NOM;MASC;SG;3	N;DEF;MASC+FEM;SG
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	
बीच	strand	बीच	strand	ADV;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
बीच	centrum	बीच	centrum	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
बीच	midtpunkt	बीच	midtpunkt	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
बीच	midten	बीच	midte	ADV;NOM;MASC;SG;3	N;DEF;MASC+FEM;SG
बीच	centreret	बीच	centerere	ADV;NOM;MASC;SG;3	V;INDF;SG;PST;V.PTCP
गए	væk	जा	væk	V;PFV;MASC;PL;V.PTCP;ACT	ADV
गए	borte	जा	borte	V;PFV;MASC;PL;V.PTCP;ACT	ADV
मुख्य	chef	मुख्य	chef	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
मुख्य	chief	मुख्य	chief	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
मुख्य	høvding	मुख्य	høvding	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
मुख्य	vigtigste	मुख्य	vigtig	PROPN;NOM;MASC;SG;3	ADJ;DEF;RL
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	
थी	var	था	være	V;FEM;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
थी	blev	था	blive	V;FEM;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	
उसे	ham	वह	han	PRO;SG;3	PRO;ACC;MASC+FEM;SG;3
उसे	hende	वह	hun	PRO;SG;3	PRO;ACC;MASC+FEM;SG;3
उसे	hendes	वह	hendes	PRO;SG;3	DET;3
कार्य	opgaver	कार्य	opgave	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
कार्य	arbejdsopgaver	कार्य	arbejdsopgave	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
कार्य	arbejder	कार्य	arbejde	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
कार्य	arbejd	कार्य	arbejd	N;NOM;MASC;SG;3	V;IMP
कार्य	arbejdspladser	कार्य	arbejdsplads	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
कार्य	jobs	कार्य	job	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
उनकी	deres	वह	deres	PRO;FEM;SG;3;FORM	DET;3
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	
नगर	city	नगर	city	N;NOM;MASC;SG;3	
नगर	nagar	नगर	nagar	N;NOM;MASC;SG;3	
उपयोग	anvend	उपयोग	anvende	N;NOM;MASC;SG;3	V;IMP
उपयोग	anvendelser	उपयोग	anvendelse	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
लोगों	people	लोग	peopl	N;ACC;MASC;PL;3	
आधार	basis	आधार	basis	N;NOM;MASC;SG;3	
आधार	basis	आधार	basis	N;NOM;MASC;SG;3	
काम	arbejder	काम	arbejde	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
काम	arbejd	काम	arbejd	N;NOM;MASC;SG;3	V;IMP
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	
भाग	strækninger	भाग	strækning		N;INDF;MASC+FEM;PL
भाग	sektioner	भाग	sektion		N;INDF;MASC+FEM;PL
भाग	del	भाग	del		N;INDF;MASC+FEM;SG
भाग	reservedele	भाग	reservedel		N;INDF;MASC+FEM;PL
भाग	dele	भाग	del		N;INDF;MASC+FEM;PL
निर्माण	byg	निर्माण	byg	N;NOM;MASC;SG;3	V;IMP
निर्माण	bygge	निर्माण	bygge	N;NOM;MASC;SG;3	V;NFIN;ACT
निर्माण	build	निर्माण	build	N;NOM;MASC;SG;3	
दोनों	både	दो	både	N;ACC;MASC;PL;3	ADV
दोनों	begge	दो	begge	N;ACC;MASC;PL;3	PRO;PL
राष्ट्रीय	nationale	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;PL
राष्ट्रीय	nationalt	राष्ट्रीय	nationalt	PROPN;NOM;MASC;SG;3	ADV
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	
राष्ट्रीय	landsdækkende	राष्ट्रीय	landsdækkende	PROPN;NOM;MASC;SG;3	ADJ
जानकारी	oplysninger	जानकारी	oplysning	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
जानकारी	oplysninger	जानकारी	oplysning	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
शहर	downtown	शहर	downtown	N;NOM;MASC;SG;3	
शहर	city	शहर	city	N;NOM;MASC;SG;3	
शहर	byerne	शहर	by	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
शहर	storbyer	शहर	storby	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
शहर	byer	शहर	by	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
बार	tremmer	बार	tremme	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
बार	stænger	बार	stang	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
बार	bjælker	बार	bjælke	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
बार	barer	बार	bar	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
बार	tidspunkter	बार	tidspunkt	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
बार	gange	बार	gang	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
बार	tiderne	बार	tid	N;NOM;FEM;SG;3	N;DEF;MASC+FEM;PL
बार	tider	बार	tid	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
बार	times	बार	time	N;NOM;FEM;SG;3	N;GEN;INDF;MASC+FEM;SG
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	
लगभग	næsten	लगभग	næsten	PART	ADV
फिल्म	movie	फिल्म	movie	N;NOM;FEM;SG;3	
फिल्म	film	फिल्म	film	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
फिल्म	filme	फिल्म	filme	N;NOM;FEM;SG;3	V;NFIN;ACT
फिल्म	film	फिल्म	film	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
यहाँ	her	यहाँ	her	PRO;NOM	ADV
प्रसिद्ध	berømtheder	प्रसिद्ध	berømthed	ADJ	N;INDF;MASC+FEM;PL
केवल	kun	केवल	kun	PART	ADV
देश	lande	देश	land	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
देश	landene	देश	land	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
देश	lande	देश	land	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
अलग	adskilt	अलग	adskille	ADJ	V;INDF;SG;PST;V.PTCP
अलग	separeret	अलग	separere	ADJ	V;INDF;SG;PST;V.PTCP
अलग	forskelligt	अलग	forskelligt	ADJ	ADV
अलग	separat	अलग	separat	ADJ	ADV
अलग	adskilt	अलग	adskille	ADJ	V;INDF;SG;PST;V.PTCP
अलग	separate	अलग	separat	ADJ	N;INDF;NEUT;SG
विशेष	eneret	विशेष	eneret	ADJ;NOM	N;INDF;MASC+FEM;SG
विशेष	særligt	विशेष	særligt	ADJ;NOM	ADV
विशेष	særlig	विशेष	særlig	ADJ;NOM	ADV
इसकी	dens	यह	dens	PRO;FEM;SG;3	DET;3
इसकी	dets	यह	dets	PRO;FEM;SG;3	DET;3
इसकी	its	यह	itse	PRO;FEM;SG;3	
कभी	ever	कभी	ever	PRO	
कभी	nogensinde	कभी	nogensinde	PRO	ADV
दी	givne	दे	givn	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;PL
दी	given	दे	give	V;PFV;FEM;SG;V.PTCP;ACT	N;INDF;MASC+FEM;SG
पृष्ठ	siden	पृष्ठ	siden	N;NOM;MASC;SG;3	ADV
पृष्ठ	page	पृष्ठ	page	N;NOM;MASC;SG;3	
पृष्ठ	sider	पृष्ठ	side	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
माना	overvejes	मान	overveje	V;PFV;MASC;SG;V.PTCP;ACT	V;PRS;NFIN;PASS
माना	mana	मान	mana	V;PFV;MASC;SG;V.PTCP;ACT	
माना	angiveligt	मान	angiveligt	V;PFV;MASC;SG;V.PTCP;ACT	ADV
माना	påstås	मान	påstås	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;PRS;FIN;PASS
माना	antageligt	मान	antagelig	V;PFV;MASC;SG;V.PTCP;ACT	ADV
शब्द	ord	शब्द	ord	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
शब्द	ord	शब्द	ord	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
तीन	three	तीन	thre	NUM	
पुरस्कार	belønninger	पुरस्कार	belønning	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
पुरस्कार	tilslag	पुरस्कार	tilslag	N;NOM;MASC;SG;3	
पुरस्कार	tildelinger	पुरस्कार	tildeling	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
पुरस्कार	awards	पुरस्कार	award	N;NOM;MASC;SG;3	
पुरस्कार	præmier	पुरस्कार	præmie	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
लेख	artikler	लेख	artikel	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
लेख	genstande	लेख	genstand	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
लेख	artiklerne	लेख	artikel	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
अब	nu	अब	nu	PRO;NOM	ADV
अमेरिका	america	अमेरिका	america	PROPN;NOM;MASC;SG;3	
अमेरिका	amerika	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
अमेरिका	usa	अमेरिका	usa	PROPN;NOM;MASC;SG;3	PROPN
मंदिर	temple	मंदिर	templ	N;NOM;MASC;SG;3	
अलावा	tilføjelse	अलावा	tilføjelse	ADP	N;INDF;NEUT;SG
अलावा	tilsætning	अलावा	tilsætning	ADP	N;INDF;MASC+FEM;SG
अलावा	bortset	अलावा	bortset	ADP	V;INDF;SG;PST;V.PTCP
वार्ता	samtalerne	वार्ता	samtale	N;NOM;FEM;SG;3	N;DEF;MASC+FEM;PL
दक्षिण	sydpå	दक्षिण	sydpå	PROPN;NOM;MASC;SG;3	ADV
दक्षिण	sydlige	दक्षिण	sydlig	PROPN;NOM;MASC;SG;3	ADJ;PL
दक्षिण	syd	दक्षिण	syd	PROPN;NOM;MASC;SG;3	N;INDF
विभिन्न	forskelligt	विभिन्न	forskelligt	ADJ	ADV
फ़िल्म	movie	फ़िल्म	movie	N;NOM;FEM;SG;3	
फ़िल्म	film	फ़िल्म	film	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
फ़िल्म	filme	फ़िल्म	filme	N;NOM;FEM;SG;3	V;NFIN;ACT
फ़िल्म	film	फ़िल्म	film	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
पास	passere	पास	passere	ADV;NOM;MASC;SG;3	V;NFIN;ACT
पास	aflevering	पास	aflevering	ADV;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
पास	bestået	पास	bestå	ADV;NOM;MASC;SG;3	V;INDF;SG;PST;V.PTCP
पास	pass	पास	pass	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
विस्तृत	detaljeret	विस्तृत	detaljeret	ADJ	V;INDF;SG;PST;V.PTCP
विस्तृत	udtømmende	विस्तृत	udtømme	ADJ	V;PRS;V.PTCP
विस्तृत	avancerede	विस्तृत	avanceret	ADJ	V;PL;PST;V.PTCP
विस्तृत	avanceret	विस्तृत	avanceret	ADJ	V;INDF;SG;PST;V.PTCP
