som	kot	som	kot	ADP	CONJ
noe	karkoli	noe	karkoli		PRO;NOM;NEUT;SG
hvor	kjer	hvor	kjer		CONJ
hvor	kje	hvor	kje		ADV
mange	mnogi	mange	mnog	ADJ;PL	DET;NOM;MASC;PL
mange	veliko	mange	veliko	ADJ;PL	DET
siden	stran	siden	stran		N;NOM;FEM;SG
tidligere	predhodno	tidligere	predhodno	N;INDF;FEM;SG	ADV
tidligere	prej	tidligere	prej	N;INDF;FEM;SG	ADV;CMPR
tidligere	prej	tidligere	prej	N;INDF;FEM;SG	ADV;CMPR
tidligere	nekdanje	tidligere	nekdanji	N;INDF;FEM;SG	ADJ;NOM;FEM;PL
tidligere	nekdanja	tidligere	nekdanji	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
tidligere	nekdanji	tidligere	nekdanji	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
tidligere	predhodna	tidligere	predhoden	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
tidligere	prejšnja	tidligere	prejšnji	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
tidligere	predhodni	tidligere	predhoden	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
tidligere	prejšnji	tidligere	prejšnji	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
tidligere	predhodno	tidligere	predhodno	N;INDF;FEM;SG	ADV
sammen	skupaj	sam	skupaj		ADV
ligger	polaganje	ligger	polaganje	V;IND;PRS;FIN	N;NOM;NEUT;SG
før	preden	før	preden	ADP	CONJ
før	prej	før	prej	ADP	ADV;CMPR
død	mrtev	død	mrtev	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
disse	teh	disse	ta	N;INDF;NEUT;SG	DET;GEN;MASC;PL
disse	te	disse	ta	N;INDF;NEUT;SG	DET;NOM;FEM;PL
disse	tele	disse	tel	N;INDF;NEUT;SG	
senere	pozneje	senere	pozno		ADV;CMPR
senere	kasneje	senere	kasno		ADV;CMPR
del	del	dele	del	V;IMP;FIN	N;NOM;MASC;SG
del	delno	dele	delno	V;IMP;FIN	ADV
del	del	dele	del	V;IMP;FIN	N;NOM;MASC;SG
del	deli	dele	del	V;IMP;FIN	N;NOM;MASC;PL
del	delimo	dele	deliti	V;IMP;FIN	V;IPFV;IND;PL;1;PRS;FIN
del	delež	dele	delež	V;IMP;FIN	N;INAN;ACC;MASC;SG
del	delim	dele	del	V;IMP;FIN	V;IPFV;IND;SG;1;PRS;FIN
norske	norveško	norsk	norveški	ADJ;PL	ADJ;NOM;NEUT;SG
norske	norveška	norsk	norveški	ADJ;PL	ADJ;NOM;FEM;SG
norske	norveški	norsk	norveški	ADJ;PL	ADJ;NOM;DEF;MASC;SG
tre	tre	tre	trije	NUM;PL	
tre	jelka	tre	jelka	NUM;PL	PROPN;NOM;FEM;SG
tre	drevo	tre	drevo	NUM;PL	N;NOM;NEUT;SG
tre	three	tre	three	NUM;PL	
mer	več	mer	več	N;INDF;MASC;SG	DET
mer	bolj	mer	bolj	N;INDF;MASC;SG	ADV;CMPR
oslo	oslo	oslo	oslo	PROPN	PROPN;NOM;MASC;SG
selv	celo	selv	celo		PART
annet	drugi	annet	drug	N;INDF;NEUT;SG	ADJ;NOM;MASC;SG
annet	drugo	annet	drug	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
annet	druga	annet	drug	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
annet	druge	annet	drug	N;INDF;NEUT;SG	ADJ;NOM;FEM;PL
samme	ista	samme	isti	N;INDF;NEUT;SG	DET;NOM;FEM;SG
samme	enaka	samme	enak	N;INDF;NEUT;SG	DET;NOM;FEM;SG
samme	enako	samme	enako	N;INDF;NEUT;SG	ADV
samme	isto	samme	isti	N;INDF;NEUT;SG	DET;NOM;NEUT;SG
store	velika	stor	velik	ADJ;PL	ADJ;NOM;FEM;SG
store	veliki	stor	velik	ADJ;PL	ADJ;NOM;DEF;MASC;SG
store	velik	stor	velik	ADJ;PL	ADJ;NOM;INDF;MASC;SG
and	duck	and	duck		N;NOM;MASC;SG
and	račka	and	raček		N;NOM;FEM;SG
and	raca	and	rac		N;NOM;FEM;SG
kjent	znane	kjent	znan	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;PL;V.PTCP
kjent	znani	kjent	znan	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;PL;V.PTCP
sitt	sedi	sin	sedeti	PRO;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN
mai	mai	mai	maš	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
mai	maj	mai	maj	N;INDF;MASC;SG	
bare	le	bare	le	ADV	PART
bare	samo	bare	samo	ADV	PART
bare	le	bare	le	ADV	PART
bare	samo	bare	samo	ADV	PART
nord	severna	nord	severen	ADP	ADJ;NOM;FEM;SG
nord	severni	nord	severen	ADP	ADJ;NOM;DEF;MASC;SG
nord	severno	nord	severen	ADP	ADV
nord	sever	nord	sever	ADP	N;NOM;MASC;SG
nord	nord	nord	nord	ADP	PROPN;NOM;MASC;SG
kunne	lahko	kunne	lahko	V;IND;PST;FIN	ADV
gjennom	skoz	gjennom	skoz	ADP	
slik	takšne	slik	takšen	ADV	DET;NOM;FEM;PL
slik	takšna	slik	takšen	ADV	DET;NOM;FEM;SG
slik	take	slik	tak	ADV	DET;NOM;FEM;PL
ord	beseda	ord	beseda	N;INDF;NEUT;PL	N;NOM;FEM;SG
ord	besedo	ord	beseda	N;INDF;NEUT;PL	N;ACC;FEM;SG
sør	južno	sør	južen	ADP	ADV
sør	jug	sør	jug	ADP	N;NOM;MASC;SG
sør	južna	sør	južen	ADP	ADJ;NOM;FEM;SG
mens	mens	mens	mens	CONJ	N;NOM;MASC;SG
rundt	naokrog	rundt	naokrog	ADP	ADV
rundt	krog	rundt	krog	ADP	N;NOM;MASC;SG
rundt	okrogla	rundt	okrogel	ADP	ADJ;NOM;FEM;SG
rundt	okrogle	rundt	okrogel	ADP	ADJ;NOM;FEM;PL
rundt	rundo	rundt	rundo	ADP	N;ACC;FEM;SG
rundt	okrogel	rundt	okrogeti	ADP	ADJ;NOM;INDF;MASC;SG
rundt	okroglo	rundt	okrogel	ADP	ADJ;NOM;NEUT;SG
sine	njihovi	sin	njihov	PRO;PL	DET;NOM;MASC;PL;3
sine	njihov	sin	njihov	PRO;PL	DET;NOM;MASC;SG;3
sine	njihovo	sin	njihov	PRO;PL	DET;NOM;NEUT;SG;3
sine	njuna	sin	njun	PRO;PL	DET;NOM;FEM;SG;3
sine	njihova	sin	njihov	PRO;PL	DET;NOM;FEM;SG;3
sine	njihove	sin	njihov	PRO;PL	DET;NOM;FEM;SG;3
sine	its	sin	its	PRO;PL	
usa	zda	usa	zdati	N	PROPN;GEN;FEM;PL
usa	usa	usa	usa	N	
når	kadar	når	kadar	ADV	CONJ
når	ko	når	ko	ADV	CONJ
både	obe	både	oba	CONJ	DET;NOM;FEM;DU
både	oba	både	oba	CONJ	DET;NOM;MASC;DU
byen	city	by	city	N;DEF;MASC;SG	PROPN;NOM;MASC;SG
vant	zmagali	venje	zmagati	N;INDF;MASC;SG	V;PFV;MASC;PL;V.PTCP
vant	zmagala	venje	zmagati	N;INDF;MASC;SG	V;PFV;FEM;SG;V.PTCP
vant	zmagal	venje	zmagati	N;INDF;MASC;SG	V;PFV;MASC;SG;V.PTCP
navn	imena	navn	ime	N;INDF;NEUT;SG	N;NOM;NEUT;PL
navn	imen	navn	ime	N;INDF;NEUT;SG	N;GEN;NEUT;PL
meter	meter	meter	meter	N;INDF;MASC;PL	N;NOM;MASC;SG
dag	day	dag	day	N;INDF;MASC;SG	
plass	vesoljska	plass	vesoljski	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
finnes	obstajajo	finnan	obstajati		V;IPFV;IND;PL;3;PRS;FIN
finnes	obstaja	finnan	obstajati		V;IPFV;IND;SG;3;PRS;FIN
nye	novo	ny	nov	ADJ;PL	ADJ;NOM;NEUT;SG
nye	nov	ny	nov	ADJ;PL	ADJ;NOM;INDF;MASC;SG
nye	novi	ny	nov	ADJ;PL	ADJ;NOM;DEF;MASC;SG
nye	nova	ny	nov	ADJ;PL	ADJ;NOM;FEM;SG
mest	večina	mykje	večina	ADJ;INDF;RL	N;NOM;FEM;SG
mest	večini	mykje	večina	ADJ;INDF;RL	N;DAT;FEM;SG
mest	največ	mykje	največ	ADJ;INDF;RL	DET
mest	najbolj	mykje	najbolj	ADJ;INDF;RL	ADV;RL
mest	večinoma	mykje	večinoma	ADJ;INDF;RL	ADV
mest	največkrat	mykje	največkrat	ADJ;INDF;RL	ADV;RL
stor	velike	stor	velik	ADJ;INDF;SG	ADJ;NOM;FEM;PL
stor	veliki	stor	velik	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
stor	velike	stor	velik	ADJ;INDF;SG	ADJ;NOM;FEM;PL
stor	ogromne	stor	ogromen	ADJ;INDF;SG	ADJ;NOM;FEM;PL
siste	nazadnje	sist	nazadnje	ADJ;DEF;SG	ADV
siste	zadnje	sist	zadnji	ADJ;DEF;SG	ADJ;NOM;FEM;PL
siste	najnovejši	sist	nov	ADJ;DEF;SG	ADJ;NOM;DEF;RL;MASC;SG
siste	najnovejše	sist	nov	ADJ;DEF;SG	ADJ;NOM;RL;FEM;SG
juni	june	juni	juna	N;INDF;MASC;SG	
ofte	pogosto	ofte	pogosto	ADJ	ADV
ofte	pogosto	ofte	pogosto	ADJ	ADV
mål	cilji	mål	cilj	N;INDF;NEUT;SG	N;NOM;MASC;PL
juli	juli	juli	juli	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
går	hojo	gå	hoja	V;IND;PRS;FIN	N;ACC;FEM;SG
går	hoja	gå	hoja	V;IND;PRS;FIN	N;NOM;FEM;SG
går	hoje	gå	hoja	V;IND;PRS;FIN	N;GEN;FEM;SG
går	peš	gå	peš	V;IND;PRS;FIN	N;NOM;MASC;SG
går	sprehode	gå	sprehod	V;IND;PRS;FIN	N;ACC;MASC;PL
går	sprehodi	gå	sprehod	V;IND;PRS;FIN	N;NOM;MASC;PL
tilbake	zadaj	tilbake	zadaj	ADP	
tilbake	hrbet	tilbake	hrbet	ADP	N;NOM;MASC;SG
tilbake	nazaj	tilbake	nazaj	ADP	ADV
dem	njimi	dem	on		PRO;DAT;MASC;PL;3
dem	jih	dem	on		PRO;ACC;MASC;PL;3
dem	njih	dem	on		PRO;GEN;MASC;PL;3
totalt	totalno	total	totalno	ADJ;INDF;NEUT;SG	ADV
totalt	popolnoma	total	popolnoma	ADJ;INDF;NEUT;SG	ADV
totalt	skupaj	total	skupaj	ADJ;INDF;NEUT;SG	ADV
fire	four	fire	four	NUM;PL	
ham	njega	ham	on	N;INDF;MASC;SG	PRO;GEN;MASC;SG;3
ham	ga	ham	on	N;INDF;MASC;SG	PRO;ACC;MASC;SG;3
isbn	isbn	isbn	isbn	ADV	
gruppen	skupinsko	grupp	skupinski	N;DEF;MASC;SG	ADJ;NOM;NEUT;SG
gruppen	skupinski	grupp	skupinski	N;DEF;MASC;SG	ADJ;NOM;MASC;SG
gruppen	skupinska	grupp	skupinski	N;DEF;MASC;SG	ADJ;NOM;FEM;SG
uten	brez	uten	brez	N;INDF;NEUT;SG	ADP;GEN
diff	diff	diff	diff	N	
new	novo	new	nov	N;INDF;SG	ADJ;NOM;NEUT;SG
new	nov	new	nov	N;INDF;SG	ADJ;NOM;INDF;MASC;SG
new	novi	new	nov	N;INDF;SG	ADJ;NOM;DEF;MASC;SG
new	nove	new	nov	N;INDF;SG	ADJ;NOM;FEM;PL
new	nova	new	nov	N;INDF;SG	ADJ;NOM;FEM;SG
laget	narejena	lag	narejen	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;V.PTCP
laget	narejeni	lag	narejen	N;DEF;NEUT;SG	ADJ;NOM;MASC;PL;V.PTCP
laget	narejen	lag	narejen	N;DEF;NEUT;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
laget	narejeno	lag	narejen	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;V.PTCP
laget	ekipno	lag	ekipno	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG
mye	veliko	mye	veliko	N;INDF;MASC;SG	DET
london	london	london	london	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
utgitt	objavljene	utgitt	objavljen	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
utgitt	objavljeni	utgitt	objavljen	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
engelsk	angleško	engelsk	angleško	N;INDF;MASC;SG	ADV
engelsk	angleži	engelsk	anglež	N;INDF;MASC;SG	N;NOM;MASC;PL
engelsk	angleški	engelsk	angleški	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
ingen	nobene	ingen	noben	PRO;PL;3;NEG	DET;GEN;NEUT;SG
ingen	nobenega	ingen	noben	PRO;PL;3;NEG	DET;GEN;MASC;SG
ingen	noben	ingen	noben	PRO;PL;3;NEG	PRO;NOM;MASC;SG
ingen	nobena	ingen	noben	PRO;PL;3;NEG	DET;NOM;FEM;SG
ingen	nihče	ingen	nihče	PRO;PL;3;NEG	PRO;NOM;MASC;SG
brukt	uporabljene	bruke	uporabljen	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
brukt	uporabljeni	bruke	uporabljen	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
først	prva	først	prvi	ADV	ADJ;NOM;FEM;SG
først	prvo	først	prvi	ADV	ADJ;ACC;NEUT;SG
først	prvi	først	prvi	ADV	ADJ;NOM;MASC;PL
land	zemljišča	land	zemljišče	N;INDF;NEUT;SG	N;NOM;NEUT;PL
land	države	land	država	N;INDF;NEUT;SG	N;NOM;FEM;PL
sommer	poletna	sommer	poleten	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
sommer	poletni	sommer	poleten	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
sommer	poletno	sommer	poleten	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
sommer	poleti	sommer	poleti	N;INDF;MASC;SG	ADV
helt	totalno	helt	totalno	N;INDF;MASC;SG	ADV
helt	popolnoma	helt	popolnoma	N;INDF;MASC;SG	ADV
helt	popolnoma	helt	popolnoma	N;INDF;MASC;SG	ADV
vest	zahodna	vest	zahoden	ADP	ADJ;NOM;FEM;SG
vest	zahod	vest	zahod	ADP	N;NOM;MASC;SG
vest	zahodno	vest	zahodno	ADP	ADV
vest	jopič	vest	jopič	ADP	N;INAN;ACC;MASC;SG
vest	telovnik	vest	telovnik	ADP	N;NOM;MASC;SG
vest	zahodna	vest	zahoden	ADP	ADJ;NOM;FEM;SG
vest	zahodni	vest	zahoden	ADP	ADJ;NOM;DEF;MASC;SG
vest	western	vest	western	ADP	
vest	zahodno	vest	zahodno	ADP	ADV
beste	best	god	best	ADJ;DEF;RL	
amerikansk	ameriške	amerikansk	ameriški	ADJ;INDF;SG	ADJ;NOM;FEM;PL
amerikansk	ameriški	amerikansk	ameriški	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
grunn	razlogi	grunn	razlog	N;INDF;MASC;SG	N;NOM;MASC;PL
deres	njihovi	deres	njihov	N;INDF;MASC;SG	DET;NOM;MASC;PL;3
deres	njihov	deres	njihov	N;INDF;MASC;SG	DET;NOM;MASC;SG;3
deres	njihovo	deres	njihov	N;INDF;MASC;SG	DET;NOM;NEUT;SG;3
deres	njuna	deres	njun	N;INDF;MASC;SG	DET;NOM;FEM;SG;3
deres	njihova	deres	njihov	N;INDF;MASC;SG	DET;NOM;FEM;SG;3
deres	njihove	deres	njihov	N;INDF;MASC;SG	DET;NOM;FEM;SG;3
deres	njihovi	deres	njihov	N;INDF;MASC;SG	DET;NOM;MASC;PL;3
deres	njuna	deres	njun	N;INDF;MASC;SG	DET;NOM;FEM;SG;3
deres	njihova	deres	njihov	N;INDF;MASC;SG	DET;NOM;FEM;SG;3
kommer	prihaja	kommer	prihajati		V;IPFV;IND;SG;3;PRS;FIN
mindre	manj	liten	manj	ADJ;CMPR	DET
rekke	serije	rekke	serija	N;INDF;FEM;SG	N;NOM;FEM;PL
hva	kaj	hva	kaj	N;INDF;NEUT;SG	PRO;ACC;NEUT;SG
landet	pristalo	land	pristati	N;DEF;NEUT;SG	V;PFV;NEUT;SG;V.PTCP
landet	pristal	land	pristati	N;DEF;NEUT;SG	V;PFV;MASC;SG;V.PTCP
landet	pristali	land	pristati	N;DEF;NEUT;SG	V;PFV;MASC;PL;V.PTCP
arter	vrsta	arter	vrsta	N;INDF;FEM;PL	N;NOM;FEM;SG
ville	ville	vilje	vill	V;IND;PST;FIN	PROPN;NOM;FEM;PL
ville	bi	vilje	bi	V;IND;PST;FIN	
ned	dol	ned	dol	ADP	
ned	navzdol	ned	navzdol	ADP	ADV
ned	ned	ned	ned	ADP	N;NOM;MASC;SG
ned	neda	ned	ned	ADP	N;NOM;MASC;SG
john	john	john	john	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
john	janez	john	janez	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
lag	ekipno	lag	ekipno	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
årene	vesla	år	veslo	N;DEF;FEM;PL	N;NOM;MASC;SG
tatt	vzet	ta	vzet	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;NFIN
tatt	ujel	ta	ujeti	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;SG;V.PTCP
tatt	ujeli	ta	ujeti	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;PL;V.PTCP
tatt	ujeli	ta	ujeti	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;PL;V.PTCP
brukes	uporabljen	brukes	uporabljen		ADJ;NOM;INDF;MASC;SG;V.PTCP
brukes	uporabljena	brukes	uporabljen		ADJ;NOM;FEM;SG;V.PTCP
brukes	uporabljeno	brukes	uporabljeno		ADJ;NOM;NEUT;SG;V.PTCP
brukes	uporabljene	brukes	uporabljen		ADJ;NOM;FEM;PL;V.PTCP
brukes	uporabljeni	brukes	uporabljen		ADJ;NOM;MASC;PL;V.PTCP
bruk	uveljavi	bruk	uveljava	N;INDF;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
bruk	use	bruk	usa	N;INDF;MASC;SG	
kun	le	kun	le	N;INDF;NEUT;SG	PART
kun	samo	kun	samo	N;INDF;NEUT;SG	PART
kalt	poklical	kalle	poklicati	ADJ;INDF;NEUT;SG	V;PFV;MASC;SG;V.PTCP
øst	vzhodni	øs	vzhoden	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
øst	vzhodna	øs	vzhoden	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
øst	vzhodno	øs	vzhoden	N;INDF;NEUT;SG	ADV
øst	vzhodni	øs	vzhoden	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
øst	vzhodna	øs	vzhoden	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
øst	vzhodno	øs	vzhoden	N;INDF;NEUT;SG	ADV
døde	mrtev	død	mrtev	ADJ;PL	ADJ;NOM;INDF;MASC;SG
døde	umrla	død	umreti	ADJ;PL	V;PFV;FEM;SG;V.PTCP
døde	umrl	død	umreti	ADJ;PL	V;PFV;MASC;SG;V.PTCP
sverige	švedska	sverige	švedska	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
county	okrožni	county	okrožen	N;INDF;SG	ADJ;NOM;MASC;SG
tyskland	nemčija	tyskland	nemčija	PROPN	PROPN;NOM;FEM;SG
tysk	nemško	tysk	nemški	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
tysk	nemška	tysk	nemški	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
tysk	nemški	tysk	nemški	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
derfor	zato	derfor	zato	ADV	CONJ
derfor	zatorej	derfor	zatorej	ADV	
gamle	star	gammal	star	ADJ;PL	N;NOM;MASC;SG
gamle	staro	gammal	star	ADJ;PL	ADJ;NOM;NEUT;SG
gamle	stara	gammal	star	ADJ;PL	ADJ;NOM;FEM;SG
frem	naprej	frem	naprej	N;INDF;MASC;SG	ADV
skrevet	pisno	skrev	pisno	N;DEF;NEUT;SG	ADV
skrevet	napisano	skrev	napisan	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;V.PTCP
skrevet	napisana	skrev	napisan	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;V.PTCP
skrevet	pisna	skrev	pisen	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG
skrevet	zapisano	skrev	zapisan	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;V.PTCP
imidlertid	kakorkoli	imidlertid	kakorkoli	N;INDF;FEM;SG	ADV
amerikanske	ameriško	amerikansk	ameriški	ADJ;PL	ADJ;NOM;NEUT;SG
amerikanske	ameriški	amerikansk	ameriški	ADJ;PL	ADJ;NOM;DEF;MASC;SG
amerikanske	ameriška	amerikansk	ameriški	ADJ;PL	ADJ;NOM;FEM;SG
kjente	znana	kjent	znan	ADJ;PL	ADJ;NOM;FEM;SG;V.PTCP
