категория	kategorien	категория	kategorien	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
были	waren	быть	sein	V;IPFV;IND;PL;PST;FIN;ACT	V;IND;PL;3;PST;FIN
район	gegend	район	gegend	N;INAN;NOM;MASC;SG	ADV
район	nachbarschaft	район	nachbarschaft	N;INAN;NOM;MASC;SG	ADJ
район	viertel	район	viertel	N;INAN;NOM;MASC;SG	
район	stadtviertel	район	stadtviertel	N;INAN;NOM;MASC;SG	ADJ
район	district	район	district	N;INAN;NOM;MASC;SG	PROPN
район	bezirk	район	bezirk	N;INAN;NOM;MASC;SG	PROPN
район	stadtteil	район	stadtteil	N;INAN;NOM;MASC;SG	ADJ
район	distrikt	район	distrikt	N;INAN;NOM;MASC;SG	ADJ
район	gebiet	район	gebieten	N;INAN;NOM;MASC;SG	ADJ
район	bereich	район	bereich	N;INAN;NOM;MASC;SG	ADV
вид	tierarten	вид	tierarten	N;INAN;NOM;MASC;SG	V;NFIN
вид	arten	вид	arten	N;INAN;NOM;MASC;SG	N;PL
вид	tierart	вид	tierart	N;INAN;NOM;MASC;SG	ADJ
вид	spezies	вид	spezies	N;INAN;NOM;MASC;SG	
вид	gattung	вид	gattung	N;INAN;NOM;MASC;SG	ADJ
вид	aussicht	вид	aussechen	N;INAN;NOM;MASC;SG	PROPN
вид	anzeigen	вид	anzeigen	N;INAN;NOM;MASC;SG	V;NFIN
вид	blick	вид	blick	N;INAN;NOM;MASC;SG	ADV
под	under	под	under	ADP	
только	einzige	только	einzig	PART	ADJ;NOM;FEM;PL
только	einzig	только	einzig	PART	ADJ
только	lediglich	только	lediglich	PART	ADV
только	einzigen	только	einzig	PART	ADJ;NOM;PL
только	nur	только	nur	PART	ADV
только	gerade	только	gerade	PART	ADV
только	eben	только	eben	PART	ADV
только	nur	только	nur	PART	ADV
только	einfach	только	einfach	PART	ADV
только	just	только	just	PART	PROPN;NOM;SG
есть	got	быть	got	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
есть	habe	быть	haben	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
есть	hab	быть	haben	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
язык	zungen	язык	zung	N;INAN;NOM;MASC;SG	
язык	tongue	язык	tongue	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
язык	zunge	язык	zung	N;INAN;NOM;MASC;SG	
язык	amtssprache	язык	amtssprechen	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
язык	sprachen	язык	sprechen	N;INAN;NOM;MASC;SG	V;FIN
ссср	udssr	ссср	udssr	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ссср	sowjetunion	ссср	sowjetunion	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;SG
районе	gegend	район	gegend	N;INAN;ESS;MASC;SG	ADV
районе	nachbarschaft	район	nachbarschaft	N;INAN;ESS;MASC;SG	ADJ
районе	viertel	район	viertel	N;INAN;ESS;MASC;SG	
районе	stadtviertel	район	stadtviertel	N;INAN;ESS;MASC;SG	ADJ
код	kodex	код	kodex	N;INAN;NOM;MASC;SG	
код	vorwahl	код	vorwahl	N;INAN;NOM;MASC;SG	PROPN
код	code	код	code	N;INAN;NOM;MASC;SG	
код	quelltext	код	quelltext	N;INAN;NOM;MASC;SG	V;IND;SG;3;PST;FIN
более	weiteres	более	weit	ADV;CMPR	ADJ;NOM;NEUT;SG
более	weitere	более	weit	ADV;CMPR	ADJ;NOM;FEM;PL
мая	mai	май	mai	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
мая	kann	май	können	N;INAN;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
мая	may	май	maylen	N;INAN;GEN;MASC;SG	PROPN
мая	möge	май	mögen	N;INAN;GEN;MASC;SG	V;SBJV;SG;3;PRS;FIN
мая	darf	май	dürfen	N;INAN;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
дата	zeitpunkt	дата	zeitpunkt	N;INAN;NOM;FEM;SG	ADJ
дата	datum	дата	datum	N;INAN;NOM;FEM;SG	
ноября	november	ноябрь	november	N;INAN;GEN;MASC;SG	PROPN
деревня	feriendorf	деревня	feriendorf	N;INAN;NOM;FEM;SG	
деревня	ortschaft	деревня	ortschaft	N;INAN;NOM;FEM;SG	ADJ
января	jänner	январь	jann	N;INAN;GEN;MASC;SG	
января	januar	январь	januar	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
января	january	январь	january	N;INAN;GEN;MASC;SG	
марта	marta	март	marta	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
марта	martha	март	martha	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
марта	marsch	март	marsch	N;INAN;GEN;MASC;SG	ADJ
марта	march	март	march	N;INAN;GEN;MASC;SG	PROPN
марта	märz	март	märz	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
все	allem	все	alle	PRO;INAN;NOM;NEUT;SG	PRO;DAT;INDF;NEUT;SG
все	alle	все	alle	PRO;INAN;NOM;NEUT;SG	PRO;NOM;INDF;PL
все	all	все	all	PRO;INAN;NOM;NEUT;SG	ADV
все	alle	все	alle	PRO;INAN;NOM;NEUT;SG	PRO;NOM;INDF;PL
все	jedem	все	jed	PRO;INAN;NOM;NEUT;SG	PRO;DAT;INDF;MASC;SG
все	jedermann	все	jedermann	PRO;INAN;NOM;NEUT;SG	ADV
августа	august	август	augusten	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	PROPN;NOM;MASC;SG
октября	oktober	октябрь	oktober	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
октября	october	октябрь	october	N;INAN;GEN;MASC;SG	PROPN
октября	oktober	октябрь	oktober	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
октября	okt	октябрь	okt	N;INAN;GEN;MASC;SG	
сентября	september	сентябрь	september	N;INAN;GEN;MASC;SG	PROPN;SG
статьи	beiträge	статья	beitragen	N;INAN;NOM;FEM;PL	ADJ
статьи	artikel	статья	artikel	N;INAN;NOM;FEM;PL	ADJ
статьи	artikeln	статья	artikeln	N;INAN;NOM;FEM;PL	ADJ
июня	juni	июнь	juni	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
июня	june	июнь	jun	N;INAN;GEN;MASC;SG	PROPN
апреля	april	апрель	april	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
сша	usa	сшать	usa	N;INAN;NOM;PL	PROPN;NOM;MASC;PL
название	namen	название	name	N;INAN;NOM;NEUT;SG	
название	bezeichnung	название	Bezeichnung	N;INAN;NOM;NEUT;SG	ADJ
название	vorname	название	vornam	N;INAN;NOM;NEUT;SG	
название	überschrift	название	überschreifen	N;INAN;NOM;NEUT;SG	
название	titel	название	titel	N;INAN;NOM;NEUT;SG	
название	anrede	название	anred	N;INAN;NOM;NEUT;SG	
поселение	abwicklung	поселение	abwicklung	N;INAN;NOM;NEUT;SG	ADJ
поселение	siedlung	поселение	siedlung	N;INAN;NOM;NEUT;SG	ADJ
человек	person	человек	person	N;ANIM;NOM;MASC;SG	
человек	menschlicher	человек	menschlich	N;ANIM;NOM;MASC;SG	ADJ
человек	menschen	человек	menschen	N;ANIM;NOM;MASC;SG	N;NOM;PL
человек	menschliche	человек	menschlich	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
человек	menschlichen	человек	menschlich	N;ANIM;NOM;MASC;SG	ADJ
человек	mann	человек	mann	N;ANIM;NOM;MASC;SG	
человек	man	человек	man	N;ANIM;NOM;MASC;SG	PRO;NOM;INDF;SG
смерти	todes	смерть	tod	N;INAN;GEN;FEM;SG	
смерти	sterbefälle	смерть	sterbefäll	N;INAN;GEN;FEM;SG	ADJ
смерти	todesfälle	смерть	todesfall	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL
смерти	tode	смерть	toden	N;INAN;GEN;FEM;SG	ADV
смерти	tod	смерть	tod	N;INAN;GEN;FEM;SG	
лет	jahren	год	jahren	N;INAN;GEN;MASC;PL	ADJ
лет	jahre	год	jahren	N;INAN;GEN;MASC;PL	ADV
февраля	february	февраль	february	N;INAN;GEN;MASC;SG	
февраля	februar	февраль	februaer	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
февраля	feb	февраль	feb	N;INAN;GEN;MASC;SG	
февраля	februar	февраль	februaer	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
они	sie	они	sie	PRO;NOM;PL;3	PRO;NOM;FEM;SG;3
того	togo	то	togo	PRO;INAN;GEN;NEUT;SG	PROPN;NOM;MASC;SG
города	stadt	город	staden	N;INAN;NOM;MASC;PL	
города	ortschaften	город	ortschaften	N;INAN;NOM;MASC;PL	ADJ
города	stadt	город	staden	N;INAN;NOM;MASC;PL	
может	möglicherweise	мочь	möglicherweise	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	eventuell	мочь	eventuell	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	vllt	мочь	vllt	V;IPFV;IND;SG;3;PRS;FIN;ACT	
может	vielleicht	мочь	vielleicht	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	womöglich	мочь	womöglich	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ
может	könnte	мочь	können	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SBJV;SG;3;PST;FIN
может	könnten	мочь	können	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SBJV;PL;3;PST;FIN
может	konnte	мочь	können	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PST;FIN
может	kann	мочь	können	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
может	können	мочь	können	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
может	can	мочь	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
может	kannst	мочь	können	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;2;PRS;FIN
она	she	она	she	PRO;NOM;FEM;SG;3	PROPN
войны	kriege	война	kriegen	N;INAN;NOM;FEM;PL	
войны	kriegen	война	kriegen	N;INAN;NOM;FEM;PL	V;NFIN
войны	wars	война	wars	N;INAN;NOM;FEM;PL	
можно	kann	можно	können	ADV	V;IND;SG;3;PRS;FIN
можно	können	можно	können	ADV	V;IND;PL;3;PRS;FIN
можно	can	можно	can	ADV	
можно	kannst	можно	können	ADV	V;IND;SG;2;PRS;FIN
когда	wann	когда	wann	CONJ	ADV
высота	höhen	высота	höhen	N;INAN;NOM;FEM;SG	V;NFIN
высота	höhe	высота	höch	N;INAN;NOM;FEM;SG	
высота	körpergröße	высота	körpergröße	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
высота	grösse	высота	groß	N;INAN;NOM;FEM;SG	
высота	höhe	высота	höch	N;INAN;NOM;FEM;SG	
переписи	zensus	перепись	zensus	N;INAN;NOM;FEM;PL	PROPN
переписи	volkszählung	перепись	volkszählung	N;INAN;NOM;FEM;PL	N;SG
переписи	zählungen	перепись	zählung	N;INAN;NOM;FEM;PL	V;NFIN
переписи	zählung	перепись	zählung	N;INAN;NOM;FEM;PL	N;SG
переписи	zählungen	перепись	zählung	N;INAN;NOM;FEM;PL	V;NFIN
переписи	volkszählungen	перепись	volkszählung	N;INAN;NOM;FEM;PL	V;NFIN
село	selo	село	selo	N;INAN;NOM;NEUT;SG	PROPN;NOM;SG
село	feriendorf	село	feriendorf	N;INAN;NOM;NEUT;SG	
село	ortschaft	село	ortschaft	N;INAN;NOM;NEUT;SG	ADJ
стал	wurden	стать	werden	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;PST;FIN;PASS
стал	wurde	стать	werden	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;PASS
стал	geworden	стать	werden	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
статья	artikel	статья	artikel	N;INAN;NOM;FEM;SG	ADJ
род	gattungen	род	gattung	N;ANIM;NOM;MASC;SG	N;NOM;FEM;PL
род	gattung	род	gattung	N;ANIM;NOM;MASC;SG	ADJ
род	stab	род	stab	N;ANIM;NOM;MASC;SG	
род	rod	род	rod	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
один	allein	один	allein	NUM;NOM;MASC	ADV
один	alleine	один	alleine	NUM;NOM;MASC	ADV
один	odin	один	odin	NUM;NOM;MASC	
один	einen	один	ein	NUM;NOM;MASC	PRO;ACC;INDF;MASC;SG
один	eins	один	ein	NUM;NOM;MASC	
один	einer	один	ein	NUM;NOM;MASC	PRO;NOM;INDF;MASC;SG
один	eine	один	ein	NUM;NOM;MASC	DET;NOM;INDF;FEM;SG
один	ein	один	ein	NUM;NOM;MASC	ADV
без	without	без	withouen	ADP	
реки	river	река	river	N;INAN;NOM;FEM;PL	PROPN;NOM;SG
реки	fluss	река	flassen	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
реки	flusses	река	fluß	N;INAN;NOM;FEM;PL	ADV
реки	fluß	река	flaß	N;INAN;NOM;FEM;PL	
реки	rivers	река	rivers	N;INAN;NOM;FEM;PL	PROPN
между	dazwischen	между	dazwischen	ADP	ADV
статус	zustand	статус	zustand	N;INAN;NOM;MASC;SG	
населения	bevölkerung	население	bevölkerung	N;INAN;GEN;NEUT;SG	ADJ
населения	bevölkerungszahl	население	bevölkerungszahl	N;INAN;GEN;NEUT;SG	ADJ
населения	grundgesamtheit	население	grundgesamtheit	N;INAN;GEN;NEUT;SG	ADJ;NOM;SG
населения	einwohner	население	einwohner	N;INAN;GEN;NEUT;SG	N;NOM;MASC;PL
населения	einwohnerzahl	население	einwohnerzahl	N;INAN;GEN;NEUT;SG	ADJ
годы	jahren	год	jahren	N;INAN;ACC;MASC;PL	ADJ
годы	jahre	год	jahren	N;INAN;ACC;MASC;PL	ADV
через	via	через	via	ADP	
национальный	nationale	национальный	national	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
область	bundesland	область	bundesland	N;INAN;NOM;FEM;SG	
область	provinz	область	provinz	N;INAN;NOM;FEM;SG	
область	region	область	Region	N;INAN;NOM;FEM;SG	
область	gebiet	область	gebieten	N;INAN;NOM;FEM;SG	ADJ
область	oblast	область	oblast	N;INAN;NOM;FEM;SG	PROPN;NOM;SG
область	gebiet	область	gebieten	N;INAN;NOM;FEM;SG	ADJ
область	bereich	область	bereich	N;INAN;NOM;FEM;SG	ADV
список	verzeichnis	список	verzeichnis	N;INAN;NOM;MASC;SG	
сельское	ländliche	сельский	ländlich	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
сайт	internetseite	сайт	internetseite	N;INAN;NOM;MASC;SG	ADJ
сайт	webseiten	сайт	webseiten	N;INAN;NOM;MASC;SG	V;NFIN
сайт	webseite	сайт	webseite	N;INAN;NOM;MASC;SG	
сайт	aufstellungsort	сайт	aufstellungsort	N;INAN;NOM;MASC;SG	ADJ
сайт	webseite	сайт	webseite	N;INAN;NOM;MASC;SG	
сайт	standort	сайт	standoren	N;INAN;NOM;MASC;SG	ADV
века	zeitalter	век	zeitalter	N;INAN;NOM;MASC;PL	ADJ
века	alter	век	alt	N;INAN;NOM;MASC;PL	ADJ
века	jahrhunderten	век	jahrhundert	N;INAN;NOM;MASC;PL	V;IND;PL;3;PST;FIN
века	jahrhunderte	век	jahrhundert	N;INAN;NOM;MASC;PL	ADJ
официальный	offizielle	официальный	offiziell	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
часть	teilweise	часть	teilweise	N;INAN;NOM;FEM;SG	ADV
часть	teil	часть	teil	N;INAN;NOM;FEM;SG	ADV
против	dagegen	против	dagegen	ADP	ADV
этот	dieser	этот	dies	DET;NOM;MASC;SG	PRO;NOM;MASC;SG
этот	diese	этот	dies	DET;NOM;MASC;SG	PRO;NOM;FEM;SG
этот	das	этот	der	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG
будет	will	быть	wollen	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
будет	werden	быть	werden	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN;PASS
будет	wird	быть	werden	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;PASS
будет	wille	быть	willen	V;IPFV;IND;SG;3;PRS;FIN;ACT	
будет	werde	быть	werden	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
несколько	mehrere	несколько	mehrere	ADV	PRO;NOM;INDF;PL
несколько	vielfachen	несколько	vielfach	ADV	V;NFIN
несколько	mehrfache	несколько	mehrfach	ADV	ADJ;NOM;FEM;PL
несколько	multiple	несколько	multipl	ADV	ADJ;NOM;FEM;PL
несколько	mehrere	несколько	mehrere	ADV	PRO;NOM;INDF;PL
несколько	mehrfach	несколько	mehrfach	ADV	ADJ
город	stadt	город	staden	N;INAN;NOM;MASC;SG	
город	ortschaft	город	ortschaft	N;INAN;NOM;MASC;SG	ADJ
город	stadt	город	staden	N;INAN;NOM;MASC;SG	
мира	friede	мир	friede	N;INAN;GEN;MASC;SG	PROPN;SG
мира	peace	мир	peace	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
мира	frieden	мир	frieden	N;INAN;GEN;MASC;SG	
мира	friedens	мир	friedens	N;INAN;GEN;MASC;SG	
мира	mira	мир	mira	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
первое	erste	первый	erst	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
первое	zuerst	первый	zuerst	ADJ;NOM;NEUT;SG	ADV
первое	first	первый	fersen	ADJ;NOM;NEUT;SG	PROPN
первое	ersten	первый	erst	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
части	einzelteile	часть	einzelteil	N;INAN;NOM;FEM;PL	ADJ
части	ersatzteile	часть	ersatzteil	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
части	teile	часть	teilen	N;INAN;NOM;FEM;PL	ADV
описание	bezeichnung	описание	Bezeichnung	N;INAN;NOM;NEUT;SG	ADJ
описание	kurzbeschreibung	описание	kurzbeschreibung	N;INAN;NOM;NEUT;SG	ADJ
всего	gesamtbetrag	все	gesamtbetrag	PRO;INAN;GEN;NEUT;SG	ADJ;V.PTCP
всего	gesamtzahl	все	gesamtzahl	PRO;INAN;GEN;NEUT;SG	PROPN
всего	gesamt	все	gesamt	PRO;INAN;GEN;NEUT;SG	
всего	insgesamt	все	insgesamt	PRO;INAN;GEN;NEUT;SG	ADV
всего	gesamtsumme	все	gesamtsumme	PRO;INAN;GEN;NEUT;SG	ADJ
первый	erste	первый	erst	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
первый	zuerst	первый	zuerst	ADJ;NOM;MASC;SG	ADV
первый	first	первый	fersen	ADJ;NOM;MASC;SG	PROPN
первый	ersten	первый	erst	ADJ;NOM;MASC;SG	ADJ;NOM;PL
файл	datei	файл	datei	N;INAN;NOM;MASC;SG	
файл	dateien	файл	datei	N;INAN;NOM;MASC;SG	V;NFIN
карты	karten	карта	kart	N;INAN;NOM;FEM;PL	V;NFIN
карты	kreditkarten	карта	kreditkarten	N;INAN;NOM;FEM;PL	ADJ
карты	speicherkarten	карта	speicherkarten	N;INAN;NOM;FEM;PL	V;NFIN
карты	kartenspiel	карта	kartenspiel	N;INAN;NOM;FEM;PL	ADJ
карты	karten	карта	kart	N;INAN;NOM;FEM;PL	V;NFIN
карты	maps	карта	maps	N;INAN;NOM;FEM;PL	PROPN;SG
карты	landkarten	карта	landkarten	N;INAN;NOM;FEM;PL	V;NFIN
карты	landkarte	карта	landkart	N;INAN;NOM;FEM;PL	ADJ;NOM;FEM;SG
два	zweit	два	zweit	NUM;NOM;MASC	
два	beiden	два	beide	NUM;NOM;MASC	PRO;NOM;INDF;PL
два	two	два	two	NUM;NOM;MASC	PROPN;SG
всех	alle	все	alle	PRO;ANIM;ACC;PL	PRO;NOM;INDF;PL
всех	alles	все	alle	PRO;ANIM;ACC;PL	PRO;NOM;INDF;NEUT;SG
всех	all	все	all	PRO;ANIM;ACC;PL	ADV
всех	jeder	все	jed	PRO;ANIM;ACC;PL	PRO;NOM;INDF;MASC;SG
всех	alle	все	alle	PRO;ANIM;ACC;PL	PRO;NOM;INDF;PL
всех	jedem	все	jed	PRO;ANIM;ACC;PL	PRO;DAT;INDF;MASC;SG
всех	jedermann	все	jedermann	PRO;ANIM;ACC;PL	ADV
раз	einst	раз	einst	CONJ	ADV
раз	einmal	раз	einmal	CONJ	ADV
раз	mal	раз	mal	CONJ	ADV
раз	sobald	раз	sobald	CONJ	ADV
территории	gebieten	территория	gebieten	N;INAN;NOM;FEM;PL	V;NFIN
территории	gebiete	территория	gebieten	N;INAN;NOM;FEM;PL	
территории	territorium	территория	territorium	N;INAN;NOM;FEM;PL	ADJ
второй	sekunde	второй	sekunde	ADJ;NOM;MASC;SG	
второй	zweite	второй	zweit	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
второй	zweiten	второй	zweit	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
очень	very	очень	very	ADV	
карта	anfahrt	карта	anfahren	N;INAN;NOM;FEM;SG	PROPN
карта	karte	карта	kart	N;INAN;NOM;FEM;SG	
карта	lageplan	карта	lageplan	N;INAN;NOM;FEM;SG	
карта	landkarte	карта	landkart	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
карта	visitenkarte	карта	visitenkarte	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
карта	karte	карта	kart	N;INAN;NOM;FEM;SG	
карта	kreditkarte	карта	kreditkarte	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
площадь	plaza	площадь	plaza	N;INAN;NOM;FEM;SG	PROPN;SG
площадь	piazza	площадь	piazza	N;INAN;NOM;FEM;SG	PROPN;NOM;SG
площадь	platz	площадь	platz	N;INAN;NOM;FEM;SG	ADV
площадь	square	площадь	squar	N;INAN;NOM;FEM;SG	PROPN
площадь	rechteck	площадь	rechteck	N;INAN;NOM;FEM;SG	
площадь	quadratisch	площадь	quadratisch	N;INAN;NOM;FEM;SG	ADJ
площадь	quadrat	площадь	quadrat	N;INAN;NOM;FEM;SG	
площадь	platz	площадь	platz	N;INAN;NOM;FEM;SG	ADV
площадь	gebiet	площадь	gebieten	N;INAN;NOM;FEM;SG	ADJ
площадь	bereich	площадь	bereich	N;INAN;NOM;FEM;SG	ADV
всё	allem	все	alle	PRO;INAN;NOM;NEUT;SG	PRO;DAT;INDF;NEUT;SG
даже	überhaupt	даже	überhaupt	PART	ADV
даже	selbst	даже	selbst	PART	ADV
даже	sogar	даже	sogar	PART	ADV
даже	auch	даже	auch	PART	ADV
затем	anschließend	затем	anschließend	ADV	ADJ
группы	gruppe	группа	grappe	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
группы	konzern	группа	konzern	N;INAN;NOM;FEM;PL	
группы	gruppierung	группа	gruppierung	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
группы	unternehmensgruppe	группа	unternehmensgruppe	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
группы	arbeitsgruppen	группа	arbeitsgruppen	N;INAN;NOM;FEM;PL	V;NFIN
группы	fraktionen	группа	fraktion	N;INAN;NOM;FEM;PL	V;NFIN
основания	gründe	основание	gründen	N;INAN;NOM;NEUT;PL	
размер	grösse	размер	groß	N;INAN;NOM;MASC;SG	
поселения	siedlungen	поселение	siedlung	N;INAN;NOM;NEUT;PL	V;NFIN
почтовый	post	почтовый	post	ADJ;NOM;MASC;SG	PROPN;NOM;SG
над	vorbei	над	vorbei	ADP	ADV
страны	land	страна	land	N;INAN;NOM;FEM;PL	
страны	staaten	страна	staaten	N;INAN;NOM;FEM;PL	V;FIN
ему	er	он	er	PRO;DAT;MASC;SG;3	PRO;NOM;MASC;SG;3
ему	ihn	он	er	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
индекс	index	индекс	index	N;INAN;NOM;MASC;SG	
индекс	inhaltsverzeichnis	индекс	inhaltsverzeichnis	N;INAN;NOM;MASC;SG	
индекс	sachregister	индекс	sachregister	N;INAN;NOM;MASC;SG	ADJ
улица	strassen	улица	strassen	N;INAN;NOM;FEM;SG	V;NFIN
