slovacchia	slovaquie	slovacchio	slovaquie	N;FEM;SG	PROPN
lima	lima	lima	lima	N;FEM;SG	PROPN
beata	bénie	beato	bénir	ADJ;FEM;SG	V;FEM;SG;PST;V.PTCP
beata	béni	beato	béni	ADJ;FEM;SG	V;MASC;SG;PST;V.PTCP
beata	bénis	beato	bénir	ADJ;FEM;SG	V;MASC;PL;PST;V.PTCP
bis	encore	bis	encore	N;MASC	ADV
werner	werner	werner	werner	N;MASC;SG	PROPN
perfetta	parfaits	perfetto	parfait	ADJ;FEM;SG	ADJ;MASC;PL
perfetta	parfaites	perfetto	parfait	ADJ;FEM;SG	ADJ;FEM;PL
marsiglia	marseille	marsiglia	marseille	N;FEM;SG	PROPN
marsiglia	marseille	marsiglia	marseille	N;FEM;SG	PROPN
marcos	marcos	marcos	marcos	N;MASC;SG	PROPN
periferia	faubourgs	periferia	faubourg	N;FEM;SG	N;MASC;PL
periferia	banlieues	periferia	banlieue	N;FEM;SG	N;FEM;PL
cranio	crânes	cranio	crâne	N;MASC;SG	N;MASC;PL
nono	ninth	nono	ninth	ADJ;MASC;SG	PROPN
iscritto	inscrits	iscritto	inscrire	N;MASC;SG	V;MASC;PL;PST;V.PTCP
iscritto	inscrit	iscritto	inscrire	N;MASC;SG	V;MASC;SG;PST;V.PTCP
cosenza	cosenza	cosenza	cosenza	N;FEM;SG	PROPN
orizzontale	horizontales	orizzontale	horizontal	ADJ;SG	ADJ;FEM;PL
orizzontale	horizontaux	orizzontale	horizontal	ADJ;SG	ADJ;MASC;PL
orizzontale	horizontalement	orizzontale	horizontalement	ADJ;SG	ADV
catturare	capture	catturare	capture	V;NFIN	N;FEM;SG
catturare	capture	catturare	capture	V;NFIN	N;FEM;SG
assisi	assise	assiso	asseoir	N;MASC;SG	V;FEM;SG;PST;V.PTCP
strati	couche	strato	couche	N;MASC;PL	N;FEM;SG
strati	calque	strato	calque	N;MASC;PL	N;MASC;SG
campana	campana	campana	campana	N;FEM;SG	PROPN
campana	bell	campana	bell	N;FEM;SG	PROPN
hart	hart	hart	hart	N;MASC	PROPN
frederick	frédéric	frederick	frédéric	N;MASC	PROPN
tombe	graves	tomba	grave	N;FEM;PL	ADJ;MASC;PL
studia	etude	studiare	etude	V;IND;SG;3;PRS;FIN	N;FEM;SG
studia	étude	studiare	étude	V;IND;SG;3;PRS;FIN	N;FEM;SG
ricostruita	reconstruits	ricostruire	reconstruire	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
ricostruita	reconstruits	ricostruire	reconstruire	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
puro	pures	puro	pur	ADJ;MASC;SG	ADJ;FEM;PL
puro	purs	puro	pur	ADJ;MASC;SG	ADJ;MASC;PL
connessione	connecter	connessione	connecter	N;FEM;SG	V;NFIN
connessione	reliant	connessione	relier	N;FEM;SG	V;PRS;V.PTCP
olandesi	hollandaise	olandese	hollandais	N;PL	ADJ;FEM;SG
olandesi	néerlandaise	olandese	néerlandais	N;PL	ADJ;FEM;SG
olandesi	néerlandais	olandese	néerlandais	N;PL	ADJ;MASC;SG
olandesi	hollandais	olandese	hollandais	N;PL	ADJ;MASC;SG
var	var	vario	var		N;MASC;SG
marcus	marcus	marcus	marcus	N;MASC;SG	PROPN
anziani	seniors	anziano	senior	N;MASC;PL	ADJ;MASC;PL
anziani	âgées	anziano	âgé	N;MASC;PL	ADJ;FEM;PL
intellettuale	intellectuels	intellettuale	intellectuel	ADJ;SG	N;MASC;PL
marittima	maritimes	marittimo	maritime	ADJ;FEM;SG	ADJ;MASC;PL
full	complète	full	complet	N	ADJ;FEM;SG
full	pleine	full	plein	N	ADJ;FEM;SG
full	plein	full	plein	N	ADJ;MASC;SG
full	complet	full	complet	N	ADJ;MASC;SG
classiche	classic	classico	classic	ADJ;FEM;PL	N;MASC;SG
classiche	classique	classico	classique	ADJ;FEM;PL	ADJ;MASC;SG
batterie	batterie	batteria	batterie	N;FEM;PL	N;FEM;SG
batterie	pile	batteria	pile	N;FEM;PL	N;FEM;SG
batterie	accumulateur	batteria	accumulateur	N;FEM;PL	N;MASC;SG
batterie	batterie	batteria	batterie	N;FEM;PL	N;FEM;SG
minnesota	minnesota	minnesoto	minnesota	N;FEM;SG	PROPN
gigi	gigi	gigio	gigi	N;MASC;SG	PROPN
riservato	réservés	riservato	réserver	ADJ;MASC;SG	V;MASC;PL;PST;V.PTCP
riservato	réservée	riservato	réserver	ADJ;MASC;SG	V;FEM;SG;PST;V.PTCP
riservato	réservé	riservato	réserver	ADJ;MASC;SG	V;MASC;SG;PST;V.PTCP
riservato	confidentiels	riservato	confidentiel	ADJ;MASC;SG	ADJ;MASC;PL
riservato	confidentielles	riservato	confidentiel	ADJ;MASC;SG	ADJ;FEM;PL
manoscritto	manuscrits	manoscritto	manuscrit	N;MASC;SG	V;MASC;PL;PST;V.PTCP
murphy	murphy	murphy	murphy	N;MASC	PROPN
premiato	récompensés	premiare	récompenser	V;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
armatura	armures	armatura	armure	N;FEM;SG	N;FEM;PL
armatura	armures	armatura	armure	N;FEM;SG	N;FEM;PL
buio	foncé	buio	foncé	N;MASC;SG	ADJ;MASC;SG
buio	sombre	buio	sombre	N;MASC;SG	ADJ;MASC;SG
buio	ténèbres	buio	ténèbre	N;MASC;SG	N;FEM;PL
dono	cadeaux	dono	cadeau	N;MASC;SG	N;MASC;PL
allevamento	reproducteurs	allevamento	reproducteur	N;MASC;SG	N;MASC;PL
statistica	statistiques	statistica	statistique	N;FEM;SG	N;FEM;PL
statistica	statistique	statistica	statistique	N;FEM;SG	ADJ;MASC;SG
statistica	statistique	statistica	statistique	N;FEM;SG	ADJ;MASC;SG
laterza	laterza	laterza	laterza	N;FEM;SG	PROPN
aaron	aaron	aaron	aaron	N;MASC;SG	PROPN
johannes	johannes	johannes	johanne	N;MASC;SG	PROPN
main	principal	main	principal		ADJ;MASC;SG
main	principales	main	principal		ADJ;FEM;PL
main	main	main	main		N;FEM;SG
main	principale	main	principal		ADJ;FEM;SG
main	principaux	main	principal		ADJ;MASC;PL
munizioni	munition	munizione	munition	N;FEM;PL	N;FEM;SG
munizioni	munition	munizione	munition	N;FEM;PL	N;FEM;SG
munizioni	munition	munizione	munition	N;FEM;PL	N;FEM;SG
votato	votés	votare	voter	V;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
votato	votées	votare	voter	V;MASC;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
esisteva	existé	esistere	exister	V;IND;SG;3;IPFV;FIN	V;MASC;SG;PST;V.PTCP
esisteva	existaient	esistere	exister	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
trionfo	triompher	trionfo	triompher	N;MASC;SG	V;NFIN
identificato	identifiées	identificare	identifier	V;MASC;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
identificato	identifiés	identificare	identifier	V;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
english	anglaise	english	anglais	N	ADJ;FEM;SG
english	francais	english	francais	N	ADJ;MASC;SG
lettori	lectorat	lettore	lectorat	N;MASC;PL	N;MASC;SG
lettori	lecteur	lettore	lecteur	N;MASC;PL	N;MASC;SG
ohio	ohio	ohio	ohio	N;FEM;SG	PROPN
approvato	approuvés	approvare	approuver	V;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
approvato	approuvées	approvare	approuver	V;MASC;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
organizzatore	organisatrice	organizzatore	organisatrice	N;MASC;SG	ADJ;FEM;SG
glenn	glenn	glenn	glenn	N;MASC	PROPN
gemelli	jumelle	gemello	jumelle	N;MASC;PL	ADJ;FEM;SG
gemelli	jumeau	gemello	jumeau	N;MASC;PL	N;MASC;SG
invitato	invitées	invitare	inviter	V;MASC;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
presumibilmente	supposé	presumibilmente	supposer	ADV	V;MASC;SG;PST;V.PTCP
treccani	treccani	treccano	treccani	ADJ;FEM;SG	PROPN
riuniti	réunie	riunito	réunir	V;MASC;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
riuniti	réuni	riunito	réunir	V;MASC;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
riuniti	retrouvailles	riunito	retrouvaille	V;MASC;PL;PST;V.PTCP	N;FEM;PL
meccanico	concessionnaires	meccanico	concessionnaire	ADJ;MASC;SG	N;MASC;PL
meccanico	concessionnaire	meccanico	concessionnaire	ADJ;MASC;SG	N;MASC;SG
meccanico	mécano	meccanico	mécano	ADJ;MASC;SG	N;MASC;SG
meccanico	mécanicien	meccanico	mécanicien	ADJ;MASC;SG	N;MASC;SG
meccanico	mécaniques	meccanico	mécanique	ADJ;MASC;SG	ADJ;MASC;PL
lane	lane	lana	lane	N;FEM;SG	PROPN
servire	portion	servire	portion	V;NFIN	N;FEM;SG
abile	habiles	abile	habile	ADJ;SG	ADJ;MASC;PL
abile	habiles	abile	habile	ADJ;SG	ADJ;MASC;PL
torres	torres	torres	torre	N;FEM;SG	PROPN
incluse	incluses	incluso	inclure	ADJ;FEM;PL	V;FEM;PL;PST;V.PTCP
incluse	inclus	incluso	inclure	ADJ;FEM;PL	V;MASC;SG;PST;V.PTCP
incluse	incluse	incluso	inclure	ADJ;FEM;PL	V;FEM;SG;PST;V.PTCP
incluse	compris	incluso	comprendre	ADJ;FEM;PL	V;MASC;SG;PST;V.PTCP
temporaneamente	provisoire	temporaneamente	provisoire	ADV	ADJ;MASC;SG
temporaneamente	temporaires	temporaneamente	temporaire	ADV	ADJ;MASC;PL
temporaneamente	temporaire	temporaneamente	temporaire	ADV	ADJ;MASC;SG
dame	dame	dama	dame	N;FEM;PL	N;FEM;SG
virgilio	virgil	virgilio	virgil	N;MASC;SG	PROPN
virgilio	virgile	virgilio	virgile	N;MASC;SG	PROPN
virgilio	virgilio	virgilio	virgilio	N;MASC;SG	PROPN
grassi	grassi	grasso	grassir	N;MASC;PL	PROPN
grassi	grasse	grasso	gras	N;MASC;PL	ADJ;FEM;SG
grassi	gros	grasso	gros	N;MASC;PL	ADJ;MASC;SG
grassi	gras	grasso	gras	N;MASC;PL	ADJ;MASC;SG
grassi	graisse	grasso	graisse	N;MASC;PL	N;FEM;SG
contenuta	contenues	contenuto	contenu	V;FEM;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
contenuta	contenaient	contenuto	contenir	V;FEM;SG;PST;V.PTCP	V;IND;PL;3;IPFV;FIN
panzer	panzer	panzer	panzer	N;MASC;PL	N;MASC;SG
cecilia	cecilia	cecilia	cecilia	N;FEM;SG	PROPN
marziali	martial	marziale	martial	N;MASC;PL	N;MASC;SG
sopravvissuti	survivants	sopravvivere	survivant	V;MASC;PL;PST;V.PTCP	N;MASC;PL
sopravvissuti	survivant	sopravvivere	survivant	V;MASC;PL;PST;V.PTCP	V;PRS;V.PTCP
sopravvissuti	survécu	sopravvivere	survivre	V;MASC;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
morris	morris	morris	morris	N;MASC	PROPN
depressione	dépressions	depressione	dépression	N;FEM;SG	N;FEM;PL
dirigenti	exécutifs	dirigente	exécutif	N;PL	ADJ;MASC;PL
javier	javier	javier	javier	N;MASC;SG	PROPN
spessore	épaisseurs	spessore	épaisseur	N;MASC;SG	N;FEM;PL
operativa	opérationnelles	operativo	opérationnel	ADJ;FEM;SG	ADJ;FEM;PL
operativa	opérationnels	operativo	opérationnel	ADJ;FEM;SG	ADJ;MASC;PL
inviata	envoyés	inviare	envoyer	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
inviata	envoyées	inviare	envoyer	V;FEM;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
petto	thoracique	petto	thoracique	N;MASC;SG	ADJ;MASC;SG
petto	mammaire	petto	mammaire	N;MASC;SG	ADJ;FEM;SG
petto	seins	petto	sein	N;MASC;SG	N;MASC;PL
circostanze	circonstance	circostanza	circonstance	N;FEM;PL	N;FEM;SG
igor	igor	igor	igor	N;MASC;SG	PROPN
devil	devil	devil	devil	N	PROPN
terrestri	terrestre	terrestre	terrestre	N;MASC;PL	ADJ;MASC;SG
terrestri	terrestres	terrestre	terrestre	N;MASC;PL	ADJ;MASC;PL
terrestri	terriens	terrestre	terrien	N;MASC;PL	ADJ;MASC;PL
biografie	biographiques	biografia	biographique	N;FEM;PL	ADJ;MASC;PL
biografie	biographie	biografia	biographie	N;FEM;PL	N;FEM;SG
biografie	biographiques	biografia	biographique	N;FEM;PL	ADJ;MASC;PL
repubblicano	républicains	repubblicano	républicain	ADJ;MASC;SG	ADJ;MASC;PL
legali	juridique	legale	juridique	ADJ;PL	ADJ;MASC;SG
legali	légal	legale	légal	ADJ;PL	ADJ;MASC;SG
legali	légale	legale	légal	ADJ;PL	ADJ;FEM;SG
zucchero	sucres	zucchero	sucre	N;MASC;SG	N;MASC;PL
este	este	este	este	N;SG	PROPN
frontale	front	frontale	front	ADJ;SG	N;MASC;SG
frontale	avant	frontale	avant	ADJ;SG	ADP
frontale	devant	frontale	devant	ADJ;SG	ADP
