nie	не	nie	не	PART;NEG	INTJ;NEG
może	май	móc	май	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN;INDF;MASC;SG
sierpnia	аугуст	sierpień	аугуст	N;GEN;MASC;SG	PROPN;INDF;MASC;SG
było	бе	być	съм	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
kwietnia	ейприл	kwiecia	ейприл		PROPN;INDF;FEM;SG
kwietnia	април	kwiecia	април		N;INDF;MASC;SG
#patrz	#виж	spatrzeć	ввиж		PROPN;INDF;MASC;SG
lipca	юли	lipiec	юли		N;INDF;MASC;SG
lutego	февруари	luty	февруари		N;INDF;MASC;SG
lutego	февруари	luty	февруари		N;INDF;MASC;SG
były	бивши	być	бивш	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;PL
były	бивш	być	бивш	V;IPFV;MASC;IND;SG;PST;FIN;ACT	N;INDF;MASC;SG
były	бивша	być	бивш	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;FEM;SG
były	бяха	być	съм	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
pierwszy	първо	pierwszy	първо	ADJ;NOM;MASC;SG	ADV
która	което	który	който	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG
która	която	który	който	DET;NOM;FEM;SG	PRO;NOM;FEM;SG
wojny	войните	wojna	войн	N;GEN;FEM;SG	N;DEF;MASC;PL
wojny	войни	wojna	война	N;GEN;FEM;SG	N;INDF;FEM;PL
można	can	można	can	V;IND;PRS;FIN	PROPN;INDF;MASC;SG
data	среща	datać	среща		N;INDF;FEM;SG
data	дата	datać	дата		N;INDF;FEM;SG
data	дейта	datać	дейт		N;INDF;MASC;SG
data	данни	datać	данна		N;INDF;FEM;PL
warszawa	варшава	warszawa	варшав		PROPN;INDF;FEM;SG
miasto	city	miasto	city	N;NOM;NEUT;SG	PROPN;INDF;MASC;SG
obecnie	понастоящем	obecnie	понастоящем	ADV	V;IPFV;IND;PL;1;PRS;FIN;ACT
mieszkańców	пребиваващи	mieszkaniec	пребивавам	N;ACC;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
gdy	когато	gdy	когато	CONJ	ADV
gdy	кога	gdy	кога	CONJ	ADV
innych	друго	inny	друг	ADJ;GEN;MASC;PL	ADV
innych	друг	inny	друг	ADJ;GEN;MASC;PL	ADJ;INDF;MASC;SG
iii	ііі	iii	ііі		ADJ;INDF;MASC;SG
iii	iii	iii	iii		ADJ;INDF;MASC;SG
między	inter	między	inter	ADP	PROPN;INDF;MASC;SG
między	интер	między	интер	ADP	PROPN;INDF;MASC;SG
około	приблизително	około	приблизително	PART	ADV
stronie	page	strona	page	N;DAT;FEM;SG	INTJ
strona	page	strona	page	N;NOM;FEM;SG	INTJ
jeszcze	още	jeszcze	още	PART	ADV
udział	участвали	udział	участвам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;INDF;PL;PST;V.PTCP;ACT
udział	участвала	udział	участвам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;INDF;FEM;SG;PST;V.PTCP;ACT
udział	участваха	udział	участвам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
udział	участие	udział	участие	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;INDF;NEUT;SG
udział	сподели	udział	споделя	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IMP;SG;2;FIN
udział	споделете	udział	споделя	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IMP;PL;2;FIN
udział	споделяне	udział	споделяне	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;INDF;NEUT;SG
udział	дял	udział	дял	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;INDF;MASC;SG
udział	участието	udział	участие	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;DEF;NEUT;SG
udział	участие	udział	участие	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;INDF;NEUT;SG
zespół	тийм	zespół	тийм	N;NOM;MASC;SG	N;INDF;MASC;PL
zespół	team	zespół	team	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
kościół	чърч	kościół	чърч	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
inne	друго	inny	друг	ADJ;NOM;NEUT;SG	ADV
inne	други	inny	друг	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
inne	другите	inny	друг	ADJ;NOM;NEUT;SG	ADJ;DEF;PL
inne	други	inny	друг	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
jan	ян	jan	ян	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
jan	джан	jan	джан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
jan	джон	jan	джон	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
jan	йоан	jan	йоан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
raz	веднъж	raz	веднъж	N;ACC;MASC;SG	ADV
jeden	една	jeden	един	ADJ;NOM;MASC;SG	NUM;INDF;FEM;SG
jeden	един	jeden	един	ADJ;NOM;MASC;SG	NUM;INDF;MASC;SG
jeden	едно	jeden	един	ADJ;NOM;MASC;SG	NUM;INDF;NEUT;SG
isbn	isbn	isbny	isbn		N;INDF;FEM;SG
gminy	комуни	gmina	комуна		N;INDF;MASC;PL
gminy	общините	gmina	община		N;DEF;FEM;PL
gminy	общини	gmina	община		N;INDF;FEM;PL
polska	полша	polski	полша	ADJ;NOM;FEM;SG	PROPN;INDF;FEM;SG
grupy	групово	grupa	групово	N;ACC;FEM;SG	ADV
grupy	групова	grupa	групов	N;ACC;FEM;SG	ADJ;INDF;FEM;SG
grupy	групи	grupa	група	N;ACC;FEM;SG	N;INDF;FEM;PL
nim	ним	nim	ним	CONJ	PROPN;INDF;MASC;SG
mistrzostw	първенство	mistrzostwa	първенство	N;GEN;NEUT;PL	N;INDF;NEUT;SG
mistrzostw	шампионат	mistrzostwa	шампионат	N;GEN;NEUT;PL	N;INDF;MASC;SG
kiedy	когато	kiedy	когато	ADV	ADV
bgcolor	bgcolor	bgcolor	bgcolor		N;INDF;MASC;SG
http	http	http	http		N;INDF;MASC;SG
francji	франция	francja	франция	PROPN;GEN;FEM;SG	PROPN;INDF;FEM;SG
usa	сащ	usać	сащ	PROPN;NOM;NEUT;PL	PROPN;INDF;MASC;PL
usa	usa	usać	usa	PROPN;NOM;NEUT;PL	PROPN;INDF;MASC;SG
jpg	jpg	jeść	jpg		PROPN;INDF;MASC;SG
kościoła	чърч	kościół	чърч	N;GEN;MASC;SG	PROPN;INDF;MASC;SG
rodziny	семейство	rodzina	семейство	N;NOM;FEM;PL	N;INDF;NEUT;SG
rodziny	семейството	rodzina	семейство	N;NOM;FEM;PL	N;DEF;NEUT;SG
amerykański	американско	amerykański	американски	ADJ;NOM;MASC;SG	ADV
amerykański	американец	amerykański	американец	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
wielu	mnogo	wiele	mnogo	DET;ACC;MASC;PL	PROPN;INDF;NEUT;SG
wielu	много	wiele	много	DET;ACC;MASC;PL	ADV;INDF;PL
wielu	множествена	wiele	множествен	DET;ACC;MASC;PL	ADJ;INDF;FEM;SG
wielu	многобройни	wiele	многоброен	DET;ACC;MASC;PL	ADJ;INDF;PL
wielu	множество	wiele	множество	DET;ACC;MASC;PL	N;INDF;NEUT;SG
opis	заглавие	opis	заглавие		N;INDF;NEUT;SG
opis	надпис	opis	надпис		N;INDF;MASC;SG
opis	описание	opis	описание		N;INDF;NEUT;SG
pracy	работи	praca	работя	N;GEN;FEM;SG	V;IPFV;IMP;SG;2;FIN
miejscowości	градове	miejscowość	град	N;GEN;FEM;SG	N;INDF;MASC;PL
miejscowości	градовете	miejscowość	град	N;GEN;FEM;SG	N;DEF;MASC;PL
miejscowości	градчета	miejscowość	градче	N;GEN;FEM;SG	N;INDF;NEUT;PL
związku	взаимоотношения	związek	взаимоотношение	N;GEN;MASC;SG	N;INDF;NEUT;PL
związku	отношения	związek	отношение	N;GEN;MASC;SG	N;INDF;NEUT;PL
pierwsze	първо	pierwszy	първо	ADJ;NOM;NEUT;SG	ADV
ang	анг	ang	анг		N;INDF;MASC;SG
wiele	mnogo	wiele	mnogo	DET;ACC;MASC;PL	PROPN;INDF;NEUT;SG
wiele	много	wiele	много	DET;ACC;MASC;PL	ADV;INDF;PL
wiele	множествена	wiele	множествен	DET;ACC;MASC;PL	ADJ;INDF;FEM;SG
wiele	многобройни	wiele	многоброен	DET;ACC;MASC;PL	ADJ;INDF;PL
wiele	множество	wiele	множество	DET;ACC;MASC;PL	N;INDF;NEUT;SG
wiele	лот	wiele	лот	DET;ACC;MASC;PL	N;INDF;MASC;SG
kilka	няколко	kilka	няколко	DET;ACC;MASC;PL	PRO;INDF
kilka	малцина	kilka	малцина	DET;ACC;MASC;PL	NUM;ANIM;INDF;PL
kilka	няколко	kilka	няколко	DET;ACC;MASC;PL	PRO;INDF
trzy	trzy	trzy	trzy	NUM;ACC;MASC;PL	N;INDF;MASC;SG
strony	страница	strona	страница	N;NOM;FEM;PL	N;INDF;FEM;SG
strony	страницата	strona	страница	N;NOM;FEM;PL	N;DEF;FEM;SG
strony	page	strona	page	N;NOM;FEM;PL	INTJ
mapy	картите	mapa	карта	N;ACC;FEM;SG	N;DEF;FEM;PL
mapy	карти	mapa	карта	N;ACC;FEM;SG	N;INDF;FEM;PL
film	филмова	film	филмов	N;ACC;MASC;SG	ADJ;INDF;FEM;SG
armii	армии	armia	армия	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
armii	армията	armia	армия	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;DEF;FEM;SG
armii	армеец	armia	армеец	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
armii	армия	armia	армия	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
armii	армейски	armia	армейски	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;MASC;SG
głównie	основно	głównie	основно	PART	ADV
głównie	предимно	głównie	предимно	PART	ADV
głównie	главно	głównie	главно	PART	ADV
głównie	предимно	głównie	предимно	PART	ADV
głównie	главно	głównie	главно	PART	ADV
ponad	над	ponad	над	PART	ADP
ponad	над	ponad	над	PART	ADP
ponad	отгоре	ponad	отгоре	PART	ADV
dzięki	мерси	dzięki	мерся	ADP	V;IPFV;IMP;SG;2;FIN
dzięki	благодаря	dzięki	благодаря	ADP	V;IPFV;IND;SG;1;PRS;FIN;ACT
kariera	кариери	kariera	кариера	N;NOM;FEM;SG	N;INDF;FEM;PL
wszystkie	всички	wszystek	всеки	DET;NOM;MASC;PL	PRO;NOM;PL
wszystkie	всичко	wszystek	всеки	DET;NOM;MASC;PL	PRO;NOM;NEUT;SG
rady	съвети	rada	съвет	N;GEN;FEM;SG	N;INDF;MASC;PL
życia	life	życie	life	N;GEN;NEUT;SG	PROPN;INDF;MASC;SG
prawa	закон	prawo	закон		N;INDF;MASC;SG
prawa	закони	prawo	закон		N;INDF;MASC;PL
prawa	права	prawo	право		N;INDF;NEUT;PL
jana	джон	jani	джон		PROPN;INDF;MASC;SG
jana	йоан	jani	йоан		PROPN;INDF;MASC;SG
jana	яна	jani	яна		PROPN;INDF;FEM;SG
mistrzostwa	първенство	mistrzostwa	първенство	N;NOM;NEUT;PL	N;INDF;NEUT;SG
mistrzostwa	шампионат	mistrzostwa	шампионат	N;NOM;NEUT;PL	N;INDF;MASC;SG
mar	мар	mar	мар		N;INDF;FEM;SG
często	обща	często	общ	ADV	ADJ;INDF;FEM;SG
często	общ	często	общ	ADV	ADJ;INDF;MASC;SG
często	общи	często	общ	ADV	ADJ;INDF;PL
często	чести	często	честя-(се)	ADV	N;INDF;FEM;PL
commons	общините	commons	община	N;ACC;MASC;SG	N;DEF;FEM;PL
sposób	метод	sposób	метод	V;IND;PRS;FIN	N;INDF;MASC;SG
sposób	начин	sposób	начин	V;IND;PRS;FIN	N;INDF;MASC;SG
będzie	уил	być	ухл	V;IPFV;IND;SG;3;FUT;FIN	PROPN;INDF;MASC;SG
pozycji	позиции	pozycja	позиция	N;GEN;FEM;SG	N;INDF;FEM;PL
pozycji	артикули	pozycja	артикул	N;GEN;FEM;SG	N;INDF;MASC;PL
pozycji	предмети	pozycja	предмет	N;GEN;FEM;SG	N;INDF;MASC;PL
pozycji	елементи	pozycja	елемент	N;GEN;FEM;SG	N;INDF;MASC;PL
xix	xix	xix	xix		N;INDF;MASC;SG
xix	nineteenth	xix	nineteenth		N;INDF;MASC;SG
nowy	ню	nowy	ню	ADJ;NOM;MASC;SG	PROPN;INDF;MASC;SG
nowy	ново	nowy	нов	ADJ;NOM;MASC;SG	ADV
nowy	нови	nowy	нов	ADJ;NOM;MASC;SG	ADJ;INDF;PL
osoby	човек	osoba	човек	N;NOM;FEM;PL	N;INDF;MASC;SG
osoby	личност	osoba	личност	N;NOM;FEM;PL	N;INDF;FEM;SG
osoby	народ	osoba	народ	N;NOM;FEM;PL	N;INDF;MASC;SG
osoby	хора	osoba	хора	N;NOM;FEM;PL	N;INDF
osoby	хората	osoba	хора	N;NOM;FEM;PL	N;DEF
grupa	групово	grupa	групово	N;NOM;FEM;SG	ADV
grupa	групова	grupa	групов	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
pomiędzy	между	pomiędzy	между		ADP
sam	сам	sam	сам	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
sam	сам	sam	сам	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
linii	линии	linia	линия	N;GEN;FEM;SG	N;INDF;FEM;PL
linii	реплики	linia	реплика	N;GEN;FEM;SG	N;INDF;FEM;PL
linii	редове	linia	ред	N;GEN;FEM;SG	N;INDF;MASC;PL
com	com	com	com		INTJ
com	ком	com	ком		N;INDF;MASC;SG
von	фон	von	фон		N;INDF;MASC;SG
wojska	военно	wojsko	военен	N;NOM;NEUT;SG	ADV
wojska	военен	wojsko	военен	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
wojska	военна	wojsko	военен	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
wojska	военни	wojsko	военен	N;NOM;NEUT;SG	ADJ;INDF;PL
wojska	войски	wojsko	войска	N;NOM;NEUT;SG	N;INDF;FEM;PL
wojska	военнослужещи	wojsko	военнослужещ	N;NOM;NEUT;SG	N;INDF;MASC;PL
wojska	войници	wojsko	войник	N;NOM;NEUT;SG	N;INDF;MASC;PL
wojska	армейски	wojsko	армейски	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
ffe	ffe	ff	ffe		PROPN;INDF;MASC;SG
polityk	политици	polityk	политик	N;NOM;MASC;SG	N;INDF;MASC;PL
john	джон	john	джон	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
john	йоан	john	йоан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
lip	устна	lip	устна		N;INDF;FEM;SG
lip	устни	lip	устна		ADJ;INDF;PL
lip	устната	lip	устен		N;DEF;FEM;SG
liczby	фигури	liczba	фигура	N;ACC;FEM;SG	N;INDF;FEM;PL
liczby	цифри	liczba	цифра	N;ACC;FEM;SG	N;INDF;FEM;PL
liczby	числа	liczba	число	N;ACC;FEM;SG	N;INDF;NEUT;PL
liczby	цифри	liczba	цифра	N;ACC;FEM;SG	N;INDF;FEM;PL
szkoły	училища	szkoła	училище	N;GEN;FEM;SG	N;INDF;NEUT;PL
szkoły	школи	szkoła	школа	N;GEN;FEM;SG	N;INDF;MASC;PL
szkoły	училищата	szkoła	училище	N;GEN;FEM;SG	N;DEF;NEUT;PL
parafia	енория	parafia	енория		N;INDF;FEM;SG
parafia	париш	parafia	паря		N;INDF;FEM;SG
parafia	периш	parafia	перя		N;INDF;MASC;SG
piechoty	пехотата	piechota	пехота		N;DEF;FEM;SG
piechoty	пехота	piechota	пех		N;INDF;FEM;SG
koniec	край	koniec	край	N;NOM;MASC;SG	ADP
takie	такива	taki	такъв	DET;NOM;MASC;SG	DET;PL
bardziej	повече	bardzo	повече	ADV;CMPR	ADV;INDF;PL
bardziej	още	bardzo	още	ADV;CMPR	ADV
klub	club	klub	club	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
ziemi	земно	ziemia	земно	N;GEN;FEM;SG	ADV
ziemi	земен	ziemia	земен	N;GEN;FEM;SG	ADJ;INDF;MASC;SG
gatunek	видове	gatunek	вид	N;NOM;MASC;SG	N;INDF;MASC;PL
zjednoczonych	обединени	zjednoczyć	обединя-(се)	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zjednoczonych	обединена	zjednoczyć	обединя-(се)	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zjednoczonych	обединен	zjednoczyć	обединя-(се)	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zjednoczonych	юнайтед	zjednoczyć	юнайтед	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	N;INDF;MASC;SG
zjednoczonych	обединено	zjednoczyć	обединя-(се)	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
wcześniej	досега	wcześnie	досега	ADV;CMPR	ADV
wcześniej	преди	wcześnie	преди	ADV;CMPR	ADP
partii	party	partia	party	N;GEN;FEM;SG	ADJ
stadion	stadion	stadion	stadion	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
byli	бяха	być	съм	V;IPFV;MASC;IND;PL;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
stanisław	станислав	stanisław	станислав	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
style	стилове	style	стил		N;INDF;MASC;PL
style	стайлс	style	стайлс		N;INDF;MASC;SG
style	стил	style	стил		N;INDF;MASC;SG
olimpijskich	олимпиадата	olimpijski	олимпиада	ADJ;GEN;MASC;PL	N;DEF;FEM;SG
olimpijskich	олимпиада	olimpijski	олимпиада	ADJ;GEN;MASC;PL	N;INDF;FEM;SG
www	www	www	www		N;INDF;MASC;SG
najbardziej	повечето	bardzo	повече	ADV;RL	ADV;DEF;PL
kategorii	категории	kategoria	категория	N;GEN;FEM;SG	N;INDF;FEM;PL
zsrr	ссср	zsrr	ссср	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
metrów	метра	metr	метър	N;GEN;MASC;PL	N;DEF;MASC;SG
metrów	метър	metr	метър	N;GEN;MASC;PL	N;INDF;MASC;SG
oficjalna	официално	oficjalny	официално	ADJ;NOM;FEM;SG	ADV
powodu	причина	powodu	причина	ADP	N;INDF;FEM;SG
gru	гру	gra	груя		N;INDF;NEUT;SG
andrzej	анджей	andrzej	анджей	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
andrzej	андрю	andrzej	андрю	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
lis	фокс	lis	фокс		PROPN;INDF;MASC;SG
lis	лисица	lis	лисица		N;INDF;FEM;SG
lis	fox	lis	fox		PROPN;INDF;MASC;SG
lis	лис	lis	лис		N;INDF;FEM;SG
prowincji	провинциален	prowincja	провинциален	N;GEN;FEM;SG	ADJ;INDF;MASC;SG
drugi	второ	drugi	втори	ADJ;NOM;MASC;SG	ADV
działalność	дейности	działalność	дейност	N;NOM;FEM;SG	N;INDF;FEM;PL
działalność	занимания	działalność	занимание	N;NOM;FEM;SG	N;INDF;NEUT;PL
tys	хиляда	tys	хиляда		NUM;INDF;PL
uniwersytetu	university	uniwersytet	university	N;GEN;MASC;SG	PROPN;INDF;MASC;SG
nazwy	наименования	nazwa	наименование		N;INDF;NEUT;PL
nazwy	имената	nazwa	име		N;DEF;NEUT;PL
nazwy	имена	nazwa	име		N;INDF;NEUT;PL
życie	life	życie	life	N;NOM;NEUT;SG	PROPN;INDF;MASC;SG
nowe	ню	nowy	ню	ADJ;NOM;NEUT;SG	PROPN;INDF;MASC;SG
nowe	ново	nowy	нов	ADJ;NOM;NEUT;SG	ADV
nowe	нови	nowy	нов	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
różnych	различна	różny	различен	ADJ;GEN;MASC;PL	ADJ;INDF;FEM;SG
różnych	различно	różny	различно	ADJ;GEN;MASC;PL	ADV
różnych	различен	różny	различен	ADJ;GEN;MASC;PL	ADJ;INDF;MASC;SG
parafii	енории	parafia	енория	N;GEN;FEM;SG	N;INDF;FEM;PL
gmin	общините	gmina	община		N;DEF;FEM;PL
gmin	общини	gmina	община		N;INDF;FEM;PL
drużyna	тийм	drużyna	тийм	N;NOM;FEM;SG	N;INDF;MASC;PL
drużyna	team	drużyna	team	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
kilku	няколко	kilka	няколко	DET;ACC;MASC;PL	PRO;INDF
niemiecki	германец	niemiecki	германец	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
kultury	културни	kultura	културен	N;GEN;FEM;SG	ADJ;INDF;PL
kultury	културен	kultura	културен	N;GEN;FEM;SG	ADJ;INDF;MASC;SG
