से	от	से	от		ADP
दिया	дадено	दे	даден	V;PFV;MASC;SG;V.PTCP;ACT	ADV
अन्य	друго	अन्य	друг	N;NOM;MASC;SG;3	ADV
अन्य	друг	अन्य	друг	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
अन्य	други	अन्य	друг	N;NOM;MASC;SG;3	ADJ;INDF;PL
अन्य	другите	अन्य	друг	N;NOM;MASC;SG;3	ADJ;DEF;PL
अन्य	други	अन्य	друг	N;NOM;MASC;SG;3	ADJ;INDF;PL
वर्ष	години	वर्ष	година	N;NOM;MASC;SG;3	N;INDF;FEM;PL
वर्ष	годините	वर्ष	година	N;NOM;MASC;SG;3	N;DEF;FEM;PL
वे	те	वह	аз	PRO;NOM;SG;3	PRO;NOM;PL;3
प्रकार	типове	प्रकार	тип	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रकार	видове	प्रकार	вид	N;NOM;MASC;SG;3	N;INDF;MASC;PL
भारतीय	индианец	भारतीय	индианец	PROPN;NOM;SG;3	N;INDF;MASC;SG
भारतीय	индиец	भारतीय	индиец	PROPN;NOM;SG;3	N;INDF;MASC;SG
भारतीय	индийско	भारतीय	индийски	PROPN;NOM;SG;3	ADV
भारतीय	индийски	भारतीय	индийски	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
भारतीय	индийска	भारतीय	индийски	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
किसी	някой	कोई	някой	PRO;ACC;SG;3	PRO;NOM;MASC;SG
क्षेत्र	райони	क्षेत्र	район	N;NOM;MASC;SG;3	N;INDF;MASC;PL
क्षेत्र	зони	क्षेत्र	зоня	N;NOM;MASC;SG;3	N;INDF;FEM;PL
क्षेत्र	площи	क्षेत्र	площ	N;NOM;MASC;SG;3	N;INDF;FEM;PL
क्षेत्र	области	क्षेत्र	област	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अधिक	повече	अधिक	повече	DET	ADV;INDF;PL
अधिक	още	अधिक	още	DET	ADV
कई	mnogo	कई	mnogo	DET	PROPN;INDF;NEUT;SG
कई	много	कई	много	DET	ADV;INDF;PL
कई	няколко	कई	няколко	DET	PRO;INDF
स्थित	разположена	स्थित	разположа-(се)	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
स्थित	разположен	स्थित	разположа-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
स्थित	разположени	स्थित	разположа-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
स्थित	разположено	स्थित	разположа-(се)	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
मण्डल	зона	मण्डल	зона	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
आधिकारिक	официално	आधिकारिक	официално	ADJ	ADV
कारण	причини	कारण	причина	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कारण	каузи	कारण	кауза	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कारण	причини	कारण	причина	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कारण	причинява	कारण	причинявам	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
जैसे	like	जैसे	like	CONJ	PROPN;INDF;MASC;SG
करता	хулигани	कर	хулиган	V;IPFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC;PL
उनके	тяхното	वह	наш	PRO;MASC;SG;3;FORM	DET;DEF;NEUT;SG;3
उनके	тяхната	वह	наш	PRO;MASC;SG;3;FORM	DET;DEF;FEM;SG;3
उनके	техните	वह	наш	PRO;MASC;SG;3;FORM	DET;DEF;PL;3
उनके	техният	वह	наш	PRO;MASC;SG;3;FORM	DET;DEF;MASC;SG;3
उनके	ги	वह	аз	PRO;MASC;SG;3;FORM	PRO;ACC;PL;3
उनके	тях	वह	аз	PRO;MASC;SG;3;FORM	PRO;ACC;PL;3
सबसे	повечето	सबसे	повече	ADJ;NOM	ADV;DEF;PL
हिन्दी	хинди	हिन्दी	хинд	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
बहुत	много	बहुत	много	DET	ADV;INDF;PL
पहले	преди	पहले	преди	ADV;NOM;MASC;SG;3	ADP
पहले	първи	पहले	първи	ADV;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
अपनी	собствен	अपना	собствен	PRO;NOM;FEM	ADJ;INDF;MASC;SG
अपनी	собствена	अपना	собствен	PRO;NOM;FEM	ADJ;INDF;FEM;SG
अपनी	собствено	अपना	собствен	PRO;NOM;FEM	ADV
अपनी	собствени	अपना	собствен	PRO;NOM;FEM	ADJ;INDF;PL
अपनी	плътски	अपना	плътски	PRO;NOM;FEM	ADJ;INDF;MASC;SG
जब	когато	जब	когато	PRO;NOM	ADV
जब	кога	जब	кога	PRO;NOM	ADV
उन्होंने	те	वह	аз	PRO;SG;3;FORM	PRO;NOM;PL;3
उन्होंने	египтяните	वह	египтянин	PRO;SG;3;FORM	N;DEF;MASC;PL
उन्होंने	египтяни	वह	египтянин	PRO;SG;3;FORM	N;INDF;MASC;PL
जन्म	родени	जन्म	родя-(се)	N;NOM;MASC;SG;3	V;PFV;INDF;PL;V.PTCP;PASS
जन्म	роден	जन्म	родя-(се)	N;NOM;MASC;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
जन्म	родена	जन्म	родя-(се)	N;NOM;MASC;SG;3	V;PFV;INDF;FEM;SG;V.PTCP;PASS
कोई	koi	कोई	koi	PRO;NOM;SG;3	ADJ
इन	inn	यह	inn	DET;ACC;PL;3	N;INDF;MASC;SG
ये	това	यह	този	PRO;NOM;PL;3	PRO;NOM;NEUT;SG
ये	тези	यह	този	PRO;NOM;PL;3	DET;PL
कम	долно	कम	долен	DET	ADV
कम	ниско	कम	ниско	DET	ADV
कम	ниски	कम	нисък	DET	ADJ;INDF;PL
कम	нисък	कम	нисък	DET	ADJ;INDF;MASC;SG
कम	ниска	कम	нисък	DET	ADJ;INDF;FEM;SG
कहा	саид	कह	саид	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
लोग	народ	लोग	народ	N;NOM;MASC;PL;3	N;INDF;MASC;SG
लोग	хора	लोग	хора	N;NOM;MASC;PL;3	N;INDF
लोग	хората	लोग	хора	N;NOM;MASC;PL;3	N;DEF
आदि	повече	आदि	повече	PART	ADV;INDF;PL
आदि	още	आदि	още	PART	ADV
आदि	ади	आदि	ади	PART	PROPN;INDF;MASC;SG
उसके	неговият	वह	мой	PRO;MASC;SG;3	DET;DEF;MASC;SG;3
उसके	неговата	वह	мой	PRO;MASC;SG;3	DET;DEF;FEM;SG;3
उसके	му	वह	мой	PRO;MASC;SG;3	PRO;DAT;MASC;SG;3
उसके	неговия	वह	мой	PRO;MASC;SG;3	DET;DEF;MASC;SG;3
उसके	нея	वह	аз	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
प्राचीन	примитивно	प्राचीन	примитивно	ADJ;NOM	ADV
प्राचीन	древен	प्राचीन	древен	ADJ;NOM	N;INDF;MASC;SG
प्राचीन	древно	प्राचीन	древно	ADJ;NOM	ADV
प्राचीन	претор	प्राचीन	претор	ADJ;NOM	PROPN;INDF;MASC;SG
देखें	гледай	देख	гледам	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;SG;2;FIN
देखें	гледайте	देख	гледам	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;PL;2;FIN
देखें	видя	देख	видя-(се)	V;SBJV;PL;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
देखें	вижте	देख	видя-(се)	V;SBJV;PL;FIN;ACT	V;PFV;IMP;PL;2;FIN
देखें	виж	देख	видя-(се)	V;SBJV;PL;FIN;ACT	V;PFV;IMP;SG;2;FIN
देखें	изглед	देख	изглед	V;SBJV;PL;FIN;ACT	N;INDF;MASC;SG
देखें	гледка	देख	гледка	V;SBJV;PL;FIN;ACT	N;INDF;FEM;SG
देखें	оглед	देख	оглед	V;SBJV;PL;FIN;ACT	N;INDF;MASC;SG
देखें	преглед	देख	преглед	V;SBJV;PL;FIN;ACT	N;INDF;MASC;SG
उत्तर	отговори	उत्तर	отговоря	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
उत्तर	отговор	उत्तर	отговор	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
उत्तर	северно	उत्तर	северно	PROPN;NOM;MASC;SG;3	ADV
उत्तर	север	उत्तर	север	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
उत्तर	северна	उत्तर	северен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
उत्तर	отговори	उत्तर	отговоря	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
भाषा	езиците	भाषा	език	N;NOM;FEM;SG;3	N;DEF;MASC;PL
भाषा	езици	भाषा	език	N;NOM;FEM;SG;3	N;INDF;MASC;PL
लिये	за	ले	за	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	всички	सब	всеки	PRO;NOM;3	PRO;NOM;PL
सभी	всичко	सब	всеки	PRO;NOM;3	PRO;NOM;NEUT;SG
प्राप्त	получено	प्राप्त	получа	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
प्राप्त	получена	प्राप्त	получа	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
प्राप्त	получен	प्राप्त	получа	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
प्राप्त	получени	प्राप्त	получа	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
प्राप्त	получено	प्राप्त	получа	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
प्राप्त	получена	प्राप्त	получа	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
प्राप्त	получен	प्राप्त	получа	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
प्राप्त	получени	प्राप्त	получа	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
प्राप्त	получаване	प्राप्त	получаване	ADJ	N;INDF;NEUT;SG
प्रयोग	опити	प्रयोग	опит	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रयोग	експерименти	प्रयोग	експеримент	N;NOM;MASC;SG;3	N;INDF;MASC;PL
शामिल	замесена	शामिल	замеся	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
शामिल	замесен	शामिल	замеся	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
शामिल	включват	शामिल	включвам-(се)	ADJ	V;IPFV;IND;PL;3;PRS;FIN;ACT
शामिल	включва	शामिल	включвам-(се)	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
शामिल	включени	शामिल	включа-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
शामिल	включено	शामिल	включа-(се)	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
शामिल	включена	शामिल	включа-(се)	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
शामिल	включен	शामिल	включа-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
शामिल	включват	शामिल	включвам-(се)	ADJ	V;IPFV;IND;PL;3;PRS;FIN;ACT
शामिल	включване	शामिल	включване	ADJ	N;INDF;NEUT;SG
उन्हें	ги	वह	аз	PRO;SG;3;FORM	PRO;ACC;PL;3
उन्हें	тях	वह	аз	PRO;SG;3;FORM	PRO;ACC;PL;3
उस	че	वह	че	DET;ACC;SG;3	CONJ
स्थान	места	स्थान	място	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
स्थान	местоположения	स्थान	местоположение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
प्रमुख	шефе	प्रमुख	шефе	N;NOM;MASC;SG;3	ADV
प्रमुख	основни	प्रमुख	основен	N;NOM;MASC;SG;3	ADJ;INDF;PL
प्रमुख	основна	प्रमुख	основен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
प्रमुख	главна	प्रमुख	главен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
प्रमुख	главен	प्रमुख	главен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
प्रमुख	главни	प्रमुख	главен	N;NOM;MASC;SG;3	ADJ;INDF;PL
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
बीच	плажът	बीच	плаж	ADV;NOM;MASC;SG;3	N;DEF;MASC;SG
बीच	плаж	बीच	плаж	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
बीच	бряг	बीच	бряг	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
बीच	плажа	बीच	плаж	ADV;NOM;MASC;SG;3	N;DEF;MASC;SG
बीच	център	बीच	център	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
मुख्य	шефе	मुख्य	шефе	PROPN;NOM;MASC;SG;3	ADV
मुख्य	началник	मुख्य	началник	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मुख्य	основни	मुख्य	основен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
मुख्य	основна	मुख्य	основен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मुख्य	главна	मुख्य	главен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मुख्य	главен	मुख्य	главен	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
मुख्य	главни	मुख्य	главен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
बिहार	бихар	बिहार	бихар	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
उसे	него	वह	аз	PRO;SG;3	PRO;ACC;MASC;SG;3
उसे	нея	वह	аз	PRO;SG;3	PRO;ACC;FEM;SG;3
कार्य	задачи	कार्य	задача	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कार्य	работи	कार्य	работя	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN
उनकी	тяхното	वह	наш	PRO;FEM;SG;3;FORM	DET;DEF;NEUT;SG;3
उनकी	тяхната	वह	наш	PRO;FEM;SG;3;FORM	DET;DEF;FEM;SG;3
उनकी	техните	वह	наш	PRO;FEM;SG;3;FORM	DET;DEF;PL;3
उनकी	техният	वह	наш	PRO;FEM;SG;3;FORM	DET;DEF;MASC;SG;3
आंध्र	андра	आंध्र	андра	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
नगर	city	नगर	city	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
उपयोग	използвайте	उपयोग	използвам	N;NOM;MASC;SG;3	V;IPFV;IMP;PL;2;FIN
उपयोग	употреби	उपयोग	употребя	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN
उपयोग	използва	उपयोग	използвам	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
लोगों	народ	लोग	народ	N;ACC;MASC;PL;3	N;INDF;MASC;SG
लोगों	хора	लोग	хора	N;ACC;MASC;PL;3	N;INDF
लोगों	хората	लोग	хора	N;ACC;MASC;PL;3	N;DEF
आधार	предпоставки	आधार	предпоставка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
काम	работи	काम	работя	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
भाग	секции	भाग	секция		N;INDF;FEM;PL
भाग	участъци	भाग	участък		N;INDF;MASC;PL
भाग	раздели	भाग	разделя-(се)		V;PFV;IMP;SG;2;FIN
भाग	част	भाग	част		N;INDF;FEM;SG
भाग	части	भाग	част		N;INDF;FEM;PL
निर्माण	построи	निर्माण	построя-(се)	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN
दोनों	двете	दो	два	N;ACC;MASC;PL;3	NUM;DEF;FEM;PL
राष्ट्रीय	национална	राष्ट्रीय	национален	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
राष्ट्रीय	национални	राष्ट्रीय	национален	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
राष्ट्रीय	национален	राष्ट्रीय	национален	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
राष्ट्रीय	национално	राष्ट्रीय	национален	PROPN;NOM;MASC;SG;3	ADV
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	INTJ
शहर	city	शहर	city	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
शहर	градове	शहर	град	N;NOM;MASC;SG;3	N;INDF;MASC;PL
शहर	градовете	शहर	град	N;NOM;MASC;SG;3	N;DEF;MASC;PL
बार	пръти	बार	прът	N;NOM;FEM;SG;3	N;INDF;MASC;PL
बार	барове	बार	бар	N;NOM;FEM;SG;3	N;INDF;MASC;PL
बार	решетки	बार	решетка	N;NOM;FEM;SG;3	N;INDF;FEM;PL
बार	решетките	बार	решетка	N;NOM;FEM;SG;3	N;DEF;FEM;PL
बार	пъти	बार	път	N;NOM;FEM;SG;3	N;MASC
बार	времена	बार	време	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
बार	times	बार	times	N;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
लगभग	почти	लगभग	почти	PART	ADV
लगभग	приблизително	लगभग	приблизително	PART	ADV
फिल्म	филмова	फिल्म	филмов	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
यहाँ	тук	यहाँ	там	PRO;NOM	ADV
केवल	само	केवल	само	PART	ADV
केवल	единствено	केवल	единствено	PART	ADV
देश	държави	देश	държава	N;NOM;MASC;SG;3	N;INDF;FEM;PL
देश	страни	देश	страна	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अलग	разделени	अलग	разделя-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
अलग	отделени	अलग	отделя-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
अलग	разделен	अलग	разделя-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
अलग	различно	अलग	различно	ADJ	ADV
अलग	разделени	अलग	разделя-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
अलग	отделно	अलग	отделно	ADJ	ADV
अलग	отделени	अलग	отделя-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
विशेष	изключително	विशेष	изключително	ADJ;NOM	ADV
विशेष	ексклузивно	विशेष	ексклузивно	ADJ;NOM	ADV
विशेष	специално	विशेष	специално	ADJ;NOM	ADV
कभी	някога	कभी	някога	PRO	ADV
दी	дадени	दे	дам-(се)	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
दी	дадена	दे	даден	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;FEM;SG
दी	дадено	दे	даден	V;PFV;FEM;SG;V.PTCP;ACT	ADV
पृष्ठ	page	पृष्ठ	page	N;NOM;MASC;SG;3	INTJ
पृष्ठ	страници	पृष्ठ	страница	N;NOM;MASC;SG;3	N;INDF;FEM;PL
माना	разглеждания	मान	разглеждане	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;NEUT;PL
माना	разглеждан	मान	разглеждам	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
माना	мана	मान	мана	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
माना	предполагаемо	मान	предполагаем	V;PFV;MASC;SG;V.PTCP;ACT	ADV
शब्द	думите	शब्द	дума	N;NOM;MASC;SG;3	N;DEF;FEM;PL
शब्द	думи	शब्द	дума	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पुरस्कार	награди	पुरस्कार	награда	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पुरस्कार	награди	पुरस्कार	награда	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पुरस्कार	награди	पुरस्कार	награда	N;NOM;MASC;SG;3	N;INDF;FEM;PL
लेख	изделия	लेख	изделие	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
लेख	статии	लेख	статия	N;NOM;MASC;SG;3	N;INDF;FEM;PL
लेख	артикули	लेख	артикул	N;NOM;MASC;SG;3	N;INDF;MASC;PL
अब	сега	अब	сега	PRO;NOM	ADV
अमेरिका	америка	अमेरिका	америка	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
अलावा	добавка	अलावा	добавка	ADP	N;INDF;FEM;SG
अलावा	добавяне	अलावा	добавяне	ADP	N;INDF;NEUT;SG
अलावा	допълнение	अलावा	допълнение	ADP	N;INDF;NEUT;SG
वार्ता	разговори	वार्ता	разговор	N;NOM;FEM;SG;3	N;INDF;MASC;PL
दक्षिण	южно	दक्षिण	южен	PROPN;NOM;MASC;SG;3	ADV
दक्षिण	южен	दक्षिण	южен	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
दक्षिण	юг	दक्षिण	юг	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
दक्षिण	южна	दक्षिण	южен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
लिया	взет	ले	взет	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
लिया	взето	ले	взема	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
लिया	взети	ले	взема	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
फ़िल्म	филмова	फ़िल्म	филмов	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
क्योंकि	защото	क्योंकि	защото	CONJ	ADV
पास	пропуск	पास	пропуск	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
पास	мине	पास	мина-(се)	ADV;NOM;MASC;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
पास	пас	पास	пас	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
पास	преминаване	पास	преминаване	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
विस्तृत	подробно	विस्तृत	подробно	ADJ	ADV
विस्तृत	изчерпателно	विस्तृत	изчерпателно	ADJ	ADV
विस्तृत	напреднал	विस्तृत	напредна	ADJ	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
विस्तृत	напреднала	विस्तृत	напредна	ADJ	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
विस्तृत	разширено	विस्तृत	разширя-(се)	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
विस्तृत	напреднали	विस्तृत	напредна	ADJ	V;PFV;INDF;PL;PST;V.PTCP;ACT
दिन	дни	दिन	ден	N;NOM;MASC;SG;3	N;INDF;MASC;PL
जाना	жизнеспособността	जा	жизнеспособност	V;MASC;NFIN;ACT	N;DEF;FEM;SG
जाना	жизнеспособност	जा	жизнеспособност	V;MASC;NFIN;ACT	N;INDF;FEM;SG
शुरू	започна	शुरू	започна	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
शुरू	започнете	शुरू	започна	N;NOM;MASC;SG;3	V;PFV;IMP;PL;2;FIN
व्यक्ति	индивидуален	व्यक्ति	индивидуален	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
व्यक्ति	индивидуално	व्यक्ति	индивидуално	N;NOM;MASC;SG;3	ADV
व्यक्ति	индивидуална	व्यक्ति	индивидуален	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
व्यक्ति	индивидуални	व्यक्ति	индивидуален	N;NOM;MASC;SG;3	ADJ;INDF;PL
उनका	тяхното	वह	наш	PRO;MASC;SG;3;FORM	DET;DEF;NEUT;SG;3
उनका	тяхната	वह	наш	PRO;MASC;SG;3;FORM	DET;DEF;FEM;SG;3
