aturar	stand	aturar	stand	V	N;MASC+FEM;SG
acouguen	stilte	acougar	stilte	PROPN	N;MASC+FEM;SG
acouguen	stil	acougar	stil	PROPN	ADJ
acouguen	rustig	acougar	rustig	PROPN	ADJ
toleaches	jij	toleache	jij	N	PRO;NOM;2
toleaches	jou	toleache	jou	N	PRO;ACC;2
toleaches	gek	toleache	gek	N	ADJ
toleaches	zot	toleache	zot	N	ADJ
cortes	stallen	corte	stal	N	V;NFIN
ficas	jij	fica	jij	V	PRO;NOM;2
ficas	jou	fica	jou	V	PRO;ACC;2
deixarnos	verlaat	deixarno	verlaten	N	V;SG;PRS;FIN
deixarnos	vertrek	deixarno	vertrekken	N	V;SG;PRS;FIN
deixarnos	verlaten	deixarno	verlaten	N	V;V.PTCP
delegados	afgevaardigden	delegado	afvaardigen	N	V;V.PTCP
delegados	gedelegeerden	delegado	gedelegeerden	N	V;V.PTCP
erguédevos	dagen	erguédevo	dag	ADJ	N;PL
erguédevos	days	erguédevo	days	ADJ	N;MASC+FEM;SG
erguédevos	will	erguédevo	will	ADJ	
erguédevos	zal	erguédevo	zullen	ADJ	V;SG;PRS;FIN
erguédevos	zullen	erguédevo	zullen	ADJ	V;PL;PRS;FIN
erguédevos	better	erguédevo	goed	ADJ	
erguédevos	krijgen	erguédevo	krijgen	ADJ	V;PL;PRS;FIN
erguédevos	krijg	erguédevo	krijgen	ADJ	V;SG;PRS;FIN
erguédevos	get	erguédevo	get	ADJ	
mack	mack	mack	mack	PROPN	N;MASC+FEM;SG
carter	carter	carter	carter	PROPN	N;MASC+FEM;SG
creas	geloven	crea	geloven	N	V;NFIN
creas	geloof	crea	geloven	N	V;SG;PRS;FIN
creas	jij	crea	jij	N	PRO;NOM;2
creas	jou	crea	jou	N	PRO;ACC;2
berres	schreeuwen	berre	schreeuwen	N	V;NFIN
berres	schreeuw	berre	schreeuw	N	V;SG;PRS;FIN
dezasete	seventeen	dezasete	seventeen	NUM	N;MASC+FEM;SG
faite	jij	faite	jij	PROPN	PRO;NOM;2
faite	jou	faite	jou	PROPN	PRO;ACC;2
crees	jij	cree	jij	V	PRO;NOM;2
crees	jou	cree	jou	V	PRO;ACC;2
césar	caesar	césar	caesar	V	PRO;NOM;3
vulgar	ordinair	vulgar	ordinair	N	ADJ
vulgar	vulgaire	vulgar	vulgair	N	ADJ
vulgar	vulgair	vulgar	vulgair	N	ADJ
pasalo	gezellig	pasalo	gezellig	N	ADJ
pasalo	leuk	pasalo	leuk	N	ADJ
pasalo	heb	pasalo	hebben	N	V;SG;PRS;FIN
pasalo	hebben	pasalo	hebben	N	V;PL;PRS;FIN
roger	roger	roger	roog	PROPN	N;MASC+FEM;SG
vindo	coming	vir	coming	V	N;MASC+FEM;SG
cago	hel	cago	hel	V	N;MASC+FEM;SG
cago	hell	cago	hell	V	N;MASC+FEM;SG
matarme	kill	matarme	kill	V	N;MASC+FEM;SG
matarme	doden	matarme	dood	V	ADJ
atacaron	ze	atacar	ze	V	PRO;3
atacaron	zij	atacar	zij	V	PRO;NOM;3
quixeches	jij	quixeche	jij	V	PRO;NOM;2
quixeches	jou	quixeche	jou	V	PRO;ACC;2
irlandesa	ieren	irlandesa	ieren	ADJ	N;PL
sicilia	sicilië	sicilia	sicilië	PROPN	N;NEUT;SG
reich	rijk	reich	rijk	PROPN	ADJ
reich	reich	reich	reich	PROPN	N;MASC+FEM;SG
déronme	ze	déronme	ze	V	PRO;3
déronme	zij	déronme	zij	V	PRO;NOM;3
meniña	kleine	meniña	klein	N	ADJ
meniña	weinig	meniña	weinig	N	PRO
meniña	little	meniña	little	N	
meniña	klein	meniña	klein	N	ADJ
meniña	girl	meniña	girl	N	
católicos	katholieken	católico	katholiek	ADJ	N;PL
pasear	wandeling	pasear	wandeling	V	N;MASC+FEM;SG
pasear	walk	pasear	walk	V	N;MASC+FEM;SG
pasear	voor	pasear	voor	V	ADP
hmong	hmong	hmong	hmongen	PROPN	N;PL
leland	leland	leland	leland	PROPN	N;MASC+FEM;SG
klaus	klaus	klaus	klaus	PROPN	N;MASC+FEM;SG
nis	nis	nis	nis	PROPN	N;MASC+FEM;SG
nis	nos	nis	nos	PROPN	PROPN;MASC+FEM;SG
estivesen	ze	estar	ze	V	PRO;3
estivesen	zij	estar	zij	V	PRO;NOM;3
estivesen	waren	estar	zijn	V	V;PL;PST;FIN
corría	running	corría	running	V	N;MASC+FEM;SG
corría	was	corría	zijn	V	V;SG;PST;FIN
ensino	onderwijzen	ensino	onderwijzen	N	V;NFIN
ensino	onderwijzen	ensino	onderwijzen	N	V;NFIN
confesión	biechten	confesión	biecht	N	V;NFIN
estanse	zijn	estanse	zijn	PROPN	V;PL;PRS;FIN
loitan	zijn	loitar	zijn	V	V;PL;PRS;FIN
loitan	strijd	loitar	strijd	V	N;MASC+FEM;SG
loitan	gevecht	loitar	gevecht	V	N;NEUT;SG
perden	verlies	perder	verlies	V	N;NEUT;SG
dinámica	dynamische	dinámica	dynamisch	N	ADJ
dinámica	dynamisch	dinámica	dynamisch	N	ADJ
aumenta	will	aumentar	will	V	
aumenta	zal	aumentar	zullen	V	V;SG;PRS;FIN
aumenta	zullen	aumentar	zullen	V	V;PL;PRS;FIN
aumenta	verhoging	aumentar	verhoging	V	N;MASC+FEM;SG
aumenta	stijging	aumentar	stijging	V	N;MASC+FEM;SG
saibas	jij	saber	jij	V	PRO;NOM;2
saibas	jou	saber	jou	V	PRO;ACC;2
ken	ken	ker	kunnen	PROPN	V;SG;PRS;FIN
falsos	false	falso	fals	ADJ	
sexades	jij	sexade	jij	V	PRO;NOM;2
sexades	jou	sexade	jou	V	PRO;ACC;2
pensaban	ze	pensabar	ze	V	PRO;3
pensaban	zij	pensabar	zij	V	PRO;NOM;3
pódense	kan	pódense	kunnen	N	V;SG;PRS;FIN
pódense	kunt	pódense	kunnen	N	V;SG;PRS;FIN
pódense	kunnen	pódense	kunnen	N	V;PL;PRS;FIN
coñecida	bekende	coñecer	bekend	V	ADJ
coñecida	bekend	coñecer	bekend	V	ADJ
emocionante	opwindend	emocionante	opwindend	N	ADJ
emocionante	spannend	emocionante	spannend	N	ADJ
emocionante	spannend	emocionante	spannend	N	ADJ
expansión	uitbreiden	expansión	uitbreiden	N	V;NFIN
necesitan	nood	necesitar	nood	V	N;MASC+FEM;SG
necesitan	need	necesitar	need	V	
necesitan	nodig	necesitar	nodig	V	ADJ
necesitan	noodzaak	necesitar	noodzaak	V	N;MASC+FEM;SG
necesitan	behoefte	necesitar	behoefte	V	N;MASC+FEM;SG
necesitan	ze	necesitar	ze	V	PRO;3
necesitan	zij	necesitar	zij	V	PRO;NOM;3
senon	maar	senon	maar	PART	CONJ
individual	individu	individual	individu	ADJ	N;NEUT;SG
intres	moments	intres	moments	N	
fiel	trouwe	fiel	trouw	N	ADJ
fiel	trouw	fiel	trouw	N	ADJ
fiel	getrouwe	fiel	trouw	N	V;V.PTCP
trece	dertien	trecer	dertien	N	NUM
paran	ze	parar	ze	V	PRO;3
paran	zij	parar	zij	V	PRO;NOM;3
calefacción	verwarmen	calefacción	verwarmen	N	V;NFIN
enfermos	zieken	enfermo	zieken	N	ADJ
enfermos	ziek	enfermo	ziek	N	ADJ
compartimos	deel	compartir	deel	V	N;NEUT;SG
compartimos	gedeelde	compartir	delen	V	ADJ
arder	verbranding	arder	verbranding	V	N;MASC+FEM;SG
arder	burning	arder	burning	V	N;MASC+FEM;SG
arder	brand	arder	brand	V	N;MASC+FEM;SG
arder	burn	arder	burn	V	N;MASC+FEM;SG
roubei	stal	roubar	stelen	PROPN	N;MASC+FEM;SG
roubei	gestolen	roubar	stelen	PROPN	V;V.PTCP
mentais	mentaal	mental	mentaal	N	ADJ
mentais	mentale	mental	mentale	N	ADJ
mentais	geestelijk	mental	geestelijk	N	ADJ
mentais	geestelijke	mental	geestelijke	N	ADJ
america	amerika	americar	amerika	PROPN	PROPN;NEUT;SG
pensaron	ze	pensar	ze	V	PRO;3
pensaron	zij	pensar	zij	V	PRO;NOM;3
chamábase	zijn	chamábase	zijn	V	V;PL;PRS;FIN
chamábase	naam	chamábase	naam	V	N;MASC+FEM;SG
chamábase	was	chamábase	zijn	V	V;SG;PST;FIN
murray	murray	murray	murray	PROPN	N;MASC+FEM;SG
espido	naakt	espido	naken	N	ADJ
espido	naakte	espido	naakt	N	ADJ
técnicos	technische	técnico	technisch	N	ADJ
técnicos	technisch	técnico	technisch	N	ADJ
deixalos	laat	deixalo	laten	N	V;SG;PRS;FIN
deixalos	laten	deixalo	laten	N	V;PL;PRS;FIN
deixalos	hen	deixalo	hen	N	PRO;ACC;3
deixalos	verlaat	deixalo	verlaten	N	V;SG;PRS;FIN
deixalos	vertrek	deixalo	vertrekken	N	V;SG;PRS;FIN
deixalos	verlaten	deixalo	verlaten	N	V;V.PTCP
vanme	ze	vanme	ze	V	PRO;3
vanme	zij	vanme	zij	V	PRO;NOM;3
conclusión	dat	conclusión	dat	N	PRO;3
orgullosos	proud	orgulloso	proud	ADJ	
converterse	wordt	convertersar	worden	N	V;SG;PRS;FIN
converterse	word	convertersar	worden	N	V;SG;PRS;FIN
converterse	worden	convertersar	worden	N	V;PL;PRS;FIN
chegarán	will	chegar	will	V	
chegarán	zal	chegar	zullen	V	V;SG;PRS;FIN
chegarán	zullen	chegar	zullen	V	V;PL;PRS;FIN
chegarán	ze	chegar	ze	V	PRO;3
chegarán	zij	chegar	zij	V	PRO;NOM;3
gañando	winning	gañar	winning	V	N;MASC+FEM;SG
quedaron	ze	quedar	ze	V	PRO;3
quedaron	zij	quedar	zij	V	PRO;NOM;3
supostamente	verondersteld	supostamente	veronderstellen	ADV	V;V.PTCP
supostamente	zogenaamd	supostamente	zogenaamd	ADV	ADJ
supostamente	vermeend	supostamente	vermenen	ADV	ADJ
supostamente	vermoedelijk	supostamente	vermoedelijk	ADV	ADJ
facelos	hen	facelo	hen	DET	PRO;ACC;3
facelos	maken	facelo	maken	DET	V;NFIN
facelos	maak	facelo	maken	DET	V;SG;PRS;FIN
violación	verkracht	violación	verkrachten	N	V;V.PTCP
violación	verkrachten	violación	verkrachten	N	V;NFIN
escribiume	schreven	escribiume	schrijven	PROPN	V;PL;PST;FIN
escribiume	schreef	escribiume	schrijven	PROPN	V;SG;PST;FIN
gustoume	zoals	gustoume	zoals	V	CONJ
gustoume	like	gustoume	lik	V	
hanoi	hanoi	hanol	hanoi	PROPN	N;NEUT;SG
islam	islam	islam	islam	PROPN	N;MASC+FEM;SG
profeta	prophet	profeta	prophet	V	N;MASC+FEM;SG
profeta	profeet	profeta	profeet	V	N;MASC+FEM;SG
chámanlle	oproep	chámanlle	oproep	PROPN	N;MASC+FEM;SG
chámanlle	bellen	chámanlle	bellen	PROPN	V;NFIN
chámanlle	bel	chámanlle	bellen	PROPN	V;SG;PRS;FIN
cas	met	cas	met	N	ADP
devanceiros	voorvaderen	devanceiro	voorvaderen	ADJ	N;PL
devanceiros	voorouders	devanceiro	voorouder	ADJ	N;PL
devanceiros	voorvaders	devanceiro	voorvader	ADJ	N;PL
estatal	staat	estatal	staan	ADJ	V;SG;PRS;FIN
estatal	state	estatal	state	ADJ	N;MASC+FEM;SG
amargo	bittere	amargo	bitter	N	ADJ
amargo	bitter	amargo	bitter	N	ADJ
amargo	verbitterd	amargo	verbitteren	N	V;V.PTCP
equivocado	verkeerd	equivocar	verkeerd	V	ADJ
equivocado	verkeerde	equivocar	verkeerd	V	ADJ
equivocado	fout	equivocar	fout	V	N;MASC+FEM;SG
representante	gevolmachtigde	representante	volmachtigen	N	V;SG;FIN
representante	representatief	representante	representatief	N	ADJ
representante	representatieve	representante	representatief	N	ADJ
levárono	hem	levárono	hem	V	PRO;ACC;3
levárono	ze	levárono	ze	V	PRO;3
levárono	zij	levárono	zij	V	PRO;NOM;3
feitas	made	facer	made	V	
estranxeira	buitenlander	estranxeiro	buitenlander	ADJ	N;MASC+FEM;SG
estranxeira	vreemdeling	estranxeiro	vreemdeling	ADJ	N;MASC+FEM;SG
favorita	favoriete	favoritar	favoriet	N	ADJ
dirán	ze	dir	ze	V	PRO;3
dirán	zij	dir	zij	V	PRO;NOM;3
dirán	say	dir	say	V	
viaxa	reis	viaxa	reis	V	N;MASC+FEM;SG
néboa	mist	néboa	missen	N	V;SG;PRS;FIN
parker	parker	parker	park	PROPN	N;MASC+FEM;SG
esperan	hoop	esperar	hoop	V	N;MASC+FEM;SG
esperan	hope	esperar	hope	V	N;MASC+FEM;SG
taza	kopje	taza	kopje	PROPN	N;NEUT;SG
taza	beker	taza	beker	PROPN	N;MASC+FEM;SG
brincar	grapje	brincar	grap	V	N;NEUT;SG
brincar	grapje	brincar	grap	V	N;NEUT;SG
lixeiro	light	lixeiro	light	ADJ	N;MASC+FEM;SG
lixeiro	licht	lixeiro	licht	ADJ	N;NEUT;SG
evidentemente	duidelijk	evidente	duidelijk	ADV	ADJ
prometín	beloofd	prometín	beloven	PROPN	V;V.PTCP
prometín	beloofde	prometín	beloven	PROPN	V;SG;PST;FIN
defunto	late	defunto	laat	N	ADJ
defunto	laat	defunto	laten	N	V;SG;PRS;FIN
defunto	dood	defunto	dood	N	ADJ
defunto	doods	defunto	doods	N	ADJ
regrese	terug	regrese	terug	V	ADV
regrese	rug	regrese	rug	V	N;MASC+FEM;SG
regrese	back	regrese	back	V	N;MASC+FEM;SG
escapou	weg	escapar	weg	V	ADV
escapou	van	escapar	van	V	ADP
escapou	uit	escapar	uit	V	ADP
escapou	vanaf	escapar	vanaf	V	ADP
tumbas	graven	tumba	graven	N	V;NFIN
amada	bemind	amadar	beminnen	ADJ	V;V.PTCP
amada	hield	amadar	houden	ADJ	V;SG;PST;FIN
cooperativas	coöperatieve	cooperativa	copperatief	N	ADJ
cooperativas	coöperatief	cooperativa	coöperatief	N	ADJ
jenny	jenny	jenny	jenny	PROPN	N;MASC+FEM;SG
óesme	jij	óesme	jij	PROPN	PRO;NOM;2
óesme	jou	óesme	jou	PROPN	PRO;ACC;2
óesme	hoor	óesme	hoor	PROPN	INTJ
óesme	horen	óesme	horen	PROPN	V;NFIN
molesto	overstuur	molesto	overstuur	N	ADJ
refires	gemiddelde	referir	gemiddeld	PROPN	ADJ
refires	gemeen	referir	gemeen	PROPN	ADJ
refires	mean	referir	mean	PROPN	
gustaríalle	zoals	gustaríalle	zoals	V	CONJ
gustaríalle	like	gustaríalle	lik	V	
gustaríalle	zou	gustaríalle	zullen	V	V;SG;PST;FIN
mátote	kill	mátote	kill	PROPN	N;MASC+FEM;SG
mátote	doden	mátote	dood	PROPN	ADJ
mátote	jij	mátote	jij	PROPN	PRO;NOM;2
mátote	jou	mátote	jou	PROPN	PRO;ACC;2
esperas	jij	espera	jij	N	PRO;NOM;2
esperas	jou	espera	jou	N	PRO;ACC;2
esperas	wachtende	espera	wachten	N	V;V.PTCP
esperas	afwachten	espera	afwachten	N	V;NFIN
esperas	wachten	espera	wachten	N	V;NFIN
caín	fell	caín	fell	PRO	
caín	viel	caín	vallen	PRO	V;SG;PST;FIN
socorro	helpen	socorro	helpen	N	V;NFIN
joseph	jozef	josephr	jozef	PROPN	N;MASC+FEM;SG
joseph	joseph	josephr	joseph	PROPN	N;MASC+FEM;SG
secreta	geheim	secreta	geheim	N	ADJ
secreta	secret	secreta	secret	N	
vido	kom	vir	komen	N	V;SG;PRS;FIN
vido	kwam	vir	komen	N	V;SG;PST;FIN
vido	kwamen	vir	komen	N	V;PL;PST;FIN
dispararon	shot	disparar	shot	V	N;MASC+FEM;SG
dispararon	schot	disparar	schot	V	N;NEUT;SG
dispararon	ze	disparar	ze	V	PRO;3
dispararon	zij	disparar	zij	V	PRO;NOM;3
terlle	heb	terlle	hebben	PROPN	V;SG;PRS;FIN
terlle	hebben	terlle	hebben	PROPN	V;PL;PRS;FIN
terlle	hem	terlle	hem	PROPN	PRO;ACC;3
prometo	belofte	prometo	belofte	V	N;MASC+FEM;SG
seguirá	will	seguir	will	V	
seguirá	zal	seguir	zullen	V	V;SG;PRS;FIN
seguirá	zullen	seguir	zullen	V	V;PL;PRS;FIN
seguirá	nog	seguir	nog	V	ADV
vervos	jij	vervo	jij	V	PRO;NOM;2
vervos	jou	vervo	jou	V	PRO;ACC;2
sóltame	krijgen	sóltame	krijgen	PROPN	V;PL;PRS;FIN
sóltame	krijg	sóltame	krijgen	PROPN	V;SG;PRS;FIN
sóltame	get	sóltame	get	PROPN	
sóltame	laat	sóltame	laten	PROPN	V;SG;PRS;FIN
sóltame	laten	sóltame	laten	PROPN	V;PL;PRS;FIN
estabades	waren	estabade	zijn	N	V;PL;PST;FIN
estabades	jij	estabade	jij	N	PRO;NOM;2
estabades	jou	estabade	jou	N	PRO;ACC;2
interesada	geïnteresseerd	interesado	interesseren	N	V;V.PTCP
escoitaches	jij	escoitaches	jij	V	PRO;NOM;2
escoitaches	jou	escoitaches	jou	V	PRO;ACC;2
escoitaches	hoor	escoitaches	hoor	V	INTJ
fálame	ongeveer	fálame	ongeveer	PROPN	ADV
fálame	over	fálame	over	PROPN	ADP
fálame	vertel	fálame	vertel	PROPN	V;SG;PRS;FIN
fálame	tell	fálame	tell	PROPN	
vendas	verkopen	venda	verkopen	N	V;NFIN
vendas	verkopen	venda	verkopen	N	V;NFIN
parezo	kijk	parezo	kijken	PROPN	V;SG;PRS;FIN
vinnie	vinnie	vinnie	vinnie	PROPN	N;MASC+FEM;SG
permíteme	may	permíteme	may	V	
permíteme	mei	permíteme	mei	V	PROPN;MASC+FEM;SG
permíteme	mag	permíteme	mogen	V	V;SG;PRS;FIN
permíteme	moge	permíteme	mogen	V	V;SG;PRS;FIN
colar	halsketting	colar	halsketting	V	N;MASC+FEM;SG
colar	ketting	colar	ketting	V	N;MASC+FEM;SG
colar	halssnoer	colar	halssnoer	V	N;NEUT;SG
levarte	jij	levarte	jij	V	PRO;NOM;2
levarte	jou	levarte	jou	V	PRO;ACC;2
sacaches	get	sacaches	get	V	
sacaches	jij	sacaches	jij	V	PRO;NOM;2
sacaches	jou	sacaches	jou	V	PRO;ACC;2
xudea	front	xudea	front	N	
boh	nou	boh	nou	PROPN	ADV
boh	wel	boh	wel	PROPN	ADV
lima	lima	lima	lima	PROPN	N;MASC+FEM;SG
rezo	bidden	rezo	bidden	N	V;NFIN
rezo	bid	rezo	bid	N	V;SG;PRS;FIN
refíreste	jij	refíreste	jij	N	PRO;NOM;2
refíreste	jou	refíreste	jou	N	PRO;ACC;2
refíreste	gemiddelde	refíreste	gemiddeld	N	ADJ
refíreste	gemeen	refíreste	gemeen	N	ADJ
refíreste	mean	refíreste	mean	N	
adoro	love	adoro	love	V	
adoro	liefs	adoro	lief	V	N;PL
adoro	liefde	adoro	liefde	V	N;MASC+FEM;SG
dillo	vertel	dillo	vertel	PROPN	V;SG;PRS;FIN
dillo	tell	dillo	tell	PROPN	
dillo	hem	dillo	hem	PROPN	PRO;ACC;3
trent	trent	trent	trent	PROPN	N;MASC+FEM;SG
jean	jean	jean	jean	PROPN	N;MASC+FEM;SG
saigón	saigon	saigón	saigon	PROPN	N;MASC+FEM;SG
ámoa	love	ámoa	love	PROPN	
ámoa	liefs	ámoa	lief	PROPN	N;PL
ámoa	liefde	ámoa	liefde	PROPN	N;MASC+FEM;SG
ámoa	haar	ámoa	haar	PROPN	PRO;ACC;3
dakar	dakar	dakar	dakar	PROPN	N;MASC+FEM;SG
dylan	dylan	dólar	dylan	PROPN	N;MASC+FEM;SG
quizabes	kan	quizabes	kunnen	N	V;SG;PRS;FIN
quizabes	kon	quizabes	kunnen	N	V;SG;PST;FIN
quizabes	heb	quizabes	hebben	N	V;SG;PRS;FIN
quizabes	hebben	quizabes	hebben	N	V;PL;PRS;FIN
clermont	clermont	clermont	clermont	PROPN	N;MASC+FEM;SG
geneviève	geneviève	genevitvar	geneviève	PROPN	N;MASC+FEM;SG
clotilde	clotilde	clotilde	clotild	PROPN	N;MASC+FEM;SG
père	pere	père	pere	PROPN	N;MASC+FEM;SG
imperfecto	het	imperfecto	het	ADJ	PRO;3
imperfecto	de	imperfecto	de	ADJ	DET;DEF
flipper	flipper	flipper	flipper	PROPN	N;MASC+FEM;SG
viñan	ze	vir	ze	V	PRO;3
viñan	zij	vir	zij	V	PRO;NOM;3
cambian	wijziging	cambiar	wijziging	V	N;MASC+FEM;SG
cambian	verandering	cambiar	verandering	V	N;MASC+FEM;SG
cambian	veranderingen	cambiar	verandering	V	N;PL
dados	dobbelsteen	dar	dobbelsteen	V	N;MASC+FEM;SG
dados	dobbelstenen	dar	dobbelsteen	V	N;PL
occidental	western	occidental	western	ADJ	N;NEUT;SG
occidental	west	occidental	west	ADJ	N;MASC+FEM;SG
occidental	westen	occidental	westen	ADJ	N;NEUT;SG
king	konings	king	koning	PROPN	N;SG
king	king	king	kingen	PROPN	N;MASC+FEM;SG
king	koning	king	koning	PROPN	N;MASC+FEM;SG
andy	andy	andy	andy	PROPN	N;MASC+FEM;SG
archie	archie	archie	archie	PROPN	N;MASC+FEM;SG
xulgar	rechter	xulgar	rechter	V	N;MASC+FEM;SG
xulgar	judge	xulgar	judg	V	N;MASC+FEM;SG
veredes	jij	verede	jij	V	PRO;NOM;2
veredes	jou	verede	jou	V	PRO;ACC;2
deixala	laat	deixala	laten	ADV	V;SG;PRS;FIN
deixala	laten	deixala	laten	ADV	V;PL;PRS;FIN
deixala	haar	deixala	haar	ADV	PRO;ACC;3
deixala	jij	deixala	jij	ADV	PRO;NOM;2
deixala	jou	deixala	jou	ADV	PRO;ACC;2
anderson	anderson	anderson	anderson	PROPN	N;MASC+FEM;SG
contesta	antwoord	contesta	antwoord	V	N;NEUT;SG
pagas	betaal	paga	betaal	N	V;SG;PRS;FIN
pagas	betalen	paga	betalen	N	V;NFIN
pagas	jij	paga	jij	N	PRO;NOM;2
pagas	jou	paga	jou	N	PRO;ACC;2
preguntoume	en	preguntoume	en	V	CONJ
medrei	groeiden	medrar	groeien	ADV	V;PL;PST;FIN
medrei	groeide	medrar	groeien	ADV	V;SG;PST;FIN
reto	uitdagen	reto	uitdag	N	V;NFIN
relacionado	verwant	relacionar	verwant	V	ADJ
relacionado	verwante	relacionar	verwant	V	ADJ
tocas	jij	toca	jij	V	PRO;NOM;2
tocas	jou	toca	jou	V	PRO;ACC;2
despedida	vaarwel	despedir	vaarwel	N	ADJ
largo	krijgen	largo	krijgen	N	V;PL;PRS;FIN
largo	krijg	largo	krijgen	N	V;SG;PRS;FIN
largo	get	largo	get	N	
largo	eruit	largo	eruit	N	ADV
largo	uit	largo	uit	N	ADP
largo	out	largo	out	N	
experto	deskundige	experto	deskundig	N	ADJ
tiveses	jij	ter	jij	V	PRO;NOM;2
tiveses	jou	ter	jou	V	PRO;ACC;2
preocupar	ongeveer	preocupar	ongeveer	V	ADV
preocupar	over	preocupar	over	V	ADP
necesitaba	nodig	necesitar	nodig	V	ADJ
necesitaba	benodigd	necesitar	benodigd	V	ADJ
secundarios	kant	secundario	kant	ADJ	N;MASC+FEM;SG
secundarios	zijde	secundario	zijde	ADJ	N;MASC+FEM;SG
secundarios	side	secundario	side	ADJ	
secundarios	zijkant	secundario	zijkant	ADJ	N;MASC+FEM;SG
secreto	geheim	secreto	geheim	N	ADJ
secreto	secret	secreto	secret	N	
verdadeiros	real	verdadeiro	real	ADJ	N;MASC+FEM;SG
verdadeiros	waar	verdadeiro	waar	ADJ	ADV
verdadeiros	true	verdadeiro	true	ADJ	
verdadeiros	klopt	verdadeiro	kloppen	ADJ	V;SG;PRS;FIN
desafío	uitdagen	desafío	uitdag	N	V;NFIN
capturar	vangst	capturar	vangst	V	N;MASC+FEM;SG
