nasr	nasr	nasr	nasr	PROPN	
efortul	wysiłki	efort	wysiłek	N;DEF;MASC;SG	N;NOM;MASC;PL
efortul	wysiłku	efort	wysiłek	N;DEF;MASC;SG	N;GEN;MASC;SG
navală	marynarki	naval	marynarka	ADJ;INDF;FEM;SG	N;GEN;FEM;SG
cartoon	cartoon	cartoon	cartoon	N;INDF;MASC;SG	
pânză	płótna	pânză	płótny	N;INDF;FEM;SG	N;ACC;NEUT;SG
pânză	płótno	pânză	płótno	N;INDF;FEM;SG	N;NOM;NEUT;SG
pânză	płótnie	pânză	płótno	N;INDF;FEM;SG	N;ACC;NEUT;SG
necunoscută	nieznany	necunoscut	nieznany	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
necunoscută	nieznana	necunoscut	nieznany	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
necunoscută	nieznane	necunoscut	nieznany	ADJ;INDF;FEM;SG	
doctrina	doktryna	doctrină	doktryna	N;DEF;FEM;SG	N;NOM;FEM;SG
senatul	senatu	senat	senat	N;DEF;MASC;SG	N;GEN;MASC;SG
senatul	senat	senat	senat	N;DEF;MASC;SG	
concentrat	koncentrat	concentrat	koncentrat	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
concentrat	koncentrat	concentrat	koncentrat	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
stars	gwiazd	stars	gwiazd	N;INDF;MASC;SG	
stars	gwiazdy	stars	gwiazda	N;INDF;MASC;SG	N;ACC;FEM;PL
lipsesc	brakuje	lipsi	brakować	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
lipsesc	brakujące	lipsi	brakować	V;IND;PL;3;PRS;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
lipsesc	zaginiony	lipsi	zaginić	V;IND;PL;3;PRS;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
lipsesc	zaginął	lipsi	zaginąć	V;IND;PL;3;PRS;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
catalog	katalogi	catalog	kataloga	N;INDF;MASC;SG	N;NOM;MASC;PL
diesel	diesel	diesel	diesel	N;INDF;MASC;SG	
diesel	diesla	diesel	diesla	N;INDF;MASC;SG	
toronto	toronto	toronto	toronto	PROPN	PROPN;NOM;MASC;SG
darwin	darwin	darwin	darwin	PROPN	PROPN;NOM;MASC;SG
rey	rey	rey	rey	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
așteptat	oczekiwano	aștepta	oczekiwać	ADJ;INDF;MASC;SG	V;IPFV;IND;0;PST;FIN;ACT
așteptat	oczekiwać	aștepta	oczekiwać	ADJ;INDF;MASC;SG	V;IPFV;NFIN;ACT
copie	kopia	copie	kopia	N;INDF;FEM;SG	N;NOM;FEM;SG
copie	skopiuj	copie	skopiuj	N;INDF;FEM;SG	V;PFV;IMP;SG;2;FIN;ACT
copie	kopiuj	copie	kopiuj	N;INDF;FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
copie	kopiowanie	copie	kopiować	N;INDF;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
augusta	augusta	augusta	augusta	N;DEF;FEM;SG	
conservatorul	konserwatorium	conservator	konserwatorium	N;DEF;MASC;SG	N;ACC;NEUT;SG
nièvre	nièvre	nihvră	nisvre	N;INDF;FEM;SG	
individ	indywidualny	individ	indywidualny	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
individ	indywidualne	individ	indywidualny	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
individ	poszczególnych	individ	poszczególny	N;INDF;MASC;SG	ADJ;GEN;MASC;PL
individ	indywidualnie	individ	indywidualnie	N;INDF;MASC;SG	ADV
cauze	powoduje	cauză	powodować	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
rosa	róża	rosa	róża	N;DEF;FEM;SG	
rosa	rosa	rosa	rosa	N;DEF;FEM;SG	
neil	neila	neil	neil	PROPN	
neil	neil	neil	neil	PROPN	PROPN;NOM;MASC;SG
orientale	oriental	oriental	oriental	ADJ;INDF;FEM;PL	N;NOM;MASC;SG
murray	murray	murray	murray	PROPN	PROPN;NOM;MASC;SG
giorgio	giorgio	giorgio	giorgio	PROPN	
bloc	zablokuj	bloc	zablokować	N;INDF;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
bloc	zablokować	bloc	zablokować	N;INDF;MASC;SG	V;PFV;NFIN;ACT
extremă	ekstremalnie	extrem	ekstremalnie	ADJ;INDF;FEM;SG	ADV
extremă	ekstremalne	extrem	ekstremalny	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
sophie	sophie	sophie	soph	PROPN	N;NOM;FEM;SG
sophie	zofia	sophie	zofia	PROPN	PROPN;NOM;FEM;SG
fundamentală	fundamentalne	fundamental	fundamentalny	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
fundamentală	podstawowych	fundamental	podstawowy	ADJ;INDF;FEM;SG	ADJ;GEN;MASC;PL
fundamentală	zasadnicza	fundamental	zasadniczy	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
democratice	demokratyczny	democratic	demokratyczny	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
democratice	demokratyczna	democratic	demokratyczny	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
democratice	demokratyczne	democratic	demokratyczny	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
verii	kuzyni	vară	kuzynia	N;DEF;FEM;SG	N;NOM;MASC;PL
verii	kuzynki	vară	kuzynka	N;DEF;FEM;SG	N;NOM;FEM;SG
verii	kuzynów	vară	kuzyn	N;DEF;FEM;SG	N;ACC;MASC;PL
aventură	przygodę	aventură	przygoda	N;INDF;FEM;SG	N;ACC;FEM;SG
aventură	przygoda	aventură	przygoda	N;INDF;FEM;SG	N;NOM;FEM;SG
aventură	przygody	aventură	przygoda	N;INDF;FEM;SG	
aventură	przygód	aventură	przygód	N;INDF;FEM;SG	
ciot	pień	ciot	pień	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
ciot	stump	ciot	stumpa	ADJ;INDF;MASC;SG	
gri	siwy	gri	siwa		N;NOM;MASC;SG
gri	szara	gri	szara		ADJ;NOM;FEM;SG
gri	szare	gri	szary		ADJ;NOM;NEUT;SG
gri	siwy	gri	siwa		N;NOM;MASC;SG
gri	szara	gri	szara		ADJ;NOM;FEM;SG
gri	szare	gri	szary		ADJ;NOM;NEUT;SG
imdb	imdb	imdb	imdb	N;INDF;MASC;SG	
producători	wytwórcy	producător	wytwórca	N;INDF;MASC;PL	N;NOM;MASC;SG
gratuit	wolna	gratuit	wolny	ADJ;INDF;MASC;SG	
gratuit	free	gratuit	free	ADJ;INDF;MASC;SG	
proiectele	projektów	proiect	projekt	N;DEF;FEM;PL	N;GEN;MASC;PL
proiectele	projekty	proiect	projekt	N;DEF;FEM;PL	N;NOM;MASC;PL
floarea	kwiat	floare	kwiat	N;DEF;FEM;SG	N;NOM;MASC;SG
floarea	kwiaty	floare	kwiat	N;DEF;FEM;SG	N;NOM;MASC;PL
floarea	kwiecie	floare	kwiecie	N;DEF;FEM;SG	
floarea	kwiatek	floare	kwiatek	N;DEF;FEM;SG	N;NOM;MASC;SG
terry	terry	terry	terry	PROPN	PROPN;NOM;MASC;SG
nordice	nordic	nordic	nordica	ADJ;INDF;FEM;PL	
viziune	wzrok	viziune	wzrok	N;INDF;FEM;SG	N;NOM;MASC;SG
viziune	wizji	viziune	wizja	N;INDF;FEM;SG	N;GEN;FEM;SG
viziune	wizja	viziune	wizja	N;INDF;FEM;SG	N;NOM;FEM;SG
viziune	widzenie	viziune	widzenie	N;INDF;FEM;SG	N;NOM;NEUT;SG
partidele	partie	partid	partia	N;DEF;FEM;PL	N;NOM;FEM;PL
partidele	imprezy	partid	impreza	N;DEF;FEM;PL	
partidele	przyjęcia	partid	przyjęcie	N;DEF;FEM;PL	N;NOM;NEUT;SG
catalonia	katalonii	catalonie	katalonia	N;DEF;FEM;SG	
catalonia	katalonia	catalonie	katalonia	N;DEF;FEM;SG	N;NOM;FEM;SG
profesie	zawód	profesie	zawód	N;INDF;FEM;SG	N;NOM;MASC;SG
mayenne	mayenne	mayenn	mayenny	N;INDF;FEM;SG	
dean	dean	dean	dean	PROPN	PROPN;NOM;MASC;SG
dean	dziekan	dean	dziekany	PROPN	N;NOM;MASC;SG
zagreb	zagrzeb	zagreb	zagrzeb	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
exemplul	przykładowy	exemplu	przykładowy	N;DEF;MASC;SG	ADJ;ACC;MASC;SG
exemplul	przykładowe	exemplu	przykładowy	N;DEF;MASC;SG	ADJ;NOM;NEUT;SG
exemplul	przykład	exemplu	przykład	N;DEF;MASC;SG	N;NOM;MASC;SG
incintă	obudowy	incintă	obudowy	N;INDF;FEM;SG	N;ACC;FEM;PL
magnolia	magnolia	magnolie	magnolia	N;DEF;FEM;SG	
informare	odprawa	informare	odprawa	N;INDF;FEM;SG	N;NOM;FEM;SG
populații	populacji	populație	populacja	N;INDF;FEM;PL	N;GEN;FEM;SG
populații	ludność	populație	ludność	N;INDF;FEM;PL	N;NOM;FEM;SG
bere	piwa	bere	piwo	N;INDF;FEM;SG	N;ACC;NEUT;SG
bere	piwko	bere	piwko	N;INDF;FEM;SG	N;NOM;NEUT;SG
bere	piwo	bere	piwo	N;INDF;FEM;SG	N;NOM;NEUT;SG
mandatul	nakaz	mandat	nakaz	N;DEF;MASC;SG	N;NOM;MASC;SG
mandatul	nakazu	mandat	nakaz	N;DEF;MASC;SG	
mandatul	mandat	mandat	mandat	N;DEF;MASC;SG	N;ACC;MASC;SG
mandatul	upoważnienie	mandat	upoważnić	N;DEF;MASC;SG	N;NOM;NEUT;SG
mandatul	mandatu	mandat	mandat	N;DEF;MASC;SG	N;GEN;MASC;SG
cape	cape	cape	capy	N;INDF;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
expert	biegły	expert	biec	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
expert	ekspert	expert	ekspert	N;INDF;MASC;SG	
expert	eksperta	expert	ekspert	N;INDF;MASC;SG	
expert	ekspertów	expert	ekspert	N;INDF;MASC;SG	N;ACC;MASC;PL
zahăr	sacharoza	zahăr	sacharoza	N;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
zahăr	sacharozy	zahăr	sacharo	N;INDF;MASC;SG	
zahăr	sugar	zahăr	sugar	N;INDF;MASC;SG	
wagner	wagner	wagner	wagner	PROPN	PROPN;NOM;MASC;SG
călugăr	monk	călugăr	monk	N;INDF;MASC;SG	
digitală	cyfrowy	digitală	cyfrowy	ADJ;INDF;FEM;SG	N;ACC;MASC;SG
digitală	cyfrowa	digitală	cyfrowy	ADJ;INDF;FEM;SG	
digitală	cyfrowe	digitală	cyfrowy	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
digitală	digital	digitală	digital	ADJ;INDF;FEM;SG	
mențiune	termin	mențiune	termin	N;INDF;FEM;SG	N;NOM;MASC;SG
mențiune	kadencja	mențiune	kadencja	N;INDF;FEM;SG	N;NOM;FEM;SG
mențiune	określenie	mențiune	określenie	N;INDF;FEM;SG	N;NOM;NEUT;SG
fals	fałsz	fals	fałsz	ADJ;INDF;MASC;SG	
ruta	drodze	ruta	droga	N;DEF;FEM;SG	N;DAT;FEM;SG
ruta	szlak	ruta	szlak	N;DEF;FEM;SG	N;NOM;MASC;SG
ruta	trasy	ruta	trasa	N;DEF;FEM;SG	N;ACC;FEM;PL
ruta	trasa	ruta	trasa	N;DEF;FEM;SG	N;NOM;FEM;SG
clement	clément	clement	clément	PROPN	PROPN;NOM;MASC;SG
clement	clement	clement	clement	PROPN	N;NOM;MASC;SG
liberi	wolne	liber	wolny	ADJ;INDF;MASC;PL	ADJ;NOM;NEUT;SG
liberi	wolna	liber	wolny	ADJ;INDF;MASC;PL	
liberi	wolny	liber	wolny	ADJ;INDF;MASC;PL	ADJ;NOM;MASC;SG
liberi	bezpłatne	liber	bezpłatny	ADJ;INDF;MASC;PL	ADJ;NOM;NEUT;SG
liberi	free	liber	free	ADJ;INDF;MASC;PL	
arhiducele	arcyksiążę	arhiduc	arcyksiąża	N;DEF;MASC;SG	N;ACC;MASC;SG
amintirea	pamięć	amintire	pamięć	N;DEF;FEM;SG	N;NOM;FEM;SG
amintirea	wspomnienia	amintire	wspomnienie	N;DEF;FEM;SG	N;NOM;NEUT;PL
amintirea	wspomnienie	amintire	wspomnienie	N;DEF;FEM;SG	N;NOM;NEUT;SG;POS;V.MSDR
amintirea	pamięci	amintire	pamięć	N;DEF;FEM;SG	
întrebat	zapytała	întreba	zapytać	ADJ;INDF;MASC;SG	V;PFV;FEM;IND;SG;PST;FIN;ACT
întrebat	poprosił	întreba	poprosić	ADJ;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
întrebat	pytał	întreba	pytać	ADJ;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
întrebat	zapytał	întreba	zapytać	ADJ;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
colaborator	współautora	colaborator	współautor	N;INDF;MASC;SG	
auf	auf	auf	auf	N;INDF;MASC;SG	
opiniile	opinii	opinie	opinia	N;DEF;FEM;PL	N;GEN;FEM;SG
opiniile	opinie	opinie	opinia	N;DEF;FEM;PL	N;NOM;FEM;PL
lunar	miesięcznie	lunar	miesięcznie	ADJ;INDF;MASC;SG	ADV
lunar	lunar	lunar	lunar	ADJ;INDF;MASC;SG	
omenirii	ludzkość	omenire	ludzkość	N;DEF;FEM;SG	N;NOM;FEM;SG
omenirii	ludzkości	omenire	ludzkość	N;DEF;FEM;SG	N;GEN;FEM;SG
celulele	ogniwa	celulă	ogniwy	N;DEF;FEM;PL	
celulele	komórek	celulă	komórka	N;DEF;FEM;PL	N;GEN;FEM;PL
celulele	komórki	celulă	komórka	N;DEF;FEM;PL	N;NOM;FEM;PL
percuție	perkusja	percuție	perkusja	N;INDF;FEM;SG	N;NOM;FEM;SG
short	krótki	short	krótki	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
short	krótkie	short	krótki	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
short	short	short	short	N;INDF;MASC;SG	
short	krótko	short	krótko	N;INDF;MASC;SG	ADV
short	krótka	short	krótki	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
baron	baronie	baron	baron	N;INDF;MASC;SG	
baron	baron	baron	baron	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
suficientă	wystarczające	suficient	wystarczający	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
suficientă	wystarczająca	suficient	wystarczający	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
suficientă	wystarczający	suficient	wystarczający	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
atelier	warsztaty	atelier	warsztata	N;INDF;MASC;SG	N;NOM;MASC;PL
barry	barry	barry	barry	PROPN	
mercur	mercury	mercur	mercura	N;INDF;MASC;SG	
mercur	rtęci	mercur	rtęcić	N;INDF;MASC;SG	
tun	działo	tun	dziać	N;INDF;MASC;SG	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
tun	tun	tun	tun	N;INDF;MASC;SG	
păr	włosy	păr	włos	N;INDF;MASC;SG	N;NOM;MASC;PL
păr	sierść	păr	sierść	N;INDF;MASC;SG	
păr	włosów	păr	włos	N;INDF;MASC;SG	N;GEN;MASC;PL
concluzie	wniosek	concluzie	wniosek	N;INDF;FEM;SG	N;NOM;MASC;SG
concluzie	zawarcie	concluzie	zawarcie	N;INDF;FEM;SG	N;NOM;NEUT;SG;V.MSDR
concluzie	wnioski	concluzie	wniosek	N;INDF;FEM;SG	N;NOM;MASC;PL
admis	przyznał	admite	przyznać	ADJ;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
astrofizică	astrofizyki	astrofizic	astrofizyki	N;INDF;FEM;SG	
egalitate	równości	egalitate	równość	N;INDF;FEM;SG	N;GEN;FEM;SG
egalitate	równość	egalitate	równość	N;INDF;FEM;SG	N;NOM;FEM;SG
identificare	identyfikacja	identificare	identyfikacja	N;INDF;FEM;SG	N;NOM;FEM;SG
identificare	identyfikacji	identificare	identyfikacja	N;INDF;FEM;SG	N;GEN;FEM;SG
ideal	ideał	ideal	ideać	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
găsită	znaleziona	găsi	znaleźć	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
găsită	znaleziony	găsi	znaleźć	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
găsită	znaleziono	găsi	znaleźć	ADJ;INDF;FEM;SG	V;PFV;IND;0;PST;FIN;ACT
găsită	znalazł	găsi	znaleźć	ADJ;INDF;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
găsită	znalezione	găsi	znaleźć	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
haine	odzież	haină	odzież	N;INDF;FEM;PL	N;NOM;FEM;SG
haine	ubranie	haină	ubranie	N;INDF;FEM;PL	N;NOM;NEUT;SG
structurii	struktura	structură	struktura	N;DEF;FEM;SG	N;NOM;FEM;SG
structurii	konstrukcja	structură	konstrukcja	N;DEF;FEM;SG	N;NOM;FEM;SG
structurii	struktury	structură	struktura	N;DEF;FEM;SG	N;ACC;FEM;PL
abdallah	abdallah	abdallah	abdallah	PROPN	
repetat	powtarza	repetat	powtarzać	ADJ;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
repetat	powtórzyć	repetat	powtórzyć	ADJ;INDF;MASC;SG	V;PFV;NFIN;ACT
repetat	wielokrotnie	repetat	wielokrotnie	ADJ;INDF;MASC;SG	ADV
tinere	młoda	tânăr	młody	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
tinere	młody	tânăr	młody	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
tinere	młode	tânăr	młody	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
tinere	młodzi	tânăr	młody	ADJ;INDF;FEM;PL	N;NOM;MASC;PL
tinere	young	tânăr	young	ADJ;INDF;FEM;PL	
romaniansoccer	romaniansoccer	romaniansoccer	romaniansoccer	N;INDF;MASC;SG	N;GEN;FEM;PL
gros	gruby	gros	gruby	ADJ;INDF;MASC;SG	
gros	grubo	gros	grubo	ADJ;INDF;MASC;SG	
gros	gruba	gros	gruba	ADJ;INDF;MASC;SG	
gros	grube	gros	gruby	ADJ;INDF;MASC;SG	
vocale	vocal	vocal	vocal	N;INDF;FEM;PL	
donat	przekazał	donat	przekazać	ADJ;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
dakota	dakota	dakota	dakotać	PROPN	
valle	valle	vall	valle	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
mansur	mansur	mansur	mansur	N;INDF;MASC;SG	
susan	susan	susan	susan	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
susan	zuzia	susan	zuzia	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
susan	zosia	susan	zosia	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
holt	holt	holt	holt	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
