что	какво	что	какъв	PRO;NOM	DET;NEUT;SG
всех	всичко	все	всеки	PRO;ANIM;ACC;PL	PRO;NOM;NEUT;SG
всех	всички	все	всеки	PRO;ANIM;ACC;PL	PRO;NOM;PL
всех	всеки	все	всеки	PRO;ANIM;ACC;PL	PRO;NOM;MASC;SG
раз	веднъж	раз	веднъж	CONJ	ADV
второй	второ	второй	втори	ADJ;NOM;MASC;SG	ADV
площадь	квадратна	площадь	квадратен	N;INAN;NOM;FEM;SG	ADJ;INDF;FEM;SG
площадь	квадратни	площадь	квадратен	N;INAN;NOM;FEM;SG	ADJ;INDF;PL
площадь	квадратен	площадь	квадратен	N;INAN;NOM;FEM;SG	ADJ;INDF;MASC;SG
группы	група	группа	група	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
группы	групово	группа	групово	N;INAN;NOM;FEM;PL	ADV
группы	групиране	группа	групиране	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
группы	групова	группа	групов	N;INAN;NOM;FEM;PL	ADJ;INDF;FEM;SG
основания	основание	основание	основание	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;SG
размер	размери	размер	размер	N;INAN;NOM;MASC;SG	N;INDF;MASC;PL
страны	държава	страна	държава	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
страны	страна	страна	страна	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
ему	него	он	аз	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
индекс	индекси	индекс	индекс	N;INAN;NOM;MASC;SG	N;INDF;MASC;PL
улица	street	улица	street	N;INAN;NOM;FEM;SG	PROPN;INDF;MASC;SG
население	демографски	население	демографски	N;INAN;NOM;NEUT;SG	ADJ;INDF;MASC;SG
работы	работа	работа	работа	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
работы	труд	работа	труд	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
работы	работи	работа	работя	N;INAN;NOM;FEM;PL	V;IPFV;IMP;SG;2;FIN
упоминание	споменете	упоминание	спомена	N;INAN;NOM;NEUT;SG	V;PFV;IMP;PL;2;FIN
истории	историята	история	история	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
истории	история	история	история	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
александр	александър	александр	александър	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
армии	армии	армия	армия	N;INAN;NOM;FEM;SG	N;INDF;FEM;PL
армии	армейски	армия	армейски	N;INAN;NOM;FEM;SG	ADJ;INDF;MASC;SG
хотя	макар	хотя	макар	CONJ	ADP
хотя	макар	хотя	макар	CONJ	ADP
другие	друго	другой	друг	ADJ;NOM;PL	ADV
другие	друг	другой	друг	ADJ;NOM;PL	ADJ;INDF;MASC;SG
фильм	филмова	фильм	филмов	N;INAN;NOM;MASC;SG	ADJ;INDF;FEM;SG
страница	page	страница	page	N;INAN;NOM;FEM;SG	INTJ
википедии	уикипедия	википедия	уикипедия	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
человека	човешка	человек	човешки	N;ANIM;ACC;MASC;SG	ADJ;INDF;FEM;SG
человека	човешко	человек	човешки	N;ANIM;ACC;MASC;SG	ADV
человека	човешки	человек	човешки	N;ANIM;ACC;MASC;SG	ADJ;INDF;MASC;SG
республики	република	республика	република	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
внутреннее	вътрешно	внутренний	вътрешен	ADJ;NOM;NEUT;SG	ADV
внутреннее	вътрешни	внутренний	вътрешен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
внутреннее	вътрешно	внутренний	вътрешен	ADJ;NOM;NEUT;SG	ADV
внутреннее	вътрешни	внутренний	вътрешен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
жизни	живот	жизнь	живот	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
жизни	живота	жизнь	живот	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
жизни	life	жизнь	life	N;INAN;NOM;FEM;PL	PROPN;INDF;MASC;SG
жизни	лайф	жизнь	лайф	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
жизни	животът	жизнь	живот	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
жизни	живее	жизнь	живея	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
генерал	обща	генерал	общ	N;ANIM;NOM;MASC;SG	ADJ;INDF;FEM;SG
генерал	общи	генерал	общ	N;ANIM;NOM;MASC;SG	ADJ;INDF;PL
родился	родени	рождаться	родя-(се)	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;INDF;PL;V.PTCP;PASS
родился	роден	рождаться	родя-(се)	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
родился	родена	рождаться	родя-(се)	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;INDF;FEM;SG;V.PTCP;PASS
именно	точно	именно	точно	PART	ADV
округа	райони	округ	район	N;INAN;GEN;MASC;SG	N;INDF;MASC;PL
округа	области	округ	област	N;INAN;GEN;MASC;SG	N;INDF;FEM;PL
округа	квартали	округ	квартал	N;INAN;GEN;MASC;SG	N;INDF;MASC;PL
франции	франция	франция	франция	N;INAN;NOM;FEM;PL	PROPN;INDF;FEM;SG
группа	групово	группа	групово	N;INAN;NOM;FEM;SG	ADV
группа	групова	группа	групов	N;INAN;NOM;FEM;SG	ADJ;INDF;FEM;SG
цифровой	цифров	цифровой	цифров	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
цифровой	цифрово	цифровой	цифров	ADJ;NOM;MASC;SG	ADV
цифровой	цифрови	цифровой	цифров	ADJ;NOM;MASC;SG	ADJ;INDF;PL
поэтому	затуй	поэтому	затуй	ADV	INTJ
санкт	sankt	санкт	sankt	N;INAN;NOM;MASC;SG	PROPN;INDF;MASC;SG
просто	просто	просто	просто	PART	ADV
просто	само	просто	само	PART	ADV
конце	край	конец	край	N;INAN;ESS;MASC;SG	ADP
отечественной	патриотично	отечественный	патриотичен	ADJ;INS;FEM;SG	ADV
вот	тук	вот	там	PART	ADV
церкви	църкви	церковь	църква	N;INAN;NOM;FEM;SG	N;INDF;FEM;PL
церкви	църквите	церковь	църква	N;INAN;NOM;FEM;SG	N;DEF;FEM;PL
церкви	чърч	церковь	чърч	N;INAN;NOM;FEM;SG	PROPN;INDF;MASC;SG
клуб	club	клуб	club	N;INAN;NOM;MASC;SG	PROPN;INDF;MASC;SG
больше	повече	больше	повече	ADV;CMPR	ADV;INDF;PL
больше	още	больше	още	ADV;CMPR	ADV
федерации	федерация	федерация	федерация	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
федерации	федерацията	федерация	федерация	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
изображения	имидж	изображение	имидж	N;INAN;NOM;NEUT;PL	N;INDF;MASC;SG
изображения	картинка	изображение	картинка	N;INAN;NOM;NEUT;PL	N;INDF;FEM;SG
изображения	образ	изображение	образ	N;INAN;NOM;NEUT;PL	N;INDF;MASC;SG
изображения	изображение	изображение	изображение	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;SG
степени	градуса	степень	градус	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
степени	градус	степень	градус	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
степени	степен	степень	степен	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
северо	северозападна	северо	северозападен	ADV	ADJ;INDF;FEM;SG
северо	северозападния	северо	северозападен	ADV	ADJ;DEF;MASC;SG
германии	германски	германия	германски	N;INAN;ESS;NEUT;SG	ADJ;INDF;MASC;SG
германии	немски	германия	немски	N;INAN;ESS;NEUT;SG	ADJ;INDF;MASC;SG
германии	немска	германия	немски	N;INAN;ESS;NEUT;SG	ADJ;INDF;FEM;SG
германии	германска	германия	германски	N;INAN;ESS;NEUT;SG	ADJ;INDF;FEM;SG
германии	германия	германия	германия	N;INAN;ESS;NEUT;SG	PROPN;INDF;FEM;SG
владимир	владимир	владимир	владимир	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
москва	москва	москва	москва	N;INAN;NOM;FEM;SG	PROPN;INDF;FEM;SG
академии	академията	академия	академия	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
академии	академия	академия	академия	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
николай	николай	николай	николай	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
николай	николай	николай	николай	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
николай	николас	николай	николас	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
николай	никълъс	николай	никълъс	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
николай	николай	николай	николай	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
некоторые	някои	некоторый	някой	DET;NOM;PL	PRO;NOM;PL
юго	югозападна	южный	югозападен	N;INAN;NOM;MASC;SG	ADJ;INDF;FEM;SG
дом	домашен	дом	домашен	N;INAN;NOM;MASC;SG	ADJ;INDF;MASC;SG
дом	вкъщи	дом	вкъщи	N;INAN;NOM;MASC;SG	ADV
высоты	хайтс	высота	хайтс	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
русский	руснак	русский	руснак	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
русский	руснаци	русский	руснак	ADJ;NOM;MASC;SG	N;INDF;MASC;PL
русский	руско	русский	руско	ADJ;NOM;MASC;SG	ADV
член	дик	член	дик	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
сын	синко	сын	синко	N;ANIM;NOM;MASC;SG	INTJ
сын	сине	сын	син	N;ANIM;NOM;MASC;SG	PART
пока	чао	пока	чао	CONJ	N;INDF;MASC;SG
общины	общност	община	общност	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
общины	общността	община	общност	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
эта	това	этот	този	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG
нужно	необходимост	нужный	необходимост	ADJ;NEUT;SG	N;INDF;FEM;SG
нужно	нужда	нужный	нужда	ADJ;NEUT;SG	N;INDF;FEM;SG
нужно	потребност	нужный	потребност	ADJ;NEUT;SG	N;INDF;FEM;SG
большой	голямо	большой	голям	ADJ;NOM;MASC;SG	ADV
большой	големи	большой	голям	ADJ;NOM;MASC;SG	ADJ;INDF;PL
большой	биг	большой	биг	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
большой	голямо	большой	голям	ADJ;NOM;MASC;SG	ADV
большой	големи	большой	голям	ADJ;NOM;MASC;SG	ADJ;INDF;PL
являются	са	являться	съм	V;IPFV;IND;PL;3;PRS;FIN;MID	V;IPFV;IND;PL;3;PRS;FIN;ACT
компании	дружество	компания	дружество	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
компании	компания	компания	компания	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
компании	company	компания	company	N;INAN;NOM;FEM;PL	NUM;INDF;PL
компании	рота	компания	рота	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
компании	фирма	компания	фирма	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
церковь	чърч	церковь	чърч	N;INAN;NOM;FEM;SG	PROPN;INDF;MASC;SG
много	mnogo	много	mnogo	ADV	PROPN;INDF;NEUT;SG
сельский	селско	сельский	селски	ADJ;NOM;MASC;SG	ADV
новый	ню	новый	ню	ADJ;NOM;MASC;SG	PROPN;INDF;MASC;SG
новый	ново	новый	нов	ADJ;NOM;MASC;SG	ADV
новый	нови	новый	нов	ADJ;NOM;MASC;SG	ADJ;INDF;PL
сокорро	сокоро	сокорро	сокоро		N;INDF;MASC;SG
настоящее	подарък	настоящий	подарък	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
настоящее	настояще	настоящий	настояще	ADJ;NOM;NEUT;SG	N;INDF;NEUT;SG
настоящее	присъстващи	настоящий	присъствам	ADJ;NOM;NEUT;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
стали	стоманен	стать	стоманен	V;PFV;IND;PL;PST;FIN;ACT	ADJ;INDF;MASC;SG
стали	стомана	стать	стомана	V;PFV;IND;PL;PST;FIN;ACT	N;INDF;FEM;SG
стали	стийл	стать	стийл	V;PFV;IND;PL;PST;FIN;ACT	N;INDF;MASC;SG
европы	европа	европа	европа	N;INAN;NOM;FEM;SG	PROPN;INDF;FEM;SG
организации	организация	организация	организация	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
империи	империята	империя	империя	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
империи	емпайър	империя	емпайър	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
империи	империя	империя	империя	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
одна	сама	один	сама	DET;NOM;FEM;SG	ADJ;INDF;FEM;SG
одна	сам	один	сам	DET;NOM;FEM;SG	N;INDF;MASC;SG
одна	една	один	един	DET;NOM;FEM;SG	NUM;INDF;FEM;SG
одна	един	один	един	DET;NOM;FEM;SG	NUM;INDF;MASC;SG
одна	едно	один	един	DET;NOM;FEM;SG	NUM;INDF;NEUT;SG
станции	станция	станция	станция	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
станции	station	станция	station	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
станции	гара	станция	гара	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
людей	народ	человек	народ	N;ANIM;GEN;MASC;PL	N;INDF;MASC;SG
людей	хора	человек	хора	N;ANIM;GEN;MASC;PL	N;INDF
людей	хората	человек	хора	N;ANIM;GEN;MASC;PL	N;DEF
возможно	възможно	возможный	възможно	ADJ;NEUT;SG	ADV
возможно	възможни	возможный	възможен	ADJ;NEUT;SG	ADJ;INDF;PL
возможно	вероятно	возможный	вероятно	ADJ;NEUT;SG	ADV
сергей	сергей	сергей	сергей	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
сергей	сергей	сергей	сергей	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
иван	айвън	иван	айвън	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
иван	иван	иван	иван	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
такие	такава	такой	такъв	DET;NOM;PL	DET;FEM;SG
такие	такова	такой	такъв	DET;NOM;PL	DET;NEUT;SG
такие	такъв	такой	такъв	DET;NOM;PL	DET;MASC;SG
многие	mnogo	много	mnogo	NUM	PROPN;INDF;NEUT;SG
многие	много	много	много	NUM	ADV;INDF;PL
жизнь	life	жизнь	life	N;INAN;NOM;FEM;SG	PROPN;INDF;MASC;SG
серии	серия	серия	серия	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
серии	поредица	серия	поредица	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
серии	сериал	серия	сериал	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
участники	присъствието	участник	присъствие	N;ANIM;NOM;MASC;PL	N;DEF;NEUT;SG
участники	присъствие	участник	присъствие	N;ANIM;NOM;MASC;PL	N;INDF;NEUT;SG
культуры	култури	культура	култура	N;INAN;NOM;FEM;SG	N;INDF;FEM;PL
культуры	културите	культура	култура	N;INAN;NOM;FEM;SG	N;DEF;FEM;PL
часовой	часови	часовой	часов	ADJ;NOM;MASC;SG	ADJ;INDF;PL
часовой	страж	часовой	страж	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
часовой	сентинел	часовой	сентинел	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
команда	тийм	команда	тийм	N;INAN;NOM;FEM;SG	N;INDF;MASC;PL
команда	team	команда	team	N;INAN;NOM;FEM;SG	PROPN;INDF;MASC;SG
достаточно	достатъчно	достаточный	достатъчно	ADJ;NEUT;SG	ADV
краткое	кратко	краткий	кратко	ADJ;NOM;NEUT;SG	ADV
другой	друго	другой	друг	ADJ;NOM;MASC;SG	ADV
другой	други	другой	друг	ADJ;NOM;MASC;SG	ADJ;INDF;PL
данные	дейта	данные	дейт	N;INAN;NOM;PL	N;INDF;MASC;SG
школы	училището	школа	училище	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
школы	школа	школа	школа	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
школы	училище	школа	училище	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
иванович	иванович	иванович	иванович	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
михаил	михаил	михаил	михаил	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
михаил	майкъл	михаил	майкъл	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
михаил	михаил	михаил	михаил	N;ANIM;NOM;MASC;SG	PROPN;INDF;MASC;SG
первая	първо	первый	първо	ADJ;NOM;FEM;SG	ADV
жителей	пребиваващи	житель	пребивавам	N;ANIM;GEN;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
честь	почетен	честь	почетен	N;INAN;NOM;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
деятельность	дейности	деятельность	дейност	N;INAN;NOM;FEM;SG	N;INDF;FEM;PL
деятельность	занимания	деятельность	занимание	N;INAN;NOM;FEM;SG	N;INDF;NEUT;PL
данных	дейта	данные	дейт	N;INAN;GEN;PL	N;INDF;MASC;SG
назначен	назначени	назначить	назнача	V;PFV;MASC;SG;PST;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
россия	русия	россия	русия	N;INAN;NOM;FEM;SG	PROPN;INDF;FEM;SG
ничего	нищо	ничто	никой	PRO;GEN	PRO;NOM;INDF;NEUT;SG
села	сат	сесть	сат	V;IPFV;NEUT;IND;SG;PST;FIN;MID	PROPN;INDF;MASC;SG
села	седна	сесть	седна	V;IPFV;NEUT;IND;SG;PST;FIN;MID	V;PFV;IND;SG;3;PST;FIN;ACT
села	sat	сесть	sat	V;IPFV;NEUT;IND;SG;PST;FIN;MID	PROPN;INDF;MASC;SG
сан	сан	сан	сан		PROPN;INDF;MASC;SG
ним	ним	он	ним	PRO;INS;MASC;SG;3	PROPN;INDF;MASC;SG
края	ръба	край	ръб	N;INAN;NOM;MASC;PL	N;DEF;MASC;SG
края	ръб	край	ръб	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
умер	мъртви	умереть	мъртъв	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;PL
умер	мъртва	умереть	мъртва	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;FEM;SG
умер	мъртъв	умереть	мъртъв	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;INDF;MASC;SG
службы	услуга	служба	услуга	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
службы	служба	служба	служба	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
службы	сервиз	служба	сервиз	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
службы	обслужване	служба	обслужване	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
система	системни	система	системен	N;INAN;NOM;FEM;SG	ADJ;INDF;PL
университет	university	университет	university	N;INAN;NOM;MASC;SG	PROPN;INDF;MASC;SG
версии	версия	версия	версия	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
различных	различна	различный	различен	ADJ;GEN;PL	ADJ;INDF;FEM;SG
различных	различно	различный	различно	ADJ;GEN;PL	ADV
различных	различен	различный	различен	ADJ;GEN;PL	ADJ;INDF;MASC;SG
общества	общество	общество	общество	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;SG
общества	обществото	общество	общество	N;INAN;NOM;NEUT;PL	N;DEF;NEUT;SG
обсуждение	обсъждания	обсуждение	обсъждане	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;PL
обсуждение	дискусии	обсуждение	дискусия	N;INAN;NOM;NEUT;SG	N;INDF;FEM;PL
многих	mnogo	много	mnogo	NUM	PROPN;INDF;NEUT;SG
многих	много	много	много	NUM	ADV;INDF;PL
войска	войска	войска	войска	N;INAN;NOM;NEUT;PL	N;INDF;FEM;SG
обсуждения	дискусия	обсуждение	дискусия	N;INAN;NOM;NEUT;PL	N;INDF;FEM;SG
обсуждения	обсъждане	обсуждение	обсъждане	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;SG
действия	действие	действие	действие	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;SG
действия	екшън	действие	екшън	N;INAN;NOM;NEUT;PL	N;INDF;MASC;SG
действия	дейност	действие	дейност	N;INAN;NOM;NEUT;PL	N;INDF;FEM;SG
действия	активност	действие	активност	N;INAN;NOM;NEUT;PL	N;INDF;FEM;SG
дивизии	разделение	дивизия	разделение	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
участвовал	участвали	участвовать	участвам	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;INDF;PL;PST;V.PTCP;ACT
участвовал	участваха	участвовать	участвам	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
дома	дом	дома	дом	ADV	N;INDF;MASC;SG
дома	домашен	дома	домашен	ADV	ADJ;INDF;MASC;SG
дома	къщи	дома	къща	ADV	N;INDF;FEM;PL
дома	домове	дома	дом	ADV	N;INDF;MASC;PL
дома	къщи	дома	къща	ADV	N;INDF;FEM;PL
дома	къщите	дома	къща	ADV	N;DEF;FEM;PL
некоторых	някои	некоторый	някой	DET;GEN;PL	PRO;NOM;PL
почему	защо	почему	защо	ADV	PRO
выше	над	высокий	над	ADJ;CMPR	ADP
выше	отгоре	высокий	отгоре	ADJ;CMPR	ADV
чел	човече	человек	човече		ADV
чел	човек	человек	човек		N;INDF;MASC;SG
чел	мъж	человек	мъж		N;INDF;MASC;SG
земли	земя	земля	земя	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
линии	реплика	линия	реплика	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
линии	линия	линия	линия	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
категории	категория	категория	категория	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
ссылка	референтни	ссылка	референтен	N;INAN;NOM;FEM;SG	ADJ;INDF;PL
компания	company	компания	company	N;INAN;NOM;FEM;SG	NUM;INDF;PL
