категория	kategorii	категория	kategoria	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
уже	już	уже	już	ADV	PART
июня	june	июнь	juny	N;INAN;GEN;MASC;SG	
июня	czerwiec	июнь	czerwiec	N;INAN;GEN;MASC;SG	
апреля	kwietnia	апрель	kwiecia	N;INAN;GEN;MASC;SG	
апреля	april	апрель	april	N;INAN;GEN;MASC;SG	
апреля	kwiecień	апрель	kwiecienie	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
сша	ameryka	сшать	ameryka	N;INAN;NOM;PL	
сша	usa	сшать	usać	N;INAN;NOM;PL	PROPN;NOM;NEUT;PL
который	które	который	który	PRO;NOM	DET;ACC;MASC;SG
который	która	который	który	PRO;NOM	DET;NOM;FEM;SG
который	który	который	który	PRO;NOM	DET;NOM;MASC;SG
название	tytuł	название	tytuł	N;INAN;NOM;NEUT;SG	N;ACC;MASC;SG
название	tytuł	название	tytuł	N;INAN;NOM;NEUT;SG	N;ACC;MASC;SG
поселение	osady	поселение	osada	N;INAN;NOM;NEUT;SG	
поселение	rozrachunku	поселение	rozrachunek	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
человек	osoby	человек	osoba	N;ANIM;NOM;MASC;SG	N;NOM;FEM;PL
человек	ludzkie	человек	ludzki	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
человек	ludzka	человек	ludzki	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
человек	ludzki	человек	ludzki	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
человек	human	человек	human	N;ANIM;NOM;MASC;SG	
человек	człowieka	человек	człowiek	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
человек	man	человек	mana	N;ANIM;NOM;MASC;SG	
смерти	zmarli	смерть	zemrzeć	N;INAN;GEN;FEM;SG	V;PFV;MASC;IND;PL;PST;FIN;ACT
смерти	zgony	смерть	zgon	N;INAN;GEN;FEM;SG	N;NOM;MASC;PL
лет	lata	год	rok	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
февраля	luty	февраль	luty	N;INAN;GEN;MASC;SG	
февраля	lutego	февраль	luty	N;INAN;GEN;MASC;SG	
февраля	luty	февраль	luty	N;INAN;GEN;MASC;SG	
февраля	lutego	февраль	luty	N;INAN;GEN;MASC;SG	
того	togo	то	to	PRO;INAN;GEN;NEUT;SG	
города	city	город	city	N;INAN;NOM;MASC;PL	
города	miejscowość	город	miejscowość	N;INAN;NOM;MASC;PL	N;NOM;FEM;SG
города	miasta	город	miasto	N;INAN;NOM;MASC;PL	N;GEN;NEUT;SG
города	miasto	город	miasto	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
города	miasta	город	miasto	N;INAN;NOM;MASC;PL	N;GEN;NEUT;SG
города	miejscowości	город	miejscowość	N;INAN;NOM;MASC;PL	N;GEN;FEM;SG
города	miasteczka	город	miasteczko	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
города	miasta	город	miasto	N;INAN;NOM;MASC;PL	N;GEN;NEUT;SG
может	mógł	мочь	móc	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
может	can	мочь	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
войны	wojen	война	wojen	N;INAN;NOM;FEM;PL	
войны	wojny	война	wojna	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
войны	wojnę	война	wojna	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
войны	wojna	война	wojna	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
войны	wojny	война	wojna	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
войны	war	война	war	N;INAN;NOM;FEM;PL	
можно	można	можно	można	ADV	V;IND;PRS;FIN
можно	can	можно	can	ADV	
когда	kiedy	когда	kiedy	CONJ	ADV
однако	jednak	однако	jednak	ADV	PART
однако	jednakże	однако	jednakże	ADV	
однако	jakkolwiek	однако	jakkolwiek	ADV	
однако	jednak	однако	jednak	ADV	PART
однако	jednakże	однако	jednakże	ADV	
которые	które	который	który	PRO;NOM	DET;ACC;MASC;SG
которые	która	который	który	PRO;NOM	DET;NOM;FEM;SG
которые	który	который	który	PRO;NOM	DET;NOM;MASC;SG
высота	wysokości	высота	wysokość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
высота	wysokości	высота	wysokość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
переписи	spisów	перепись	spis	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
село	selo	село	selo	N;INAN;NOM;NEUT;SG	
село	wiosce	село	wioska	N;INAN;NOM;NEUT;SG	N;DAT;FEM;SG
село	wioski	село	wioska	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
статья	artykułu	статья	artykuł	N;INAN;NOM;FEM;SG	N;GEN;MASC;SG
статья	artykul	статья	artykul	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
род	rodzaju	род	rodzaj	N;ANIM;NOM;MASC;SG	N;GEN;MASC;SG
род	rod	род	rod	N;ANIM;NOM;MASC;SG	V;PFV;IND;SG;2;FIN;ACT
один	samotnie	один	samotnie	NUM;NOM;MASC	ADV
один	sama	один	sam	NUM;NOM;MASC	ADJ;NOM;FEM;SG
один	sam	один	sam	NUM;NOM;MASC	ADJ;NOM;MASC;SG
один	odyn	один	odyn	NUM;NOM;MASC	PROPN;NOM;MASC;SG
один	jeden	один	jeden	NUM;NOM;MASC	ADJ;NOM;MASC;SG
один	jedna	один	jeden	NUM;NOM;MASC	ADJ;NOM;FEM;SG
реки	rzeki	река	rzeka	N;INAN;NOM;FEM;PL	
реки	river	река	river	N;INAN;NOM;FEM;PL	
реки	rzeka	река	rzeka	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
реки	rzek	река	rzeka	N;INAN;NOM;FEM;PL	
реки	rzeki	река	rzeka	N;INAN;NOM;FEM;PL	
реки	rivers	река	rivers	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;2;PRS;FIN;ACT
между	pomiędzy	между	pomiędzy	ADP	
статус	statusu	статус	status	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
населения	populacja	население	populacja	N;INAN;GEN;NEUT;SG	N;NOM;FEM;SG
населения	ludność	население	ludność	N;INAN;GEN;NEUT;SG	N;NOM;FEM;SG
годы	lat	год	rok	N;INAN;ACC;MASC;PL	N;GEN;MASC;PL
годы	lata	год	rok	N;INAN;ACC;MASC;PL	N;NOM;MASC;PL
через	via	через	via	ADP	
через	poprzez	через	poprzez	ADP	
национальный	krajowych	национальный	krajowy	ADJ;NOM;MASC;SG	ADJ;GEN;MASC;PL
область	prowincji	область	prowincja	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
область	regionie	область	region	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
область	regiony	область	regić	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
область	regionu	область	regić	N;INAN;NOM;FEM;SG	N;GEN;MASC;SG
область	obszarze	область	obszarz	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
список	listy	список	list	N;INAN;NOM;MASC;SG	
список	listę	список	lista	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
сельское	wiejskich	сельский	wiejski	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;PL
сайт	witryny	сайт	witryna	N;INAN;NOM;MASC;SG	N;GEN;FEM;PL
века	wieki	век	wiek	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
века	wieków	век	wiek	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
века	wieki	век	wiek	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
века	stulecia	век	stulecie	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
официальный	urzędnik	официальный	urzędnik	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
официальный	urzędowym	официальный	urzędowy	ADJ;NOM;MASC;SG	ADJ;INS;MASC;SG
официальный	oficjalnie	официальный	oficjalnie	ADJ;NOM;MASC;SG	ADV
часть	częściowo	часть	częściowo	N;INAN;NOM;FEM;SG	ADV
против	przeciw	против	przeciw	ADP	
этот	tym	этот	to	DET;NOM;MASC;SG	PRO;INS;NEUT;SG
будет	will	быть	will	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;2;PRS;FIN;ACT
будет	willa	быть	willa	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;FEM;SG
будет	będzie	быть	być	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;FUT;FIN
несколько	kilkanaście	несколько	kilkanaście	ADV	DET;ACC;MASC;PL
несколько	kilka	несколько	kilka	ADV	DET;ACC;MASC;PL
несколько	kilku	несколько	kilka	ADV	DET;ACC;MASC;PL
несколько	wielokrotne	несколько	wielokrotny	ADV	ADJ;NOM;NEUT;SG
несколько	wiele	несколько	wiele	ADV	DET;ACC;MASC;PL
несколько	wielu	несколько	wiele	ADV	DET;ACC;MASC;PL
город	town	город	town	N;INAN;NOM;MASC;SG	
город	miasta	город	miasto	N;INAN;NOM;MASC;SG	N;GEN;NEUT;SG
город	city	город	city	N;INAN;NOM;MASC;SG	
город	miasta	город	miasto	N;INAN;NOM;MASC;SG	N;GEN;NEUT;SG
мира	peace	мир	peaka	N;INAN;GEN;MASC;SG	
мира	pokój	мир	pokój	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
мира	mira	мир	mira	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG
первое	najpierw	первый	najpierw	ADJ;NOM;NEUT;SG	ADV
чем	niz	чем	niz	CONJ	V;IPFV;SG;NFIN;ACT
чем	niż	чем	niż	CONJ	ADV
части	części	часть	część	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
описание	opis	описание	opis	N;INAN;NOM;NEUT;SG	
всего	całkowita	все	całkowity	PRO;INAN;GEN;NEUT;SG	ADJ;NOM;FEM;SG
всего	ogółem	все	ogół	PRO;INAN;GEN;NEUT;SG	N;INS;MASC;SG
всего	suma	все	suma	PRO;INAN;GEN;NEUT;SG	N;NOM;FEM;SG
всего	łącznie	все	łącznie	PRO;INAN;GEN;NEUT;SG	ADV
первый	najpierw	первый	najpierw	ADJ;NOM;MASC;SG	ADV
среди	pośród	среди	pośród	ADP	
файл	plik	файл	plik	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
файл	pliku	файл	plik	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
карты	karty	карта	karta	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
карты	kart	карта	karta	N;INAN;NOM;FEM;PL	
карты	mapy	карта	mapa	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
два	dwie	два	dwa	NUM;NOM;MASC	NUM;ACC;FEM;PL
два	dwóch	два	dwa	NUM;NOM;MASC	NUM;ACC;MASC;PL
два	dwa	два	dwa	NUM;NOM;MASC	NUM;ACC;MASC;PL
всех	wszystkie	все	wszystek	PRO;ANIM;ACC;PL	DET;NOM;MASC;PL
всех	wszystko	все	wszystko	PRO;ANIM;ACC;PL	PRO;NOM;NEUT;SG
всех	all	все	all	PRO;ANIM;ACC;PL	
всех	wszyscy	все	wszyscy	PRO;ANIM;ACC;PL	PRO;NOM;MASC;PL
всех	każdy	все	każdy	PRO;ANIM;ACC;PL	DET;NOM;MASC;SG
всех	wszyscy	все	wszyscy	PRO;ANIM;ACC;PL	PRO;NOM;MASC;PL
раз	raz	раз	raz	CONJ	N;ACC;MASC;SG
раз	kiedyś	раз	kiedyś	CONJ	ADV
территории	terytoriów	территория	terytoria	N;INAN;NOM;FEM;PL	N;GEN;NEUT;PL
главы	rozdziałów	глава	rozdział	N;ANIM;NOM;MASC;PL	N;GEN;MASC;PL
карта	mapa	карта	mapa	N;INAN;NOM;FEM;SG	
карта	mapy	карта	mapa	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
карта	mapę	карта	mapa	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
карта	mapie	карта	mapa	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
карта	kartę	карта	karta	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
карта	karty	карта	karta	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
площадь	plaza	площадь	plaza	N;INAN;NOM;FEM;SG	
площадь	kwadratowy	площадь	kwadratowy	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
площадь	square	площадь	squary	N;INAN;NOM;FEM;SG	
площадь	kwadratowe	площадь	kwadratowy	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
площадь	obszarze	площадь	obszarz	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
группы	grupie	группа	grupa	N;INAN;NOM;FEM;PL	N;DAT;FEM;SG
группы	grupy	группа	grupa	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
группы	grupa	группа	grupa	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
группы	grup	группа	grupa	N;INAN;NOM;FEM;PL	
группы	grupy	группа	grupa	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
группы	grupach	группа	grupa	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
основания	podstawy	основание	podstawa	N;INAN;NOM;NEUT;PL	N;ACC;FEM;PL
размер	wielkość	размер	wielkość	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
размер	rozmiary	размер	rozmiar	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
поселения	osiedla	поселение	osiedle	N;INAN;NOM;NEUT;PL	
поселения	osady	поселение	osada	N;INAN;NOM;NEUT;PL	
поселения	ugody	поселение	ugoda	N;INAN;NOM;NEUT;PL	
почтовый	pocztowych	почтовый	pocztowy	ADJ;NOM;MASC;SG	ADJ;GEN;MASC;PL
над	ponad	над	ponad	ADP	PART
над	over	над	over	ADP	
над	odbiór	над	odbiór	ADP	N;NOM;MASC;SG
страны	ojczyzna	страна	ojczyzna	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
страны	kraju	страна	kraj	N;INAN;NOM;FEM;PL	N;GEN;MASC;SG
страны	kraj	страна	kraj	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
страны	państwo	страна	państwo	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
страны	krajów	страна	kraj	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
ему	go	он	on	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
индекс	indeksu	индекс	indeks	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
улица	street	улица	street	N;INAN;NOM;FEM;SG	
улица	ulicy	улица	ulica	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG
население	demografii	население	demografia	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
население	demograficzne	население	demograficzny	N;INAN;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
население	populacji	население	populacja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
работы	pracuj	работа	pracować	N;INAN;NOM;FEM;PL	V;IPFV;IMP;SG;2;FIN;ACT
работы	pracy	работа	praca	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
работы	praca	работа	praca	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
работы	roboty	работа	robota	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
имена	nazwy	имя	nazwa	N;INAN;NOM;NEUT;PL	
упоминание	wspomnieć	упоминание	wspomnieć	N;INAN;NOM;NEUT;SG	V;PFV;NFIN;ACT
истории	zdarzenia	история	zdarzenie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
истории	historie	история	histora	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
истории	opowieści	история	opowieść	N;INAN;NOM;FEM;PL	
истории	historia	история	historia	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
истории	historii	история	historia	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
истории	historię	история	historia	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
которая	które	который	który	PRO;NOM	DET;ACC;MASC;SG
которая	która	который	który	PRO;NOM	DET;NOM;FEM;SG
которая	który	который	który	PRO;NOM	DET;NOM;MASC;SG
александр	aleksandr	александр	aleksandr	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
александр	aleksandra	александр	aleksandra	N;ANIM;NOM;MASC;SG	
армии	armie	армия	arma	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
армии	armii	армия	armia	N;INAN;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
армии	army	армия	arma	N;INAN;NOM;FEM;SG	
армии	armii	армия	armia	N;INAN;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
деление	podział	деление	podziać	N;INAN;NOM;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
деление	dywizji	деление	dywizja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
деление	rozszczepienia	деление	rozszczepienie	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
хотя	chociaż	хотя	chociaż	CONJ	PART
хотя	aczkolwiek	хотя	aczkolwiek	CONJ	
хотя	choć	хотя	choć	CONJ	
хотя	chociaż	хотя	chociaż	CONJ	PART
хотя	choć	хотя	choć	CONJ	
игроки	graczy	игрок	gracz	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
другие	innych	другой	inny	ADJ;NOM;PL	ADJ;GEN;MASC;PL
другие	inne	другой	inny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
другие	pozostał	другой	pozostać	ADJ;NOM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
другие	inny	другой	inny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
другие	inne	другой	inny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
другие	pozostał	другой	pozostać	ADJ;NOM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
получил	got	получить	gotować	V;PFV;MASC;IND;SG;PST;FIN;ACT	
получил	mam	получить	mieć	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
история	story	история	stora	N;INAN;NOM;FEM;SG	
история	historii	история	historia	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
история	historię	история	historia	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
себя	siebie	себя	siebie	PRO;ACC	PRO;GEN;REFL
себя	siebie	себя	siebie	PRO;ACC	PRO;GEN;REFL
совета	council	совет	council	N;INAN;GEN;MASC;SG	
совета	rada	совет	rada	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
совета	radzie	совет	rada	N;INAN;GEN;MASC;SG	N;DAT;FEM;SG
фильм	filmu	фильм	film	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
фильм	film	фильм	film	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
фильм	filmy	фильм	film	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
фильм	film	фильм	film	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
пункты	pozycji	пункт	pozycja	N;INAN;NOM;MASC;PL	N;GEN;FEM;SG
времени	czas	время	czas	N;INAN;GEN;NEUT;SG	N;NOM;MASC;SG
участник	członka	участник	członek	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
участник	członkowskie	участник	członkowski	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
участник	członkiem	участник	członek	N;ANIM;NOM;MASC;SG	N;INS;MASC;SG
участник	uczestnika	участник	uczestnik	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
страница	stronę	страница	strona	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
страница	stronie	страница	strona	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG
страница	page	страница	page	N;INAN;NOM;FEM;SG	
страница	strony	страница	strona	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
участие	udział	участие	udział	N;INAN;NOM;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
участие	uczestnictwa	участие	uczestnictwo	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
участие	udział	участие	udział	N;INAN;NOM;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
википедии	wikipedia	википедия	wikipediać	N;INAN;NOM;FEM;PL	
три	trzy	три	trzy	NUM;NOM	NUM;ACC;MASC;PL
человека	ludzkie	человек	ludzki	N;ANIM;ACC;MASC;SG	ADJ;NOM;NEUT;SG
человека	ludzka	человек	ludzki	N;ANIM;ACC;MASC;SG	ADJ;NOM;FEM;SG
человека	ludzki	человек	ludzki	N;ANIM;ACC;MASC;SG	ADJ;NOM;MASC;SG
человека	człowiek	человек	człowiek	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
человека	human	человек	human	N;ANIM;ACC;MASC;SG	
автор	autor	автор	autor	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;PST;FIN;ACT
автор	autora	автор	autor	N;ANIM;NOM;MASC;SG	
республики	republiki	республика	republika	N;INAN;NOM;FEM;PL	
республики	republika	республика	republik	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
внутреннее	wewnętrznego	внутренний	wewnętrzny	ADJ;NOM;NEUT;SG	ADJ;ACC;MASC;SG
эти	tych	этот	ten	DET;NOM;PL	DET;GEN;MASC;PL
статей	wyroby	статья	wyrób	N;INAN;GEN;FEM;PL	N;NOM;MASC;PL
статей	artykuły	статья	artykuł	N;INAN;GEN;FEM;PL	N;NOM;MASC;PL
случае	case	случай	cas	N;INAN;ESS;MASC;SG	
случае	sprawa	случай	sprawa	N;INAN;ESS;MASC;SG	N;NOM;FEM;SG
случае	przypadek	случай	przypadek	N;INAN;ESS;MASC;SG	N;NOM;MASC;SG
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;ACC;NEUT;SG
центр	center	центр	center	N;INAN;NOM;MASC;SG	
