que	det	que	det	CONJ	PRO;NEUT;SG;3
parte	del	parte	dele	N;FEM;SG	V;IMP;FIN
sin	without	sin	without	ADP	N;INDF;NEUT;SG
sin	uten	sin	uten	ADP	N;INDF;NEUT;SG
sin	synd	sin	synd	ADP	N;INDF;FEM;SG
sin	synden	sin	synd	ADP	N;DEF;MASC;SG
donde	hvor	donde	hvor	PRO	
san	san	san	san	N;MASC;SG	PROPN
era	var	ser	vere	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN
nacional	nasjonale	nacional	nasjonal	ADJ;SG	ADJ;PL
nacional	national	nacional	national	ADJ;SG	N;INDF;MASC;SG
nacional	nacional	nacional	nacional	ADJ;SG	N
primera	først	primero	først	ADJ;FEM;SG	ADV
primera	forst	primero	forst	ADJ;FEM;SG	N;INDF;MASC;SG
primera	first	primero	first	ADJ;FEM;SG	N
cuando	when	cuando	when	CONJ	
cuando	når	cuando	når	CONJ	ADV
después	etter	después	etter	ADV	ADP
después	after	después	after	ADV	N;INDF;NEUT;SG
después	efter	después	efter	ADV	
después	senere	después	senere	ADV	
después	seinere	después	seinere	ADV	N;INDF;NEUT;SG
después	seinare	después	sein	ADV	ADJ;CMPR
españa	spania	españa	spanie	N;FEM;SG	PROPN
otros	andre	otro	annan	PRO;MASC;PL	DET;PL
otros	annet	otro	annet	PRO;MASC;PL	N;INDF;NEUT;SG
otros	annen	otro	annen	PRO;MASC;PL	N;INDF;MASC;SG
otros	andre	otro	annan	PRO;MASC;PL	DET;PL
gran	big	gran	big	ADJ;SG	N;INDF;SG
gran	store	gran	stor	ADJ;SG	ADJ;PL
gran	flotte	gran	flott	ADJ;SG	ADJ;PL
gran	besta	gran	beste	ADJ;SG	N;INDF;FEM;SG
gran	gran	gran	gran	ADJ;SG	N;INDF;MASC;SG
gran	grand	gran	grand	ADJ;SG	N;INDF;MASC;SG
unidos	forent	unido	forent	ADJ;MASC;PL;V.PTCP	N;INDF;MASC;SG
unidos	united	unido	unite	ADJ;MASC;PL;V.PTCP	ADJ;INDF;SG
puede	can	poder	cann	V;IND;SG;3;PRS;FIN	N
estado	delstater	estado	delstater	N;MASC;SG	N;INDF;MASC;PL
estado	state	estado	state	N;MASC;SG	PROPN
uno	uno	uno	uno	PRO;MASC;SG	N;INDF;MASC;SG
uno	one	uno	one	PRO;MASC;SG	
uno	en	uno	en	PRO;MASC;SG	
uno	ett	uno	ett	PRO;MASC;SG	
uno	én	uno	én	PRO;MASC;SG	
lugar	sted	lugar	stå	N;MASC;SG	
lugar	sted	lugar	stå	N;MASC;SG	
primer	først	primero	først	ADJ;MASC;SG	ADV
primer	forst	primero	forst	ADJ;MASC;SG	N;INDF;MASC;SG
primer	first	primero	first	ADJ;MASC;SG	N
muy	svært	mucho	svær	ADV	ADJ;INDF;NEUT;SG
muy	very	mucho	very	ADV	
muy	meget	mucho	meget	ADV	N;DEF;NEUT;SG
muy	veldig	mucho	veldig	ADV	ADJ;INDF;NEUT;SG
había	hadde	haber	ha	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN
había	hatt	haber	ha	V;IND;SG;3;IPFV;FIN	V;V.PTCP
mismo	same	mismo	same	ADJ;MASC;SG	DET;DEF
mismo	samme	mismo	samme	ADJ;MASC;SG	N;INDF;NEUT;SG
nueva	nyhet	nuevo	nyh	ADJ;FEM;SG	N;INDF;MASC;SG
nueva	nye	nuevo	ny	ADJ;FEM;SG	ADJ;PL
nueva	new	nuevo	new	ADJ;FEM;SG	N;INDF;SG
eran	var	ser	vere	V;IND;PL;3;IPFV;FIN	V;IND;PST;FIN
cual	hvilket	cual	hvilk	PRO;SG	N;DEF;NEUT;SG
cual	hvilken	cual	hvilk	PRO;SG	N;DEF;MASC;SG
tres	tres	tres	tres	NUM;PL	N
tres	three	tres	three	NUM;PL	N
general	generell	general	generell	N;SG	ADJ;INDF;SG
general	generelt	general	generell	N;SG	ADJ;INDF;NEUT;SG
aunque	selvom	aunque	selvom	CONJ	N;INDF;MASC;SG
aunque	skjønt	aunque	skjøne	CONJ	ADJ;INDF;NEUT;SG;V.PTCP
aunque	though	aunque	though	CONJ	N
tras	after	tras	after	ADP	N;INDF;NEUT;SG
tras	etterpå	tras	etterpå	ADP	ADV
tras	efter	tras	efter	ADP	
familia	familier	familia	familie	N;FEM;SG	N;INDF;FEM;PL
familia	familiene	familia	familie	N;FEM;SG	N;DEF;FEM;PL
además	plus	además	plus	ADV	N;INDF;NEUT;SG
además	pluss	además	pluss	ADV	N;INDF;NEUT;SG
todo	everything	todo	everything	PRO;MASC;SG	N;INDF;FEM;SG
todo	alt	todo	alt	PRO;MASC;SG	PRO;NEUT;SG;3
todo	allting	todo	allting	PRO;MASC;SG	N;INDF;FEM;SG
todo	alle	todo	alle	PRO;MASC;SG	PRO;PL;3
todo	alt	todo	alt	PRO;MASC;SG	PRO;NEUT;SG;3
todo	all	todo	all	PRO;MASC;SG	DET;MASC;SG
sur	sørlige	sur	sørlig	N;MASC;SG	ADJ;PL
sur	søndre	sur	søndre	N;MASC;SG	ADJ;CMPR
sur	sør	sur	sør	N;MASC;SG	ADP
sur	south	sur	south	N;MASC;SG	PROPN
mayor	majoren	mayor	major	ADJ;SG	N;DEF;MASC;SG
mayor	major	mayor	major	ADJ;SG	N;INDF;MASC;SG
mayor	dur	mayor	dur	ADJ;SG	N;INDF;MASC;SG
mayor	avdelingsleder	mayor	avdelingslede	ADJ;SG	N;INDF;FEM;PL
contra	disken	contra	disk	ADP	N;DEF;MASC;SG
contra	contra	contra	contre	ADP	N
encuentra	finne	encontrar	finne	V;IND;SG;3;PRS;FIN	V;IMP;NFIN
otras	andre	otro	annan	PRO;FEM;PL	DET;PL
otras	annet	otro	annet	PRO;FEM;PL	N;INDF;NEUT;SG
otras	annen	otro	annen	PRO;FEM;PL	N;INDF;MASC;SG
otras	andre	otro	annan	PRO;FEM;PL	DET;PL
todos	everybody	todo	everybody	PRO;MASC;PL	N;INDF;NEUT;SG
todos	alle	todo	alle	PRO;MASC;PL	PRO;PL;3
todos	alle	todo	alle	PRO;MASC;PL	PRO;PL;3
todos	alt	todo	alt	PRO;MASC;PL	PRO;NEUT;SG;3
todos	all	todo	all	PRO;MASC;PL	DET;MASC;SG
todos	alle	todo	alle	PRO;MASC;PL	PRO;PL;3
juan	john	juan	john	PROPN	N;INDF;MASC;SG
juan	joan	juan	joan	PROPN	N;INDF;MASC;SG
sido	vært	ser	vært	V;MASC;SG;PST;V.PTCP	V;V.PTCP
josé	joseph	josé	joseph	PROPN	N;INDF;NEUT;SG
josé	josef	josé	josef	PROPN	N;INDF;MASC;SG
josé	josef	josé	josef	PROPN	N;INDF;MASC;SG
josé	josé	josé	josé	PROPN	N;INDF;MASC;SG
bajo	lavmål	bajo	lavmål	ADP	N;INDF;NEUT;SG
bajo	lav	bajo	lav	ADP	N;INDF;NEUT;SG
bajo	lavt	bajo	levje	ADP	ADJ;INDF;NEUT;SG
bajo	low	bajo	low	ADP	N;INDF;NEUT;SG
bajo	lave	bajo	lave	ADP	N;INDF;NEUT;SG
bajo	bajo	bajo	bajo	ADP	N;INDF;MASC;SG
bajo	bass	bajo	bass	ADP	N;INDF;MASC;SG
cada	every	cada	every	DET;SG	N
cada	hver	cada	hver	DET;SG	
cada	hvert	cada	hvert	DET;SG	
cada	hver	cada	hver	DET;SG	
cada	hvert	cada	hvert	DET;SG	
norte	nordover	norte	nordov	N;MASC;SG	ADP
norte	north	norte	north	N;MASC;SG	PROPN
norte	nord	norte	nord	N;MASC;SG	ADP
norte	nordlige	norte	nordlig	N;MASC;SG	ADJ;PL
norte	nord	norte	nord	N;MASC;SG	ADP
río	rio	río	rio	N;MASC;SG	PROPN
río	elven	río	elven	N;MASC;SG	
méxico	mexico	méxico	mexico	N;MASC;SG	PROPN
han	har	haber	ha	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
han	ha	haber	ha	V;IND;PL;3;PRS;FIN	V;IMP;FIN
han	han	haber	han	V;IND;PL;3;PRS;FIN	PRO;NOM;MASC;SG;3
argentina	argentinas	argentino	argentinas	ADJ;FEM;SG	N;INDF;MASC;SG
argentina	argentina	argentino	argentin	ADJ;FEM;SG	N;INDF;MASC;SG
nuevo	nyhet	nuevo	nyh	ADJ;MASC;SG	N;INDF;MASC;SG
nuevo	nye	nuevo	ny	ADJ;MASC;SG	ADJ;PL
nuevo	new	nuevo	new	ADJ;MASC;SG	N;INDF;SG
véase	skjønner	véase	skjønne	V;SBJV;SG;3;PRS;FIN	V;IND;PRS;FIN
véase	see	véase	see	V;SBJV;SG;3;PRS;FIN	N;INDF;SG
véase	se	véase	se	V;SBJV;SG;3;PRS;FIN	
véase	sjå	véase	sjå	V;SBJV;SG;3;PRS;FIN	V;IMP;FIN
junto	langs	junto	langs	ADJ	ADP
segunda	sekund	segundo	sekund	ADJ;FEM;SG	N;INDF;NEUT;SG
segunda	andre	segundo	annan	ADJ;FEM;SG	DET;PL
segunda	second	segundo	second	ADJ;FEM;SG	N
final	siste	final	sist	N;MASC;SG	ADJ;DEF;SG
personas	mennesker	persona	menneske	N;FEM;PL	N;INDF;MASC;SG
hay	hay	haber	hay	V;IND;SG;3;PRS;FIN	PROPN
lincoln	lincoln	lincoln	lincoln	N;MASC;SG	PROPN
web	nett	web	nett	N;FEM;SG	ADV
internacional	internacional	internacional	internacional	ADJ;SG	N
internacional	international	internacional	international	ADJ;SG	N;INDF;NEUT;SG
internacional	internasjonale	internacional	internasjonal	ADJ;SG	ADJ;PL
santa	fy	santo	fy	ADJ;FEM;SG	N;INDF;MASC;SG
santa	hellig	santo	hellig	ADJ;FEM;SG	N;INDF;MASC;SG
santa	hellige	santo	hellige	ADJ;FEM;SG	ADJ;PL
santa	helgen	santo	helg	ADJ;FEM;SG	N;INDF;MASC;SG
santa	saint	santo	sain	ADJ;FEM;SG	N;INDF;NEUT;SG
santa	julenissen	santo	juleniss	ADJ;FEM;SG	N;DEF;MASC;SG
santa	nissen	santo	niss	ADJ;FEM;SG	N;DEF;MASC;SG
santa	santa	santo	sante	ADJ;FEM;SG	N;DEF;FEM;SG
santa	nisse	santo	nisse	ADJ;FEM;SG	N;INDF;MASC;SG
antes	tidligere	antes	tidligere	ADV	N;INDF;FEM;SG
antes	before	antes	brfor	ADV	N;INDF;NEUT;SG
antes	før	antes	før	ADV	ADP
oficial	official	oficial	official	ADJ;SG	N
oficial	offisielle	oficial	offisiell	ADJ;SG	ADJ;PL
oficial	offiser	oficial	offiser	ADJ;SG	N;INDF;MASC;SG
oficial	konstabel	oficial	konstabel	ADJ;SG	N;INDF;MASC;SG
quien	kven	quien	kven	PRO;SG	PRO;HUM
quien	who	quien	who	PRO;SG	N
quien	hvem	quien	hvem	PRO;SG	N;INDF;MASC;SG
mundo	verden	mundo	verden	N;MASC;SG	
tanto	både	tanto	både	ADV	CONJ
tanto	begge	tanto	begge	ADV	PRO;PL;3
algunos	some	alguno	some	PRO;MASC;PL	N
algunos	noen	alguno	noen	PRO;MASC;PL	
algunos	enkelte	alguno	enkelt	PRO;MASC;PL	ADJ;PL
mejor	flinkere	mejor	flinkere	ADV	V;IMP;NFIN
mejor	betre	mejor	god	ADV	ADJ;CMPR
mejor	better	mejor	better	ADV	N;INDF;MASC;SG
mejor	bedre	mejor	bedre	ADV	N;INDF;NEUT;SG
mejor	best	mejor	bra	ADV	ADJ;INDF;RL
mejor	beste	mejor	god	ADV	ADJ;DEF;RL
marzo	marsjere	marzo	marsjere	N	V;NFIN
siendo	being	ser	being	V;V.MSDR	N;INDF;NEUT;SG
otro	andre	otro	annan	PRO;MASC;SG	DET;PL
otro	annet	otro	annet	PRO;MASC;SG	N;INDF;NEUT;SG
otro	annen	otro	annen	PRO;MASC;SG	N;INDF;MASC;SG
estaba	var	estar	vere	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN
estos	desse	este	desse	PRO;MASC;PL	PRO;PL;3
estos	disse	este	disse	PRO;MASC;PL	N;INDF;NEUT;SG
total	totale	total	total	ADJ;SG	ADJ;PL
habitantes	beboerne	habitante	beboerne	N;PL	ADJ;PL
habitantes	beboere	habitante	beboere	N;PL	N;INDF;MASC;SG
real	real	real	real	ADJ;SG	N;INDF;MASC;SG
real	kongelige	real	kongelig	ADJ;SG	ADJ;PL
real	kongelig	real	kongelig	ADJ;SG	N;INDF;MASC;SG
real	royal	real	royal	ADJ;SG	N;INDF;MASC;SG
página	siden	página	siden	N;FEM;SG	
esto	this	este	this	PRO;SG	
esto	dette	este	dette	PRO;SG	PRO;NEUT;SG;3
esto	denne	este	denne	PRO;SG	PRO;SG;3
esto	detta	este	dette	PRO;SG	PRO;NEUT;SG;3
mundial	worldwide	mundial	worldwide	ADJ;SG	N;INDF;MASC;SG
mundial	verdensbasis	mundial	verdensbasis	ADJ;SG	N;INDF;MASC;SG
mundial	verdensomspennende	mundial	verdensomspennende	ADJ;SG	N;INDF;MASC;SG
mundial	verdens	mundial	verd	ADJ;SG	N;GEN;DEF;MASC;SG
mundial	world	mundial	world	ADJ;SG	N
mundial	verden	mundial	verden	ADJ;SG	
presidente	ordstyrer	presidente	ordstyre	N;MASC;SG	N;INDF;FEM;PL
casa	hjemme	casa	hjemme	N;FEM;SG	
casa	heime	casa	heime	N;FEM;SG	ADP
sólo	only	sólo	only	ADV	
sólo	kun	sólo	kun	ADV	N;INDF;NEUT;SG
sólo	just	sólo	just	ADV	N;INDF;MASC;SG
cuenta	telle	contar	telle	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
cuenta	greve	contar	grave	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
cuenta	tell	contar	tell	V;IND;SG;3;PRS;FIN	N;INDF
cuenta	kontoen	contar	konto	V;IND;SG;3;PRS;FIN	N;DEF;MASC;SG
cuenta	konto	contar	konto	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
cuenta	brukerkonto	contar	brukerkonto	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
cuenta	teller	contar	teller	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
ella	ella	él	ell	PRO;FEM;SG;3	N;INDF;MASC;SG
ella	elleville	él	ellevill	PRO;FEM;SG;3	ADJ;PL
ella	hun	él	hun	PRO;FEM;SG;3	
ella	she	él	she	PRO;FEM;SG;3	N;INDF;SG
ella	hennes	él	hennes	PRO;FEM;SG;3	N;INDF;MASC;SG
pueden	can	poder	cann	V;IND;PL;3;PRS;FIN	N
varios	diverse	varios	diverse	PRO;MASC;PL	ADJ;PL
varios	ymse	varios	ymis	PRO;MASC;PL	ADJ;PL
varios	diverse	varios	diverse	PRO;MASC;PL	ADJ;PL
francia	frankrike	francia	frankrike	PROPN	N;INDF;NEUT;SG
francia	france	francia	france	PROPN	N
solo	alone	solo	alone	ADV	N
solo	alene	solo	alene	ADV	N;INDF;SG
solo	solo	solo	solo	ADV	N;INDF;MASC;SG
solo	only	solo	only	ADV	
solo	kun	solo	kun	ADV	N;INDF;NEUT;SG
solo	just	solo	just	ADV	N;INDF;MASC;SG
chile	chilensk	chile	chilensk	PROPN	ADJ;INDF;SG
chile	chilli	chile	chilli	PROPN	N;INDF;MASC;SG
chile	chili	chile	chili	PROPN	N;INDF;MASC;SG
chile	chile	chile	chile	PROPN	N;INDF;MASC;SG
tipo	skriv	tipo	skrive	N;MASC;SG	V;IMP;FIN
obra	arbeide	obra	arbeide	N;FEM;SG	V;NFIN
obra	jobbe	obra	jobbe	N;FEM;SG	V;NFIN
obra	jobber	obra	jobbe	N;FEM;SG	N;INDF;FEM;PL
banda	banda	banda	band	N;FEM;SG	N;DEF;NEUT;PL
cuatro	four	cuatro	four	NUM;PL	N
cuatro	cuatro	cuatro	cuatro	NUM;PL	N;INDF;MASC;SG
principal	main	principal	main	ADJ;SG	N;INDF;NEUT;SG
principal	hoved	principal	hoved	ADJ;SG	N;INDF;MASC;SG
principal	rektor	principal	rektor	ADJ;SG	N;INDF;MASC;SG
hace	gjør	hacer	gjør	V;IND;SG;3;PRS;FIN	
hace	makes	hacer	makes	V;IND;SG;3;PRS;FIN	N
km²	km²	kme	km²		N;INDF;MASC;SG
edición	redigere	edición	redigere	N;FEM;SG	V;NFIN
edición	rediger	edición	redig	N;FEM;SG	N;INDF;MASC;PL
edición	redigerer	edición	redigere	N;FEM;SG	V;IND;PRS;FIN
edición	redigere	edición	redigere	N;FEM;SG	V;NFIN
tenía	hadde	tener	ha	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN
premios	utmerkelser	premio	utmerkelse	N;MASC;PL	N;INDF;MASC;SG
premios	utdelingen	premio	utdeling	N;MASC;PL	N;DEF;MASC;SG
premios	awards	premio	Award	N;MASC;PL	N;INDF;MASC;SG
premios	utmerkelse	premio	utmerkelse	N;MASC;PL	N;INDF;MASC;SG
premios	premier	premio	premie	N;MASC;PL	N;INDF;MASC;SG
premios	utmerkelse	premio	utmerkelse	N;MASC;PL	N;INDF;MASC;SG
premios	award	premio	award	N;MASC;PL	N;INDF;MASC;SG
futbolistas	fotballspillere	futbolista	fotballspillere	N;PL	N;INDF;FEM;SG
bien	flinke	bien	flink	ADV	ADJ;PL
bien	flink	bien	flink	ADV	ADJ;INDF;SG
bien	godt	bien	god	ADV	ADJ;INDF;NEUT;SG
bien	dyktig	bien	dyktig	ADV	ADJ;INDF;SG
bien	god	bien	god	ADV	ADJ;INDF;SG
bien	bra	bien	bra	ADV	ADJ;INDF;NEUT;SG
bien	neimen	bien	neimen	ADV	ADJ;INDF;SG
bien	vell	bien	vell	ADV	N;INDF;NEUT;SG
bien	bot	bien	bot	ADV	N;INDF;FEM;SG
bien	fine	bien	fin	ADV	ADJ;PL
bien	fint	bien	fin	ADV	ADJ;INDF;NEUT;SG
segundo	sekund	segundo	sekund	ADJ;MASC;SG	N;INDF;NEUT;SG
segundo	andre	segundo	annan	ADJ;MASC;SG	DET;PL
segundo	second	segundo	second	ADJ;MASC;SG	N
poco	lille	poco	lilje	ADV	N;INDF;MASC;SG
poco	lite	poco	lite	ADV	ADJ;INDF;NEUT;SG
poco	liten	poco	liten	ADV	ADJ;INDF;MASC;SG
orden	bestille	orden	bestille	N;MASC;SG	V;NFIN
estadounidense	amerikaner	estadounidense	amerikan	ADJ;SG	N;INDF;MASC;PL
estadounidense	amerikanske	estadounidense	amerikansk	ADJ;SG	ADJ;PL
estadounidense	american	estadounidense	american	ADJ;SG	N
agua	vann	agua	vinne	N;FEM;SG	V;IND;PST;FIN
ellos	them	él	them	PRO;MASC;PL;3	
ellos	dem	él	dem	PRO;MASC;PL;3	
ellos	de	él	de	PRO;MASC;PL;3	PRO;HUM;NOM;PL;2
ellos	they	él	they	PRO;MASC;PL;3	N
están	are	estar	are	V;IND;PL;3;PRS;FIN	PROPN
están	er	estar	vere	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN
trabajo	arbeide	trabajo	arbeide	N;MASC;SG	V;NFIN
trabajo	jobbe	trabajo	jobbe	N;MASC;SG	V;NFIN
trabajo	jobber	trabajo	jobbe	N;MASC;SG	N;INDF;FEM;PL
especie	arter	especie	arter	N;FEM;SG	N;INDF;FEM;PL
dentro	innenfor	dentro	innenfor	ADV	
dentro	innafor	dentro	innafor	ADV	ADP
dentro	inside	dentro	inside	ADV	N
dentro	innsiden	dentro	innside	ADV	N;DEF;MASC;SG
dentro	innvendig	dentro	innvendig	ADV	ADJ;INDF;NEUT;SG
dentro	inne	dentro	inne	ADV	ADP
obras	fungerer	obra	fungere	N;FEM;PL	V;IND;PRS;FIN
obras	funker	obra	funker	N;FEM;PL	N;INDF;MASC;SG
obras	spiller	obra	spille	N;FEM;PL	V;IND;PRS;FIN
obras	skuespill	obra	skuespill	N;FEM;PL	N;INDF;NEUT;SG
muchos	mangt	mucho	mangt	PRO;MASC;PL	N;INDF;MASC;SG
muchos	many	mucho	many	PRO;MASC;PL	N
muchos	mangen	mucho	mang	PRO;MASC;PL	N;DEF;MASC;SG
muchos	mange	mucho	mange	PRO;MASC;PL	ADJ;PL
les	les	él	lese	PRO;DAT;PL;3	V;IMP;FIN
siguiente	følgende	siguiente	følgende	ADJ;SG	N;INDF;MASC;SG
siguiente	følger	siguiente	følge	ADJ;SG	V;IND;PRS;FIN
siguiente	nestemann	siguiente	nestemann	ADJ;SG	N;INDF;MASC;SG
siguiente	neste	siguiente	neste	ADJ;SG	DET;DEF
siguiente	next	siguiente	next	ADJ;SG	N
grandes	large	grande	larg	ADJ;PL	N
grandes	stor	grande	stor	ADJ;PL	ADJ;INDF;SG
grandes	stort	grande	stor	ADJ;PL	ADJ;INDF;NEUT;SG
grandes	big	grande	big	ADJ;PL	N;INDF;SG
grandes	stor	grande	stor	ADJ;PL	ADJ;INDF;SG
grandes	stort	grande	stor	ADJ;PL	ADJ;INDF;NEUT;SG
grandes	grandes	grande	grandes	ADJ;PL	N;INDF;NEUT;SG
liga	liga	liga	lige	N;FEM;SG	ADJ;INDF;SG;V.PTCP
liga	liga	liga	lige	N;FEM;SG	ADJ;INDF;SG;V.PTCP
estas	desse	este	desse	PRO;FEM;PL	PRO;PL;3
estas	disse	este	disse	PRO;FEM;PL	N;INDF;NEUT;SG
medio	medium	medio	medium	NUM;MASC;SG	N;INDF;NEUT;SG
medio	middels	medio	middels	NUM;MASC;SG	N;INDF;MASC;SG
medio	medio	medio	medio	NUM;MASC;SG	N;INDF;MASC;SG
medio	halvt	medio	halv	NUM;MASC;SG	ADJ;INDF;NEUT;SG
medio	halve	medio	halv	NUM;MASC;SG	ADJ;DEF;SG
medio	halv	medio	halv	NUM;MASC;SG	ADJ;INDF;SG
medio	halvparten	medio	halvpart	NUM;MASC;SG	N;DEF;MASC;SG
medio	half	medio	half	NUM;MASC;SG	N
política	retningslinjene	política	retningslinje	N;FEM;SG	N;DEF;FEM;PL
política	retningslinjer	política	retningslinje	N;FEM;SG	N;INDF;FEM;PL
menos	minus	menos	minus	ADV	N;INDF;NEUT;SG
menos	færre	menos	få	ADV	ADJ;CMPR
menos	less	menos	less	ADV	
menos	mindre	menos	liten	ADV	ADJ;CMPR
largo	largo	largo	largo	ADJ;MASC;SG	N;INDF;MASC;SG
largo	lange	largo	lang	ADJ;MASC;SG	ADJ;PL
largo	lengter	largo	lengt	ADJ;MASC;SG	N;INDF;MASC;SG
largo	long	largo	long	ADJ;MASC;SG	N;INDF;NEUT;SG
buenos	flink	buen	flink	ADJ;MASC;PL	ADJ;INDF;SG
buenos	godt	buen	god	ADJ;MASC;PL	ADJ;INDF;NEUT;SG
buenos	dyktig	buen	dyktig	ADJ;MASC;PL	ADJ;INDF;SG
buenos	god	buen	god	ADJ;MASC;PL	ADJ;INDF;SG
buenos	bra	buen	bra	ADJ;MASC;PL	ADJ;INDF;NEUT;SG
hecho	made	hecho	made	ADJ;MASC;SG;V.PTCP	N;INDF;SG
hecho	laget	hecho	lag	ADJ;MASC;SG;V.PTCP	N;DEF;NEUT;SG
hecho	done	hecho	done	ADJ;MASC;SG;V.PTCP	N
hecho	faktum	hecho	faktum	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
hecho	fact	hecho	fact	ADJ;MASC;SG;V.PTCP	N
algunas	some	alguno	some	PRO;FEM;PL	N
algunas	noen	alguno	noen	PRO;FEM;PL	
algunas	enkelte	alguno	enkelt	PRO;FEM;PL	ADJ;PL
poder	kraft	poder	kraft	V;NFIN	N;INDF;FEM;SG
poder	makt	poder	makt	V;NFIN	N;INDF;FEM;SG
poder	strøm	poder	strøm	V;NFIN	N;INDF;MASC;SG
poder	power	poder	power	V;NFIN	N;INDF;NEUT;SG
pueblo	town	pueblo	town	N;MASC;SG	PROPN
pueblo	personer	pueblo	person	N;MASC;SG	N;INDF;FEM;PL
pueblo	personar	pueblo	person	N;MASC;SG	N;INDF;MASC;PL
pueblo	folk	pueblo	folk	N;MASC;SG	N;INDF;NEUT;PL
localidades	spisesteder	localidad	spisestede	N;FEM;PL	N;INDF;MASC;SG
