kategória	kategorijo	kategória	kategorija	N;NOM;FEM;SG	N;ACC;FEM;SG
podľa	pod	podľa	pod	ADP;GEN	
miesto	lokacijo	miesto	lokacija	N;NOM;NEUT;SG	N;ACC;FEM;SG
obcí	občine	obec	občina	N;GEN;FEM;PL	N;NOM;FEM;PL
obci	komune	obec	komun	N;DAT;FEM;SG	N;NOM;FEM;PL
jej	its	ona	its	PRO;DAT;FEM;SG;3	
jej	njo	ona	on	PRO;DAT;FEM;SG;3	PRO;ACC;FEM;SG;3
jej	njen	ona	njen	PRO;DAT;FEM;SG;3	DET;NOM;MASC;SG;3
jej	her	ona	hera	PRO;DAT;FEM;SG;3	N;NOM;MASC;SG
jej	njena	ona	njen	PRO;DAT;FEM;SG;3	DET;NOM;FEM;SG;3
ich	njihovi	on	njihov	PRO;NOM;MASC;PL;3	DET;NOM;MASC;PL;3
ich	njihov	on	njihov	PRO;NOM;MASC;PL;3	DET;NOM;MASC;SG;3
ich	njihovo	on	njihov	PRO;NOM;MASC;PL;3	DET;NOM;NEUT;SG;3
ich	njuna	on	njun	PRO;NOM;MASC;PL;3	DET;NOM;FEM;SG;3
ich	njihova	on	njihov	PRO;NOM;MASC;PL;3	DET;NOM;FEM;SG;3
ich	njihove	on	njihov	PRO;NOM;MASC;PL;3	DET;NOM;FEM;SG;3
ich	njimi	on	on	PRO;NOM;MASC;PL;3	PRO;DAT;MASC;PL;3
ich	jih	on	on	PRO;NOM;MASC;PL;3	PRO;ACC;MASC;PL;3
ich	njih	on	on	PRO;NOM;MASC;PL;3	PRO;GEN;MASC;PL;3
ich	ich	on	ich	PRO;NOM;MASC;PL;3	
projekty	projekte	projekt	projekt	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
projekty	projektov	projekt	projekt	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
team	ekipno	team	ekipno	PROPN;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
team	ekipa	team	ekipa	PROPN;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
team	team	team	teama	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
byť	počutje	byť	počutje	V;IPFV;POS;NFIN	N;NOM;NEUT;SG
francúzska	francosko	francúzsky	francoski	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
francúzska	francoska	francúzsky	francoski	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
francúzska	francoski	francúzsky	francoski	N;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
francúzska	francijo	francúzsky	francija	N;NOM;FEM;SG	N;ACC;FEM;SG
najvyšší	vrhovnega	vysoký	vrhoven	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;GEN;NEUT;SG
najvyšší	vrhovni	vysoký	vrhoven	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;MASC;PL
najvyšší	vrhovno	vysoký	vrhoven	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;NEUT;SG
však	kakorkoli	však	kakorkoli	PART	ADV
pod	spodaj	pod	spodaj	ADP;INS	ADV
pod	kapsula	pod	kapsul	ADP;INS	N;NOM;FEM;SG
pod	pod	pod	pod	ADP;INS	
pred	pre	pred	pre	ADP;INS	
pred	preden	pred	preden	ADP;INS	CONJ
pred	prej	pred	prej	ADP;INS	ADV;CMPR
vývoj	evolucijo	vývoj	evolucija	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
vývoj	dogajanja	vývoj	dogajanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL
kde	kde	kde	kda	ADV	N;NOM;MASC;SG
kde	kjer	kde	kjer	ADV	CONJ
môže	maj	môcť	maj	V;IPFV;IND;SG;3;POS;PRS;FIN	
môže	maja	môcť	maj	V;IPFV;IND;SG;3;POS;PRS;FIN	N;GEN;MASC;SG
môže	lahko	môcť	lahko	V;IPFV;IND;SG;3;POS;PRS;FIN	ADV
nasledujúci	sledim	nasledujúci	slediti	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	V;IPFV;IND;SG;1;PRS;FIN
zobrazuje	prikaže	zobrazovať	prikazati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
zobrazuje	pokaže	zobrazovať	pokazati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
zobrazuje	prikaže	zobrazovať	prikazati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
zobrazuje	oddaje	zobrazovať	oddaja	V;IPFV;IND;SG;3;POS;PRS;FIN	N;NOM;FEM;PL
zobrazuje	oddaj	zobrazovať	oddaj	V;IPFV;IND;SG;3;POS;PRS;FIN	N;GEN;FEM;PL
keď	kdaj	keď	kdaj	CONJ	ADV
mesto	mestu	mesto	mesto	N;NOM;NEUT;SG	N;DAT;NEUT;SG
mesto	city	mesto	city	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG
mesto	mestu	mesto	mesto	N;NOM;NEUT;SG	N;DAT;NEUT;SG
počas	med	počas	med	ADP;GEN	ADP;INS
usa	zda	usa	zdati		PROPN;GEN;FEM;PL
usa	usa	usa	usa		
rokov	leta	rok	leto	N;INAN;GEN;MASC;PL	N;GEN;NEUT;SG
rokov	letih	rok	leto	N;INAN;GEN;MASC;PL	N;ESS;NEUT;PL
nie	ni	nie	biti	PART	V;IND;SG;3;NEG;PRS;FIN
september	septembra	september	september	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
úmrtia	smrt	úmrtie	smrt	N;NOM;NEUT;PL	N;NOM;FEM;SG
neskôr	pozneje	neskôr	pozno	ADV	ADV;CMPR
neskôr	kasneje	neskôr	kasno	ADV	ADV;CMPR
aby	naredi	aby	narediti	CONJ;COND	V;PFV;IND;SG;3;PRS;FIN
storočia	stoletja	storočie	stoletje	N;NOM;NEUT;PL	N;ACC;NEUT;PL
storočia	stoletje	storočie	stoletje	N;NOM;NEUT;PL	N;NOM;NEUT;SG
nad	zgoraj	nad	zgoraj	ADP;INS	ADV
utc	utc	utc	utc		N;NOM;MASC;SG
jpg	jpg	jpg	jpg		N;NOM;MASC;SG
časti	deli	časť	del	N;DAT;FEM;SG	N;NOM;MASC;PL
skupiny	skupino	skupina	skupina	N;NOM;FEM;PL	N;ACC;FEM;SG
skupiny	skupinsko	skupina	skupinski	N;NOM;FEM;PL	ADJ;NOM;NEUT;SG
skupiny	skupinski	skupina	skupinski	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
skupiny	skupinska	skupina	skupinski	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
skupiny	skupina	skupina	skupina	N;NOM;FEM;PL	N;NOM;FEM;SG
skupiny	skupin	skupina	skupina	N;NOM;FEM;PL	N;GEN;FEM;PL
skupiny	skupinami	skupina	skupina	N;NOM;FEM;PL	N;DAT;FEM;PL
skupiny	skupini	skupina	skupina	N;NOM;FEM;PL	N;NOM;FEM;DU
roka	leto	rok	leto	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
roka	letnica	rok	letnica	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
ktorú	katero	ktorý	kateri	DET;ACC;FEM;SG	DET;ACC;NEUT;SG
ktorú	kateri	ktorý	kateri	DET;ACC;FEM;SG	DET;NOM;MASC;SG
ktorú	katere	ktorý	kateri	DET;ACC;FEM;SG	DET;ACC;FEM;PL
ktorú	katerih	ktorý	kateri	DET;ACC;FEM;SG	DET;GEN;MASC;PL
ktorú	ki	ktorý	ki	DET;ACC;FEM;SG	CONJ
ktorú	katerega	ktorý	kateri	DET;ACC;FEM;SG	DET;GEN;MASC;SG
časť	delno	časť	delno	N;NOM;FEM;SG	ADV
ngc	ngc	my	ngce	N;NOM;FEM;SG	PROPN;NOM;MASC;SG
október	oktobra	október	oktober	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
mesta	mestu	mesto	mesto	N;NOM;NEUT;SG	N;DAT;NEUT;SG
mesta	city	mesto	city	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG
mesta	mestu	mesto	mesto	N;NOM;NEUT;SG	N;DAT;NEUT;SG
marec	marca	marec	marec	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
august	avgusta	august	avgust	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
skupina	skupino	skupina	skupina	N;NOM;FEM;SG	N;ACC;FEM;SG
skupina	skupinsko	skupina	skupinski	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
skupina	skupinski	skupina	skupinski	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
skupina	skupinska	skupina	skupinski	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
oficiálna	uradnik	oficiálny	uradnik	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
oficiálna	uradno	oficiálny	uradno	ADJ;NOM;FEM;SG	ADV
narodenia	rojstvo	narodenie	rojstvo	N;NOM;NEUT;PL	N;NOM;NEUT;SG
tento	tole	tento	tale	DET;INAN;NOM;MASC;SG	
tento	tega	tento	ta	DET;INAN;NOM;MASC;SG	DET;GEN;NEUT;SG
osobnosti	osebnost	osobnosť	osebnost	N;NOM;FEM;PL	N;NOM;FEM;SG
november	novembra	november	november	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
december	decembra	december	december	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
december	dec	december	dec	N;INAN;NOM;MASC;SG	
roky	leta	rok	leto	N;INAN;NOM;MASC;PL	N;GEN;NEUT;SG
roky	letih	rok	leto	N;INAN;NOM;MASC;PL	N;ESS;NEUT;PL
roky	let	rok	leto	N;INAN;NOM;MASC;PL	N;GEN;NEUT;PL
oblasti	območje	oblasť	območje	N;NOM;FEM;PL	N;NOM;NEUT;SG
oblasti	površina	oblasť	površina	N;NOM;FEM;PL	N;NOM;FEM;SG
oblasti	področje	oblasť	področje	N;NOM;FEM;PL	N;NOM;NEUT;SG
január	januarja	január	januar	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
súbor	datoteko	súbor	datoteka	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
mal	imeli	mať	imeti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;MASC;PL;V.PTCP
mal	mal	mať	malo	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	
proti	zoper	proti	zoper	ADP;DAT	ADP;ACC
apríl	aprila	aprila	april	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
sveta	svet	svet	svet	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
sveta	svetovna	svet	svetoven	N;INAN;GEN;MASC;SG	ADJ;NOM;FEM;SG
sveta	svetovno	svet	svetoven	N;INAN;GEN;MASC;SG	ADJ;NOM;NEUT;SG
sveta	world	svet	world	N;INAN;GEN;MASC;SG	
najmä	pretežno	najmä	pretežno	PART	ADV
najmä	večinoma	najmä	večinoma	PART	ADV
najmä	posebej	najmä	posebej	PART	ADV
viac	več	viac	več	NUM;NOM;NEUT;SG	DET
viac	bolj	viac	bolj	NUM;NOM;NEUT;SG	ADV;CMPR
február	februarja	február	februar	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
február	feb	február	feb	N;INAN;NOM;MASC;SG	
mužov	moške	muž	moški	N;ANIM;ACC;MASC;PL	ADJ;NOM;FEM;PL
mužov	možje	muž	mož	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
mužov	men	muž	mena	N;ANIM;ACC;MASC;PL	N;NOM;MASC;SG
mužov	moški	muž	moški	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
mužov	moška	muž	moški	N;ANIM;ACC;MASC;PL	ADJ;NOM;FEM;SG
názov	naslov	názov	naslov	N;INAN;NOM;MASC;SG	N;INAN;ACC;MASC;SG
okolo	naokrog	okolo	naokrog	ADP;GEN	ADV
prvý	prvo	prvý	prvi	ADJ;ANIM;NOM;MASC;SG	ADJ;ACC;NEUT;SG
prvý	prvi	prvý	prvi	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL
prvý	najprej	prvý	najprej	ADJ;ANIM;NOM;MASC;SG	ADV;RL
máj	maj	mať	maj	INTJ	
máj	maja	mať	maj	INTJ	N;GEN;MASC;SG
slovenskej	slovaški	slovenský	slovaški	ADJ;GEN;FEM;SG	ADJ;NOM;DEF;MASC;SG
slovenskej	slovaško	slovenský	slovaški	ADJ;GEN;FEM;SG	ADJ;NOM;NEUT;SG
spolu	skupno	spolu	skupen	ADV	ADJ;NOM;NEUT;SG
preto	zato	preto	zato	ADV	CONJ
preto	zatorej	preto	zatorej	ADV	
tom	toma	to	toma	DET;NOM;NEUT;SG	N;NOM;MASC;SG
tom	tom	to	ta	DET;NOM;NEUT;SG	N;NOM;MASC;SG
majstrovstvá	prvenstvo	majstrovstvo	prvenstvo	N;NOM;NEUT;PL	N;NOM;NEUT;SG
saint	sveti	saint	svet	PROPN;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
saint	svetnik	saint	svetnik	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
saint	svetnica	saint	svetnica	PROPN;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
saint	saint	saint	saint	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
americký	ameriške	americký	ameriški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
júl	julija	júl	julij	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
cez	via	cez	via	ADP;ACC	N;NOM;MASC;SG
cez	skoz	cez	skoz	ADP;ACC	
česko	czechia	česko	czechia	PROPN;NOM;NEUT;SG	N;NOM;MASC;SG
asi	verjetno	asi	verjetno	PART	ADV
asi	vrjetno	asi	vrjetno	PART	ADV
jeden	enga	jeden	en	NUM;ANIM;NOM;MASC;SG	PRO;ACC;MASC;SG
objavil	odkrite	objaviť	odkriti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	ADJ;NOM;FEM;PL
objavil	odkrita	objaviť	odkriti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
objavil	odkrili	objaviť	odkriti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;PL;V.PTCP
objavil	odkrit	objaviť	odkrit	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
ktorých	čigav	ktorý	čigav	DET;ANIM;ACC;MASC;PL	PRO;NOM;MASC;SG
ktorých	čigava	ktorý	čigava	DET;ANIM;ACC;MASC;PL	ADJ;NOM;FEM;SG
ktorých	čigavo	ktorý	čigav	DET;ANIM;ACC;MASC;PL	ADV
vojny	vojno	vojna	vojna	N;NOM;FEM;PL	N;ACC;FEM;SG
vojny	vojna	vojna	vojna	N;NOM;FEM;PL	N;NOM;FEM;SG
vojny	vojn	vojna	vojna	N;NOM;FEM;PL	N;GEN;FEM;PL
ulica	ulico	ulica	ulica	N;NOM;FEM;SG	N;ACC;FEM;SG
ulica	street	ulica	street	N;NOM;FEM;SG	
album	albuma	album	album	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
žien	ženska	žena	ženska	N;GEN;FEM;PL	N;NOM;FEM;SG
žien	ženski	žena	ženski	N;GEN;FEM;PL	ADJ;NOM;MASC;SG
žien	samica	žena	samica	N;GEN;FEM;PL	N;NOM;FEM;SG
žien	žensko	žena	ženska	N;GEN;FEM;PL	N;ACC;FEM;SG
žien	ženskam	žena	ženska	N;GEN;FEM;PL	N;DAT;FEM;PL
žien	ženske	žena	ženska	N;GEN;FEM;PL	N;NOM;FEM;PL
tieto	teh	tento	ta	DET;NOM;MASC;PL	DET;GEN;MASC;PL
tieto	tele	tento	tel	DET;NOM;MASC;PL	
januára	januar	január	januar	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
toto	tole	toto	tale	DET;NOM;NEUT;SG	
toto	tega	toto	ta	DET;NOM;NEUT;SG	DET;GEN;NEUT;SG
toto	tota	toto	tota	DET;NOM;NEUT;SG	N;NOM;FEM;SG
toto	toto	toto	toto	DET;NOM;NEUT;SG	N;NOM;MASC;SG
ktorí	ki	ktorý	ki	DET;ANIM;NOM;MASC;PL	CONJ
ktorí	kdo	ktorý	kdo	DET;ANIM;NOM;MASC;PL	PRO;NOM;MASC;SG
všetky	vsem	všetok	ves	DET;INAN;NOM;MASC;PL	DET;DAT;MASC;PL
všetky	vse	všetok	ves	DET;INAN;NOM;MASC;PL	DET;NOM;NEUT;SG
všetky	vseh	všetok	ves	DET;INAN;NOM;MASC;PL	DET;GEN;MASC;PL
francúzsky	francosko	francúzsky	francoski	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
francúzsky	francoska	francúzsky	francoski	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
francúzsky	francoski	francúzsky	francoski	N;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
mestá	mest	mesto	mesto	N;NOM;NEUT;PL	N;GEN;NEUT;PL
mestá	mest	mesto	mesto	N;NOM;NEUT;PL	N;GEN;NEUT;PL
svoje	its	svoj	its	DET;ACC;NEUT;SG;REFL	
žije	življenja	žiť	življenje	V;IPFV;IND;SG;3;POS;PRS;FIN	N;GEN;NEUT;SG
český	český	český	česek	ADJ;ANIM;NOM;MASC;SG	
ján	jan	ján	jan	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
ján	ján	ján	ján	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ján	john	ján	john	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ján	janez	ján	janez	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ján	janeza	ján	janez	PROPN;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
okres	okrožje	okres	okrožje	INTJ	N;NOM;NEUT;SG
jún	jun	jún	jun	INTJ	N;NOM;MASC;SG
jún	junij	jún	junij	INTJ	N;NOM;MASC;SG
jún	june	jún	juna	INTJ	
jún	junija	jún	junij	INTJ	N;GEN;MASC;SG
šablóny	predloge	šablón	predlog	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
šablóny	predloge	šablón	predlog	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
šablóny	predloga	šablón	predlog	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
slovensko	slovaška	slovensko	slovaški	N;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ani	ani	ani	an	PART	PROPN;NOM;MASC;SG
ktorého	čigav	ktorý	čigav	DET;ANIM;GEN;MASC;SG	PRO;NOM;MASC;SG
ktorého	čigava	ktorý	čigava	DET;ANIM;GEN;MASC;SG	ADJ;NOM;FEM;SG
ktorého	čigavo	ktorý	čigav	DET;ANIM;GEN;MASC;SG	ADV
slovenska	slovenska	slovensky	slovenski	N;NOM;NEUT;SG	ADJ;NOM;FEM;SG
nové	nove	nový	nov	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
všetkých	vsi	všetok	ves	DET;ANIM;ACC;MASC;PL	DET;NOM;MASC;PL
všetkých	vsem	všetok	ves	DET;ANIM;ACC;MASC;PL	DET;DAT;MASC;PL
všetkých	vse	všetok	ves	DET;ANIM;ACC;MASC;PL	DET;NOM;NEUT;SG
všetkých	vseh	všetok	ves	DET;ANIM;ACC;MASC;PL	DET;GEN;MASC;PL
štátu	stanje	štát	stanje	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
štátu	država	štát	država	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
štátu	državno	štát	državen	N;INAN;GEN;MASC;SG	ADJ;NOM;NEUT;SG
ďalšie	dodatno	ďalší	dodatno	ADJ;NOM;NEUT;SG	ADV
ďalšie	druge	ďalší	drug	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
ďalšie	nadalje	ďalší	nadalje	ADJ;NOM;NEUT;SG	
ďalšie	več	ďalší	več	ADJ;NOM;NEUT;SG	DET
ďalšie	bolj	ďalší	bolj	ADJ;NOM;NEUT;SG	ADV;CMPR
tým	ekipno	to	ekipno	DET;INS;NEUT;SG	ADJ;NOM;NEUT;SG
tým	ekipa	to	ekipa	DET;INS;NEUT;SG	N;NOM;FEM;SG
tým	team	to	teama	DET;INS;NEUT;SG	N;NOM;MASC;SG
dve	dve	dva	dva	NUM;NOM;FEM;PL	NUM;NOM;FEM;DU
dve	dva	dva	dva	NUM;NOM;FEM;PL	NUM;NOM;MASC;DU
dva	dve	dva	dva	NUM;INAN;NOM;MASC;PL	NUM;NOM;FEM;DU
dva	dva	dva	dva	NUM;INAN;NOM;MASC;PL	NUM;NOM;MASC;DU
mala	imeli	mať	imeti	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;MASC;PL;V.PTCP
mala	mala	mať	mali	V;IPFV;FEM;SG;POS;PST;V.PTCP	ADJ;NOM;FEM;SG
style	stil	style	stil	INTJ	N;NOM;MASC;SG
style	slog	style	slog	INTJ	N;NOM;MASC;SG
táto	tole	táto	tale	DET;NOM;FEM;SG	
táto	tega	táto	ta	DET;NOM;FEM;SG	DET;GEN;NEUT;SG
prvé	prvo	prvý	prvi	ADJ;NOM;NEUT;SG	ADJ;ACC;NEUT;SG
prvé	prvi	prvý	prvi	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
prvé	najprej	prvý	najprej	ADJ;NOM;NEUT;SG	ADV;RL
martin	martina	martin	martina	PROPN;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
martin	martin	martin	martin	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
http	http	http	http		N;NOM;MASC;SG
tri	three	tri	three	NUM;INAN;NOM;MASC;PL	
loire	loire	loira	lošer	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG
nich	njimi	on	on	PRO;ANIM;ACC;MASC;PL;3	PRO;DAT;MASC;PL;3
nich	njih	on	on	PRO;ANIM;ACC;MASC;PL;3	PRO;GEN;MASC;PL;3
praha	praga	praha	praga	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
praha	pragi	praha	praga	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
praha	prage	praha	praga	PROPN;NOM;FEM;SG	N;GEN;FEM;SG
stránke	stran	stránka	stran	N;DAT;FEM;SG	N;NOM;FEM;SG
spoločnosti	družbo	spoločnosť	družba	N;NOM;FEM;PL	N;ACC;FEM;SG
spoločnosti	četa	spoločnosť	ket	N;NOM;FEM;PL	N;NOM;FEM;SG
spoločnosti	podjetje	spoločnosť	podjetje	N;NOM;FEM;PL	N;NOM;NEUT;SG
spoločnosti	družba	spoločnosť	družba	N;NOM;FEM;PL	N;NOM;FEM;SG
mali	imelo	mať	imeti	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V;IPFV;NEUT;SG;V.PTCP
mali	imel	mať	imeti	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
mali	imela	mať	imeti	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
