magnolia	magnolia	magnolie	magnolia	N;DEF;FEM;SG	PROPN;NOM;SG
pont	pont	pont	pont	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
pont	tipp	pont	tipp	N;INDF;MASC;SG	
pont	trinkgeld	pont	trinkgeld	N;INDF;MASC;SG	ADJ
pont	tip	pont	tip	N;INDF;MASC;SG	
pont	spitze	pont	spitz	N;INDF;MASC;SG	ADJ
inlocuirea	ersetzen	inlocuire	ersetzen	N;DEF;FEM;SG	V;NFIN
inlocuirea	ersetzung	inlocuire	Ersetzung	N;DEF;FEM;SG	N;NOM;FEM;SG
inlocuirea	ersatz	inlocuire	ersatzen	N;DEF;FEM;SG	
inlocuirea	ersetzen	inlocuire	ersetzen	N;DEF;FEM;SG	V;NFIN
apple	äpfel	appla	apfel	N;INDF	
apple	apfel	appla	apfel	N;INDF	
apple	apple	appla	applen	N;INDF	
nepenthes	nepenthes	nepenthes	nepenth	PROPN	PROPN;NOM;SG
dame	dame	damă	damen	N;INDF;FEM;PL	
dame	dame	damă	damen	N;INDF;FEM;PL	
strasbourg	straßburg	strasbourg	straßburg	N;INDF;MASC;SG	PROPN;NOM;SG
sportivi	athleten	sportiv	athlet	N;INDF;MASC;PL	V;IND;PL;3;PST;FIN
sportivi	sportler	sportiv	sportler	N;INDF;MASC;PL	
tulburari	krankheiten	tulburar	krankheit	N;INDF;MASC;PL	V;NFIN
tulburari	störungen	tulburar	störung	N;INDF;MASC;PL	V;NFIN
apostoli	gesandten	apostoli	gesandt	N;INDF;MASC;PL	ADJ
apostoli	apostel	apostoli	apostel	N;INDF;MASC;PL	
chateau	schloß	chati	schließen	V;IND;PL;3;IPFV;FIN	
chateau	schloss	chati	schließen	V;IND;PL;3;IPFV;FIN	V;SG
chateau	chateau	chati	chateau	V;IND;PL;3;IPFV;FIN	PROPN;NOM;SG
chateau	schloß	chati	schließen	V;IND;PL;3;IPFV;FIN	
chateau	schloss	chati	schließen	V;IND;PL;3;IPFV;FIN	V;SG
chateau	chateau	chati	chateau	V;IND;PL;3;IPFV;FIN	PROPN;NOM;SG
adaugarea	addition	adaugare	addition	N;DEF;FEM;SG	
adaugarea	zusatz	adaugare	zusatz	N;DEF;FEM;SG	
adaugarea	hinzufügen	adaugare	hinfügen	N;DEF;FEM;SG	V;NFIN
bois	bois	bois	bois	PROPN	PROPN;SG
formularul	formular	formular	formular	N;DEF;MASC;SG	V;SG;FIN
formularul	vordruck	formular	vordruck	N;DEF;MASC;SG	
grupate	zusammengebaut	grupat	zusammenbauen	ADJ;INDF;FEM;PL	V;V.PTCP
grupate	zusammengefasst	grupat	zusammenfassen	ADJ;INDF;FEM;PL	V;V.PTCP
grupate	gruppiert	grupat	gruppieren	ADJ;INDF;FEM;PL	V;V.PTCP
crima	morde	crimă	morde	N;DEF;FEM;SG	N;NOM;PL
crima	ermordung	crimă	ermordung	N;DEF;FEM;SG	
crima	mord	crimă	mord	N;DEF;FEM;SG	
crima	kriminalität	crimă	kriminalität	N;DEF;FEM;SG	ADJ
crima	verbrechens	crimă	verbrechens	N;DEF;FEM;SG	N;NOM;NEUT;SG
crima	verbrechen	crimă	verbrechen	N;DEF;FEM;SG	V;NFIN
crima	straftat	crimă	strafta	N;DEF;FEM;SG	PROPN
crima	morde	crimă	morde	N;DEF;FEM;SG	N;NOM;PL
crima	ermordung	crimă	ermordung	N;DEF;FEM;SG	
crima	mord	crimă	mord	N;DEF;FEM;SG	
crima	kriminalität	crimă	kriminalität	N;DEF;FEM;SG	ADJ
crima	verbrechens	crimă	verbrechens	N;DEF;FEM;SG	N;NOM;NEUT;SG
crima	verbrechen	crimă	verbrechen	N;DEF;FEM;SG	V;NFIN
crima	straftat	crimă	strafta	N;DEF;FEM;SG	PROPN
gotic	gotische	gotic	gotisch	N;INDF;MASC;SG	ADJ;NOM;FEM;PL
gotic	gotischen	gotic	gotisch	N;INDF;MASC;SG	ADJ
gotic	gothic	gotic	gothic	N;INDF;MASC;SG	PROPN
tre	tre	tre	tre		PROPN;NOM;SG
roz	pink	roz	pink		PROPN
roz	rosa	roz	rosa		PROPN
ahmed	ahmed	ahmed	ahmed	PROPN	PROPN;NOM;MASC;SG
ahmed	ahmad	ahmed	ahmad	PROPN	PROPN;NOM;MASC;SG
latine	lateinamerika	latin	lateinamerika	ADJ;INDF;FEM;PL	PROPN;NOM;SG
latine	latin	latin	latin	ADJ;INDF;FEM;PL	PROPN
frunzele	laub	frunză	laub	N;DEF;FEM;PL	
frunzele	blätter	frunză	blätt	N;DEF;FEM;PL	ADJ
frunzele	blättern	frunză	blättern	N;DEF;FEM;PL	V;NFIN
compozitii	komposition	compozit	komposition	N;INDF;FEM;PL	ADJ
moscovei	russland	moscovă	rußland	PROPN;DEF;FEM;SG	PROPN;NOM;NEUT;SG
moscovei	moskau	moscovă	moskau	PROPN;DEF;FEM;SG	PROPN;NOM;MASC;SG
kashmir	kaschmir	kashmir	kaschmir	PROPN	PROPN;NOM;SG
belgian	belgische	belgian	belgisch	N;INDF;MASC;SG	ADJ;NOM;FEM;PL
belgian	belgisches	belgian	belgisch	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
belgian	belgischen	belgian	belgisch	N;INDF;MASC;SG	ADJ
belgian	belgier	belgian	belgieren	N;INDF;MASC;SG	
wikimapia	wikimapia	wikimapia	wikimapia	PROPN	PROPN;NOM;MASC;SG
orange	orange	orange	orange	N;INDF;MASC;SG	
orange	orangensaft	orange	orangensaft	N;INDF;MASC;SG	
orange	orangen	orange	orangen	N;INDF;MASC;SG	V;NFIN
pierderile	verluste	pierdere	verlust	N;DEF;FEM;PL	ADJ
pierderile	verlust	pierdere	verlusen	N;DEF;FEM;PL	
pierderile	verlusten	pierdere	verlusten	N;DEF;FEM;PL	V;NFIN
naviga	segeln	naviga	segeln	V;IND;SG;3;IPFV;FIN	
naviga	segelboot	naviga	segelboot	V;IND;SG;3;IPFV;FIN	
naviga	segel	naviga	segel	V;IND;SG;3;IPFV;FIN	
echipament	geräte	echipament	geräten	N;INDF;MASC;SG	N;NOM;NEUT;PL
echipament	anlagen	echipament	anlagen	N;INDF;MASC;SG	V;NFIN
includerea	eingliederung	includere	eingliederung	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
includerea	aufnahme	includere	aufnehmen	N;DEF;FEM;SG	
includerea	einbeziehung	includere	einbeziehung	N;DEF;FEM;SG	V;V.PTCP
includerea	einschluss	includere	einschlussen	N;DEF;FEM;SG	
simona	simona	simona	simona	N;DEF;FEM;SG	PROPN;NOM;SG
joachim	joachim	joachim	joachim	PROPN	PROPN;NOM;MASC;SG
formal	förmlich	formal	förmlich	ADV	ADJ
formal	formell	formal	formell	ADV	ADJ
formal	formal	formal	formal	ADV	ADJ
formal	formell	formal	formell	ADV	ADJ
formal	formelle	formal	formell	ADV	ADJ;NOM;FEM;PL
formal	formalen	formal	formal	ADV	ADJ
formal	formale	formal	formal	ADV	ADJ;NOM;FEM;PL
formal	formal	formal	formal	ADV	ADJ
austin	austin	austin	austin	PROPN	PROPN;NOM;MASC;SG
filozofia	philosophie	filozofie	philosophie	N;DEF;FEM;SG	N;NOM;FEM;SG
aedes	aedes	aedes	aedes	PROPN	PROPN;NOM;SG
implicarea	beteiligung	implicare	Beteiligung	N;DEF;FEM;SG	N;NOM;FEM;SG
implicarea	mitwirkung	implicare	mitwirkung	N;DEF;FEM;SG	N;NOM;FEM;SG
implicarea	einbeziehung	implicare	einbeziehung	N;DEF;FEM;SG	V;V.PTCP
wall	pinnwand	wall	pinnwand	PROPN	
wall	mauern	wall	mauern	PROPN	V;NFIN
wall	wand	wall	wand	PROPN	N;NOM;FEM;SG
wall	mauer	wall	mauer	PROPN	
harald	harald	harald	harald	PROPN	PROPN;NOM;MASC;SG
meridiane	meridiane	meridian	meridiane	N;INDF;FEM;PL	ADJ;NOM;FEM;SG
village	dorf	villag	dorf	PROPN	N;NOM;NEUT;SG
village	feriendorf	villag	feriendorf	PROPN	
village	ortschaft	villag	ortschaft	PROPN	ADJ
raspandirea	verbreiten	raspandire	verbreiten	N;DEF;FEM;SG	V;NFIN
raspandirea	ausbreiten	raspandire	ausbreiten	N;DEF;FEM;SG	V;NFIN
raspandirea	ausbreitung	raspandire	ausbreitung	N;DEF;FEM;SG	N;NOM;FEM;SG
raspandirea	verteilen	raspandire	verteilen	N;DEF;FEM;SG	V;NFIN
raspandirea	spread	raspandire	spread	N;DEF;FEM;SG	PROPN;SG
raspandirea	ausbreitung	raspandire	ausbreitung	N;DEF;FEM;SG	N;NOM;FEM;SG
raspandirea	verbreitung	raspandire	verbreitung	N;DEF;FEM;SG	N;NOM;FEM;SG
intensa	intensive	intensa	intensiv	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
intensa	intensive	intensa	intensiv	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
lugoj	lugoj	lugoj	lugoj	PROPN	
mutata	verschoben	mutată	verschieben	ADJ;DEF;FEM;SG	V;V.PTCP
mutata	zog	mutată	ziehen	ADJ;DEF;FEM;SG	V;IND;SG;3;PST;FIN
mutata	bewegte	mutată	bewegt	ADJ;DEF;FEM;SG	V;IND;SG;3;PST;FIN
mutata	bewegt	mutată	bewegen	ADJ;DEF;FEM;SG	V;IND;SG;3;PRS;FIN
mutata	umgezogen	mutată	umziehen	ADJ;DEF;FEM;SG	V;V.PTCP
stramtoarea	strait	stramtoare	strait	N;DEF;FEM;SG	PROPN;NOM;SG
stramtoarea	straße	stramtoare	straß	N;DEF;FEM;SG	ADJ
stramtoarea	meerenge	stramtoare	meereng	N;DEF;FEM;SG	
refugiat	flüchtlinge	refugiat	flüchtlinge	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
ungara	ungarisch	ungar	ungarisch	N;DEF;FEM;SG	ADJ
ungara	ungarischen	ungar	ungarisch	N;DEF;FEM;SG	ADJ;PL
ungara	ungarische	ungar	ungarisch	N;DEF;FEM;SG	ADJ;NOM;FEM;PL
ungara	ungarischer	ungar	ungarisch	N;DEF;FEM;SG	ADJ
scazuta	niedrige	scazuta	niedrig	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
scazuta	low	scazuta	low	ADJ;DEF;FEM;SG	
exterioara	äußere	exterior	äußer	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
exterioara	außen	exterior	außen	ADJ;DEF;FEM;SG	ADV
exterioara	aussen	exterior	außenßen	ADJ;DEF;FEM;SG	
interventie	interventionen	interventie	interventionen	N;INDF;FEM;SG	V;NFIN
interventie	intervention	interventie	intervention	N;INDF;FEM;SG	PROPN
galilor	gallier	gal	gallier	N;DEF;MASC;PL	
fenomene	phänomenen	fenomen	phänomen	N;INDF;FEM;PL	V;FIN
fenomene	erscheinungen	fenomen	erscheinung	N;INDF;FEM;PL	V;NFIN
fenomene	phänomen	fenomen	phänom	N;INDF;FEM;PL	V;NFIN
fenomene	phänomene	fenomen	phänomen	N;INDF;FEM;PL	ADJ;PL
austrieci	österreicher	austriac	österreicher	N;INDF;MASC;PL	ADJ
austrieci	österreichisch	austriac	österreichisch	N;INDF;MASC;PL	ADJ
austrieci	österreicher	austriac	österreicher	N;INDF;MASC;PL	ADJ
austrieci	österreichischen	austriac	österreichisch	N;INDF;MASC;PL	ADJ;NOM;MASC;PL
austrieci	österreichisches	austriac	österreichisch	N;INDF;MASC;PL	ADJ;NOM;NEUT;SG
costume	kostüm	costum	kostüm	N;INDF;FEM;PL	
costume	trachten	costum	trechen	N;INDF;FEM;PL	V;NFIN
costume	anzug	costum	anzug	N;INDF;FEM;PL	N;NOM;MASC;SG
muban	muban	muban	muban	N;INDF;MASC;SG	
grija	fürsorge	grijă	fürsorge	N;DEF;FEM;SG	
grija	pflege	grijă	pfleg	N;DEF;FEM;SG	
grija	pflege	grijă	pfleg	N;DEF;FEM;SG	
grija	care	grijă	care	N;DEF;FEM;SG	PROPN;NOM;SG
corul	chor	cor	chor	N;DEF;MASC;SG	ADV
corul	chor	cor	chor	N;DEF;MASC;SG	ADV
corul	refrain	cor	Refrain	N;DEF;MASC;SG	PROPN
modelele	modelle	model	modell	N;DEF;FEM;PL	N;NOM;NEUT;PL
modelele	vorbilder	model	vorbild	N;DEF;FEM;PL	ADJ
modelele	modell	model	modell	N;DEF;FEM;PL	ADJ
reich	reich	reich	reich	N;INDF;MASC;SG	ADJ
reich	reichs	reich	reichs	N;INDF;MASC;SG	PROPN
reich	reiches	reich	reich	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
józsef	józsef	józsef	józsef	PROPN	PROPN;NOM;MASC;SG
agricol	landwirtschaftlichen	agricol	landwirtschaftlich	ADJ;INDF;MASC;SG	ADJ;NOM;PL
agricol	landwirtschaftliche	agricol	landwirtschaftlich	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
originile	entstehungsgeschichte	origine	entstehungsgeschichte	N;DEF;FEM;PL	ADJ;NOM;FEM;SG
originile	ursprünge	origine	ursprüngen	N;DEF;FEM;PL	ADJ
originile	ursprung	origine	ursprung	N;DEF;FEM;PL	ADV
originile	herkunft	origine	herkunft	N;DEF;FEM;PL	N;NOM;FEM;SG
khan	khan	khan	khan	PROPN	PROPN;NOM;MASC;SG
mutarea	bewegen	mutare	bewegen	N;DEF;FEM;SG	V;NFIN
mutarea	verschieben	mutare	verscheiben	N;DEF;FEM;SG	V;NFIN
mutarea	bewegt	mutare	bewegen	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN
moscheea	moscheen	moschee	moscheen	N;DEF;FEM;SG	N;NOM;PL
moscheea	moschee	moschee	moschen	N;DEF;FEM;SG	
latimea	breiten	latimă	breit	N;DEF;FEM;SG	ADJ;SG
latimea	breite	latimă	breit	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
latimea	breit	latimă	breit	N;DEF;FEM;SG	ADJ
ladislau	ladislaus	ladisla	ladislaus	V;IND;PL;3;IPFV;FIN	PROPN;NOM;MASC;SG
cooper	cooper	cooper	cooper	N;INDF;MASC;SG	PROPN;NOM;SG
preah	preah	preah	preah	N;INDF;MASC;SG	PROPN;NOM;SG
invazie	invasion	invazie	invasion	N;INDF;FEM;SG	
